Human_Gene_name,Description,References
BICD1,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
UBE2NL,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
ING3,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
HNF1A,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
NUMA1,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
MAP3K15,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PDX1,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
DPH7,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
MGAT4C,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
TMEM216,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
HYAL2,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
MBD3,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
SOCS2,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
SLC16A2,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PTPRC,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
ANGPTL6,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
STAT4,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PCBP1,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
MAGEB5,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
ARHGEF7,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
SLC48A1,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
DGKK,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
TDRD5,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
TCEA1,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
RXRG,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
KDM7A,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
C19orf66,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PDF,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
OR2M4,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
RHBDD2,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
HLCS,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
NT5DC1,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
TMEM161B,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
LRRTM3,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PRSS54,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
MEST,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
RUVBL2,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
FLCN,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
DHX9,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
TRDN,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
ABCB11,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
MAGEE2,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
ANKS3,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
DHRS13,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
PPP3CA,Extended Data Table 2 Most significant gene-level associations from exome-sequencing analysis,https://doi.org/10.1038/s41586-019-1231-2
TCF7L2,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
SLC30A8,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
INS-IGF2,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
TMEM154,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
GRB14-COBLL1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
PEPD,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
RBMS1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
TLE4,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
CDKAL1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
AP3S2,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
CCDC85A,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
ADAMTS9,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
KCNQ1b,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
PRC1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
SPRY2,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
C2CD4A-C2CD4B,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
DGKB,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
ZBED3,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
MIR4686,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
CDC123-CAMK1D,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
TLE1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
CILP2-GATAD2A,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
HHEX/IDE,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
GCK,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
NOTCH2,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
HNF1B (TCF2),Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
WFS1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
GCKR,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
FTO,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
KLHDC5,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
HMGA2b,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
JAZF1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
BCL2,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
UBE2E2,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
THADA,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
HNF1A,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
LEP- MIR129 ,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
TP53INP1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
PSMD6,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
RASGRP1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
ARL15,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
ADCY5,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
DNER,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
FAF1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
CCND2,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
CENPW,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
LPP,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
TOMM40-APOE,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
KCNQ1b,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
KLF14,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
ATP8B2,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
KCNJ11,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
MTMR3 (ASCC2),Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
ZMIZ1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
TSPAN8-LGR5,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
IRS1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
BCAR1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
INAFM2,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
SRR,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
DMRTA1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
CDKN2A/B,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
DUSP8,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
POU5F1-TCF19,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
ZFAND3,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
HNF4A- FITM2- R3HDML,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
MPHOSPH9,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
HLA-B,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
PAX4-ARF5-SND1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
PTPRD,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
VPS26A,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
HNF4A,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
MC4R,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
IGF2BP2,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
ASB3,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
GRK5,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
ST6GAL1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
GIPR,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
BCL11A,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
GLIS3,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
MAEA,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
PROX1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
KCNK16,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
ZFAND6,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
GPSM1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
ANK1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
SSR1-RREB1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
MACF1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
SLC16A13,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
LAMA1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
CENTD2-ARAP1,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
CDKN2A-B,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
TBC1D4,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
TMEM163,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
PPARG,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
MTNR1B,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
ANKRD55,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
HMG20A,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
PAM,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
CCND2,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
HNF1A,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
FAM60A,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
DUSP9,Table 2 : Direct and local detection of established loci,https://doi.org/10.1007/s00125-019-4880-7
DOCK7,Table S4 : Coloc with GWAS and eQTL,
ATG4C,Table S4 : Coloc with GWAS and eQTL,
L1TD1,Table S4 : Coloc with GWAS and eQTL,
PTGFRN,Table S4 : Coloc with GWAS and eQTL,
CD101,Table S4 : Coloc with GWAS and eQTL,
PTGFRN,Table S4 : Coloc with GWAS and eQTL,
PTGFRN,Table S4 : Coloc with GWAS and eQTL,
CD101,Table S4 : Coloc with GWAS and eQTL,
CD101,Table S4 : Coloc with GWAS and eQTL,
PLEKHO1,Table S4 : Coloc with GWAS and eQTL,
RP11-54A4.2,Table S4 : Coloc with GWAS and eQTL,
PROX1-AS1,Table S4 : Coloc with GWAS and eQTL,
PROX1-AS1,Table S4 : Coloc with GWAS and eQTL,
PROX1-AS1,Table S4 : Coloc with GWAS and eQTL,
URB2,Table S4 : Coloc with GWAS and eQTL,
RNF187,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
CCSAP,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
RP4-613A2.1,Table S4 : Coloc with GWAS and eQTL,
NUP133,Table S4 : Coloc with GWAS and eQTL,
HMGN2P19,Table S4 : Coloc with GWAS and eQTL,
MYCN,Table S4 : Coloc with GWAS and eQTL,
NRBP1,Table S4 : Coloc with GWAS and eQTL,
FNDC4,Table S4 : Coloc with GWAS and eQTL,
PREB,Table S4 : Coloc with GWAS and eQTL,
ATRAID,Table S4 : Coloc with GWAS and eQTL,
ZNF513,Table S4 : Coloc with GWAS and eQTL,
RBKS,Table S4 : Coloc with GWAS and eQTL,
C2orf16,Table S4 : Coloc with GWAS and eQTL,
AC074117.10,Table S4 : Coloc with GWAS and eQTL,
NRBP1,Table S4 : Coloc with GWAS and eQTL,
KRTCAP3,Table S4 : Coloc with GWAS and eQTL,
NRBP1,Table S4 : Coloc with GWAS and eQTL,
AC074117.10,Table S4 : Coloc with GWAS and eQTL,
AC074117.10,Table S4 : Coloc with GWAS and eQTL,
NRBP1,Table S4 : Coloc with GWAS and eQTL,
ATRAID,Table S4 : Coloc with GWAS and eQTL,
AC074117.10,Table S4 : Coloc with GWAS and eQTL,
NRBP1,Table S4 : Coloc with GWAS and eQTL,
SNX17,Table S4 : Coloc with GWAS and eQTL,
PPM1G,Table S4 : Coloc with GWAS and eQTL,
KRTCAP3,Table S4 : Coloc with GWAS and eQTL,
NRBP1,Table S4 : Coloc with GWAS and eQTL,
NRBP1,Table S4 : Coloc with GWAS and eQTL,
NRBP1,Table S4 : Coloc with GWAS and eQTL,
NRBP1,Table S4 : Coloc with GWAS and eQTL,
GCKR,Table S4 : Coloc with GWAS and eQTL,
FNDC4,Table S4 : Coloc with GWAS and eQTL,
NRBP1,Table S4 : Coloc with GWAS and eQTL,
INHBB,Table S4 : Coloc with GWAS and eQTL,
INHBB,Table S4 : Coloc with GWAS and eQTL,
WNT6,Table S4 : Coloc with GWAS and eQTL,
WNT6,Table S4 : Coloc with GWAS and eQTL,
WNT6,Table S4 : Coloc with GWAS and eQTL,
WNT6,Table S4 : Coloc with GWAS and eQTL,
WNT6,Table S4 : Coloc with GWAS and eQTL,
WNT6,Table S4 : Coloc with GWAS and eQTL,
SEMA3F,Table S4 : Coloc with GWAS and eQTL,
RBM5,Table S4 : Coloc with GWAS and eQTL,
CACNA2D2,Table S4 : Coloc with GWAS and eQTL,
RASSF1,Table S4 : Coloc with GWAS and eQTL,
DOCK3,Table S4 : Coloc with GWAS and eQTL,
CYB561D2,Table S4 : Coloc with GWAS and eQTL,
CISH,Table S4 : Coloc with GWAS and eQTL,
NICN1,Table S4 : Coloc with GWAS and eQTL,
BSN,Table S4 : Coloc with GWAS and eQTL,
MST1,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
GPX1,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
HYAL3,Table S4 : Coloc with GWAS and eQTL,
MON1A,Table S4 : Coloc with GWAS and eQTL,
ACTR8,Table S4 : Coloc with GWAS and eQTL,
WNT5A-AS1,Table S4 : Coloc with GWAS and eQTL,
LINC00870,Table S4 : Coloc with GWAS and eQTL,
SEMA5B,Table S4 : Coloc with GWAS and eQTL,
ADCY5,Table S4 : Coloc with GWAS and eQTL,
PARP14,Table S4 : Coloc with GWAS and eQTL,
PTPLB,Table S4 : Coloc with GWAS and eQTL,
ADCY5,Table S4 : Coloc with GWAS and eQTL,
IGF2BP2,Table S4 : Coloc with GWAS and eQTL,
MAP3K13,Table S4 : Coloc with GWAS and eQTL,
C3orf65,Table S4 : Coloc with GWAS and eQTL,
C3orf70,Table S4 : Coloc with GWAS and eQTL,
RP11-573D15.8,Table S4 : Coloc with GWAS and eQTL,
RP11-573D15.9,Table S4 : Coloc with GWAS and eQTL,
ST6GAL1,Table S4 : Coloc with GWAS and eQTL,
RP11-573D15.8,Table S4 : Coloc with GWAS and eQTL,
ETV5,Table S4 : Coloc with GWAS and eQTL,
ST6GAL1,Table S4 : Coloc with GWAS and eQTL,
FGFR3,Table S4 : Coloc with GWAS and eQTL,
FGFRL1,Table S4 : Coloc with GWAS and eQTL,
SPON2,Table S4 : Coloc with GWAS and eQTL,
TMEM129,Table S4 : Coloc with GWAS and eQTL,
TMEM129,Table S4 : Coloc with GWAS and eQTL,
TMEM129,Table S4 : Coloc with GWAS and eQTL,
TMEM129,Table S4 : Coloc with GWAS and eQTL,
AC016773.1,Table S4 : Coloc with GWAS and eQTL,
MXD4,Table S4 : Coloc with GWAS and eQTL,
TNIP2,Table S4 : Coloc with GWAS and eQTL,
MSANTD1,Table S4 : Coloc with GWAS and eQTL,
RP11-503N18.5,Table S4 : Coloc with GWAS and eQTL,
FAM86EP,Table S4 : Coloc with GWAS and eQTL,
APOBEC2,Table S4 : Coloc with GWAS and eQTL,
CUL7,Table S4 : Coloc with GWAS and eQTL,
HSP90AB1,Table S4 : Coloc with GWAS and eQTL,
PPP2R5D,Table S4 : Coloc with GWAS and eQTL,
PTK7,Table S4 : Coloc with GWAS and eQTL,
CUL9,Table S4 : Coloc with GWAS and eQTL,
RRP36,Table S4 : Coloc with GWAS and eQTL,
PEX6,Table S4 : Coloc with GWAS and eQTL,
TTBK1,Table S4 : Coloc with GWAS and eQTL,
GTPBP2,Table S4 : Coloc with GWAS and eQTL,
DGKB,Table S4 : Coloc with GWAS and eQTL,
DGKB,Table S4 : Coloc with GWAS and eQTL,
PLEKHA8,Table S4 : Coloc with GWAS and eQTL,
AC005154.8,Table S4 : Coloc with GWAS and eQTL,
BLVRA,Table S4 : Coloc with GWAS and eQTL,
POLD2,Table S4 : Coloc with GWAS and eQTL,
TMED4,Table S4 : Coloc with GWAS and eQTL,
AC004985.12,Table S4 : Coloc with GWAS and eQTL,
