strain_id,A_MTX_5-FC.FMP45_MEP1,A_MTX_Fluconazole.FMP45_MEP1,A_MTX_Metformin.FMP45_MEP1,A_MTX_Trifluoperazine.FMP45_MEP1,A_MTX_noDrug.FMP45_MEP1,A_noMTX_5-FC.FMP45_MEP1,A_noMTX_Fluconazole.FMP45_MEP1,A_noMTX_Metformin.FMP45_MEP1,A_noMTX_Trifluoperazine.FMP45_MEP1,A_noMTX_noDrug.FMP45_MEP1,B_MTX_5-FC.FMP45_MEP1,B_MTX_Fluconazole.FMP45_MEP1,B_MTX_Metformin.FMP45_MEP1,B_MTX_Trifluoperazine.FMP45_MEP1,B_MTX_noDrug.FMP45_MEP1,B_noMTX_5-FC.FMP45_MEP1,B_noMTX_Fluconazole.FMP45_MEP1,B_noMTX_Metformin.FMP45_MEP1,B_noMTX_Trifluoperazine.FMP45_MEP1,B_noMTX_noDrug.FMP45_MEP1,T0_noMTX_noDrug.FMP45_MEP1
1040,20.0,10.0,13.0,43.0,11.0,105.0,219.0,163.0,337.0,96.0,9.0,3.0,14.0,40.0,13.0,225.0,231.0,172.0,70.0,103.0,22.0
1046,0.0,2.0,0.0,2.0,1.0,71.0,159.0,160.0,404.0,192.0,0.0,0.0,1.0,3.0,0.0,218.0,249.0,110.0,123.0,164.0,109.0
1050,6.0,1.0,5.0,14.0,5.0,15.0,3.0,34.0,129.0,24.0,8.0,0.0,32.0,7.0,4.0,17.0,6.0,35.0,24.0,17.0,6.0
1065,11.0,13.0,32.0,4.0,6.0,38.0,2.0,32.0,83.0,63.0,23.0,12.0,36.0,20.0,0.0,17.0,2.0,37.0,13.0,25.0,13.0
1069,7631.0,4431.0,350.0,1727.0,1153.0,358.0,639.0,708.0,1168.0,452.0,5271.0,2368.0,689.0,2606.0,3193.0,875.0,580.0,375.0,283.0,547.0,279.0
107,1.0,3.0,1.0,3.0,1.0,184.0,150.0,99.0,251.0,118.0,0.0,3.0,4.0,2.0,0.0,220.0,112.0,97.0,84.0,73.0,65.0
113,9.0,15.0,4.0,3.0,9.0,5.0,4.0,10.0,28.0,10.0,10.0,0.0,5.0,5.0,8.0,2.0,13.0,5.0,4.0,4.0,2.0
119,8.0,16.0,1.0,17.0,1.0,4.0,2.0,4.0,21.0,1.0,3.0,2.0,0.0,4.0,2.0,7.0,8.0,4.0,3.0,2.0,2.0
124,221.0,0.0,66.0,29.0,24.0,33.0,7.0,80.0,72.0,145.0,104.0,0.0,51.0,101.0,25.0,63.0,4.0,25.0,66.0,103.0,22.0
128,0.0,0.0,0.0,1.0,0.0,246.0,231.0,255.0,370.0,116.0,1.0,0.0,1.0,1.0,0.0,294.0,102.0,91.0,117.0,124.0,91.0
132,1.0,3.0,6.0,1.0,1.0,249.0,17.0,660.0,1151.0,294.0,1.0,7.0,4.0,3.0,0.0,495.0,99.0,329.0,278.0,329.0,160.0
133,0.0,0.0,1.0,0.0,0.0,107.0,279.0,45.0,334.0,73.0,1.0,0.0,0.0,1.0,0.0,221.0,88.0,126.0,95.0,90.0,24.0
136,2.0,1.0,0.0,0.0,1.0,33.0,26.0,106.0,499.0,56.0,0.0,0.0,0.0,2.0,0.0,50.0,84.0,71.0,81.0,92.0,57.0
14,595.0,39.0,86.0,486.0,163.0,52.0,174.0,107.0,224.0,102.0,703.0,43.0,96.0,981.0,428.0,80.0,93.0,101.0,177.0,170.0,79.0
146,959.0,188.0,879.0,770.0,117.0,925.0,1111.0,1847.0,3544.0,1235.0,670.0,28.0,1245.0,295.0,138.0,2534.0,1669.0,994.0,1166.0,1305.0,752.0
15,106.0,0.0,15.0,11.0,9.0,33.0,3.0,31.0,85.0,59.0,31.0,0.0,14.0,16.0,12.0,74.0,8.0,26.0,60.0,96.0,22.0
151,3.0,3.0,2.0,4.0,1.0,27.0,42.0,38.0,47.0,46.0,1.0,0.0,1.0,2.0,1.0,70.0,9.0,24.0,25.0,31.0,47.0
153,1.0,2.0,6.0,0.0,2.0,53.0,364.0,66.0,54.0,300.0,0.0,1.0,1.0,3.0,0.0,129.0,778.0,167.0,78.0,230.0,31.0
17,1.0,14.0,0.0,23.0,5.0,1.0,4.0,5.0,7.0,1.0,0.0,3.0,5.0,8.0,3.0,2.0,4.0,3.0,2.0,4.0,7.0
171,232.0,4.0,6.0,30.0,16.0,17.0,72.0,21.0,46.0,51.0,100.0,2.0,5.0,17.0,13.0,34.0,68.0,32.0,29.0,43.0,20.0
175,0.0,0.0,0.0,1.0,0.0,62.0,0.0,41.0,50.0,68.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,42.0,40.0,58.0,8.0
180,3.0,4.0,1.0,1.0,0.0,66.0,78.0,61.0,34.0,358.0,2.0,1.0,2.0,1.0,0.0,100.0,80.0,41.0,32.0,186.0,38.0
180_2,4.0,19.0,4.0,4.0,4.0,66.0,28.0,78.0,124.0,355.0,0.0,10.0,3.0,3.0,2.0,114.0,164.0,106.0,102.0,272.0,28.0
185,23.0,2.0,4.0,33.0,7.0,8.0,5.0,6.0,25.0,6.0,25.0,0.0,17.0,57.0,14.0,5.0,4.0,5.0,8.0,7.0,1.0
187,1.0,0.0,2.0,0.0,2.0,98.0,588.0,266.0,143.0,167.0,1.0,1.0,4.0,2.0,1.0,258.0,711.0,292.0,60.0,85.0,120.0
188,2.0,43.0,3.0,12.0,2.0,180.0,13.0,247.0,421.0,168.0,2.0,21.0,4.0,11.0,2.0,231.0,14.0,120.0,109.0,161.0,42.0
192,12.0,81.0,3.0,66.0,6.0,5.0,87.0,9.0,32.0,6.0,5.0,25.0,5.0,17.0,9.0,7.0,14.0,8.0,12.0,2.0,3.0
20,1.0,0.0,0.0,0.0,0.0,207.0,18.0,239.0,166.0,88.0,1.0,0.0,2.0,1.0,0.0,335.0,10.0,115.0,46.0,60.0,64.0
209,3.0,0.0,0.0,4.0,2.0,92.0,61.0,102.0,290.0,86.0,1.0,4.0,1.0,2.0,1.0,135.0,245.0,79.0,57.0,120.0,91.0
210,6.0,0.0,0.0,2.0,1.0,9.0,6.0,7.0,25.0,19.0,4.0,2.0,0.0,2.0,1.0,9.0,3.0,10.0,10.0,14.0,4.0
226,256.0,16.0,56.0,165.0,101.0,43.0,36.0,68.0,124.0,105.0,327.0,2.0,61.0,141.0,109.0,93.0,26.0,42.0,56.0,100.0,123.0
235,4.0,0.0,0.0,1.0,1.0,1.0,239.0,1.0,10.0,2.0,4.0,0.0,1.0,6.0,1.0,2.0,375.0,68.0,2.0,2.0,1.0
240,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,5.0,1.0,0.0
248,7.0,0.0,2.0,4.0,1.0,1.0,2.0,6.0,11.0,2.0,3.0,0.0,4.0,1.0,3.0,0.0,3.0,5.0,9.0,4.0,4.0
250,3.0,2.0,0.0,0.0,1.0,26.0,2.0,49.0,147.0,33.0,0.0,0.0,0.0,1.0,1.0,60.0,0.0,34.0,14.0,29.0,14.0
252,1.0,6.0,1.0,0.0,21.0,2.0,3.0,2.0,5.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,13.0,7.0,1.0,0.0,1.0
253,15.0,8.0,49.0,9.0,3.0,56.0,51.0,137.0,334.0,83.0,20.0,7.0,90.0,7.0,3.0,229.0,222.0,198.0,92.0,106.0,14.0
254,3.0,6.0,0.0,6.0,0.0,61.0,466.0,107.0,505.0,54.0,3.0,2.0,3.0,2.0,0.0,193.0,362.0,136.0,89.0,110.0,46.0
257,1.0,1.0,0.0,2.0,1.0,4.0,7.0,5.0,24.0,14.0,1.0,0.0,4.0,1.0,0.0,12.0,6.0,11.0,7.0,6.0,7.0
258,91.0,0.0,66.0,22.0,37.0,263.0,128.0,383.0,422.0,193.0,84.0,2.0,130.0,58.0,20.0,749.0,52.0,193.0,177.0,238.0,118.0
27,125.0,2.0,211.0,48.0,13.0,66.0,5.0,231.0,350.0,159.0,26.0,1.0,206.0,47.0,21.0,289.0,4.0,100.0,115.0,172.0,35.0
270,0.0,1.0,0.0,1.0,0.0,1.0,228.0,8.0,6.0,26.0,1.0,0.0,1.0,0.0,0.0,2.0,317.0,69.0,8.0,12.0,3.0
271,1.0,0.0,3.0,0.0,0.0,88.0,230.0,142.0,244.0,174.0,0.0,1.0,1.0,1.0,0.0,184.0,7.0,57.0,85.0,226.0,24.0
272,1.0,0.0,1.0,1.0,0.0,26.0,1.0,14.0,32.0,11.0,1.0,0.0,1.0,0.0,1.0,15.0,2.0,14.0,7.0,18.0,5.0
277,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
286,9.0,131.0,88.0,54.0,25.0,28.0,37.0,58.0,24.0,27.0,68.0,108.0,68.0,13.0,31.0,60.0,28.0,37.0,15.0,33.0,4.0
289,2.0,7.0,1.0,1.0,2.0,54.0,186.0,25.0,105.0,33.0,1.0,0.0,3.0,2.0,0.0,79.0,18.0,12.0,34.0,44.0,19.0
29,2.0,2.0,3.0,7.0,1.0,10.0,1.0,8.0,22.0,42.0,0.0,9.0,1.0,0.0,1.0,15.0,7.0,7.0,18.0,28.0,7.0
291,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,11.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,1.0,4.0,4.0,1.0
294,5.0,3.0,3.0,2.0,3.0,16.0,10.0,38.0,125.0,37.0,6.0,1.0,9.0,3.0,3.0,121.0,7.0,9.0,18.0,17.0,1.0
296,0.0,3.0,1.0,0.0,1.0,43.0,41.0,77.0,235.0,88.0,0.0,2.0,1.0,0.0,0.0,129.0,17.0,81.0,56.0,106.0,26.0
299,0.0,0.0,0.0,1.0,3.0,73.0,8.0,121.0,391.0,95.0,0.0,0.0,3.0,3.0,0.0,135.0,1.0,49.0,84.0,116.0,27.0
307,2.0,0.0,0.0,1.0,4.0,3.0,14.0,21.0,28.0,34.0,2.0,4.0,3.0,2.0,1.0,18.0,7.0,7.0,30.0,12.0,4.0
308,2.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,13.0,0.0,2.0,0.0,2.0,2.0,0.0,6.0,3.0,7.0,1.0,4.0,2.0
31,16.0,0.0,43.0,75.0,8.0,5.0,0.0,6.0,71.0,20.0,478.0,0.0,77.0,46.0,56.0,32.0,3.0,16.0,4.0,23.0,8.0
311,1.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,15.0,4.0,2.0,0.0,2.0,0.0,0.0,3.0,27.0,13.0,2.0,4.0,3.0
312,96.0,104.0,97.0,59.0,56.0,88.0,238.0,30.0,100.0,50.0,67.0,63.0,45.0,89.0,86.0,62.0,312.0,84.0,30.0,63.0,12.0
32,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
320,371.0,26.0,193.0,55.0,48.0,129.0,204.0,215.0,366.0,248.0,165.0,5.0,241.0,38.0,77.0,206.0,468.0,154.0,205.0,298.0,37.0
323,177.0,9.0,3.0,23.0,30.0,2.0,89.0,2.0,1.0,3.0,27.0,2.0,4.0,19.0,39.0,3.0,144.0,40.0,9.0,3.0,1.0
325,10.0,11.0,5.0,2.0,3.0,26.0,8.0,23.0,35.0,70.0,4.0,0.0,9.0,0.0,0.0,36.0,57.0,27.0,30.0,102.0,9.0
33,0.0,0.0,1.0,1.0,1.0,3.0,10.0,2.0,13.0,5.0,0.0,0.0,1.0,2.0,0.0,2.0,7.0,3.0,4.0,7.0,0.0
335,56.0,5.0,4.0,6.0,0.0,23.0,1.0,21.0,42.0,60.0,137.0,4.0,11.0,2.0,10.0,18.0,1.0,11.0,43.0,60.0,24.0
336,151.0,3.0,12.0,32.0,14.0,35.0,548.0,41.0,63.0,10.0,109.0,0.0,8.0,30.0,31.0,72.0,138.0,64.0,33.0,23.0,26.0
337,1.0,5.0,2.0,0.0,2.0,170.0,10.0,284.0,616.0,198.0,2.0,4.0,6.0,5.0,0.0,169.0,18.0,144.0,145.0,218.0,43.0
339,5.0,5.0,22.0,3.0,1.0,14.0,10.0,13.0,21.0,75.0,10.0,2.0,48.0,20.0,2.0,29.0,18.0,17.0,32.0,28.0,6.0
347,0.0,2.0,2.0,0.0,0.0,46.0,8.0,97.0,61.0,22.0,1.0,0.0,2.0,1.0,0.0,151.0,25.0,66.0,16.0,25.0,15.0
348,1.0,2.0,0.0,1.0,2.0,10.0,4.0,12.0,12.0,31.0,1.0,1.0,1.0,0.0,0.0,13.0,0.0,2.0,13.0,16.0,15.0
350,2076.0,684.0,64.0,324.0,682.0,92.0,178.0,68.0,70.0,153.0,1105.0,476.0,76.0,677.0,918.0,186.0,319.0,118.0,91.0,125.0,36.0
354,2.0,0.0,3.0,2.0,2.0,86.0,27.0,97.0,233.0,142.0,1.0,0.0,3.0,1.0,0.0,195.0,48.0,76.0,75.0,112.0,22.0
358,6.0,0.0,1.0,3.0,4.0,3.0,4.0,3.0,8.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,0.0
359,15.0,4.0,9.0,28.0,122.0,2.0,4.0,2.0,12.0,2.0,39.0,1.0,5.0,56.0,25.0,2.0,12.0,2.0,8.0,1.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,4.0,0.0
364,67.0,9.0,1.0,5.0,1.0,6.0,98.0,6.0,7.0,29.0,27.0,3.0,0.0,3.0,8.0,7.0,39.0,14.0,7.0,11.0,6.0
375,387.0,0.0,727.0,209.0,36.0,690.0,326.0,490.0,1260.0,481.0,499.0,9.0,774.0,311.0,103.0,1202.0,321.0,436.0,330.0,570.0,226.0
383,1.0,4.0,2.0,1.0,1.0,65.0,243.0,49.0,123.0,52.0,2.0,0.0,1.0,1.0,1.0,129.0,238.0,96.0,21.0,68.0,20.0
385,4.0,13.0,0.0,2.0,2.0,0.0,8.0,0.0,9.0,1.0,2.0,4.0,1.0,3.0,0.0,3.0,4.0,2.0,2.0,2.0,1.0
392,3.0,4.0,1.0,6.0,2.0,3.0,14.0,3.0,27.0,11.0,3.0,6.0,2.0,4.0,2.0,5.0,3.0,3.0,19.0,8.0,2.0
397,2.0,0.0,0.0,1.0,2.0,2.0,3.0,5.0,26.0,10.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,7.0,9.0,5.0,4.0
399,9.0,154.0,3.0,3.0,6.0,395.0,767.0,268.0,853.0,206.0,9.0,20.0,13.0,12.0,0.0,634.0,572.0,274.0,240.0,262.0,88.0
40,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,6.0,38.0,4.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,6.0,3.0
400,686.0,1.0,58.0,108.0,42.0,78.0,164.0,76.0,318.0,93.0,174.0,7.0,118.0,323.0,71.0,174.0,91.0,52.0,109.0,97.0,51.0
406,6.0,31.0,3.0,2.0,0.0,184.0,22.0,983.0,1115.0,283.0,1.0,1.0,3.0,2.0,0.0,334.0,36.0,411.0,176.0,309.0,65.0
408,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,10.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,5.0,4.0,1.0
409,1490.0,16.0,36.0,81.0,14.0,63.0,17.0,44.0,241.0,146.0,1522.0,4.0,38.0,43.0,114.0,113.0,13.0,29.0,157.0,171.0,54.0
40_2,3.0,1.0,2.0,16.0,1.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0
412,48.0,1.0,0.0,9.0,1.0,5.0,87.0,4.0,7.0,1.0,100.0,0.0,0.0,1.0,1.0,2.0,54.0,21.0,4.0,2.0,0.0
418,1.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
419,3.0,0.0,0.0,0.0,2.0,103.0,134.0,169.0,264.0,118.0,10.0,0.0,5.0,1.0,0.0,256.0,59.0,141.0,106.0,128.0,18.0
420,1.0,0.0,0.0,0.0,0.0,67.0,82.0,38.0,59.0,219.0,2.0,0.0,1.0,0.0,0.0,67.0,59.0,56.0,77.0,112.0,17.0
421,347.0,2.0,44.0,96.0,59.0,6.0,372.0,8.0,21.0,18.0,266.0,44.0,85.0,129.0,109.0,8.0,504.0,103.0,15.0,16.0,1.0
426,37.0,7.0,14.0,27.0,16.0,8.0,2.0,5.0,22.0,6.0,34.0,1.0,33.0,49.0,20.0,5.0,4.0,4.0,6.0,3.0,0.0
43,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,1.0
431,0.0,0.0,4.0,4.0,1.0,96.0,75.0,136.0,175.0,98.0,5.0,0.0,7.0,1.0,1.0,73.0,7.0,44.0,59.0,94.0,30.0
433,8.0,2.0,8.0,21.0,10.0,11.0,13.0,12.0,27.0,5.0,8.0,0.0,12.0,10.0,2.0,4.0,11.0,8.0,8.0,10.0,6.0
434,70.0,12.0,38.0,40.0,58.0,26.0,87.0,128.0,73.0,128.0,72.0,10.0,92.0,52.0,49.0,79.0,27.0,52.0,39.0,93.0,18.0
437,19.0,27.0,8.0,16.0,9.0,11.0,19.0,16.0,37.0,8.0,16.0,2.0,18.0,25.0,10.0,6.0,15.0,16.0,14.0,10.0,1.0
438,0.0,0.0,0.0,1.0,0.0,7.0,6.0,8.0,6.0,7.0,1.0,0.0,0.0,1.0,1.0,19.0,66.0,20.0,2.0,5.0,8.0
439,1.0,4.0,1.0,0.0,0.0,35.0,42.0,37.0,100.0,104.0,1.0,1.0,0.0,1.0,0.0,62.0,19.0,52.0,134.0,104.0,24.0
43_ref1,3.0,1.0,0.0,3.0,2.0,2.0,53.0,1.0,6.0,0.0,12.0,0.0,1.0,2.0,1.0,3.0,110.0,20.0,0.0,1.0,171.0
43_ref2,2.0,2.0,2.0,12.0,7.0,6.0,4.0,6.0,82.0,12.0,7.0,1.0,2.0,5.0,5.0,39.0,6.0,11.0,27.0,26.0,282.0
442,22.0,6.0,5.0,64.0,12.0,10.0,15.0,6.0,35.0,5.0,28.0,0.0,16.0,27.0,12.0,4.0,8.0,8.0,8.0,6.0,2.0
444,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0
446,2.0,3.0,0.0,0.0,0.0,56.0,2.0,65.0,125.0,676.0,6.0,1.0,5.0,1.0,1.0,78.0,31.0,56.0,148.0,445.0,28.0
45,7.0,0.0,0.0,1.0,2.0,5.0,4.0,4.0,26.0,5.0,3.0,2.0,0.0,15.0,2.0,5.0,14.0,8.0,10.0,5.0,1.0
450,6.0,4.0,0.0,2.0,4.0,35.0,17.0,51.0,115.0,58.0,7.0,3.0,6.0,6.0,1.0,136.0,1.0,43.0,27.0,33.0,15.0
452,5.0,1.0,5.0,3.0,1.0,7.0,4.0,2.0,20.0,5.0,8.0,1.0,11.0,4.0,0.0,5.0,13.0,3.0,11.0,2.0,4.0
458,0.0,1.0,0.0,3.0,1.0,27.0,5.0,81.0,192.0,65.0,0.0,6.0,0.0,1.0,1.0,56.0,4.0,53.0,42.0,84.0,22.0
459,71.0,36.0,12.0,4.0,5.0,19.0,341.0,18.0,112.0,34.0,42.0,1.0,24.0,16.0,1.0,32.0,127.0,65.0,68.0,54.0,20.0
460,136.0,329.0,63.0,45.0,30.0,151.0,174.0,125.0,269.0,82.0,72.0,167.0,83.0,42.0,32.0,158.0,40.0,85.0,77.0,79.0,23.0
466,5.0,3.0,2.0,3.0,1.0,7.0,5.0,9.0,45.0,9.0,2.0,4.0,5.0,4.0,0.0,13.0,12.0,6.0,3.0,6.0,1.0
468,1170.0,10.0,251.0,1139.0,201.0,369.0,625.0,617.0,1063.0,444.0,1139.0,2.0,380.0,1385.0,697.0,865.0,400.0,330.0,289.0,581.0,172.0
470,919.0,173.0,68.0,214.0,74.0,75.0,726.0,70.0,108.0,236.0,1366.0,75.0,64.0,197.0,244.0,131.0,553.0,170.0,78.0,289.0,43.0
473,7.0,8.0,3.0,9.0,7.0,66.0,59.0,100.0,246.0,75.0,5.0,9.0,4.0,8.0,1.0,135.0,19.0,58.0,63.0,123.0,39.0
475,26.0,79.0,38.0,17.0,18.0,568.0,3170.0,2355.0,2367.0,1175.0,17.0,371.0,56.0,29.0,5.0,1909.0,8071.0,2691.0,1009.0,1360.0,423.0
476,7.0,8.0,9.0,5.0,5.0,1096.0,71.0,1663.0,2592.0,3884.0,2.0,0.0,13.0,5.0,3.0,1214.0,889.0,1981.0,2369.0,5447.0,1228.0
48,5.0,13.0,6.0,36.0,6.0,3.0,141.0,8.0,31.0,25.0,8.0,4.0,6.0,8.0,5.0,25.0,107.0,26.0,11.0,49.0,19.0
485,11.0,9.0,7.0,14.0,2.0,4.0,1.0,3.0,12.0,3.0,6.0,1.0,5.0,14.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0
486,36.0,3.0,28.0,6.0,3.0,18.0,7.0,81.0,40.0,71.0,29.0,5.0,90.0,7.0,9.0,30.0,8.0,19.0,31.0,64.0,7.0
491,639.0,4.0,454.0,224.0,148.0,77.0,96.0,140.0,296.0,139.0,731.0,1.0,471.0,321.0,167.0,211.0,153.0,104.0,113.0,169.0,220.0
493,22.0,6.0,20.0,10.0,2.0,15.0,25.0,80.0,120.0,35.0,21.0,9.0,36.0,11.0,5.0,75.0,11.0,39.0,36.0,36.0,39.0
495,9.0,7.0,5.0,6.0,4.0,191.0,66.0,317.0,492.0,173.0,4.0,1.0,10.0,5.0,0.0,376.0,146.0,200.0,163.0,166.0,43.0
50,15.0,16.0,3.0,57.0,7.0,3.0,5.0,7.0,23.0,3.0,11.0,0.0,11.0,13.0,7.0,1.0,7.0,6.0,11.0,2.0,2.0
503,3.0,1.0,2.0,2.0,0.0,39.0,47.0,42.0,170.0,81.0,3.0,0.0,2.0,0.0,0.0,77.0,62.0,37.0,65.0,53.0,39.0
507,0.0,0.0,0.0,2.0,0.0,38.0,108.0,41.0,71.0,109.0,0.0,1.0,0.0,1.0,0.0,58.0,40.0,30.0,38.0,58.0,47.0
508,5.0,7.0,3.0,7.0,2.0,230.0,90.0,210.0,588.0,240.0,2.0,2.0,3.0,1.0,0.0,324.0,5.0,118.0,191.0,250.0,162.0
52,4.0,2.0,2.0,5.0,2.0,7.0,144.0,10.0,24.0,2.0,6.0,0.0,4.0,6.0,3.0,4.0,331.0,67.0,6.0,3.0,1.0
520,0.0,0.0,1.0,3.0,3.0,4.0,1.0,4.0,39.0,4.0,1.0,0.0,5.0,0.0,0.0,9.0,0.0,1.0,9.0,7.0,4.0
521,26.0,2.0,6.0,1.0,7.0,197.0,14.0,85.0,417.0,82.0,8.0,3.0,8.0,8.0,2.0,147.0,21.0,195.0,90.0,240.0,51.0
522,30.0,8.0,8.0,13.0,24.0,60.0,46.0,213.0,470.0,56.0,16.0,21.0,18.0,15.0,12.0,194.0,30.0,66.0,77.0,121.0,47.0
523,1828.0,312.0,815.0,376.0,264.0,369.0,699.0,686.0,1273.0,433.0,1136.0,300.0,880.0,780.0,557.0,782.0,1021.0,646.0,491.0,627.0,104.0
524,180.0,35.0,8.0,12.0,20.0,41.0,224.0,43.0,51.0,46.0,70.0,33.0,14.0,23.0,9.0,25.0,262.0,72.0,23.0,19.0,11.0
525,1515.0,48.0,210.0,146.0,136.0,197.0,315.0,348.0,382.0,136.0,966.0,3.0,352.0,167.0,328.0,452.0,709.0,277.0,128.0,129.0,75.0
531,11.0,8.0,1.0,19.0,1.0,7.0,6.0,14.0,27.0,16.0,5.0,3.0,7.0,2.0,5.0,10.0,15.0,5.0,14.0,26.0,13.0
532,3.0,11.0,0.0,10.0,7.0,4.0,6.0,2.0,15.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,4.0,3.0,0.0
535,2676.0,1038.0,66.0,255.0,320.0,119.0,42.0,162.0,311.0,766.0,2579.0,175.0,106.0,261.0,704.0,287.0,154.0,103.0,305.0,824.0,98.0
538,1069.0,42.0,352.0,356.0,215.0,300.0,890.0,350.0,732.0,531.0,652.0,154.0,599.0,407.0,449.0,573.0,853.0,397.0,389.0,559.0,105.0
539,534.0,238.0,908.0,359.0,106.0,187.0,32.0,339.0,542.0,501.0,351.0,42.0,953.0,365.0,147.0,278.0,158.0,218.0,195.0,532.0,52.0
540,6386.0,776.0,269.0,1556.0,1153.0,459.0,1442.0,589.0,681.0,319.0,3730.0,93.0,374.0,2980.0,2043.0,840.0,1456.0,516.0,178.0,276.0,274.0
541,60.0,10.0,12.0,14.0,16.0,49.0,9.0,64.0,119.0,94.0,14.0,11.0,12.0,8.0,8.0,127.0,12.0,85.0,38.0,79.0,16.0
