strain_id,A_MTX_5-FC.HUG1_ADE17,A_MTX_Fluconazole.HUG1_ADE17,A_MTX_Metformin.HUG1_ADE17,A_MTX_Trifluoperazine.HUG1_ADE17,A_MTX_noDrug.HUG1_ADE17,A_noMTX_5-FC.HUG1_ADE17,A_noMTX_Fluconazole.HUG1_ADE17,A_noMTX_Metformin.HUG1_ADE17,A_noMTX_Trifluoperazine.HUG1_ADE17,A_noMTX_noDrug.HUG1_ADE17,B_MTX_5-FC.HUG1_ADE17,B_MTX_Fluconazole.HUG1_ADE17,B_MTX_Metformin.HUG1_ADE17,B_MTX_Trifluoperazine.HUG1_ADE17,B_MTX_noDrug.HUG1_ADE17,B_noMTX_5-FC.HUG1_ADE17,B_noMTX_Fluconazole.HUG1_ADE17,B_noMTX_Metformin.HUG1_ADE17,B_noMTX_Trifluoperazine.HUG1_ADE17,B_noMTX_noDrug.HUG1_ADE17,T0_noMTX_noDrug.HUG1_ADE17
252,1.0,0.0,0.0,0.0,31.0,2.0,4.0,4.0,5.0,0.0,5.0,1.0,3.0,3.0,2.0,1.0,2.0,13.0,1.0,5.0,1.0
253,2.0,0.0,5.0,1.0,1.0,11.0,52.0,13.0,51.0,8.0,3.0,2.0,10.0,4.0,2.0,3.0,13.0,49.0,28.0,12.0,0.0
254,10.0,3.0,5.0,79.0,13.0,1273.0,2280.0,1272.0,725.0,388.0,164.0,7.0,20.0,142.0,124.0,584.0,314.0,1710.0,624.0,999.0,113.0
257,1.0,0.0,0.0,1.0,4.0,17.0,10.0,13.0,7.0,2.0,5.0,2.0,5.0,1.0,1.0,8.0,4.0,22.0,15.0,17.0,12.0
258,255.0,27.0,43.0,102.0,29.0,171.0,585.0,112.0,50.0,46.0,578.0,115.0,467.0,102.0,25.0,109.0,13.0,335.0,51.0,296.0,32.0
27,0.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,0.0
270,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,2.0,0.0
271,169.0,0.0,0.0,13.0,0.0,467.0,171.0,280.0,89.0,124.0,132.0,0.0,11.0,101.0,0.0,236.0,62.0,358.0,98.0,366.0,50.0
272,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,4.0,1.0,4.0,0.0,9.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0
277,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0
286,3.0,3.0,6.0,22.0,38.0,37.0,10.0,23.0,19.0,28.0,7.0,12.0,62.0,108.0,20.0,28.0,4.0,68.0,21.0,90.0,19.0
289,1.0,0.0,2.0,0.0,0.0,311.0,218.0,117.0,147.0,68.0,1.0,3.0,1.0,0.0,0.0,178.0,32.0,229.0,84.0,215.0,52.0
29,2.0,1.0,2.0,0.0,2.0,4.0,5.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,9.0,6.0,3.0,1.0
291,0.0,0.0,0.0,0.0,0.0,15.0,12.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,11.0,7.0,20.0,8.0,7.0,4.0
294,76.0,0.0,1.0,0.0,2.0,380.0,3569.0,194.0,146.0,103.0,2.0,1.0,3.0,4.0,0.0,237.0,30.0,460.0,143.0,528.0,40.0
296,1.0,0.0,4.0,0.0,6.0,136.0,504.0,97.0,84.0,47.0,5.0,0.0,22.0,6.0,0.0,156.0,584.0,345.0,67.0,114.0,31.0
299,0.0,0.0,0.0,0.0,1.0,414.0,12.0,264.0,162.0,80.0,1.0,0.0,7.0,0.0,0.0,204.0,16.0,535.0,163.0,227.0,19.0
307,398.0,0.0,45.0,80.0,79.0,60.0,2.0,221.0,64.0,29.0,500.0,1.0,204.0,114.0,280.0,76.0,7.0,211.0,36.0,75.0,36.0
308,1.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,7.0,1.0,2.0,1.0,5.0,1.0,0.0,3.0,2.0,10.0,4.0,2.0,0.0
31,1.0,0.0,0.0,0.0,1.0,0.0,24.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,13.0,0.0,6.0,0.0
311,0.0,0.0,0.0,1.0,1.0,6.0,10.0,11.0,6.0,3.0,0.0,0.0,9.0,3.0,1.0,0.0,7.0,21.0,3.0,5.0,1.0
312,3.0,9.0,21.0,1.0,1.0,51.0,3.0,9.0,13.0,6.0,5.0,615.0,38.0,5.0,47.0,34.0,1.0,43.0,3.0,47.0,6.0
32,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,11.0,2.0,6.0,0.0
320,224.0,6.0,304.0,119.0,40.0,323.0,77.0,676.0,158.0,91.0,214.0,590.0,2858.0,383.0,326.0,241.0,70.0,754.0,150.0,347.0,21.0
323,235.0,237.0,25.0,1.0,3.0,73.0,1226.0,18.0,18.0,16.0,115.0,331.0,253.0,70.0,2.0,15.0,3.0,73.0,12.0,82.0,7.0
325,44.0,1.0,2.0,0.0,0.0,967.0,121.0,647.0,274.0,348.0,121.0,0.0,32.0,26.0,1.0,533.0,477.0,1853.0,153.0,1071.0,145.0
33,2.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,6.0,0.0,1.0,0.0,14.0,2.0,2.0,2.0,1.0,5.0,8.0,3.0,0.0
335,17.0,0.0,43.0,80.0,2.0,244.0,7.0,87.0,79.0,38.0,13.0,0.0,245.0,4018.0,0.0,132.0,5.0,331.0,78.0,249.0,60.0
336,2.0,0.0,0.0,0.0,22.0,64.0,6.0,8.0,7.0,14.0,14.0,1.0,98.0,15.0,5.0,19.0,5.0,68.0,1.0,21.0,15.0
337,0.0,1.0,1.0,0.0,0.0,536.0,193.0,771.0,300.0,199.0,0.0,1.0,16.0,2.0,3.0,332.0,65.0,1365.0,267.0,604.0,76.0
339,3.0,1.0,6.0,1.0,3.0,20.0,5.0,28.0,5.0,5.0,11.0,0.0,21.0,3.0,54.0,2.0,9.0,12.0,8.0,33.0,4.0
347,1.0,1.0,1.0,1.0,1.0,44.0,8.0,11.0,19.0,9.0,5.0,0.0,17.0,4.0,1.0,27.0,12.0,65.0,9.0,34.0,20.0
348,3.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,5.0,1.0,8.0,0.0,4.0,3.0,2.0,3.0,5.0,8.0,4.0,2.0,5.0
350,18.0,3.0,1.0,8.0,17.0,14.0,3.0,2.0,3.0,2.0,19.0,17.0,23.0,29.0,10.0,6.0,2.0,23.0,2.0,16.0,4.0
354,0.0,0.0,0.0,0.0,1.0,8.0,6.0,30.0,10.0,8.0,0.0,0.0,56.0,2.0,1.0,16.0,3.0,78.0,25.0,55.0,13.0
358,17.0,2.0,186.0,77.0,48.0,60.0,55.0,146.0,45.0,46.0,57.0,4.0,966.0,400.0,673.0,94.0,2.0,328.0,40.0,228.0,10.0
359,7.0,2.0,16.0,21.0,76.0,12.0,171.0,11.0,3.0,6.0,39.0,1.0,13.0,76.0,28.0,60.0,0.0,36.0,13.0,17.0,10.0
36,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0
364,1.0,0.0,1.0,0.0,2.0,4.0,9.0,2.0,0.0,3.0,2.0,0.0,1.0,2.0,2.0,3.0,2.0,5.0,1.0,9.0,0.0
375,174.0,0.0,148.0,265.0,14.0,462.0,34.0,451.0,171.0,84.0,29.0,8.0,1218.0,285.0,583.0,233.0,219.0,430.0,79.0,232.0,53.0
383,2.0,5.0,1.0,2.0,3.0,196.0,5.0,178.0,38.0,46.0,1.0,6.0,3.0,1.0,2.0,76.0,11.0,243.0,44.0,121.0,22.0
385,0.0,6.0,0.0,1.0,2.0,1.0,3.0,4.0,3.0,0.0,5.0,8.0,1.0,2.0,5.0,1.0,4.0,15.0,1.0,4.0,0.0
392,5.0,12.0,0.0,0.0,0.0,523.0,81.0,4087.0,475.0,399.0,14.0,15.0,2.0,2.0,2.0,384.0,7.0,1445.0,597.0,865.0,38.0
397,0.0,0.0,16.0,0.0,0.0,28.0,32.0,39.0,98.0,19.0,0.0,1.0,118.0,2.0,5.0,27.0,8.0,77.0,49.0,36.0,83.0
399,2.0,33.0,1.0,2.0,0.0,135.0,1722.0,78.0,106.0,25.0,2.0,58.0,24.0,3.0,2.0,102.0,521.0,318.0,64.0,94.0,11.0
40,1.0,2.0,0.0,6.0,11.0,4.0,0.0,4.0,0.0,1.0,4.0,3.0,19.0,5.0,9.0,0.0,0.0,2.0,5.0,1.0,1.0
400,114.0,34.0,16.0,59.0,13.0,199.0,5.0,210.0,188.0,54.0,175.0,1.0,308.0,104.0,32.0,132.0,3.0,301.0,113.0,146.0,21.0
406,1.0,1.0,1.0,0.0,0.0,146.0,65.0,222.0,105.0,54.0,0.0,0.0,16.0,0.0,0.0,101.0,57.0,221.0,70.0,212.0,27.0
408,12.0,0.0,0.0,0.0,0.0,229.0,24.0,48.0,54.0,56.0,18.0,0.0,0.0,0.0,0.0,102.0,15.0,115.0,33.0,105.0,44.0
409,48.0,13.0,3.0,19.0,52.0,26.0,14.0,6.0,8.0,1.0,126.0,10.0,2.0,33.0,26.0,7.0,19.0,7.0,18.0,9.0,3.0
40_2,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
412,4.0,0.0,0.0,0.0,4.0,16.0,6.0,3.0,0.0,1.0,3.0,1.0,11.0,1.0,2.0,4.0,25.0,15.0,10.0,2.0,3.0
418,0.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0,2.0,6.0,1.0
419,192.0,0.0,2.0,0.0,2.0,225.0,34.0,311.0,94.0,123.0,25.0,0.0,17.0,0.0,186.0,176.0,318.0,577.0,89.0,322.0,35.0
420,0.0,0.0,0.0,0.0,0.0,21.0,8.0,6.0,10.0,1.0,3.0,0.0,1.0,3.0,1.0,20.0,9.0,14.0,4.0,31.0,9.0
421,12.0,3.0,9.0,21.0,16.0,40.0,7.0,16.0,4.0,9.0,19.0,1.0,68.0,85.0,11.0,4.0,19.0,30.0,22.0,21.0,5.0
426,6.0,1.0,4.0,4.0,6.0,8.0,36.0,10.0,5.0,4.0,12.0,1.0,14.0,18.0,5.0,5.0,32.0,23.0,6.0,14.0,5.0
43,0.0,0.0,0.0,0.0,1.0,8.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,9.0,11.0,11.0,2.0
431,0.0,0.0,2.0,2.0,0.0,491.0,1751.0,386.0,305.0,137.0,117.0,0.0,20.0,4.0,3.0,215.0,30.0,1255.0,295.0,861.0,131.0
433,16.0,1.0,6.0,4.0,3.0,9.0,3.0,8.0,9.0,3.0,10.0,1.0,32.0,3.0,6.0,4.0,3.0,22.0,9.0,9.0,9.0
434,12.0,3.0,17.0,20.0,27.0,34.0,14.0,23.0,22.0,15.0,27.0,19.0,35.0,64.0,17.0,23.0,4.0,75.0,27.0,61.0,8.0
437,65.0,3.0,17.0,17.0,16.0,47.0,9.0,21.0,13.0,16.0,227.0,5.0,253.0,49.0,15.0,10.0,27.0,65.0,14.0,36.0,10.0
438,132.0,0.0,2.0,11.0,1.0,45.0,11.0,26.0,12.0,8.0,37.0,107.0,19.0,317.0,14.0,27.0,6.0,70.0,10.0,30.0,23.0
439,390.0,4.0,22.0,40.0,28.0,126.0,7878.0,548.0,90.0,66.0,978.0,706.0,192.0,237.0,39.0,147.0,359.0,536.0,59.0,245.0,84.0
43_ref1,1.0,1.0,1.0,3.0,3.0,1.0,138.0,1.0,8.0,0.0,7.0,4.0,9.0,4.0,1.0,0.0,59.0,14.0,0.0,5.0,116.0
43_ref2,5.0,4.0,7.0,6.0,2.0,12.0,10.0,9.0,32.0,10.0,3.0,1.0,25.0,13.0,3.0,7.0,22.0,23.0,16.0,38.0,209.0
442,14.0,13.0,13.0,6.0,8.0,38.0,277.0,11.0,11.0,6.0,17.0,4.0,41.0,17.0,6.0,20.0,5.0,34.0,11.0,54.0,12.0
444,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,21.0,2.0,2.0,1.0,3.0,12.0,1.0,6.0,0.0
446,10.0,0.0,1.0,0.0,4.0,81.0,733.0,99.0,19.0,25.0,7.0,0.0,127.0,9.0,2.0,23.0,2.0,207.0,19.0,116.0,28.0
45,1.0,0.0,0.0,0.0,0.0,2.0,3.0,12.0,8.0,1.0,0.0,0.0,3.0,1.0,2.0,4.0,10.0,17.0,5.0,7.0,1.0
450,5.0,1.0,3.0,0.0,1.0,64.0,35.0,117.0,54.0,38.0,4.0,0.0,5.0,3.0,3.0,85.0,8.0,166.0,24.0,93.0,14.0
452,4.0,0.0,1.0,0.0,4.0,5.0,7.0,3.0,8.0,3.0,5.0,0.0,7.0,17.0,1.0,3.0,6.0,12.0,3.0,7.0,1.0
458,0.0,4.0,1.0,1.0,1.0,73.0,8.0,59.0,63.0,57.0,4.0,1.0,3.0,0.0,1.0,62.0,201.0,142.0,36.0,151.0,45.0
459,144.0,0.0,121.0,0.0,2.0,24.0,12.0,48.0,19.0,8.0,72.0,3.0,195.0,7.0,1.0,39.0,11.0,30.0,10.0,30.0,11.0
460,27.0,57.0,41.0,393.0,21.0,254.0,229.0,105.0,81.0,56.0,436.0,203.0,393.0,1184.0,145.0,186.0,27.0,465.0,99.0,207.0,40.0
466,9.0,2.0,4.0,2.0,7.0,3.0,2.0,11.0,14.0,0.0,14.0,2.0,13.0,9.0,2.0,2.0,5.0,17.0,6.0,9.0,2.0
468,323.0,7.0,365.0,734.0,98.0,634.0,15.0,1162.0,324.0,159.0,740.0,8.0,5685.0,928.0,978.0,624.0,10.0,2139.0,385.0,669.0,46.0
470,29.0,117.0,10.0,6.0,17.0,15.0,23.0,11.0,13.0,5.0,47.0,111.0,28.0,40.0,26.0,6.0,30.0,18.0,13.0,17.0,4.0
473,1.0,8.0,3.0,6.0,2.0,217.0,445.0,155.0,86.0,72.0,4.0,6.0,25.0,6.0,1.0,142.0,705.0,575.0,51.0,283.0,64.0
475,50.0,11.0,17.0,12.0,12.0,1479.0,484.0,8314.0,1102.0,1096.0,19.0,17.0,119.0,19.0,19.0,1168.0,421.0,7709.0,1247.0,4135.0,323.0
476,0.0,0.0,5.0,3.0,2.0,3787.0,1325.0,2986.0,2998.0,1345.0,3.0,3.0,79.0,4.0,4.0,2839.0,3162.0,11046.0,1653.0,7998.0,2501.0
48,0.0,3.0,2.0,2.0,2.0,4.0,2.0,11.0,2.0,0.0,7.0,2.0,5.0,5.0,4.0,0.0,10.0,7.0,11.0,7.0,2.0
485,5.0,4.0,1.0,4.0,4.0,91.0,3.0,16.0,7.0,20.0,3.0,16.0,22.0,1.0,4.0,103.0,6.0,121.0,6.0,27.0,8.0
486,21.0,7.0,12.0,4.0,15.0,67.0,47.0,37.0,38.0,20.0,14.0,15.0,73.0,57.0,17.0,32.0,9.0,143.0,61.0,185.0,12.0
491,98.0,3.0,65.0,10.0,39.0,145.0,4274.0,93.0,75.0,36.0,457.0,4.0,776.0,89.0,201.0,88.0,539.0,309.0,98.0,204.0,44.0
493,5.0,2.0,5.0,1.0,6.0,14.0,13.0,4.0,16.0,15.0,3.0,1.0,62.0,8.0,5.0,11.0,16.0,38.0,15.0,26.0,17.0
495,2.0,0.0,9.0,1.0,2.0,332.0,28.0,388.0,156.0,131.0,3.0,1.0,21.0,7.0,1.0,212.0,26.0,178.0,126.0,343.0,44.0
50,3.0,2.0,2.0,2.0,3.0,2.0,6.0,5.0,4.0,3.0,6.0,2.0,8.0,4.0,3.0,5.0,4.0,11.0,4.0,4.0,2.0
503,0.0,0.0,1.0,1.0,0.0,88.0,888.0,178.0,143.0,42.0,2.0,2.0,11.0,6.0,3.0,61.0,5.0,420.0,57.0,188.0,32.0
507,0.0,1.0,0.0,8.0,1.0,162.0,9.0,43.0,106.0,46.0,2.0,2.0,1.0,8.0,3.0,132.0,14.0,162.0,134.0,137.0,103.0
508,0.0,5.0,0.0,2.0,1.0,36.0,69.0,21.0,32.0,13.0,6.0,19.0,6.0,4.0,2.0,17.0,5.0,27.0,10.0,49.0,19.0
52,0.0,0.0,1.0,0.0,0.0,238.0,413.0,88.0,54.0,73.0,1.0,1.0,7.0,1.0,1.0,174.0,17.0,652.0,71.0,273.0,52.0
520,5.0,0.0,2.0,0.0,4.0,7.0,7.0,12.0,12.0,2.0,5.0,1.0,24.0,7.0,4.0,5.0,1.0,20.0,7.0,12.0,1.0
521,2.0,0.0,1.0,4.0,1.0,12.0,19.0,32.0,24.0,11.0,1.0,0.0,13.0,0.0,1.0,13.0,40.0,68.0,11.0,45.0,8.0
522,13.0,0.0,3.0,11.0,3.0,591.0,731.0,1830.0,388.0,329.0,17.0,2.0,12.0,23.0,12.0,566.0,82.0,1353.0,333.0,1030.0,132.0
523,379.0,332.0,258.0,1560.0,128.0,687.0,405.0,893.0,272.0,272.0,591.0,277.0,594.0,765.0,772.0,519.0,92.0,1180.0,168.0,701.0,98.0
524,455.0,22.0,14.0,761.0,1121.0,176.0,642.0,100.0,151.0,29.0,830.0,23.0,358.0,357.0,457.0,73.0,30.0,592.0,70.0,251.0,40.0
525,116.0,1.0,83.0,33.0,97.0,948.0,33.0,1054.0,432.0,192.0,219.0,6.0,240.0,277.0,61.0,667.0,240.0,996.0,399.0,449.0,70.0
531,4.0,5.0,0.0,6.0,4.0,8.0,3.0,4.0,7.0,2.0,8.0,5.0,1.0,12.0,6.0,2.0,4.0,10.0,9.0,11.0,2.0
532,1.0,0.0,0.0,1.0,1.0,4.0,10.0,3.0,5.0,2.0,7.0,4.0,19.0,8.0,5.0,2.0,12.0,15.0,5.0,10.0,0.0
535,1613.0,93.0,224.0,240.0,532.0,557.0,213.0,101.0,69.0,127.0,4551.0,1390.0,827.0,343.0,1638.0,333.0,151.0,354.0,67.0,358.0,143.0
538,46.0,25.0,28.0,17.0,53.0,101.0,11.0,127.0,91.0,50.0,83.0,61.0,76.0,91.0,45.0,52.0,11.0,381.0,57.0,167.0,27.0
539,381.0,17.0,5591.0,1709.0,2971.0,651.0,153.0,1786.0,451.0,279.0,785.0,15.0,20731.0,3932.0,3861.0,478.0,30.0,1544.0,372.0,1137.0,110.0
540,2533.0,602.0,598.0,1026.0,1052.0,3283.0,1407.0,3288.0,2604.0,334.0,4006.0,4560.0,9473.0,2907.0,431.0,1226.0,328.0,7260.0,2264.0,3082.0,183.0
