strain_id,A_MTX_5-FC.PMC1_GTR2,A_MTX_Fluconazole.PMC1_GTR2,A_MTX_Metformin.PMC1_GTR2,A_MTX_Trifluoperazine.PMC1_GTR2,A_MTX_noDrug.PMC1_GTR2,A_noMTX_5-FC.PMC1_GTR2,A_noMTX_Fluconazole.PMC1_GTR2,A_noMTX_Metformin.PMC1_GTR2,A_noMTX_Trifluoperazine.PMC1_GTR2,A_noMTX_noDrug.PMC1_GTR2,B_MTX_5-FC.PMC1_GTR2,B_MTX_Fluconazole.PMC1_GTR2,B_MTX_Metformin.PMC1_GTR2,B_MTX_Trifluoperazine.PMC1_GTR2,B_MTX_noDrug.PMC1_GTR2,B_noMTX_5-FC.PMC1_GTR2,B_noMTX_Fluconazole.PMC1_GTR2,B_noMTX_Metformin.PMC1_GTR2,B_noMTX_Trifluoperazine.PMC1_GTR2,B_noMTX_noDrug.PMC1_GTR2,T0_noMTX_noDrug.PMC1_GTR2
1065,22.0,9.0,44.0,22.0,11.0,31.0,3.0,36.0,27.0,38.0,9.0,636.0,41.0,8.0,8.0,43.0,5.0,18.0,16.0,68.0,8.0
1069,2354.0,2286.0,414.0,1288.0,1707.0,204.0,339.0,140.0,245.0,152.0,2235.0,47052.0,370.0,1540.0,1294.0,82.0,307.0,180.0,243.0,234.0,67.0
107,1.0,1.0,0.0,0.0,2.0,24.0,4.0,27.0,31.0,18.0,3.0,2.0,0.0,1.0,0.0,20.0,80.0,21.0,29.0,32.0,6.0
113,2.0,2.0,4.0,3.0,34.0,35.0,42.0,12.0,6.0,15.0,66.0,10.0,2.0,10.0,49.0,7.0,94.0,2.0,4.0,36.0,22.0
119,3.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,4.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
124,103.0,1.0,198.0,109.0,418.0,23.0,54.0,11.0,18.0,30.0,134.0,994.0,126.0,361.0,102.0,10.0,160.0,18.0,15.0,47.0,8.0
128,0.0,0.0,0.0,0.0,0.0,378.0,263.0,238.0,441.0,198.0,0.0,7.0,3.0,1.0,0.0,256.0,778.0,269.0,434.0,381.0,133.0
132,6.0,0.0,7.0,0.0,0.0,281.0,117.0,296.0,346.0,305.0,0.0,25.0,33.0,0.0,3.0,179.0,41.0,224.0,583.0,605.0,76.0
133,3.0,1.0,2.0,0.0,0.0,23.0,13.0,68.0,23.0,31.0,2.0,1.0,1.0,0.0,0.0,6.0,87.0,30.0,53.0,33.0,5.0
136,2.0,0.0,0.0,0.0,0.0,49.0,28.0,64.0,237.0,68.0,0.0,1.0,0.0,1.0,0.0,19.0,67.0,48.0,109.0,89.0,17.0
14,222.0,12.0,189.0,609.0,368.0,73.0,8.0,131.0,355.0,105.0,245.0,4.0,149.0,566.0,381.0,64.0,24.0,124.0,145.0,234.0,69.0
146,1013.0,243.0,1509.0,496.0,513.0,898.0,629.0,833.0,1280.0,794.0,1153.0,1550.0,1117.0,642.0,430.0,602.0,698.0,615.0,1123.0,1233.0,229.0
15,39.0,5.0,49.0,25.0,28.0,40.0,74.0,31.0,25.0,14.0,25.0,0.0,8.0,99.0,34.0,9.0,65.0,29.0,7.0,86.0,14.0
151,0.0,2.0,1.0,1.0,1.0,44.0,13.0,12.0,11.0,21.0,0.0,2.0,2.0,1.0,1.0,5.0,26.0,10.0,15.0,52.0,11.0
153,0.0,1.0,1.0,1.0,1.0,235.0,1442.0,102.0,103.0,153.0,6.0,6.0,5.0,0.0,0.0,76.0,140.0,65.0,77.0,390.0,74.0
17,1.0,2.0,0.0,3.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0
171,21.0,1.0,9.0,12.0,16.0,6.0,13.0,4.0,3.0,10.0,12.0,1.0,16.0,5.0,9.0,1.0,4.0,7.0,10.0,25.0,4.0
175,0.0,0.0,0.0,2.0,0.0,24.0,3.0,41.0,44.0,20.0,0.0,0.0,0.0,2.0,0.0,30.0,108.0,8.0,30.0,63.0,7.0
180,1.0,0.0,2.0,2.0,0.0,93.0,6.0,17.0,8.0,33.0,1.0,3.0,3.0,0.0,1.0,24.0,228.0,12.0,13.0,140.0,21.0
180_2,4.0,3.0,5.0,0.0,0.0,223.0,69.0,42.0,83.0,117.0,2.0,19.0,5.0,2.0,3.0,37.0,167.0,38.0,31.0,298.0,49.0
185,15.0,15.0,14.0,30.0,21.0,9.0,2.0,7.0,8.0,5.0,11.0,18.0,13.0,23.0,6.0,10.0,10.0,7.0,5.0,7.0,1.0
187,1.0,0.0,1.0,0.0,1.0,80.0,169.0,108.0,22.0,46.0,0.0,2.0,1.0,1.0,0.0,41.0,14.0,54.0,116.0,107.0,26.0
188,5.0,9.0,1.0,5.0,0.0,120.0,16.0,104.0,228.0,113.0,1.0,49.0,4.0,0.0,1.0,128.0,10.0,100.0,115.0,110.0,20.0
192,7.0,17.0,5.0,10.0,5.0,3.0,7.0,4.0,4.0,4.0,6.0,48.0,7.0,1.0,2.0,5.0,11.0,3.0,2.0,9.0,0.0
20,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0
209,2.0,0.0,1.0,2.0,2.0,19.0,64.0,4.0,11.0,9.0,2.0,2.0,1.0,0.0,1.0,9.0,15.0,11.0,8.0,8.0,2.0
210,8.0,0.0,7.0,5.0,2.0,1.0,8.0,4.0,10.0,6.0,2.0,1.0,8.0,1.0,1.0,5.0,3.0,1.0,2.0,15.0,5.0
226,167.0,24.0,189.0,227.0,233.0,57.0,30.0,76.0,90.0,67.0,208.0,8.0,91.0,278.0,157.0,39.0,26.0,55.0,143.0,122.0,55.0
235,2.0,0.0,2.0,0.0,0.0,47.0,4.0,11.0,49.0,37.0,1.0,0.0,1.0,0.0,0.0,12.0,4.0,15.0,40.0,63.0,23.0
240,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0
248,13.0,1.0,1.0,2.0,4.0,0.0,2.0,3.0,3.0,5.0,6.0,1.0,2.0,0.0,2.0,7.0,3.0,4.0,3.0,5.0,2.0
250,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,1.0
252,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,5.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0
253,22.0,30.0,60.0,30.0,4.0,76.0,62.0,114.0,84.0,89.0,14.0,3.0,90.0,15.0,15.0,27.0,15.0,28.0,64.0,146.0,15.0
254,1.0,0.0,6.0,1.0,0.0,177.0,63.0,222.0,722.0,336.0,0.0,0.0,7.0,1.0,0.0,130.0,58.0,110.0,319.0,423.0,53.0
257,5.0,2.0,0.0,0.0,3.0,8.0,8.0,3.0,5.0,6.0,1.0,3.0,7.0,0.0,1.0,3.0,65.0,6.0,1.0,20.0,4.0
258,7.0,4.0,6.0,11.0,0.0,32.0,6.0,19.0,12.0,14.0,3.0,3.0,12.0,2.0,5.0,38.0,16.0,40.0,20.0,17.0,4.0
27,33.0,0.0,31.0,17.0,22.0,12.0,1.0,16.0,45.0,9.0,0.0,1.0,47.0,25.0,6.0,6.0,5.0,8.0,17.0,23.0,3.0
270,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,2.0,1.0,2.0
271,6.0,1.0,0.0,0.0,0.0,126.0,119.0,79.0,211.0,159.0,1.0,0.0,2.0,0.0,0.0,49.0,837.0,86.0,50.0,270.0,31.0
272,1.0,0.0,2.0,0.0,0.0,64.0,1.0,10.0,10.0,27.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,16.0,23.0,92.0,2.0
277,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
286,69.0,22.0,72.0,40.0,65.0,46.0,3.0,14.0,46.0,24.0,23.0,486.0,90.0,34.0,30.0,26.0,60.0,27.0,34.0,66.0,12.0
289,2.0,3.0,3.0,1.0,0.0,460.0,1317.0,462.0,632.0,406.0,0.0,2.0,2.0,0.0,0.0,250.0,1185.0,300.0,609.0,609.0,134.0
29,3.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,4.0,6.0,0.0,9.0,2.0,0.0,0.0,5.0,4.0,5.0,2.0,17.0,3.0
291,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,9.0,7.0,0.0,1.0,0.0,0.0,0.0,6.0,11.0,2.0,3.0,12.0,0.0
294,7.0,0.0,2.0,0.0,0.0,275.0,1360.0,103.0,201.0,156.0,2.0,3.0,3.0,0.0,0.0,90.0,654.0,97.0,216.0,429.0,40.0
296,1.0,1.0,6.0,0.0,2.0,308.0,1703.0,351.0,495.0,416.0,1.0,1.0,2.0,0.0,0.0,345.0,986.0,298.0,256.0,344.0,44.0
299,3.0,1.0,2.0,2.0,1.0,72.0,6.0,36.0,157.0,39.0,1.0,0.0,3.0,1.0,1.0,37.0,6.0,23.0,77.0,63.0,4.0
307,11.0,2.0,2.0,0.0,3.0,40.0,2.0,5.0,39.0,15.0,4.0,3.0,2.0,0.0,2.0,6.0,5.0,5.0,21.0,44.0,4.0
308,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,5.0,0.0
31,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,5.0,1.0,1.0,4.0,0.0
311,2.0,0.0,1.0,0.0,3.0,4.0,7.0,8.0,14.0,5.0,0.0,1.0,2.0,0.0,0.0,4.0,11.0,5.0,6.0,23.0,2.0
312,11.0,766.0,24.0,8.0,13.0,22.0,4.0,32.0,47.0,17.0,5.0,698.0,47.0,11.0,26.0,13.0,7.0,11.0,8.0,49.0,4.0
32,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
320,250.0,17.0,317.0,91.0,201.0,115.0,129.0,169.0,199.0,176.0,284.0,366.0,473.0,99.0,90.0,153.0,1325.0,179.0,139.0,166.0,14.0
323,3.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0
325,1.0,2.0,1.0,2.0,1.0,149.0,1289.0,191.0,164.0,195.0,0.0,1.0,4.0,1.0,0.0,115.0,49.0,147.0,198.0,309.0,47.0
33,0.0,0.0,0.0,1.0,0.0,22.0,2.0,26.0,55.0,23.0,0.0,1.0,1.0,1.0,0.0,37.0,2.0,9.0,14.0,62.0,10.0
335,83.0,0.0,61.0,8.0,19.0,47.0,10.0,11.0,11.0,43.0,40.0,2.0,36.0,56.0,12.0,12.0,3.0,15.0,29.0,76.0,16.0
336,81.0,0.0,82.0,21.0,39.0,89.0,333.0,71.0,84.0,78.0,96.0,9.0,47.0,117.0,32.0,63.0,138.0,61.0,71.0,65.0,32.0
337,0.0,1.0,3.0,0.0,1.0,240.0,140.0,232.0,339.0,302.0,1.0,9.0,13.0,1.0,0.0,206.0,120.0,256.0,231.0,337.0,33.0
339,16.0,0.0,79.0,9.0,21.0,8.0,8.0,14.0,12.0,31.0,21.0,3.0,10.0,7.0,15.0,22.0,5.0,12.0,8.0,24.0,2.0
347,1.0,0.0,4.0,0.0,0.0,35.0,36.0,16.0,85.0,38.0,0.0,8.0,4.0,0.0,0.0,38.0,161.0,51.0,38.0,87.0,19.0
348,4.0,2.0,0.0,5.0,2.0,2.0,21.0,2.0,1.0,1.0,2.0,8.0,0.0,18.0,7.0,0.0,7.0,2.0,2.0,6.0,4.0
350,7.0,1.0,3.0,6.0,5.0,1.0,4.0,1.0,3.0,2.0,4.0,42.0,2.0,2.0,5.0,1.0,0.0,4.0,2.0,4.0,1.0
354,2.0,0.0,1.0,1.0,0.0,63.0,38.0,57.0,100.0,94.0,0.0,4.0,0.0,4.0,0.0,45.0,11.0,70.0,72.0,143.0,17.0
358,17.0,1.0,13.0,13.0,9.0,6.0,3.0,1.0,5.0,10.0,1.0,6.0,13.0,6.0,5.0,3.0,3.0,4.0,8.0,33.0,4.0
359,12.0,3.0,79.0,65.0,110.0,22.0,7.0,12.0,11.0,9.0,63.0,4.0,18.0,18.0,21.0,5.0,5.0,5.0,9.0,22.0,4.0
36,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0
364,9.0,1.0,2.0,0.0,3.0,1.0,10.0,0.0,3.0,2.0,1.0,8.0,1.0,0.0,0.0,1.0,4.0,5.0,5.0,4.0,0.0
375,195.0,0.0,593.0,140.0,81.0,347.0,124.0,193.0,301.0,208.0,106.0,18.0,423.0,97.0,52.0,291.0,20.0,140.0,265.0,369.0,44.0
383,2.0,4.0,5.0,4.0,0.0,165.0,7.0,50.0,141.0,77.0,0.0,11.0,3.0,1.0,0.0,145.0,845.0,88.0,126.0,101.0,29.0
385,2.0,12.0,0.0,0.0,4.0,3.0,5.0,1.0,2.0,2.0,4.0,92.0,1.0,1.0,0.0,2.0,4.0,1.0,2.0,1.0,0.0
392,4.0,24.0,2.0,2.0,2.0,22.0,9.0,54.0,37.0,25.0,1.0,69.0,3.0,1.0,0.0,22.0,3.0,29.0,64.0,86.0,10.0
397,0.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,8.0,1.0,0.0,6.0,2.0,0.0,0.0,2.0,8.0,3.0,5.0,7.0,3.0
399,7.0,39.0,6.0,2.0,3.0,284.0,72.0,86.0,142.0,157.0,5.0,24.0,22.0,3.0,0.0,86.0,435.0,65.0,116.0,243.0,25.0
40,47.0,0.0,17.0,153.0,178.0,24.0,3.0,15.0,8.0,13.0,55.0,206.0,9.0,166.0,206.0,17.0,36.0,6.0,20.0,48.0,13.0
400,295.0,10.0,211.0,54.0,98.0,93.0,3.0,57.0,117.0,75.0,159.0,2.0,186.0,131.0,115.0,76.0,12.0,55.0,120.0,115.0,29.0
406,3.0,1.0,3.0,0.0,0.0,212.0,430.0,499.0,566.0,364.0,0.0,1.0,16.0,0.0,1.0,240.0,137.0,275.0,319.0,352.0,42.0
408,1.0,0.0,2.0,0.0,2.0,6.0,6.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,5.0,13.0,1.0,1.0,15.0,0.0
409,1701.0,27.0,152.0,206.0,924.0,188.0,284.0,29.0,131.0,65.0,1336.0,147.0,56.0,384.0,354.0,81.0,1368.0,28.0,57.0,162.0,37.0
40_2,2.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0
412,14.0,8.0,4.0,2.0,1.0,47.0,3.0,1.0,24.0,15.0,11.0,2.0,5.0,0.0,2.0,38.0,25.0,9.0,27.0,56.0,4.0
418,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,8.0,3.0,2.0,0.0,0.0,4.0,14.0,1.0,2.0,3.0,0.0
419,5.0,1.0,6.0,0.0,2.0,158.0,80.0,163.0,180.0,230.0,1.0,3.0,10.0,1.0,2.0,99.0,13.0,181.0,99.0,256.0,22.0
420,0.0,1.0,0.0,0.0,0.0,37.0,2.0,3.0,12.0,16.0,3.0,1.0,0.0,0.0,0.0,9.0,6.0,2.0,11.0,69.0,4.0
421,212.0,8.0,154.0,53.0,81.0,81.0,184.0,17.0,42.0,29.0,230.0,270.0,52.0,41.0,52.0,16.0,2373.0,31.0,39.0,103.0,13.0
426,14.0,1.0,5.0,5.0,10.0,14.0,11.0,5.0,4.0,10.0,5.0,2.0,10.0,11.0,2.0,7.0,22.0,6.0,6.0,22.0,0.0
43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0
431,1.0,0.0,5.0,0.0,0.0,393.0,81.0,240.0,165.0,316.0,0.0,0.0,4.0,0.0,0.0,173.0,197.0,203.0,277.0,643.0,98.0
433,9.0,1.0,11.0,7.0,2.0,8.0,4.0,5.0,6.0,6.0,6.0,0.0,21.0,6.0,2.0,12.0,11.0,10.0,7.0,26.0,5.0
434,74.0,54.0,289.0,85.0,47.0,99.0,33.0,172.0,76.0,159.0,108.0,1017.0,221.0,121.0,45.0,74.0,133.0,202.0,165.0,357.0,16.0
437,49.0,9.0,22.0,25.0,28.0,16.0,2.0,5.0,8.0,3.0,75.0,25.0,21.0,38.0,16.0,12.0,9.0,7.0,2.0,23.0,0.0
438,0.0,0.0,0.0,0.0,0.0,11.0,60.0,4.0,5.0,6.0,1.0,5.0,1.0,0.0,0.0,7.0,74.0,7.0,2.0,15.0,13.0
439,4.0,13.0,2.0,2.0,1.0,100.0,185.0,31.0,53.0,33.0,3.0,12.0,5.0,0.0,2.0,7.0,69.0,26.0,39.0,152.0,17.0
43_ref1,7.0,0.0,0.0,1.0,0.0,3.0,137.0,0.0,4.0,0.0,6.0,3.0,3.0,2.0,1.0,0.0,70.0,4.0,4.0,4.0,77.0
43_ref2,13.0,0.0,6.0,6.0,1.0,12.0,23.0,3.0,23.0,13.0,6.0,3.0,11.0,3.0,0.0,21.0,18.0,22.0,14.0,15.0,142.0
442,19.0,1.0,8.0,22.0,10.0,12.0,4.0,11.0,6.0,12.0,12.0,9.0,21.0,6.0,6.0,4.0,9.0,2.0,5.0,24.0,2.0
444,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0
446,1.0,0.0,1.0,0.0,0.0,78.0,322.0,24.0,26.0,65.0,1.0,1.0,4.0,0.0,0.0,12.0,181.0,21.0,26.0,188.0,26.0
45,1.0,0.0,1.0,2.0,2.0,7.0,6.0,11.0,17.0,14.0,2.0,7.0,0.0,0.0,2.0,6.0,20.0,14.0,10.0,30.0,1.0
450,3.0,0.0,2.0,0.0,1.0,33.0,7.0,63.0,62.0,60.0,2.0,2.0,6.0,0.0,0.0,19.0,8.0,47.0,51.0,92.0,11.0
452,5.0,0.0,1.0,0.0,0.0,2.0,6.0,8.0,12.0,5.0,1.0,0.0,2.0,1.0,1.0,6.0,10.0,6.0,6.0,24.0,1.0
458,4.0,2.0,2.0,0.0,1.0,354.0,219.0,368.0,923.0,570.0,2.0,2.0,5.0,0.0,0.0,240.0,262.0,303.0,393.0,757.0,163.0
459,18.0,2.0,2.0,0.0,0.0,9.0,6.0,8.0,24.0,18.0,15.0,2.0,16.0,5.0,4.0,11.0,16.0,4.0,9.0,36.0,6.0
460,122.0,735.0,56.0,64.0,41.0,125.0,92.0,71.0,74.0,79.0,37.0,17226.0,52.0,100.0,55.0,64.0,193.0,100.0,70.0,72.0,20.0
466,14.0,1.0,7.0,3.0,4.0,6.0,2.0,3.0,16.0,8.0,4.0,17.0,8.0,2.0,1.0,3.0,7.0,4.0,11.0,19.0,3.0
468,693.0,35.0,793.0,781.0,725.0,591.0,282.0,556.0,779.0,567.0,693.0,21.0,750.0,1061.0,485.0,512.0,100.0,425.0,663.0,771.0,125.0
470,285.0,2829.0,116.0,105.0,188.0,28.0,33.0,16.0,34.0,38.0,250.0,13770.0,24.0,153.0,105.0,16.0,39.0,15.0,11.0,76.0,13.0
473,6.0,6.0,2.0,3.0,3.0,90.0,32.0,64.0,167.0,86.0,1.0,20.0,5.0,3.0,1.0,79.0,127.0,48.0,51.0,96.0,19.0
475,22.0,10.0,54.0,10.0,4.0,1769.0,1696.0,1558.0,1183.0,1678.0,7.0,25.0,102.0,3.0,6.0,631.0,830.0,1353.0,1235.0,3611.0,424.0
476,6.0,0.0,13.0,0.0,1.0,1648.0,821.0,658.0,689.0,1006.0,0.0,8.0,27.0,1.0,1.0,382.0,846.0,680.0,768.0,4477.0,815.0
48,3.0,0.0,3.0,5.0,2.0,63.0,16.0,83.0,190.0,94.0,1.0,11.0,2.0,2.0,0.0,23.0,1849.0,114.0,138.0,89.0,32.0
485,12.0,4.0,94.0,5.0,0.0,58.0,5.0,25.0,10.0,23.0,4.0,15.0,21.0,7.0,5.0,20.0,2.0,18.0,6.0,42.0,11.0
486,143.0,6.0,328.0,36.0,40.0,163.0,968.0,293.0,215.0,276.0,67.0,366.0,195.0,133.0,32.0,123.0,127.0,231.0,238.0,442.0,31.0
491,135.0,5.0,420.0,163.0,93.0,65.0,24.0,65.0,87.0,99.0,161.0,62.0,359.0,122.0,77.0,72.0,13.0,89.0,109.0,179.0,32.0
493,17.0,155.0,81.0,12.0,7.0,61.0,2555.0,121.0,137.0,79.0,42.0,906.0,106.0,27.0,14.0,46.0,101.0,86.0,146.0,85.0,34.0
495,6.0,1.0,10.0,1.0,2.0,1341.0,73.0,974.0,2177.0,1091.0,0.0,2.0,17.0,0.0,1.0,888.0,301.0,835.0,1412.0,1783.0,226.0
50,30.0,0.0,0.0,5.0,10.0,4.0,52.0,3.0,18.0,2.0,8.0,17.0,2.0,4.0,13.0,4.0,1.0,5.0,2.0,22.0,1.0
503,7.0,0.0,3.0,4.0,0.0,36.0,406.0,59.0,50.0,39.0,0.0,0.0,5.0,2.0,0.0,31.0,29.0,14.0,52.0,66.0,19.0
507,2.0,1.0,1.0,0.0,2.0,41.0,7.0,6.0,22.0,21.0,0.0,8.0,2.0,1.0,0.0,5.0,27.0,18.0,26.0,47.0,17.0
508,7.0,8.0,1.0,2.0,5.0,253.0,763.0,113.0,275.0,226.0,0.0,34.0,6.0,6.0,1.0,102.0,192.0,138.0,271.0,457.0,122.0
52,4.0,2.0,4.0,1.0,3.0,213.0,535.0,193.0,195.0,243.0,1.0,13.0,3.0,0.0,0.0,176.0,169.0,239.0,256.0,379.0,45.0
520,10.0,1.0,7.0,5.0,6.0,12.0,6.0,6.0,19.0,6.0,8.0,2.0,6.0,2.0,1.0,11.0,7.0,6.0,4.0,36.0,6.0
521,7.0,3.0,4.0,4.0,4.0,34.0,24.0,209.0,912.0,242.0,1.0,17.0,4.0,1.0,1.0,65.0,35.0,27.0,135.0,160.0,49.0
522,15.0,2.0,6.0,5.0,1.0,23.0,18.0,25.0,35.0,62.0,3.0,21.0,8.0,3.0,3.0,10.0,45.0,28.0,38.0,59.0,11.0
523,1163.0,94.0,852.0,656.0,528.0,295.0,186.0,337.0,541.0,345.0,722.0,10323.0,1004.0,698.0,387.0,275.0,385.0,284.0,385.0,447.0,47.0
524,121.0,430.0,27.0,17.0,26.0,39.0,130.0,39.0,53.0,25.0,80.0,3147.0,32.0,38.0,17.0,57.0,42.0,44.0,44.0,110.0,11.0
525,338.0,102.0,406.0,164.0,129.0,145.0,8.0,145.0,210.0,137.0,280.0,272.0,513.0,204.0,112.0,85.0,83.0,110.0,173.0,179.0,23.0
531,7.0,9.0,2.0,6.0,2.0,2.0,2.0,4.0,2.0,7.0,3.0,49.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,9.0,1.0
532,17.0,3.0,1.0,9.0,3.0,1.0,4.0,0.0,2.0,5.0,8.0,54.0,2.0,3.0,8.0,4.0,2.0,2.0,5.0,5.0,2.0
535,126.0,107.0,22.0,49.0,75.0,41.0,62.0,17.0,17.0,21.0,100.0,169.0,37.0,30.0,31.0,24.0,29.0,23.0,17.0,55.0,7.0
538,347.0,13.0,108.0,183.0,161.0,78.0,14.0,50.0,190.0,61.0,328.0,241.0,60.0,181.0,138.0,44.0,36.0,64.0,94.0,148.0,21.0
539,304.0,318.0,460.0,132.0,307.0,268.0,145.0,98.0,110.0,299.0,429.0,1369.0,492.0,387.0,155.0,70.0,52.0,126.0,88.0,544.0,31.0
540,6760.0,2671.0,2061.0,7422.0,6292.0,1973.0,2114.0,2175.0,1463.0,1561.0,6305.0,40399.0,1824.0,8672.0,3270.0,1475.0,2705.0,1549.0,3319.0,3283.0,675.0
541,4.0,2.0,3.0,4.0,3.0,112.0,54.0,125.0,121.0,127.0,6.0,38.0,5.0,0.0,7.0,123.0,19.0,92.0,170.0,188.0,24.0
