strain_id,A_MTX_5-FC.ERG11_PIS1,A_MTX_Fluconazole.ERG11_PIS1,A_MTX_Metformin.ERG11_PIS1,A_MTX_Trifluoperazine.ERG11_PIS1,A_MTX_noDrug.ERG11_PIS1,A_noMTX_5-FC.ERG11_PIS1,A_noMTX_Fluconazole.ERG11_PIS1,A_noMTX_Metformin.ERG11_PIS1,A_noMTX_Trifluoperazine.ERG11_PIS1,A_noMTX_noDrug.ERG11_PIS1,B_MTX_5-FC.ERG11_PIS1,B_MTX_Fluconazole.ERG11_PIS1,B_MTX_Metformin.ERG11_PIS1,B_MTX_Trifluoperazine.ERG11_PIS1,B_MTX_noDrug.ERG11_PIS1,B_noMTX_5-FC.ERG11_PIS1,B_noMTX_Fluconazole.ERG11_PIS1,B_noMTX_Metformin.ERG11_PIS1,B_noMTX_Trifluoperazine.ERG11_PIS1,B_noMTX_noDrug.ERG11_PIS1,T0_noMTX_noDrug.ERG11_PIS1
1050,82.0,3.0,6.0,76.0,95.0,116.0,2.0,108.0,111.0,27.0,57.0,0.0,63.0,94.0,46.0,57.0,7.0,26.0,456.0,111.0,25.0
1065,61.0,15.0,29.0,8.0,82.0,54.0,0.0,49.0,7.0,8.0,18.0,17.0,96.0,22.0,6.0,25.0,0.0,21.0,245.0,128.0,19.0
1069,581.0,1052.0,210.0,205.0,366.0,287.0,483.0,192.0,219.0,57.0,378.0,1711.0,397.0,299.0,105.0,226.0,168.0,195.0,595.0,175.0,92.0
107,17.0,88.0,20.0,2.0,0.0,295.0,21.0,123.0,105.0,26.0,1.0,322.0,91.0,7.0,0.0,186.0,267.0,207.0,413.0,144.0,33.0
113,5.0,39.0,6.0,5.0,86.0,224.0,1.0,41.0,148.0,38.0,226.0,2.0,258.0,8.0,69.0,96.0,20.0,15.0,212.0,14.0,40.0
119,2.0,12.0,0.0,9.0,4.0,3.0,3.0,2.0,5.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,6.0,0.0,7.0,1.0,0.0
124,192.0,18.0,37.0,83.0,376.0,69.0,0.0,66.0,27.0,16.0,155.0,0.0,141.0,88.0,60.0,85.0,26.0,79.0,106.0,92.0,34.0
128,1.0,0.0,4.0,2.0,1.0,150.0,11.0,61.0,57.0,15.0,3.0,0.0,21.0,0.0,0.0,93.0,21.0,64.0,531.0,87.0,43.0
132,32.0,171.0,204.0,5.0,11.0,575.0,35.0,602.0,459.0,124.0,35.0,1586.0,464.0,12.0,0.0,298.0,45.0,326.0,2123.0,606.0,100.0
133,0.0,19.0,8.0,1.0,0.0,143.0,2.0,41.0,107.0,56.0,0.0,34.0,4.0,0.0,0.0,69.0,10.0,98.0,150.0,117.0,20.0
136,4.0,10.0,15.0,0.0,0.0,21.0,3.0,114.0,162.0,13.0,0.0,296.0,8.0,1.0,0.0,42.0,5.0,21.0,350.0,73.0,32.0
14,2909.0,224.0,568.0,2518.0,2822.0,975.0,78.0,750.0,1804.0,446.0,1139.0,1177.0,1321.0,1873.0,1551.0,555.0,87.0,686.0,3441.0,1447.0,582.0
146,1770.0,101.0,705.0,769.0,1336.0,1786.0,886.0,1042.0,1626.0,219.0,1033.0,1040.0,1391.0,957.0,412.0,1504.0,171.0,864.0,4869.0,1173.0,365.0
15,21.0,5.0,4.0,12.0,25.0,172.0,180.0,60.0,138.0,43.0,33.0,2.0,39.0,10.0,10.0,116.0,11.0,73.0,86.0,109.0,27.0
151,1.0,9.0,10.0,5.0,6.0,99.0,23.0,22.0,87.0,3.0,2.0,1.0,18.0,2.0,3.0,49.0,13.0,43.0,219.0,40.0,43.0
153,21.0,65.0,24.0,1.0,1.0,320.0,23.0,152.0,96.0,57.0,1.0,0.0,69.0,3.0,0.0,223.0,50.0,107.0,258.0,213.0,87.0
17,1.0,7.0,1.0,10.0,1.0,3.0,2.0,1.0,7.0,1.0,0.0,8.0,4.0,7.0,2.0,1.0,9.0,2.0,10.0,0.0,2.0
171,25.0,4.0,5.0,18.0,28.0,40.0,2811.0,6.0,8.0,6.0,8.0,5.0,37.0,12.0,6.0,11.0,23.0,36.0,38.0,17.0,14.0
175,1.0,0.0,0.0,0.0,0.0,58.0,3.0,5.0,6.0,6.0,2.0,0.0,2.0,1.0,0.0,29.0,2.0,26.0,52.0,40.0,15.0
180,40.0,172.0,23.0,5.0,22.0,169.0,2.0,179.0,85.0,64.0,21.0,98.0,90.0,0.0,1.0,125.0,46.0,279.0,211.0,336.0,115.0
180_2,41.0,2007.0,48.0,13.0,31.0,544.0,226.0,384.0,228.0,256.0,22.0,6.0,222.0,14.0,13.0,459.0,109.0,501.0,225.0,637.0,250.0
185,25.0,9.0,10.0,9.0,14.0,4.0,2.0,4.0,13.0,2.0,11.0,2.0,13.0,15.0,4.0,2.0,3.0,11.0,44.0,10.0,2.0
187,8.0,3.0,17.0,0.0,3.0,164.0,6.0,99.0,19.0,7.0,0.0,32.0,51.0,1.0,0.0,33.0,199.0,180.0,241.0,100.0,45.0
188,6.0,60.0,100.0,6.0,1.0,100.0,28.0,88.0,82.0,30.0,6.0,23.0,71.0,6.0,2.0,143.0,9.0,104.0,511.0,161.0,26.0
192,3.0,59.0,2.0,8.0,2.0,30.0,10.0,6.0,87.0,11.0,1.0,14.0,10.0,8.0,3.0,23.0,24.0,23.0,37.0,21.0,17.0
20,5.0,0.0,14.0,0.0,0.0,33.0,3.0,25.0,20.0,5.0,0.0,0.0,21.0,0.0,0.0,24.0,24.0,34.0,206.0,73.0,22.0
209,0.0,2.0,2.0,2.0,1.0,66.0,39.0,32.0,76.0,22.0,1.0,1.0,14.0,2.0,0.0,51.0,15.0,58.0,84.0,16.0,27.0
210,4.0,2.0,3.0,3.0,6.0,51.0,402.0,35.0,17.0,13.0,2.0,2.0,7.0,2.0,1.0,27.0,40.0,38.0,46.0,39.0,19.0
226,160.0,174.0,33.0,35.0,138.0,107.0,4.0,62.0,75.0,18.0,80.0,70.0,53.0,84.0,22.0,73.0,3.0,72.0,305.0,92.0,171.0
235,2.0,2.0,2.0,1.0,1.0,7.0,2.0,2.0,2.0,2.0,0.0,0.0,9.0,3.0,0.0,13.0,2.0,3.0,7.0,17.0,1.0
240,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,7.0,2.0,1.0
248,40.0,10.0,3.0,9.0,25.0,53.0,2.0,41.0,50.0,4.0,14.0,0.0,20.0,35.0,4.0,7.0,2.0,22.0,19.0,18.0,7.0
250,0.0,1.0,0.0,0.0,1.0,10.0,2.0,3.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,6.0,30.0,4.0,5.0
252,0.0,1125.0,0.0,1.0,8.0,5.0,2377.0,6.0,9.0,0.0,3.0,0.0,2.0,9.0,1.0,2.0,608.0,140.0,6.0,0.0,1.0
253,5.0,11.0,20.0,6.0,4.0,147.0,99.0,58.0,179.0,22.0,5.0,37.0,22.0,5.0,4.0,47.0,53.0,105.0,165.0,60.0,17.0
254,8.0,43.0,36.0,2.0,1.0,115.0,11.0,151.0,425.0,53.0,1.0,12.0,59.0,4.0,4.0,71.0,72.0,92.0,673.0,146.0,48.0
257,2.0,0.0,1.0,0.0,0.0,29.0,18.0,15.0,17.0,10.0,1.0,0.0,2.0,0.0,0.0,11.0,6.0,22.0,22.0,16.0,16.0
258,70.0,39.0,20.0,9.0,84.0,201.0,533.0,68.0,57.0,20.0,41.0,2.0,59.0,11.0,20.0,89.0,115.0,112.0,156.0,98.0,43.0
27,81.0,3.0,5.0,27.0,43.0,28.0,2.0,11.0,12.0,4.0,25.0,0.0,3.0,22.0,6.0,32.0,7.0,19.0,47.0,23.0,12.0
270,0.0,0.0,0.0,0.0,0.0,22.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,41.0,6.0,8.0
271,0.0,11.0,26.0,1.0,0.0,89.0,12.0,73.0,44.0,32.0,11.0,42.0,51.0,4.0,0.0,84.0,4.0,76.0,165.0,161.0,33.0
272,1.0,1.0,12.0,0.0,1.0,61.0,4.0,80.0,110.0,73.0,0.0,0.0,22.0,0.0,0.0,105.0,1.0,95.0,102.0,179.0,29.0
277,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0
286,1.0,5.0,26.0,0.0,0.0,21.0,3.0,9.0,13.0,1.0,4.0,2.0,10.0,4.0,6.0,31.0,1.0,9.0,321.0,16.0,5.0
289,0.0,259.0,15.0,1.0,1.0,153.0,8.0,56.0,134.0,13.0,0.0,0.0,8.0,0.0,1.0,62.0,7.0,78.0,281.0,40.0,33.0
29,0.0,12.0,13.0,6.0,2.0,222.0,4.0,156.0,203.0,95.0,6.0,11.0,45.0,5.0,2.0,217.0,11.0,97.0,650.0,186.0,146.0
291,0.0,1.0,3.0,0.0,0.0,4.0,2.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,1.0
294,12.0,94.0,5.0,3.0,5.0,160.0,13.0,96.0,195.0,52.0,6.0,15.0,124.0,2.0,5.0,73.0,5.0,77.0,212.0,133.0,24.0
296,0.0,8.0,3.0,1.0,0.0,280.0,27.0,93.0,133.0,38.0,0.0,383.0,14.0,5.0,1.0,172.0,31.0,96.0,308.0,97.0,30.0
299,1.0,2.0,51.0,3.0,1.0,274.0,2.0,160.0,193.0,26.0,0.0,0.0,27.0,1.0,0.0,131.0,3.0,102.0,542.0,84.0,18.0
307,4.0,18.0,8.0,5.0,0.0,34.0,4.0,69.0,17.0,16.0,1.0,0.0,44.0,6.0,2.0,36.0,2.0,21.0,122.0,28.0,20.0
308,2.0,4.0,1.0,0.0,2.0,2.0,2.0,4.0,12.0,3.0,0.0,3.0,5.0,0.0,2.0,2.0,2.0,9.0,7.0,3.0,2.0
31,182.0,0.0,2.0,29.0,134.0,68.0,0.0,31.0,16.0,4.0,148.0,0.0,115.0,42.0,19.0,43.0,1.0,11.0,174.0,70.0,14.0
311,0.0,1.0,1.0,0.0,1.0,8.0,3.0,3.0,6.0,1.0,2.0,1.0,0.0,1.0,1.0,6.0,2.0,4.0,16.0,3.0,3.0
312,433.0,7.0,242.0,110.0,588.0,214.0,2.0,92.0,112.0,34.0,224.0,17.0,32.0,114.0,143.0,133.0,17.0,73.0,317.0,147.0,37.0
32,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0
320,181.0,147.0,592.0,56.0,227.0,471.0,44.0,348.0,497.0,108.0,122.0,411.0,283.0,108.0,53.0,518.0,76.0,247.0,875.0,405.0,49.0
323,13.0,68.0,0.0,10.0,27.0,16.0,4.0,2.0,5.0,2.0,24.0,1.0,2.0,9.0,2.0,16.0,11.0,11.0,9.0,11.0,4.0
325,12.0,75.0,25.0,2.0,0.0,288.0,84.0,264.0,108.0,48.0,4.0,4.0,137.0,2.0,1.0,147.0,48.0,242.0,545.0,240.0,56.0
33,1.0,0.0,11.0,2.0,2.0,41.0,0.0,8.0,24.0,4.0,0.0,0.0,11.0,0.0,2.0,56.0,0.0,23.0,65.0,20.0,24.0
335,23.0,27.0,6.0,14.0,28.0,104.0,3.0,14.0,23.0,4.0,21.0,2.0,18.0,36.0,21.0,29.0,0.0,23.0,57.0,37.0,24.0
336,91.0,1.0,20.0,11.0,29.0,39.0,17.0,66.0,25.0,11.0,45.0,0.0,24.0,11.0,14.0,21.0,13.0,37.0,129.0,38.0,17.0
337,12.0,209.0,47.0,4.0,1.0,845.0,291.0,538.0,403.0,145.0,9.0,86.0,171.0,8.0,1.0,544.0,101.0,600.0,1169.0,702.0,119.0
339,250.0,8.0,533.0,70.0,377.0,83.0,2.0,371.0,52.0,9.0,113.0,11.0,530.0,69.0,73.0,76.0,798.0,291.0,180.0,115.0,21.0
347,1.0,4.0,3.0,0.0,0.0,37.0,3.0,9.0,13.0,2.0,1.0,1.0,12.0,1.0,1.0,44.0,6.0,16.0,24.0,32.0,8.0
348,0.0,69.0,9.0,0.0,1.0,45.0,3.0,18.0,21.0,8.0,2.0,2.0,5.0,0.0,0.0,38.0,2.0,4.0,20.0,35.0,20.0
350,137.0,26.0,106.0,97.0,276.0,85.0,27.0,77.0,81.0,24.0,154.0,11.0,92.0,220.0,64.0,93.0,35.0,89.0,166.0,50.0,14.0
354,1.0,0.0,4.0,2.0,0.0,68.0,22.0,161.0,19.0,28.0,2.0,0.0,20.0,0.0,2.0,85.0,9.0,43.0,279.0,91.0,18.0
358,1.0,2.0,11.0,1.0,18.0,14.0,3.0,9.0,9.0,2.0,1.0,0.0,2.0,1.0,3.0,3.0,2.0,5.0,12.0,7.0,6.0
359,25.0,11.0,10.0,37.0,89.0,6.0,1.0,11.0,4.0,1.0,32.0,7.0,13.0,54.0,29.0,16.0,0.0,7.0,7.0,7.0,6.0
36,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0
364,3.0,24.0,1.0,0.0,3.0,7.0,5.0,2.0,4.0,2.0,3.0,10.0,1.0,2.0,0.0,3.0,29.0,12.0,4.0,2.0,3.0
375,451.0,6.0,365.0,361.0,446.0,441.0,66.0,155.0,184.0,69.0,289.0,26.0,313.0,272.0,188.0,249.0,7.0,91.0,397.0,210.0,73.0
383,2.0,15.0,81.0,2.0,0.0,229.0,4.0,113.0,71.0,25.0,3.0,3.0,34.0,2.0,0.0,49.0,5.0,85.0,160.0,44.0,34.0
385,0.0,22.0,0.0,1.0,4.0,4.0,15.0,0.0,3.0,2.0,0.0,7.0,1.0,0.0,0.0,4.0,9.0,9.0,3.0,2.0,0.0
392,2.0,5.0,12.0,2.0,2.0,100.0,8.0,75.0,161.0,47.0,3.0,6.0,22.0,4.0,0.0,91.0,22.0,97.0,758.0,101.0,44.0
397,10.0,27.0,2.0,2.0,0.0,16.0,5.0,4.0,10.0,2.0,1.0,24.0,20.0,1.0,0.0,6.0,1.0,5.0,15.0,5.0,16.0
399,63.0,7412.0,627.0,11.0,10.0,882.0,436.0,582.0,692.0,186.0,34.0,4029.0,958.0,7.0,2.0,883.0,175.0,464.0,2673.0,832.0,141.0
40,45.0,3.0,17.0,8.0,171.0,54.0,6.0,28.0,18.0,3.0,36.0,5.0,52.0,62.0,15.0,48.0,1.0,21.0,39.0,14.0,11.0
400,342.0,5.0,167.0,353.0,303.0,124.0,6.0,51.0,177.0,35.0,171.0,1.0,172.0,303.0,78.0,98.0,3.0,42.0,457.0,130.0,58.0
406,0.0,204.0,47.0,0.0,0.0,152.0,12.0,617.0,741.0,91.0,0.0,656.0,59.0,1.0,0.0,221.0,29.0,245.0,1238.0,269.0,42.0
408,0.0,2.0,0.0,0.0,0.0,25.0,5.0,8.0,5.0,11.0,0.0,0.0,15.0,0.0,0.0,13.0,2.0,6.0,27.0,30.0,3.0
409,468.0,69.0,32.0,454.0,344.0,535.0,3054.0,56.0,411.0,86.0,307.0,2.0,204.0,265.0,111.0,563.0,14.0,114.0,981.0,185.0,50.0
40_2,1.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,2.0,6.0,0.0,1.0
412,35.0,1.0,1.0,44.0,44.0,102.0,12.0,34.0,39.0,14.0,5.0,0.0,0.0,0.0,11.0,172.0,9.0,24.0,102.0,150.0,13.0
418,2.0,4.0,0.0,0.0,0.0,4.0,6.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,12.0,1.0,0.0
419,13.0,35.0,11.0,4.0,1.0,452.0,6.0,271.0,157.0,71.0,3.0,3.0,54.0,2.0,0.0,237.0,10.0,103.0,247.0,236.0,36.0
420,0.0,0.0,4.0,0.0,0.0,49.0,3.0,73.0,22.0,6.0,0.0,9.0,1.0,0.0,0.0,71.0,1.0,19.0,91.0,44.0,35.0
421,231.0,26.0,39.0,113.0,185.0,182.0,10.0,94.0,120.0,19.0,159.0,33.0,239.0,136.0,130.0,240.0,43.0,91.0,247.0,123.0,29.0
426,35.0,14.0,8.0,34.0,21.0,9.0,3.0,6.0,15.0,4.0,20.0,6.0,24.0,27.0,11.0,7.0,10.0,8.0,38.0,8.0,2.0
43,0.0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,388.0,109.0,5.0,3.0,2.0
431,5.0,8.0,6.0,2.0,1.0,161.0,1.0,182.0,36.0,24.0,15.0,0.0,138.0,2.0,3.0,92.0,210.0,243.0,29.0,160.0,48.0
433,7.0,1.0,9.0,8.0,7.0,27.0,8.0,23.0,14.0,5.0,7.0,3.0,32.0,4.0,0.0,16.0,8.0,12.0,73.0,12.0,7.0
434,501.0,87.0,225.0,83.0,624.0,428.0,18.0,294.0,140.0,77.0,423.0,1877.0,533.0,151.0,66.0,206.0,5.0,252.0,424.0,455.0,70.0
437,16.0,33.0,10.0,10.0,15.0,25.0,19.0,7.0,20.0,6.0,4.0,3.0,22.0,9.0,8.0,7.0,15.0,14.0,29.0,16.0,6.0
438,2.0,16.0,0.0,0.0,1.0,42.0,9.0,13.0,11.0,0.0,0.0,40.0,8.0,1.0,0.0,27.0,16.0,16.0,18.0,21.0,22.0
439,0.0,340.0,20.0,1.0,0.0,306.0,87.0,151.0,113.0,49.0,0.0,899.0,96.0,1.0,0.0,268.0,568.0,306.0,278.0,171.0,85.0
43_ref1,5.0,4.0,2.0,0.0,4.0,3.0,553.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,1244.0,231.0,13.0,7.0,179.0
43_ref2,5.0,2.0,1.0,5.0,9.0,64.0,1.0,58.0,370.0,45.0,3.0,0.0,10.0,2.0,1.0,32.0,67.0,19.0,661.0,196.0,362.0
442,13.0,303.0,4.0,14.0,17.0,42.0,503.0,6.0,28.0,3.0,15.0,6.0,27.0,13.0,10.0,4.0,70.0,41.0,68.0,12.0,6.0
444,1.0,0.0,0.0,1.0,3.0,5.0,3.0,1.0,0.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0
446,69.0,48.0,3.0,0.0,9.0,80.0,11.0,143.0,39.0,33.0,26.0,38.0,80.0,3.0,4.0,50.0,19.0,138.0,168.0,151.0,69.0
45,0.0,1.0,2.0,1.0,1.0,8.0,3.0,6.0,13.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,14.0,9.0,24.0,5.0,8.0
450,9.0,16.0,6.0,2.0,1.0,26.0,6.0,3.0,17.0,5.0,5.0,1.0,26.0,4.0,1.0,9.0,10.0,11.0,32.0,15.0,4.0
452,12.0,2.0,3.0,7.0,2.0,5.0,2.0,4.0,11.0,1.0,6.0,0.0,14.0,10.0,8.0,1.0,12.0,5.0,22.0,1.0,2.0
458,0.0,2.0,3.0,2.0,0.0,40.0,12.0,31.0,67.0,20.0,1.0,1.0,13.0,1.0,0.0,46.0,4.0,33.0,66.0,58.0,21.0
459,515.0,97.0,69.0,441.0,442.0,346.0,117.0,234.0,319.0,71.0,285.0,383.0,398.0,278.0,187.0,225.0,10.0,115.0,369.0,107.0,88.0
460,141.0,445.0,125.0,96.0,247.0,436.0,56.0,377.0,322.0,50.0,99.0,136.0,85.0,89.0,48.0,237.0,259.0,295.0,387.0,301.0,33.0
466,2.0,10.0,3.0,4.0,2.0,11.0,6.0,6.0,19.0,3.0,0.0,2.0,10.0,7.0,4.0,6.0,5.0,8.0,13.0,7.0,6.0
468,1517.0,168.0,442.0,962.0,1901.0,509.0,2183.0,383.0,465.0,129.0,967.0,5.0,580.0,1183.0,602.0,465.0,29.0,399.0,1273.0,388.0,136.0
470,286.0,10.0,50.0,182.0,313.0,172.0,9.0,96.0,95.0,15.0,302.0,2.0,137.0,62.0,102.0,225.0,6.0,64.0,193.0,124.0,31.0
473,12.0,7.0,8.0,7.0,8.0,92.0,16.0,35.0,57.0,13.0,3.0,10.0,14.0,4.0,1.0,70.0,8.0,34.0,104.0,64.0,18.0
475,122.0,1998.0,903.0,22.0,22.0,3682.0,6181.0,8307.0,4073.0,1217.0,39.0,5703.0,2239.0,30.0,7.0,2836.0,666.0,4138.0,14705.0,4923.0,988.0
476,76.0,1014.0,346.0,8.0,17.0,4147.0,850.0,4785.0,4225.0,1302.0,49.0,4.0,1383.0,13.0,5.0,2633.0,2964.0,4197.0,10566.0,5362.0,3022.0
48,3.0,128.0,4.0,11.0,6.0,23.0,3.0,19.0,20.0,11.0,4.0,14.0,19.0,5.0,4.0,56.0,13.0,11.0,24.0,6.0,9.0
485,281.0,9.0,52.0,26.0,183.0,185.0,3.0,207.0,67.0,13.0,263.0,1.0,605.0,31.0,35.0,178.0,0.0,110.0,130.0,64.0,47.0
486,387.0,31.0,45.0,50.0,502.0,140.0,44.0,60.0,77.0,15.0,193.0,12.0,173.0,87.0,55.0,52.0,2.0,89.0,1140.0,262.0,42.0
491,306.0,6.0,225.0,269.0,343.0,89.0,4.0,104.0,100.0,43.0,154.0,1.0,622.0,394.0,94.0,72.0,5.0,103.0,322.0,121.0,104.0
493,153.0,14.0,37.0,59.0,80.0,40.0,731.0,38.0,56.0,7.0,70.0,14.0,61.0,40.0,23.0,32.0,870.0,215.0,165.0,68.0,30.0
495,69.0,33.0,103.0,2.0,4.0,673.0,14.0,288.0,528.0,87.0,13.0,3.0,224.0,2.0,1.0,370.0,95.0,274.0,1148.0,297.0,75.0
50,8.0,12.0,7.0,9.0,9.0,10.0,1.0,5.0,16.0,2.0,3.0,3.0,12.0,8.0,8.0,5.0,17.0,5.0,39.0,7.0,19.0
503,4.0,14.0,34.0,3.0,0.0,107.0,9.0,121.0,220.0,24.0,1.0,0.0,52.0,0.0,0.0,184.0,6.0,72.0,778.0,115.0,39.0
507,0.0,1.0,6.0,0.0,0.0,99.0,7.0,44.0,39.0,13.0,0.0,1.0,6.0,0.0,0.0,79.0,3.0,63.0,249.0,82.0,57.0
508,2.0,9.0,107.0,6.0,4.0,139.0,212.0,152.0,128.0,45.0,3.0,99.0,207.0,1.0,1.0,264.0,7.0,62.0,465.0,192.0,106.0
52,1.0,12.0,4.0,1.0,1.0,86.0,42.0,55.0,39.0,13.0,2.0,1.0,7.0,0.0,0.0,16.0,20.0,41.0,115.0,98.0,4.0
520,1.0,1.0,0.0,3.0,4.0,5.0,1.0,4.0,12.0,0.0,1.0,0.0,8.0,0.0,3.0,7.0,0.0,3.0,40.0,9.0,5.0
521,16.0,2.0,156.0,4.0,5.0,573.0,10.0,59.0,2487.0,242.0,5.0,6.0,10.0,4.0,8.0,1539.0,8.0,1861.0,4860.0,566.0,213.0
522,14.0,171.0,7.0,9.0,16.0,74.0,15.0,32.0,74.0,17.0,13.0,1117.0,33.0,2.0,8.0,51.0,25.0,49.0,56.0,32.0,10.0
523,7715.0,326.0,3540.0,3054.0,4797.0,3377.0,151.0,3389.0,4179.0,847.0,3502.0,357.0,4958.0,2441.0,1995.0,2756.0,128.0,1901.0,8753.0,3381.0,318.0
524,315.0,105.0,43.0,18.0,193.0,67.0,278.0,71.0,44.0,9.0,154.0,10.0,38.0,90.0,11.0,47.0,7.0,47.0,212.0,126.0,30.0
525,870.0,118.0,554.0,428.0,510.0,601.0,312.0,308.0,252.0,75.0,784.0,5.0,645.0,468.0,182.0,483.0,36.0,226.0,1178.0,291.0,75.0
531,5.0,4.0,5.0,5.0,6.0,45.0,31.0,35.0,51.0,6.0,3.0,3.0,95.0,2.0,3.0,22.0,8.0,36.0,37.0,44.0,24.0
532,3.0,3.0,1.0,1.0,4.0,6.0,4.0,2.0,9.0,2.0,0.0,3.0,8.0,3.0,3.0,1.0,10.0,5.0,33.0,5.0,1.0
535,4179.0,5650.0,169.0,1235.0,4892.0,1564.0,2311.0,293.0,405.0,261.0,2669.0,929.0,732.0,909.0,1611.0,1056.0,219.0,432.0,439.0,632.0,291.0
538,1088.0,53.0,483.0,380.0,803.0,286.0,83.0,254.0,372.0,97.0,637.0,202.0,822.0,460.0,294.0,179.0,69.0,237.0,1760.0,317.0,63.0
539,706.0,267.0,275.0,224.0,827.0,458.0,26.0,410.0,301.0,259.0,180.0,120.0,900.0,197.0,237.0,370.0,60.0,832.0,588.0,753.0,83.0
540,1740.0,248.0,476.0,306.0,1158.0,428.0,2189.0,485.0,212.0,70.0,744.0,79.0,645.0,916.0,308.0,437.0,227.0,377.0,1954.0,521.0,221.0
