strain_id,A_MTX_5-FC.ADE17_HYR1,A_MTX_Fluconazole.ADE17_HYR1,A_MTX_Metformin.ADE17_HYR1,A_MTX_Trifluoperazine.ADE17_HYR1,A_MTX_noDrug.ADE17_HYR1,A_noMTX_5-FC.ADE17_HYR1,A_noMTX_Fluconazole.ADE17_HYR1,A_noMTX_Metformin.ADE17_HYR1,A_noMTX_Trifluoperazine.ADE17_HYR1,A_noMTX_noDrug.ADE17_HYR1,B_MTX_5-FC.ADE17_HYR1,B_MTX_Fluconazole.ADE17_HYR1,B_MTX_Metformin.ADE17_HYR1,B_MTX_Trifluoperazine.ADE17_HYR1,B_MTX_noDrug.ADE17_HYR1,B_noMTX_5-FC.ADE17_HYR1,B_noMTX_Fluconazole.ADE17_HYR1,B_noMTX_Metformin.ADE17_HYR1,B_noMTX_Trifluoperazine.ADE17_HYR1,B_noMTX_noDrug.ADE17_HYR1,T0_noMTX_noDrug.ADE17_HYR1
1040,8.0,8.0,8.0,29.0,4.0,46.0,7.0,29.0,35.0,22.0,4.0,0.0,17.0,26.0,1.0,29.0,30.0,25.0,22.0,53.0,7.0
1046,2.0,3.0,0.0,0.0,0.0,1464.0,529.0,94.0,249.0,94.0,0.0,1.0,0.0,1.0,1.0,170.0,1136.0,314.0,52.0,51.0,302.0
1050,4.0,0.0,3.0,5.0,1.0,17.0,1.0,7.0,12.0,6.0,1.0,0.0,12.0,4.0,0.0,7.0,4.0,6.0,13.0,10.0,3.0
1065,1.0,16.0,1.0,5.0,1.0,7.0,1.0,3.0,1.0,2.0,3.0,4.0,9.0,8.0,0.0,0.0,3.0,2.0,4.0,2.0,1.0
1069,207.0,1061.0,168.0,257.0,221.0,7020.0,1246.0,1385.0,1140.0,1117.0,370.0,598.0,374.0,568.0,197.0,718.0,1968.0,789.0,308.0,1315.0,1629.0
107,1.0,0.0,2.0,1.0,0.0,349.0,36.0,29.0,55.0,25.0,0.0,2.0,2.0,3.0,0.0,62.0,105.0,60.0,10.0,42.0,65.0
113,49.0,5.0,1.0,11.0,17.0,11.0,7.0,10.0,15.0,3.0,5.0,1.0,12.0,18.0,10.0,2.0,24.0,10.0,10.0,8.0,5.0
119,3.0,8.0,1.0,17.0,3.0,6.0,9.0,4.0,9.0,0.0,3.0,0.0,3.0,7.0,2.0,1.0,6.0,4.0,4.0,1.0,1.0
124,5.0,0.0,4.0,9.0,2.0,10.0,6.0,4.0,17.0,5.0,5.0,0.0,18.0,36.0,5.0,3.0,10.0,7.0,6.0,8.0,9.0
128,2.0,0.0,1.0,0.0,0.0,2840.0,108.0,176.0,405.0,261.0,1.0,0.0,0.0,0.0,0.0,272.0,351.0,162.0,92.0,230.0,692.0
132,1.0,1.0,4.0,4.0,1.0,2344.0,14.0,400.0,582.0,419.0,0.0,6.0,5.0,3.0,1.0,348.0,64.0,211.0,119.0,462.0,186.0
133,0.0,0.0,2.0,0.0,0.0,690.0,18.0,44.0,89.0,73.0,3.0,1.0,1.0,1.0,0.0,97.0,25.0,41.0,24.0,57.0,52.0
136,0.0,0.0,0.0,0.0,1.0,21.0,13.0,11.0,22.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,9.0,8.0,1.0
14,29.0,23.0,11.0,35.0,19.0,135.0,20.0,55.0,58.0,47.0,21.0,9.0,41.0,101.0,28.0,20.0,29.0,31.0,44.0,90.0,144.0
146,78.0,125.0,93.0,185.0,76.0,7681.0,226.0,819.0,1443.0,1152.0,97.0,27.0,194.0,306.0,57.0,894.0,249.0,398.0,466.0,1259.0,2360.0
15,5.0,0.0,3.0,6.0,5.0,876.0,192.0,68.0,97.0,36.0,1.0,0.0,5.0,19.0,3.0,156.0,217.0,74.0,17.0,40.0,135.0
151,2.0,14.0,1.0,10.0,1.0,28.0,2.0,6.0,21.0,3.0,0.0,0.0,8.0,11.0,1.0,1.0,20.0,6.0,8.0,10.0,14.0
153,2.0,6.0,2.0,2.0,0.0,2115.0,341.0,98.0,159.0,101.0,1.0,0.0,0.0,0.0,0.0,251.0,945.0,283.0,26.0,82.0,136.0
17,6.0,18.0,1.0,6.0,4.0,2.0,1.0,0.0,6.0,4.0,0.0,5.0,2.0,2.0,2.0,3.0,8.0,0.0,1.0,3.0,4.0
171,5.0,1.0,2.0,4.0,5.0,88.0,22.0,16.0,14.0,8.0,5.0,5.0,8.0,11.0,2.0,7.0,16.0,8.0,8.0,11.0,21.0
175,0.0,0.0,0.0,0.0,0.0,41.0,2.0,6.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,3.0,5.0,1.0
180,2.0,3.0,0.0,0.0,1.0,21.0,7.0,5.0,3.0,8.0,2.0,0.0,2.0,1.0,0.0,3.0,6.0,3.0,7.0,9.0,0.0
180_2,6.0,85.0,1.0,16.0,4.0,26.0,36.0,21.0,8.0,20.0,5.0,2.0,1.0,4.0,2.0,16.0,28.0,10.0,8.0,19.0,11.0
185,4.0,1.0,0.0,3.0,1.0,5.0,0.0,1.0,2.0,2.0,1.0,0.0,6.0,3.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0
187,0.0,0.0,2.0,0.0,0.0,1251.0,17.0,202.0,276.0,300.0,0.0,0.0,4.0,2.0,0.0,194.0,42.0,183.0,21.0,160.0,445.0
188,0.0,38.0,4.0,5.0,4.0,35.0,5.0,10.0,32.0,5.0,2.0,6.0,3.0,2.0,0.0,18.0,18.0,15.0,29.0,26.0,4.0
192,11.0,57.0,0.0,31.0,11.0,27.0,62.0,10.0,13.0,6.0,6.0,12.0,6.0,10.0,6.0,11.0,130.0,24.0,10.0,13.0,5.0
20,3.0,0.0,2.0,0.0,0.0,10.0,3.0,4.0,7.0,3.0,2.0,0.0,1.0,1.0,0.0,5.0,4.0,5.0,3.0,3.0,1.0
209,0.0,3.0,1.0,2.0,0.0,2576.0,385.0,142.0,251.0,159.0,0.0,1.0,0.0,0.0,0.0,321.0,902.0,316.0,92.0,159.0,376.0
210,0.0,0.0,2.0,2.0,0.0,43.0,2.0,11.0,11.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,5.0,5.0,1.0,8.0,1.0
226,5.0,2.0,6.0,9.0,4.0,6.0,6.0,7.0,9.0,3.0,2.0,0.0,7.0,10.0,1.0,3.0,1.0,2.0,4.0,8.0,5.0
235,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,5.0,2.0,4.0,5.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0
240,1.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,7.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0
248,4.0,0.0,2.0,0.0,5.0,3.0,1.0,5.0,9.0,7.0,0.0,0.0,6.0,5.0,0.0,2.0,1.0,3.0,3.0,8.0,4.0
250,1.0,8.0,1.0,2.0,1.0,2.0,4.0,3.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,1.0
252,51.0,9.0,11.0,41.0,152.0,16.0,24.0,9.0,13.0,0.0,20.0,0.0,16.0,78.0,22.0,5.0,50.0,11.0,3.0,7.0,2.0
253,732.0,859.0,3135.0,855.0,219.0,11413.0,2126.0,3195.0,2220.0,1972.0,742.0,835.0,2274.0,678.0,341.0,1967.0,3894.0,3330.0,557.0,2524.0,132.0
254,1.0,0.0,2.0,2.0,7.0,683.0,60.0,131.0,177.0,152.0,3.0,3.0,4.0,1.0,0.0,70.0,52.0,78.0,87.0,192.0,177.0
257,5.0,1.0,5.0,2.0,5.0,958.0,25.0,61.0,140.0,75.0,5.0,0.0,10.0,3.0,1.0,117.0,29.0,56.0,39.0,80.0,492.0
258,5.0,2.0,28.0,18.0,14.0,2667.0,12.0,276.0,405.0,439.0,53.0,3.0,30.0,31.0,11.0,410.0,25.0,144.0,114.0,419.0,690.0
27,3.0,2.0,3.0,2.0,1.0,20.0,8.0,5.0,25.0,2.0,0.0,0.0,8.0,2.0,0.0,1.0,18.0,5.0,6.0,11.0,3.0
270,0.0,0.0,1.0,0.0,0.0,5.0,12.0,4.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,3.0,0.0,4.0,3.0
271,1.0,0.0,1.0,0.0,0.0,8.0,12.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0
272,0.0,1.0,2.0,0.0,0.0,452.0,1.0,54.0,97.0,46.0,0.0,1.0,1.0,1.0,0.0,85.0,12.0,37.0,14.0,74.0,60.0
277,0.0,0.0,0.0,0.0,0.0,13.0,2.0,3.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,9.0,3.0,0.0,3.0,0.0
286,6.0,2.0,6.0,8.0,3.0,6.0,6.0,6.0,15.0,2.0,1.0,3.0,4.0,16.0,3.0,4.0,10.0,5.0,3.0,6.0,2.0
289,0.0,1.0,0.0,1.0,0.0,363.0,21.0,23.0,46.0,46.0,0.0,0.0,1.0,1.0,1.0,34.0,24.0,5.0,24.0,44.0,166.0
29,1.0,10.0,1.0,1.0,0.0,6.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,4.0,4.0,3.0
291,6.0,0.0,1.0,8.0,2.0,11.0,1.0,3.0,4.0,1.0,17.0,0.0,0.0,2.0,13.0,2.0,6.0,4.0,7.0,2.0,1.0
294,3.0,3.0,4.0,2.0,1.0,7.0,6.0,2.0,11.0,5.0,9.0,0.0,6.0,4.0,1.0,6.0,9.0,5.0,8.0,6.0,5.0
296,5.0,6.0,0.0,2.0,0.0,16.0,29.0,14.0,11.0,9.0,1.0,0.0,2.0,1.0,1.0,7.0,53.0,22.0,15.0,22.0,1.0
299,1.0,0.0,2.0,0.0,0.0,13.0,4.0,7.0,18.0,10.0,1.0,1.0,8.0,0.0,0.0,7.0,5.0,9.0,34.0,24.0,1.0
307,0.0,5.0,1.0,0.0,2.0,8.0,6.0,2.0,8.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,5.0,3.0,3.0,1.0,3.0
308,1.0,7.0,5.0,1.0,0.0,4.0,8.0,2.0,8.0,2.0,2.0,1.0,8.0,3.0,0.0,3.0,7.0,6.0,4.0,5.0,0.0
31,3.0,0.0,5.0,1.0,1.0,17.0,4.0,7.0,24.0,3.0,5.0,0.0,11.0,13.0,3.0,2.0,12.0,5.0,1.0,4.0,0.0
311,10.0,0.0,1.0,5.0,4.0,8.0,5.0,7.0,8.0,2.0,6.0,0.0,1.0,4.0,4.0,4.0,8.0,3.0,10.0,7.0,1.0
312,5.0,19.0,6.0,16.0,7.0,11.0,3.0,7.0,8.0,3.0,3.0,2.0,9.0,10.0,1.0,3.0,10.0,12.0,2.0,7.0,1.0
32,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0
320,22.0,21.0,56.0,44.0,38.0,176.0,128.0,78.0,93.0,64.0,67.0,4.0,102.0,63.0,35.0,95.0,115.0,74.0,43.0,104.0,19.0
323,5.0,3.0,1.0,4.0,4.0,7.0,10.0,1.0,8.0,0.0,3.0,0.0,1.0,4.0,3.0,1.0,30.0,5.0,3.0,2.0,3.0
325,4.0,13.0,4.0,3.0,1.0,13.0,10.0,7.0,4.0,4.0,1.0,0.0,9.0,8.0,0.0,7.0,24.0,7.0,5.0,6.0,5.0
33,0.0,0.0,1.0,0.0,0.0,21.0,2.0,8.0,17.0,4.0,0.0,0.0,1.0,0.0,0.0,12.0,8.0,12.0,13.0,8.0,89.0
335,22.0,3.0,8.0,7.0,1.0,16.0,5.0,5.0,3.0,9.0,11.0,0.0,15.0,9.0,2.0,7.0,6.0,2.0,9.0,10.0,0.0
336,5.0,5.0,1.0,5.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,0.0,2.0,15.0,5.0,3.0,3.0,3.0,5.0,11.0,1.0
337,0.0,5.0,6.0,3.0,2.0,25.0,27.0,9.0,9.0,12.0,0.0,3.0,5.0,3.0,1.0,13.0,13.0,10.0,11.0,31.0,8.0
339,4.0,9.0,4.0,2.0,1.0,4.0,34.0,9.0,4.0,1.0,3.0,3.0,20.0,6.0,2.0,4.0,4.0,4.0,1.0,4.0,0.0
347,1.0,3.0,1.0,0.0,0.0,11.0,2.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,5.0,0.0
348,3.0,24.0,0.0,1.0,1.0,66.0,14.0,6.0,7.0,3.0,4.0,3.0,1.0,2.0,0.0,16.0,3.0,2.0,0.0,4.0,145.0
350,28.0,11.0,11.0,29.0,21.0,477.0,31.0,38.0,47.0,42.0,27.0,2.0,20.0,36.0,20.0,38.0,58.0,41.0,16.0,48.0,53.0
354,0.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,4.0,1.0,3.0,0.0,3.0,1.0,0.0,3.0,3.0,4.0,12.0,10.0,2.0
358,5.0,2.0,8.0,3.0,1.0,4.0,5.0,2.0,5.0,5.0,9.0,2.0,8.0,7.0,2.0,1.0,5.0,1.0,2.0,5.0,3.0
359,44.0,5.0,6.0,35.0,49.0,8.0,39.0,1.0,4.0,1.0,43.0,1.0,17.0,100.0,15.0,6.0,15.0,8.0,3.0,5.0,1.0
36,4.0,2.0,0.0,7.0,5.0,15.0,2.0,2.0,7.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,13.0,4.0,0.0,3.0,0.0
364,8.0,8.0,9.0,10.0,4.0,114.0,7.0,2.0,7.0,7.0,7.0,0.0,8.0,6.0,8.0,10.0,18.0,2.0,0.0,7.0,12.0
375,23.0,0.0,20.0,13.0,3.0,25.0,96.0,10.0,13.0,9.0,14.0,0.0,36.0,20.0,5.0,18.0,15.0,12.0,16.0,21.0,5.0
383,0.0,9.0,0.0,2.0,0.0,28.0,23.0,7.0,25.0,10.0,0.0,1.0,5.0,0.0,1.0,16.0,18.0,16.0,14.0,7.0,2.0
385,1.0,36.0,6.0,5.0,1.0,3.0,4.0,2.0,8.0,1.0,3.0,3.0,4.0,3.0,0.0,3.0,5.0,2.0,0.0,1.0,1.0
392,2.0,7.0,2.0,4.0,2.0,1053.0,39.0,153.0,184.0,155.0,1.0,0.0,4.0,2.0,0.0,154.0,22.0,67.0,77.0,193.0,243.0
397,1.0,0.0,1.0,1.0,0.0,817.0,5.0,57.0,113.0,49.0,0.0,1.0,1.0,0.0,0.0,121.0,8.0,44.0,21.0,71.0,30.0
399,2.0,119.0,2.0,11.0,3.0,6059.0,1594.0,879.0,1224.0,1067.0,5.0,9.0,11.0,18.0,3.0,1058.0,3944.0,1275.0,261.0,1320.0,316.0
40,8.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,6.0,3.0,3.0,2.0,1.0,4.0,0.0,0.0
400,32.0,6.0,8.0,63.0,37.0,1515.0,101.0,189.0,260.0,195.0,53.0,0.0,38.0,140.0,41.0,246.0,86.0,71.0,119.0,364.0,137.0
406,1.0,2.0,2.0,2.0,0.0,165.0,173.0,41.0,45.0,28.0,0.0,17.0,4.0,1.0,1.0,20.0,70.0,28.0,23.0,42.0,21.0
408,1.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,4.0,6.0,2.0
409,58.0,6.0,4.0,9.0,4.0,30.0,60.0,3.0,32.0,6.0,41.0,3.0,8.0,34.0,7.0,16.0,19.0,10.0,31.0,18.0,7.0
40_2,1.0,1.0,0.0,4.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,5.0,7.0,0.0,15.0,1.0,0.0,1.0,1.0
412,37.0,4.0,2.0,6.0,23.0,110.0,12.0,6.0,4.0,15.0,3.0,0.0,5.0,23.0,3.0,13.0,17.0,3.0,6.0,20.0,9.0
418,0.0,1.0,0.0,0.0,1.0,5.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,4.0,1.0,0.0
419,1.0,2.0,1.0,1.0,0.0,8.0,6.0,6.0,15.0,3.0,2.0,0.0,3.0,1.0,0.0,6.0,7.0,4.0,5.0,17.0,2.0
420,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,3.0,5.0,2.0,2.0,6.0,1.0
421,134.0,6.0,40.0,103.0,153.0,124.0,22.0,17.0,16.0,6.0,222.0,13.0,96.0,526.0,73.0,30.0,11.0,12.0,8.0,14.0,5.0
426,12.0,13.0,8.0,12.0,10.0,12.0,26.0,6.0,12.0,3.0,24.0,0.0,14.0,35.0,5.0,4.0,63.0,10.0,4.0,9.0,4.0
43,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,6.0
431,0.0,1.0,1.0,0.0,0.0,18.0,4.0,6.0,8.0,12.0,0.0,1.0,2.0,3.0,1.0,7.0,3.0,7.0,13.0,7.0,6.0
433,4.0,2.0,7.0,6.0,6.0,712.0,124.0,83.0,54.0,43.0,4.0,0.0,10.0,5.0,1.0,39.0,178.0,59.0,25.0,57.0,167.0
434,17.0,16.0,10.0,10.0,19.0,7.0,18.0,19.0,15.0,4.0,20.0,9.0,44.0,19.0,3.0,9.0,6.0,8.0,9.0,22.0,2.0
437,6.0,29.0,7.0,6.0,5.0,22.0,12.0,4.0,17.0,6.0,10.0,1.0,6.0,9.0,2.0,5.0,9.0,7.0,5.0,12.0,5.0
438,0.0,1.0,0.0,2.0,1.0,28.0,33.0,2.0,10.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,20.0,6.0,4.0,3.0,5.0
439,4.0,5.0,2.0,0.0,0.0,10.0,286.0,8.0,16.0,4.0,1.0,2.0,5.0,0.0,1.0,4.0,17.0,16.0,12.0,12.0,4.0
43_ref1,6.0,4.0,4.0,2.0,0.0,18.0,135.0,6.0,17.0,2.0,1.0,0.0,6.0,2.0,0.0,1.0,610.0,141.0,2.0,12.0,408.0
43_ref2,8.0,5.0,10.0,6.0,18.0,359.0,42.0,90.0,495.0,266.0,8.0,2.0,7.0,4.0,0.0,44.0,30.0,84.0,171.0,391.0,658.0
442,8.0,5.0,5.0,8.0,3.0,20.0,10.0,8.0,7.0,4.0,15.0,0.0,11.0,17.0,2.0,4.0,6.0,3.0,4.0,9.0,3.0
444,0.0,0.0,0.0,1.0,0.0,12.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0
446,1.0,3.0,3.0,2.0,0.0,5.0,8.0,3.0,9.0,7.0,4.0,3.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,9.0,1.0
45,26.0,5.0,4.0,64.0,14.0,28.0,1.0,7.0,17.0,1.0,10.0,2.0,2.0,12.0,28.0,5.0,19.0,7.0,14.0,8.0,5.0
450,6.0,5.0,5.0,2.0,6.0,1172.0,5.0,111.0,135.0,190.0,13.0,3.0,0.0,7.0,5.0,103.0,28.0,46.0,45.0,267.0,65.0
452,6.0,2.0,3.0,4.0,3.0,15.0,25.0,2.0,8.0,2.0,11.0,0.0,7.0,8.0,1.0,1.0,37.0,7.0,3.0,7.0,1.0
458,1.0,2.0,0.0,1.0,2.0,18.0,17.0,5.0,15.0,8.0,1.0,0.0,0.0,1.0,0.0,3.0,14.0,7.0,13.0,17.0,4.0
459,2.0,1.0,2.0,3.0,2.0,7.0,10.0,6.0,11.0,5.0,3.0,1.0,11.0,3.0,1.0,8.0,5.0,12.0,12.0,12.0,6.0
460,17.0,379.0,28.0,50.0,1803.0,446.0,103.0,77.0,78.0,126.0,33.0,91.0,96.0,38.0,30.0,113.0,118.0,96.0,60.0,116.0,43.0
466,1.0,2.0,1.0,2.0,0.0,21.0,20.0,2.0,10.0,6.0,2.0,0.0,6.0,1.0,0.0,7.0,8.0,4.0,3.0,10.0,1.0
468,65.0,12.0,30.0,90.0,47.0,2292.0,31.0,246.0,448.0,327.0,92.0,0.0,57.0,174.0,34.0,342.0,35.0,92.0,128.0,404.0,273.0
470,25.0,12.0,2.0,8.0,3.0,14.0,26.0,10.0,9.0,7.0,25.0,1.0,13.0,21.0,6.0,8.0,11.0,8.0,12.0,16.0,1.0
473,13.0,16.0,8.0,3.0,9.0,95.0,7.0,21.0,29.0,46.0,8.0,10.0,14.0,5.0,1.0,16.0,10.0,17.0,10.0,74.0,25.0
475,20.0,169.0,65.0,34.0,21.0,9329.0,895.0,2036.0,1798.0,2087.0,19.0,374.0,108.0,75.0,6.0,1566.0,1783.0,1910.0,663.0,2061.0,1913.0
476,3.0,6.0,6.0,1.0,2.0,355.0,413.0,170.0,233.0,99.0,5.0,3.0,13.0,1.0,1.0,58.0,227.0,166.0,126.0,272.0,135.0
48,6.0,27.0,5.0,24.0,6.0,143.0,16.0,28.0,136.0,20.0,2.0,2.0,10.0,5.0,4.0,13.0,5.0,14.0,51.0,54.0,113.0
485,6.0,16.0,0.0,4.0,4.0,2.0,1.0,5.0,1.0,1.0,2.0,8.0,8.0,8.0,1.0,3.0,5.0,4.0,0.0,4.0,2.0
486,11.0,4.0,5.0,8.0,12.0,33.0,17.0,4.0,21.0,3.0,10.0,4.0,42.0,33.0,3.0,8.0,30.0,12.0,7.0,8.0,3.0
491,34.0,7.0,19.0,31.0,50.0,65.0,12.0,21.0,40.0,19.0,32.0,0.0,100.0,40.0,18.0,21.0,39.0,30.0,19.0,33.0,48.0
493,6.0,6.0,2.0,6.0,5.0,80.0,19.0,5.0,22.0,5.0,3.0,4.0,13.0,9.0,2.0,4.0,28.0,8.0,7.0,12.0,53.0
495,2.0,7.0,130.0,19.0,1.0,33639.0,4264.0,9610.0,4002.0,5869.0,4.0,3.0,118.0,10.0,2.0,4376.0,15475.0,9028.0,819.0,7688.0,458.0
50,10.0,22.0,46.0,160.0,14.0,17.0,16.0,18.0,15.0,8.0,7.0,24.0,121.0,55.0,11.0,10.0,11.0,10.0,39.0,13.0,3.0
503,1.0,5.0,3.0,1.0,0.0,10.0,68.0,7.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,4.0,74.0,13.0,7.0,6.0,11.0
507,0.0,0.0,0.0,0.0,1.0,1781.0,121.0,320.0,487.0,141.0,1.0,0.0,0.0,1.0,1.0,212.0,247.0,240.0,71.0,146.0,507.0
508,0.0,7.0,1.0,0.0,4.0,17.0,3.0,6.0,14.0,9.0,0.0,0.0,6.0,6.0,0.0,9.0,7.0,6.0,10.0,24.0,8.0
52,2.0,1.0,3.0,1.0,0.0,20.0,40.0,12.0,10.0,3.0,0.0,0.0,2.0,2.0,1.0,8.0,23.0,6.0,6.0,19.0,3.0
520,3.0,0.0,1.0,2.0,2.0,10.0,0.0,9.0,9.0,2.0,2.0,0.0,9.0,4.0,1.0,3.0,6.0,4.0,7.0,8.0,2.0
521,81.0,1.0,3.0,30.0,31.0,60.0,9.0,69.0,64.0,18.0,26.0,4.0,7.0,7.0,53.0,59.0,22.0,75.0,350.0,29.0,12.0
522,16.0,6.0,13.0,7.0,11.0,788.0,18.0,238.0,204.0,268.0,10.0,8.0,23.0,6.0,8.0,133.0,36.0,148.0,62.0,512.0,132.0
523,150.0,172.0,198.0,190.0,67.0,387.0,250.0,112.0,184.0,137.0,113.0,160.0,449.0,234.0,102.0,130.0,136.0,103.0,89.0,276.0,33.0
524,28.0,13.0,6.0,20.0,8.0,46.0,32.0,11.0,14.0,7.0,21.0,1.0,10.0,23.0,12.0,5.0,27.0,12.0,16.0,11.0,12.0
525,65.0,12.0,55.0,70.0,55.0,2663.0,214.0,446.0,298.0,424.0,139.0,7.0,101.0,100.0,29.0,375.0,368.0,224.0,146.0,526.0,218.0
531,1.0,3.0,1.0,4.0,3.0,2.0,9.0,6.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,4.0,6.0,5.0,1.0,3.0,0.0
532,4.0,5.0,0.0,7.0,1.0,4.0,2.0,0.0,8.0,3.0,1.0,3.0,11.0,5.0,3.0,1.0,10.0,2.0,1.0,4.0,3.0
535,90.0,97.0,6.0,83.0,31.0,43.0,68.0,18.0,23.0,21.0,94.0,28.0,34.0,61.0,34.0,25.0,46.0,13.0,12.0,31.0,15.0
538,177.0,45.0,58.0,147.0,200.0,3105.0,138.0,638.0,606.0,563.0,298.0,117.0,216.0,652.0,113.0,630.0,407.0,270.0,194.0,742.0,202.0
539,67.0,191.0,63.0,95.0,32.0,54.0,66.0,26.0,18.0,35.0,38.0,40.0,142.0,93.0,28.0,22.0,93.0,39.0,15.0,53.0,6.0
540,687.0,572.0,65.0,285.0,398.0,4872.0,148.0,491.0,1079.0,657.0,351.0,525.0,189.0,735.0,268.0,615.0,285.0,289.0,141.0,606.0,1140.0
541,1.0,12.0,0.0,2.0,1.0,19.0,20.0,6.0,10.0,13.0,4.0,1.0,8.0,2.0,1.0,2.0,18.0,5.0,9.0,11.0,3.0
