strain_id,A_MTX_5-FC.SRO9_DHH1,A_MTX_Fluconazole.SRO9_DHH1,A_MTX_Metformin.SRO9_DHH1,A_MTX_Trifluoperazine.SRO9_DHH1,A_MTX_noDrug.SRO9_DHH1,A_noMTX_5-FC.SRO9_DHH1,A_noMTX_Fluconazole.SRO9_DHH1,A_noMTX_Metformin.SRO9_DHH1,A_noMTX_Trifluoperazine.SRO9_DHH1,A_noMTX_noDrug.SRO9_DHH1,B_MTX_5-FC.SRO9_DHH1,B_MTX_Fluconazole.SRO9_DHH1,B_MTX_Metformin.SRO9_DHH1,B_MTX_Trifluoperazine.SRO9_DHH1,B_MTX_noDrug.SRO9_DHH1,B_noMTX_5-FC.SRO9_DHH1,B_noMTX_Fluconazole.SRO9_DHH1,B_noMTX_Metformin.SRO9_DHH1,B_noMTX_Trifluoperazine.SRO9_DHH1,B_noMTX_noDrug.SRO9_DHH1,T0_noMTX_noDrug.SRO9_DHH1
250,1.0,1.0,4.0,3.0,1.0,16.0,8.0,17.0,4.0,1.0,6.0,2.0,5.0,0.0,1.0,7.0,6.0,14.0,15.0,1.0,4.0
252,1.0,1.0,1.0,2.0,0.0,2.0,8.0,5.0,5.0,3.0,8.0,0.0,1.0,1.0,2.0,6.0,9.0,7.0,10.0,2.0,0.0
253,38.0,24.0,40.0,88.0,0.0,164.0,141.0,350.0,116.0,53.0,64.0,0.0,82.0,23.0,88.0,103.0,68.0,304.0,301.0,146.0,53.0
254,3.0,6.0,37.0,6.0,0.0,83.0,82.0,139.0,86.0,81.0,2.0,8.0,11.0,3.0,2.0,56.0,49.0,142.0,130.0,102.0,34.0
257,1.0,6.0,5.0,5.0,1.0,7.0,16.0,8.0,6.0,0.0,1.0,1.0,3.0,8.0,1.0,9.0,12.0,9.0,12.0,9.0,5.0
258,26.0,3.0,19.0,23.0,6.0,39.0,20.0,146.0,45.0,30.0,69.0,4.0,29.0,26.0,37.0,86.0,15.0,87.0,98.0,82.0,28.0
27,127.0,2.0,121.0,90.0,3.0,42.0,3.0,66.0,15.0,18.0,122.0,1.0,136.0,63.0,145.0,28.0,3.0,56.0,32.0,18.0,11.0
270,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0
271,2.0,0.0,87.0,1.0,0.0,120.0,152.0,198.0,79.0,106.0,1.0,5.0,35.0,1.0,1.0,141.0,563.0,233.0,140.0,193.0,26.0
272,1.0,0.0,6.0,0.0,0.0,8.0,3.0,12.0,13.0,2.0,5.0,0.0,3.0,0.0,1.0,10.0,3.0,29.0,45.0,17.0,5.0
277,3.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,3.0,1.0,4.0,1.0,1.0
286,7.0,16.0,17.0,26.0,0.0,8.0,3.0,7.0,7.0,2.0,5.0,38.0,28.0,10.0,5.0,9.0,0.0,12.0,10.0,8.0,5.0
289,1.0,1.0,1.0,0.0,0.0,49.0,80.0,107.0,31.0,47.0,1.0,0.0,6.0,0.0,0.0,103.0,13.0,57.0,122.0,52.0,27.0
29,4.0,5.0,29.0,5.0,2.0,79.0,34.0,261.0,104.0,142.0,2.0,15.0,20.0,2.0,2.0,168.0,57.0,140.0,400.0,123.0,37.0
291,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,9.0,6.0,1.0,0.0,0.0
294,1.0,2.0,3.0,1.0,1.0,121.0,557.0,381.0,200.0,105.0,1.0,0.0,14.0,1.0,0.0,275.0,799.0,222.0,286.0,181.0,32.0
296,3.0,1.0,14.0,2.0,0.0,167.0,431.0,424.0,145.0,219.0,3.0,0.0,9.0,1.0,2.0,358.0,1707.0,286.0,358.0,217.0,46.0
299,3.0,0.0,88.0,4.0,0.0,355.0,5.0,485.0,327.0,104.0,4.0,0.0,96.0,0.0,0.0,173.0,3.0,430.0,375.0,291.0,23.0
307,9.0,0.0,5.0,2.0,1.0,95.0,34.0,147.0,75.0,95.0,20.0,0.0,4.0,2.0,1.0,173.0,159.0,114.0,207.0,106.0,36.0
308,5.0,0.0,1.0,3.0,1.0,0.0,23.0,7.0,6.0,0.0,10.0,0.0,3.0,0.0,0.0,6.0,6.0,6.0,12.0,3.0,4.0
31,53.0,2.0,11.0,91.0,0.0,4.0,3.0,35.0,6.0,5.0,26.0,0.0,19.0,29.0,49.0,0.0,1.0,7.0,7.0,17.0,3.0
311,0.0,0.0,0.0,1.0,0.0,3.0,3.0,5.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,4.0,3.0,2.0,0.0
312,185.0,2128.0,537.0,330.0,1.0,172.0,5.0,120.0,54.0,35.0,129.0,1582.0,297.0,107.0,393.0,70.0,37.0,109.0,94.0,143.0,7.0
32,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0
320,211.0,242.0,472.0,258.0,11.0,152.0,55.0,317.0,85.0,98.0,307.0,100.0,225.0,101.0,354.0,121.0,30.0,352.0,191.0,365.0,13.0
323,1.0,7.0,3.0,1.0,0.0,2.0,4.0,3.0,1.0,0.0,3.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,4.0,1.0,1.0
325,0.0,1.0,29.0,0.0,0.0,212.0,75.0,210.0,76.0,86.0,5.0,0.0,16.0,3.0,0.0,202.0,5.0,271.0,148.0,187.0,30.0
33,0.0,0.0,19.0,0.0,0.0,23.0,2.0,12.0,6.0,9.0,0.0,0.0,17.0,1.0,0.0,6.0,0.0,24.0,30.0,13.0,11.0
335,15.0,1.0,13.0,17.0,4.0,29.0,4.0,49.0,19.0,19.0,36.0,0.0,15.0,16.0,15.0,30.0,1.0,68.0,49.0,41.0,33.0
336,40.0,12.0,67.0,33.0,0.0,57.0,15.0,74.0,20.0,10.0,81.0,22.0,29.0,22.0,64.0,41.0,6.0,74.0,78.0,38.0,22.0
337,0.0,4.0,64.0,3.0,0.0,334.0,75.0,898.0,176.0,169.0,1.0,0.0,38.0,2.0,3.0,390.0,82.0,764.0,417.0,373.0,58.0
339,113.0,18.0,178.0,153.0,3.0,111.0,4.0,322.0,63.0,68.0,179.0,14.0,495.0,84.0,142.0,60.0,280.0,112.0,176.0,127.0,18.0
347,2.0,0.0,2.0,2.0,0.0,52.0,5.0,107.0,25.0,27.0,5.0,0.0,2.0,1.0,2.0,75.0,5.0,146.0,64.0,49.0,13.0
348,29.0,2.0,19.0,28.0,1.0,12.0,14.0,88.0,26.0,25.0,31.0,1.0,12.0,10.0,12.0,30.0,288.0,57.0,47.0,43.0,11.0
350,32.0,15.0,13.0,69.0,5.0,6.0,3.0,12.0,5.0,2.0,66.0,3.0,15.0,75.0,13.0,9.0,3.0,6.0,6.0,6.0,8.0
354,1.0,0.0,13.0,4.0,3.0,44.0,3.0,244.0,33.0,27.0,3.0,0.0,11.0,1.0,2.0,97.0,1.0,64.0,74.0,62.0,10.0
358,8.0,10.0,22.0,26.0,3.0,12.0,15.0,71.0,14.0,28.0,28.0,0.0,18.0,14.0,27.0,38.0,12.0,60.0,64.0,31.0,9.0
359,10.0,66.0,5.0,23.0,14.0,2.0,42.0,4.0,2.0,0.0,24.0,0.0,20.0,55.0,16.0,1.0,51.0,4.0,6.0,1.0,2.0
36,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
364,1.0,5.0,6.0,2.0,0.0,3.0,8.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,7.0,5.0,6.0,1.0,5.0
375,351.0,11.0,771.0,1642.0,5.0,520.0,13.0,396.0,115.0,115.0,639.0,8.0,436.0,407.0,1032.0,300.0,505.0,537.0,398.0,245.0,74.0
383,5.0,5.0,28.0,4.0,0.0,148.0,10.0,154.0,69.0,94.0,4.0,0.0,7.0,2.0,2.0,157.0,526.0,150.0,136.0,89.0,39.0
385,5.0,5.0,0.0,2.0,0.0,3.0,5.0,2.0,2.0,1.0,10.0,3.0,1.0,4.0,0.0,1.0,18.0,0.0,3.0,0.0,3.0
392,2.0,12.0,3.0,4.0,2.0,10.0,25.0,34.0,14.0,8.0,5.0,5.0,2.0,4.0,2.0,13.0,7.0,69.0,40.0,16.0,9.0
397,0.0,3.0,4.0,3.0,0.0,6.0,14.0,14.0,11.0,2.0,1.0,0.0,8.0,0.0,1.0,5.0,19.0,9.0,69.0,18.0,27.0
399,0.0,131.0,62.0,0.0,0.0,263.0,1498.0,509.0,184.0,159.0,2.0,58.0,35.0,2.0,2.0,228.0,1489.0,337.0,408.0,328.0,58.0
40,2.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,14.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0
400,21.0,0.0,22.0,38.0,16.0,11.0,93.0,10.0,12.0,4.0,68.0,1.0,52.0,138.0,93.0,19.0,5.0,10.0,16.0,21.0,4.0
406,0.0,0.0,9.0,1.0,0.0,68.0,27.0,146.0,37.0,42.0,1.0,0.0,8.0,0.0,1.0,48.0,19.0,194.0,95.0,85.0,10.0
408,0.0,0.0,9.0,0.0,0.0,24.0,7.0,47.0,19.0,15.0,1.0,0.0,5.0,0.0,0.0,39.0,3.0,81.0,71.0,50.0,16.0
409,406.0,23.0,211.0,1386.0,35.0,388.0,1251.0,298.0,325.0,200.0,1031.0,14.0,98.0,426.0,635.0,509.0,741.0,300.0,878.0,239.0,140.0
40_2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0
412,11.0,0.0,5.0,2.0,2.0,5.0,11.0,6.0,3.0,1.0,19.0,0.0,7.0,2.0,1.0,9.0,21.0,6.0,21.0,0.0,1.0
418,0.0,6.0,1.0,0.0,0.0,3.0,8.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,3.0,5.0,3.0,1.0
419,1.0,1.0,32.0,3.0,0.0,73.0,5.0,102.0,40.0,37.0,6.0,3.0,25.0,3.0,2.0,58.0,50.0,122.0,97.0,98.0,15.0
420,0.0,0.0,3.0,2.0,1.0,349.0,226.0,708.0,281.0,285.0,1.0,0.0,5.0,0.0,1.0,954.0,964.0,455.0,646.0,285.0,78.0
421,10.0,5.0,76.0,69.0,1.0,84.0,11.0,35.0,25.0,32.0,25.0,1.0,56.0,20.0,26.0,42.0,9.0,42.0,92.0,67.0,13.0
426,2.0,4.0,14.0,6.0,1.0,1.0,11.0,18.0,6.0,0.0,13.0,0.0,12.0,15.0,3.0,10.0,3.0,9.0,10.0,2.0,0.0
43,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
431,4.0,1.0,26.0,2.0,0.0,33.0,108.0,157.0,36.0,29.0,0.0,0.0,25.0,0.0,0.0,36.0,179.0,93.0,70.0,45.0,23.0
433,2.0,0.0,10.0,10.0,1.0,9.0,4.0,28.0,7.0,3.0,17.0,0.0,13.0,8.0,8.0,10.0,8.0,16.0,36.0,10.0,4.0
434,114.0,34.0,180.0,73.0,6.0,140.0,24.0,184.0,59.0,41.0,176.0,21.0,194.0,32.0,102.0,92.0,8.0,145.0,137.0,135.0,29.0
437,33.0,5.0,17.0,18.0,8.0,10.0,11.0,9.0,11.0,2.0,113.0,0.0,22.0,20.0,19.0,15.0,13.0,22.0,29.0,7.0,2.0
438,1.0,1.0,2.0,2.0,1.0,15.0,143.0,40.0,13.0,4.0,2.0,1.0,2.0,7.0,2.0,35.0,136.0,43.0,23.0,11.0,44.0
439,2.0,16.0,19.0,3.0,0.0,109.0,328.0,342.0,118.0,172.0,6.0,5.0,12.0,2.0,1.0,185.0,759.0,345.0,353.0,228.0,59.0
43_ref1,0.0,0.0,2.0,5.0,0.0,2.0,245.0,2.0,6.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,531.0,5.0,6.0,1.0,274.0
43_ref2,4.0,2.0,25.0,20.0,3.0,16.0,17.0,36.0,42.0,8.0,7.0,2.0,20.0,5.0,3.0,11.0,11.0,63.0,96.0,42.0,359.0
442,10.0,7.0,18.0,33.0,13.0,5.0,10.0,17.0,9.0,4.0,36.0,2.0,29.0,46.0,13.0,9.0,12.0,17.0,22.0,4.0,3.0
444,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,5.0,2.0,0.0,2.0,5.0,11.0,5.0,3.0,0.0
446,6.0,3.0,11.0,4.0,0.0,19.0,48.0,256.0,65.0,46.0,2.0,1.0,22.0,10.0,0.0,50.0,11.0,110.0,143.0,66.0,18.0
45,0.0,1.0,3.0,2.0,3.0,3.0,4.0,9.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,66.0,14.0,12.0,2.0,0.0
450,0.0,4.0,4.0,1.0,1.0,19.0,22.0,23.0,17.0,8.0,0.0,0.0,4.0,2.0,2.0,12.0,9.0,28.0,31.0,23.0,9.0
452,1.0,1.0,3.0,3.0,2.0,5.0,7.0,8.0,7.0,2.0,6.0,0.0,4.0,5.0,1.0,8.0,5.0,13.0,16.0,6.0,0.0
458,1.0,3.0,10.0,5.0,0.0,78.0,27.0,88.0,54.0,44.0,2.0,0.0,7.0,0.0,0.0,69.0,13.0,181.0,152.0,90.0,41.0
459,155.0,0.0,233.0,238.0,1.0,67.0,51.0,369.0,137.0,122.0,207.0,23.0,122.0,78.0,118.0,121.0,113.0,257.0,281.0,126.0,70.0
460,70.0,592.0,60.0,108.0,5.0,134.0,59.0,165.0,66.0,41.0,81.0,236.0,75.0,46.0,57.0,69.0,28.0,107.0,109.0,93.0,21.0
466,17.0,1.0,8.0,22.0,3.0,11.0,6.0,20.0,15.0,3.0,59.0,1.0,8.0,4.0,12.0,15.0,20.0,12.0,31.0,5.0,5.0
468,1184.0,23.0,949.0,3364.0,42.0,345.0,54.0,585.0,191.0,252.0,2096.0,1.0,525.0,1085.0,1917.0,338.0,120.0,492.0,495.0,468.0,69.0
470,1197.0,180.0,1016.0,2558.0,43.0,506.0,883.0,1549.0,544.0,798.0,1952.0,145.0,443.0,1048.0,1862.0,1071.0,2427.0,896.0,1139.0,739.0,176.0
473,3.0,4.0,13.0,2.0,0.0,61.0,24.0,105.0,27.0,64.0,8.0,2.0,10.0,0.0,1.0,56.0,23.0,109.0,110.0,115.0,43.0
475,3.0,13.0,273.0,13.0,2.0,1079.0,835.0,2944.0,605.0,592.0,43.0,7.0,278.0,14.0,3.0,1034.0,462.0,2873.0,1758.0,1498.0,466.0
476,19.0,2.0,132.0,3.0,3.0,2050.0,3961.0,13981.0,2399.0,2827.0,48.0,3.0,108.0,2.0,2.0,3319.0,5374.0,12144.0,7286.0,3904.0,3112.0
48,4.0,7.0,3.0,10.0,5.0,16.0,11.0,16.0,8.0,2.0,3.0,1.0,6.0,3.0,2.0,6.0,7.0,16.0,7.0,3.0,4.0
485,66.0,16.0,37.0,2.0,1.0,94.0,6.0,56.0,51.0,52.0,49.0,11.0,28.0,13.0,19.0,220.0,0.0,58.0,42.0,67.0,20.0
486,189.0,6.0,58.0,91.0,3.0,42.0,48.0,141.0,112.0,51.0,331.0,1.0,77.0,87.0,242.0,87.0,3.0,166.0,249.0,87.0,21.0
491,245.0,47.0,354.0,778.0,20.0,51.0,47.0,115.0,42.0,16.0,286.0,1.0,250.0,300.0,640.0,50.0,9.0,78.0,112.0,108.0,34.0
493,51.0,48.0,61.0,69.0,1.0,67.0,64.0,173.0,64.0,69.0,49.0,44.0,41.0,16.0,82.0,92.0,103.0,143.0,129.0,80.0,46.0
495,7.0,1.0,40.0,6.0,0.0,323.0,514.0,421.0,154.0,127.0,7.0,0.0,17.0,4.0,1.0,215.0,932.0,444.0,337.0,320.0,50.0
50,6.0,6.0,2.0,5.0,7.0,5.0,14.0,10.0,2.0,1.0,8.0,2.0,6.0,4.0,3.0,6.0,7.0,10.0,14.0,2.0,10.0
503,1.0,1.0,28.0,2.0,1.0,37.0,70.0,76.0,40.0,20.0,3.0,0.0,8.0,2.0,1.0,32.0,105.0,106.0,92.0,71.0,28.0
507,1.0,7.0,2.0,2.0,1.0,22.0,16.0,70.0,22.0,12.0,2.0,0.0,1.0,1.0,0.0,47.0,13.0,58.0,61.0,26.0,21.0
508,9.0,27.0,275.0,9.0,0.0,291.0,46.0,721.0,372.0,182.0,8.0,6.0,253.0,7.0,5.0,318.0,224.0,617.0,1003.0,458.0,125.0
52,2.0,0.0,6.0,2.0,0.0,13.0,61.0,8.0,4.0,2.0,2.0,1.0,8.0,2.0,3.0,5.0,5.0,26.0,17.0,12.0,5.0
520,2.0,0.0,11.0,7.0,2.0,14.0,8.0,14.0,4.0,1.0,7.0,4.0,4.0,6.0,1.0,7.0,2.0,14.0,27.0,6.0,1.0
521,3.0,0.0,4.0,2.0,0.0,16.0,6.0,41.0,10.0,6.0,2.0,0.0,6.0,1.0,2.0,32.0,60.0,57.0,45.0,7.0,11.0
522,7.0,2.0,15.0,2.0,3.0,22.0,23.0,45.0,14.0,6.0,12.0,1.0,25.0,6.0,4.0,25.0,17.0,40.0,52.0,25.0,8.0
523,540.0,153.0,1166.0,737.0,38.0,253.0,158.0,729.0,146.0,237.0,798.0,43.0,532.0,355.0,582.0,299.0,100.0,527.0,469.0,346.0,50.0
524,58.0,96.0,12.0,32.0,6.0,26.0,27.0,208.0,74.0,38.0,166.0,58.0,35.0,23.0,42.0,137.0,38.0,130.0,130.0,62.0,43.0
525,325.0,129.0,351.0,997.0,22.0,353.0,215.0,705.0,181.0,181.0,626.0,45.0,340.0,208.0,649.0,365.0,933.0,581.0,437.0,412.0,94.0
531,6.0,7.0,27.0,3.0,2.0,77.0,10.0,115.0,71.0,41.0,1.0,3.0,21.0,3.0,0.0,65.0,14.0,155.0,100.0,120.0,38.0
532,2.0,10.0,4.0,3.0,0.0,2.0,8.0,6.0,5.0,1.0,2.0,0.0,4.0,1.0,0.0,9.0,8.0,4.0,12.0,4.0,0.0
535,1588.0,296.0,462.0,1695.0,46.0,419.0,987.0,781.0,333.0,495.0,2390.0,209.0,192.0,639.0,1497.0,1043.0,3616.0,598.0,588.0,647.0,208.0
538,734.0,181.0,670.0,970.0,31.0,329.0,256.0,667.0,227.0,143.0,995.0,161.0,666.0,538.0,873.0,300.0,150.0,641.0,775.0,580.0,56.0
539,407.0,228.0,1119.0,815.0,29.0,435.0,494.0,1424.0,414.0,346.0,535.0,109.0,1393.0,341.0,634.0,462.0,981.0,842.0,795.0,735.0,74.0
540,721.0,1216.0,382.0,750.0,146.0,468.0,684.0,1209.0,423.0,278.0,1551.0,894.0,562.0,563.0,917.0,900.0,547.0,1058.0,812.0,780.0,272.0
541,9.0,3.0,32.0,5.0,1.0,30.0,9.0,109.0,44.0,30.0,8.0,4.0,3.0,2.0,6.0,17.0,3.0,75.0,49.0,36.0,5.0
