strain_id,A_MTX_5-FC.MID2_PIN2,A_MTX_Fluconazole.MID2_PIN2,A_MTX_Metformin.MID2_PIN2,A_MTX_Trifluoperazine.MID2_PIN2,A_MTX_noDrug.MID2_PIN2,A_noMTX_5-FC.MID2_PIN2,A_noMTX_Fluconazole.MID2_PIN2,A_noMTX_Metformin.MID2_PIN2,A_noMTX_Trifluoperazine.MID2_PIN2,A_noMTX_noDrug.MID2_PIN2,B_MTX_5-FC.MID2_PIN2,B_MTX_Fluconazole.MID2_PIN2,B_MTX_Metformin.MID2_PIN2,B_MTX_Trifluoperazine.MID2_PIN2,B_MTX_noDrug.MID2_PIN2,B_noMTX_5-FC.MID2_PIN2,B_noMTX_Fluconazole.MID2_PIN2,B_noMTX_Metformin.MID2_PIN2,B_noMTX_Trifluoperazine.MID2_PIN2,B_noMTX_noDrug.MID2_PIN2,T0_noMTX_noDrug.MID2_PIN2
113,9.0,39.0,80.0,62.0,1590.0,1133.0,9.0,80,70.0,126.0,39.0,9.0,35.0,285.0,390.0,148,5.0,156.0,88,102.0,22.0
119,6.0,45.0,9.0,14.0,41.0,8.0,2.0,28,11.0,14.0,9.0,12.0,7.0,8.0,1.0,52,1.0,16.0,14,1.0,0.0
124,23.0,0.0,31.0,13.0,24.0,124.0,36.0,60,31.0,80.0,20.0,1.0,50.0,7.0,15.0,222,2.0,91.0,117,26.0,15.0
128,3.0,1.0,15.0,1.0,3.0,970.0,712.0,690,177.0,250.0,3.0,2.0,4.0,1.0,4.0,1099,23.0,327.0,539,139.0,47.0
132,3.0,1.0,7.0,1.0,2.0,419.0,57.0,426,184.0,312.0,4.0,0.0,24.0,1.0,0.0,323,24.0,566.0,338,121.0,24.0
133,0.0,1.0,1.0,0.0,1.0,145.0,4.0,114,38.0,110.0,0.0,0.0,2.0,1.0,0.0,76,3.0,137.0,496,22.0,5.0
136,0.0,0.0,2.0,2.0,3.0,127.0,34.0,55,28.0,49.0,2.0,1.0,1.0,4.0,0.0,128,1.0,224.0,59,26.0,15.0
14,303.0,40.0,918.0,950.0,2324.0,972.0,52.0,419,178.0,370.0,294.0,42.0,503.0,442.0,1089.0,489,17.0,656.0,324,140.0,44.0
146,1829.0,166.0,7044.0,1165.0,4078.0,9623.0,876.0,5442,1548.0,3151.0,739.0,34.0,2915.0,710.0,1511.0,5253,111.0,5091.0,3944,900.0,303.0
15,42.0,11.0,256.0,69.0,210.0,120.0,2.0,126,19.0,75.0,31.0,1.0,283.0,46.0,56.0,154,5.0,93.0,66,14.0,13.0
151,2.0,10.0,8.0,11.0,25.0,67.0,68.0,60,22.0,59.0,4.0,0.0,8.0,5.0,1.0,115,5.0,86.0,48,11.0,11.0
153,2.0,6.0,8.0,0.0,1.0,290.0,19.0,243,50.0,148.0,2.0,1.0,12.0,0.0,0.0,414,28.0,191.0,109,44.0,19.0
17,1.0,21.0,2.0,4.0,20.0,7.0,12.0,6,2.0,5.0,1.0,4.0,2.0,1.0,1.0,17,4.0,14.0,5,1.0,4.0
171,21.0,0.0,19.0,43.0,54.0,80.0,463.0,69,30.0,62.0,18.0,9.0,16.0,16.0,10.0,196,4.0,65.0,107,23.0,23.0
175,0.0,0.0,2.0,1.0,4.0,301.0,1.0,156,31.0,183.0,1.0,0.0,2.0,1.0,0.0,417,5.0,139.0,153,93.0,16.0
180,4.0,3.0,6.0,4.0,0.0,265.0,403.0,227,46.0,238.0,2.0,1.0,9.0,0.0,0.0,650,10.0,272.0,138,91.0,33.0
180_2,17.0,62.0,24.0,5.0,16.0,995.0,168.0,610,105.0,492.0,7.0,7.0,22.0,6.0,1.0,1222,69.0,420.0,435,378.0,52.0
185,13.0,9.0,31.0,22.0,60.0,24.0,6.0,15,12.0,13.0,8.0,6.0,25.0,7.0,29.0,30,1.0,24.0,27,5.0,0.0
187,1.0,2.0,8.0,3.0,4.0,98.0,9.0,141,18.0,96.0,1.0,0.0,5.0,2.0,1.0,186,1.0,184.0,200,37.0,15.0
188,6.0,161.0,38.0,9.0,21.0,967.0,18.0,403,222.0,290.0,1.0,55.0,22.0,3.0,5.0,711,5.0,622.0,239,137.0,37.0
192,31.0,253.0,25.0,30.0,64.0,152.0,97.0,160,36.0,135.0,8.0,99.0,15.0,10.0,28.0,337,28.0,91.0,61,55.0,13.0
20,0.0,1.0,1.0,0.0,2.0,142.0,13.0,54,39.0,28.0,0.0,0.0,3.0,0.0,0.0,67,1.0,146.0,52,4.0,5.0
209,0.0,16.0,7.0,5.0,4.0,197.0,119.0,135,31.0,82.0,2.0,0.0,7.0,3.0,4.0,325,8.0,96.0,59,32.0,9.0
210,6.0,5.0,9.0,17.0,20.0,20.0,6.0,54,15.0,13.0,4.0,0.0,5.0,7.0,1.0,66,3.0,31.0,29,4.0,5.0
226,141.0,3250.0,160.0,46.0,85.0,231.0,33.0,181,68.0,185.0,96.0,16.0,89.0,39.0,45.0,507,23.0,221.0,240,51.0,51.0
235,0.0,1.0,0.0,1.0,2.0,13.0,17.0,16,2.0,23.0,2.0,0.0,0.0,0.0,0.0,33,0.0,33.0,4,5.0,1.0
240,0.0,0.0,2.0,0.0,0.0,7.0,19.0,46,7.0,50.0,0.0,0.0,0.0,0.0,0.0,97,1.0,39.0,31,3.0,3.0
248,0.0,0.0,1.0,1.0,0.0,37.0,11.0,95,16.0,65.0,1.0,0.0,3.0,3.0,0.0,182,1.0,60.0,49,17.0,8.0
250,4.0,3.0,1.0,1.0,5.0,10.0,10.0,5,8.0,5.0,4.0,2.0,0.0,0.0,0.0,25,10.0,5.0,6,7.0,3.0
252,4.0,1.0,1.0,1.0,2.0,15.0,7.0,25,3.0,6.0,8.0,0.0,2.0,1.0,3.0,97,9.0,11.0,10,1.0,2.0
253,39.0,9.0,266.0,38.0,26.0,465.0,37.0,347,85.0,260.0,7.0,0.0,95.0,27.0,46.0,391,12.0,438.0,211,97.0,21.0
254,0.0,2.0,11.0,3.0,4.0,988.0,174.0,629,289.0,430.0,0.0,1.0,10.0,3.0,1.0,392,110.0,660.0,665,147.0,65.0
257,11.0,4.0,13.0,1.0,6.0,277.0,857.0,180,85.0,268.0,0.0,0.0,6.0,4.0,0.0,678,137.0,199.0,237,111.0,90.0
258,186.0,9.0,180.0,43.0,76.0,470.0,20.0,334,54.0,257.0,61.0,0.0,134.0,28.0,34.0,1257,24.0,383.0,260,128.0,25.0
27,134.0,5.0,508.0,17.0,52.0,328.0,2.0,185,71.0,182.0,33.0,3.0,143.0,28.0,53.0,237,0.0,67.0,87,33.0,9.0
270,0.0,0.0,1.0,0.0,0.0,4.0,3.0,8,2.0,7.0,1.0,0.0,1.0,1.0,0.0,16,4.0,6.0,4,0.0,1.0
271,2.0,0.0,17.0,2.0,42.0,398.0,203.0,154,106.0,201.0,0.0,7.0,8.0,1.0,2.0,609,58.0,175.0,242,92.0,25.0
272,2.0,0.0,9.0,2.0,2.0,524.0,63.0,233,43.0,74.0,5.0,0.0,5.0,0.0,0.0,219,2.0,74.0,137,33.0,11.0
277,0.0,1.0,1.0,2.0,0.0,1.0,7.0,10,3.0,3.0,6.0,0.0,2.0,1.0,1.0,44,4.0,9.0,6,0.0,0.0
286,41.0,13.0,43.0,14.0,66.0,108.0,2.0,126,8.0,14.0,2.0,2.0,51.0,10.0,8.0,109,1.0,24.0,50,20.0,2.0
289,2.0,3.0,9.0,0.0,1.0,1321.0,721.0,710,262.0,250.0,1.0,3.0,3.0,2.0,0.0,693,14.0,599.0,779,114.0,60.0
29,2.0,12.0,4.0,2.0,11.0,105.0,7.0,41,27.0,65.0,4.0,3.0,10.0,2.0,3.0,169,4.0,84.0,44,49.0,12.0
291,0.0,0.0,1.0,0.0,1.0,22.0,9.0,60,12.0,39.0,0.0,0.0,0.0,0.0,1.0,90,6.0,29.0,24,13.0,6.0
294,2.0,3.0,8.0,3.0,3.0,283.0,88.0,84,62.0,76.0,0.0,1.0,11.0,0.0,1.0,216,18.0,132.0,155,15.0,9.0
296,0.0,3.0,7.0,1.0,0.0,948.0,1294.0,411,85.0,323.0,2.0,9.0,23.0,3.0,0.0,675,265.0,456.0,555,111.0,33.0
299,2.0,1.0,3.0,3.0,1.0,373.0,6.0,189,46.0,130.0,2.0,0.0,12.0,0.0,1.0,307,11.0,150.0,231,54.0,3.0
307,8.0,5.0,4.0,8.0,2.0,546.0,499.0,365,149.0,299.0,12.0,1.0,4.0,1.0,3.0,903,60.0,280.0,430,137.0,48.0
308,16.0,3.0,3.0,9.0,9.0,7.0,15.0,18,6.0,9.0,15.0,0.0,6.0,2.0,3.0,74,25.0,12.0,21,0.0,1.0
31,114.0,3.0,49.0,193.0,163.0,154.0,1.0,55,24.0,48.0,17.0,0.0,117.0,41.0,26.0,20,2.0,37.0,20,9.0,1.0
311,2.0,2.0,4.0,2.0,1.0,22.0,5.0,48,20.0,40.0,0.0,0.0,3.0,1.0,0.0,99,22.0,56.0,32,4.0,1.0
312,103.0,346.0,554.0,47.0,152.0,381.0,8.0,67,11.0,96.0,24.0,41.0,145.0,29.0,12.0,69,6.0,93.0,37,10.0,3.0
32,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2,7.0,1.0,0.0,0.0,2.0,0.0,0.0,8,4.0,10.0,2,1.0,0.0
320,313.0,61.0,2277.0,140.0,399.0,1070.0,24.0,714,99.0,497.0,109.0,0.0,722.0,92.0,105.0,742,8.0,554.0,341,137.0,19.0
323,0.0,1.0,1.0,2.0,0.0,33.0,31.0,34,6.0,18.0,0.0,0.0,0.0,1.0,1.0,127,2.0,21.0,28,23.0,3.0
325,1.0,0.0,18.0,1.0,3.0,627.0,12.0,409,101.0,175.0,0.0,0.0,19.0,0.0,2.0,540,16.0,336.0,272,93.0,20.0
33,0.0,0.0,0.0,1.0,0.0,74.0,0.0,16,10.0,28.0,0.0,0.0,2.0,2.0,1.0,9,0.0,19.0,44,4.0,5.0
335,91.0,4.0,573.0,97.0,104.0,764.0,100.0,507,105.0,266.0,25.0,0.0,272.0,26.0,61.0,762,2.0,391.0,293,106.0,41.0
336,136.0,1.0,170.0,152.0,240.0,277.0,93.0,139,84.0,43.0,30.0,1.0,42.0,14.0,65.0,269,0.0,146.0,113,44.0,22.0
337,8.0,7.0,33.0,5.0,6.0,974.0,568.0,611,84.0,380.0,11.0,0.0,17.0,2.0,2.0,610,88.0,526.0,466,110.0,42.0
339,37.0,6.0,430.0,6.0,54.0,240.0,3.0,170,50.0,100.0,33.0,0.0,179.0,14.0,8.0,284,14.0,175.0,75,68.0,8.0
347,13.0,2.0,5.0,2.0,5.0,328.0,11.0,37,26.0,49.0,10.0,0.0,5.0,0.0,1.0,65,11.0,77.0,37,18.0,11.0
348,8.0,5.0,4.0,12.0,6.0,68.0,375.0,93,15.0,57.0,10.0,0.0,5.0,3.0,1.0,235,4.0,53.0,55,25.0,14.0
350,29.0,48.0,15.0,19.0,61.0,120.0,6.0,128,18.0,56.0,59.0,3.0,22.0,40.0,22.0,287,1.0,98.0,118,30.0,13.0
354,3.0,5.0,18.0,5.0,11.0,292.0,222.0,311,114.0,194.0,7.0,0.0,11.0,3.0,1.0,408,8.0,275.0,206,33.0,19.0
358,3.0,31.0,47.0,7.0,22.0,71.0,18.0,41,17.0,41.0,5.0,1.0,27.0,2.0,4.0,147,2.0,31.0,48,14.0,12.0
359,74.0,9.0,40.0,53.0,442.0,127.0,5308.0,85,24.0,78.0,68.0,1.0,30.0,38.0,146.0,211,86.0,67.0,96,30.0,11.0
36,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7,0.0,0.0,3,0.0,1.0
364,7.0,22.0,9.0,6.0,9.0,112.0,30.0,111,29.0,99.0,1.0,22.0,13.0,0.0,2.0,271,10.0,85.0,85,32.0,8.0
375,158.0,0.0,998.0,118.0,347.0,955.0,79.0,303,97.0,183.0,81.0,0.0,471.0,63.0,103.0,359,6.0,392.0,336,36.0,29.0
383,6.0,13.0,29.0,2.0,5.0,690.0,68.0,465,47.0,204.0,8.0,1.0,9.0,6.0,0.0,385,14.0,339.0,196,63.0,29.0
385,12.0,70.0,0.0,12.0,12.0,5.0,10.0,16,7.0,3.0,12.0,5.0,2.0,5.0,3.0,57,19.0,10.0,7,3.0,1.0
392,5.0,48.0,17.0,12.0,17.0,480.0,1801.0,240,128.0,208.0,6.0,5.0,7.0,8.0,2.0,491,242.0,209.0,223,92.0,22.0
397,5.0,1.0,4.0,2.0,0.0,29.0,10.0,33,20.0,26.0,6.0,0.0,13.0,1.0,2.0,58,1.0,20.0,66,5.0,12.0
399,14.0,450.0,110.0,8.0,8.0,2720.0,954.0,1560,480.0,1379.0,3.0,40.0,37.0,6.0,17.0,2251,99.0,1521.0,1748,407.0,90.0
40,214.0,1178.0,74.0,34.0,668.0,50.0,0.0,28,10.0,95.0,185.0,0.0,113.0,120.0,187.0,160,1.0,32.0,57,7.0,2.0
400,457.0,14.0,1202.0,199.0,1032.0,690.0,209.0,287,122.0,411.0,227.0,1.0,648.0,313.0,351.0,627,33.0,352.0,528,84.0,44.0
406,4.0,4.0,11.0,0.0,2.0,790.0,105.0,1264,187.0,400.0,1.0,0.0,12.0,2.0,0.0,653,57.0,609.0,599,139.0,29.0
408,0.0,1.0,0.0,0.0,16.0,211.0,81.0,340,56.0,148.0,0.0,0.0,2.0,0.0,0.0,175,3.0,77.0,114,39.0,17.0
409,3062.0,773.0,1184.0,613.0,2829.0,2865.0,3794.0,1185,795.0,816.0,1392.0,93.0,603.0,445.0,714.0,5861,666.0,892.0,2251,436.0,269.0
40_2,4.0,6.0,0.0,5.0,4.0,1.0,3.0,7,0.0,3.0,1.0,1.0,2.0,3.0,3.0,4,1.0,1.0,2,0.0,0.0
412,8.0,4.0,10.0,2.0,0.0,12.0,26.0,11,4.0,6.0,23.0,1.0,12.0,3.0,3.0,63,151.0,18.0,17,4.0,2.0
418,0.0,1.0,0.0,4.0,3.0,9.0,7.0,11,3.0,11.0,0.0,0.0,2.0,4.0,0.0,41,2.0,7.0,6,2.0,1.0
419,2.0,9.0,18.0,8.0,17.0,726.0,26.0,282,46.0,194.0,10.0,1.0,22.0,8.0,1.0,270,21.0,281.0,185,71.0,16.0
420,0.0,0.0,3.0,0.0,1.0,227.0,24.0,100,39.0,87.0,0.0,1.0,1.0,1.0,0.0,412,26.0,93.0,109,43.0,14.0
421,140.0,75.0,1112.0,99.0,262.0,800.0,58.0,264,95.0,180.0,106.0,4.0,460.0,69.0,31.0,452,19.0,273.0,299,71.0,23.0
426,5.0,2.0,24.0,14.0,51.0,20.0,19.0,54,9.0,44.0,10.0,0.0,20.0,20.0,10.0,73,2.0,39.0,37,3.0,0.0
43,8.0,0.0,0.0,2.0,0.0,8.0,1.0,11,1.0,9.0,1.0,0.0,0.0,0.0,0.0,27,0.0,16.0,23,1.0,4.0
431,0.0,2.0,12.0,3.0,5.0,590.0,31.0,596,125.0,370.0,1.0,0.0,13.0,0.0,1.0,452,3.0,725.0,418,95.0,37.0
433,5.0,0.0,20.0,20.0,50.0,63.0,97.0,96,27.0,110.0,13.0,0.0,24.0,10.0,8.0,207,5.0,61.0,97,26.0,21.0
434,181.0,18.0,958.0,36.0,163.0,600.0,47.0,377,61.0,297.0,93.0,21.0,159.0,33.0,93.0,307,11.0,201.0,269,116.0,20.0
437,89.0,14.0,46.0,49.0,110.0,136.0,37.0,83,45.0,69.0,96.0,5.0,31.0,23.0,33.0,375,30.0,88.0,92,23.0,10.0
438,0.0,2.0,4.0,2.0,6.0,582.0,2024.0,242,61.0,164.0,7.0,2.0,7.0,1.0,2.0,1354,152.0,266.0,256,91.0,157.0
439,3.0,13.0,10.0,0.0,5.0,410.0,1819.0,334,95.0,324.0,1.0,15.0,5.0,2.0,2.0,1082,655.0,365.0,449,231.0,55.0
43_ref1,5.0,1.0,4.0,7.0,7.0,12.0,947.0,11,4.0,4.0,2.0,1.0,3.0,2.0,2.0,17,182.0,11.0,34,0.0,212.0
43_ref2,17.0,17.0,20.0,35.0,37.0,228.0,138.0,161,120.0,213.0,7.0,3.0,9.0,8.0,4.0,162,7.0,150.0,366,59.0,289.0
442,21.0,3.0,47.0,69.0,119.0,73.0,107.0,82,17.0,71.0,32.0,0.0,49.0,32.0,26.0,184,62.0,52.0,55,12.0,2.0
444,2.0,1.0,2.0,1.0,6.0,5.0,2.0,12,5.0,15.0,3.0,0.0,2.0,3.0,2.0,39,1.0,6.0,7,3.0,0.0
446,0.0,4.0,9.0,4.0,0.0,213.0,703.0,161,22.0,143.0,5.0,1.0,6.0,1.0,9.0,353,50.0,211.0,211,90.0,21.0
45,5.0,8.0,3.0,2.0,4.0,51.0,12.0,176,36.0,65.0,0.0,1.0,4.0,1.0,1.0,116,24.0,86.0,63,7.0,2.0
450,2.0,5.0,11.0,1.0,6.0,392.0,273.0,185,52.0,174.0,0.0,1.0,6.0,5.0,1.0,411,86.0,303.0,146,134.0,21.0
452,6.0,3.0,10.0,6.0,9.0,34.0,11.0,78,17.0,42.0,0.0,1.0,3.0,4.0,3.0,136,4.0,26.0,38,2.0,3.0
458,2.0,0.0,11.0,3.0,2.0,2215.0,414.0,1343,414.0,1238.0,3.0,0.0,7.0,2.0,1.0,1830,70.0,1140.0,1062,300.0,147.0
459,26.0,12.0,111.0,14.0,27.0,181.0,12.0,224,54.0,112.0,77.0,9.0,95.0,11.0,26.0,417,21.0,137.0,108,50.0,18.0
460,358.0,4358.0,561.0,153.0,320.0,1864.0,527.0,947,215.0,615.0,155.0,233.0,473.0,105.0,256.0,2049,117.0,1002.0,549,265.0,78.0
466,39.0,1.0,18.0,19.0,34.0,39.0,22.0,101,44.0,41.0,40.0,1.0,15.0,4.0,10.0,255,18.0,41.0,58,5.0,5.0
468,939.0,45.0,1685.0,1145.0,3313.0,3019.0,233.0,1624,415.0,1382.0,425.0,4.0,527.0,741.0,1967.0,3207,45.0,1544.0,1470,806.0,152.0
470,693.0,495.0,742.0,139.0,296.0,768.0,539.0,402,124.0,289.0,292.0,24.0,360.0,106.0,51.0,1267,121.0,363.0,329,179.0,37.0
473,4.0,7.0,10.0,12.0,28.0,298.0,45.0,315,41.0,211.0,7.0,1.0,10.0,4.0,1.0,326,26.0,162.0,116,68.0,22.0
475,14.0,14.0,105.0,21.0,20.0,2487.0,513.0,2690,396.0,1721.0,15.0,2.0,201.0,16.0,9.0,2753,153.0,5645.0,1125,493.0,239.0
476,17.0,5.0,131.0,10.0,2.0,27166.0,24483.0,34516,6361.0,25573.0,9.0,2.0,123.0,8.0,9.0,49039,1301.0,39995.0,32646,10660.0,6319.0
48,2.0,36.0,7.0,9.0,36.0,108.0,6.0,45,13.0,37.0,5.0,7.0,7.0,11.0,1.0,170,6.0,42.0,46,25.0,6.0
485,9.0,26.0,12.0,4.0,9.0,45.0,10.0,8,6.0,30.0,3.0,7.0,7.0,2.0,7.0,47,0.0,7.0,14,4.0,2.0
486,208.0,38.0,480.0,49.0,44.0,374.0,14.0,531,102.0,292.0,65.0,33.0,387.0,40.0,54.0,423,8.0,534.0,336,121.0,20.0
491,142.0,7.0,871.0,182.0,516.0,348.0,69.0,235,92.0,276.0,68.0,1.0,530.0,71.0,161.0,496,3.0,350.0,344,76.0,24.0
493,65.0,50.0,245.0,37.0,66.0,345.0,19.0,345,91.0,263.0,44.0,0.0,180.0,15.0,31.0,340,23.0,243.0,295,53.0,37.0
495,6.0,3.0,50.0,4.0,7.0,4149.0,628.0,1820,533.0,1254.0,11.0,0.0,54.0,6.0,7.0,3696,95.0,2319.0,2175,482.0,82.0
50,31.0,27.0,27.0,43.0,45.0,86.0,8.0,60,13.0,23.0,39.0,0.0,11.0,8.0,11.0,79,13.0,33.0,100,4.0,9.0
503,1.0,3.0,0.0,0.0,2.0,223.0,453.0,97,61.0,120.0,1.0,0.0,7.0,1.0,0.0,203,10.0,129.0,144,32.0,14.0
507,1.0,3.0,0.0,1.0,1.0,695.0,455.0,288,56.0,201.0,0.0,2.0,4.0,3.0,0.0,987,15.0,199.0,204,110.0,32.0
508,22.0,35.0,25.0,2.0,3.0,1695.0,172.0,1073,340.0,753.0,8.0,0.0,27.0,4.0,2.0,1530,45.0,1202.0,1350,205.0,84.0
52,1.0,4.0,5.0,0.0,2.0,102.0,25.0,138,24.0,71.0,2.0,0.0,3.0,0.0,0.0,111,12.0,175.0,56,32.0,12.0
520,4.0,5.0,4.0,6.0,7.0,31.0,6.0,95,26.0,44.0,8.0,0.0,7.0,4.0,4.0,136,3.0,34.0,46,7.0,2.0
521,7.0,2.0,45.0,2.0,2.0,158.0,32.0,773,145.0,318.0,3.0,0.0,17.0,2.0,4.0,602,38.0,422.0,279,32.0,18.0
522,13.0,6.0,23.0,14.0,43.0,754.0,831.0,896,160.0,407.0,12.0,6.0,31.0,12.0,8.0,860,52.0,721.0,466,123.0,39.0
523,2145.0,903.0,7070.0,1004.0,2392.0,6220.0,498.0,3588,778.0,2138.0,949.0,4.0,4223.0,604.0,1025.0,3379,91.0,2834.0,1959,661.0,128.0
524,163.0,564.0,114.0,71.0,284.0,337.0,318.0,821,183.0,903.0,113.0,31.0,49.0,37.0,30.0,1644,23.0,1450.0,1490,72.0,30.0
525,502.0,8.0,463.0,358.0,1363.0,418.0,169.0,301,42.0,137.0,67.0,4.0,449.0,72.0,76.0,431,64.0,260.0,121,49.0,10.0
531,4.0,36.0,9.0,8.0,9.0,24.0,15.0,15,14.0,13.0,11.0,3.0,6.0,2.0,0.0,44,1.0,40.0,9,6.0,3.0
532,3.0,22.0,4.0,13.0,19.0,11.0,5.0,35,14.0,28.0,4.0,1.0,6.0,5.0,3.0,56,5.0,19.0,17,5.0,1.0
535,5200.0,5932.0,2045.0,832.0,5056.0,4945.0,2717.0,1639,396.0,1741.0,2000.0,2017.0,1018.0,378.0,1499.0,8493,161.0,1260.0,1266,1147.0,276.0
538,294.0,83.0,503.0,67.0,215.0,621.0,326.0,785,129.0,425.0,180.0,9.0,242.0,72.0,39.0,1278,21.0,1246.0,638,205.0,32.0
539,2082.0,4062.0,14609.0,726.0,4196.0,3038.0,691.0,3202,457.0,1960.0,651.0,353.0,4504.0,442.0,746.0,2796,255.0,2512.0,1395,655.0,130.0
540,4144.0,2980.0,3406.0,4765.0,24587.0,4298.0,1615.0,5120,1247.0,3489.0,1234.0,215.0,1479.0,1852.0,4040.0,4948,278.0,6903.0,5029,416.0,299.0
541,4.0,9.0,13.0,5.0,6.0,524.0,67.0,502,96.0,235.0,2.0,2.0,15.0,0.0,0.0,455,5.0,383.0,302,58.0,29.0
543,3.0,1.0,17.0,5.0,13.0,171.0,166.0,129,29.0,120.0,0.0,0.0,7.0,1.0,1.0,400,3.0,88.0,125,75.0,90.0
545,122.0,14968.0,803.0,132.0,442.0,825.0,124.0,596,124.0,269.0,74.0,1094.0,173.0,98.0,192.0,333,144.0,419.0,302,56.0,24.0
546,9.0,17.0,20.0,9.0,13.0,1881.0,347.0,1507,511.0,753.0,5.0,0.0,14.0,2.0,4.0,989,146.0,1809.0,1514,267.0,69.0
557,21.0,4.0,19.0,66.0,221.0,267.0,130.0,412,110.0,270.0,13.0,1.0,22.0,20.0,5.0,392,18.0,504.0,253,29.0,22.0
559,12.0,18.0,26.0,2.0,26.0,29.0,26.0,145,13.0,168.0,9.0,0.0,14.0,7.0,6.0,204,4.0,87.0,122,27.0,10.0
564,39.0,143.0,14.0,57.0,167.0,60.0,35.0,186,28.0,107.0,19.0,19.0,22.0,23.0,13.0,348,14.0,114.0,117,22.0,9.0
567,130.0,80.0,2905.0,37.0,89.0,325.0,24.0,350,64.0,175.0,74.0,1.0,155.0,34.0,56.0,356,9.0,216.0,170,60.0,14.0
57,1.0,0.0,8.0,1.0,3.0,490.0,54.0,495,102.0,292.0,0.0,0.0,1.0,3.0,1.0,811,63.0,270.0,307,146.0,18.0
571,149.0,63.0,428.0,261.0,432.0,339.0,103.0,154,64.0,132.0,67.0,69.0,152.0,139.0,184.0,334,67.0,296.0,289,77.0,22.0
574,6.0,3.0,2.0,3.0,2.0,485.0,19.0,251,42.0,188.0,3.0,3.0,8.0,1.0,0.0,375,9.0,224.0,152,72.0,19.0
