strain_id,A_MTX_5-FC.SNA4_VAC8,A_MTX_Fluconazole.SNA4_VAC8,A_MTX_Metformin.SNA4_VAC8,A_MTX_Trifluoperazine.SNA4_VAC8,A_MTX_noDrug.SNA4_VAC8,A_noMTX_5-FC.SNA4_VAC8,A_noMTX_Fluconazole.SNA4_VAC8,A_noMTX_Metformin.SNA4_VAC8,A_noMTX_Trifluoperazine.SNA4_VAC8,A_noMTX_noDrug.SNA4_VAC8,B_MTX_5-FC.SNA4_VAC8,B_MTX_Fluconazole.SNA4_VAC8,B_MTX_Metformin.SNA4_VAC8,B_MTX_Trifluoperazine.SNA4_VAC8,B_MTX_noDrug.SNA4_VAC8,B_noMTX_5-FC.SNA4_VAC8,B_noMTX_Fluconazole.SNA4_VAC8,B_noMTX_Metformin.SNA4_VAC8,B_noMTX_Trifluoperazine.SNA4_VAC8,B_noMTX_noDrug.SNA4_VAC8,T0_noMTX_noDrug.SNA4_VAC8
192,4.0,55.0,3.0,18.0,14.0,9.0,22.0,7.0,14.0,1.0,8.0,22.0,10.0,16.0,6.0,6.0,9.0,15.0,6.0,6.0,2.0
20,0.0,1.0,0.0,1.0,2.0,5.0,3.0,3.0,9.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,5.0,3.0,0.0
209,1.0,0.0,0.0,2.0,2.0,16.0,36.0,9.0,14.0,1.0,0.0,1.0,0.0,1.0,2.0,10.0,11.0,10.0,11.0,8.0,8.0
210,1.0,0.0,5.0,3.0,8.0,6.0,6.0,8.0,16.0,5.0,8.0,1.0,0.0,3.0,2.0,10.0,2.0,7.0,10.0,9.0,1.0
226,8.0,2.0,3.0,5.0,2.0,9.0,1.0,4.0,9.0,3.0,15.0,0.0,10.0,11.0,2.0,4.0,2.0,9.0,10.0,7.0,5.0
235,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,2.0,3.0,2.0,2.0,6.0,1.0,2.0,2.0,2.0,4.0,1.0,0.0
240,0.0,0.0,2.0,4.0,3.0,0.0,1.0,2.0,20.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,5.0,0.0,0.0
248,0.0,0.0,0.0,3.0,1.0,2.0,1.0,6.0,14.0,1.0,1.0,0.0,10.0,4.0,0.0,1.0,0.0,4.0,6.0,6.0,0.0
250,0.0,5.0,0.0,0.0,2.0,1.0,13.0,3.0,8.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,5.0,2.0,0.0
252,3.0,14.0,2.0,11.0,7.0,5.0,67.0,15.0,73.0,0.0,3.0,1.0,7.0,3.0,0.0,3.0,4.0,19.0,13.0,10.0,1.0
253,56.0,187.0,990.0,81.0,176.0,1865.0,8735.0,4158.0,5366.0,817.0,94.0,173.0,766.0,134.0,41.0,2473.0,2687.0,10411.0,4738.0,2906.0,249.0
254,0.0,1.0,31.0,1.0,2.0,83.0,24.0,165.0,191.0,30.0,3.0,1.0,18.0,1.0,0.0,87.0,8.0,98.0,122.0,58.0,41.0
257,1.0,3.0,5.0,20.0,24.0,9.0,16.0,8.0,56.0,6.0,6.0,1.0,9.0,7.0,2.0,18.0,8.0,26.0,25.0,15.0,62.0
258,1391.0,211.0,982.0,1211.0,4760.0,1344.0,792.0,1766.0,2177.0,365.0,3152.0,357.0,1094.0,1908.0,892.0,2289.0,193.0,2816.0,2127.0,1112.0,415.0
27,2.0,3.0,1.0,2.0,1.0,3.0,7.0,4.0,7.0,1.0,3.0,2.0,6.0,4.0,5.0,2.0,1.0,7.0,6.0,1.0,1.0
270,0.0,0.0,2.0,2.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
271,1.0,0.0,1.0,3.0,0.0,7.0,6.0,4.0,5.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,9.0,7.0,17.0,3.0
272,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,5.0,1.0
277,1.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
286,11.0,96.0,414.0,25.0,63.0,220.0,78.0,226.0,344.0,77.0,76.0,144.0,364.0,55.0,18.0,200.0,32.0,407.0,192.0,242.0,36.0
289,1.0,2.0,1.0,2.0,1.0,6.0,11.0,0.0,6.0,4.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,9.0,8.0,6.0,4.0
29,0.0,2.0,2.0,3.0,1.0,7.0,10.0,5.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,4.0,2.0,7.0,3.0,0.0
291,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,5.0,2.0,0.0
294,1.0,0.0,1.0,8.0,3.0,17.0,40.0,10.0,23.0,7.0,5.0,0.0,8.0,4.0,1.0,9.0,4.0,7.0,9.0,11.0,1.0
296,5.0,10.0,63.0,1.0,6.0,179.0,277.0,453.0,663.0,163.0,5.0,3.0,45.0,0.0,2.0,411.0,987.0,1199.0,462.0,306.0,43.0
299,0.0,0.0,2.0,2.0,2.0,10.0,9.0,3.0,19.0,4.0,0.0,1.0,5.0,0.0,0.0,4.0,3.0,6.0,7.0,12.0,3.0
307,5.0,3.0,0.0,1.0,1.0,3.0,176.0,2.0,3.0,1.0,5.0,0.0,1.0,2.0,2.0,1.0,27.0,12.0,6.0,5.0,1.0
308,3.0,0.0,0.0,2.0,2.0,6.0,37.0,5.0,45.0,3.0,2.0,0.0,2.0,0.0,1.0,4.0,5.0,10.0,11.0,3.0,2.0
31,1.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,4.0,0.0,6.0,0.0,2.0,6.0,1.0,3.0,2.0,3.0,4.0,3.0,0.0
311,3.0,0.0,3.0,3.0,4.0,2.0,25.0,7.0,15.0,2.0,1.0,1.0,4.0,3.0,2.0,6.0,11.0,7.0,5.0,8.0,1.0
312,2.0,11.0,6.0,5.0,8.0,5.0,13.0,6.0,2.0,3.0,5.0,6.0,10.0,13.0,4.0,1.0,6.0,8.0,5.0,11.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
320,1697.0,1777.0,3533.0,1630.0,3246.0,1202.0,7590.0,1699.0,4019.0,593.0,3188.0,1547.0,2163.0,1357.0,732.0,2149.0,3363.0,4917.0,3014.0,1740.0,265.0
323,9.0,4.0,2.0,9.0,3.0,1.0,2.0,1.0,0.0,1.0,5.0,3.0,2.0,7.0,4.0,4.0,0.0,1.0,5.0,4.0,0.0
325,0.0,6.0,2.0,0.0,3.0,10.0,6.0,4.0,5.0,6.0,1.0,0.0,6.0,4.0,2.0,6.0,14.0,12.0,8.0,30.0,3.0
33,1.0,0.0,28.0,4.0,5.0,51.0,82.0,124.0,332.0,213.0,3.0,0.0,34.0,9.0,0.0,128.0,12.0,143.0,267.0,146.0,92.0
335,4.0,1.0,2.0,4.0,1.0,5.0,2.0,2.0,2.0,0.0,3.0,0.0,5.0,37.0,1.0,8.0,1.0,2.0,2.0,6.0,2.0
336,1.0,1.0,0.0,5.0,3.0,1.0,2.0,2.0,3.0,0.0,4.0,0.0,4.0,3.0,3.0,1.0,1.0,2.0,6.0,0.0,0.0
337,1.0,2.0,3.0,1.0,0.0,21.0,11.0,22.0,8.0,9.0,0.0,4.0,13.0,0.0,0.0,16.0,4.0,23.0,16.0,39.0,5.0
339,1.0,1.0,3.0,3.0,6.0,9.0,3.0,4.0,1.0,3.0,3.0,3.0,8.0,1.0,1.0,2.0,2.0,2.0,3.0,13.0,2.0
347,0.0,0.0,0.0,1.0,0.0,6.0,15.0,6.0,5.0,1.0,2.0,0.0,7.0,3.0,1.0,3.0,44.0,21.0,11.0,9.0,0.0
348,0.0,2.0,0.0,1.0,2.0,3.0,4.0,3.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,0.0
350,28.0,9.0,8.0,25.0,33.0,9.0,11.0,4.0,7.0,3.0,93.0,8.0,16.0,116.0,18.0,7.0,9.0,25.0,10.0,6.0,1.0
354,3.0,0.0,14.0,1.0,0.0,85.0,6.0,290.0,402.0,86.0,2.0,0.0,13.0,1.0,0.0,144.0,4.0,539.0,620.0,240.0,49.0
358,1.0,3.0,0.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,6.0,7.0,8.0,0.0,0.0,5.0,2.0,1.0,2.0
359,2938.0,94.0,1700.0,6529.0,14695.0,102.0,20.0,111.0,387.0,44.0,4940.0,172.0,713.0,10123.0,2960.0,114.0,4.0,454.0,408.0,90.0,41.0
36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0
364,2.0,4.0,2.0,9.0,2.0,0.0,28.0,2.0,2.0,1.0,3.0,1.0,3.0,6.0,1.0,1.0,17.0,2.0,4.0,1.0,3.0
375,5.0,0.0,3.0,16.0,11.0,8.0,41.0,7.0,8.0,5.0,15.0,2.0,12.0,18.0,10.0,11.0,5.0,4.0,11.0,15.0,2.0
383,0.0,15.0,1.0,4.0,4.0,13.0,10.0,14.0,21.0,6.0,0.0,5.0,1.0,3.0,0.0,11.0,8.0,20.0,12.0,11.0,2.0
385,2.0,33.0,0.0,2.0,0.0,2.0,10.0,2.0,5.0,0.0,1.0,9.0,0.0,1.0,0.0,2.0,3.0,6.0,3.0,0.0,1.0
392,0.0,5.0,1.0,4.0,3.0,4.0,12.0,13.0,8.0,4.0,1.0,5.0,4.0,1.0,0.0,3.0,1.0,11.0,21.0,12.0,2.0
397,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,13.0,3.0,1.0,0.0,3.0,0.0,1.0,5.0,2.0,5.0,4.0,4.0,1.0
399,3.0,207.0,14.0,6.0,3.0,2073.0,1565.0,1317.0,3891.0,504.0,8.0,58.0,16.0,9.0,4.0,2107.0,797.0,3299.0,3216.0,1501.0,208.0
40,5.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
400,28.0,0.0,226.0,47.0,48.0,244.0,15.0,203.0,726.0,80.0,63.0,1.0,225.0,54.0,18.0,375.0,8.0,466.0,630.0,252.0,81.0
406,0.0,0.0,0.0,1.0,1.0,9.0,11.0,15.0,15.0,9.0,3.0,0.0,3.0,0.0,0.0,9.0,6.0,20.0,19.0,38.0,4.0
408,0.0,1.0,1.0,0.0,0.0,4.0,6.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,4.0,0.0
409,15.0,11.0,1.0,6.0,2.0,17.0,47.0,8.0,25.0,3.0,14.0,3.0,1.0,17.0,9.0,14.0,3.0,8.0,20.0,10.0,1.0
40_2,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0
412,1.0,1.0,0.0,3.0,4.0,2.0,11.0,0.0,6.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,6.0,3.0,5.0,2.0
418,1.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,12.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,5.0,1.0,1.0
419,5.0,2.0,3.0,7.0,5.0,1.0,3.0,1.0,10.0,3.0,4.0,1.0,2.0,2.0,1.0,7.0,3.0,11.0,7.0,11.0,1.0
420,0.0,0.0,0.0,1.0,2.0,5.0,9.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,1.0,5.0,3.0,2.0,7.0,5.0,0.0
421,78.0,5.0,37.0,51.0,60.0,6.0,6.0,7.0,7.0,2.0,210.0,11.0,136.0,202.0,99.0,7.0,5.0,3.0,6.0,4.0,2.0
426,16.0,9.0,12.0,22.0,24.0,9.0,11.0,0.0,17.0,2.0,32.0,3.0,18.0,59.0,19.0,3.0,7.0,11.0,18.0,8.0,2.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
431,0.0,0.0,4.0,1.0,3.0,5.0,10.0,8.0,5.0,2.0,3.0,0.0,6.0,5.0,0.0,1.0,1.0,10.0,4.0,10.0,2.0
433,1.0,1.0,8.0,8.0,12.0,6.0,6.0,4.0,14.0,3.0,8.0,0.0,12.0,4.0,2.0,7.0,3.0,5.0,10.0,9.0,7.0
434,835.0,1726.0,3058.0,955.0,3689.0,202.0,1520.0,859.0,1097.0,140.0,2579.0,2135.0,3076.0,1663.0,498.0,468.0,117.0,1434.0,943.0,701.0,64.0
437,7.0,10.0,7.0,9.0,5.0,12.0,39.0,13.0,37.0,2.0,7.0,1.0,15.0,6.0,5.0,8.0,16.0,20.0,12.0,8.0,2.0
438,1.0,3.0,4.0,0.0,2.0,5.0,4.0,2.0,7.0,1.0,1.0,2.0,6.0,1.0,0.0,3.0,1.0,5.0,4.0,3.0,1.0
439,2.0,3.0,0.0,0.0,1.0,7.0,70.0,7.0,6.0,4.0,4.0,7.0,3.0,5.0,0.0,5.0,7.0,17.0,12.0,5.0,0.0
43_ref1,2.0,2.0,2.0,1.0,1.0,2.0,398.0,0.0,22.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,279.0,64.0,14.0,1.0,147.0
43_ref2,2.0,3.0,3.0,4.0,8.0,25.0,3.0,38.0,181.0,28.0,3.0,0.0,8.0,5.0,0.0,15.0,58.0,57.0,179.0,188.0,247.0
442,11.0,3.0,8.0,12.0,23.0,7.0,21.0,5.0,26.0,2.0,16.0,1.0,11.0,14.0,7.0,8.0,4.0,13.0,14.0,10.0,2.0
444,0.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0
446,2.0,5.0,0.0,9.0,4.0,3.0,5.0,1.0,5.0,2.0,7.0,2.0,3.0,8.0,4.0,1.0,2.0,1.0,2.0,6.0,0.0
45,1.0,1.0,0.0,2.0,0.0,3.0,4.0,4.0,3.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,4.0,10.0,3.0,3.0,2.0
450,2.0,9.0,36.0,22.0,14.0,53.0,64.0,95.0,260.0,180.0,27.0,5.0,43.0,16.0,3.0,93.0,18.0,109.0,263.0,153.0,84.0
452,12.0,1.0,5.0,90.0,38.0,7.0,2.0,9.0,41.0,2.0,14.0,1.0,10.0,25.0,4.0,6.0,1.0,6.0,5.0,9.0,1.0
458,0.0,9.0,2.0,6.0,3.0,76.0,211.0,142.0,331.0,81.0,0.0,1.0,5.0,1.0,2.0,95.0,7.0,200.0,270.0,185.0,47.0
459,4.0,1.0,9.0,18.0,18.0,14.0,6.0,11.0,36.0,9.0,10.0,0.0,7.0,14.0,4.0,4.0,4.0,15.0,17.0,10.0,2.0
460,316.0,4169.0,906.0,311.0,1344.0,1494.0,6938.0,1164.0,2557.0,628.0,658.0,10012.0,772.0,298.0,155.0,1573.0,2001.0,2869.0,2098.0,1254.0,305.0
466,3.0,25.0,4.0,23.0,22.0,17.0,11.0,20.0,89.0,3.0,11.0,5.0,7.0,10.0,2.0,22.0,3.0,28.0,16.0,19.0,1.0
468,707.0,14.0,140.0,1158.0,2502.0,56.0,203.0,50.0,131.0,25.0,1514.0,3.0,172.0,1316.0,919.0,115.0,44.0,129.0,91.0,76.0,24.0
470,22.0,5.0,16.0,61.0,32.0,22.0,19.0,18.0,79.0,5.0,44.0,5.0,9.0,18.0,19.0,14.0,6.0,18.0,18.0,29.0,2.0
473,5.0,6.0,4.0,4.0,5.0,7.0,8.0,10.0,6.0,1.0,8.0,9.0,11.0,4.0,4.0,8.0,13.0,11.0,19.0,11.0,5.0
475,9.0,77.0,55.0,59.0,35.0,841.0,9193.0,2737.0,3772.0,601.0,20.0,492.0,106.0,40.0,6.0,1400.0,2180.0,4880.0,2297.0,2373.0,349.0
476,3.0,9.0,6.0,14.0,10.0,1032.0,805.0,861.0,2711.0,1251.0,13.0,4.0,12.0,4.0,1.0,776.0,164.0,2686.0,1699.0,1347.0,703.0
48,6.0,6.0,5.0,8.0,1.0,4.0,10.0,4.0,9.0,4.0,4.0,3.0,3.0,6.0,3.0,4.0,4.0,7.0,4.0,8.0,5.0
485,4.0,7.0,0.0,1.0,1.0,5.0,4.0,1.0,2.0,0.0,4.0,12.0,5.0,1.0,1.0,6.0,3.0,5.0,2.0,5.0,0.0
486,5.0,39.0,3.0,16.0,21.0,5.0,26.0,10.0,30.0,10.0,10.0,15.0,14.0,6.0,4.0,6.0,4.0,14.0,18.0,32.0,2.0
491,22.0,10.0,33.0,198.0,163.0,34.0,19.0,42.0,241.0,17.0,63.0,2.0,59.0,74.0,23.0,16.0,13.0,44.0,60.0,39.0,6.0
493,4.0,5.0,2.0,6.0,8.0,4.0,11.0,4.0,7.0,3.0,4.0,0.0,16.0,8.0,4.0,6.0,4.0,9.0,4.0,8.0,1.0
495,2.0,4.0,7.0,14.0,4.0,96.0,26.0,125.0,90.0,21.0,2.0,7.0,18.0,11.0,3.0,54.0,46.0,68.0,111.0,60.0,6.0
50,5.0,6.0,5.0,9.0,6.0,3.0,21.0,6.0,32.0,4.0,3.0,1.0,5.0,6.0,4.0,6.0,19.0,12.0,12.0,3.0,4.0
503,0.0,4.0,0.0,4.0,2.0,4.0,10.0,1.0,5.0,2.0,0.0,1.0,2.0,1.0,0.0,4.0,4.0,4.0,8.0,8.0,2.0
507,0.0,4.0,1.0,2.0,0.0,8.0,4.0,2.0,8.0,3.0,0.0,2.0,1.0,4.0,0.0,6.0,3.0,2.0,8.0,11.0,7.0
508,0.0,7.0,4.0,2.0,3.0,7.0,11.0,5.0,10.0,5.0,0.0,4.0,6.0,2.0,0.0,10.0,4.0,8.0,16.0,17.0,4.0
52,1.0,5.0,42.0,0.0,1.0,71.0,5973.0,211.0,283.0,45.0,13.0,7.0,41.0,7.0,0.0,151.0,424.0,414.0,214.0,254.0,28.0
520,3.0,1.0,2.0,19.0,9.0,5.0,2.0,3.0,12.0,1.0,5.0,0.0,3.0,5.0,5.0,3.0,3.0,10.0,10.0,10.0,0.0
521,4.0,1.0,4.0,2.0,5.0,28.0,9.0,21.0,12.0,4.0,3.0,1.0,14.0,2.0,2.0,24.0,6.0,24.0,51.0,28.0,3.0
522,27.0,7.0,7.0,14.0,7.0,15.0,11.0,13.0,24.0,8.0,9.0,6.0,21.0,14.0,5.0,8.0,8.0,25.0,21.0,27.0,6.0
523,128.0,125.0,201.0,97.0,112.0,104.0,110.0,98.0,121.0,55.0,120.0,164.0,397.0,446.0,65.0,98.0,44.0,129.0,137.0,237.0,23.0
524,11.0,67.0,28.0,8.0,45.0,177.0,2134.0,161.0,350.0,30.0,14.0,35.0,42.0,20.0,5.0,138.0,878.0,887.0,332.0,198.0,58.0
525,1839.0,518.0,805.0,1525.0,3495.0,118.0,172.0,122.0,275.0,32.0,3474.0,337.0,526.0,1963.0,1156.0,127.0,54.0,168.0,228.0,114.0,38.0
531,4.0,5.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,3.0,2.0,3.0,0.0,5.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0
532,3.0,9.0,0.0,0.0,4.0,2.0,17.0,3.0,13.0,1.0,5.0,3.0,8.0,2.0,0.0,2.0,8.0,12.0,6.0,2.0,3.0
535,59.0,87.0,6.0,55.0,55.0,42.0,33.0,10.0,28.0,10.0,96.0,35.0,29.0,60.0,50.0,21.0,19.0,20.0,37.0,46.0,9.0
538,2218.0,66.0,1289.0,2973.0,7277.0,178.0,87.0,495.0,739.0,107.0,4800.0,474.0,1692.0,4219.0,1502.0,291.0,223.0,593.0,802.0,296.0,57.0
539,35.0,130.0,50.0,54.0,60.0,22.0,26.0,26.0,18.0,14.0,35.0,18.0,216.0,113.0,46.0,21.0,23.0,51.0,28.0,44.0,7.0
540,753.0,1818.0,306.0,646.0,3801.0,187.0,998.0,214.0,270.0,55.0,1808.0,1628.0,442.0,2416.0,586.0,176.0,396.0,434.0,435.0,258.0,95.0
