strain_id,A_MTX_5-FC.ERG11_HYR1,A_MTX_Fluconazole.ERG11_HYR1,A_MTX_Metformin.ERG11_HYR1,A_MTX_Trifluoperazine.ERG11_HYR1,A_MTX_noDrug.ERG11_HYR1,A_noMTX_5-FC.ERG11_HYR1,A_noMTX_Fluconazole.ERG11_HYR1,A_noMTX_Metformin.ERG11_HYR1,A_noMTX_Trifluoperazine.ERG11_HYR1,A_noMTX_noDrug.ERG11_HYR1,B_MTX_5-FC.ERG11_HYR1,B_MTX_Fluconazole.ERG11_HYR1,B_MTX_Metformin.ERG11_HYR1,B_MTX_Trifluoperazine.ERG11_HYR1,B_MTX_noDrug.ERG11_HYR1,B_noMTX_5-FC.ERG11_HYR1,B_noMTX_Fluconazole.ERG11_HYR1,B_noMTX_Metformin.ERG11_HYR1,B_noMTX_Trifluoperazine.ERG11_HYR1,B_noMTX_noDrug.ERG11_HYR1,T0_noMTX_noDrug.ERG11_HYR1
335,16,2.0,6.0,10.0,3.0,2.0,4.0,5.0,7.0,8.0,3.0,0.0,19,6.0,4.0,2.0,2.0,11.0,9.0,4.0,5.0
336,110,4.0,21.0,16.0,12.0,72.0,7.0,50.0,35.0,60.0,5.0,0.0,69,7.0,23.0,32.0,4.0,168.0,62.0,73.0,21.0
337,1718,87.0,586.0,255.0,67.0,1025.0,347.0,1033.0,1054.0,2126.0,158.0,54.0,2809,23.0,428.0,803.0,16.0,2888.0,1480.0,2133.0,178.0
339,1625,747.0,675.0,459.0,524.0,164.0,4.0,268.0,228.0,1103.0,121.0,0.0,2721,95.0,3105.0,114.0,1.0,1398.0,355.0,895.0,39.0
347,39,39.0,11.0,2.0,0.0,57.0,884.0,27.0,13.0,101.0,1.0,0.0,4,1.0,6.0,42.0,64.0,54.0,10.0,80.0,6.0
348,6,1.0,2.0,1.0,0.0,1.0,8.0,9.0,8.0,7.0,5.0,0.0,16,1.0,1.0,12.0,1.0,26.0,19.0,7.0,3.0
350,170,34.0,61.0,76.0,61.0,274.0,1.0,79.0,127.0,98.0,27.0,5.0,133,11.0,129.0,170.0,2.0,442.0,368.0,59.0,25.0
354,38,0.0,3.0,62.0,58.0,5.0,5.0,42.0,55.0,35.0,7.0,0.0,72,16.0,200.0,7.0,4.0,32.0,21.0,117.0,14.0
358,14,2.0,0.0,10.0,1.0,3.0,4.0,1.0,8.0,6.0,0.0,0.0,12,1.0,25.0,7.0,0.0,16.0,17.0,18.0,5.0
359,62,1.0,1.0,22.0,15.0,1.0,71.0,1.0,0.0,4.0,1.0,2.0,218,12.0,10.0,1.0,0.0,2.0,3.0,0.0,2.0
36,5,2.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,18,0.0,7.0,0.0,1.0,4.0,1.0,2.0,0.0
364,144,10.0,41.0,37.0,26.0,18.0,10.0,31.0,65.0,35.0,30.0,3.0,96,6.0,53.0,15.0,3.0,62.0,82.0,13.0,11.0
375,4105,0.0,84.0,403.0,299.0,98.0,397.0,146.0,87.0,358.0,246.0,0.0,1344,260.0,1004.0,215.0,1.0,215.0,167.0,204.0,70.0
383,255,1.0,24.0,77.0,9.0,107.0,1.0,57.0,41.0,192.0,17.0,0.0,523,24.0,86.0,104.0,2.0,108.0,139.0,97.0,40.0
385,4,6.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,7.0,1,0.0,2.0,3.0,3.0,0.0,3.0,0.0,2.0
392,12,12.0,2.0,17.0,3.0,45.0,24.0,15.0,6.0,6.0,1.0,1.0,10,0.0,5.0,19.0,4.0,33.0,54.0,40.0,12.0
397,65,5.0,33.0,64.0,1.0,4.0,2.0,6.0,58.0,10.0,16.0,0.0,81,11.0,38.0,11.0,4.0,51.0,348.0,15.0,21.0
399,3447,1581.0,622.0,815.0,280.0,948.0,90.0,741.0,592.0,593.0,269.0,401.0,2119,164.0,1112.0,797.0,128.0,1118.0,1123.0,868.0,91.0
40,158,3.0,16.0,29.0,5.0,11.0,0.0,2.0,1.0,20.0,15.0,0.0,12,5.0,11.0,6.0,0.0,39.0,2.0,34.0,5.0
400,845,1.0,73.0,224.0,172.0,88.0,3.0,67.0,67.0,97.0,142.0,0.0,343,125.0,531.0,31.0,4.0,126.0,133.0,45.0,45.0
406,427,1.0,111.0,53.0,15.0,194.0,98.0,470.0,618.0,374.0,44.0,0.0,622,5.0,58.0,233.0,82.0,1339.0,749.0,319.0,51.0
408,8,1.0,0.0,0.0,0.0,3.0,13.0,2.0,9.0,36.0,0.0,0.0,7,0.0,3.0,6.0,2.0,31.0,8.0,25.0,0.0
409,59,4.0,10.0,11.0,12.0,313.0,47.0,150.0,360.0,99.0,29.0,0.0,40,9.0,36.0,174.0,2.0,613.0,2610.0,81.0,42.0
40_2,9,0.0,1.0,8.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,3,1.0,10.0,2.0,1.0,3.0,6.0,3.0,0.0
412,2,0.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,2.0,1.0,0.0,3,0.0,0.0,0.0,2.0,2.0,5.0,2.0,1.0
418,18,2.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6,0.0,6.0,2.0,0.0,5.0,10.0,7.0,0.0
419,9,3.0,11.0,2.0,2.0,9.0,4.0,10.0,9.0,6.0,2.0,0.0,25,0.0,4.0,13.0,6.0,13.0,24.0,25.0,9.0
420,15,0.0,5.0,2.0,0.0,61.0,1.0,18.0,20.0,30.0,0.0,0.0,5,0.0,2.0,21.0,2.0,69.0,72.0,17.0,15.0
421,299,73.0,20.0,31.0,52.0,51.0,8.0,20.0,23.0,155.0,30.0,5.0,86,37.0,101.0,15.0,2.0,127.0,101.0,49.0,26.0
426,71,2.0,13.0,34.0,12.0,4.0,6.0,6.0,14.0,23.0,13.0,1.0,89,9.0,32.0,14.0,3.0,23.0,12.0,14.0,1.0
43,11,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,14,0.0,1.0,3.0,0.0,22.0,4.0,3.0,6.0
431,39,0.0,35.0,31.0,0.0,23.0,7.0,18.0,12.0,24.0,0.0,0.0,40,2.0,13.0,35.0,3.0,74.0,38.0,80.0,18.0
433,126,1.0,14.0,30.0,6.0,9.0,10.0,10.0,23.0,67.0,2.0,0.0,79,4.0,151.0,12.0,6.0,61.0,41.0,43.0,16.0
434,3242,43.0,404.0,450.0,404.0,229.0,48.0,453.0,198.0,1319.0,222.0,1.0,1555,35.0,2811.0,66.0,21.0,610.0,212.0,1220.0,60.0
437,48,0.0,3.0,14.0,3.0,2.0,6.0,4.0,4.0,5.0,7.0,0.0,33,3.0,27.0,7.0,1.0,18.0,13.0,14.0,4.0
438,3,0.0,0.0,0.0,0.0,25.0,31.0,19.0,19.0,11.0,1.0,0.0,3,0.0,2.0,31.0,4.0,112.0,38.0,18.0,17.0
439,20,145.0,6.0,31.0,8.0,108.0,36.0,171.0,386.0,156.0,21.0,64.0,192,15.0,16.0,169.0,5.0,775.0,859.0,279.0,61.0
43_ref1,20,1.0,0.0,7.0,2.0,113.0,72013.0,20.0,804.0,62.0,0.0,3.0,6,1.0,7.0,109.0,23976.0,141.0,2002.0,43.0,516.0
43_ref2,60,2.0,28.0,37.0,0.0,1842.0,6104.0,1561.0,4139.0,4902.0,2.0,0.0,136,2.0,78.0,899.0,375.0,3629.0,12082.0,4979.0,907.0
442,127,1.0,9.0,68.0,15.0,0.0,5.0,9.0,11.0,18.0,10.0,0.0,78,6.0,149.0,18.0,2.0,28.0,10.0,22.0,2.0
444,11,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,14,0.0,6.0,2.0,1.0,4.0,6.0,6.0,0.0
446,5,1.0,0.0,0.0,0.0,6.0,15.0,18.0,8.0,9.0,1.0,0.0,12,0.0,0.0,37.0,3.0,3.0,52.0,18.0,21.0
45,19,1.0,3.0,10.0,3.0,5.0,3.0,9.0,7.0,10.0,1.0,1.0,39,0.0,7.0,4.0,3.0,15.0,23.0,12.0,0.0
450,14,1.0,3.0,8.0,2.0,16.0,11.0,6.0,3.0,16.0,0.0,1.0,21,0.0,3.0,11.0,3.0,15.0,9.0,21.0,10.0
452,37,4.0,5.0,16.0,1.0,1.0,6.0,7.0,5.0,16.0,4.0,0.0,38,2.0,15.0,9.0,2.0,16.0,10.0,14.0,0.0
458,22,1.0,5.0,4.0,0.0,9.0,15.0,12.0,17.0,26.0,0.0,0.0,16,0.0,12.0,19.0,5.0,40.0,19.0,32.0,11.0
459,479,7.0,42.0,142.0,46.0,70.0,12.0,67.0,169.0,88.0,32.0,7.0,230,33.0,93.0,117.0,6.0,489.0,578.0,124.0,26.0
460,1418,149.0,201.0,356.0,198.0,217.0,61.0,223.0,151.0,337.0,123.0,141.0,675,37.0,732.0,274.0,8.0,594.0,362.0,576.0,41.0
466,17,2.0,2.0,6.0,2.0,2.0,5.0,6.0,5.0,2.0,0.0,0.0,4,1.0,13.0,11.0,0.0,13.0,16.0,7.0,1.0
468,3408,80.0,288.0,1684.0,721.0,147.0,140.0,355.0,123.0,447.0,441.0,0.0,1827,345.0,3796.0,153.0,24.0,672.0,291.0,496.0,150.0
470,1776,115.0,163.0,188.0,84.0,105.0,1214.0,198.0,181.0,165.0,115.0,0.0,249,44.0,508.0,160.0,11.0,804.0,659.0,174.0,75.0
473,77,0.0,3.0,28.0,8.0,20.0,48.0,18.0,48.0,108.0,2.0,1.0,85,0.0,70.0,22.0,9.0,137.0,87.0,123.0,22.0
475,5258,47.0,3565.0,1290.0,253.0,1724.0,90.0,3285.0,2787.0,4475.0,688.0,71.0,18327,197.0,1098.0,1015.0,81.0,11371.0,3375.0,8149.0,692.0
476,4805,41.0,2769.0,584.0,74.0,1966.0,8889.0,3534.0,3247.0,2182.0,596.0,35.0,12702,92.0,419.0,1685.0,692.0,18504.0,7903.0,3954.0,2109.0
48,61,3.0,10.0,16.0,5.0,13.0,2.0,41.0,37.0,31.0,11.0,4.0,39,5.0,39.0,23.0,1.0,29.0,70.0,40.0,11.0
485,2268,11.0,57.0,47.0,200.0,196.0,15.0,109.0,48.0,141.0,16.0,4.0,72,14.0,589.0,183.0,0.0,95.0,122.0,264.0,36.0
486,52,8.0,14.0,14.0,9.0,14.0,14.0,5.0,15.0,22.0,15.0,4.0,92,7.0,73.0,21.0,7.0,17.0,17.0,62.0,13.0
491,816,0.0,93.0,621.0,169.0,64.0,7.0,67.0,98.0,210.0,61.0,0.0,303,87.0,1336.0,111.0,4.0,236.0,220.0,227.0,98.0
493,61,0.0,6.0,18.0,4.0,10.0,7.0,5.0,27.0,18.0,10.0,1.0,24,3.0,30.0,17.0,1.0,20.0,16.0,14.0,7.0
495,1275,0.0,313.0,410.0,54.0,454.0,8.0,497.0,542.0,379.0,177.0,0.0,5738,116.0,261.0,318.0,5.0,1561.0,979.0,328.0,72.0
50,142,1.0,34.0,48.0,10.0,6.0,12.0,2.0,13.0,13.0,16.0,41.0,92,4.0,80.0,19.0,4.0,31.0,33.0,10.0,24.0
503,177,5.0,43.0,42.0,10.0,7.0,25.0,23.0,60.0,36.0,14.0,0.0,499,4.0,49.0,8.0,5.0,80.0,86.0,19.0,16.0
507,218,5.0,54.0,29.0,9.0,115.0,1376.0,68.0,81.0,106.0,24.0,1.0,554,3.0,27.0,108.0,20.0,500.0,119.0,110.0,56.0
508,2664,16.0,456.0,1131.0,199.0,375.0,13.0,267.0,503.0,936.0,136.0,1.0,3449,61.0,1528.0,338.0,2.0,1146.0,416.0,1155.0,154.0
52,56,0.0,67.0,24.0,7.0,33.0,17.0,18.0,19.0,73.0,12.0,1.0,344,4.0,43.0,17.0,3.0,245.0,29.0,149.0,14.0
520,48,0.0,2.0,22.0,3.0,2.0,3.0,4.0,12.0,8.0,0.0,0.0,20,1.0,25.0,7.0,2.0,3.0,10.0,11.0,1.0
521,157,1.0,16.0,56.0,16.0,25.0,3.0,62.0,34.0,61.0,6.0,0.0,306,15.0,105.0,54.0,6.0,95.0,53.0,64.0,73.0
522,233,1.0,91.0,85.0,13.0,86.0,26.0,88.0,159.0,239.0,25.0,1.0,755,16.0,97.0,141.0,6.0,305.0,203.0,366.0,25.0
523,42245,137.0,3882.0,10979.0,7796.0,2558.0,51.0,5146.0,2541.0,8091.0,3403.0,13.0,36507,3855.0,32206.0,1781.0,149.0,7334.0,6302.0,8763.0,466.0
524,942,8.0,24.0,126.0,29.0,9.0,44.0,12.0,28.0,197.0,24.0,4.0,1228,7.0,605.0,38.0,14.0,188.0,55.0,275.0,14.0
525,5359,3.0,555.0,1589.0,873.0,515.0,83.0,309.0,163.0,556.0,790.0,2.0,4405,343.0,2414.0,573.0,57.0,968.0,649.0,628.0,67.0
531,40,8.0,7.0,9.0,3.0,14.0,2.0,10.0,6.0,16.0,1.0,1.0,11,0.0,14.0,17.0,2.0,32.0,18.0,26.0,16.0
532,289,4.0,12.0,36.0,11.0,18.0,224.0,14.0,40.0,31.0,1.0,3.0,65,1.0,105.0,18.0,51.0,35.0,36.0,65.0,11.0
535,2578,70.0,130.0,424.0,150.0,757.0,2697.0,660.0,877.0,608.0,338.0,20.0,431,144.0,1020.0,1293.0,447.0,1678.0,2887.0,646.0,320.0
538,4691,19.0,197.0,1254.0,518.0,145.0,22.0,300.0,312.0,451.0,430.0,4.0,3558,356.0,1509.0,183.0,6.0,932.0,744.0,338.0,43.0
539,650,30.0,237.0,179.0,439.0,437.0,41.0,737.0,344.0,767.0,78.0,4.0,879,26.0,2170.0,335.0,359.0,2321.0,912.0,728.0,129.0
540,7183,88.0,258.0,955.0,416.0,318.0,58.0,225.0,456.0,947.0,362.0,44.0,4921,252.0,3722.0,370.0,163.0,1919.0,425.0,1184.0,143.0
541,456,226.0,30.0,64.0,9.0,40.0,12.0,34.0,47.0,24.0,30.0,276.0,239,5.0,78.0,38.0,7.0,49.0,78.0,46.0,24.0
543,22,1.0,5.0,2.0,2.0,3.0,31.0,4.0,5.0,7.0,3.0,0.0,20,1.0,6.0,4.0,10.0,6.0,2.0,7.0,14.0
545,392,843.0,58.0,59.0,34.0,56.0,22.0,18.0,26.0,67.0,62.0,300.0,34,16.0,70.0,23.0,14.0,71.0,24.0,52.0,33.0
546,1425,6.0,185.0,145.0,13.0,316.0,20.0,181.0,275.0,450.0,65.0,0.0,1981,22.0,129.0,375.0,5.0,596.0,352.0,453.0,57.0
557,386,0.0,85.0,75.0,24.0,38.0,9.0,46.0,41.0,83.0,6.0,0.0,116,6.0,101.0,48.0,2.0,159.0,108.0,65.0,19.0
559,65,1.0,11.0,21.0,5.0,8.0,3.0,10.0,16.0,14.0,3.0,2.0,55,3.0,75.0,13.0,1.0,25.0,9.0,26.0,11.0
564,103,21.0,14.0,46.0,24.0,23.0,12.0,13.0,14.0,24.0,3.0,19.0,89,12.0,75.0,8.0,4.0,40.0,55.0,37.0,13.0
