strain_id,A_MTX_5-FC.PMC1_CTR2,A_MTX_Fluconazole.PMC1_CTR2,A_MTX_Metformin.PMC1_CTR2,A_MTX_Trifluoperazine.PMC1_CTR2,A_MTX_noDrug.PMC1_CTR2,A_noMTX_5-FC.PMC1_CTR2,A_noMTX_Fluconazole.PMC1_CTR2,A_noMTX_Metformin.PMC1_CTR2,A_noMTX_Trifluoperazine.PMC1_CTR2,A_noMTX_noDrug.PMC1_CTR2,B_MTX_5-FC.PMC1_CTR2,B_MTX_Fluconazole.PMC1_CTR2,B_MTX_Metformin.PMC1_CTR2,B_MTX_Trifluoperazine.PMC1_CTR2,B_MTX_noDrug.PMC1_CTR2,B_noMTX_5-FC.PMC1_CTR2,B_noMTX_Fluconazole.PMC1_CTR2,B_noMTX_Metformin.PMC1_CTR2,B_noMTX_Trifluoperazine.PMC1_CTR2,B_noMTX_noDrug.PMC1_CTR2,T0_noMTX_noDrug.PMC1_CTR2
1040,22.0,49.0,8.0,15.0,14.0,75.0,135.0,94.0,123.0,107.0,13.0,47.0,21.0,7.0,11.0,277.0,46.0,114.0,118.0,162.0,59.0
1046,2.0,3.0,3.0,0.0,1.0,51.0,9.0,68.0,20.0,11.0,1.0,3.0,2.0,0.0,2.0,91.0,95.0,19.0,42.0,54.0,17.0
1050,11.0,3.0,25.0,25.0,18.0,8.0,7.0,12.0,41.0,11.0,10.0,1.0,33.0,12.0,13.0,20.0,30.0,12.0,11.0,22.0,3.0
1065,9.0,10.0,54.0,27.0,30.0,16.0,7.0,10.0,3.0,33.0,14.0,10.0,16.0,18.0,12.0,77.0,158.0,9.0,13.0,19.0,8.0
1069,688.0,1299.0,154.0,957.0,1229.0,110.0,102.0,142.0,48.0,105.0,903.0,1746.0,263.0,465.0,322.0,181.0,171.0,154.0,156.0,171.0,45.0
107,0.0,3.0,1.0,2.0,1.0,38.0,8.0,17.0,14.0,28.0,2.0,0.0,1.0,0.0,2.0,197.0,14.0,54.0,22.0,35.0,9.0
113,5.0,9.0,4.0,5.0,1.0,4.0,2.0,5.0,3.0,3.0,8.0,7.0,5.0,2.0,3.0,2.0,1.0,8.0,1.0,5.0,5.0
119,3.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,8.0,4.0,0.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0
124,205.0,3.0,152.0,468.0,783.0,24.0,0.0,35.0,20.0,25.0,224.0,9.0,155.0,219.0,637.0,124.0,405.0,39.0,19.0,42.0,15.0
128,1.0,1.0,2.0,0.0,0.0,171.0,111.0,141.0,122.0,105.0,1.0,1.0,0.0,1.0,1.0,814.0,400.0,138.0,108.0,118.0,56.0
132,2.0,1.0,9.0,1.0,0.0,216.0,206.0,200.0,99.0,184.0,0.0,4.0,36.0,0.0,1.0,569.0,99.0,232.0,216.0,254.0,54.0
133,1.0,0.0,0.0,0.0,0.0,16.0,13.0,58.0,46.0,30.0,1.0,1.0,5.0,1.0,0.0,149.0,10.0,95.0,33.0,23.0,7.0
136,2.0,0.0,0.0,0.0,0.0,34.0,1.0,26.0,48.0,13.0,0.0,0.0,1.0,2.0,0.0,49.0,517.0,78.0,43.0,40.0,10.0
14,42.0,23.0,35.0,78.0,121.0,63.0,2.0,62.0,27.0,23.0,134.0,10.0,63.0,83.0,130.0,25.0,8.0,117.0,30.0,53.0,10.0
146,466.0,760.0,776.0,229.0,175.0,751.0,540.0,632.0,379.0,414.0,421.0,60.0,720.0,130.0,185.0,1609.0,1570.0,809.0,447.0,656.0,164.0
15,53.0,4.0,58.0,100.0,46.0,58.0,33.0,45.0,19.0,24.0,66.0,1.0,53.0,68.0,50.0,105.0,292.0,18.0,50.0,37.0,9.0
151,1.0,1.0,2.0,3.0,0.0,9.0,8.0,3.0,10.0,10.0,1.0,1.0,5.0,0.0,2.0,24.0,4.0,12.0,9.0,16.0,6.0
153,2.0,0.0,1.0,0.0,1.0,77.0,205.0,73.0,25.0,64.0,1.0,4.0,5.0,1.0,0.0,215.0,251.0,94.0,31.0,123.0,88.0
17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,1.0,6.0,3.0,2.0,1.0,0.0,1.0,2.0
171,19.0,4.0,3.0,13.0,9.0,5.0,3.0,4.0,3.0,4.0,23.0,3.0,11.0,10.0,11.0,7.0,7.0,6.0,3.0,14.0,1.0
175,0.0,0.0,1.0,0.0,1.0,53.0,0.0,42.0,18.0,29.0,0.0,1.0,2.0,0.0,0.0,385.0,11.0,42.0,38.0,59.0,17.0
180,8.0,0.0,2.0,14.0,13.0,32.0,42.0,26.0,7.0,31.0,0.0,0.0,0.0,0.0,1.0,58.0,4.0,30.0,19.0,36.0,52.0
180_2,2.0,0.0,3.0,10.0,1.0,47.0,4.0,57.0,41.0,47.0,2.0,4.0,5.0,0.0,1.0,52.0,24.0,73.0,28.0,84.0,61.0
185,8.0,6.0,5.0,27.0,13.0,7.0,7.0,4.0,8.0,6.0,14.0,7.0,6.0,6.0,8.0,14.0,3.0,4.0,4.0,4.0,0.0
187,0.0,0.0,1.0,4.0,1.0,91.0,4.0,43.0,11.0,45.0,0.0,1.0,1.0,2.0,0.0,164.0,156.0,33.0,51.0,44.0,13.0
188,4.0,5.0,1.0,4.0,2.0,80.0,9.0,80.0,114.0,165.0,1.0,3.0,11.0,0.0,1.0,673.0,5.0,152.0,106.0,98.0,22.0
192,2.0,13.0,1.0,3.0,7.0,4.0,4.0,8.0,5.0,4.0,2.0,8.0,6.0,4.0,1.0,5.0,4.0,12.0,5.0,14.0,1.0
20,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
209,0.0,0.0,0.0,1.0,2.0,15.0,25.0,9.0,5.0,7.0,0.0,2.0,2.0,1.0,0.0,10.0,20.0,16.0,7.0,3.0,4.0
210,5.0,2.0,4.0,0.0,4.0,2.0,3.0,5.0,5.0,1.0,4.0,0.0,3.0,2.0,7.0,15.0,5.0,10.0,2.0,9.0,1.0
226,149.0,5.0,211.0,570.0,207.0,112.0,7.0,98.0,61.0,73.0,287.0,4.0,193.0,227.0,125.0,271.0,30.0,88.0,122.0,133.0,64.0
235,0.0,0.0,1.0,0.0,0.0,12.0,1.0,13.0,9.0,28.0,1.0,0.0,3.0,0.0,1.0,104.0,7.0,39.0,14.0,36.0,19.0
240,0.0,0.0,0.0,0.0,0.0,9.0,1.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,7.0,1.0
248,4.0,0.0,1.0,4.0,4.0,2.0,5.0,2.0,8.0,1.0,7.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,2.0,6.0,1.0
250,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0
252,3.0,2.0,0.0,2.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,3.0,0.0,4.0,0.0
253,10.0,3.0,96.0,42.0,4.0,64.0,157.0,101.0,76.0,42.0,26.0,3.0,42.0,10.0,22.0,274.0,58.0,119.0,53.0,175.0,31.0
254,1.0,2.0,3.0,0.0,2.0,155.0,67.0,161.0,251.0,127.0,1.0,2.0,4.0,0.0,1.0,302.0,324.0,330.0,172.0,321.0,49.0
257,1.0,4.0,0.0,0.0,2.0,9.0,6.0,15.0,4.0,8.0,0.0,9.0,5.0,0.0,3.0,2.0,4.0,12.0,5.0,7.0,5.0
258,5.0,16.0,1.0,8.0,3.0,19.0,11.0,16.0,12.0,8.0,3.0,4.0,7.0,0.0,1.0,21.0,7.0,18.0,14.0,18.0,2.0
27,20.0,0.0,77.0,3.0,2.0,19.0,2.0,17.0,3.0,13.0,17.0,1.0,52.0,19.0,13.0,14.0,5.0,27.0,6.0,27.0,4.0
270,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0
271,1.0,0.0,5.0,0.0,0.0,152.0,291.0,115.0,47.0,74.0,0.0,3.0,9.0,0.0,2.0,323.0,424.0,186.0,55.0,148.0,57.0
272,3.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,12.0,0.0,0.0,1.0,0.0,0.0,36.0,2.0,14.0,11.0,6.0,3.0
277,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
286,40.0,34.0,249.0,87.0,93.0,51.0,31.0,72.0,31.0,18.0,201.0,13.0,144.0,64.0,64.0,166.0,30.0,78.0,54.0,112.0,10.0
289,0.0,7.0,0.0,1.0,0.0,178.0,2574.0,195.0,161.0,151.0,1.0,1.0,2.0,1.0,2.0,452.0,388.0,294.0,196.0,258.0,65.0
29,1.0,5.0,1.0,1.0,0.0,7.0,2.0,8.0,4.0,3.0,1.0,2.0,1.0,1.0,0.0,6.0,6.0,16.0,3.0,6.0,2.0
291,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,35.0,6.0,1.0,1.0,0.0
294,6.0,0.0,4.0,0.0,0.0,89.0,272.0,71.0,54.0,77.0,0.0,8.0,4.0,0.0,1.0,372.0,1099.0,148.0,84.0,140.0,38.0
296,0.0,0.0,2.0,0.0,0.0,185.0,299.0,238.0,230.0,180.0,0.0,2.0,8.0,0.0,0.0,792.0,569.0,406.0,145.0,290.0,53.0
299,2.0,0.0,1.0,1.0,1.0,76.0,102.0,97.0,76.0,38.0,3.0,0.0,7.0,3.0,0.0,457.0,11.0,105.0,70.0,75.0,3.0
307,4.0,0.0,0.0,0.0,3.0,3.0,3.0,19.0,14.0,5.0,3.0,7.0,1.0,2.0,2.0,23.0,7.0,18.0,21.0,21.0,17.0
308,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,7.0,4.0,2.0,0.0,1.0,5.0,2.0,2.0,0.0,2.0,0.0
31,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0
311,2.0,1.0,0.0,0.0,0.0,4.0,5.0,5.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,6.0,33.0,6.0,2.0,4.0,3.0
312,4.0,10.0,9.0,1.0,0.0,5.0,17.0,5.0,7.0,5.0,3.0,9.0,33.0,2.0,3.0,53.0,2.0,6.0,5.0,46.0,0.0
32,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0
320,253.0,2.0,213.0,62.0,154.0,35.0,201.0,98.0,27.0,39.0,311.0,7.0,167.0,70.0,217.0,269.0,22.0,190.0,92.0,106.0,13.0
323,9.0,2.0,0.0,0.0,2.0,6.0,6.0,6.0,3.0,2.0,5.0,2.0,2.0,1.0,0.0,5.0,32.0,4.0,5.0,13.0,1.0
325,8.0,0.0,2.0,1.0,1.0,183.0,169.0,159.0,73.0,139.0,5.0,0.0,4.0,1.0,1.0,470.0,103.0,178.0,94.0,216.0,51.0
33,2.0,0.0,0.0,0.0,0.0,7.0,1.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,12.0,3.0,16.0,7.0
335,32.0,1.0,27.0,16.0,46.0,30.0,7.0,27.0,22.0,15.0,38.0,0.0,28.0,24.0,30.0,40.0,3.0,65.0,22.0,21.0,12.0
336,131.0,1.0,77.0,144.0,31.0,74.0,35.0,75.0,68.0,41.0,154.0,0.0,47.0,43.0,52.0,415.0,234.0,89.0,70.0,88.0,45.0
337,3.0,3.0,4.0,0.0,1.0,285.0,364.0,409.0,132.0,287.0,0.0,2.0,12.0,4.0,3.0,1001.0,167.0,380.0,138.0,383.0,61.0
339,112.0,20.0,121.0,58.0,135.0,35.0,209.0,56.0,21.0,55.0,37.0,8.0,131.0,49.0,109.0,204.0,4.0,65.0,21.0,63.0,10.0
347,9.0,2.0,3.0,3.0,6.0,29.0,0.0,74.0,23.0,19.0,0.0,3.0,3.0,0.0,4.0,139.0,23.0,52.0,23.0,30.0,18.0
348,8.0,1.0,0.0,4.0,3.0,3.0,0.0,3.0,2.0,0.0,4.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,2.0,6.0,4.0
350,16.0,10.0,8.0,7.0,16.0,15.0,8.0,20.0,7.0,15.0,36.0,5.0,19.0,3.0,11.0,11.0,11.0,23.0,12.0,21.0,0.0
354,6.0,5.0,1.0,3.0,3.0,36.0,9.0,42.0,21.0,28.0,1.0,1.0,7.0,5.0,1.0,112.0,7.0,42.0,24.0,45.0,19.0
358,11.0,0.0,16.0,1.0,10.0,5.0,9.0,12.0,7.0,4.0,13.0,0.0,16.0,37.0,5.0,6.0,79.0,8.0,4.0,6.0,2.0
359,5.0,0.0,53.0,33.0,308.0,15.0,27.0,8.0,4.0,10.0,4.0,0.0,3.0,15.0,73.0,32.0,10.0,2.0,13.0,21.0,6.0
36,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
364,4.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,4.0,4.0,0.0,0.0,6.0,7.0,1.0,0.0,5.0,0.0
375,212.0,2.0,567.0,284.0,196.0,347.0,747.0,248.0,209.0,152.0,320.0,12.0,464.0,61.0,86.0,1787.0,334.0,370.0,191.0,243.0,51.0
383,4.0,3.0,2.0,1.0,0.0,212.0,119.0,98.0,130.0,80.0,2.0,6.0,11.0,1.0,1.0,1034.0,118.0,148.0,73.0,181.0,25.0
385,1.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,13.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0
392,2.0,15.0,2.0,0.0,1.0,81.0,113.0,74.0,65.0,41.0,1.0,21.0,1.0,2.0,2.0,233.0,128.0,107.0,28.0,76.0,9.0
397,2.0,1.0,0.0,1.0,0.0,2.0,3.0,7.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,6.0,0.0
399,4.0,26.0,6.0,0.0,3.0,108.0,161.0,70.0,45.0,47.0,0.0,61.0,27.0,0.0,0.0,133.0,210.0,58.0,47.0,74.0,15.0
40,370.0,149.0,62.0,1465.0,1079.0,59.0,3.0,10.0,8.0,21.0,320.0,864.0,27.0,367.0,1023.0,173.0,3.0,15.0,25.0,40.0,16.0
400,104.0,0.0,80.0,95.0,51.0,44.0,102.0,67.0,60.0,53.0,85.0,1.0,127.0,62.0,83.0,134.0,28.0,55.0,45.0,94.0,14.0
406,2.0,0.0,5.0,1.0,0.0,184.0,105.0,318.0,189.0,160.0,0.0,2.0,13.0,0.0,0.0,547.0,369.0,466.0,180.0,316.0,41.0
408,0.0,0.0,0.0,0.0,0.0,13.0,5.0,6.0,11.0,19.0,0.0,0.0,1.0,0.0,0.0,29.0,7.0,23.0,7.0,10.0,5.0
409,2121.0,635.0,55.0,310.0,1384.0,47.0,112.0,28.0,77.0,16.0,1695.0,456.0,33.0,146.0,862.0,95.0,445.0,49.0,48.0,49.0,83.0
40_2,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
412,4.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,10.0,2.0,2.0,0.0,1.0,2.0,1.0,21.0,7.0,2.0,1.0,6.0,0.0
418,3.0,4.0,1.0,3.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
419,2.0,3.0,7.0,1.0,0.0,137.0,49.0,190.0,80.0,136.0,0.0,3.0,5.0,1.0,1.0,569.0,50.0,246.0,87.0,202.0,37.0
420,0.0,1.0,1.0,1.0,1.0,11.0,3.0,6.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,41.0,8.0,10.0,12.0,21.0,11.0
421,134.0,10.0,73.0,72.0,123.0,15.0,20.0,22.0,26.0,18.0,136.0,1.0,123.0,81.0,116.0,34.0,13.0,17.0,25.0,41.0,4.0
426,4.0,3.0,3.0,2.0,3.0,2.0,8.0,8.0,9.0,4.0,8.0,2.0,14.0,4.0,2.0,7.0,8.0,10.0,7.0,12.0,0.0
43,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,3.0
431,2.0,0.0,6.0,1.0,0.0,201.0,58.0,295.0,85.0,267.0,0.0,0.0,8.0,0.0,0.0,565.0,259.0,202.0,190.0,436.0,140.0
433,8.0,2.0,10.0,4.0,7.0,10.0,11.0,13.0,7.0,6.0,7.0,4.0,16.0,4.0,5.0,10.0,17.0,12.0,8.0,16.0,3.0
434,66.0,503.0,403.0,159.0,69.0,151.0,105.0,123.0,59.0,115.0,164.0,7.0,314.0,158.0,140.0,388.0,15.0,96.0,93.0,160.0,45.0
437,87.0,24.0,12.0,35.0,173.0,11.0,1.0,11.0,7.0,1.0,99.0,13.0,24.0,77.0,70.0,18.0,7.0,8.0,6.0,9.0,3.0
438,3.0,0.0,0.0,2.0,0.0,5.0,10.0,2.0,5.0,5.0,1.0,2.0,1.0,0.0,2.0,8.0,6.0,3.0,3.0,2.0,13.0
439,6.0,2.0,0.0,0.0,0.0,29.0,112.0,25.0,24.0,14.0,11.0,10.0,3.0,2.0,0.0,10.0,330.0,41.0,33.0,38.0,59.0
43_ref1,2.0,4.0,2.0,2.0,1.0,1.0,12.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,37.0,2.0,3.0,3.0,80.0
43_ref2,5.0,2.0,6.0,4.0,1.0,8.0,1.0,9.0,28.0,8.0,7.0,0.0,4.0,1.0,14.0,9.0,12.0,7.0,11.0,25.0,146.0
442,16.0,18.0,9.0,10.0,8.0,6.0,3.0,11.0,11.0,6.0,14.0,10.0,26.0,10.0,15.0,12.0,9.0,13.0,8.0,17.0,9.0
444,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,6.0,7.0,2.0,1.0,2.0,0.0
446,1.0,1.0,5.0,0.0,1.0,21.0,86.0,17.0,19.0,28.0,0.0,6.0,4.0,1.0,0.0,39.0,97.0,38.0,19.0,36.0,41.0
45,2.0,2.0,0.0,0.0,1.0,2.0,8.0,13.0,14.0,3.0,1.0,0.0,9.0,0.0,3.0,14.0,39.0,8.0,3.0,7.0,3.0
450,0.0,1.0,0.0,0.0,3.0,66.0,27.0,51.0,23.0,27.0,0.0,0.0,7.0,1.0,1.0,96.0,18.0,68.0,24.0,62.0,23.0
452,5.0,1.0,4.0,0.0,2.0,1.0,0.0,5.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,12.0,2.0,3.0,7.0,5.0
458,4.0,0.0,0.0,0.0,2.0,313.0,157.0,469.0,327.0,363.0,12.0,1.0,5.0,1.0,0.0,926.0,225.0,581.0,222.0,561.0,204.0
459,6.0,0.0,5.0,1.0,4.0,9.0,10.0,17.0,41.0,16.0,1.0,0.0,14.0,2.0,0.0,11.0,20.0,11.0,9.0,19.0,2.0
460,49.0,184.0,22.0,29.0,25.0,40.0,11.0,40.0,35.0,19.0,38.0,126.0,70.0,19.0,19.0,100.0,12.0,56.0,43.0,88.0,5.0
466,4.0,3.0,6.0,3.0,6.0,12.0,1.0,14.0,18.0,4.0,6.0,4.0,10.0,4.0,8.0,23.0,6.0,7.0,7.0,9.0,1.0
468,355.0,14.0,418.0,994.0,481.0,299.0,66.0,336.0,259.0,185.0,504.0,1.0,325.0,471.0,176.0,1985.0,98.0,464.0,218.0,351.0,69.0
470,576.0,16237.0,93.0,226.0,1126.0,30.0,17.0,21.0,35.0,23.0,695.0,18348.0,63.0,136.0,552.0,22.0,36.0,49.0,23.0,48.0,48.0
473,4.0,2.0,4.0,1.0,1.0,79.0,82.0,144.0,86.0,98.0,5.0,4.0,5.0,5.0,6.0,255.0,309.0,172.0,82.0,140.0,33.0
475,9.0,13.0,57.0,4.0,3.0,906.0,755.0,1770.0,520.0,682.0,6.0,16.0,96.0,3.0,6.0,2528.0,2044.0,1729.0,791.0,1678.0,619.0
476,2.0,17.0,7.0,0.0,1.0,458.0,209.0,718.0,344.0,574.0,2.0,2.0,25.0,1.0,0.0,751.0,258.0,1327.0,500.0,1073.0,1376.0
48,2.0,5.0,0.0,2.0,1.0,51.0,19.0,102.0,150.0,44.0,4.0,2.0,2.0,0.0,36.0,52.0,47.0,105.0,71.0,77.0,21.0
485,15.0,6.0,28.0,48.0,6.0,13.0,0.0,33.0,9.0,9.0,45.0,5.0,28.0,7.0,9.0,100.0,1.0,44.0,5.0,8.0,4.0
486,138.0,6.0,815.0,120.0,128.0,272.0,39.0,379.0,129.0,304.0,164.0,8.0,424.0,94.0,174.0,1389.0,144.0,304.0,352.0,546.0,67.0
491,165.0,9.0,352.0,115.0,40.0,66.0,17.0,94.0,73.0,58.0,95.0,1.0,215.0,103.0,89.0,106.0,54.0,62.0,46.0,68.0,25.0
493,17.0,6.0,8.0,3.0,9.0,27.0,14.0,54.0,7.0,15.0,19.0,5.0,27.0,12.0,2.0,95.0,84.0,86.0,23.0,41.0,24.0
495,3.0,1.0,12.0,3.0,1.0,1200.0,285.0,717.0,677.0,681.0,2.0,1.0,12.0,2.0,0.0,2578.0,519.0,1076.0,591.0,711.0,151.0
50,7.0,10.0,2.0,3.0,7.0,4.0,1.0,3.0,1.0,3.0,6.0,13.0,25.0,0.0,6.0,3.0,14.0,8.0,3.0,2.0,1.0
503,1.0,2.0,1.0,0.0,0.0,10.0,12.0,15.0,20.0,20.0,1.0,0.0,5.0,0.0,0.0,35.0,6.0,20.0,17.0,8.0,4.0
507,0.0,1.0,1.0,0.0,0.0,27.0,12.0,11.0,15.0,17.0,0.0,1.0,1.0,0.0,1.0,31.0,10.0,18.0,19.0,35.0,24.0
508,2.0,66.0,12.0,4.0,1.0,190.0,56.0,122.0,109.0,120.0,3.0,4.0,6.0,1.0,0.0,470.0,313.0,201.0,255.0,158.0,167.0
52,1.0,2.0,3.0,3.0,0.0,144.0,697.0,148.0,76.0,109.0,2.0,1.0,1.0,0.0,1.0,521.0,201.0,237.0,123.0,218.0,43.0
520,3.0,5.0,5.0,5.0,3.0,5.0,4.0,16.0,37.0,3.0,4.0,0.0,7.0,0.0,0.0,27.0,13.0,9.0,4.0,7.0,1.0
521,7.0,5.0,16.0,1.0,0.0,32.0,6.0,223.0,129.0,104.0,4.0,2.0,9.0,1.0,0.0,181.0,131.0,30.0,83.0,266.0,47.0
522,9.0,12.0,1.0,1.0,6.0,22.0,38.0,55.0,28.0,17.0,6.0,6.0,8.0,2.0,4.0,46.0,28.0,42.0,29.0,38.0,2.0
523,776.0,80.0,660.0,631.0,835.0,256.0,343.0,349.0,263.0,123.0,638.0,212.0,650.0,444.0,707.0,471.0,472.0,573.0,138.0,291.0,55.0
524,93.0,1285.0,17.0,96.0,147.0,35.0,13.0,22.0,11.0,23.0,78.0,24.0,25.0,11.0,22.0,76.0,26.0,39.0,17.0,34.0,5.0
525,367.0,5.0,306.0,60.0,69.0,177.0,21.0,113.0,77.0,72.0,289.0,5.0,203.0,46.0,106.0,416.0,57.0,133.0,103.0,118.0,16.0
531,3.0,6.0,0.0,9.0,5.0,4.0,5.0,8.0,1.0,3.0,6.0,10.0,0.0,0.0,4.0,31.0,6.0,3.0,8.0,5.0,4.0
532,12.0,10.0,2.0,4.0,7.0,2.0,0.0,4.0,1.0,2.0,4.0,27.0,8.0,4.0,5.0,3.0,7.0,4.0,4.0,5.0,0.0
535,118.0,181.0,26.0,44.0,111.0,54.0,36.0,44.0,35.0,18.0,169.0,142.0,79.0,23.0,51.0,80.0,38.0,50.0,28.0,42.0,5.0
538,131.0,125.0,59.0,43.0,116.0,75.0,38.0,81.0,44.0,55.0,104.0,21.0,181.0,52.0,226.0,128.0,48.0,92.0,56.0,135.0,26.0
539,255.0,389.0,609.0,300.0,438.0,73.0,29.0,122.0,81.0,154.0,244.0,171.0,674.0,220.0,280.0,269.0,40.0,206.0,91.0,156.0,63.0
540,4136.0,1623.0,968.0,4416.0,2264.0,1401.0,1807.0,901.0,465.0,925.0,4589.0,828.0,837.0,2131.0,2556.0,5699.0,2070.0,1283.0,956.0,1350.0,301.0
541,9.0,33.0,6.0,9.0,28.0,60.0,64.0,52.0,26.0,46.0,57.0,1.0,11.0,5.0,11.0,304.0,65.0,20.0,56.0,86.0,22.0
