strain_id,A_MTX_5-FC.ALO1_UIP4,A_MTX_Fluconazole.ALO1_UIP4,A_MTX_Metformin.ALO1_UIP4,A_MTX_Trifluoperazine.ALO1_UIP4,A_MTX_noDrug.ALO1_UIP4,A_noMTX_5-FC.ALO1_UIP4,A_noMTX_Fluconazole.ALO1_UIP4,A_noMTX_Metformin.ALO1_UIP4,A_noMTX_Trifluoperazine.ALO1_UIP4,A_noMTX_noDrug.ALO1_UIP4,B_MTX_5-FC.ALO1_UIP4,B_MTX_Fluconazole.ALO1_UIP4,B_MTX_Metformin.ALO1_UIP4,B_MTX_Trifluoperazine.ALO1_UIP4,B_MTX_noDrug.ALO1_UIP4,B_noMTX_5-FC.ALO1_UIP4,B_noMTX_Fluconazole.ALO1_UIP4,B_noMTX_Metformin.ALO1_UIP4,B_noMTX_Trifluoperazine.ALO1_UIP4,B_noMTX_noDrug.ALO1_UIP4,T0_noMTX_noDrug.ALO1_UIP4
128,1.0,0.0,1.0,1.0,0.0,283.0,42.0,143.0,382.0,100.0,0.0,0.0,1.0,1.0,0.0,259.0,8.0,230.0,98.0,117.0,62.0
132,2.0,1.0,11.0,4.0,3.0,583.0,80.0,454.0,934.0,249.0,3.0,20.0,6.0,2.0,3.0,358.0,183.0,642.0,450.0,258.0,125.0
133,0.0,1.0,1.0,2.0,0.0,41.0,207.0,108.0,84.0,26.0,0.0,0.0,2.0,0.0,1.0,78.0,103.0,69.0,46.0,99.0,22.0
136,0.0,1.0,3.0,2.0,1.0,60.0,2.0,33.0,74.0,68.0,0.0,0.0,4.0,0.0,0.0,23.0,3.0,25.0,66.0,72.0,21.0
14,52.0,18.0,138.0,274.0,66.0,53.0,10.0,28.0,139.0,57.0,79.0,6.0,62.0,179.0,62.0,41.0,6.0,74.0,170.0,91.0,45.0
146,428.0,85.0,1488.0,726.0,200.0,1325.0,461.0,1725.0,2074.0,641.0,532.0,5.0,1546.0,248.0,151.0,967.0,82.0,1151.0,1211.0,1096.0,219.0
15,74.0,22.0,311.0,258.0,47.0,96.0,86.0,64.0,114.0,120.0,140.0,0.0,162.0,49.0,59.0,104.0,21.0,55.0,63.0,121.0,70.0
151,2.0,1.0,6.0,4.0,3.0,24.0,1.0,27.0,54.0,33.0,6.0,0.0,3.0,4.0,1.0,58.0,5.0,15.0,4.0,37.0,20.0
153,3.0,2.0,3.0,1.0,1.0,181.0,297.0,89.0,69.0,187.0,1.0,0.0,2.0,0.0,0.0,146.0,642.0,210.0,28.0,132.0,109.0
17,0.0,6.0,1.0,5.0,5.0,2.0,2.0,2.0,17.0,1.0,6.0,1.0,1.0,6.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0
171,30.0,2.0,19.0,99.0,10.0,3.0,4.0,5.0,41.0,5.0,16.0,0.0,17.0,20.0,10.0,5.0,3.0,5.0,7.0,4.0,19.0
175,0.0,0.0,2.0,1.0,0.0,184.0,42.0,100.0,204.0,130.0,1.0,0.0,1.0,0.0,0.0,196.0,21.0,143.0,72.0,170.0,69.0
180,2.0,1.0,3.0,2.0,1.0,58.0,54.0,13.0,40.0,72.0,2.0,5.0,1.0,5.0,0.0,72.0,26.0,43.0,6.0,29.0,67.0
180_2,3.0,1.0,8.0,2.0,0.0,130.0,39.0,59.0,101.0,261.0,11.0,9.0,7.0,4.0,0.0,97.0,39.0,35.0,32.0,137.0,93.0
185,37.0,6.0,21.0,163.0,13.0,9.0,6.0,6.0,54.0,6.0,21.0,0.0,12.0,32.0,5.0,8.0,5.0,10.0,11.0,1.0,1.0
187,1.0,0.0,1.0,6.0,1.0,168.0,30.0,106.0,356.0,80.0,3.0,1.0,1.0,1.0,1.0,151.0,214.0,274.0,39.0,45.0,54.0
188,1.0,11.0,11.0,2.0,1.0,47.0,3.0,73.0,114.0,64.0,2.0,6.0,4.0,4.0,1.0,73.0,3.0,53.0,49.0,60.0,18.0
192,8.0,13.0,2.0,10.0,10.0,9.0,3.0,4.0,65.0,11.0,13.0,5.0,5.0,4.0,4.0,8.0,6.0,5.0,7.0,10.0,1.0
20,2.0,1.0,2.0,1.0,2.0,54.0,12.0,26.0,102.0,10.0,0.0,1.0,2.0,3.0,0.0,36.0,6.0,61.0,17.0,10.0,8.0
209,1.0,0.0,3.0,5.0,1.0,58.0,67.0,54.0,83.0,136.0,3.0,1.0,4.0,2.0,2.0,64.0,20.0,44.0,50.0,106.0,52.0
210,1.0,0.0,9.0,6.0,0.0,8.0,2.0,9.0,21.0,7.0,2.0,2.0,6.0,2.0,1.0,10.0,2.0,3.0,8.0,10.0,13.0
226,585.0,0.0,117.0,255.0,57.0,57.0,2.0,43.0,288.0,26.0,260.0,5.0,68.0,66.0,63.0,67.0,8.0,27.0,35.0,23.0,92.0
235,0.0,2.0,0.0,0.0,0.0,41.0,16.0,23.0,19.0,19.0,1.0,2.0,4.0,0.0,0.0,39.0,45.0,23.0,28.0,49.0,28.0
240,0.0,0.0,0.0,5.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,6.0,0.0,2.0,1.0,2.0
248,3.0,0.0,0.0,6.0,3.0,13.0,0.0,15.0,14.0,25.0,2.0,0.0,1.0,0.0,0.0,9.0,4.0,11.0,25.0,30.0,15.0
250,1.0,2.0,0.0,3.0,1.0,12.0,2.0,3.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,15.0,0.0,1.0,2.0,19.0,2.0
252,140.0,1.0,43.0,105.0,58.0,17.0,0.0,22.0,33.0,39.0,170.0,2.0,24.0,15.0,67.0,23.0,3.0,6.0,18.0,27.0,19.0
253,46.0,0.0,157.0,190.0,4.0,143.0,49.0,107.0,117.0,142.0,48.0,18.0,168.0,42.0,26.0,113.0,41.0,153.0,102.0,126.0,23.0
254,0.0,4.0,14.0,2.0,3.0,35.0,7.0,47.0,36.0,51.0,1.0,2.0,1.0,2.0,0.0,25.0,15.0,7.0,27.0,49.0,17.0
257,2.0,0.0,0.0,4.0,2.0,4.0,8.0,6.0,13.0,18.0,3.0,2.0,1.0,1.0,2.0,12.0,0.0,6.0,5.0,3.0,7.0
258,37.0,39.0,30.0,19.0,4.0,59.0,8.0,24.0,40.0,54.0,83.0,52.0,25.0,7.0,7.0,66.0,3.0,29.0,14.0,53.0,27.0
27,14.0,1.0,5.0,6.0,165.0,12.0,24.0,13.0,20.0,48.0,6.0,0.0,2.0,3.0,13.0,18.0,31.0,11.0,8.0,22.0,16.0
270,0.0,0.0,0.0,0.0,1.0,9.0,6.0,10.0,9.0,32.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,10.0,2.0,88.0,11.0
271,0.0,0.0,11.0,2.0,1.0,527.0,354.0,298.0,388.0,326.0,1.0,0.0,5.0,0.0,0.0,363.0,150.0,297.0,198.0,417.0,195.0
272,1.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,10.0,3.0,4.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,4.0,3.0,2.0
277,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
286,180.0,37.0,135.0,198.0,64.0,75.0,1.0,42.0,44.0,115.0,120.0,6.0,43.0,53.0,22.0,50.0,1.0,47.0,27.0,122.0,41.0
289,1.0,2.0,0.0,3.0,0.0,319.0,148.0,433.0,688.0,96.0,2.0,0.0,3.0,0.0,0.0,200.0,341.0,191.0,268.0,113.0,58.0
29,1.0,0.0,9.0,2.0,0.0,116.0,68.0,86.0,219.0,320.0,1.0,0.0,7.0,3.0,2.0,158.0,25.0,65.0,74.0,339.0,132.0
291,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,2.0,3.0,2.0,2.0
294,1.0,3.0,20.0,5.0,2.0,240.0,95.0,125.0,214.0,309.0,0.0,0.0,11.0,0.0,1.0,169.0,61.0,147.0,113.0,225.0,70.0
296,1.0,0.0,18.0,1.0,0.0,344.0,530.0,303.0,260.0,266.0,1.0,0.0,6.0,0.0,0.0,350.0,336.0,304.0,184.0,265.0,86.0
299,0.0,1.0,7.0,4.0,0.0,230.0,23.0,525.0,429.0,78.0,4.0,1.0,0.0,1.0,0.0,190.0,4.0,164.0,201.0,184.0,19.0
307,5.0,17.0,2.0,7.0,1.0,11.0,10.0,17.0,40.0,25.0,5.0,1.0,1.0,1.0,0.0,7.0,5.0,10.0,12.0,125.0,21.0
308,2.0,3.0,2.0,6.0,0.0,2.0,2.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0
31,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,6.0,1.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0
311,2.0,0.0,0.0,2.0,3.0,1.0,7.0,1.0,12.0,0.0,5.0,0.0,1.0,3.0,0.0,4.0,2.0,0.0,2.0,5.0,0.0
312,54.0,19.0,60.0,118.0,54.0,46.0,7.0,16.0,16.0,38.0,59.0,3.0,21.0,85.0,98.0,41.0,10.0,18.0,15.0,47.0,14.0
32,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
320,256.0,2.0,663.0,249.0,292.0,168.0,134.0,102.0,166.0,119.0,339.0,0.0,512.0,44.0,29.0,120.0,50.0,112.0,86.0,217.0,30.0
323,35.0,2.0,4.0,11.0,8.0,19.0,29.0,9.0,16.0,25.0,14.0,0.0,3.0,2.0,2.0,18.0,4.0,10.0,8.0,32.0,16.0
325,3.0,10.0,14.0,3.0,0.0,360.0,296.0,170.0,173.0,153.0,5.0,1.0,3.0,5.0,0.0,229.0,2687.0,671.0,84.0,109.0,103.0
33,0.0,0.0,0.0,2.0,0.0,24.0,2.0,14.0,31.0,43.0,0.0,0.0,1.0,1.0,0.0,24.0,7.0,9.0,11.0,73.0,16.0
335,445.0,0.0,143.0,325.0,56.0,123.0,16.0,60.0,119.0,78.0,158.0,0.0,84.0,16.0,25.0,40.0,3.0,75.0,46.0,46.0,73.0
336,78.0,3.0,41.0,26.0,20.0,63.0,18.0,54.0,148.0,27.0,122.0,0.0,29.0,37.0,47.0,49.0,4.0,57.0,53.0,39.0,28.0
337,3.0,3.0,18.0,2.0,2.0,1416.0,896.0,838.0,886.0,651.0,4.0,2.0,11.0,4.0,2.0,1000.0,510.0,917.0,485.0,863.0,289.0
339,4.0,25.0,16.0,23.0,7.0,5.0,19.0,8.0,19.0,33.0,14.0,1.0,13.0,7.0,5.0,13.0,7.0,9.0,14.0,16.0,13.0
347,2.0,1.0,4.0,3.0,1.0,32.0,2.0,56.0,26.0,26.0,1.0,1.0,2.0,0.0,1.0,93.0,1.0,47.0,22.0,12.0,36.0
348,3.0,0.0,0.0,1.0,0.0,12.0,0.0,3.0,20.0,15.0,1.0,0.0,1.0,0.0,0.0,5.0,23.0,9.0,6.0,11.0,10.0
350,378.0,37.0,82.0,120.0,50.0,9.0,272.0,13.0,28.0,8.0,56.0,12.0,24.0,54.0,40.0,9.0,411.0,102.0,21.0,33.0,6.0
354,2.0,0.0,1.0,6.0,4.0,6.0,9.0,20.0,7.0,1.0,2.0,2.0,2.0,0.0,0.0,11.0,1.0,5.0,6.0,7.0,4.0
358,12.0,1.0,5.0,29.0,9.0,30.0,9.0,5.0,5.0,27.0,103.0,0.0,2.0,5.0,2.0,10.0,2.0,6.0,12.0,25.0,15.0
359,182.0,3.0,19.0,331.0,9.0,48.0,216.0,1.0,8.0,3.0,113.0,0.0,100.0,147.0,3.0,25.0,724.0,179.0,39.0,6.0,7.0
36,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
364,5.0,12.0,2.0,5.0,1.0,2.0,149.0,1.0,7.0,1.0,3.0,9.0,0.0,0.0,1.0,2.0,25.0,1.0,1.0,0.0,0.0
375,46.0,1.0,69.0,16.0,22.0,129.0,37.0,85.0,74.0,27.0,19.0,6.0,16.0,19.0,5.0,38.0,19.0,100.0,35.0,37.0,19.0
383,0.0,8.0,5.0,3.0,1.0,83.0,46.0,213.0,122.0,49.0,1.0,2.0,3.0,2.0,1.0,108.0,33.0,50.0,106.0,128.0,26.0
385,2.0,15.0,1.0,17.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,6.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0
392,0.0,10.0,0.0,9.0,5.0,21.0,469.0,25.0,30.0,10.0,8.0,2.0,1.0,0.0,3.0,13.0,4.0,25.0,19.0,15.0,5.0
397,1.0,1.0,11.0,5.0,2.0,4.0,7.0,3.0,28.0,11.0,5.0,2.0,10.0,1.0,0.0,8.0,1.0,10.0,22.0,5.0,34.0
399,3.0,91.0,36.0,7.0,5.0,18.0,23.0,10.0,33.0,11.0,5.0,32.0,6.0,23.0,0.0,22.0,22.0,11.0,21.0,17.0,2.0
40,70.0,1.0,10.0,86.0,18.0,42.0,2.0,5.0,15.0,47.0,11.0,2.0,6.0,82.0,0.0,17.0,19.0,14.0,10.0,12.0,34.0
400,616.0,2.0,462.0,770.0,146.0,68.0,16.0,104.0,191.0,138.0,260.0,1.0,121.0,201.0,129.0,63.0,7.0,66.0,161.0,143.0,34.0
406,0.0,14.0,10.0,0.0,1.0,258.0,153.0,308.0,306.0,132.0,5.0,0.0,11.0,1.0,1.0,171.0,77.0,279.0,169.0,232.0,41.0
408,0.0,0.0,2.0,1.0,0.0,17.0,4.0,17.0,30.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,9.0,9.0,12.0,7.0
409,464.0,155.0,32.0,130.0,212.0,51.0,10.0,24.0,53.0,85.0,1677.0,58.0,15.0,26.0,97.0,62.0,498.0,96.0,58.0,71.0,35.0
40_2,1.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
412,475.0,0.0,2.0,110.0,37.0,0.0,58.0,4.0,17.0,1.0,283.0,175.0,0.0,28.0,355.0,3.0,25.0,6.0,4.0,1.0,2.0
418,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,1.0,4.0,0.0
419,0.0,1.0,12.0,1.0,2.0,193.0,18.0,133.0,105.0,170.0,1.0,0.0,8.0,1.0,0.0,110.0,1.0,88.0,56.0,165.0,35.0
420,2.0,0.0,0.0,1.0,3.0,83.0,8.0,22.0,44.0,126.0,0.0,1.0,0.0,0.0,0.0,87.0,50.0,26.0,18.0,52.0,46.0
421,288.0,10.0,55.0,299.0,29.0,52.0,133.0,12.0,20.0,42.0,33.0,14.0,16.0,120.0,25.0,31.0,22.0,13.0,24.0,52.0,9.0
426,12.0,21.0,13.0,161.0,4.0,11.0,4.0,3.0,52.0,4.0,15.0,1.0,12.0,14.0,2.0,7.0,12.0,4.0,4.0,9.0,4.0
43,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,3.0
431,0.0,1.0,34.0,3.0,1.0,548.0,62.0,330.0,567.0,450.0,3.0,0.0,8.0,0.0,0.0,455.0,51.0,501.0,178.0,418.0,373.0
433,15.0,8.0,11.0,56.0,4.0,12.0,16.0,3.0,87.0,4.0,35.0,0.0,9.0,11.0,5.0,12.0,9.0,11.0,7.0,6.0,6.0
434,527.0,13.0,1652.0,533.0,125.0,479.0,20.0,259.0,286.0,269.0,369.0,116.0,1184.0,300.0,79.0,388.0,41.0,317.0,103.0,277.0,89.0
437,18.0,23.0,14.0,134.0,16.0,9.0,8.0,4.0,43.0,2.0,19.0,6.0,10.0,17.0,9.0,3.0,10.0,8.0,6.0,6.0,1.0
438,2.0,0.0,2.0,2.0,0.0,1.0,8.0,1.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,4.0,1.0,5.0,3.0
439,1.0,49.0,3.0,3.0,0.0,2.0,12.0,3.0,12.0,6.0,3.0,2.0,3.0,0.0,1.0,13.0,6.0,4.0,15.0,6.0,1.0
43_ref1,1.0,1.0,2.0,6.0,3.0,3.0,175.0,3.0,4.0,0.0,5.0,1.0,1.0,3.0,1.0,2.0,102.0,14.0,2.0,0.0,233.0
43_ref2,9.0,2.0,3.0,24.0,3.0,270.0,5.0,12.0,97.0,4.0,12.0,0.0,6.0,6.0,0.0,160.0,93.0,23.0,25.0,39.0,405.0
442,35.0,14.0,16.0,181.0,31.0,7.0,14.0,6.0,27.0,3.0,50.0,3.0,14.0,30.0,12.0,9.0,6.0,4.0,4.0,9.0,3.0
444,2.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0
446,4.0,4.0,4.0,0.0,1.0,22.0,6.0,8.0,17.0,39.0,3.0,37.0,1.0,4.0,0.0,32.0,64.0,27.0,16.0,16.0,25.0
45,3.0,0.0,6.0,1.0,3.0,3.0,1.0,4.0,26.0,4.0,5.0,0.0,1.0,7.0,0.0,5.0,1.0,7.0,14.0,10.0,1.0
450,3.0,0.0,1.0,3.0,0.0,34.0,2.0,46.0,17.0,13.0,2.0,0.0,1.0,1.0,1.0,48.0,4.0,16.0,23.0,24.0,10.0
452,1.0,1.0,3.0,8.0,2.0,2.0,4.0,2.0,16.0,4.0,4.0,0.0,3.0,1.0,0.0,3.0,4.0,2.0,5.0,3.0,3.0
458,1.0,1.0,3.0,1.0,0.0,98.0,13.0,106.0,161.0,82.0,2.0,1.0,3.0,0.0,1.0,118.0,42.0,83.0,113.0,122.0,79.0
459,1.0,25.0,4.0,9.0,4.0,6.0,6.0,6.0,37.0,8.0,14.0,0.0,3.0,10.0,0.0,12.0,13.0,6.0,9.0,12.0,6.0
460,339.0,637.0,204.0,413.0,174.0,187.0,62.0,149.0,98.0,90.0,278.0,290.0,199.0,203.0,137.0,168.0,98.0,116.0,68.0,239.0,45.0
466,3.0,4.0,7.0,8.0,2.0,11.0,2.0,8.0,18.0,3.0,2.0,6.0,5.0,1.0,1.0,5.0,2.0,2.0,3.0,4.0,2.0
468,673.0,2.0,113.0,665.0,64.0,138.0,21661.0,88.0,248.0,58.0,232.0,5.0,152.0,117.0,152.0,180.0,23.0,85.0,101.0,187.0,28.0
470,712.0,11.0,207.0,569.0,534.0,116.0,175.0,40.0,117.0,291.0,1083.0,739.0,95.0,116.0,134.0,84.0,217.0,70.0,50.0,106.0,57.0
473,1.0,0.0,7.0,10.0,3.0,139.0,414.0,142.0,144.0,226.0,3.0,0.0,3.0,4.0,1.0,136.0,153.0,127.0,155.0,219.0,106.0
475,11.0,8.0,235.0,22.0,14.0,2472.0,1520.0,5589.0,3254.0,2223.0,15.0,4.0,113.0,39.0,2.0,2282.0,902.0,3801.0,2576.0,3588.0,1380.0
476,4.0,0.0,31.0,8.0,1.0,458.0,180.0,624.0,656.0,1022.0,4.0,0.0,8.0,5.0,2.0,425.0,276.0,641.0,600.0,982.0,922.0
48,7.0,2.0,3.0,17.0,18.0,19.0,24.0,17.0,59.0,5.0,4.0,3.0,5.0,5.0,2.0,31.0,1.0,22.0,34.0,31.0,9.0
485,110.0,4.0,64.0,25.0,31.0,37.0,0.0,37.0,23.0,38.0,178.0,1.0,21.0,9.0,6.0,22.0,0.0,40.0,22.0,22.0,41.0
486,114.0,1.0,475.0,209.0,91.0,337.0,222.0,202.0,439.0,397.0,184.0,2.0,362.0,96.0,94.0,241.0,198.0,454.0,183.0,324.0,115.0
491,96.0,11.0,47.0,34.0,20.0,26.0,1.0,29.0,57.0,46.0,66.0,4.0,34.0,20.0,9.0,21.0,6.0,21.0,16.0,54.0,30.0
493,52.0,58.0,214.0,119.0,25.0,173.0,5.0,138.0,303.0,74.0,58.0,187.0,60.0,21.0,16.0,85.0,43.0,108.0,173.0,128.0,101.0
495,2.0,0.0,50.0,6.0,0.0,825.0,122.0,403.0,794.0,355.0,4.0,0.0,8.0,1.0,0.0,491.0,14.0,361.0,558.0,258.0,149.0
50,32.0,3.0,9.0,23.0,16.0,6.0,2.0,1.0,34.0,3.0,13.0,0.0,8.0,7.0,5.0,2.0,3.0,3.0,8.0,1.0,0.0
503,0.0,0.0,7.0,0.0,2.0,55.0,135.0,55.0,173.0,42.0,2.0,0.0,1.0,1.0,0.0,62.0,9.0,18.0,73.0,60.0,43.0
507,1.0,1.0,2.0,8.0,3.0,37.0,21.0,39.0,62.0,42.0,0.0,2.0,0.0,0.0,1.0,73.0,29.0,17.0,33.0,27.0,53.0
508,3.0,8.0,19.0,26.0,1.0,241.0,247.0,142.0,624.0,188.0,2.0,55.0,9.0,0.0,0.0,279.0,86.0,158.0,165.0,280.0,91.0
52,1.0,1.0,3.0,14.0,0.0,3.0,8.0,2.0,9.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,4.0,3.0
520,2.0,0.0,3.0,18.0,1.0,4.0,1.0,1.0,42.0,1.0,4.0,0.0,2.0,0.0,1.0,7.0,0.0,4.0,6.0,5.0,4.0
521,2.0,0.0,59.0,8.0,3.0,30.0,21.0,37.0,81.0,18.0,8.0,0.0,4.0,10.0,2.0,2399.0,6.0,41.0,31.0,36.0,49.0
522,11.0,1.0,6.0,40.0,14.0,43.0,152.0,81.0,78.0,33.0,11.0,0.0,20.0,7.0,8.0,15.0,131.0,54.0,50.0,117.0,23.0
523,3327.0,142.0,2427.0,5220.0,2279.0,741.0,169.0,684.0,945.0,731.0,2797.0,40.0,1898.0,1467.0,2266.0,856.0,519.0,595.0,576.0,1143.0,162.0
524,21.0,15.0,9.0,20.0,18.0,20.0,27.0,8.0,25.0,16.0,43.0,13.0,11.0,14.0,2.0,11.0,10.0,18.0,14.0,15.0,9.0
525,615.0,3.0,414.0,302.0,98.0,81.0,87.0,158.0,112.0,54.0,781.0,52.0,307.0,306.0,49.0,50.0,29.0,94.0,48.0,39.0,19.0
531,5.0,3.0,7.0,74.0,8.0,42.0,13.0,24.0,36.0,99.0,6.0,3.0,7.0,3.0,2.0,48.0,1.0,9.0,10.0,75.0,43.0
532,3.0,4.0,2.0,55.0,5.0,4.0,19.0,2.0,19.0,2.0,7.0,0.0,6.0,3.0,4.0,2.0,45.0,6.0,2.0,1.0,0.0
535,5841.0,490.0,384.0,5175.0,13554.0,290.0,76.0,112.0,191.0,408.0,6648.0,308.0,140.0,1096.0,2689.0,276.0,62.0,111.0,197.0,392.0,171.0
538,326.0,12.0,956.0,499.0,163.0,682.0,415.0,327.0,435.0,329.0,187.0,16.0,675.0,178.0,338.0,198.0,744.0,447.0,431.0,363.0,66.0
539,912.0,48.0,781.0,1146.0,911.0,195.0,52.0,221.0,216.0,334.0,805.0,447.0,772.0,300.0,252.0,175.0,33.0,147.0,114.0,255.0,73.0
540,590.0,234.0,74.0,645.0,586.0,122.0,69.0,74.0,129.0,67.0,762.0,119.0,73.0,200.0,217.0,124.0,72.0,85.0,57.0,66.0,46.0
541,8.0,2.0,11.0,21.0,10.0,140.0,56.0,99.0,87.0,99.0,18.0,0.0,2.0,7.0,7.0,99.0,19.0,128.0,65.0,67.0,57.0
