strain_id,A_MTX_5-FC.RET2_SNA3,A_MTX_Fluconazole.RET2_SNA3,A_MTX_Metformin.RET2_SNA3,A_MTX_Trifluoperazine.RET2_SNA3,A_MTX_noDrug.RET2_SNA3,A_noMTX_5-FC.RET2_SNA3,A_noMTX_Fluconazole.RET2_SNA3,A_noMTX_Metformin.RET2_SNA3,A_noMTX_Trifluoperazine.RET2_SNA3,A_noMTX_noDrug.RET2_SNA3,B_MTX_5-FC.RET2_SNA3,B_MTX_Fluconazole.RET2_SNA3,B_MTX_Metformin.RET2_SNA3,B_MTX_Trifluoperazine.RET2_SNA3,B_MTX_noDrug.RET2_SNA3,B_noMTX_5-FC.RET2_SNA3,B_noMTX_Fluconazole.RET2_SNA3,B_noMTX_Metformin.RET2_SNA3,B_noMTX_Trifluoperazine.RET2_SNA3,B_noMTX_noDrug.RET2_SNA3,T0_noMTX_noDrug.RET2_SNA3
17,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0
171,11.0,7.0,4.0,10.0,5.0,28.0,4.0,91.0,40.0,48.0,6.0,3.0,17.0,2.0,3.0,109.0,214.0,143.0,10.0,8.0,6.0
175,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,6.0,3.0
180,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,2.0,3.0,4.0
180_2,9.0,4.0,2.0,1.0,0.0,5.0,5.0,3.0,5.0,3.0,3.0,0.0,4.0,0.0,0.0,2.0,5.0,7.0,9.0,6.0,5.0
185,5.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
187,0.0,0.0,0.0,0.0,0.0,7.0,6.0,2.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,8.0,2.0,0.0
188,2.0,5.0,2.0,0.0,0.0,12.0,0.0,8.0,3.0,4.0,3.0,1.0,2.0,0.0,0.0,4.0,1.0,12.0,12.0,6.0,2.0
192,4.0,5.0,3.0,3.0,1.0,7.0,6.0,3.0,4.0,8.0,5.0,2.0,4.0,3.0,2.0,48.0,4.0,10.0,11.0,8.0,5.0
20,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
209,4.0,14.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,5.0,6.0,0.0,1.0
210,8.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,3.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,4.0
226,11.0,1.0,1.0,8.0,3.0,3.0,0.0,1.0,2.0,2.0,13.0,7.0,9.0,6.0,1.0,1.0,3.0,4.0,5.0,5.0,3.0
235,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0
240,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0
248,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,4.0,1.0
250,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0
252,0.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0
253,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0
254,4.0,3.0,0.0,1.0,0.0,13.0,21.0,10.0,11.0,9.0,0.0,0.0,2.0,0.0,1.0,6.0,15.0,19.0,31.0,22.0,6.0
257,0.0,1.0,1.0,0.0,0.0,1.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,5.0,3.0,3.0
258,4.0,1.0,0.0,4.0,8.0,11.0,3.0,4.0,5.0,3.0,5.0,2.0,9.0,1.0,2.0,4.0,4.0,3.0,9.0,6.0,5.0
27,15.0,0.0,32.0,0.0,1.0,289.0,364.0,453.0,78.0,83.0,9.0,0.0,22.0,4.0,0.0,612.0,54.0,541.0,376.0,68.0,14.0
270,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0
271,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,7.0,8.0,4.0,2.0,3.0
272,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,0.0
277,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
286,11.0,8.0,1.0,2.0,4.0,9.0,3.0,1.0,1.0,3.0,9.0,8.0,22.0,1.0,9.0,3.0,6.0,4.0,2.0,3.0,1.0
289,1.0,2.0,0.0,0.0,0.0,11.0,5.0,0.0,2.0,1.0,12.0,3.0,1.0,0.0,0.0,2.0,4.0,8.0,10.0,2.0,1.0
29,2.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,7.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,6.0,4.0,4.0
291,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
294,1.0,2.0,2.0,4.0,0.0,7.0,37.0,3.0,2.0,3.0,0.0,2.0,6.0,1.0,0.0,1.0,23.0,7.0,5.0,2.0,1.0
296,0.0,0.0,0.0,0.0,0.0,10.0,31.0,74.0,5.0,31.0,0.0,0.0,2.0,0.0,0.0,450.0,48.0,210.0,79.0,16.0,4.0
299,2.0,0.0,0.0,1.0,0.0,7.0,3.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,9.0,6.0,3.0
307,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
31,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
311,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0
312,18.0,3.0,5.0,4.0,2.0,6.0,5.0,1.0,2.0,1.0,2.0,3.0,8.0,2.0,4.0,4.0,3.0,0.0,5.0,4.0,2.0
32,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
320,57.0,0.0,18.0,16.0,7.0,25.0,5.0,8.0,7.0,3.0,13.0,1.0,65.0,12.0,21.0,11.0,18.0,27.0,32.0,21.0,6.0
323,6.0,3.0,8.0,5.0,8.0,72.0,25.0,127.0,36.0,17.0,2.0,8.0,4.0,4.0,10.0,27.0,9.0,306.0,71.0,9.0,8.0
325,9.0,0.0,2.0,1.0,0.0,16.0,11.0,4.0,6.0,8.0,0.0,0.0,29.0,0.0,0.0,4.0,31.0,14.0,9.0,13.0,6.0
33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
335,14.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,4.0,3.0,5.0,0.0,7.0,3.0,3.0,4.0,2.0,2.0,7.0,2.0,1.0
336,14.0,1.0,4.0,2.0,1.0,6.0,19.0,4.0,4.0,2.0,9.0,1.0,12.0,2.0,2.0,5.0,11.0,21.0,14.0,1.0,9.0
337,13.0,1.0,4.0,2.0,0.0,20.0,16.0,16.0,10.0,18.0,0.0,1.0,23.0,0.0,1.0,99.0,12.0,33.0,26.0,23.0,9.0
339,13.0,6.0,1.0,3.0,5.0,1.0,3.0,2.0,4.0,5.0,0.0,0.0,27.0,0.0,5.0,3.0,7.0,11.0,4.0,5.0,2.0
347,3.0,0.0,0.0,0.0,0.0,125.0,1.0,35.0,26.0,33.0,0.0,0.0,2.0,0.0,0.0,89.0,2.0,173.0,50.0,2.0,5.0
348,2.0,1.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0
350,28.0,16.0,1.0,14.0,26.0,6.0,11.0,2.0,4.0,2.0,15.0,7.0,3.0,6.0,7.0,1.0,5.0,5.0,14.0,8.0,1.0
354,1.0,3.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0
358,4.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,6.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0
359,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,3.0,0.0,1.0,3.0,2.0,1.0,1.0
36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
364,1.0,2.0,0.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0
375,33.0,1.0,5.0,2.0,1.0,8.0,11.0,5.0,2.0,6.0,17.0,0.0,21.0,9.0,6.0,5.0,7.0,13.0,5.0,11.0,3.0
383,2.0,0.0,0.0,0.0,1.0,9.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,5.0,1.0,3.0,7.0,3.0,2.0
385,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
392,4.0,9.0,2.0,2.0,0.0,6.0,2.0,3.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,9.0,3.0,15.0,12.0,0.0
397,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,8.0,1.0,1.0
399,16.0,25.0,2.0,1.0,1.0,15.0,7.0,11.0,16.0,1.0,5.0,6.0,14.0,0.0,0.0,9.0,29.0,33.0,22.0,8.0,5.0
40,5.0,5.0,0.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,5.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0
400,36.0,0.0,14.0,41.0,13.0,15.0,1.0,3.0,8.0,3.0,52.0,1.0,66.0,44.0,10.0,4.0,4.0,22.0,12.0,14.0,8.0
406,5.0,1.0,1.0,0.0,0.0,22.0,72.0,20.0,13.0,11.0,0.0,0.0,7.0,0.0,0.0,21.0,54.0,44.0,30.0,24.0,8.0
408,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,16.0,6.0,1.0,1.0
409,24.0,2.0,1.0,7.0,0.0,14.0,10.0,3.0,10.0,2.0,25.0,1.0,10.0,4.0,4.0,5.0,17.0,6.0,32.0,3.0,8.0
40_2,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
412,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,1.0,0.0
418,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0
419,1.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,4.0,6.0,0.0,0.0,6.0,0.0,0.0,5.0,10.0,11.0,6.0,8.0,0.0
420,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,6.0,8.0,1.0,1.0
421,10.0,0.0,1.0,5.0,6.0,7.0,5.0,1.0,4.0,0.0,3.0,2.0,8.0,3.0,4.0,4.0,12.0,7.0,5.0,1.0,1.0
426,13.0,0.0,4.0,9.0,5.0,160.0,4.0,172.0,19.0,7.0,5.0,0.0,18.0,6.0,3.0,259.0,0.0,447.0,213.0,11.0,5.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
431,0.0,1.0,3.0,0.0,0.0,258.0,1.0,803.0,180.0,81.0,2.0,0.0,4.0,0.0,0.0,286.0,5.0,2522.0,552.0,35.0,26.0
433,8.0,1.0,5.0,0.0,2.0,3.0,6.0,8.0,2.0,2.0,0.0,0.0,15.0,0.0,3.0,2.0,6.0,7.0,14.0,10.0,1.0
434,31.0,1.0,29.0,5.0,6.0,74.0,1.0,152.0,51.0,26.0,6.0,2.0,52.0,6.0,3.0,56.0,1.0,395.0,49.0,16.0,7.0
437,8.0,0.0,1.0,1.0,0.0,6.0,2.0,1.0,2.0,0.0,8.0,0.0,6.0,6.0,3.0,3.0,0.0,4.0,6.0,4.0,0.0
438,3.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,4.0,3.0,3.0,2.0
439,0.0,3.0,0.0,0.0,0.0,2.0,16.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,20.0,11.0,8.0,5.0,2.0
43_ref1,0.0,2.0,0.0,1.0,0.0,2.0,319.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,150.0,1.0,17.0,1.0,237.0
43_ref2,4.0,0.0,3.0,4.0,0.0,9.0,31.0,6.0,26.0,10.0,10.0,0.0,3.0,0.0,0.0,6.0,1.0,12.0,99.0,15.0,422.0
442,14.0,2.0,2.0,9.0,7.0,4.0,4.0,3.0,4.0,0.0,3.0,2.0,19.0,2.0,6.0,5.0,7.0,3.0,1.0,3.0,5.0
444,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
446,1.0,1.0,0.0,1.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0
45,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,12.0,5.0,0.0
450,1.0,3.0,0.0,2.0,0.0,2.0,5.0,2.0,1.0,5.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,5.0,4.0,6.0,2.0
452,4.0,0.0,3.0,4.0,0.0,2.0,5.0,1.0,0.0,2.0,3.0,0.0,9.0,1.0,1.0,2.0,5.0,9.0,4.0,2.0,0.0
458,4.0,0.0,0.0,0.0,0.0,10.0,4.0,4.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,13.0,8.0,9.0,4.0
459,8.0,2.0,3.0,0.0,5.0,1.0,8.0,7.0,6.0,3.0,6.0,2.0,11.0,3.0,0.0,4.0,11.0,10.0,15.0,8.0,6.0
460,17.0,46.0,10.0,10.0,8.0,291.0,9.0,370.0,91.0,70.0,16.0,52.0,21.0,9.0,5.0,482.0,85.0,1020.0,193.0,54.0,21.0
466,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,5.0,0.0,5.0,2.0,1.0,0.0
468,79.0,92.0,7.0,41.0,19.0,18.0,11.0,9.0,4.0,7.0,39.0,0.0,42.0,48.0,22.0,10.0,4.0,38.0,27.0,12.0,4.0
470,20.0,3.0,1.0,6.0,5.0,5.0,8.0,2.0,3.0,1.0,3.0,0.0,10.0,1.0,2.0,1.0,8.0,5.0,10.0,5.0,1.0
473,3.0,1.0,4.0,3.0,1.0,9.0,9.0,3.0,11.0,5.0,1.0,0.0,6.0,2.0,1.0,10.0,4.0,14.0,13.0,13.0,14.0
475,30.0,6.0,22.0,8.0,4.0,105.0,134.0,151.0,77.0,46.0,13.0,9.0,135.0,1.0,1.0,55.0,67.0,269.0,198.0,106.0,72.0
476,22.0,3.0,11.0,2.0,0.0,217.0,110.0,141.0,101.0,155.0,9.0,0.0,87.0,0.0,4.0,107.0,102.0,324.0,223.0,260.0,623.0
48,4.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,4.0,0.0,3.0,2.0,2.0,1.0,3.0,3.0,7.0,4.0,2.0
485,14.0,5.0,0.0,2.0,3.0,7.0,4.0,1.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,1.0,1.0,5.0,2.0,3.0,2.0
486,11.0,4.0,8.0,6.0,5.0,12.0,14.0,6.0,4.0,7.0,8.0,3.0,37.0,2.0,2.0,7.0,2.0,12.0,13.0,11.0,4.0
491,16.0,1.0,11.0,7.0,18.0,8.0,7.0,1.0,2.0,3.0,11.0,0.0,35.0,4.0,4.0,3.0,5.0,11.0,9.0,2.0,2.0
493,6.0,0.0,1.0,1.0,2.0,4.0,5.0,3.0,2.0,1.0,2.0,0.0,3.0,0.0,2.0,5.0,5.0,8.0,4.0,1.0,3.0
495,5.0,0.0,4.0,2.0,1.0,18.0,3.0,16.0,17.0,11.0,4.0,0.0,28.0,1.0,0.0,13.0,1.0,23.0,45.0,24.0,12.0
50,6.0,1.0,2.0,6.0,3.0,5.0,4.0,0.0,5.0,1.0,4.0,25.0,13.0,2.0,6.0,2.0,1.0,4.0,13.0,3.0,1.0
503,1.0,0.0,0.0,0.0,0.0,7.0,9.0,3.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,5.0,3.0,7.0,4.0,3.0
507,0.0,1.0,1.0,1.0,0.0,6.0,7.0,5.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,7.0,2.0,3.0,5.0
508,15.0,5.0,1.0,5.0,0.0,7.0,5.0,5.0,11.0,8.0,1.0,0.0,18.0,0.0,2.0,6.0,8.0,19.0,11.0,11.0,9.0
52,2.0,1.0,1.0,0.0,0.0,8.0,12.0,2.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,7.0,7.0,5.0,5.0,6.0,5.0
520,2.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
521,5.0,0.0,1.0,0.0,1.0,13.0,6.0,21.0,20.0,14.0,1.0,1.0,10.0,0.0,1.0,17.0,1.0,43.0,27.0,17.0,12.0
522,14.0,0.0,4.0,2.0,2.0,240.0,9.0,190.0,66.0,38.0,2.0,1.0,15.0,2.0,2.0,744.0,16.0,552.0,240.0,42.0,19.0
523,320.0,18.0,83.0,89.0,144.0,63.0,33.0,71.0,50.0,41.0,113.0,37.0,372.0,69.0,87.0,42.0,27.0,107.0,135.0,73.0,27.0
524,18.0,8.0,0.0,0.0,3.0,9.0,19.0,6.0,5.0,3.0,15.0,3.0,21.0,2.0,3.0,3.0,12.0,8.0,7.0,17.0,2.0
525,98.0,7.0,31.0,27.0,36.0,49.0,13.0,14.0,21.0,7.0,110.0,1.0,119.0,29.0,25.0,13.0,62.0,26.0,31.0,21.0,19.0
531,4.0,7.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,9.0,1.0,4.0,1.0
532,4.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,2.0,5.0,2.0,1.0,0.0,1.0,2.0,8.0,2.0,1.0,1.0
535,102.0,35.0,9.0,28.0,35.0,20.0,28.0,6.0,13.0,9.0,71.0,30.0,28.0,22.0,27.0,17.0,17.0,28.0,36.0,17.0,23.0
538,76.0,7.0,17.0,24.0,23.0,24.0,50.0,28.0,37.0,12.0,35.0,4.0,56.0,16.0,24.0,20.0,11.0,212.0,78.0,17.0,31.0
539,70.0,12.0,18.0,17.0,18.0,8.0,10.0,17.0,14.0,14.0,16.0,40.0,98.0,20.0,17.0,10.0,9.0,32.0,16.0,22.0,7.0
540,156.0,27.0,14.0,46.0,75.0,59.0,41.0,26.0,41.0,20.0,179.0,16.0,107.0,72.0,42.0,33.0,66.0,68.0,51.0,56.0,40.0
541,10.0,27.0,4.0,13.0,7.0,17.0,134.0,9.0,14.0,5.0,17.0,3.0,4.0,8.0,9.0,15.0,15.0,117.0,32.0,9.0,10.0
543,0.0,4.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,0.0,11.0,0.0,1.0,4.0,6.0,5.0,2.0,2.0,5.0
