strain_id,A_MTX_5-FC.SRO9_GIS2,A_MTX_Fluconazole.SRO9_GIS2,A_MTX_Metformin.SRO9_GIS2,A_MTX_Trifluoperazine.SRO9_GIS2,A_MTX_noDrug.SRO9_GIS2,A_noMTX_5-FC.SRO9_GIS2,A_noMTX_Fluconazole.SRO9_GIS2,A_noMTX_Metformin.SRO9_GIS2,A_noMTX_Trifluoperazine.SRO9_GIS2,A_noMTX_noDrug.SRO9_GIS2,B_MTX_5-FC.SRO9_GIS2,B_MTX_Fluconazole.SRO9_GIS2,B_MTX_Metformin.SRO9_GIS2,B_MTX_Trifluoperazine.SRO9_GIS2,B_MTX_noDrug.SRO9_GIS2,B_noMTX_5-FC.SRO9_GIS2,B_noMTX_Fluconazole.SRO9_GIS2,B_noMTX_Metformin.SRO9_GIS2,B_noMTX_Trifluoperazine.SRO9_GIS2,B_noMTX_noDrug.SRO9_GIS2,T0_noMTX_noDrug.SRO9_GIS2
133,1.0,5.0,1.0,1.0,2.0,10.0,0.0,9.0,16.0,9.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,30,15.0,7.0,3.0
136,6.0,3.0,63.0,16.0,0.0,14.0,0.0,125.0,24.0,16.0,6.0,0.0,22.0,11.0,2.0,14.0,7.0,93,90.0,76.0,5.0
14,851.0,5475.0,368.0,1008.0,48.0,614.0,97.0,1058.0,360.0,406.0,838.0,1032.0,256.0,660.0,92.0,159.0,570.0,3257,556.0,1047.0,96.0
146,1591.0,493.0,1389.0,2250.0,143.0,2057.0,923.0,2445.0,839.0,1067.0,2461.0,77.0,1803.0,1645.0,201.0,1066.0,109.0,6508,949.0,3139.0,234.0
15,36.0,6.0,27.0,62.0,2.0,43.0,1.0,67.0,2.0,30.0,36.0,10.0,81.0,78.0,11.0,36.0,4.0,77,28.0,91.0,8.0
151,4.0,8.0,26.0,51.0,3.0,179.0,99.0,84.0,41.0,89.0,44.0,6.0,40.0,18.0,2.0,89.0,23.0,384,36.0,249.0,23.0
153,44.0,181.0,156.0,99.0,0.0,348.0,179.0,241.0,91.0,168.0,130.0,61.0,541.0,97.0,2.0,156.0,362.0,677,60.0,673.0,36.0
17,2.0,13.0,4.0,15.0,7.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,16,2.0,5.0,1.0
171,4.0,6.0,6.0,46.0,1.0,27.0,3.0,9.0,15.0,8.0,12.0,0.0,2.0,7.0,13.0,14.0,2.0,42,4.0,28.0,2.0
175,5.0,12.0,42.0,17.0,1.0,140.0,18.0,122.0,43.0,52.0,5.0,0.0,65.0,10.0,1.0,59.0,1.0,448,29.0,307.0,11.0
180,12.0,165.0,28.0,50.0,0.0,740.0,173.0,243.0,252.0,167.0,114.0,81.0,74.0,7.0,0.0,499.0,254.0,1161,78.0,760.0,80.0
180_2,35.0,29.0,18.0,35.0,8.0,293.0,9.0,374.0,121.0,99.0,33.0,9.0,58.0,26.0,0.0,200.0,183.0,282,140.0,244.0,24.0
185,7.0,7.0,6.0,52.0,2.0,3.0,1.0,8.0,13.0,4.0,3.0,6.0,5.0,4.0,2.0,7.0,2.0,42,2.0,25.0,0.0
187,3.0,0.0,17.0,21.0,2.0,22.0,0.0,12.0,15.0,24.0,22.0,2.0,69.0,7.0,0.0,25.0,5.0,172,4.0,94.0,8.0
188,25.0,670.0,205.0,129.0,3.0,70.0,9.0,142.0,94.0,29.0,47.0,41.0,162.0,98.0,0.0,92.0,3.0,301,77.0,145.0,10.0
192,2.0,27.0,3.0,31.0,38.0,10.0,14.0,11.0,10.0,2.0,6.0,24.0,3.0,5.0,1.0,18.0,14.0,62,5.0,30.0,0.0
20,3.0,54.0,44.0,14.0,1.0,102.0,13.0,59.0,66.0,34.0,28.0,0.0,124.0,5.0,0.0,118.0,13.0,650,13.0,282.0,14.0
209,4.0,6.0,24.0,5.0,3.0,9.0,0.0,30.0,16.0,11.0,1.0,0.0,16.0,11.0,1.0,15.0,1.0,34,25.0,20.0,3.0
210,6.0,15.0,1.0,44.0,3.0,26.0,39.0,16.0,16.0,3.0,1.0,0.0,1.0,1.0,2.0,13.0,4.0,35,3.0,22.0,4.0
226,22.0,33.0,16.0,98.0,1.0,44.0,107.0,20.0,35.0,15.0,67.0,9.0,20.0,29.0,4.0,32.0,44.0,78,13.0,98.0,7.0
235,0.0,3.0,1.0,2.0,0.0,17.0,1.0,7.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,63,13.0,40.0,0.0
240,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14,0.0,6.0,1.0
248,1.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,12,5.0,12.0,0.0
250,4.0,1.0,1.0,8.0,1.0,21.0,1.0,12.0,5.0,2.0,5.0,0.0,0.0,1.0,0.0,8.0,4.0,5,16.0,6.0,1.0
252,1.0,1.0,4.0,8.0,0.0,4.0,4.0,6.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,17,6.0,6.0,0.0
253,18.0,0.0,30.0,37.0,0.0,193.0,128.0,151.0,28.0,46.0,7.0,0.0,17.0,15.0,6.0,99.0,107.0,519,41.0,166.0,14.0
254,1.0,11.0,81.0,6.0,0.0,207.0,39.0,170.0,66.0,105.0,4.0,3.0,37.0,6.0,0.0,110.0,8.0,361,98.0,216.0,12.0
257,4.0,3.0,1.0,12.0,1.0,18.0,5.0,5.0,11.0,9.0,5.0,0.0,1.0,1.0,0.0,13.0,5.0,30,10.0,14.0,7.0
258,28.0,3.0,64.0,22.0,2.0,314.0,28.0,171.0,73.0,67.0,57.0,1.0,54.0,76.0,11.0,208.0,26.0,724,83.0,321.0,22.0
27,104.0,4.0,202.0,233.0,1.0,154.0,4.0,221.0,33.0,53.0,449.0,0.0,87.0,124.0,41.0,38.0,2.0,491,60.0,215.0,15.0
270,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3,1.0,1.0,0.0
271,40.0,24.0,37.0,35.0,0.0,135.0,177.0,126.0,42.0,46.0,44.0,626.0,80.0,1.0,2.0,89.0,247.0,197,42.0,136.0,21.0
272,1.0,2.0,4.0,4.0,0.0,71.0,0.0,85.0,31.0,9.0,3.0,0.0,1.0,0.0,0.0,45.0,2.0,155,5.0,155.0,5.0
277,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3,0.0,0.0,0.0
286,2.0,2.0,5.0,3.0,3.0,17.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,10,4.0,9.0,0.0
289,6.0,7.0,23.0,16.0,0.0,118.0,933.0,104.0,67.0,39.0,3.0,0.0,17.0,6.0,0.0,81.0,213.0,253,74.0,116.0,15.0
29,86.0,436.0,46.0,117.0,0.0,439.0,182.0,368.0,193.0,120.0,90.0,5.0,71.0,72.0,3.0,151.0,5.0,572,267.0,321.0,60.0
291,0.0,2.0,0.0,6.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,20,2.0,14.0,0.0
294,34.0,38.0,54.0,32.0,0.0,67.0,5.0,28.0,18.0,61.0,31.0,23.0,133.0,23.0,3.0,32.0,33.0,219,36.0,307.0,4.0
296,6.0,34.0,14.0,10.0,0.0,33.0,6.0,40.0,23.0,21.0,8.0,104.0,12.0,8.0,0.0,33.0,30.0,76,16.0,41.0,8.0
299,23.0,4.0,85.0,30.0,0.0,127.0,5.0,155.0,48.0,60.0,41.0,0.0,426.0,43.0,1.0,68.0,2.0,377,54.0,110.0,5.0
307,5.0,0.0,1.0,18.0,1.0,72.0,3.0,28.0,36.0,9.0,23.0,482.0,17.0,4.0,1.0,61.0,299.0,72,41.0,22.0,3.0
308,12.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,10.0,2.0,3.0,2.0,2.0,8.0,7.0,8,3.0,6.0,0.0
31,20.0,3.0,10.0,14.0,2.0,87.0,0.0,12.0,18.0,18.0,126.0,0.0,6.0,0.0,0.0,73.0,28.0,119,4.0,65.0,0.0
311,1.0,6.0,4.0,17.0,0.0,2.0,2.0,8.0,9.0,1.0,1.0,0.0,0.0,0.0,2.0,14.0,15.0,20,1.0,9.0,1.0
312,368.0,2804.0,249.0,446.0,3.0,251.0,144.0,247.0,63.0,102.0,1098.0,11.0,364.0,248.0,42.0,117.0,4.0,389,100.0,277.0,10.0
32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0.0,9.0,1.0
320,28.0,7.0,93.0,27.0,15.0,44.0,3.0,56.0,25.0,31.0,27.0,0.0,34.0,8.0,14.0,133.0,4.0,85,36.0,45.0,6.0
323,1.0,3.0,1.0,4.0,1.0,5.0,4.0,6.0,1.0,3.0,3.0,0.0,3.0,0.0,1.0,7.0,1.0,10,2.0,12.0,0.0
325,13.0,74.0,46.0,40.0,0.0,37.0,1.0,70.0,20.0,28.0,19.0,2.0,68.0,9.0,1.0,91.0,6.0,64,19.0,76.0,8.0
33,0.0,0.0,0.0,2.0,0.0,6.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,10,1.0,4.0,2.0
335,15.0,1.0,16.0,28.0,4.0,56.0,3.0,24.0,10.0,5.0,39.0,0.0,10.0,13.0,2.0,18.0,0.0,25,11.0,35.0,9.0
336,56.0,0.0,39.0,70.0,2.0,25.0,32.0,87.0,15.0,14.0,133.0,0.0,40.0,60.0,6.0,40.0,4.0,111,20.0,35.0,10.0
337,41.0,200.0,69.0,81.0,0.0,507.0,25.0,442.0,186.0,201.0,86.0,34.0,110.0,63.0,3.0,322.0,837.0,1080,169.0,791.0,33.0
339,65.0,134.0,83.0,83.0,6.0,118.0,82.0,118.0,55.0,58.0,138.0,2.0,98.0,61.0,11.0,66.0,736.0,524,92.0,278.0,12.0
347,21.0,3.0,3.0,11.0,5.0,30.0,2.0,19.0,6.0,6.0,11.0,3.0,2.0,2.0,3.0,19.0,19.0,29,5.0,11.0,2.0
348,33.0,2.0,2.0,9.0,1.0,4.0,9.0,6.0,9.0,5.0,17.0,0.0,0.0,0.0,1.0,13.0,4.0,7,4.0,3.0,1.0
350,6.0,14.0,14.0,38.0,13.0,15.0,11.0,17.0,12.0,8.0,28.0,3.0,5.0,9.0,9.0,30.0,14.0,36,19.0,19.0,2.0
354,7.0,7.0,19.0,27.0,2.0,20.0,5.0,26.0,7.0,21.0,5.0,0.0,3.0,7.0,3.0,27.0,2.0,62,21.0,11.0,3.0
358,2.0,2.0,3.0,8.0,7.0,2.0,2.0,6.0,5.0,2.0,6.0,0.0,1.0,6.0,3.0,12.0,1.0,7,5.0,3.0,1.0
359,0.0,8.0,3.0,4.0,2.0,1.0,8.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,4.0,8,1.0,3.0,0.0
36,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,0.0,2.0,0.0
364,3.0,46.0,5.0,1.0,1.0,8.0,4.0,7.0,7.0,3.0,0.0,221.0,2.0,0.0,1.0,22.0,2.0,13,6.0,22.0,0.0
375,206.0,421.0,298.0,675.0,10.0,112.0,49.0,181.0,19.0,84.0,553.0,0.0,213.0,343.0,40.0,128.0,109.0,563,67.0,153.0,6.0
383,90.0,1.0,311.0,96.0,0.0,111.0,44.0,293.0,56.0,115.0,53.0,2.0,44.0,63.0,0.0,187.0,13.0,262,92.0,145.0,14.0
385,3.0,4.0,0.0,7.0,0.0,2.0,8.0,1.0,5.0,0.0,7.0,0.0,0.0,3.0,0.0,6.0,7.0,7,1.0,1.0,1.0
392,3.0,31.0,52.0,20.0,1.0,31.0,8.0,82.0,22.0,13.0,1.0,1.0,1.0,4.0,0.0,29.0,4.0,58,20.0,53.0,3.0
397,0.0,9.0,4.0,12.0,0.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,6.0,1.0,20,1.0,3.0,4.0
399,64.0,6849.0,83.0,43.0,4.0,477.0,1377.0,669.0,314.0,357.0,71.0,564.0,78.0,18.0,3.0,341.0,1061.0,1254,222.0,1037.0,34.0
40,2.0,6.0,0.0,8.0,6.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,3.0,12.0,2.0,0.0,4,1.0,4.0,0.0
400,8.0,0.0,9.0,39.0,15.0,14.0,15.0,27.0,20.0,12.0,28.0,0.0,16.0,17.0,12.0,20.0,4.0,30,9.0,34.0,6.0
406,9.0,7.0,55.0,18.0,2.0,45.0,34.0,597.0,55.0,98.0,10.0,19.0,111.0,30.0,1.0,45.0,14.0,170,47.0,139.0,6.0
408,0.0,1.0,0.0,1.0,0.0,2.0,2.0,6.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,10,6.0,10.0,0.0
409,1032.0,69.0,116.0,719.0,56.0,1586.0,2311.0,705.0,566.0,202.0,1276.0,855.0,166.0,576.0,49.0,832.0,362.0,877,950.0,636.0,92.0
40_2,0.0,0.0,1.0,11.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,7,0.0,4.0,0.0
412,129.0,97.0,7.0,118.0,0.0,68.0,18.0,49.0,20.0,18.0,202.0,40.0,15.0,63.0,1.0,108.0,16.0,90,39.0,49.0,3.0
418,1.0,24.0,4.0,11.0,2.0,5.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,4,1.0,5.0,0.0
419,62.0,237.0,46.0,64.0,0.0,128.0,248.0,109.0,68.0,57.0,92.0,276.0,45.0,45.0,2.0,79.0,366.0,215,52.0,146.0,10.0
420,10.0,21.0,7.0,38.0,0.0,298.0,55.0,89.0,68.0,62.0,31.0,3.0,10.0,4.0,2.0,219.0,86.0,190,65.0,167.0,21.0
421,130.0,2.0,127.0,178.0,4.0,95.0,18.0,84.0,44.0,86.0,187.0,0.0,170.0,116.0,14.0,75.0,7.0,460,61.0,242.0,6.0
426,5.0,10.0,5.0,32.0,2.0,4.0,2.0,6.0,5.0,0.0,6.0,1.0,2.0,3.0,3.0,12.0,4.0,54,3.0,34.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0
431,33.0,70.0,147.0,102.0,1.0,61.0,5.0,50.0,34.0,58.0,57.0,0.0,304.0,67.0,2.0,39.0,23.0,415,13.0,321.0,14.0
433,5.0,3.0,2.0,26.0,1.0,7.0,6.0,7.0,17.0,5.0,12.0,0.0,3.0,7.0,6.0,12.0,5.0,72,5.0,36.0,4.0
434,19.0,3.0,81.0,52.0,1.0,708.0,379.0,318.0,182.0,210.0,150.0,6.0,111.0,12.0,2.0,263.0,389.0,1098,121.0,709.0,53.0
437,32.0,7.0,8.0,100.0,14.0,11.0,15.0,8.0,30.0,2.0,88.0,2.0,12.0,14.0,12.0,41.0,19.0,50,14.0,24.0,2.0
438,0.0,0.0,0.0,13.0,1.0,6.0,47.0,7.0,7.0,2.0,1.0,0.0,3.0,0.0,1.0,22.0,58.0,17,5.0,10.0,6.0
439,6.0,285.0,24.0,2.0,1.0,82.0,105.0,48.0,26.0,26.0,26.0,259.0,32.0,4.0,1.0,60.0,602.0,103,48.0,59.0,13.0
43_ref1,1.0,2.0,1.0,2.0,0.0,3.0,75.0,0.0,5.0,2.0,4.0,0.0,0.0,1.0,1.0,4.0,179.0,9,0.0,9.0,184.0
43_ref2,3.0,5.0,14.0,40.0,4.0,24.0,55.0,76.0,72.0,52.0,4.0,0.0,1.0,1.0,5.0,20.0,33.0,72,61.0,227.0,233.0
442,16.0,27.0,9.0,93.0,22.0,5.0,8.0,8.0,21.0,3.0,30.0,2.0,9.0,15.0,17.0,13.0,11.0,62,4.0,31.0,3.0
444,1.0,9.0,0.0,11.0,0.0,3.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,7.0,1.0,12,2.0,13.0,0.0
446,3.0,3.0,2.0,28.0,0.0,120.0,5.0,41.0,43.0,41.0,3.0,5.0,24.0,6.0,0.0,101.0,3.0,227,45.0,188.0,25.0
45,2.0,12.0,5.0,25.0,0.0,1.0,3.0,14.0,23.0,2.0,1.0,0.0,0.0,2.0,1.0,15.0,18.0,99,4.0,60.0,1.0
450,18.0,4.0,48.0,21.0,0.0,27.0,7.0,25.0,18.0,24.0,5.0,0.0,56.0,9.0,0.0,15.0,11.0,117,11.0,58.0,4.0
452,2.0,9.0,0.0,10.0,0.0,1.0,5.0,6.0,14.0,2.0,2.0,0.0,0.0,2.0,0.0,5.0,3.0,23,5.0,30.0,2.0
458,2.0,2.0,0.0,5.0,0.0,100.0,35.0,95.0,51.0,32.0,0.0,0.0,4.0,2.0,0.0,79.0,83.0,175,44.0,103.0,22.0
459,93.0,37.0,26.0,68.0,0.0,145.0,67.0,95.0,32.0,18.0,143.0,0.0,26.0,44.0,13.0,55.0,52.0,185,35.0,68.0,25.0
460,180.0,130.0,88.0,254.0,11.0,321.0,20.0,139.0,72.0,120.0,406.0,117.0,175.0,156.0,24.0,170.0,46.0,329,57.0,232.0,15.0
466,23.0,4.0,1.0,68.0,1.0,7.0,21.0,9.0,22.0,1.0,32.0,3.0,4.0,7.0,1.0,47.0,7.0,39,6.0,18.0,1.0
468,909.0,458.0,587.0,1716.0,82.0,260.0,57.0,439.0,164.0,257.0,907.0,1.0,574.0,1272.0,143.0,231.0,173.0,918,219.0,513.0,36.0
470,2052.0,15176.0,251.0,1334.0,69.0,767.0,1364.0,645.0,242.0,197.0,3251.0,2203.0,403.0,776.0,77.0,436.0,856.0,779,348.0,529.0,29.0
473,8.0,12.0,15.0,30.0,2.0,411.0,134.0,322.0,63.0,92.0,6.0,0.0,9.0,13.0,3.0,101.0,122.0,338,95.0,288.0,25.0
475,226.0,185.0,2880.0,835.0,1.0,1730.0,1062.0,3664.0,992.0,2205.0,366.0,47.0,3386.0,436.0,14.0,897.0,725.0,10305,775.0,5164.0,334.0
476,90.0,14.0,177.0,215.0,2.0,2538.0,578.0,2628.0,1133.0,938.0,148.0,34.0,316.0,124.0,1.0,1534.0,1744.0,6533,1197.0,3773.0,879.0
48,8.0,8.0,5.0,22.0,8.0,18.0,44.0,19.0,20.0,5.0,5.0,6.0,3.0,4.0,1.0,16.0,4.0,47,10.0,30.0,4.0
485,53.0,13.0,80.0,49.0,0.0,78.0,0.0,127.0,53.0,76.0,229.0,539.0,14.0,0.0,2.0,150.0,1.0,68,11.0,123.0,7.0
486,82.0,3.0,152.0,302.0,6.0,167.0,5.0,89.0,82.0,106.0,161.0,2.0,193.0,130.0,8.0,91.0,2.0,349,73.0,462.0,11.0
491,105.0,552.0,132.0,744.0,11.0,47.0,3.0,83.0,36.0,66.0,237.0,0.0,316.0,479.0,13.0,33.0,66.0,216,49.0,252.0,25.0
493,26.0,35.0,63.0,165.0,4.0,32.0,72.0,14.0,16.0,19.0,91.0,0.0,29.0,25.0,9.0,30.0,8.0,97,28.0,67.0,11.0
495,28.0,4.0,67.0,64.0,0.0,198.0,101.0,518.0,146.0,100.0,139.0,7.0,92.0,107.0,1.0,220.0,30.0,439,121.0,387.0,23.0
50,3.0,25.0,9.0,19.0,9.0,2.0,5.0,10.0,8.0,1.0,5.0,13.0,7.0,5.0,2.0,10.0,8.0,24,4.0,11.0,9.0
503,6.0,306.0,25.0,24.0,1.0,266.0,70.0,112.0,86.0,75.0,18.0,12.0,54.0,27.0,0.0,87.0,60.0,328,116.0,362.0,25.0
507,0.0,5.0,0.0,3.0,0.0,23.0,12.0,16.0,5.0,3.0,7.0,0.0,3.0,0.0,0.0,25.0,12.0,12,8.0,10.0,4.0
508,99.0,1290.0,544.0,396.0,2.0,325.0,20.0,362.0,226.0,265.0,270.0,80.0,451.0,290.0,9.0,191.0,23.0,892,214.0,860.0,37.0
52,0.0,1.0,47.0,3.0,0.0,8.0,1.0,7.0,18.0,20.0,11.0,1.0,2.0,3.0,0.0,10.0,4.0,16,2.0,37.0,2.0
520,4.0,8.0,10.0,77.0,3.0,7.0,0.0,5.0,18.0,4.0,7.0,1.0,1.0,2.0,0.0,4.0,4.0,43,4.0,35.0,0.0
521,2.0,7.0,40.0,27.0,0.0,17.0,5.0,46.0,51.0,13.0,5.0,2.0,12.0,6.0,0.0,46.0,29.0,208,22.0,125.0,9.0
522,11.0,10.0,14.0,40.0,8.0,15.0,75.0,34.0,29.0,14.0,17.0,0.0,3.0,4.0,2.0,35.0,8.0,155,20.0,71.0,8.0
523,686.0,846.0,530.0,694.0,73.0,569.0,151.0,647.0,229.0,264.0,1057.0,43.0,371.0,457.0,148.0,342.0,50.0,968,311.0,635.0,49.0
524,42.0,33.0,16.0,111.0,9.0,136.0,98.0,68.0,106.0,48.0,181.0,2.0,41.0,20.0,4.0,164.0,156.0,503,36.0,281.0,22.0
525,94.0,6.0,148.0,120.0,24.0,426.0,20.0,337.0,110.0,163.0,116.0,197.0,44.0,205.0,28.0,310.0,14.0,1123,87.0,345.0,24.0
531,24.0,7.0,14.0,60.0,3.0,18.0,2.0,10.0,14.0,12.0,88.0,1.0,22.0,54.0,3.0,8.0,6.0,38,14.0,127.0,2.0
532,0.0,17.0,4.0,17.0,2.0,2.0,4.0,5.0,12.0,3.0,6.0,3.0,3.0,4.0,2.0,9.0,3.0,22,3.0,16.0,0.0
535,439.0,917.0,120.0,355.0,81.0,1426.0,2386.0,494.0,213.0,261.0,656.0,5300.0,97.0,127.0,47.0,586.0,2847.0,923,344.0,519.0,125.0
538,993.0,661.0,495.0,2048.0,33.0,946.0,564.0,1666.0,556.0,536.0,1964.0,58.0,1299.0,1958.0,139.0,656.0,674.0,2606,651.0,1702.0,64.0
539,1074.0,2485.0,2035.0,1732.0,88.0,701.0,90.0,1117.0,368.0,727.0,2116.0,923.0,1980.0,1309.0,236.0,342.0,466.0,2251,406.0,2288.0,67.0
540,707.0,1436.0,356.0,1482.0,492.0,644.0,584.0,625.0,435.0,426.0,1551.0,91.0,571.0,948.0,285.0,577.0,987.0,2522,277.0,1745.0,156.0
541,14.0,5.0,13.0,29.0,2.0,153.0,5.0,36.0,87.0,19.0,62.0,0.0,25.0,7.0,5.0,124.0,4.0,160,38.0,86.0,4.0
543,6.0,4.0,3.0,21.0,9.0,6.0,3.0,2.0,4.0,3.0,4.0,1.0,2.0,4.0,3.0,11.0,4.0,18,4.0,14.0,3.0
545,163.0,9072.0,250.0,592.0,10.0,274.0,932.0,219.0,166.0,216.0,538.0,2867.0,216.0,467.0,53.0,246.0,1287.0,666,83.0,674.0,42.0
546,61.0,65.0,250.0,169.0,3.0,880.0,283.0,1041.0,477.0,473.0,190.0,34.0,508.0,90.0,4.0,625.0,238.0,2647,362.0,1561.0,47.0
