strain_id,A_MTX_5-FC.RET2_EMP70,A_MTX_Fluconazole.RET2_EMP70,A_MTX_Metformin.RET2_EMP70,A_MTX_Trifluoperazine.RET2_EMP70,A_MTX_noDrug.RET2_EMP70,A_noMTX_5-FC.RET2_EMP70,A_noMTX_Fluconazole.RET2_EMP70,A_noMTX_Metformin.RET2_EMP70,A_noMTX_Trifluoperazine.RET2_EMP70,A_noMTX_noDrug.RET2_EMP70,B_MTX_5-FC.RET2_EMP70,B_MTX_Fluconazole.RET2_EMP70,B_MTX_Metformin.RET2_EMP70,B_MTX_Trifluoperazine.RET2_EMP70,B_MTX_noDrug.RET2_EMP70,B_noMTX_5-FC.RET2_EMP70,B_noMTX_Fluconazole.RET2_EMP70,B_noMTX_Metformin.RET2_EMP70,B_noMTX_Trifluoperazine.RET2_EMP70,B_noMTX_noDrug.RET2_EMP70,T0_noMTX_noDrug.RET2_EMP70
113,18.0,1.0,5.0,9.0,5.0,8.0,0.0,10.0,9.0,7.0,9.0,0.0,2.0,2.0,55.0,12.0,1.0,15.0,37.0,17.0,3.0
119,4.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0,0.0,2.0,0.0,8.0,3.0,1.0,10.0,13.0,13.0,0.0
124,25.0,0.0,9.0,9.0,28.0,0.0,4.0,2.0,1.0,3.0,22.0,0.0,27.0,13.0,11.0,2.0,2.0,4.0,0.0,8.0,2.0
128,1.0,1.0,0.0,0.0,0.0,21.0,3.0,6.0,6.0,5.0,2.0,0.0,3.0,0.0,0.0,16.0,3.0,11.0,27.0,12.0,8.0
132,19.0,1.0,1.0,0.0,2.0,31.0,6.0,24.0,20.0,14.0,0.0,0.0,19.0,1.0,2.0,19.0,18.0,38.0,54.0,39.0,6.0
133,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,6.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,8.0,5.0,5.0,4.0
136,0.0,3.0,0.0,1.0,0.0,4.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,0.0
14,74.0,3.0,13.0,44.0,29.0,11.0,3.0,13.0,7.0,13.0,20.0,5.0,37.0,55.0,29.0,3.0,6.0,35.0,74.0,47.0,8.0
146,161.0,26.0,52.0,147.0,42.0,68.0,52.0,57.0,60.0,37.0,97.0,5.0,172.0,114.0,81.0,93.0,29.0,92.0,134.0,75.0,35.0
15,21.0,0.0,10.0,11.0,18.0,7.0,0.0,8.0,5.0,10.0,28.0,0.0,18.0,10.0,6.0,6.0,1.0,5.0,24.0,12.0,4.0
151,0.0,1.0,0.0,1.0,1.0,4.0,0.0,3.0,3.0,1.0,3.0,0.0,2.0,3.0,1.0,4.0,0.0,7.0,6.0,3.0,4.0
153,4.0,0.0,1.0,0.0,0.0,5.0,8.0,2.0,2.0,5.0,0.0,2.0,1.0,0.0,0.0,7.0,15.0,8.0,6.0,17.0,4.0
17,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0
171,17.0,29.0,2.0,16.0,6.0,9.0,2.0,6.0,5.0,4.0,16.0,1.0,12.0,3.0,7.0,7.0,1.0,9.0,14.0,11.0,1.0
175,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,2.0,9.0,1.0
180,0.0,0.0,0.0,1.0,2.0,1.0,19.0,7.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,7.0,10.0,6.0,5.0,11.0,2.0
180_2,26.0,1.0,2.0,1.0,2.0,17.0,5.0,10.0,13.0,19.0,2.0,1.0,5.0,2.0,2.0,23.0,7.0,25.0,48.0,24.0,10.0
185,9.0,1.0,5.0,5.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,9.0,5.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0
187,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,6.0,9.0,3.0,1.0
188,1.0,5.0,0.0,4.0,0.0,12.0,2.0,10.0,7.0,10.0,4.0,2.0,4.0,8.0,0.0,16.0,0.0,13.0,21.0,12.0,3.0
192,3.0,6.0,0.0,7.0,6.0,206.0,6.0,200.0,151.0,144.0,13.0,67.0,3.0,4.0,9.0,151.0,6.0,1057.0,143.0,655.0,2.0
20,3.0,0.0,2.0,0.0,2.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0
209,2.0,7.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,2.0,0.0,9.0,1.0,0.0,0.0,2.0,5.0,7.0,10.0,8.0,2.0
210,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0
226,10.0,0.0,2.0,5.0,5.0,2.0,2.0,2.0,4.0,0.0,13.0,1.0,7.0,13.0,2.0,2.0,1.0,3.0,3.0,5.0,8.0
235,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0
240,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0,5.0,3.0,0.0
248,6.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,8.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,8.0,3.0,2.0
250,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0
252,150.0,0.0,20.0,59.0,23.0,64.0,0.0,76.0,7.0,14.0,83.0,0.0,11.0,0.0,49.0,8.0,2.0,201.0,32.0,96.0,5.0
253,6.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,6.0,3.0,0.0
254,1.0,3.0,0.0,2.0,1.0,11.0,21.0,11.0,19.0,8.0,1.0,0.0,7.0,2.0,0.0,14.0,47.0,12.0,54.0,28.0,12.0
257,1.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,1.0,1.0,0.0,3.0,1.0,1.0,5.0,12.0,4.0,10.0,2.0,1.0
258,13.0,1.0,0.0,9.0,12.0,9.0,0.0,10.0,6.0,2.0,10.0,2.0,9.0,8.0,4.0,6.0,11.0,9.0,40.0,6.0,3.0
27,89.0,0.0,24.0,1.0,1.0,195.0,17.0,283.0,75.0,104.0,47.0,0.0,15.0,2.0,5.0,105.0,1.0,1240.0,479.0,677.0,6.0
270,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
271,2.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,2.0,4.0,9.0,0.0,1.0,0.0,0.0,4.0,2.0,5.0,8.0,9.0,3.0
272,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
277,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0
286,7.0,3.0,9.0,16.0,8.0,5.0,3.0,2.0,1.0,7.0,17.0,5.0,16.0,7.0,6.0,1.0,14.0,2.0,5.0,5.0,4.0
289,1.0,5.0,0.0,0.0,0.0,9.0,8.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,6.0,4.0,7.0,6.0,2.0
29,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,4.0,5.0,0.0,0.0,4.0,1.0,0.0,6.0,2.0,5.0,10.0,12.0,4.0
291,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0
294,1.0,0.0,1.0,1.0,0.0,2.0,27.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,19.0,10.0,13.0,10.0,1.0
296,0.0,0.0,1.0,0.0,0.0,28.0,27.0,15.0,17.0,9.0,0.0,0.0,1.0,0.0,0.0,19.0,41.0,178.0,23.0,147.0,2.0
299,1.0,0.0,0.0,1.0,0.0,7.0,3.0,4.0,4.0,2.0,3.0,0.0,4.0,1.0,0.0,4.0,2.0,4.0,11.0,16.0,2.0
307,4.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,8.0,3.0,4.0
308,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0
31,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
311,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,5.0,0.0
312,28.0,5.0,9.0,6.0,14.0,7.0,1.0,0.0,4.0,1.0,8.0,0.0,2.0,20.0,6.0,5.0,4.0,13.0,5.0,15.0,3.0
32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
320,79.0,1.0,32.0,8.0,13.0,89.0,9.0,45.0,12.0,32.0,18.0,2.0,61.0,20.0,22.0,61.0,9.0,176.0,126.0,111.0,8.0
323,38.0,1.0,10.0,10.0,12.0,101.0,11.0,127.0,18.0,50.0,7.0,3.0,9.0,5.0,8.0,60.0,3.0,685.0,153.0,237.0,2.0
325,6.0,4.0,4.0,1.0,0.0,13.0,10.0,5.0,2.0,7.0,4.0,0.0,23.0,6.0,0.0,15.0,11.0,21.0,18.0,34.0,10.0
33,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,9.0,3.0,3.0
335,5.0,1.0,8.0,2.0,0.0,2.0,3.0,4.0,1.0,3.0,12.0,0.0,11.0,1.0,0.0,3.0,2.0,4.0,6.0,6.0,1.0
336,19.0,3.0,10.0,13.0,14.0,11.0,19.0,8.0,8.0,4.0,18.0,0.0,13.0,8.0,6.0,8.0,23.0,36.0,29.0,24.0,8.0
337,23.0,0.0,9.0,0.0,0.0,19.0,8.0,12.0,11.0,18.0,3.0,0.0,13.0,3.0,1.0,15.0,19.0,42.0,30.0,39.0,8.0
339,6.0,5.0,22.0,6.0,5.0,19.0,72.0,22.0,11.0,46.0,3.0,0.0,29.0,2.0,9.0,16.0,9.0,347.0,22.0,219.0,1.0
347,3.0,0.0,1.0,0.0,0.0,5.0,7.0,34.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,21.0,7.0,20.0,1.0
348,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,3.0,4.0,2.0,2.0,1.0,2.0
350,56.0,21.0,9.0,42.0,45.0,8.0,6.0,6.0,5.0,3.0,63.0,2.0,9.0,14.0,18.0,7.0,9.0,16.0,16.0,9.0,1.0
354,3.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,4.0,1.0,0.0,4.0,1.0,2.0,6.0,2.0,6.0,10.0,5.0,4.0
358,4.0,2.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,5.0,1.0,2.0
359,3.0,0.0,1.0,7.0,13.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,8.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
364,2.0,0.0,1.0,0.0,0.0,1.0,188.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,13.0,9.0,0.0,1.0,0.0
375,35.0,0.0,7.0,8.0,12.0,13.0,7.0,3.0,7.0,3.0,10.0,1.0,14.0,12.0,3.0,5.0,4.0,12.0,15.0,12.0,3.0
383,0.0,1.0,1.0,1.0,1.0,6.0,6.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,6.0,2.0,2.0,0.0
385,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
392,3.0,7.0,0.0,2.0,2.0,2.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,6.0,9.0,1.0
397,4.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,10.0,1.0,0.0
399,20.0,8.0,4.0,3.0,1.0,20.0,20.0,8.0,10.0,3.0,5.0,2.0,9.0,10.0,1.0,29.0,11.0,28.0,38.0,17.0,3.0
40,8.0,0.0,1.0,15.0,4.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,10.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
400,61.0,0.0,19.0,89.0,20.0,15.0,3.0,10.0,12.0,5.0,53.0,0.0,67.0,116.0,22.0,26.0,3.0,17.0,11.0,10.0,5.0
406,7.0,8.0,0.0,1.0,1.0,16.0,108.0,25.0,22.0,22.0,2.0,0.0,5.0,0.0,0.0,32.0,68.0,60.0,76.0,36.0,11.0
408,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,20.0,4.0,26.0,1.0
409,31.0,2.0,5.0,9.0,3.0,8.0,6.0,7.0,6.0,4.0,52.0,0.0,6.0,3.0,3.0,8.0,22.0,17.0,38.0,7.0,4.0
40_2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
412,3.0,0.0,0.0,2.0,2.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,36.0,7.0,16.0,0.0
418,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0
419,1.0,1.0,1.0,1.0,0.0,12.0,2.0,5.0,4.0,8.0,0.0,0.0,7.0,1.0,1.0,12.0,12.0,8.0,13.0,17.0,1.0
420,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,9.0,6.0,8.0,1.0
421,13.0,1.0,8.0,9.0,3.0,4.0,4.0,3.0,3.0,7.0,5.0,18.0,11.0,3.0,2.0,7.0,2.0,9.0,8.0,5.0,0.0
426,14.0,3.0,7.0,5.0,2.0,9.0,6.0,3.0,2.0,2.0,6.0,0.0,22.0,10.0,4.0,6.0,6.0,43.0,22.0,18.0,3.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
431,0.0,0.0,2.0,0.0,1.0,299.0,131.0,278.0,65.0,131.0,0.0,0.0,2.0,1.0,0.0,266.0,4.0,1682.0,387.0,766.0,10.0
433,12.0,0.0,4.0,5.0,0.0,2.0,15.0,6.0,8.0,4.0,2.0,0.0,8.0,2.0,4.0,4.0,5.0,11.0,9.0,13.0,1.0
434,17.0,2.0,11.0,5.0,1.0,9.0,1.0,8.0,4.0,19.0,8.0,1.0,33.0,11.0,2.0,7.0,1.0,10.0,19.0,34.0,3.0
437,8.0,3.0,3.0,7.0,2.0,6.0,7.0,0.0,4.0,0.0,6.0,1.0,4.0,9.0,3.0,3.0,1.0,4.0,4.0,2.0,0.0
438,2.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,4.0,2.0,0.0,2.0
439,1.0,2.0,0.0,0.0,0.0,5.0,3.0,7.0,8.0,6.0,0.0,2.0,0.0,0.0,0.0,12.0,10.0,14.0,33.0,6.0,3.0
43_ref1,1.0,1.0,1.0,2.0,4.0,3.0,790.0,3.0,43.0,3.0,2.0,0.0,0.0,5.0,2.0,6.0,309.0,42.0,123.0,5.0,210.0
43_ref2,7.0,1.0,1.0,2.0,0.0,8.0,298.0,4.0,95.0,4.0,3.0,0.0,7.0,5.0,0.0,4.0,4.0,22.0,208.0,33.0,471.0
442,23.0,8.0,5.0,32.0,12.0,2.0,2.0,1.0,4.0,3.0,6.0,0.0,12.0,12.0,5.0,3.0,4.0,7.0,13.0,5.0,1.0
444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0
446,4.0,3.0,0.0,0.0,0.0,3.0,8.0,1.0,2.0,4.0,1.0,0.0,3.0,2.0,0.0,6.0,2.0,7.0,7.0,6.0,4.0
45,4.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,10.0,11.0,4.0,1.0
450,1.0,1.0,1.0,2.0,1.0,2.0,5.0,5.0,1.0,3.0,3.0,0.0,9.0,1.0,1.0,6.0,2.0,5.0,5.0,7.0,1.0
452,1.0,1.0,3.0,0.0,1.0,1.0,830.0,64.0,32.0,30.0,1.0,0.0,4.0,2.0,0.0,39.0,239.0,124.0,51.0,39.0,0.0
458,1.0,1.0,0.0,0.0,0.0,13.0,2.0,3.0,6.0,10.0,1.0,0.0,1.0,0.0,0.0,6.0,10.0,21.0,47.0,18.0,9.0
459,6.0,19.0,6.0,2.0,4.0,5.0,5.0,4.0,9.0,6.0,7.0,0.0,12.0,4.0,0.0,7.0,12.0,15.0,12.0,8.0,5.0
460,92.0,68.0,40.0,4.0,11.0,565.0,1139.0,295.0,215.0,138.0,17.0,220.0,47.0,22.0,11.0,308.0,48.0,2070.0,806.0,1127.0,13.0
466,4.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,3.0,1.0,1.0
468,75.0,112.0,22.0,51.0,21.0,14.0,58.0,15.0,19.0,12.0,38.0,1.0,46.0,49.0,33.0,25.0,15.0,26.0,37.0,27.0,9.0
470,29.0,9.0,3.0,7.0,5.0,6.0,9.0,5.0,6.0,1.0,39.0,8.0,9.0,5.0,2.0,5.0,9.0,6.0,13.0,12.0,3.0
473,2.0,3.0,0.0,5.0,2.0,9.0,7.0,10.0,12.0,9.0,4.0,0.0,7.0,1.0,1.0,4.0,13.0,10.0,20.0,18.0,12.0
475,35.0,21.0,23.0,8.0,7.0,83.0,69.0,139.0,84.0,74.0,27.0,2.0,97.0,23.0,3.0,97.0,135.0,242.0,291.0,177.0,62.0
476,52.0,0.0,18.0,3.0,1.0,217.0,144.0,423.0,187.0,340.0,10.0,0.0,56.0,4.0,2.0,152.0,276.0,510.0,482.0,336.0,579.0
48,7.0,2.0,3.0,3.0,3.0,2.0,7.0,5.0,7.0,3.0,8.0,3.0,4.0,2.0,2.0,5.0,2.0,8.0,21.0,4.0,4.0
485,33.0,11.0,9.0,3.0,1.0,4.0,1.0,2.0,3.0,0.0,2.0,3.0,4.0,4.0,0.0,7.0,0.0,5.0,1.0,7.0,2.0
486,18.0,1.0,10.0,5.0,4.0,12.0,16.0,11.0,13.0,20.0,16.0,3.0,33.0,9.0,2.0,6.0,4.0,21.0,14.0,28.0,8.0
491,37.0,1.0,12.0,11.0,25.0,5.0,2.0,3.0,11.0,2.0,32.0,2.0,43.0,21.0,11.0,12.0,1.0,11.0,16.0,12.0,10.0
493,6.0,0.0,3.0,4.0,1.0,6.0,5.0,6.0,4.0,7.0,4.0,3.0,11.0,6.0,1.0,7.0,3.0,10.0,7.0,8.0,6.0
495,10.0,0.0,1.0,1.0,0.0,18.0,6.0,12.0,20.0,9.0,2.0,0.0,22.0,1.0,0.0,17.0,4.0,44.0,57.0,28.0,6.0
50,3.0,3.0,4.0,5.0,5.0,1.0,2.0,0.0,2.0,0.0,11.0,18.0,13.0,3.0,6.0,2.0,2.0,2.0,7.0,3.0,2.0
503,0.0,1.0,0.0,1.0,0.0,3.0,5.0,2.0,5.0,1.0,2.0,0.0,5.0,0.0,1.0,8.0,0.0,5.0,12.0,5.0,7.0
507,3.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,20.0,26.0,32.0,26.0,9.0,4.0
508,10.0,4.0,2.0,5.0,0.0,11.0,4.0,7.0,12.0,7.0,0.0,4.0,10.0,0.0,3.0,14.0,2.0,37.0,18.0,25.0,3.0
52,3.0,0.0,1.0,0.0,2.0,7.0,15.0,1.0,6.0,6.0,1.0,0.0,6.0,2.0,0.0,5.0,3.0,7.0,5.0,10.0,3.0
520,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0
521,2.0,0.0,3.0,0.0,1.0,17.0,5.0,21.0,11.0,12.0,5.0,0.0,3.0,3.0,1.0,17.0,3.0,40.0,20.0,26.0,8.0
522,9.0,3.0,2.0,5.0,5.0,277.0,22.0,220.0,149.0,50.0,13.0,1.0,12.0,4.0,2.0,112.0,12.0,974.0,562.0,604.0,15.0
523,420.0,12.0,98.0,203.0,144.0,46.0,36.0,65.0,49.0,51.0,166.0,6.0,352.0,113.0,101.0,60.0,25.0,121.0,237.0,164.0,30.0
524,43.0,6.0,3.0,8.0,33.0,8.0,192.0,28.0,7.0,21.0,50.0,6.0,15.0,17.0,5.0,11.0,11.0,21.0,23.0,17.0,5.0
525,187.0,3.0,26.0,131.0,48.0,34.0,126.0,27.0,34.0,6.0,194.0,2.0,161.0,51.0,27.0,24.0,53.0,27.0,184.0,41.0,18.0
531,7.0,5.0,1.0,8.0,1.0,7.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,0.0,1.0,3.0,0.0,17.0,7.0,10.0,2.0
532,8.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,1.0,1.0,4.0,1.0,12.0,1.0
535,163.0,67.0,28.0,76.0,119.0,25.0,52.0,12.0,17.0,22.0,127.0,42.0,33.0,36.0,49.0,30.0,34.0,36.0,51.0,38.0,21.0
538,87.0,5.0,23.0,30.0,22.0,41.0,15.0,39.0,53.0,34.0,45.0,7.0,49.0,9.0,17.0,28.0,22.0,618.0,218.0,381.0,28.0
539,59.0,6.0,55.0,38.0,31.0,24.0,18.0,38.0,24.0,28.0,47.0,7.0,190.0,27.0,20.0,32.0,16.0,60.0,59.0,56.0,11.0
540,320.0,28.0,34.0,98.0,93.0,45.0,40.0,33.0,39.0,37.0,231.0,20.0,136.0,147.0,75.0,53.0,83.0,96.0,115.0,47.0,40.0
541,42.0,10.0,6.0,17.0,18.0,29.0,20.0,30.0,24.0,64.0,22.0,0.0,7.0,9.0,8.0,25.0,25.0,343.0,144.0,168.0,7.0
543,2.0,1.0,0.0,1.0,2.0,2.0,5.0,3.0,1.0,1.0,2.0,0.0,7.0,1.0,1.0,4.0,5.0,7.0,4.0,6.0,3.0
