strain_id,A_MTX_5-FC.ERG27_ACF2,A_MTX_Fluconazole.ERG27_ACF2,A_MTX_Metformin.ERG27_ACF2,A_MTX_Trifluoperazine.ERG27_ACF2,A_MTX_noDrug.ERG27_ACF2,A_noMTX_5-FC.ERG27_ACF2,A_noMTX_Fluconazole.ERG27_ACF2,A_noMTX_Metformin.ERG27_ACF2,A_noMTX_Trifluoperazine.ERG27_ACF2,A_noMTX_noDrug.ERG27_ACF2,B_MTX_5-FC.ERG27_ACF2,B_MTX_Fluconazole.ERG27_ACF2,B_MTX_Metformin.ERG27_ACF2,B_MTX_Trifluoperazine.ERG27_ACF2,B_MTX_noDrug.ERG27_ACF2,B_noMTX_5-FC.ERG27_ACF2,B_noMTX_Fluconazole.ERG27_ACF2,B_noMTX_Metformin.ERG27_ACF2,B_noMTX_Trifluoperazine.ERG27_ACF2,B_noMTX_noDrug.ERG27_ACF2,T0_noMTX_noDrug.ERG27_ACF2
226,8.0,1.0,2.0,9.0,2.0,0.0,3.0,2.0,3.0,5.0,9.0,0.0,6.0,2.0,9.0,0.0,0.0,2.0,3.0,3.0,4.0
235,1.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,13.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,23.0,2.0,40.0
240,4.0,0.0,16.0,17.0,26.0,7.0,0.0,14.0,3.0,33.0,34.0,0.0,37.0,7.0,2.0,1.0,52.0,0.0,2.0,6.0,0.0
248,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,3.0,1.0,0.0
250,2.0,0.0,0.0,0.0,0.0,21.0,114.0,59.0,28.0,18.0,0.0,1.0,2.0,0.0,0.0,24.0,132.0,5.0,44.0,20.0,14.0
252,2.0,0.0,0.0,2.0,6.0,2.0,7.0,5.0,2.0,5.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0
253,2.0,5.0,1.0,1.0,3.0,7.0,66.0,11.0,9.0,7.0,2.0,1.0,5.0,1.0,0.0,3.0,10.0,54.0,28.0,13.0,5.0
254,0.0,0.0,1.0,12.0,1.0,247.0,423.0,516.0,537.0,456.0,1.0,2.0,9.0,0.0,1.0,236.0,302.0,129.0,864.0,258.0,231.0
257,6.0,0.0,2.0,4.0,5.0,18.0,138.0,76.0,32.0,103.0,1.0,0.0,2.0,0.0,0.0,47.0,228.0,10.0,77.0,50.0,110.0
258,500.0,343.0,193.0,1278.0,1269.0,496.0,67.0,656.0,402.0,615.0,795.0,101.0,584.0,172.0,554.0,667.0,269.0,74.0,808.0,241.0,220.0
27,42.0,0.0,23.0,22.0,12.0,8.0,12.0,61.0,28.0,48.0,115.0,0.0,33.0,3.0,4.0,22.0,0.0,7.0,35.0,25.0,11.0
270,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,1.0
271,2.0,0.0,3.0,1.0,0.0,58.0,88.0,247.0,85.0,208.0,3.0,0.0,10.0,0.0,1.0,73.0,130.0,42.0,256.0,137.0,73.0
272,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
277,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
286,205.0,30.0,252.0,663.0,117.0,45.0,31.0,99.0,97.0,128.0,322.0,19.0,726.0,199.0,103.0,57.0,59.0,34.0,168.0,71.0,55.0
289,0.0,4.0,3.0,1.0,1.0,14.0,15.0,25.0,22.0,24.0,1.0,1.0,2.0,1.0,0.0,43.0,2.0,10.0,26.0,19.0,22.0
29,0.0,1.0,2.0,0.0,0.0,3.0,3.0,6.0,8.0,4.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,2.0,8.0,0.0,1.0
291,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
294,3.0,1.0,2.0,2.0,0.0,22.0,119.0,54.0,37.0,81.0,0.0,2.0,7.0,0.0,0.0,29.0,15.0,8.0,53.0,35.0,41.0
296,0.0,1.0,0.0,0.0,0.0,76.0,198.0,174.0,62.0,89.0,0.0,0.0,1.0,0.0,0.0,64.0,30.0,38.0,73.0,95.0,25.0
299,0.0,0.0,1.0,3.0,0.0,69.0,6.0,40.0,83.0,75.0,1.0,0.0,4.0,0.0,2.0,83.0,3.0,23.0,183.0,39.0,29.0
307,3.0,0.0,0.0,4.0,0.0,24.0,335.0,79.0,84.0,86.0,7.0,0.0,6.0,0.0,0.0,51.0,19.0,12.0,86.0,40.0,43.0
308,0.0,0.0,0.0,1.0,0.0,2.0,7.0,5.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,10.0
31,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0
312,139.0,37.0,307.0,67.0,100.0,151.0,2.0,177.0,61.0,170.0,229.0,80.0,243.0,74.0,43.0,99.0,2.0,17.0,103.0,61.0,43.0
32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
320,32.0,11.0,24.0,47.0,49.0,32.0,67.0,30.0,36.0,18.0,44.0,3.0,102.0,15.0,49.0,28.0,14.0,33.0,51.0,28.0,6.0
323,0.0,3.0,0.0,1.0,0.0,16.0,46.0,5.0,9.0,26.0,0.0,0.0,5.0,0.0,1.0,5.0,10.0,9.0,10.0,12.0,18.0
325,3.0,0.0,3.0,1.0,0.0,34.0,185.0,42.0,38.0,49.0,7.0,0.0,22.0,1.0,3.0,49.0,253.0,23.0,98.0,35.0,20.0
33,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,5.0
335,63.0,13.0,75.0,53.0,6.0,34.0,1.0,164.0,56.0,176.0,27.0,0.0,163.0,17.0,26.0,60.0,70.0,16.0,137.0,48.0,62.0
336,49.0,0.0,33.0,17.0,41.0,73.0,9.0,64.0,36.0,65.0,140.0,0.0,56.0,14.0,1.0,57.0,29.0,11.0,131.0,23.0,72.0
337,4.0,3.0,5.0,1.0,0.0,358.0,55.0,490.0,234.0,518.0,0.0,1.0,18.0,0.0,2.0,411.0,119.0,87.0,411.0,256.0,159.0
339,29.0,6.0,47.0,45.0,28.0,16.0,5.0,35.0,10.0,46.0,2.0,0.0,199.0,4.0,36.0,9.0,2.0,22.0,45.0,30.0,15.0
347,1.0,0.0,0.0,0.0,0.0,170.0,13.0,276.0,73.0,98.0,0.0,0.0,1.0,1.0,0.0,209.0,6.0,90.0,142.0,65.0,91.0
348,1.0,3.0,0.0,2.0,2.0,2.0,0.0,4.0,2.0,0.0,5.0,1.0,3.0,0.0,0.0,1.0,4.0,3.0,3.0,4.0,21.0
350,2054.0,54.0,375.0,2384.0,3281.0,163.0,81.0,158.0,130.0,210.0,2907.0,1.0,589.0,1169.0,494.0,233.0,213.0,31.0,278.0,59.0,95.0
354,1.0,0.0,0.0,4.0,2.0,82.0,180.0,134.0,82.0,207.0,1.0,0.0,6.0,0.0,5.0,120.0,309.0,39.0,180.0,75.0,103.0
358,20.0,412.0,57.0,148.0,190.0,13.0,64.0,27.0,32.0,105.0,28.0,3.0,48.0,43.0,97.0,21.0,11.0,2.0,112.0,37.0,23.0
359,65.0,1.0,16.0,96.0,129.0,4.0,2.0,19.0,6.0,15.0,32.0,0.0,89.0,120.0,73.0,0.0,0.0,1.0,2.0,2.0,8.0
36,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
364,3.0,1.0,3.0,2.0,0.0,7.0,87.0,3.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,27.0,1.0,5.0,0.0,3.0
375,75.0,0.0,162.0,43.0,8.0,173.0,13.0,123.0,129.0,97.0,8.0,1.0,181.0,30.0,4.0,99.0,1.0,25.0,136.0,58.0,53.0
383,0.0,2.0,0.0,1.0,0.0,24.0,0.0,26.0,20.0,26.0,2.0,0.0,2.0,0.0,2.0,41.0,1.0,27.0,4.0,11.0,14.0
385,0.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
392,1.0,9.0,1.0,7.0,3.0,12.0,7.0,36.0,16.0,50.0,3.0,6.0,2.0,0.0,4.0,7.0,2.0,12.0,36.0,14.0,13.0
397,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,7.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,2.0,2.0,1.0
399,7.0,58.0,7.0,1.0,0.0,1183.0,1531.0,856.0,592.0,978.0,1.0,65.0,23.0,4.0,7.0,1146.0,954.0,222.0,1194.0,415.0,239.0
40,455.0,175.0,127.0,862.0,266.0,45.0,20.0,85.0,47.0,109.0,1027.0,0.0,426.0,510.0,79.0,143.0,5.0,2.0,52.0,19.0,35.0
400,26.0,0.0,18.0,56.0,21.0,8.0,4.0,4.0,13.0,2.0,38.0,0.0,77.0,38.0,30.0,17.0,2.0,18.0,21.0,1.0,4.0
406,1.0,0.0,3.0,0.0,0.0,377.0,451.0,1094.0,538.0,866.0,0.0,0.0,16.0,0.0,1.0,442.0,925.0,421.0,1763.0,470.0,306.0
408,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,1.0
409,49.0,0.0,2.0,10.0,7.0,13.0,6.0,5.0,13.0,5.0,187.0,1.0,15.0,4.0,5.0,9.0,2.0,3.0,28.0,21.0,9.0
40_2,2.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,5.0,0.0,0.0,1.0,4.0,1.0,0.0
412,1.0,0.0,0.0,0.0,1.0,1.0,71.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,1.0
418,1.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0
419,1.0,1.0,1.0,2.0,1.0,6.0,5.0,3.0,7.0,8.0,0.0,0.0,5.0,0.0,3.0,3.0,4.0,11.0,5.0,7.0,2.0
420,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,9.0,2.0,2.0
421,2.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,2.0,6.0,1.0,9.0,2.0,3.0,1.0,0.0,2.0,4.0,4.0,2.0
426,7.0,1.0,4.0,17.0,8.0,4.0,11.0,11.0,15.0,11.0,21.0,0.0,28.0,12.0,6.0,5.0,3.0,6.0,9.0,2.0,2.0
43,0.0,0.0,0.0,2.0,0.0,22.0,9.0,16.0,12.0,22.0,1.0,0.0,1.0,0.0,0.0,14.0,12.0,0.0,10.0,8.0,23.0
431,1.0,0.0,4.0,0.0,0.0,49.0,32.0,125.0,54.0,182.0,1.0,0.0,3.0,2.0,0.0,109.0,17.0,21.0,48.0,55.0,53.0
433,11.0,0.0,5.0,13.0,3.0,3.0,6.0,10.0,14.0,21.0,3.0,0.0,24.0,2.0,14.0,2.0,4.0,5.0,6.0,2.0,0.0
434,136.0,4.0,100.0,26.0,28.0,35.0,12.0,57.0,6.0,28.0,22.0,2.0,386.0,21.0,21.0,4.0,2.0,11.0,19.0,18.0,9.0
437,14.0,5.0,6.0,21.0,20.0,2.0,6.0,4.0,13.0,10.0,17.0,0.0,26.0,5.0,3.0,2.0,3.0,8.0,7.0,0.0,3.0
438,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0
439,2.0,8.0,0.0,6.0,1.0,10.0,43.0,41.0,41.0,44.0,7.0,4.0,0.0,2.0,0.0,7.0,5.0,11.0,38.0,22.0,30.0
43_ref1,0.0,2.0,3.0,17.0,1.0,1.0,724.0,3.0,8.0,2.0,8.0,0.0,9.0,2.0,2.0,1.0,121.0,5.0,8.0,2.0,262.0
43_ref2,3.0,1.0,6.0,11.0,3.0,12.0,52.0,19.0,39.0,19.0,3.0,0.0,5.0,3.0,3.0,4.0,2.0,10.0,67.0,14.0,444.0
442,10.0,12.0,3.0,85.0,17.0,5.0,3.0,5.0,11.0,18.0,14.0,0.0,29.0,5.0,12.0,2.0,2.0,4.0,6.0,4.0,1.0
444,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0
446,0.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,2.0
45,0.0,0.0,1.0,4.0,0.0,1.0,1.0,5.0,7.0,9.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,10.0,1.0,0.0
450,2.0,0.0,0.0,2.0,1.0,3.0,13.0,2.0,4.0,7.0,0.0,1.0,4.0,0.0,1.0,2.0,2.0,6.0,6.0,3.0,4.0
452,4.0,0.0,1.0,2.0,2.0,1.0,4.0,3.0,6.0,2.0,3.0,0.0,7.0,2.0,1.0,4.0,1.0,6.0,1.0,0.0,0.0
458,3.0,0.0,1.0,2.0,3.0,77.0,15.0,235.0,185.0,286.0,1.0,0.0,6.0,0.0,1.0,71.0,12.0,69.0,283.0,117.0,138.0
459,8.0,0.0,2.0,4.0,1.0,6.0,6.0,10.0,7.0,10.0,6.0,0.0,11.0,2.0,3.0,1.0,2.0,12.0,13.0,5.0,0.0
460,152.0,23.0,27.0,16.0,13.0,221.0,72.0,569.0,257.0,962.0,191.0,28.0,63.0,25.0,15.0,288.0,88.0,60.0,465.0,303.0,299.0
466,3.0,0.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,6.0,8.0,1.0,2.0,4.0,0.0,2.0,1.0,3.0,5.0,2.0,2.0
468,289.0,75.0,131.0,478.0,743.0,140.0,45.0,190.0,165.0,243.0,241.0,1.0,286.0,80.0,92.0,105.0,80.0,63.0,312.0,94.0,92.0
470,19.0,3.0,3.0,18.0,17.0,5.0,24.0,9.0,7.0,7.0,92.0,6.0,15.0,6.0,15.0,6.0,14.0,8.0,16.0,3.0,3.0
473,2.0,0.0,4.0,12.0,1.0,141.0,324.0,433.0,131.0,274.0,2.0,1.0,9.0,1.0,2.0,212.0,232.0,107.0,321.0,166.0,83.0
475,25.0,1.0,36.0,13.0,6.0,1856.0,2766.0,6792.0,2592.0,4917.0,12.0,1.0,144.0,6.0,9.0,1604.0,2078.0,1263.0,5709.0,2985.0,2079.0
476,17.0,5.0,12.0,7.0,1.0,272.0,177.0,408.0,229.0,596.0,22.0,0.0,63.0,1.0,5.0,274.0,75.0,295.0,478.0,309.0,778.0
48,5.0,1.0,3.0,31.0,3.0,78.0,5.0,116.0,87.0,133.0,5.0,0.0,10.0,1.0,5.0,90.0,23.0,97.0,246.0,81.0,96.0
485,9.0,3.0,3.0,30.0,3.0,4.0,2.0,6.0,5.0,6.0,4.0,11.0,8.0,3.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0
486,35.0,14.0,189.0,22.0,18.0,40.0,31.0,100.0,92.0,201.0,35.0,6.0,512.0,19.0,3.0,69.0,16.0,32.0,121.0,78.0,41.0
491,185.0,2.0,321.0,86.0,2348.0,39.0,68.0,91.0,48.0,72.0,89.0,8.0,788.0,143.0,61.0,69.0,148.0,15.0,144.0,36.0,96.0
493,57.0,0.0,38.0,41.0,12.0,24.0,101.0,65.0,39.0,56.0,4.0,1.0,178.0,1.0,2.0,24.0,51.0,22.0,74.0,35.0,53.0
495,5.0,0.0,5.0,13.0,3.0,276.0,13.0,249.0,147.0,378.0,2.0,0.0,32.0,2.0,3.0,152.0,65.0,46.0,304.0,141.0,141.0
50,2.0,1.0,5.0,55.0,3.0,3.0,9.0,10.0,13.0,15.0,5.0,26.0,25.0,3.0,1.0,3.0,2.0,6.0,14.0,2.0,4.0
503,1.0,0.0,0.0,3.0,1.0,79.0,34.0,200.0,88.0,182.0,6.0,0.0,20.0,0.0,1.0,51.0,9.0,36.0,185.0,49.0,118.0
507,0.0,2.0,1.0,12.0,5.0,143.0,48.0,322.0,183.0,649.0,1.0,0.0,6.0,1.0,0.0,235.0,109.0,22.0,309.0,196.0,284.0
508,7.0,1.0,7.0,5.0,2.0,70.0,4.0,118.0,46.0,81.0,1.0,2.0,13.0,1.0,4.0,47.0,16.0,12.0,32.0,54.0,66.0
52,2.0,0.0,0.0,2.0,2.0,5.0,45.0,7.0,6.0,2.0,1.0,0.0,7.0,0.0,1.0,11.0,9.0,9.0,7.0,2.0,1.0
520,2.0,0.0,4.0,3.0,0.0,4.0,3.0,4.0,3.0,1.0,4.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,7.0,1.0,0.0
521,10.0,1.0,13.0,22.0,10.0,17.0,5.0,22.0,32.0,27.0,8.0,0.0,40.0,7.0,5.0,13.0,9.0,27.0,26.0,7.0,28.0
522,11.0,0.0,3.0,28.0,5.0,236.0,139.0,317.0,166.0,318.0,7.0,0.0,20.0,2.0,2.0,227.0,176.0,198.0,461.0,210.0,158.0
523,6481.0,296.0,5010.0,8173.0,5795.0,1618.0,1190.0,4091.0,2014.0,3020.0,6979.0,107.0,11413.0,3935.0,1519.0,1836.0,1810.0,1446.0,4964.0,1786.0,717.0
524,192.0,42.0,57.0,88.0,70.0,131.0,45.0,174.0,77.0,239.0,392.0,11.0,180.0,45.0,18.0,114.0,51.0,22.0,93.0,46.0,101.0
525,11188.0,158.0,5793.0,7769.0,2817.0,4524.0,1655.0,4522.0,3106.0,3244.0,13559.0,31.0,14381.0,2464.0,1145.0,4714.0,7054.0,828.0,6782.0,1567.0,1362.0
531,12.0,4.0,2.0,26.0,3.0,8.0,2.0,26.0,7.0,45.0,1.0,2.0,11.0,1.0,1.0,7.0,1.0,3.0,18.0,7.0,7.0
532,2.0,4.0,2.0,47.0,1.0,7.0,10.0,9.0,20.0,19.0,3.0,1.0,6.0,1.0,2.0,2.0,2.0,3.0,6.0,2.0,1.0
535,41.0,32.0,12.0,58.0,17.0,20.0,53.0,21.0,14.0,17.0,83.0,35.0,46.0,9.0,35.0,27.0,6.0,15.0,38.0,9.0,8.0
538,41.0,7.0,24.0,69.0,83.0,14.0,15.0,21.0,18.0,5.0,88.0,6.0,81.0,30.0,34.0,8.0,1.0,25.0,43.0,14.0,6.0
539,649.0,3.0,947.0,667.0,139.0,42.0,14.0,207.0,142.0,201.0,313.0,0.0,1638.0,213.0,85.0,77.0,7.0,39.0,202.0,101.0,43.0
540,7582.0,233.0,898.0,3510.0,4241.0,1940.0,836.0,1872.0,1329.0,1463.0,13019.0,79.0,2425.0,2591.0,738.0,2218.0,1544.0,228.0,1753.0,533.0,1077.0
