strain_id,A_MTX_5-FC.SSH1_PIS1,A_MTX_Fluconazole.SSH1_PIS1,A_MTX_Metformin.SSH1_PIS1,A_MTX_Trifluoperazine.SSH1_PIS1,A_MTX_noDrug.SSH1_PIS1,A_noMTX_5-FC.SSH1_PIS1,A_noMTX_Fluconazole.SSH1_PIS1,A_noMTX_Metformin.SSH1_PIS1,A_noMTX_Trifluoperazine.SSH1_PIS1,A_noMTX_noDrug.SSH1_PIS1,B_MTX_5-FC.SSH1_PIS1,B_MTX_Fluconazole.SSH1_PIS1,B_MTX_Metformin.SSH1_PIS1,B_MTX_Trifluoperazine.SSH1_PIS1,B_MTX_noDrug.SSH1_PIS1,B_noMTX_5-FC.SSH1_PIS1,B_noMTX_Fluconazole.SSH1_PIS1,B_noMTX_Metformin.SSH1_PIS1,B_noMTX_Trifluoperazine.SSH1_PIS1,B_noMTX_noDrug.SSH1_PIS1,T0_noMTX_noDrug.SSH1_PIS1
1040,18.0,26.0,33.0,47.0,13.0,987.0,45.0,2191.0,479.0,933.0,26.0,50.0,145.0,17.0,26.0,834.0,10.0,1577.0,1627.0,1241.0,39.0
1046,0.0,0.0,1.0,1.0,1.0,11.0,11.0,11.0,5.0,1.0,1.0,0.0,7.0,1.0,0.0,5.0,8.0,8.0,11.0,2.0,2.0
1050,8.0,2.0,7.0,12.0,18.0,10.0,2.0,19.0,9.0,4.0,9.0,0.0,50.0,8.0,6.0,9.0,1.0,21.0,25.0,7.0,3.0
1065,2.0,4.0,2.0,6.0,3.0,2.0,1.0,2.0,0.0,3.0,2.0,1.0,13.0,2.0,2.0,2.0,1.0,6.0,7.0,3.0,0.0
1069,4263.0,20716.0,2192.0,12026.0,39590.0,1876.0,4983.0,4287.0,865.0,1212.0,11875.0,39561.0,16426.0,13809.0,7569.0,1796.0,2456.0,3440.0,2653.0,1497.0,43.0
107,0.0,0.0,1.0,1.0,0.0,58.0,13.0,31.0,20.0,0.0,0.0,1.0,3.0,0.0,0.0,43.0,14.0,29.0,207.0,17.0,10.0
113,40.0,7.0,14.0,24.0,36.0,21.0,8.0,33.0,16.0,20.0,17.0,6.0,68.0,26.0,27.0,53.0,10.0,30.0,19.0,21.0,3.0
119,0.0,1.0,3.0,4.0,5.0,6.0,2.0,4.0,0.0,1.0,2.0,1.0,14.0,3.0,1.0,4.0,1.0,11.0,2.0,1.0,1.0
124,4.0,0.0,3.0,4.0,7.0,4.0,0.0,4.0,5.0,2.0,14.0,1.0,17.0,1.0,6.0,3.0,2.0,2.0,5.0,1.0,3.0
128,1.0,4.0,1.0,0.0,1.0,86.0,61.0,92.0,29.0,48.0,0.0,1.0,3.0,1.0,0.0,154.0,41.0,86.0,76.0,26.0,55.0
132,1.0,4.0,9.0,1.0,0.0,124.0,110.0,151.0,104.0,45.0,3.0,2.0,30.0,1.0,1.0,125.0,15.0,140.0,226.0,150.0,5.0
133,1.0,1.0,0.0,0.0,0.0,586.0,5.0,916.0,320.0,686.0,3.0,0.0,27.0,0.0,0.0,745.0,3.0,561.0,1065.0,430.0,4.0
136,2.0,0.0,0.0,3.0,1.0,152.0,82.0,227.0,217.0,22.0,2.0,1.0,4.0,0.0,0.0,76.0,28.0,200.0,377.0,88.0,0.0
14,185.0,36.0,99.0,149.0,99.0,366.0,7.0,496.0,137.0,539.0,684.0,33.0,515.0,93.0,123.0,198.0,15.0,605.0,564.0,588.0,73.0
146,466.0,76.0,3807.0,725.0,130.0,5702.0,7081.0,6419.0,1897.0,2441.0,1480.0,50.0,27175.0,414.0,240.0,4683.0,3727.0,5296.0,7182.0,3271.0,185.0
15,133.0,3.0,51.0,31.0,132.0,154.0,453.0,188.0,40.0,85.0,558.0,4.0,310.0,20.0,20.0,99.0,5.0,146.0,140.0,96.0,3.0
151,2.0,0.0,0.0,6.0,2.0,9.0,4.0,8.0,7.0,4.0,1.0,1.0,28.0,0.0,3.0,13.0,52.0,21.0,12.0,6.0,2.0
153,0.0,0.0,5.0,2.0,0.0,244.0,320.0,181.0,42.0,74.0,4.0,0.0,13.0,0.0,0.0,244.0,454.0,233.0,116.0,268.0,9.0
17,2.0,6.0,2.0,5.0,1.0,1.0,4.0,5.0,0.0,2.0,0.0,1.0,9.0,3.0,2.0,4.0,1.0,5.0,4.0,0.0,3.0
171,7.0,4.0,5.0,24.0,17.0,8.0,1.0,14.0,7.0,7.0,13.0,3.0,33.0,9.0,14.0,11.0,11.0,19.0,17.0,16.0,3.0
175,1.0,1.0,1.0,0.0,0.0,50.0,10.0,38.0,14.0,19.0,0.0,0.0,0.0,0.0,2.0,31.0,8.0,101.0,86.0,131.0,0.0
180,2.0,3.0,3.0,0.0,0.0,440.0,52.0,557.0,59.0,371.0,1.0,2.0,10.0,5.0,3.0,415.0,64.0,244.0,216.0,376.0,34.0
180_2,2.0,6.0,8.0,7.0,2.0,1080.0,16.0,744.0,227.0,697.0,11.0,1.0,57.0,1.0,5.0,1196.0,153.0,968.0,506.0,583.0,63.0
185,2.0,19.0,13.0,23.0,7.0,8.0,4.0,5.0,5.0,2.0,19.0,35.0,37.0,12.0,10.0,7.0,3.0,9.0,7.0,10.0,0.0
187,1.0,0.0,5.0,1.0,3.0,3.0,2.0,5.0,5.0,2.0,1.0,0.0,5.0,1.0,0.0,3.0,25.0,4.0,45.0,4.0,2.0
188,1.0,5.0,0.0,6.0,2.0,9.0,4.0,8.0,6.0,5.0,2.0,6.0,39.0,5.0,2.0,11.0,1.0,12.0,16.0,12.0,2.0
192,2.0,26.0,8.0,110.0,12.0,118.0,250.0,169.0,31.0,122.0,3.0,25.0,82.0,8.0,4.0,117.0,375.0,495.0,235.0,99.0,35.0
20,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,0.0,0.0,6.0,0.0,0.0,4.0,3.0,12.0,10.0,3.0,1.0
209,3.0,1.0,1.0,5.0,4.0,7.0,6.0,13.0,2.0,11.0,1.0,0.0,7.0,1.0,1.0,12.0,8.0,19.0,20.0,11.0,0.0
210,3.0,1.0,5.0,5.0,1.0,12.0,6.0,24.0,7.0,10.0,4.0,0.0,11.0,3.0,3.0,14.0,3.0,13.0,22.0,15.0,2.0
226,2.0,0.0,1.0,11.0,7.0,7.0,6.0,7.0,10.0,9.0,7.0,1.0,13.0,14.0,5.0,3.0,2.0,5.0,6.0,10.0,2.0
235,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,6.0,7.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,17.0,17.0,24.0,0.0
240,1.0,0.0,1.0,0.0,3.0,4.0,6.0,31.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0,0.0,10.0,4.0,2.0,1.0
248,2.0,0.0,3.0,2.0,2.0,3.0,1.0,13.0,1.0,3.0,3.0,0.0,6.0,0.0,1.0,5.0,0.0,7.0,9.0,8.0,2.0
250,1.0,0.0,3.0,1.0,0.0,222.0,3.0,123.0,38.0,48.0,2.0,0.0,2.0,1.0,4.0,206.0,1.0,123.0,160.0,6.0,21.0
252,53.0,12.0,0.0,83.0,201.0,3.0,27.0,10.0,5.0,7.0,35.0,0.0,14.0,31.0,88.0,5.0,12.0,18.0,18.0,3.0,0.0
253,1.0,4.0,3.0,0.0,1.0,6.0,4.0,25.0,8.0,12.0,2.0,1.0,10.0,1.0,4.0,8.0,1.0,19.0,9.0,12.0,2.0
254,1.0,2.0,6.0,1.0,1.0,336.0,31.0,231.0,69.0,222.0,2.0,0.0,4.0,0.0,1.0,218.0,7.0,417.0,359.0,359.0,29.0
257,1.0,2.0,2.0,1.0,1.0,178.0,8.0,142.0,15.0,135.0,0.0,0.0,3.0,0.0,0.0,201.0,182.0,300.0,224.0,51.0,9.0
258,54.0,2.0,52.0,26.0,2.0,172.0,371.0,231.0,41.0,68.0,62.0,3.0,667.0,23.0,4.0,141.0,2.0,135.0,196.0,112.0,5.0
27,2.0,0.0,0.0,5.0,2.0,4.0,1.0,15.0,3.0,6.0,1.0,0.0,8.0,2.0,2.0,9.0,1.0,8.0,12.0,5.0,0.0
270,0.0,0.0,0.0,0.0,0.0,2.0,19.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,5.0,1.0,0.0
271,0.0,0.0,2.0,2.0,0.0,14.0,8.0,27.0,1.0,6.0,0.0,3.0,2.0,0.0,0.0,14.0,2.0,18.0,5.0,3.0,1.0
272,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,5.0,2.0,0.0
277,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,0.0
286,9.0,2.0,6.0,0.0,4.0,472.0,6.0,427.0,87.0,265.0,5.0,1.0,8.0,1.0,2.0,480.0,14.0,219.0,637.0,417.0,14.0
289,1.0,0.0,1.0,1.0,0.0,187.0,142.0,701.0,98.0,122.0,0.0,1.0,5.0,0.0,0.0,165.0,0.0,172.0,158.0,238.0,14.0
29,0.0,4.0,3.0,5.0,0.0,8.0,2.0,14.0,3.0,4.0,2.0,0.0,6.0,0.0,1.0,16.0,2.0,11.0,12.0,9.0,0.0
291,2.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,1.0,0.0,6.0,0.0,0.0,4.0,8.0,2.0,2.0,2.0,1.0
294,2.0,10.0,4.0,12.0,0.0,3.0,6.0,29.0,4.0,7.0,5.0,5.0,15.0,0.0,0.0,13.0,15.0,13.0,12.0,13.0,1.0
296,0.0,1.0,0.0,1.0,0.0,197.0,11.0,210.0,26.0,155.0,0.0,1.0,1.0,0.0,0.0,190.0,5.0,149.0,66.0,81.0,18.0
299,1.0,0.0,0.0,0.0,1.0,8.0,398.0,19.0,2.0,11.0,1.0,0.0,9.0,1.0,0.0,15.0,757.0,189.0,25.0,6.0,1.0
307,2.0,1.0,1.0,0.0,2.0,0.0,1.0,13.0,3.0,2.0,2.0,2.0,13.0,0.0,1.0,2.0,1.0,7.0,6.0,4.0,0.0
308,3.0,0.0,1.0,3.0,4.0,3.0,4.0,7.0,4.0,5.0,7.0,0.0,16.0,1.0,3.0,8.0,4.0,9.0,11.0,5.0,0.0
31,3.0,0.0,1.0,0.0,3.0,4.0,0.0,5.0,2.0,1.0,3.0,0.0,5.0,4.0,4.0,6.0,0.0,1.0,5.0,0.0,1.0
311,0.0,0.0,2.0,0.0,1.0,5.0,9.0,16.0,5.0,2.0,1.0,0.0,5.0,0.0,0.0,5.0,8.0,10.0,7.0,6.0,1.0
312,9.0,13.0,10.0,12.0,7.0,11.0,2.0,18.0,3.0,4.0,19.0,1.0,15.0,2.0,4.0,6.0,2.0,10.0,3.0,2.0,3.0
32,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0
320,358.0,3.0,200.0,35.0,15.0,1252.0,124.0,1858.0,482.0,639.0,734.0,0.0,555.0,35.0,23.0,1544.0,25.0,1864.0,1475.0,1023.0,70.0
323,3.0,6.0,6.0,5.0,8.0,540.0,33.0,496.0,67.0,337.0,3.0,2.0,12.0,6.0,1.0,483.0,33.0,659.0,537.0,307.0,7.0
325,4.0,5.0,2.0,10.0,0.0,445.0,11.0,813.0,139.0,214.0,2.0,5.0,12.0,2.0,0.0,413.0,103.0,501.0,228.0,377.0,14.0
33,2.0,1.0,2.0,0.0,0.0,158.0,2.0,98.0,18.0,37.0,1.0,0.0,3.0,0.0,0.0,158.0,4.0,35.0,10.0,31.0,6.0
335,4.0,3.0,1.0,3.0,2.0,7.0,14.0,24.0,10.0,13.0,0.0,0.0,6.0,0.0,0.0,9.0,1.0,25.0,13.0,18.0,1.0
336,2.0,0.0,1.0,2.0,2.0,14.0,6.0,6.0,21.0,14.0,5.0,0.0,6.0,0.0,3.0,19.0,5.0,77.0,22.0,26.0,2.0
337,2.0,10.0,8.0,1.0,0.0,750.0,504.0,749.0,154.0,541.0,1.0,2.0,38.0,0.0,0.0,872.0,698.0,662.0,603.0,486.0,19.0
339,3.0,8.0,4.0,4.0,9.0,7.0,23.0,20.0,5.0,8.0,7.0,4.0,13.0,3.0,2.0,15.0,15.0,17.0,7.0,12.0,3.0
347,11.0,0.0,1.0,9.0,9.0,5.0,1.0,8.0,0.0,2.0,3.0,1.0,16.0,4.0,6.0,5.0,1.0,6.0,6.0,1.0,3.0
348,14.0,0.0,0.0,5.0,3.0,6.0,4.0,27.0,9.0,14.0,4.0,0.0,7.0,5.0,1.0,5.0,2.0,28.0,25.0,9.0,2.0
350,1088.0,63.0,283.0,211.0,163.0,1008.0,385.0,1900.0,568.0,643.0,3943.0,206.0,1873.0,249.0,208.0,1047.0,52.0,1710.0,1933.0,779.0,19.0
354,3.0,2.0,1.0,8.0,5.0,27.0,0.0,8.0,22.0,92.0,3.0,1.0,11.0,4.0,3.0,33.0,2.0,8.0,58.0,8.0,1.0
358,38.0,2.0,76.0,88.0,8.0,85.0,224.0,31.0,29.0,70.0,81.0,2.0,11.0,143.0,21.0,106.0,4.0,65.0,146.0,109.0,10.0
359,34.0,2.0,7.0,26.0,17.0,1.0,4.0,6.0,0.0,1.0,15.0,5.0,23.0,6.0,9.0,12.0,3.0,3.0,5.0,0.0,0.0
36,6.0,2.0,2.0,9.0,4.0,1.0,5.0,1.0,0.0,2.0,3.0,0.0,1.0,4.0,0.0,1.0,1.0,5.0,7.0,3.0,0.0
364,2.0,11.0,5.0,4.0,1.0,22.0,98.0,16.0,1.0,2.0,1.0,12.0,3.0,0.0,2.0,4.0,43.0,26.0,9.0,15.0,1.0
375,7.0,1.0,11.0,8.0,8.0,16.0,6.0,13.0,4.0,3.0,12.0,1.0,16.0,10.0,14.0,26.0,2.0,15.0,16.0,8.0,2.0
383,2.0,2.0,1.0,1.0,7.0,483.0,218.0,882.0,357.0,567.0,4.0,5.0,6.0,4.0,3.0,408.0,3.0,873.0,829.0,334.0,16.0
385,1.0,3.0,0.0,5.0,0.0,4.0,0.0,8.0,1.0,1.0,2.0,3.0,8.0,1.0,2.0,1.0,0.0,4.0,9.0,2.0,0.0
392,2.0,0.0,4.0,2.0,1.0,572.0,453.0,1101.0,197.0,488.0,1.0,1.0,3.0,5.0,2.0,511.0,367.0,746.0,1032.0,402.0,16.0
397,0.0,2.0,1.0,4.0,0.0,2.0,1.0,7.0,4.0,6.0,0.0,2.0,5.0,1.0,1.0,2.0,1.0,10.0,12.0,7.0,0.0
399,4.0,272.0,11.0,3.0,5.0,177.0,17.0,166.0,21.0,79.0,7.0,88.0,20.0,0.0,0.0,162.0,10.0,27.0,27.0,100.0,10.0
40,7.0,1.0,2.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,3.0,6.0,2.0,1.0,2.0,1.0,2.0,0.0
400,208.0,1.0,531.0,250.0,119.0,91.0,14.0,87.0,54.0,52.0,704.0,2.0,3178.0,227.0,206.0,144.0,4.0,94.0,186.0,103.0,19.0
406,0.0,0.0,5.0,1.0,1.0,8.0,11.0,52.0,20.0,6.0,0.0,0.0,11.0,0.0,1.0,19.0,10.0,15.0,24.0,15.0,3.0
408,0.0,1.0,0.0,1.0,0.0,7.0,2.0,5.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,7.0,2.0,2.0,0.0
409,1794.0,43.0,143.0,157.0,51.0,721.0,604.0,284.0,388.0,398.0,5790.0,41.0,502.0,185.0,72.0,929.0,66.0,298.0,865.0,361.0,25.0
40_2,0.0,0.0,1.0,1.0,15.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,12.0,2.0,2.0,5.0,2.0,3.0,0.0
412,49.0,0.0,2.0,32.0,17.0,6.0,20.0,6.0,2.0,3.0,23.0,0.0,18.0,16.0,10.0,4.0,28.0,13.0,9.0,5.0,1.0
418,0.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,3.0,7.0,3.0,0.0
419,0.0,1.0,4.0,4.0,2.0,268.0,2.0,152.0,57.0,104.0,6.0,1.0,11.0,2.0,1.0,164.0,9.0,520.0,127.0,132.0,1.0
420,0.0,0.0,0.0,1.0,0.0,3.0,0.0,9.0,6.0,1.0,1.0,0.0,4.0,0.0,0.0,11.0,0.0,10.0,7.0,8.0,1.0
421,167.0,2.0,1384.0,789.0,119.0,588.0,633.0,701.0,406.0,659.0,1148.0,36.0,2242.0,797.0,191.0,613.0,6.0,877.0,1138.0,442.0,6.0
426,3.0,21.0,11.0,35.0,7.0,5.0,59.0,17.0,6.0,6.0,9.0,16.0,51.0,9.0,6.0,7.0,62.0,48.0,12.0,8.0,1.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
431,1.0,4.0,5.0,1.0,1.0,9.0,5.0,9.0,21.0,7.0,1.0,2.0,10.0,0.0,0.0,7.0,15.0,48.0,10.0,17.0,5.0
433,4.0,0.0,6.0,5.0,5.0,65.0,919.0,127.0,34.0,26.0,2.0,4.0,24.0,3.0,6.0,90.0,395.0,240.0,174.0,26.0,29.0
434,10.0,2.0,20.0,8.0,9.0,496.0,44.0,597.0,74.0,407.0,15.0,5.0,30.0,2.0,9.0,490.0,4.0,951.0,140.0,592.0,23.0
437,16.0,10.0,13.0,39.0,20.0,4.0,6.0,20.0,8.0,9.0,22.0,6.0,62.0,14.0,37.0,12.0,58.0,26.0,17.0,18.0,0.0
438,0.0,3.0,0.0,1.0,5.0,196.0,648.0,132.0,21.0,31.0,0.0,3.0,12.0,0.0,2.0,151.0,345.0,141.0,44.0,42.0,3.0
439,1.0,19.0,6.0,3.0,2.0,7.0,27.0,29.0,13.0,5.0,3.0,19.0,9.0,0.0,0.0,24.0,39.0,34.0,11.0,12.0,1.0
43_ref1,0.0,0.0,0.0,1.0,0.0,24.0,108.0,3.0,2.0,3.0,2.0,1.0,5.0,1.0,3.0,37.0,64.0,11.0,1.0,4.0,178.0
43_ref2,4.0,1.0,3.0,8.0,3.0,96.0,1.0,17.0,14.0,17.0,12.0,0.0,9.0,1.0,12.0,97.0,10.0,31.0,30.0,29.0,130.0
442,16.0,5.0,5.0,27.0,14.0,9.0,4.0,17.0,4.0,11.0,11.0,7.0,37.0,12.0,12.0,10.0,2.0,13.0,17.0,21.0,2.0
444,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,6.0,6.0,4.0,0.0
446,2.0,3.0,4.0,6.0,0.0,52.0,1087.0,347.0,93.0,12.0,1.0,4.0,11.0,0.0,0.0,83.0,649.0,561.0,255.0,205.0,49.0
45,0.0,3.0,3.0,4.0,1.0,6.0,6.0,25.0,6.0,8.0,0.0,0.0,19.0,1.0,0.0,10.0,10.0,11.0,13.0,9.0,0.0
450,1.0,12.0,1.0,4.0,4.0,419.0,22.0,671.0,119.0,145.0,1.0,1.0,9.0,3.0,2.0,197.0,25.0,349.0,218.0,555.0,44.0
452,1.0,12.0,5.0,6.0,7.0,11.0,49.0,19.0,6.0,5.0,5.0,0.0,11.0,0.0,2.0,9.0,33.0,27.0,9.0,8.0,2.0
458,0.0,0.0,1.0,6.0,1.0,395.0,8.0,553.0,28.0,208.0,0.0,3.0,4.0,1.0,1.0,325.0,4.0,235.0,73.0,199.0,23.0
459,24.0,1.0,6.0,1.0,2.0,19.0,2.0,21.0,6.0,5.0,62.0,0.0,16.0,0.0,1.0,21.0,2.0,15.0,15.0,13.0,4.0
460,406.0,144.0,713.0,335.0,69.0,1854.0,1205.0,3409.0,626.0,1324.0,1235.0,507.0,5010.0,185.0,45.0,2051.0,469.0,2252.0,2272.0,1739.0,78.0
466,7.0,1.0,1.0,9.0,8.0,8.0,4.0,20.0,9.0,10.0,15.0,0.0,16.0,1.0,5.0,14.0,1.0,12.0,24.0,21.0,1.0
468,34.0,4.0,23.0,71.0,86.0,272.0,10.0,450.0,85.0,462.0,49.0,1.0,123.0,167.0,60.0,317.0,7.0,517.0,555.0,302.0,5.0
470,22.0,989.0,2.0,23.0,180.0,20.0,20.0,37.0,12.0,10.0,40.0,82.0,20.0,891.0,7.0,28.0,15.0,29.0,22.0,19.0,5.0
473,1.0,2.0,5.0,4.0,6.0,11.0,7.0,41.0,7.0,18.0,4.0,2.0,7.0,2.0,7.0,12.0,3.0,20.0,24.0,10.0,3.0
475,5.0,8.0,114.0,11.0,4.0,5334.0,4010.0,18417.0,2379.0,3991.0,15.0,7.0,260.0,3.0,5.0,5699.0,3206.0,9261.0,10749.0,4357.0,265.0
476,3.0,2.0,26.0,6.0,1.0,4924.0,3964.0,12952.0,3619.0,3825.0,4.0,2.0,67.0,2.0,1.0,4123.0,249.0,8768.0,11703.0,3782.0,624.0
48,2.0,2.0,6.0,9.0,3.0,14.0,2.0,19.0,6.0,7.0,8.0,1.0,47.0,3.0,3.0,21.0,10.0,13.0,12.0,5.0,24.0
485,6.0,2.0,14.0,4.0,3.0,6.0,1.0,9.0,3.0,4.0,6.0,1.0,20.0,1.0,2.0,21.0,0.0,6.0,5.0,5.0,2.0
486,3.0,2.0,4.0,6.0,2.0,3.0,5.0,20.0,5.0,8.0,4.0,0.0,36.0,2.0,6.0,15.0,3.0,8.0,18.0,8.0,2.0
491,12.0,6.0,23.0,16.0,12.0,16.0,6.0,99.0,21.0,19.0,19.0,0.0,92.0,9.0,13.0,29.0,3.0,63.0,60.0,36.0,7.0
493,3.0,0.0,1.0,2.0,2.0,10.0,2.0,17.0,5.0,4.0,11.0,2.0,15.0,1.0,3.0,3.0,6.0,14.0,9.0,2.0,1.0
495,4.0,2.0,16.0,4.0,2.0,1609.0,109.0,1218.0,380.0,747.0,6.0,1.0,36.0,1.0,1.0,1618.0,234.0,1435.0,1419.0,818.0,90.0
50,4.0,4.0,85.0,114.0,3.0,15.0,8.0,58.0,6.0,7.0,7.0,6.0,296.0,11.0,5.0,21.0,9.0,28.0,68.0,16.0,13.0
503,0.0,3.0,2.0,2.0,1.0,5.0,2.0,13.0,10.0,2.0,3.0,0.0,8.0,0.0,2.0,15.0,1.0,10.0,27.0,6.0,0.0
507,0.0,0.0,0.0,0.0,1.0,43.0,6.0,28.0,36.0,22.0,0.0,0.0,6.0,1.0,1.0,60.0,6.0,31.0,118.0,27.0,31.0
508,1.0,57.0,1.0,4.0,1.0,19.0,5.0,39.0,19.0,5.0,2.0,0.0,10.0,3.0,2.0,30.0,4.0,46.0,34.0,21.0,4.0
52,0.0,0.0,0.0,1.0,0.0,6.0,1.0,3.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,7.0,3.0,3.0,6.0,4.0,0.0
520,2.0,4.0,4.0,0.0,3.0,9.0,1.0,24.0,4.0,7.0,3.0,1.0,9.0,3.0,0.0,9.0,1.0,11.0,13.0,7.0,2.0
521,3.0,0.0,17.0,1.0,2.0,81.0,19.0,195.0,79.0,18.0,8.0,4.0,37.0,3.0,0.0,111.0,31.0,149.0,573.0,45.0,7.0
522,8.0,7.0,7.0,16.0,7.0,21.0,20.0,69.0,16.0,17.0,10.0,3.0,55.0,1.0,14.0,40.0,6.0,31.0,38.0,20.0,1.0
523,1631.0,354.0,2445.0,842.0,349.0,2834.0,1667.0,4352.0,1341.0,1678.0,5229.0,291.0,12690.0,761.0,373.0,3061.0,164.0,3480.0,4392.0,1920.0,34.0
524,617.0,307.0,213.0,187.0,57.0,761.0,1672.0,2203.0,436.0,683.0,1657.0,212.0,2854.0,181.0,181.0,1002.0,827.0,1299.0,1483.0,840.0,55.0
525,514.0,2.0,773.0,146.0,94.0,1199.0,88.0,2271.0,392.0,733.0,2142.0,9.0,1656.0,910.0,160.0,1134.0,106.0,1865.0,939.0,826.0,36.0
531,3.0,3.0,5.0,4.0,3.0,3.0,5.0,6.0,2.0,2.0,4.0,4.0,22.0,3.0,2.0,2.0,1.0,6.0,9.0,3.0,1.0
532,4.0,10.0,3.0,15.0,6.0,5.0,5.0,12.0,8.0,3.0,2.0,7.0,35.0,2.0,2.0,1.0,3.0,7.0,13.0,6.0,0.0
535,2568.0,4157.0,591.0,571.0,251.0,2757.0,166.0,3100.0,628.0,1107.0,7637.0,2439.0,4821.0,264.0,295.0,1634.0,602.0,1641.0,2320.0,1489.0,84.0
538,1271.0,235.0,1488.0,2586.0,701.0,1563.0,2891.0,2854.0,702.0,1197.0,3144.0,474.0,5204.0,2092.0,291.0,1623.0,1440.0,1903.0,2144.0,1076.0,31.0
539,2227.0,16171.0,2326.0,4491.0,3591.0,1024.0,818.0,918.0,172.0,1179.0,9234.0,26732.0,14758.0,5614.0,6051.0,941.0,951.0,1649.0,468.0,669.0,33.0
540,2051.0,194.0,1095.0,2433.0,704.0,2153.0,1127.0,3270.0,596.0,1124.0,5422.0,484.0,5758.0,3266.0,900.0,1967.0,419.0,2712.0,2345.0,1818.0,173.0
