strain_id,A_MTX_5-FC.SSH1_ERV25,A_MTX_Fluconazole.SSH1_ERV25,A_MTX_Metformin.SSH1_ERV25,A_MTX_Trifluoperazine.SSH1_ERV25,A_MTX_noDrug.SSH1_ERV25,A_noMTX_5-FC.SSH1_ERV25,A_noMTX_Fluconazole.SSH1_ERV25,A_noMTX_Metformin.SSH1_ERV25,A_noMTX_Trifluoperazine.SSH1_ERV25,A_noMTX_noDrug.SSH1_ERV25,B_MTX_5-FC.SSH1_ERV25,B_MTX_Fluconazole.SSH1_ERV25,B_MTX_Metformin.SSH1_ERV25,B_MTX_Trifluoperazine.SSH1_ERV25,B_MTX_noDrug.SSH1_ERV25,B_noMTX_5-FC.SSH1_ERV25,B_noMTX_Fluconazole.SSH1_ERV25,B_noMTX_Metformin.SSH1_ERV25,B_noMTX_Trifluoperazine.SSH1_ERV25,B_noMTX_noDrug.SSH1_ERV25,T0_noMTX_noDrug.SSH1_ERV25
1050,34.0,4.0,14.0,31.0,10.0,10.0,3.0,9.0,10.0,5.0,11.0,2.0,23.0,12.0,9.0,16.0,5.0,9.0,9.0,25.0,2.0
1065,4.0,16.0,2.0,5.0,0.0,2.0,4.0,2.0,5.0,1.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
1069,5718.0,7886.0,1318.0,1212.0,2240.0,1009.0,2306.0,840.0,816.0,640.0,1606.0,5343.0,1631.0,1494.0,1242.0,340.0,2242.0,1066.0,802.0,2216.0,366.0
107,1.0,1.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,7.0,9.0,1.0,3.0,3.0,1.0
113,14.0,8.0,2.0,3.0,3.0,32.0,2.0,9.0,15.0,3.0,12.0,2.0,8.0,1.0,3.0,7.0,6.0,21.0,24.0,72.0,15.0
119,21.0,2.0,1.0,10.0,3.0,5.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,8.0,7.0,3.0
124,291.0,5.0,153.0,95.0,261.0,34.0,2.0,35.0,25.0,20.0,90.0,1.0,119.0,34.0,26.0,29.0,5.0,31.0,48.0,117.0,20.0
128,1.0,0.0,0.0,1.0,1.0,338.0,42.0,157.0,109.0,144.0,1.0,2.0,8.0,1.0,1.0,96.0,10.0,82.0,153.0,249.0,84.0
132,14.0,1.0,39.0,3.0,0.0,322.0,527.0,304.0,329.0,247.0,1.0,45.0,58.0,0.0,0.0,76.0,824.0,421.0,205.0,802.0,98.0
133,3.0,8.0,10.0,0.0,0.0,129.0,89.0,71.0,44.0,64.0,5.0,0.0,19.0,1.0,0.0,73.0,74.0,52.0,44.0,90.0,21.0
136,0.0,0.0,8.0,4.0,0.0,42.0,2.0,147.0,22.0,58.0,0.0,1.0,6.0,1.0,0.0,22.0,6.0,39.0,40.0,37.0,17.0
14,1273.0,67.0,397.0,1017.0,499.0,274.0,63.0,573.0,288.0,196.0,285.0,33.0,200.0,709.0,544.0,221.0,44.0,221.0,357.0,837.0,149.0
146,3403.0,161.0,1331.0,1807.0,1852.0,1303.0,1693.0,1530.0,1158.0,797.0,1265.0,80.0,1287.0,1332.0,1041.0,714.0,1651.0,1052.0,1348.0,3005.0,408.0
15,97.0,53.0,106.0,48.0,40.0,84.0,26.0,84.0,67.0,43.0,183.0,0.0,74.0,81.0,44.0,49.0,2.0,27.0,21.0,212.0,22.0
151,7.0,1.0,3.0,1.0,1.0,33.0,32.0,40.0,33.0,22.0,2.0,0.0,6.0,1.0,2.0,11.0,313.0,85.0,43.0,79.0,22.0
153,0.0,1.0,12.0,1.0,0.0,563.0,118.0,230.0,263.0,296.0,1.0,1.0,9.0,0.0,0.0,131.0,199.0,250.0,146.0,523.0,84.0
17,7.0,6.0,2.0,3.0,4.0,0.0,3.0,1.0,3.0,0.0,3.0,3.0,0.0,5.0,1.0,2.0,2.0,0.0,2.0,3.0,2.0
171,39.0,1.0,10.0,21.0,13.0,11.0,13.0,8.0,11.0,5.0,6.0,0.0,10.0,13.0,9.0,5.0,12.0,3.0,4.0,17.0,3.0
175,2.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0
180,2.0,11.0,6.0,2.0,0.0,420.0,8.0,56.0,126.0,237.0,5.0,18.0,2.0,0.0,0.0,42.0,44.0,73.0,65.0,322.0,105.0
180_2,7.0,23.0,42.0,18.0,26.0,927.0,770.0,926.0,227.0,662.0,85.0,8.0,44.0,13.0,12.0,817.0,1151.0,716.0,388.0,1077.0,230.0
185,51.0,4.0,11.0,24.0,16.0,8.0,4.0,4.0,16.0,9.0,9.0,5.0,20.0,19.0,15.0,5.0,7.0,5.0,4.0,23.0,3.0
187,1.0,0.0,3.0,1.0,1.0,58.0,13.0,10.0,35.0,32.0,2.0,1.0,3.0,1.0,2.0,6.0,30.0,33.0,42.0,71.0,8.0
188,12.0,28.0,28.0,2.0,4.0,88.0,4.0,231.0,114.0,59.0,3.0,12.0,46.0,2.0,0.0,40.0,11.0,170.0,41.0,57.0,10.0
192,20.0,25.0,4.0,8.0,5.0,42.0,24.0,26.0,29.0,14.0,10.0,14.0,8.0,12.0,3.0,42.0,9.0,9.0,23.0,47.0,7.0
20,2.0,0.0,4.0,0.0,0.0,83.0,11.0,16.0,54.0,82.0,1.0,0.0,7.0,0.0,1.0,12.0,656.0,316.0,41.0,242.0,21.0
209,0.0,1.0,20.0,0.0,0.0,48.0,187.0,75.0,58.0,29.0,3.0,2.0,34.0,1.0,1.0,69.0,102.0,78.0,28.0,95.0,26.0
210,19.0,2.0,6.0,16.0,2.0,141.0,3.0,184.0,46.0,113.0,3.0,0.0,3.0,4.0,9.0,55.0,3.0,62.0,62.0,158.0,9.0
226,130.0,5.0,6.0,31.0,24.0,35.0,5.0,3.0,16.0,26.0,61.0,5.0,26.0,12.0,10.0,14.0,16.0,17.0,21.0,17.0,33.0
235,2.0,0.0,6.0,2.0,0.0,63.0,24.0,45.0,21.0,27.0,0.0,0.0,1.0,1.0,0.0,14.0,2.0,20.0,10.0,16.0,14.0
240,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
248,23.0,63.0,0.0,17.0,1.0,136.0,15.0,99.0,166.0,47.0,56.0,45.0,30.0,9.0,5.0,33.0,14.0,54.0,281.0,224.0,18.0
250,3.0,5.0,0.0,0.0,0.0,37.0,42.0,241.0,22.0,6.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,19.0,43.0,29.0,10.0
252,5.0,7.0,3.0,1.0,0.0,183.0,11.0,34.0,63.0,21.0,1.0,3.0,1.0,1.0,5.0,111.0,41.0,49.0,121.0,167.0,22.0
253,0.0,1.0,1.0,0.0,1.0,53.0,0.0,80.0,44.0,33.0,1.0,1.0,2.0,0.0,0.0,30.0,6.0,23.0,88.0,79.0,15.0
254,3.0,1.0,51.0,3.0,0.0,95.0,339.0,338.0,174.0,158.0,1.0,2.0,31.0,4.0,0.0,88.0,722.0,267.0,155.0,584.0,44.0
257,1.0,0.0,2.0,0.0,0.0,33.0,154.0,21.0,35.0,20.0,2.0,1.0,1.0,2.0,0.0,20.0,174.0,45.0,32.0,40.0,13.0
258,346.0,2.0,82.0,144.0,216.0,134.0,19.0,118.0,94.0,45.0,154.0,55.0,107.0,82.0,48.0,51.0,51.0,55.0,50.0,300.0,35.0
27,3.0,1.0,5.0,6.0,3.0,36.0,1.0,21.0,45.0,13.0,0.0,3.0,7.0,1.0,1.0,41.0,5.0,17.0,46.0,21.0,6.0
270,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,2.0,0.0,6.0,1.0
271,0.0,0.0,2.0,0.0,0.0,96.0,39.0,73.0,34.0,32.0,0.0,0.0,15.0,1.0,0.0,56.0,23.0,29.0,22.0,124.0,23.0
272,0.0,0.0,14.0,0.0,0.0,253.0,1.0,165.0,133.0,165.0,1.0,0.0,17.0,2.0,0.0,84.0,12.0,90.0,196.0,313.0,37.0
277,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0
286,196.0,71.0,104.0,52.0,254.0,76.0,0.0,52.0,45.0,48.0,32.0,79.0,25.0,31.0,32.0,20.0,6.0,18.0,11.0,108.0,22.0
289,2.0,1.0,5.0,0.0,0.0,71.0,36.0,94.0,65.0,36.0,1.0,3.0,7.0,0.0,1.0,24.0,315.0,111.0,21.0,156.0,27.0
29,4.0,4.0,1.0,1.0,2.0,119.0,10.0,45.0,71.0,2.0,3.0,2.0,5.0,1.0,2.0,23.0,0.0,64.0,83.0,68.0,17.0
291,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,4.0,0.0
294,8.0,1.0,28.0,0.0,0.0,118.0,12.0,96.0,87.0,32.0,1.0,1.0,14.0,1.0,0.0,87.0,88.0,109.0,138.0,149.0,22.0
296,0.0,0.0,17.0,0.0,3.0,109.0,162.0,197.0,53.0,132.0,0.0,1.0,16.0,0.0,0.0,113.0,212.0,151.0,59.0,251.0,23.0
299,1.0,3.0,13.0,0.0,1.0,306.0,8.0,73.0,137.0,179.0,4.0,0.0,17.0,0.0,2.0,117.0,71.0,105.0,189.0,580.0,31.0
307,5.0,16.0,1.0,2.0,1.0,4.0,4.0,0.0,5.0,5.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,1.0
308,6.0,1.0,2.0,1.0,0.0,2.0,1.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,9.0,1.0
31,214.0,4.0,16.0,18.0,45.0,59.0,11.0,12.0,4.0,25.0,56.0,0.0,18.0,3.0,29.0,10.0,4.0,20.0,17.0,91.0,8.0
311,5.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,3.0,4.0,9.0,0.0
312,150.0,225.0,52.0,56.0,54.0,81.0,4.0,41.0,40.0,75.0,61.0,143.0,67.0,36.0,59.0,38.0,8.0,29.0,41.0,145.0,15.0
32,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
320,1662.0,166.0,448.0,326.0,260.0,1089.0,952.0,965.0,742.0,521.0,304.0,87.0,497.0,186.0,219.0,517.0,2711.0,989.0,1123.0,2005.0,113.0
323,1.0,11.0,3.0,7.0,6.0,55.0,6.0,20.0,28.0,19.0,13.0,1.0,0.0,3.0,0.0,23.0,98.0,67.0,14.0,131.0,11.0
325,5.0,8.0,33.0,4.0,1.0,687.0,178.0,227.0,104.0,268.0,1.0,1.0,21.0,2.0,0.0,177.0,641.0,314.0,167.0,665.0,69.0
33,0.0,0.0,1.0,1.0,0.0,105.0,72.0,46.0,43.0,49.0,2.0,0.0,1.0,0.0,2.0,54.0,7.0,36.0,49.0,139.0,43.0
335,1304.0,1.0,111.0,179.0,175.0,350.0,126.0,113.0,359.0,185.0,258.0,0.0,221.0,126.0,40.0,74.0,28.0,182.0,236.0,381.0,96.0
336,94.0,13.0,18.0,31.0,63.0,13.0,172.0,3.0,20.0,10.0,68.0,0.0,41.0,40.0,20.0,9.0,12.0,20.0,8.0,14.0,14.0
337,9.0,3.0,86.0,0.0,0.0,820.0,944.0,1116.0,507.0,755.0,1.0,3.0,118.0,0.0,2.0,373.0,2023.0,1463.0,323.0,2403.0,110.0
339,97.0,25.0,11.0,21.0,119.0,304.0,9.0,51.0,121.0,86.0,86.0,63.0,19.0,12.0,12.0,40.0,41.0,110.0,79.0,230.0,22.0
347,4.0,3.0,5.0,3.0,0.0,30.0,2.0,121.0,9.0,23.0,2.0,5.0,1.0,0.0,2.0,29.0,53.0,59.0,13.0,43.0,20.0
348,39.0,0.0,3.0,2.0,2.0,33.0,2.0,23.0,15.0,8.0,1.0,0.0,12.0,0.0,3.0,13.0,3.0,3.0,6.0,73.0,16.0
350,1531.0,1786.0,352.0,441.0,742.0,492.0,62.0,315.0,438.0,179.0,770.0,2386.0,178.0,485.0,687.0,182.0,262.0,212.0,360.0,647.0,95.0
354,6.0,3.0,1.0,2.0,1.0,39.0,1.0,24.0,21.0,22.0,2.0,3.0,4.0,0.0,1.0,11.0,25.0,32.0,56.0,88.0,17.0
358,4.0,92.0,1.0,8.0,38.0,1.0,3.0,2.0,6.0,0.0,3.0,0.0,1.0,7.0,12.0,5.0,1.0,3.0,0.0,18.0,1.0
359,323.0,22.0,194.0,210.0,792.0,47.0,2.0,29.0,23.0,35.0,238.0,1.0,254.0,352.0,741.0,2.0,3.0,29.0,11.0,38.0,15.0
36,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,0.0
364,109.0,392.0,8.0,19.0,8.0,19.0,7.0,14.0,11.0,20.0,11.0,715.0,1.0,19.0,16.0,8.0,8.0,8.0,13.0,27.0,11.0
375,128.0,3.0,18.0,63.0,42.0,65.0,262.0,19.0,39.0,47.0,30.0,0.0,13.0,61.0,74.0,20.0,983.0,242.0,14.0,66.0,10.0
383,4.0,10.0,1.0,0.0,2.0,98.0,2.0,39.0,29.0,83.0,1.0,4.0,3.0,0.0,1.0,51.0,4.0,21.0,72.0,96.0,13.0
385,2.0,45.0,0.0,2.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,4.0,1.0,0.0,2.0,1.0
392,5.0,10.0,3.0,2.0,6.0,328.0,69.0,261.0,123.0,202.0,3.0,9.0,3.0,1.0,1.0,168.0,719.0,327.0,262.0,546.0,63.0
397,11.0,2.0,10.0,1.0,0.0,16.0,34.0,23.0,131.0,12.0,2.0,0.0,2.0,0.0,0.0,14.0,4.0,42.0,131.0,65.0,69.0
399,12.0,112.0,45.0,3.0,1.0,597.0,145.0,286.0,443.0,210.0,7.0,23.0,53.0,0.0,1.0,171.0,451.0,373.0,390.0,570.0,63.0
40,272.0,14.0,80.0,77.0,341.0,1.0,0.0,0.0,11.0,6.0,22.0,310.0,48.0,88.0,48.0,0.0,0.0,8.0,2.0,13.0,7.0
400,2794.0,32.0,399.0,955.0,1388.0,416.0,373.0,345.0,226.0,296.0,1050.0,0.0,591.0,1081.0,800.0,225.0,227.0,308.0,215.0,1016.0,105.0
406,1.0,1.0,7.0,0.0,0.0,82.0,1791.0,134.0,71.0,51.0,2.0,3.0,7.0,0.0,0.0,65.0,1195.0,353.0,141.0,250.0,24.0
408,0.0,0.0,0.0,0.0,0.0,19.0,5.0,8.0,12.0,5.0,1.0,0.0,4.0,0.0,0.0,30.0,97.0,18.0,6.0,21.0,4.0
409,1599.0,235.0,153.0,421.0,311.0,1444.0,72.0,838.0,915.0,284.0,656.0,120.0,57.0,248.0,276.0,846.0,46.0,178.0,965.0,1101.0,134.0
40_2,5.0,0.0,0.0,4.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,6.0,1.0
412,5.0,0.0,0.0,1.0,4.0,1.0,6.0,1.0,3.0,0.0,8.0,0.0,0.0,0.0,1.0,6.0,11.0,4.0,0.0,4.0,0.0
418,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,9.0,0.0
419,4.0,0.0,9.0,5.0,27.0,655.0,19.0,319.0,365.0,477.0,13.0,2.0,34.0,2.0,0.0,256.0,7.0,169.0,238.0,584.0,29.0
420,1.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,6.0,7.0,2.0
421,1535.0,731.0,155.0,359.0,465.0,466.0,1634.0,168.0,180.0,236.0,186.0,400.0,222.0,126.0,288.0,124.0,1569.0,433.0,224.0,425.0,29.0
426,44.0,4.0,4.0,28.0,3.0,11.0,220.0,3.0,9.0,3.0,10.0,4.0,7.0,12.0,4.0,9.0,554.0,112.0,5.0,26.0,1.0
43,0.0,0.0,1.0,0.0,0.0,0.0,39.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0
431,2.0,0.0,6.0,0.0,0.0,48.0,36.0,23.0,67.0,39.0,0.0,0.0,11.0,0.0,0.0,28.0,58.0,49.0,30.0,322.0,23.0
433,15.0,2.0,20.0,16.0,8.0,31.0,13.0,16.0,31.0,11.0,21.0,2.0,8.0,9.0,2.0,19.0,8.0,22.0,33.0,52.0,39.0
434,466.0,166.0,952.0,197.0,313.0,390.0,175.0,286.0,328.0,392.0,379.0,22.0,555.0,219.0,197.0,104.0,87.0,333.0,349.0,430.0,69.0
437,31.0,16.0,7.0,23.0,29.0,13.0,1.0,21.0,12.0,8.0,44.0,7.0,7.0,9.0,13.0,4.0,8.0,5.0,11.0,26.0,2.0
438,2.0,1.0,1.0,0.0,0.0,87.0,74.0,20.0,25.0,12.0,3.0,3.0,2.0,1.0,0.0,24.0,103.0,46.0,21.0,52.0,51.0
439,4.0,41.0,1.0,2.0,1.0,20.0,9.0,29.0,68.0,13.0,0.0,6.0,3.0,1.0,0.0,18.0,42.0,48.0,134.0,80.0,10.0
43_ref1,11.0,0.0,1.0,1.0,2.0,14.0,937.0,3.0,29.0,1.0,1.0,0.0,1.0,1.0,1.0,10.0,1377.0,294.0,43.0,4.0,741.0
43_ref2,25.0,4.0,4.0,20.0,3.0,70.0,66.0,127.0,98.0,38.0,3.0,0.0,4.0,2.0,3.0,89.0,157.0,68.0,46.0,87.0,894.0
442,46.0,4.0,6.0,29.0,22.0,9.0,9.0,6.0,30.0,3.0,36.0,2.0,15.0,15.0,10.0,5.0,13.0,5.0,11.0,28.0,1.0
444,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0
446,8.0,10.0,12.0,0.0,1.0,112.0,110.0,17.0,23.0,58.0,1.0,1.0,7.0,0.0,0.0,10.0,244.0,115.0,51.0,130.0,29.0
45,3.0,2.0,0.0,0.0,1.0,10.0,2.0,5.0,6.0,4.0,1.0,0.0,4.0,2.0,1.0,5.0,4.0,4.0,5.0,14.0,4.0
450,2.0,8.0,5.0,2.0,1.0,70.0,15.0,92.0,54.0,41.0,5.0,0.0,2.0,3.0,0.0,55.0,0.0,21.0,80.0,171.0,26.0
452,32.0,2.0,3.0,16.0,1.0,158.0,4.0,60.0,50.0,20.0,2.0,0.0,5.0,1.0,1.0,63.0,8.0,34.0,88.0,113.0,15.0
458,2.0,2.0,6.0,1.0,0.0,18.0,154.0,52.0,28.0,26.0,2.0,1.0,7.0,2.0,0.0,30.0,516.0,138.0,16.0,34.0,25.0
459,71.0,22.0,38.0,25.0,19.0,91.0,115.0,136.0,146.0,42.0,45.0,0.0,13.0,21.0,27.0,70.0,589.0,185.0,156.0,177.0,30.0
460,1413.0,6650.0,491.0,438.0,653.0,856.0,249.0,672.0,406.0,428.0,461.0,5691.0,632.0,341.0,369.0,329.0,757.0,575.0,627.0,1617.0,197.0
466,28.0,4.0,2.0,26.0,3.0,14.0,4.0,14.0,13.0,5.0,7.0,1.0,7.0,1.0,2.0,4.0,4.0,8.0,7.0,24.0,0.0
468,1944.0,5.0,114.0,571.0,689.0,158.0,211.0,136.0,96.0,79.0,587.0,5.0,250.0,885.0,1236.0,73.0,143.0,94.0,82.0,220.0,35.0
470,40.0,7.0,11.0,27.0,56.0,21.0,10.0,15.0,16.0,8.0,43.0,16.0,15.0,10.0,9.0,15.0,15.0,8.0,9.0,33.0,10.0
473,8.0,3.0,9.0,7.0,1.0,42.0,17.0,94.0,17.0,33.0,2.0,0.0,18.0,3.0,3.0,50.0,38.0,18.0,13.0,108.0,20.0
475,9.0,20.0,449.0,10.0,4.0,3009.0,2802.0,4980.0,2372.0,1929.0,5.0,8.0,341.0,9.0,3.0,1704.0,2791.0,2894.0,2479.0,6996.0,1115.0
476,5.0,4.0,71.0,3.0,6.0,1123.0,428.0,827.0,1491.0,837.0,3.0,1.0,42.0,6.0,1.0,559.0,873.0,1409.0,1011.0,3892.0,768.0
48,21.0,7.0,10.0,15.0,4.0,102.0,15.0,149.0,61.0,42.0,8.0,1.0,19.0,3.0,2.0,90.0,12.0,62.0,62.0,117.0,60.0
485,19.0,7.0,12.0,21.0,4.0,15.0,7.0,110.0,4.0,87.0,41.0,2.0,11.0,4.0,6.0,46.0,2.0,6.0,21.0,9.0,25.0
486,13.0,3.0,26.0,2.0,10.0,19.0,13.0,25.0,27.0,26.0,7.0,3.0,20.0,3.0,2.0,16.0,3.0,19.0,22.0,64.0,9.0
491,491.0,25.0,263.0,89.0,312.0,19.0,11.0,43.0,32.0,31.0,134.0,0.0,97.0,114.0,111.0,29.0,8.0,33.0,35.0,65.0,22.0
493,9.0,0.0,3.0,7.0,12.0,8.0,4.0,5.0,13.0,12.0,27.0,55.0,8.0,3.0,4.0,6.0,5.0,6.0,8.0,98.0,13.0
495,8.0,1.0,176.0,0.0,1.0,1494.0,69.0,1660.0,1197.0,713.0,2.0,0.0,216.0,1.0,1.0,665.0,180.0,851.0,915.0,2314.0,249.0
50,36.0,8.0,6.0,15.0,11.0,27.0,3.0,7.0,16.0,3.0,4.0,2.0,5.0,6.0,3.0,3.0,2.0,4.0,7.0,10.0,2.0
503,3.0,1.0,24.0,3.0,0.0,73.0,132.0,92.0,115.0,64.0,5.0,0.0,13.0,3.0,1.0,36.0,191.0,124.0,56.0,357.0,48.0
507,3.0,1.0,9.0,0.0,0.0,89.0,39.0,45.0,99.0,69.0,1.0,1.0,10.0,1.0,1.0,33.0,33.0,55.0,93.0,175.0,65.0
508,4.0,15.0,7.0,2.0,0.0,91.0,24.0,4.0,16.0,15.0,2.0,3.0,9.0,0.0,1.0,36.0,37.0,18.0,56.0,3.0,6.0
52,6.0,0.0,3.0,2.0,2.0,67.0,283.0,35.0,22.0,101.0,1.0,0.0,3.0,0.0,1.0,6.0,882.0,208.0,3.0,100.0,3.0
520,10.0,1.0,2.0,8.0,3.0,8.0,0.0,5.0,6.0,3.0,3.0,0.0,4.0,2.0,2.0,3.0,1.0,3.0,4.0,13.0,2.0
521,2.0,1.0,20.0,0.0,2.0,24.0,15.0,59.0,63.0,18.0,3.0,3.0,8.0,1.0,5.0,84.0,5.0,40.0,33.0,47.0,11.0
522,14.0,2.0,18.0,15.0,4.0,68.0,103.0,189.0,63.0,46.0,3.0,4.0,20.0,7.0,3.0,57.0,248.0,92.0,49.0,200.0,26.0
523,2507.0,794.0,1078.0,1185.0,1198.0,927.0,798.0,852.0,568.0,651.0,931.0,1182.0,895.0,771.0,954.0,494.0,632.0,460.0,722.0,1477.0,148.0
524,759.0,608.0,49.0,27.0,106.0,242.0,452.0,42.0,114.0,116.0,195.0,283.0,42.0,41.0,34.0,47.0,300.0,186.0,58.0,409.0,44.0
525,4477.0,237.0,837.0,1569.0,1453.0,579.0,685.0,340.0,168.0,203.0,1054.0,112.0,852.0,1022.0,964.0,158.0,812.0,319.0,229.0,714.0,90.0
531,8.0,12.0,2.0,8.0,6.0,4.0,5.0,1.0,7.0,0.0,3.0,7.0,4.0,2.0,1.0,2.0,6.0,0.0,2.0,12.0,1.0
532,3.0,18.0,5.0,3.0,4.0,3.0,3.0,1.0,12.0,0.0,2.0,6.0,2.0,2.0,1.0,5.0,4.0,5.0,6.0,12.0,2.0
535,2809.0,1229.0,201.0,500.0,963.0,1066.0,361.0,454.0,281.0,590.0,1490.0,1852.0,133.0,337.0,575.0,771.0,1393.0,508.0,648.0,1251.0,211.0
538,2473.0,57.0,724.0,622.0,1648.0,388.0,1321.0,591.0,326.0,241.0,971.0,14.0,985.0,849.0,1066.0,131.0,803.0,382.0,302.0,632.0,81.0
539,9110.0,2508.0,3061.0,2299.0,6722.0,1866.0,1486.0,2128.0,879.0,1293.0,3179.0,3610.0,3569.0,2110.0,3818.0,822.0,648.0,1445.0,893.0,3533.0,226.0
540,1642.0,501.0,143.0,259.0,959.0,196.0,197.0,76.0,96.0,215.0,673.0,286.0,141.0,375.0,228.0,53.0,571.0,220.0,47.0,508.0,76.0
