strain_id,A_MTX_5-FC.PLM2_HNM1,A_MTX_Fluconazole.PLM2_HNM1,A_MTX_Metformin.PLM2_HNM1,A_MTX_Trifluoperazine.PLM2_HNM1,A_MTX_noDrug.PLM2_HNM1,A_noMTX_5-FC.PLM2_HNM1,A_noMTX_Fluconazole.PLM2_HNM1,A_noMTX_Metformin.PLM2_HNM1,A_noMTX_Trifluoperazine.PLM2_HNM1,A_noMTX_noDrug.PLM2_HNM1,B_MTX_5-FC.PLM2_HNM1,B_MTX_Fluconazole.PLM2_HNM1,B_MTX_Metformin.PLM2_HNM1,B_MTX_Trifluoperazine.PLM2_HNM1,B_MTX_noDrug.PLM2_HNM1,B_noMTX_5-FC.PLM2_HNM1,B_noMTX_Fluconazole.PLM2_HNM1,B_noMTX_Metformin.PLM2_HNM1,B_noMTX_Trifluoperazine.PLM2_HNM1,B_noMTX_noDrug.PLM2_HNM1,T0_noMTX_noDrug.PLM2_HNM1
119,2.0,7.0,1.0,1.0,4.0,4.0,3.0,0.0,6.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,5.0,0.0
124,42.0,3.0,343.0,4.0,14.0,116.0,19.0,51.0,23.0,43.0,27.0,3.0,161.0,13.0,22.0,75.0,11.0,27.0,9.0,58.0,23.0
128,4.0,0.0,0.0,1.0,0.0,137.0,123.0,153.0,80.0,68.0,2.0,0.0,5.0,1.0,0.0,83.0,82.0,63.0,19.0,135.0,93.0
132,0.0,2.0,4.0,0.0,3.0,82.0,42.0,201.0,108.0,127.0,2.0,0.0,4.0,1.0,0.0,130.0,15.0,84.0,23.0,212.0,57.0
133,0.0,0.0,0.0,0.0,1.0,5.0,6.0,3.0,13.0,6.0,2.0,0.0,5.0,0.0,0.0,9.0,4.0,16.0,1.0,7.0,2.0
136,0.0,1.0,0.0,0.0,0.0,75.0,118.0,87.0,88.0,61.0,1.0,2.0,2.0,0.0,1.0,53.0,54.0,36.0,32.0,86.0,59.0
14,991.0,656.0,312.0,949.0,597.0,489.0,180.0,466.0,544.0,306.0,924.0,3.0,490.0,669.0,284.0,312.0,385.0,294.0,120.0,533.0,359.0
146,368.0,692.0,1189.0,178.0,97.0,1922.0,493.0,2249.0,1301.0,1240.0,475.0,260.0,1841.0,198.0,71.0,1756.0,448.0,1100.0,302.0,2764.0,1207.0
15,21.0,2.0,116.0,21.0,64.0,103.0,139.0,73.0,43.0,107.0,17.0,0.0,125.0,22.0,19.0,74.0,4.0,26.0,8.0,115.0,48.0
151,0.0,2.0,1.0,2.0,1.0,44.0,1.0,14.0,8.0,19.0,4.0,0.0,0.0,2.0,0.0,20.0,1.0,12.0,5.0,12.0,27.0
153,1.0,2.0,0.0,0.0,0.0,244.0,37.0,106.0,98.0,148.0,1.0,1.0,1.0,0.0,0.0,127.0,854.0,177.0,13.0,167.0,45.0
17,3.0,11.0,1.0,0.0,6.0,2.0,0.0,1.0,4.0,1.0,1.0,7.0,0.0,4.0,2.0,0.0,3.0,1.0,2.0,5.0,2.0
171,17.0,5.0,7.0,7.0,5.0,149.0,178.0,56.0,144.0,53.0,35.0,7.0,5.0,20.0,4.0,96.0,116.0,25.0,12.0,99.0,66.0
175,0.0,0.0,0.0,1.0,0.0,0.0,63.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,6.0,5.0,2.0,1.0
180,1.0,2.0,0.0,0.0,0.0,188.0,9.0,36.0,67.0,67.0,1.0,0.0,1.0,0.0,0.0,51.0,147.0,44.0,7.0,80.0,36.0
180_2,0.0,9.0,1.0,0.0,1.0,134.0,1039.0,82.0,151.0,90.0,1.0,1.0,3.0,12.0,1.0,176.0,750.0,161.0,32.0,185.0,80.0
185,11.0,12.0,7.0,19.0,12.0,12.0,1.0,8.0,12.0,5.0,26.0,3.0,23.0,19.0,8.0,5.0,1.0,7.0,2.0,16.0,10.0
187,0.0,0.0,1.0,1.0,1.0,16.0,0.0,7.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,5.0,8.0,2.0
188,3.0,20.0,3.0,3.0,2.0,240.0,30.0,508.0,146.0,389.0,3.0,9.0,7.0,3.0,0.0,274.0,5.0,158.0,35.0,500.0,99.0
192,6.0,26.0,0.0,2.0,5.0,10.0,37.0,4.0,13.0,4.0,10.0,9.0,3.0,12.0,4.0,5.0,56.0,23.0,6.0,14.0,8.0
20,0.0,0.0,1.0,1.0,2.0,91.0,7.0,95.0,8.0,66.0,4.0,0.0,4.0,0.0,0.0,33.0,2.0,52.0,3.0,48.0,35.0
209,0.0,6.0,2.0,0.0,5.0,72.0,27.0,34.0,59.0,27.0,0.0,2.0,4.0,0.0,1.0,62.0,23.0,19.0,32.0,61.0,71.0
210,2.0,0.0,2.0,1.0,0.0,3.0,5.0,5.0,19.0,3.0,2.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,4.0,8.0,1.0
226,11.0,227.0,75.0,3.0,15.0,27.0,26.0,56.0,36.0,27.0,80.0,1.0,73.0,21.0,11.0,25.0,3.0,14.0,14.0,48.0,87.0
235,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0,3.0
240,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0
248,1.0,1.0,3.0,1.0,1.0,6.0,7.0,7.0,0.0,3.0,1.0,0.0,3.0,2.0,1.0,7.0,3.0,5.0,5.0,6.0,9.0
250,12.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0
252,62.0,2.0,1.0,11.0,114.0,4.0,12.0,1.0,5.0,0.0,32.0,0.0,6.0,37.0,40.0,0.0,9.0,7.0,1.0,4.0,1.0
253,6.0,6.0,5.0,0.0,0.0,4.0,38.0,17.0,11.0,3.0,0.0,1.0,6.0,15.0,0.0,10.0,16.0,10.0,3.0,36.0,5.0
254,8.0,1.0,3.0,0.0,3.0,88.0,247.0,144.0,43.0,126.0,1.0,0.0,5.0,1.0,1.0,143.0,28.0,67.0,50.0,362.0,87.0
257,4.0,0.0,4.0,1.0,5.0,19.0,61.0,8.0,29.0,7.0,5.0,2.0,1.0,4.0,1.0,14.0,129.0,23.0,20.0,20.0,43.0
258,15.0,10.0,48.0,2.0,2.0,209.0,23.0,186.0,149.0,106.0,30.0,2.0,62.0,18.0,2.0,161.0,7.0,100.0,18.0,210.0,77.0
27,11.0,0.0,21.0,1.0,0.0,23.0,1.0,32.0,21.0,13.0,5.0,1.0,26.0,4.0,0.0,25.0,4.0,30.0,4.0,27.0,20.0
270,1.0,0.0,0.0,0.0,0.0,21.0,15.0,2.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,9.0,3.0,3.0,2.0
271,0.0,0.0,0.0,0.0,0.0,80.0,46.0,92.0,61.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,16.0,12.0,17.0,92.0,27.0
272,3.0,0.0,1.0,1.0,0.0,140.0,0.0,110.0,37.0,54.0,1.0,0.0,2.0,1.0,0.0,66.0,3.0,82.0,10.0,177.0,49.0
277,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
286,8.0,2.0,133.0,0.0,18.0,108.0,55.0,231.0,126.0,86.0,39.0,0.0,131.0,46.0,2.0,89.0,10.0,31.0,12.0,184.0,52.0
289,4.0,2.0,2.0,0.0,0.0,100.0,264.0,146.0,84.0,116.0,2.0,1.0,2.0,0.0,1.0,138.0,423.0,156.0,20.0,239.0,111.0
29,1.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,3.0,12.0,6.0,3.0
291,9.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
294,1.0,5.0,2.0,0.0,1.0,15.0,46.0,15.0,14.0,3.0,2.0,6.0,1.0,3.0,0.0,10.0,17.0,6.0,3.0,13.0,2.0
296,1.0,3.0,9.0,0.0,1.0,136.0,262.0,156.0,83.0,74.0,2.0,6.0,12.0,0.0,0.0,167.0,814.0,223.0,53.0,147.0,51.0
299,0.0,0.0,4.0,0.0,1.0,183.0,11.0,109.0,70.0,111.0,1.0,0.0,0.0,3.0,0.0,132.0,12.0,78.0,55.0,154.0,37.0
307,5.0,2.0,0.0,1.0,2.0,364.0,129.0,166.0,704.0,129.0,4.0,0.0,1.0,0.0,0.0,398.0,226.0,75.0,84.0,210.0,111.0
308,8.0,4.0,1.0,1.0,2.0,6.0,0.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,0.0,5.0,2.0,1.0,2.0,2.0,0.0
31,296.0,2.0,425.0,159.0,47.0,304.0,8.0,157.0,100.0,137.0,342.0,0.0,817.0,496.0,73.0,151.0,14.0,195.0,14.0,189.0,87.0
311,35.0,0.0,2.0,3.0,4.0,2.0,12.0,3.0,8.0,0.0,2.0,0.0,2.0,7.0,1.0,4.0,6.0,6.0,11.0,12.0,0.0
312,8.0,4.0,3.0,1.0,3.0,3.0,4.0,6.0,11.0,0.0,3.0,0.0,1.0,4.0,7.0,3.0,13.0,4.0,7.0,8.0,2.0
32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
320,293.0,21.0,630.0,12.0,77.0,776.0,1829.0,637.0,583.0,517.0,579.0,0.0,753.0,121.0,44.0,747.0,653.0,506.0,117.0,980.0,125.0
323,5.0,4.0,0.0,0.0,4.0,0.0,10.0,4.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,17.0,8.0,1.0,1.0,1.0
325,1.0,2.0,0.0,0.0,1.0,22.0,156.0,34.0,20.0,50.0,1.0,1.0,3.0,0.0,1.0,51.0,14.0,25.0,3.0,136.0,27.0
33,0.0,0.0,0.0,1.0,0.0,76.0,4.0,42.0,22.0,45.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,7.0,9.0,53.0,45.0
335,47.0,3.0,4.0,1.0,3.0,38.0,9.0,38.0,44.0,14.0,4.0,4.0,11.0,1.0,0.0,20.0,7.0,10.0,13.0,17.0,26.0
336,58.0,0.0,18.0,2.0,25.0,50.0,6.0,71.0,27.0,17.0,48.0,0.0,42.0,14.0,9.0,54.0,5.0,33.0,11.0,51.0,75.0
337,1.0,8.0,6.0,0.0,1.0,576.0,799.0,834.0,236.0,607.0,0.0,3.0,7.0,0.0,0.0,451.0,874.0,490.0,48.0,1190.0,155.0
339,38.0,4.0,84.0,3.0,6.0,83.0,43.0,54.0,100.0,132.0,102.0,9.0,108.0,7.0,6.0,96.0,14.0,58.0,13.0,119.0,26.0
347,9.0,0.0,2.0,0.0,0.0,43.0,1.0,41.0,45.0,18.0,5.0,0.0,3.0,0.0,0.0,22.0,3.0,72.0,3.0,46.0,18.0
348,20.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,11.0,1.0,3.0,3.0,0.0,3.0,0.0,5.0,4.0,1.0,5.0,4.0,0.0
350,461.0,41.0,120.0,317.0,834.0,138.0,311.0,89.0,50.0,59.0,675.0,6.0,167.0,384.0,384.0,84.0,39.0,53.0,15.0,128.0,73.0
354,5.0,0.0,0.0,1.0,2.0,137.0,35.0,123.0,189.0,127.0,3.0,0.0,0.0,1.0,1.0,99.0,442.0,139.0,25.0,149.0,44.0
358,14.0,1.0,5.0,0.0,4.0,8.0,11.0,4.0,19.0,5.0,1.0,0.0,5.0,2.0,0.0,5.0,12.0,3.0,5.0,5.0,3.0
359,32.0,7.0,0.0,5.0,11.0,5.0,1425.0,0.0,1.0,1.0,21.0,0.0,7.0,28.0,5.0,2.0,883.0,155.0,3.0,2.0,1.0
36,4.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,6.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0
364,10.0,12.0,1.0,0.0,2.0,5.0,11.0,0.0,3.0,4.0,1.0,2.0,4.0,0.0,2.0,5.0,10.0,6.0,6.0,4.0,3.0
375,71.0,0.0,207.0,2.0,21.0,321.0,25.0,141.0,108.0,188.0,59.0,0.0,233.0,25.0,15.0,275.0,52.0,94.0,29.0,306.0,126.0
383,10.0,4.0,2.0,0.0,0.0,83.0,75.0,61.0,23.0,65.0,2.0,2.0,2.0,0.0,0.0,94.0,5.0,50.0,15.0,183.0,53.0
385,9.0,15.0,1.0,1.0,0.0,2.0,1.0,2.0,7.0,1.0,2.0,8.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0
392,13.0,13.0,1.0,2.0,4.0,619.0,1540.0,399.0,565.0,450.0,3.0,3.0,2.0,4.0,2.0,471.0,559.0,404.0,91.0,1212.0,165.0
397,4.0,1.0,1.0,0.0,3.0,3.0,5.0,0.0,8.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,6.0,2.0,8.0,1.0
399,5.0,78.0,7.0,0.0,4.0,1059.0,1115.0,508.0,428.0,502.0,6.0,26.0,5.0,1.0,0.0,899.0,611.0,416.0,85.0,1297.0,203.0
40,7.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,6.0,0.0,1.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
400,352.0,3.0,194.0,173.0,171.0,220.0,55.0,171.0,104.0,141.0,304.0,0.0,392.0,121.0,42.0,122.0,28.0,72.0,21.0,333.0,79.0
406,1.0,5.0,0.0,0.0,0.0,219.0,40.0,425.0,112.0,589.0,2.0,1.0,2.0,2.0,1.0,154.0,73.0,318.0,38.0,709.0,75.0
408,0.0,0.0,0.0,0.0,0.0,3.0,12.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0
409,2456.0,166.0,44.0,122.0,224.0,770.0,159.0,95.0,538.0,129.0,3728.0,68.0,147.0,316.0,224.0,964.0,110.0,41.0,122.0,296.0,168.0
40_2,0.0,0.0,2.0,1.0,7.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,5.0,1.0,3.0,1.0,0.0,0.0,1.0
412,42.0,1.0,0.0,9.0,15.0,5.0,10.0,1.0,10.0,1.0,11.0,0.0,5.0,8.0,5.0,6.0,14.0,2.0,4.0,3.0,1.0
418,4.0,0.0,0.0,0.0,2.0,3.0,7.0,0.0,9.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,5.0,2.0,0.0,1.0,1.0
419,8.0,0.0,4.0,1.0,1.0,86.0,49.0,65.0,73.0,56.0,3.0,0.0,3.0,2.0,0.0,56.0,80.0,46.0,14.0,66.0,23.0
420,2.0,1.0,0.0,1.0,2.0,7.0,6.0,4.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,3.0,6.0,1.0
421,66.0,181.0,43.0,17.0,129.0,17.0,10.0,65.0,26.0,125.0,61.0,3.0,170.0,110.0,27.0,35.0,8.0,23.0,15.0,50.0,14.0
426,5.0,13.0,7.0,8.0,5.0,9.0,34.0,7.0,9.0,2.0,6.0,0.0,4.0,7.0,2.0,5.0,73.0,16.0,4.0,10.0,4.0
43,0.0,0.0,0.0,0.0,1.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,10.0
431,0.0,0.0,0.0,1.0,0.0,84.0,2.0,12.0,13.0,19.0,0.0,0.0,1.0,0.0,0.0,17.0,13.0,11.0,17.0,13.0,12.0
433,6.0,3.0,8.0,4.0,1.0,146.0,963.0,74.0,111.0,52.0,3.0,0.0,6.0,2.0,0.0,150.0,44.0,26.0,23.0,84.0,176.0
434,40.0,2.0,8.0,21.0,2.0,62.0,51.0,30.0,64.0,18.0,106.0,1.0,21.0,4.0,9.0,49.0,59.0,25.0,27.0,62.0,45.0
437,62.0,16.0,5.0,11.0,5.0,7.0,1.0,6.0,13.0,9.0,21.0,1.0,10.0,10.0,1.0,5.0,5.0,5.0,4.0,9.0,3.0
438,6.0,5.0,1.0,0.0,0.0,132.0,455.0,21.0,83.0,29.0,0.0,2.0,1.0,0.0,0.0,108.0,59.0,18.0,9.0,41.0,125.0
439,5.0,6.0,0.0,0.0,0.0,304.0,27.0,110.0,544.0,118.0,0.0,3.0,1.0,0.0,0.0,252.0,233.0,92.0,54.0,194.0,103.0
43_ref1,7.0,2.0,3.0,0.0,4.0,2.0,187.0,2.0,8.0,3.0,2.0,0.0,0.0,3.0,0.0,13.0,195.0,32.0,1.0,9.0,303.0
43_ref2,14.0,4.0,2.0,1.0,11.0,34.0,42.0,67.0,42.0,84.0,3.0,6.0,4.0,3.0,2.0,71.0,72.0,39.0,22.0,188.0,437.0
442,26.0,3.0,1.0,9.0,8.0,5.0,5.0,8.0,28.0,7.0,19.0,0.0,10.0,19.0,4.0,4.0,8.0,6.0,4.0,14.0,12.0
444,0.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,5.0,0.0
446,2.0,6.0,0.0,0.0,1.0,5.0,6.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,11.0,4.0,5.0,11.0,1.0
45,11.0,0.0,0.0,8.0,12.0,5.0,5.0,9.0,16.0,1.0,3.0,1.0,2.0,16.0,10.0,4.0,3.0,4.0,13.0,5.0,4.0
450,3.0,9.0,2.0,2.0,3.0,63.0,11.0,61.0,21.0,57.0,1.0,4.0,1.0,0.0,3.0,43.0,7.0,37.0,5.0,64.0,18.0
452,0.0,0.0,0.0,1.0,0.0,2.0,15.0,4.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,9.0,1.0,5.0,3.0
458,1.0,2.0,1.0,0.0,2.0,49.0,9.0,38.0,44.0,35.0,0.0,0.0,2.0,0.0,0.0,24.0,10.0,21.0,17.0,53.0,22.0
459,1.0,16.0,1.0,2.0,4.0,4.0,6.0,11.0,29.0,0.0,3.0,8.0,5.0,12.0,1.0,23.0,9.0,12.0,11.0,10.0,10.0
460,238.0,5734.0,194.0,39.0,59.0,739.0,170.0,598.0,398.0,417.0,566.0,502.0,287.0,129.0,14.0,450.0,193.0,267.0,64.0,873.0,188.0
466,12.0,2.0,4.0,4.0,1.0,5.0,2.0,5.0,27.0,2.0,3.0,1.0,9.0,3.0,0.0,22.0,0.0,2.0,7.0,14.0,5.0
468,424.0,3.0,584.0,508.0,275.0,903.0,374.0,775.0,456.0,705.0,736.0,0.0,557.0,643.0,178.0,685.0,503.0,486.0,110.0,1119.0,347.0
470,259.0,42.0,11.0,18.0,61.0,13.0,61.0,16.0,63.0,12.0,20.0,1.0,12.0,35.0,7.0,37.0,24.0,10.0,17.0,26.0,15.0
473,5.0,3.0,5.0,1.0,2.0,10.0,7.0,9.0,11.0,3.0,3.0,0.0,4.0,2.0,1.0,6.0,14.0,4.0,9.0,10.0,17.0
475,15.0,6.0,57.0,3.0,9.0,2609.0,3537.0,4277.0,2148.0,2676.0,10.0,11.0,80.0,13.0,5.0,1862.0,11808.0,4321.0,439.0,3316.0,1708.0
476,4.0,5.0,8.0,12.0,1.0,1126.0,4630.0,820.0,1647.0,374.0,6.0,3.0,13.0,3.0,0.0,682.0,2257.0,646.0,241.0,700.0,920.0
48,3.0,3.0,3.0,2.0,5.0,131.0,10.0,85.0,70.0,69.0,4.0,2.0,1.0,1.0,1.0,122.0,180.0,86.0,34.0,193.0,77.0
485,8.0,17.0,3.0,0.0,1.0,3.0,2.0,9.0,5.0,15.0,3.0,13.0,4.0,2.0,0.0,6.0,2.0,4.0,4.0,8.0,8.0
486,9.0,6.0,32.0,5.0,4.0,65.0,28.0,99.0,83.0,63.0,31.0,1.0,45.0,12.0,1.0,64.0,220.0,122.0,13.0,134.0,28.0
491,135.0,16.0,253.0,9.0,36.0,50.0,15.0,100.0,118.0,78.0,124.0,2.0,281.0,35.0,12.0,74.0,16.0,40.0,26.0,129.0,97.0
493,4.0,30.0,17.0,3.0,1.0,7.0,12.0,23.0,9.0,13.0,4.0,1.0,49.0,1.0,1.0,4.0,6.0,14.0,7.0,34.0,17.0
495,1.0,0.0,5.0,2.0,2.0,845.0,851.0,1136.0,760.0,759.0,2.0,0.0,10.0,3.0,0.0,810.0,305.0,658.0,170.0,1259.0,318.0
50,3.0,10.0,26.0,8.0,4.0,6.0,11.0,22.0,12.0,5.0,5.0,8.0,77.0,12.0,4.0,12.0,5.0,8.0,21.0,14.0,6.0
503,0.0,0.0,0.0,0.0,0.0,335.0,81.0,164.0,338.0,134.0,1.0,0.0,4.0,0.0,0.0,276.0,33.0,55.0,43.0,299.0,68.0
507,1.0,3.0,0.0,0.0,0.0,53.0,5.0,61.0,20.0,19.0,2.0,0.0,2.0,1.0,1.0,20.0,12.0,30.0,14.0,70.0,61.0
508,1.0,176.0,7.0,1.0,0.0,257.0,10.0,275.0,148.0,184.0,0.0,1.0,7.0,3.0,1.0,196.0,40.0,181.0,32.0,457.0,212.0
52,0.0,1.0,1.0,0.0,0.0,173.0,243.0,189.0,39.0,138.0,0.0,0.0,1.0,1.0,0.0,72.0,270.0,114.0,5.0,237.0,43.0
520,4.0,2.0,2.0,0.0,1.0,2.0,1.0,4.0,15.0,3.0,2.0,0.0,2.0,1.0,0.0,6.0,2.0,3.0,9.0,23.0,11.0
521,25.0,0.0,7.0,9.0,12.0,37.0,13.0,101.0,59.0,11.0,2.0,0.0,1.0,11.0,14.0,46.0,15.0,56.0,267.0,33.0,11.0
522,4.0,6.0,3.0,0.0,5.0,44.0,5.0,112.0,44.0,64.0,5.0,2.0,8.0,2.0,1.0,48.0,16.0,48.0,29.0,179.0,26.0
523,528.0,191.0,1845.0,262.0,239.0,1324.0,721.0,1726.0,743.0,1079.0,769.0,128.0,2196.0,276.0,422.0,1021.0,425.0,838.0,188.0,2182.0,238.0
524,60.0,114.0,25.0,37.0,47.0,139.0,30.0,147.0,42.0,135.0,182.0,7.0,33.0,46.0,17.0,42.0,39.0,59.0,8.0,66.0,44.0
525,349.0,349.0,666.0,63.0,201.0,410.0,32.0,447.0,92.0,258.0,461.0,0.0,702.0,168.0,85.0,283.0,26.0,205.0,41.0,510.0,127.0
531,3.0,7.0,1.0,1.0,0.0,2.0,5.0,7.0,7.0,10.0,1.0,5.0,3.0,1.0,0.0,3.0,13.0,2.0,1.0,16.0,7.0
532,3.0,14.0,5.0,0.0,3.0,4.0,7.0,1.0,11.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,12.0,3.0,3.0,9.0,2.0
535,923.0,1842.0,63.0,204.0,181.0,582.0,1293.0,175.0,602.0,215.0,2266.0,318.0,97.0,210.0,60.0,651.0,293.0,108.0,81.0,332.0,140.0
538,570.0,291.0,1138.0,741.0,377.0,951.0,98.0,1271.0,356.0,1194.0,713.0,9.0,1265.0,251.0,150.0,536.0,160.0,670.0,160.0,1878.0,285.0
539,283.0,422.0,2089.0,215.0,190.0,606.0,128.0,768.0,334.0,878.0,463.0,10.0,2495.0,184.0,65.0,502.0,33.0,337.0,61.0,1386.0,168.0
540,1638.0,955.0,548.0,889.0,1227.0,1200.0,744.0,1115.0,205.0,940.0,3210.0,191.0,643.0,981.0,291.0,499.0,1327.0,710.0,97.0,821.0,464.0
541,2.0,1.0,6.0,3.0,3.0,44.0,69.0,167.0,26.0,113.0,2.0,0.0,3.0,1.0,1.0,59.0,35.0,21.0,26.0,144.0,30.0
