strain_id,A_MTX_5-FC.SRO9_SGN1,A_MTX_Fluconazole.SRO9_SGN1,A_MTX_Metformin.SRO9_SGN1,A_MTX_Trifluoperazine.SRO9_SGN1,A_MTX_noDrug.SRO9_SGN1,A_noMTX_5-FC.SRO9_SGN1,A_noMTX_Fluconazole.SRO9_SGN1,A_noMTX_Metformin.SRO9_SGN1,A_noMTX_Trifluoperazine.SRO9_SGN1,A_noMTX_noDrug.SRO9_SGN1,B_MTX_5-FC.SRO9_SGN1,B_MTX_Fluconazole.SRO9_SGN1,B_MTX_Metformin.SRO9_SGN1,B_MTX_Trifluoperazine.SRO9_SGN1,B_MTX_noDrug.SRO9_SGN1,B_noMTX_5-FC.SRO9_SGN1,B_noMTX_Fluconazole.SRO9_SGN1,B_noMTX_Metformin.SRO9_SGN1,B_noMTX_Trifluoperazine.SRO9_SGN1,B_noMTX_noDrug.SRO9_SGN1,T0_noMTX_noDrug.SRO9_SGN1
350,391.0,62.0,420,205.0,451.0,72.0,400.0,175.0,54.0,137.0,1064.0,17.0,319,184.0,1852.0,297,6.0,24.0,121.0,26.0,3.0
354,23.0,6.0,858,15.0,22.0,127.0,14.0,957.0,132.0,375.0,62.0,0.0,542,27.0,55.0,553,13.0,128.0,466.0,26.0,45.0
358,44.0,1.0,286,37.0,64.0,38.0,8.0,59.0,38.0,67.0,85.0,0.0,40,12.0,78.0,189,5.0,16.0,56.0,16.0,21.0
359,4.0,0.0,9,0.0,8.0,1.0,10.0,6.0,5.0,0.0,5.0,0.0,13,5.0,11.0,9,1.0,0.0,4.0,0.0,0.0
36,0.0,0.0,9,0.0,0.0,1.0,4.0,14.0,3.0,4.0,0.0,2.0,9,1.0,5.0,5,1.0,0.0,3.0,0.0,0.0
364,0.0,4.0,10,1.0,2.0,1.0,6.0,12.0,3.0,8.0,2.0,11.0,16,1.0,6.0,13,14.0,2.0,5.0,3.0,0.0
375,395.0,0.0,1866,248.0,232.0,213.0,111.0,1099.0,122.0,289.0,1150.0,18.0,1123,516.0,1132.0,896,39.0,129.0,289.0,19.0,54.0
383,30.0,10.0,1341,17.0,12.0,141.0,0.0,522.0,86.0,341.0,68.0,55.0,1429,30.0,99.0,736,22.0,151.0,445.0,38.0,31.0
385,3.0,26.0,8,6.0,4.0,1.0,2.0,13.0,0.0,7.0,7.0,19.0,16,4.0,8.0,21,5.0,2.0,7.0,2.0,0.0
392,10.0,101.0,66,5.0,9.0,126.0,12.0,1059.0,54.0,158.0,12.0,2.0,38,7.0,36.0,474,39.0,18.0,254.0,45.0,14.0
397,10.0,17.0,227,38.0,2.0,12.0,4.0,72.0,29.0,51.0,43.0,7.0,162,50.0,33.0,110,1.0,6.0,88.0,7.0,31.0
399,48.0,403.0,1278,44.0,17.0,184.0,14.0,588.0,240.0,241.0,239.0,1805.0,1458,83.0,107.0,1261,412.0,120.0,527.0,41.0,29.0
40,16.0,5.0,7,6.0,34.0,2.0,1.0,4.0,1.0,0.0,18.0,0.0,7,5.0,10.0,9,0.0,0.0,6.0,1.0,0.0
400,226.0,5.0,1889,366.0,349.0,162.0,4.0,400.0,221.0,214.0,626.0,0.0,1025,232.0,823.0,729,5.0,85.0,438.0,38.0,27.0
406,15.0,40.0,257,1.0,5.0,133.0,197.0,882.0,76.0,225.0,20.0,19.0,290,18.0,43.0,322,94.0,101.0,375.0,71.0,30.0
408,1.0,5.0,10,5.0,0.0,34.0,11.0,72.0,13.0,88.0,1.0,0.0,22,0.0,5.0,47,3.0,2.0,12.0,8.0,4.0
409,1580.0,62.0,1441,2761.0,2127.0,1108.0,787.0,1371.0,605.0,1711.0,5718.0,362.0,1076,4298.0,3370.0,3764,229.0,151.0,3485.0,377.0,184.0
40_2,3.0,1.0,33,0.0,2.0,3.0,2.0,36.0,6.0,13.0,9.0,0.0,26,0.0,35.0,49,3.0,2.0,27.0,1.0,1.0
412,1.0,0.0,13,1.0,1.0,1.0,20.0,15.0,3.0,6.0,0.0,0.0,15,0.0,1.0,18,5.0,3.0,9.0,2.0,1.0
418,3.0,34.0,22,1.0,1.0,2.0,0.0,30.0,9.0,7.0,4.0,1.0,31,2.0,39.0,28,3.0,2.0,10.0,0.0,0.0
419,10.0,21.0,1852,9.0,4.0,343.0,1.0,915.0,185.0,616.0,31.0,0.0,901,11.0,67.0,975,25.0,104.0,693.0,54.0,17.0
420,21.0,1.0,203,20.0,24.0,540.0,72.0,462.0,176.0,744.0,77.0,22.0,182,31.0,40.0,2169,69.0,73.0,709.0,45.0,38.0
421,46.0,100.0,297,70.0,207.0,52.0,4.0,202.0,132.0,128.0,192.0,6.0,250,145.0,99.0,421,6.0,32.0,95.0,27.0,11.0
426,13.0,0.0,153,4.0,14.0,6.0,3.0,50.0,19.0,29.0,31.0,3.0,137,17.0,49.0,98,7.0,0.0,23.0,6.0,0.0
43,0.0,0.0,4,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1,1.0,0.0,8,0.0,1.0,2.0,0.0,0.0
431,34.0,8.0,1920,4.0,3.0,173.0,18.0,630.0,138.0,438.0,30.0,19.0,823,12.0,147.0,746,76.0,163.0,239.0,39.0,62.0
433,19.0,0.0,230,6.0,10.0,14.0,5.0,173.0,30.0,77.0,22.0,3.0,277,24.0,193.0,197,8.0,6.0,49.0,0.0,3.0
434,456.0,7.0,2258,170.0,488.0,278.0,147.0,954.0,174.0,773.0,1107.0,251.0,2576,72.0,1693.0,1532,28.0,188.0,305.0,68.0,54.0
437,41.0,4.0,179,14.0,19.0,9.0,8.0,75.0,17.0,35.0,51.0,8.0,240,24.0,174.0,143,13.0,13.0,47.0,5.0,1.0
438,2.0,1.0,33,0.0,1.0,2.0,12.0,18.0,3.0,5.0,5.0,0.0,27,2.0,6.0,29,4.0,4.0,14.0,5.0,5.0
439,24.0,824.0,332,17.0,7.0,57.0,30.0,437.0,83.0,452.0,58.0,2437.0,555,47.0,48.0,395,20.0,59.0,388.0,78.0,38.0
43_ref1,2.0,0.0,11,2.0,1.0,5.0,570.0,6.0,4.0,2.0,2.0,0.0,11,3.0,9.0,22,585.0,0.0,18.0,2.0,259.0
43_ref2,10.0,3.0,69,8.0,5.0,42.0,84.0,279.0,259.0,93.0,16.0,0.0,73,7.0,72.0,602,4.0,22.0,780.0,30.0,374.0
442,56.0,7.0,499,17.0,64.0,14.0,0.0,182.0,48.0,75.0,99.0,2.0,387,40.0,499.0,288,10.0,11.0,71.0,9.0,0.0
444,1.0,3.0,80,1.0,0.0,1.0,1.0,35.0,11.0,14.0,8.0,0.0,54,2.0,37.0,59,2.0,3.0,7.0,3.0,0.0
446,3.0,8.0,17,2.0,0.0,520.0,392.0,476.0,242.0,1334.0,5.0,3.0,15,5.0,2.0,1983,375.0,101.0,600.0,67.0,53.0
45,11.0,7.0,66,4.0,1.0,9.0,3.0,83.0,28.0,30.0,15.0,9.0,99,4.0,16.0,145,11.0,11.0,66.0,6.0,9.0
450,6.0,0.0,67,1.0,8.0,14.0,15.0,53.0,15.0,10.0,3.0,0.0,40,4.0,3.0,64,42.0,8.0,29.0,10.0,5.0
452,4.0,6.0,68,0.0,1.0,26.0,1.0,67.0,17.0,65.0,8.0,1.0,65,5.0,24.0,215,11.0,7.0,64.0,11.0,1.0
458,8.0,9.0,250,6.0,5.0,111.0,1.0,591.0,98.0,211.0,24.0,17.0,150,10.0,12.0,549,5.0,75.0,337.0,26.0,46.0
459,167.0,73.0,272,301.0,263.0,36.0,23.0,310.0,64.0,264.0,371.0,41.0,302,184.0,618.0,295,272.0,30.0,254.0,34.0,15.0
460,187.0,365.0,441,95.0,125.0,152.0,81.0,402.0,91.0,164.0,296.0,329.0,768,154.0,568.0,593,86.0,88.0,244.0,39.0,30.0
466,24.0,12.0,80,17.0,8.0,8.0,8.0,108.0,19.0,50.0,36.0,10.0,97,10.0,75.0,136,9.0,7.0,68.0,5.0,4.0
468,4236.0,20.0,7708,1742.0,2215.0,1076.0,96.0,4566.0,1128.0,1080.0,8911.0,49.0,5630,4108.0,6161.0,5263,143.0,667.0,2303.0,208.0,134.0
470,2655.0,34770.0,3779,1834.0,3347.0,1334.0,619.0,2709.0,843.0,3281.0,7819.0,251.0,3060,1504.0,8690.0,6714,3283.0,270.0,2349.0,452.0,132.0
473,13.0,5.0,77,13.0,4.0,30.0,102.0,271.0,48.0,117.0,18.0,3.0,100,17.0,46.0,229,33.0,28.0,157.0,42.0,15.0
475,111.0,98.0,10190,31.0,23.0,2622.0,485.0,14228.0,1596.0,3324.0,226.0,11.0,10935,112.0,126.0,10559,694.0,1869.0,3649.0,637.0,694.0
476,89.0,12.0,3755,75.0,82.0,2173.0,4865.0,4629.0,1247.0,8734.0,439.0,7.0,3043,169.0,117.0,9763,423.0,1074.0,3352.0,842.0,937.0
48,18.0,31.0,263,8.0,3.0,50.0,10.0,258.0,91.0,162.0,22.0,22.0,277,8.0,43.0,168,10.0,41.0,189.0,17.0,12.0
485,38.0,12.0,20,0.0,5.0,7.0,2.0,11.0,7.0,2.0,38.0,2.0,22,12.0,17.0,16,8.0,5.0,12.0,1.0,5.0
486,50.0,6.0,172,12.0,44.0,14.0,9.0,129.0,48.0,19.0,108.0,4.0,205,25.0,233.0,56,13.0,37.0,45.0,23.0,2.0
491,143.0,4.0,722,68.0,161.0,38.0,6.0,604.0,93.0,66.0,410.0,2.0,800,215.0,737.0,427,4.0,44.0,136.0,21.0,31.0
493,75.0,2.0,414,33.0,65.0,144.0,354.0,366.0,83.0,349.0,76.0,0.0,214,26.0,118.0,654,16.0,56.0,209.0,48.0,33.0
495,29.0,1.0,1096,8.0,16.0,271.0,188.0,1364.0,236.0,422.0,73.0,5.0,791,31.0,72.0,996,15.0,147.0,660.0,88.0,31.0
50,6911.0,17.0,10730,1179.0,343.0,1224.0,7.0,1968.0,616.0,42.0,7551.0,7.0,201,383.0,112.0,8401,19.0,559.0,3813.0,30.0,793.0
503,26.0,3.0,383,16.0,6.0,96.0,5.0,310.0,101.0,277.0,77.0,230.0,602,13.0,17.0,613,420.0,46.0,92.0,20.0,35.0
507,4.0,1.0,13,0.0,3.0,25.0,21.0,36.0,11.0,20.0,7.0,4.0,8,0.0,8.0,79,12.0,12.0,16.0,9.0,10.0
508,19.0,31.0,851,6.0,23.0,464.0,367.0,543.0,428.0,432.0,183.0,59.0,631,10.0,82.0,2639,613.0,99.0,668.0,38.0,80.0
52,3.0,3.0,20,1.0,1.0,2.0,1.0,16.0,3.0,6.0,2.0,1.0,10,0.0,3.0,11,0.0,4.0,8.0,2.0,0.0
520,7.0,1.0,112,3.0,2.0,6.0,2.0,108.0,25.0,14.0,9.0,5.0,82,6.0,45.0,116,0.0,3.0,41.0,1.0,2.0
521,8.0,0.0,157,10.0,5.0,437.0,6.0,1777.0,114.0,45.0,10.0,0.0,87,4.0,12.0,1451,35.0,47.0,107.0,42.0,101.0
522,18.0,9.0,130,4.0,17.0,41.0,15.0,193.0,45.0,85.0,28.0,2.0,195,10.0,112.0,158,203.0,44.0,105.0,41.0,10.0
523,3154.0,135.0,11799,2120.0,2397.0,721.0,80.0,4789.0,639.0,1087.0,5180.0,188.0,13148,2223.0,11099.0,4987,74.0,743.0,2526.0,294.0,155.0
524,198.0,103.0,713,30.0,52.0,113.0,22.0,215.0,115.0,833.0,636.0,92.0,1789,11.0,689.0,1638,30.0,25.0,182.0,21.0,13.0
525,396.0,20.0,1504,139.0,194.0,286.0,10.0,1686.0,144.0,161.0,700.0,18.0,1779,322.0,711.0,1204,121.0,386.0,497.0,49.0,42.0
531,16.0,21.0,383,14.0,3.0,51.0,8.0,343.0,53.0,143.0,31.0,5.0,97,5.0,36.0,389,16.0,33.0,76.0,10.0,15.0
532,9.0,10.0,53,4.0,4.0,5.0,9.0,25.0,11.0,2.0,9.0,7.0,48,3.0,35.0,36,26.0,3.0,16.0,3.0,1.0
535,188.0,192.0,318,59.0,94.0,227.0,37.0,461.0,98.0,605.0,349.0,58.0,301,70.0,183.0,1202,92.0,63.0,384.0,70.0,40.0
538,1170.0,42.0,3926,572.0,541.0,368.0,455.0,871.0,377.0,714.0,1817.0,37.0,5538,905.0,2580.0,1412,375.0,292.0,1223.0,82.0,37.0
539,899.0,52.0,8507,708.0,937.0,504.0,338.0,1930.0,410.0,1112.0,2086.0,45.0,5161,1091.0,3786.0,2426,602.0,553.0,1173.0,192.0,80.0
540,1009.0,222.0,4213,251.0,569.0,419.0,223.0,1197.0,613.0,1215.0,1881.0,84.0,3053,668.0,2791.0,3826,366.0,298.0,790.0,88.0,110.0
541,5.0,2.0,35,1.0,3.0,15.0,3.0,39.0,13.0,18.0,5.0,3.0,32,2.0,29.0,70,1.0,5.0,44.0,11.0,4.0
543,3.0,1.0,37,2.0,1.0,5.0,4.0,22.0,6.0,9.0,4.0,1.0,47,4.0,25.0,71,4.0,3.0,25.0,0.0,4.0
545,665.0,6692.0,2000,317.0,619.0,263.0,393.0,532.0,170.0,265.0,1899.0,27875.0,1662,230.0,2193.0,1213,238.0,145.0,362.0,15.0,95.0
546,25.0,11.0,985,19.0,15.0,303.0,127.0,1012.0,391.0,600.0,39.0,6.0,1136,10.0,82.0,2071,194.0,237.0,752.0,91.0,50.0
557,21.0,3.0,142,1.0,4.0,13.0,7.0,103.0,34.0,23.0,18.0,1.0,152,19.0,76.0,126,2.0,13.0,68.0,16.0,6.0
559,9.0,6.0,89,4.0,3.0,9.0,0.0,51.0,11.0,17.0,10.0,0.0,98,10.0,79.0,49,3.0,11.0,50.0,7.0,0.0
564,45.0,29.0,299,28.0,24.0,13.0,9.0,128.0,23.0,38.0,185.0,824.0,138,196.0,109.0,159,24.0,21.0,91.0,11.0,10.0
567,157.0,17.0,1195,44.0,63.0,48.0,20.0,356.0,40.0,86.0,335.0,1.0,575,79.0,933.0,314,9.0,73.0,123.0,32.0,24.0
57,2.0,1.0,19,2.0,1.0,3.0,0.0,24.0,7.0,6.0,7.0,0.0,24,3.0,12.0,29,0.0,2.0,24.0,6.0,2.0
571,22.0,3.0,47,7.0,14.0,9.0,2.0,17.0,4.0,13.0,40.0,0.0,25,17.0,27.0,11,3.0,5.0,19.0,11.0,3.0
