strain_id,A_MTX_5-FC.TPO1_TCB2,A_MTX_Fluconazole.TPO1_TCB2,A_MTX_Metformin.TPO1_TCB2,A_MTX_Trifluoperazine.TPO1_TCB2,A_MTX_noDrug.TPO1_TCB2,A_noMTX_5-FC.TPO1_TCB2,A_noMTX_Fluconazole.TPO1_TCB2,A_noMTX_Metformin.TPO1_TCB2,A_noMTX_Trifluoperazine.TPO1_TCB2,A_noMTX_noDrug.TPO1_TCB2,B_MTX_5-FC.TPO1_TCB2,B_MTX_Fluconazole.TPO1_TCB2,B_MTX_Metformin.TPO1_TCB2,B_MTX_Trifluoperazine.TPO1_TCB2,B_MTX_noDrug.TPO1_TCB2,B_noMTX_5-FC.TPO1_TCB2,B_noMTX_Fluconazole.TPO1_TCB2,B_noMTX_Metformin.TPO1_TCB2,B_noMTX_Trifluoperazine.TPO1_TCB2,B_noMTX_noDrug.TPO1_TCB2,T0_noMTX_noDrug.TPO1_TCB2
1040,10.0,9.0,8.0,7.0,3.0,282.0,126.0,287.0,11.0,179.0,3.0,8.0,8.0,1.0,5.0,365.0,249.0,300.0,167.0,20.0,81.0
1046,1.0,3.0,2.0,0.0,1.0,65.0,6.0,72.0,2.0,55.0,2.0,2.0,6.0,0.0,0.0,64.0,154.0,52.0,56.0,2.0,64.0
1050,5.0,0.0,2.0,2.0,2.0,12.0,3.0,6.0,4.0,3.0,5.0,0.0,5.0,2.0,1.0,10.0,2.0,15.0,13.0,4.0,1.0
1065,32.0,3.0,38.0,3.0,12.0,111.0,0.0,42.0,2.0,35.0,14.0,1.0,55.0,0.0,7.0,60.0,15.0,35.0,21.0,2.0,34.0
1069,617.0,994.0,207.0,158.0,810.0,89.0,122.0,152.0,24.0,55.0,698.0,1385.0,401.0,121.0,351.0,128.0,230.0,151.0,155.0,23.0,78.0
107,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,3.0,1.0,1.0
113,19.0,3.0,2.0,5.0,3.0,2.0,2.0,2.0,0.0,3.0,12.0,1.0,1.0,3.0,36.0,2.0,1.0,1.0,3.0,2.0,1.0
119,3.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0
124,388.0,21.0,464.0,3.0,98.0,120.0,53.0,179.0,1.0,82.0,798.0,87.0,406.0,1.0,106.0,239.0,24.0,145.0,47.0,1.0,88.0
128,5.0,0.0,1.0,0.0,0.0,234.0,71.0,354.0,10.0,111.0,2.0,0.0,4.0,0.0,0.0,278.0,92.0,154.0,141.0,8.0,113.0
132,14.0,0.0,2.0,1.0,1.0,112.0,406.0,283.0,11.0,88.0,2.0,0.0,11.0,0.0,2.0,199.0,180.0,430.0,254.0,17.0,82.0
133,4.0,1.0,2.0,0.0,0.0,16.0,1.0,20.0,3.0,18.0,0.0,3.0,0.0,0.0,0.0,22.0,4.0,1.0,53.0,3.0,11.0
136,0.0,1.0,1.0,0.0,3.0,29.0,1.0,20.0,1.0,29.0,1.0,1.0,1.0,0.0,0.0,54.0,67.0,43.0,28.0,1.0,30.0
14,54.0,4.0,5.0,23.0,89.0,15.0,20.0,7.0,3.0,8.0,25.0,6.0,20.0,12.0,39.0,2.0,7.0,32.0,11.0,6.0,10.0
146,226.0,3.0,614.0,61.0,101.0,586.0,249.0,793.0,48.0,448.0,181.0,1.0,538.0,27.0,59.0,915.0,51.0,814.0,624.0,39.0,263.0
15,106.0,97.0,162.0,2.0,79.0,221.0,155.0,117.0,1.0,86.0,445.0,18.0,95.0,3.0,43.0,303.0,15.0,123.0,40.0,4.0,101.0
151,3.0,0.0,1.0,0.0,2.0,71.0,13.0,12.0,6.0,28.0,1.0,0.0,3.0,1.0,0.0,51.0,1.0,25.0,52.0,2.0,46.0
153,2.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,6.0,3.0,3.0,2.0,1.0
17,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0
171,6.0,5.0,5.0,2.0,9.0,19.0,1.0,4.0,2.0,5.0,8.0,0.0,7.0,1.0,7.0,6.0,3.0,1.0,2.0,0.0,19.0
175,0.0,0.0,0.0,0.0,0.0,19.0,2.0,6.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0,33.0,4.0,1.0,7.0
180,3.0,0.0,1.0,0.0,3.0,9.0,6.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0,0.0,1.0,2.0
180_2,8.0,0.0,2.0,2.0,2.0,2.0,13.0,5.0,1.0,1.0,2.0,1.0,6.0,1.0,3.0,5.0,3.0,6.0,13.0,2.0,5.0
185,10.0,0.0,10.0,2.0,8.0,2.0,2.0,1.0,1.0,0.0,6.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0
187,4.0,0.0,0.0,0.0,0.0,21.0,3.0,19.0,2.0,3.0,1.0,0.0,4.0,0.0,0.0,9.0,4.0,16.0,1.0,1.0,3.0
188,1.0,7.0,5.0,1.0,1.0,576.0,89.0,429.0,8.0,249.0,2.0,3.0,3.0,1.0,1.0,528.0,127.0,411.0,328.0,9.0,102.0
192,3.0,15.0,5.0,2.0,16.0,0.0,10.0,5.0,2.0,6.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,8.0,10.0,6.0,5.0
20,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
209,1.0,9.0,0.0,1.0,0.0,8.0,19.0,4.0,2.0,5.0,2.0,7.0,1.0,1.0,2.0,0.0,4.0,6.0,4.0,1.0,2.0
210,4.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,0.0,3.0
226,86.0,0.0,33.0,2.0,27.0,11.0,6.0,40.0,1.0,21.0,161.0,0.0,45.0,0.0,22.0,29.0,0.0,18.0,27.0,3.0,36.0
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
240,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0
248,2.0,0.0,1.0,0.0,1.0,8.0,7.0,3.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,6.0,4.0,0.0,3.0
250,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0
252,3.0,0.0,1.0,2.0,3.0,0.0,7.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,4.0,2.0,0.0,0.0
253,2.0,0.0,21.0,0.0,2.0,2.0,169.0,16.0,1.0,28.0,1.0,0.0,4.0,0.0,0.0,7.0,2.0,8.0,13.0,2.0,3.0
254,0.0,0.0,0.0,0.0,0.0,329.0,188.0,525.0,18.0,459.0,0.0,0.0,0.0,0.0,1.0,326.0,207.0,612.0,520.0,22.0,170.0
257,3.0,0.0,0.0,3.0,2.0,1.0,6.0,2.0,2.0,3.0,1.0,0.0,6.0,0.0,1.0,2.0,4.0,6.0,7.0,2.0,3.0
258,19.0,5.0,23.0,9.0,27.0,24.0,9.0,20.0,2.0,6.0,21.0,14.0,9.0,0.0,5.0,27.0,4.0,29.0,23.0,8.0,17.0
27,50.0,0.0,111.0,0.0,14.0,31.0,5.0,50.0,2.0,46.0,239.0,0.0,29.0,0.0,10.0,78.0,33.0,87.0,12.0,1.0,23.0
270,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.0,0.0
271,0.0,0.0,0.0,0.0,1.0,107.0,41.0,34.0,3.0,43.0,1.0,0.0,0.0,0.0,0.0,75.0,15.0,38.0,31.0,3.0,28.0
272,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0
277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
286,208.0,586.0,632.0,3.0,114.0,240.0,249.0,293.0,1.0,185.0,429.0,463.0,539.0,5.0,114.0,270.0,7.0,234.0,130.0,4.0,188.0
289,4.0,6.0,2.0,0.0,1.0,93.0,636.0,121.0,5.0,65.0,2.0,5.0,0.0,0.0,0.0,102.0,3.0,215.0,219.0,5.0,38.0
29,1.0,4.0,0.0,0.0,4.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,6.0,9.0,1.0,0.0
291,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
294,3.0,1.0,2.0,2.0,1.0,0.0,17.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,16.0,3.0,7.0,1.0,2.0
296,0.0,0.0,1.0,0.0,0.0,412.0,1023.0,377.0,8.0,260.0,0.0,0.0,3.0,1.0,0.0,352.0,3493.0,1199.0,239.0,7.0,108.0
299,3.0,0.0,0.0,0.0,0.0,12.0,18.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,1.0,27.0,3.0,1.0,7.0,4.0,6.0
307,3.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,4.0,3.0,1.0,5.0,3.0
308,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0
31,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0
311,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,6.0,0.0,3.0
312,8.0,3.0,10.0,2.0,10.0,0.0,3.0,2.0,0.0,1.0,9.0,0.0,5.0,1.0,5.0,2.0,1.0,3.0,3.0,1.0,2.0
32,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
320,158.0,72.0,262.0,18.0,129.0,96.0,16.0,203.0,12.0,118.0,236.0,2.0,284.0,25.0,53.0,174.0,33.0,154.0,86.0,7.0,47.0
323,4.0,5.0,3.0,0.0,11.0,36.0,3.0,7.0,1.0,7.0,7.0,1.0,4.0,0.0,0.0,24.0,0.0,13.0,1.0,0.0,11.0
325,8.0,1.0,6.0,2.0,1.0,154.0,66.0,222.0,5.0,145.0,0.0,0.0,17.0,0.0,2.0,152.0,629.0,349.0,88.0,5.0,83.0
33,1.0,0.0,0.0,0.0,1.0,49.0,0.0,28.0,4.0,61.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,26.0,27.0,2.0,18.0
335,85.0,43.0,68.0,3.0,10.0,53.0,14.0,30.0,5.0,25.0,8.0,0.0,74.0,7.0,10.0,83.0,7.0,51.0,48.0,2.0,37.0
336,573.0,16.0,207.0,1.0,741.0,203.0,136.0,247.0,6.0,104.0,465.0,0.0,180.0,2.0,197.0,291.0,116.0,271.0,108.0,3.0,130.0
337,6.0,0.0,4.0,1.0,0.0,88.0,132.0,148.0,10.0,112.0,1.0,0.0,8.0,0.0,0.0,104.0,207.0,274.0,72.0,15.0,42.0
339,12.0,3.0,2.0,5.0,1.0,2.0,13.0,1.0,2.0,0.0,4.0,0.0,8.0,0.0,4.0,2.0,1.0,14.0,5.0,2.0,2.0
347,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0
348,74.0,3.0,13.0,1.0,1.0,126.0,11.0,11.0,0.0,28.0,398.0,0.0,4.0,0.0,0.0,76.0,0.0,19.0,10.0,0.0,110.0
350,26.0,5.0,18.0,21.0,68.0,2.0,8.0,0.0,2.0,1.0,18.0,1.0,8.0,13.0,6.0,2.0,6.0,6.0,7.0,4.0,2.0
354,0.0,2.0,2.0,1.0,0.0,24.0,30.0,72.0,2.0,48.0,0.0,0.0,1.0,0.0,3.0,66.0,32.0,67.0,39.0,3.0,41.0
358,4.0,3.0,3.0,1.0,7.0,4.0,30.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,2.0,3.0,0.0,4.0
359,0.0,0.0,0.0,2.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
36,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
364,11.0,2.0,1.0,1.0,5.0,6.0,2.0,2.0,1.0,3.0,52.0,2.0,1.0,0.0,0.0,6.0,1.0,5.0,3.0,1.0,1.0
375,21.0,0.0,5.0,2.0,5.0,64.0,52.0,10.0,3.0,8.0,1.0,0.0,22.0,2.0,2.0,10.0,0.0,5.0,5.0,2.0,4.0
383,0.0,1.0,0.0,0.0,0.0,5.0,14.0,43.0,2.0,4.0,0.0,1.0,3.0,0.0,2.0,18.0,2.0,14.0,3.0,0.0,5.0
385,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
392,2.0,7.0,0.0,2.0,5.0,137.0,9.0,18.0,0.0,23.0,0.0,1.0,1.0,2.0,2.0,63.0,1.0,9.0,10.0,1.0,29.0
397,1.0,1.0,1.0,0.0,0.0,311.0,25.0,33.0,2.0,58.0,0.0,0.0,3.0,0.0,0.0,182.0,42.0,23.0,36.0,1.0,40.0
399,15.0,9.0,3.0,4.0,2.0,43.0,25.0,7.0,5.0,16.0,1.0,2.0,5.0,0.0,1.0,30.0,9.0,11.0,13.0,8.0,6.0
40,12.0,1.0,11.0,1.0,18.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,3.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0
400,398.0,0.0,507.0,28.0,91.0,270.0,84.0,199.0,11.0,203.0,571.0,0.0,399.0,24.0,82.0,421.0,410.0,292.0,234.0,7.0,109.0
406,1.0,0.0,5.0,0.0,0.0,420.0,1285.0,945.0,28.0,782.0,1.0,1.0,3.0,1.0,0.0,698.0,1398.0,1383.0,571.0,24.0,179.0
408,0.0,0.0,0.0,0.0,0.0,17.0,1149.0,21.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,21.0,11.0,0.0,6.0
409,1403.0,9.0,49.0,24.0,101.0,504.0,139.0,43.0,28.0,85.0,1791.0,2.0,31.0,8.0,31.0,595.0,137.0,80.0,99.0,3.0,172.0
40_2,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
412,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0
418,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,1.0
419,1.0,0.0,2.0,0.0,2.0,337.0,308.0,339.0,6.0,231.0,2.0,1.0,8.0,0.0,1.0,401.0,551.0,483.0,169.0,11.0,94.0
420,0.0,0.0,0.0,0.0,0.0,351.0,3.0,19.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,144.0,7.0,20.0,17.0,1.0,47.0
421,424.0,2.0,96.0,59.0,885.0,29.0,11.0,21.0,2.0,26.0,637.0,5.0,240.0,22.0,143.0,57.0,59.0,51.0,38.0,4.0,21.0
426,8.0,1.0,7.0,9.0,6.0,6.0,2.0,5.0,0.0,1.0,4.0,1.0,7.0,3.0,4.0,2.0,1.0,9.0,2.0,1.0,2.0
43,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
431,0.0,0.0,5.0,0.0,0.0,378.0,60.0,389.0,7.0,252.0,1.0,0.0,3.0,0.0,1.0,364.0,306.0,619.0,182.0,11.0,226.0
433,13.0,0.0,7.0,0.0,4.0,2.0,8.0,6.0,1.0,3.0,2.0,0.0,5.0,0.0,5.0,2.0,3.0,9.0,4.0,5.0,3.0
434,86.0,12.0,241.0,10.0,28.0,96.0,12.0,193.0,9.0,107.0,145.0,11.0,470.0,2.0,31.0,125.0,53.0,169.0,84.0,4.0,57.0
437,7.0,0.0,4.0,3.0,7.0,1.0,3.0,3.0,2.0,2.0,11.0,1.0,3.0,1.0,3.0,1.0,0.0,4.0,3.0,1.0,1.0
438,2.0,0.0,0.0,0.0,0.0,34.0,315.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,21.0,12.0,5.0,4.0,1.0,37.0
439,5.0,3.0,1.0,1.0,3.0,259.0,995.0,40.0,6.0,63.0,2.0,0.0,2.0,0.0,0.0,195.0,18.0,44.0,46.0,2.0,85.0
43_ref1,1.0,1.0,0.0,1.0,0.0,2.0,227.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,140.0,4.0,2.0,0.0,195.0
43_ref2,1.0,2.0,2.0,0.0,0.0,6.0,18.0,2.0,11.0,17.0,3.0,0.0,5.0,0.0,2.0,23.0,1.0,12.0,32.0,7.0,426.0
442,8.0,0.0,3.0,13.0,8.0,4.0,1.0,3.0,1.0,1.0,3.0,0.0,8.0,4.0,8.0,6.0,3.0,5.0,3.0,2.0,0.0
444,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
446,1.0,1.0,0.0,0.0,2.0,240.0,38.0,28.0,0.0,63.0,0.0,1.0,2.0,1.0,1.0,136.0,7.0,22.0,25.0,2.0,56.0
45,1.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,0.0,6.0,0.0,0.0,3.0,0.0,1.0,5.0,1.0,15.0,7.0,3.0,2.0
450,2.0,1.0,3.0,3.0,3.0,50.0,721.0,167.0,3.0,58.0,1.0,2.0,2.0,0.0,0.0,154.0,14.0,129.0,45.0,4.0,45.0
452,3.0,0.0,3.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0
458,2.0,0.0,6.0,2.0,0.0,281.0,78.0,169.0,3.0,171.0,1.0,0.0,2.0,0.0,0.0,246.0,45.0,114.0,112.0,11.0,123.0
459,22.0,6.0,38.0,1.0,1.0,45.0,83.0,20.0,2.0,28.0,57.0,0.0,19.0,1.0,1.0,59.0,13.0,26.0,25.0,4.0,42.0
460,43.0,149.0,71.0,10.0,20.0,82.0,44.0,73.0,5.0,67.0,154.0,185.0,39.0,12.0,25.0,86.0,24.0,56.0,44.0,15.0,33.0
466,3.0,0.0,2.0,0.0,1.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0
468,338.0,71.0,415.0,46.0,179.0,442.0,161.0,397.0,11.0,240.0,311.0,1.0,225.0,19.0,221.0,446.0,8.0,343.0,204.0,9.0,97.0
470,276.0,11.0,17.0,18.0,212.0,29.0,14.0,11.0,6.0,11.0,87.0,11.0,15.0,10.0,11.0,24.0,7.0,13.0,15.0,3.0,6.0
473,0.0,0.0,2.0,0.0,5.0,96.0,329.0,121.0,4.0,108.0,0.0,0.0,3.0,1.0,1.0,108.0,60.0,116.0,45.0,5.0,61.0
475,23.0,47.0,80.0,20.0,9.0,299.0,274.0,561.0,90.0,434.0,9.0,181.0,83.0,5.0,5.0,462.0,76.0,878.0,246.0,85.0,231.0
476,27.0,0.0,34.0,2.0,1.0,32431.0,6201.0,10010.0,218.0,8839.0,5.0,3.0,52.0,2.0,0.0,17358.0,3853.0,8412.0,5547.0,392.0,27783.0
48,1.0,2.0,5.0,2.0,6.0,11.0,53.0,11.0,2.0,23.0,7.0,3.0,3.0,2.0,3.0,8.0,196.0,53.0,15.0,1.0,7.0
485,17.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,8.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0
486,335.0,5.0,427.0,10.0,50.0,736.0,108.0,511.0,14.0,307.0,402.0,53.0,610.0,2.0,25.0,501.0,3.0,555.0,255.0,9.0,177.0
491,120.0,70.0,296.0,26.0,103.0,29.0,17.0,39.0,5.0,44.0,564.0,0.0,318.0,3.0,62.0,54.0,7.0,39.0,64.0,6.0,58.0
493,14.0,0.0,55.0,1.0,10.0,41.0,13.0,78.0,1.0,73.0,43.0,23.0,44.0,2.0,20.0,108.0,1.0,87.0,95.0,3.0,87.0
495,8.0,0.0,7.0,4.0,2.0,70.0,54.0,73.0,17.0,30.0,0.0,0.0,10.0,0.0,1.0,65.0,11.0,60.0,127.0,4.0,25.0
50,155.0,12.0,220.0,8.0,150.0,192.0,10.0,38.0,3.0,72.0,7.0,38.0,2046.0,0.0,6.0,4.0,2.0,71.0,9.0,7.0,53.0
503,2.0,7.0,0.0,0.0,1.0,33.0,236.0,26.0,2.0,27.0,1.0,1.0,1.0,0.0,0.0,17.0,126.0,66.0,80.0,2.0,44.0
507,1.0,0.0,0.0,1.0,0.0,16.0,8.0,5.0,1.0,7.0,0.0,0.0,3.0,1.0,0.0,7.0,7.0,8.0,3.0,6.0,9.0
508,13.0,25.0,1.0,6.0,3.0,121.0,42.0,87.0,6.0,89.0,0.0,2.0,7.0,1.0,3.0,174.0,32.0,189.0,148.0,9.0,68.0
52,5.0,1.0,4.0,1.0,0.0,476.0,1797.0,371.0,5.0,291.0,1.0,4.0,9.0,0.0,0.0,574.0,309.0,330.0,151.0,11.0,173.0
520,4.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,5.0,1.0,1.0,0.0
521,4.0,1.0,2.0,0.0,1.0,19.0,13.0,43.0,11.0,13.0,1.0,0.0,2.0,0.0,0.0,18.0,2.0,35.0,17.0,6.0,27.0
522,8.0,2.0,7.0,4.0,3.0,62.0,89.0,100.0,13.0,74.0,14.0,8.0,28.0,2.0,4.0,79.0,21.0,84.0,69.0,14.0,49.0
523,351.0,22.0,446.0,82.0,197.0,361.0,398.0,238.0,31.0,229.0,234.0,46.0,609.0,33.0,146.0,459.0,99.0,272.0,202.0,40.0,124.0
524,138.0,51.0,20.0,7.0,31.0,68.0,1559.0,49.0,5.0,26.0,329.0,68.0,30.0,8.0,8.0,61.0,49.0,114.0,31.0,7.0,64.0
525,207.0,11.0,95.0,42.0,88.0,191.0,38.0,41.0,14.0,51.0,206.0,2.0,106.0,19.0,34.0,141.0,67.0,83.0,86.0,14.0,66.0
531,4.0,8.0,2.0,4.0,10.0,2.0,2.0,7.0,2.0,4.0,4.0,41.0,14.0,0.0,2.0,3.0,5.0,11.0,4.0,2.0,7.0
532,6.0,17.0,4.0,3.0,7.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,6.0,0.0,0.0,5.0,1.0,7.0,4.0,3.0,2.0
535,2357.0,1926.0,258.0,37.0,343.0,1812.0,1664.0,186.0,13.0,396.0,4934.0,344.0,139.0,18.0,183.0,1760.0,461.0,229.0,135.0,23.0,647.0
538,309.0,19.0,185.0,68.0,1064.0,34.0,151.0,57.0,16.0,42.0,252.0,69.0,542.0,41.0,120.0,59.0,6.0,117.0,50.0,13.0,19.0
539,47.0,14.0,23.0,14.0,33.0,29.0,26.0,19.0,2.0,24.0,12.0,0.0,17.0,6.0,31.0,32.0,9.0,67.0,13.0,9.0,19.0
540,2663.0,529.0,398.0,71.0,1883.0,1064.0,2066.0,864.0,53.0,473.0,6336.0,1098.0,950.0,74.0,1209.0,1139.0,697.0,1469.0,834.0,40.0,478.0
541,5.0,12.0,7.0,7.0,2.0,385.0,603.0,384.0,7.0,198.0,5.0,2.0,12.0,0.0,1.0,470.0,384.0,511.0,246.0,9.0,135.0
