strain_id,A_MTX_5-FC.GTR1_SLM4,A_MTX_Fluconazole.GTR1_SLM4,A_MTX_Metformin.GTR1_SLM4,A_MTX_Trifluoperazine.GTR1_SLM4,A_MTX_noDrug.GTR1_SLM4,A_noMTX_5-FC.GTR1_SLM4,A_noMTX_Fluconazole.GTR1_SLM4,A_noMTX_Metformin.GTR1_SLM4,A_noMTX_Trifluoperazine.GTR1_SLM4,A_noMTX_noDrug.GTR1_SLM4,B_MTX_5-FC.GTR1_SLM4,B_MTX_Fluconazole.GTR1_SLM4,B_MTX_Metformin.GTR1_SLM4,B_MTX_Trifluoperazine.GTR1_SLM4,B_MTX_noDrug.GTR1_SLM4,B_noMTX_5-FC.GTR1_SLM4,B_noMTX_Fluconazole.GTR1_SLM4,B_noMTX_Metformin.GTR1_SLM4,B_noMTX_Trifluoperazine.GTR1_SLM4,B_noMTX_noDrug.GTR1_SLM4,T0_noMTX_noDrug.GTR1_SLM4
132,5.0,3.0,5.0,1.0,5.0,13.0,17.0,25.0,31.0,15.0,4.0,0.0,26.0,1.0,1.0,11.0,9.0,13.0,26.0,67.0,5.0
133,0.0,1.0,2.0,0.0,0.0,2.0,18.0,4.0,15.0,5.0,1.0,0.0,1.0,1.0,2.0,8.0,2.0,2.0,6.0,6.0,2.0
136,5.0,40.0,125.0,0.0,5.0,573.0,27.0,1029.0,1799.0,337.0,4.0,43.0,60.0,4.0,2.0,888.0,261.0,1241.0,2479.0,971.0,507.0
14,74.0,17.0,31.0,61.0,172.0,13.0,6.0,31.0,31.0,24.0,90.0,4.0,75.0,296.0,157.0,21.0,4.0,20.0,34.0,81.0,18.0
146,285.0,51.0,161.0,69.0,294.0,130.0,126.0,142.0,157.0,75.0,372.0,34.0,310.0,608.0,286.0,214.0,181.0,116.0,275.0,291.0,84.0
15,5.0,5.0,6.0,1.0,10.0,3.0,2.0,1.0,10.0,4.0,6.0,0.0,7.0,4.0,4.0,7.0,3.0,6.0,11.0,14.0,5.0
151,4.0,3.0,52.0,5.0,2.0,274.0,6.0,125.0,354.0,30.0,8.0,3.0,13.0,18.0,0.0,206.0,14.0,341.0,339.0,286.0,323.0
153,1.0,8.0,7.0,0.0,0.0,6.0,6.0,7.0,3.0,1.0,0.0,1.0,2.0,5.0,1.0,17.0,18.0,9.0,11.0,21.0,2.0
17,2.0,36.0,0.0,1.0,2.0,1.0,8.0,6.0,5.0,1.0,4.0,16.0,4.0,18.0,2.0,2.0,1.0,1.0,5.0,0.0,3.0
171,372.0,260.0,61.0,62.0,592.0,186.0,550.0,67.0,311.0,39.0,891.0,1474.0,74.0,1403.0,709.0,316.0,712.0,250.0,179.0,196.0,946.0
175,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,34.0,3.0,2.0,0.0,3.0,2.0,0.0,2.0,5.0,13.0,20.0,13.0,1.0
180,1.0,7.0,1.0,0.0,3.0,14.0,5.0,4.0,3.0,5.0,6.0,0.0,5.0,0.0,2.0,22.0,7.0,4.0,8.0,13.0,2.0
180_2,6.0,99.0,6.0,1.0,11.0,25.0,15.0,15.0,20.0,27.0,6.0,4.0,13.0,21.0,5.0,42.0,15.0,11.0,46.0,17.0,12.0
185,22.0,3.0,13.0,5.0,30.0,5.0,1.0,4.0,15.0,3.0,54.0,3.0,22.0,47.0,20.0,9.0,0.0,13.0,17.0,6.0,4.0
187,1.0,1.0,6.0,1.0,1.0,0.0,4.0,6.0,8.0,1.0,5.0,2.0,2.0,1.0,2.0,4.0,5.0,5.0,3.0,14.0,2.0
188,5.0,38.0,9.0,0.0,2.0,2.0,2.0,7.0,11.0,4.0,7.0,26.0,18.0,8.0,4.0,11.0,2.0,4.0,7.0,45.0,4.0
192,12.0,41.0,5.0,4.0,8.0,4.0,9.0,12.0,6.0,6.0,8.0,41.0,7.0,56.0,11.0,23.0,3.0,3.0,4.0,3.0,5.0
20,2.0,1.0,3.0,0.0,1.0,10.0,3.0,3.0,3.0,0.0,2.0,1.0,5.0,1.0,0.0,5.0,3.0,3.0,8.0,1.0,0.0
209,1.0,16.0,99.0,1.0,1.0,341.0,288.0,479.0,566.0,85.0,13.0,47.0,110.0,7.0,3.0,785.0,162.0,616.0,667.0,289.0,392.0
210,5.0,3.0,6.0,3.0,3.0,3.0,2.0,11.0,2.0,2.0,7.0,1.0,5.0,1.0,7.0,6.0,0.0,2.0,4.0,2.0,2.0
226,128.0,51.0,174.0,96.0,122.0,168.0,300.0,40.0,385.0,21.0,231.0,296.0,47.0,533.0,269.0,90.0,234.0,361.0,509.0,330.0,305.0
235,1.0,14.0,0.0,0.0,0.0,2.0,8.0,2.0,6.0,2.0,1.0,0.0,1.0,2.0,1.0,6.0,2.0,4.0,2.0,6.0,2.0
240,1.0,6.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,4.0,0.0
248,7.0,1.0,2.0,0.0,8.0,3.0,2.0,3.0,7.0,4.0,3.0,0.0,0.0,2.0,1.0,6.0,1.0,10.0,9.0,16.0,3.0
250,3.0,2.0,0.0,3.0,2.0,1.0,6.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,5.0,1.0,1.0
252,2.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,7.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,3.0,1.0,7.0,5.0,1.0
253,7.0,1.0,5.0,3.0,4.0,7.0,19.0,9.0,4.0,2.0,10.0,0.0,8.0,1.0,7.0,12.0,2.0,6.0,8.0,87.0,2.0
254,5.0,2.0,3.0,1.0,3.0,5.0,30.0,14.0,53.0,8.0,1.0,1.0,12.0,17.0,0.0,17.0,15.0,14.0,50.0,42.0,10.0
257,25.0,38.0,76.0,1.0,3.0,2908.0,11119.0,955.0,5003.0,632.0,9.0,183.0,43.0,27.0,2.0,4442.0,10316.0,4420.0,5736.0,6019.0,4955.0
258,17.0,5.0,8.0,5.0,14.0,13.0,4.0,20.0,9.0,9.0,16.0,1.0,17.0,58.0,10.0,26.0,5.0,8.0,31.0,85.0,7.0
27,2.0,10.0,2.0,4.0,5.0,7.0,1.0,3.0,4.0,1.0,4.0,11.0,9.0,37.0,3.0,1.0,0.0,3.0,1.0,7.0,1.0
270,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,19.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,7.0,7.0,13.0,2.0
271,0.0,0.0,2.0,0.0,0.0,10.0,14.0,12.0,15.0,5.0,0.0,0.0,6.0,0.0,0.0,18.0,13.0,10.0,19.0,25.0,6.0
272,5.0,0.0,235.0,0.0,2.0,469.0,22.0,640.0,966.0,110.0,0.0,0.0,81.0,6.0,1.0,606.0,59.0,1377.0,1171.0,583.0,499.0
277,5.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,4.0,1.0,0.0
286,2.0,3.0,1.0,4.0,4.0,1.0,4.0,6.0,29.0,1.0,5.0,2.0,6.0,38.0,4.0,8.0,2.0,9.0,19.0,23.0,2.0
289,3.0,6.0,2.0,2.0,1.0,7.0,26.0,12.0,11.0,12.0,0.0,0.0,0.0,3.0,1.0,22.0,12.0,7.0,25.0,20.0,11.0
29,4.0,8.0,1.0,1.0,0.0,3.0,2.0,8.0,8.0,6.0,4.0,2.0,6.0,2.0,2.0,21.0,0.0,1.0,26.0,2.0,3.0
291,0.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,4.0,5.0,4.0
294,2.0,1.0,7.0,0.0,2.0,5.0,93.0,9.0,7.0,1.0,5.0,4.0,10.0,1.0,4.0,11.0,17.0,7.0,18.0,19.0,2.0
296,53.0,724.0,2549.0,0.0,43.0,7868.0,5446.0,8798.0,8144.0,1586.0,56.0,1358.0,1617.0,73.0,17.0,11807.0,6973.0,15054.0,8535.0,6588.0,3837.0
299,2.0,0.0,25.0,1.0,2.0,28.0,9.0,71.0,47.0,21.0,0.0,0.0,5.0,1.0,2.0,98.0,10.0,182.0,105.0,33.0,27.0
307,7.0,2.0,1.0,4.0,2.0,4.0,3.0,4.0,10.0,3.0,4.0,0.0,0.0,0.0,1.0,11.0,4.0,1.0,6.0,2.0,1.0
308,18.0,0.0,0.0,1.0,4.0,2.0,2.0,2.0,5.0,0.0,9.0,0.0,3.0,1.0,0.0,5.0,3.0,3.0,1.0,1.0,1.0
31,3124.0,575.0,2221.0,818.0,1629.0,896.0,75.0,428.0,1249.0,63.0,5853.0,88.0,848.0,6868.0,3317.0,655.0,156.0,1482.0,1381.0,777.0,369.0
311,4.0,0.0,0.0,0.0,1.0,7.0,15.0,13.0,106.0,0.0,3.0,1.0,1.0,3.0,4.0,12.0,6.0,19.0,47.0,31.0,3.0
312,15.0,9.0,18.0,6.0,26.0,5.0,11.0,6.0,32.0,6.0,26.0,7.0,14.0,38.0,12.0,14.0,9.0,17.0,23.0,17.0,2.0
32,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
320,105.0,2.0,77.0,24.0,108.0,32.0,14.0,43.0,42.0,22.0,81.0,0.0,90.0,113.0,71.0,54.0,13.0,25.0,40.0,145.0,6.0
323,3.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0
325,3.0,19.0,8.0,0.0,4.0,7.0,3.0,9.0,11.0,4.0,2.0,0.0,22.0,2.0,5.0,19.0,6.0,16.0,8.0,21.0,4.0
33,1.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,4.0,5.0,16.0,4.0
335,3.0,5.0,4.0,2.0,7.0,3.0,8.0,7.0,5.0,3.0,3.0,2.0,2.0,33.0,4.0,5.0,0.0,4.0,10.0,5.0,0.0
336,14.0,2.0,3.0,1.0,8.0,5.0,3.0,7.0,21.0,2.0,6.0,1.0,8.0,11.0,2.0,7.0,0.0,12.0,9.0,9.0,7.0
337,13.0,867.0,842.0,0.0,6.0,2723.0,2376.0,2577.0,2769.0,404.0,24.0,131.0,248.0,26.0,19.0,3329.0,2322.0,6338.0,3106.0,2323.0,1680.0
339,19.0,9.0,20.0,30.0,38.0,9.0,29.0,20.0,44.0,9.0,27.0,6.0,27.0,68.0,21.0,15.0,312.0,94.0,38.0,25.0,7.0
347,13.0,3.0,2.0,0.0,2.0,6.0,2.0,12.0,5.0,5.0,1.0,0.0,2.0,0.0,0.0,11.0,5.0,6.0,8.0,16.0,1.0
348,12.0,31.0,0.0,0.0,17.0,3.0,6.0,0.0,13.0,0.0,16.0,1.0,3.0,173.0,14.0,8.0,3.0,6.0,4.0,14.0,1.0
350,49.0,16.0,15.0,25.0,94.0,6.0,10.0,5.0,24.0,5.0,40.0,1.0,20.0,208.0,69.0,9.0,3.0,11.0,17.0,12.0,6.0
354,10.0,0.0,5.0,1.0,7.0,4.0,5.0,11.0,19.0,4.0,9.0,0.0,4.0,18.0,4.0,2.0,7.0,13.0,18.0,29.0,7.0
358,11.0,11.0,62.0,3.0,5.0,349.0,491.0,187.0,1125.0,120.0,11.0,21.0,30.0,37.0,10.0,484.0,333.0,577.0,1080.0,1120.0,519.0
359,14.0,8.0,4.0,3.0,8.0,0.0,33.0,1.0,3.0,0.0,3.0,1.0,4.0,236.0,99.0,2.0,1.0,2.0,0.0,11.0,1.0
36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
364,5.0,34.0,2.0,0.0,5.0,2.0,11.0,1.0,5.0,2.0,2.0,15.0,2.0,5.0,1.0,2.0,8.0,2.0,2.0,8.0,0.0
375,19.0,1.0,10.0,7.0,27.0,9.0,124.0,19.0,77.0,7.0,29.0,2.0,23.0,44.0,8.0,25.0,3.0,48.0,43.0,49.0,11.0
383,5.0,7.0,102.0,1.0,2.0,194.0,6.0,291.0,388.0,44.0,10.0,0.0,41.0,4.0,0.0,399.0,15.0,436.0,386.0,206.0,240.0
385,15.0,28.0,0.0,2.0,1.0,1.0,1.0,0.0,7.0,1.0,2.0,8.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,3.0
392,8.0,12.0,219.0,2.0,10.0,2291.0,560.0,2302.0,6296.0,401.0,8.0,1.0,128.0,31.0,3.0,3155.0,658.0,5250.0,6777.0,2751.0,843.0
397,8.0,0.0,3.0,1.0,3.0,37.0,21.0,15.0,390.0,5.0,2.0,0.0,7.0,4.0,1.0,26.0,4.0,63.0,366.0,76.0,320.0
399,16.0,99.0,27.0,5.0,9.0,32.0,36.0,18.0,19.0,28.0,14.0,50.0,43.0,11.0,4.0,48.0,21.0,18.0,39.0,110.0,10.0
40,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,21.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0
400,93.0,0.0,10.0,23.0,170.0,9.0,4.0,6.0,8.0,8.0,72.0,0.0,38.0,156.0,153.0,11.0,0.0,8.0,19.0,34.0,0.0
406,4.0,2.0,1.0,1.0,3.0,18.0,31.0,53.0,80.0,26.0,1.0,2.0,17.0,4.0,1.0,35.0,13.0,35.0,44.0,68.0,10.0
408,0.0,1.0,0.0,0.0,1.0,2.0,23.0,5.0,37.0,6.0,0.0,2.0,1.0,0.0,0.0,6.0,4.0,11.0,19.0,23.0,5.0
409,542.0,16.0,14.0,40.0,47.0,42.0,46.0,20.0,36.0,19.0,197.0,4.0,31.0,82.0,48.0,160.0,25.0,5.0,72.0,13.0,7.0
40_2,4.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
412,10.0,1.0,2.0,2.0,6.0,6.0,9.0,4.0,5.0,0.0,2.0,0.0,3.0,5.0,0.0,8.0,6.0,3.0,11.0,1.0,3.0
418,5.0,1.0,1.0,0.0,2.0,0.0,4.0,7.0,14.0,0.0,2.0,0.0,4.0,0.0,1.0,4.0,1.0,5.0,10.0,14.0,3.0
419,23.0,1.0,837.0,2.0,8.0,756.0,41.0,789.0,1161.0,198.0,50.0,0.0,517.0,73.0,6.0,1052.0,329.0,1648.0,1006.0,1055.0,525.0
420,1.0,0.0,2.0,0.0,0.0,9.0,16.0,6.0,27.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,4.0,22.0,23.0,4.0
421,1647.0,26249.0,1886.0,258.0,2438.0,739.0,221.0,497.0,769.0,124.0,3246.0,695.0,1179.0,5369.0,3036.0,877.0,259.0,1052.0,927.0,701.0,552.0
426,18.0,11.0,9.0,7.0,29.0,5.0,8.0,2.0,16.0,1.0,12.0,3.0,10.0,59.0,23.0,9.0,5.0,15.0,8.0,5.0,5.0
43,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
431,1.0,1.0,4.0,1.0,3.0,7.0,1.0,12.0,8.0,7.0,0.0,0.0,3.0,1.0,1.0,14.0,1.0,7.0,9.0,36.0,4.0
433,9.0,0.0,14.0,2.0,9.0,22.0,9.0,18.0,186.0,10.0,15.0,2.0,7.0,33.0,5.0,18.0,14.0,91.0,81.0,56.0,24.0
434,29.0,105.0,61.0,3.0,25.0,2937.0,11656.0,714.0,4980.0,433.0,42.0,15.0,46.0,59.0,19.0,2740.0,6837.0,3404.0,5308.0,5212.0,5158.0
437,72.0,3.0,17.0,9.0,21.0,8.0,6.0,6.0,25.0,4.0,41.0,3.0,20.0,28.0,12.0,19.0,3.0,14.0,12.0,19.0,4.0
438,5.0,2.0,2.0,0.0,0.0,7.0,39.0,3.0,19.0,3.0,6.0,3.0,4.0,1.0,0.0,22.0,11.0,2.0,10.0,11.0,14.0
439,5.0,23.0,4.0,0.0,3.0,8.0,24.0,5.0,23.0,6.0,6.0,16.0,2.0,14.0,6.0,20.0,15.0,12.0,15.0,20.0,3.0
43_ref1,1.0,1.0,1.0,4.0,2.0,1.0,797.0,1.0,127.0,0.0,2.0,0.0,2.0,22.0,4.0,3.0,295.0,74.0,186.0,4.0,372.0
43_ref2,4.0,5.0,4.0,1.0,5.0,8.0,63.0,265.0,1704.0,23.0,5.0,3.0,1.0,6.0,5.0,9.0,79.0,204.0,2795.0,32.0,773.0
442,49.0,1.0,20.0,21.0,23.0,10.0,6.0,12.0,135.0,6.0,58.0,0.0,18.0,257.0,73.0,17.0,2.0,54.0,73.0,57.0,9.0
444,3.0,0.0,0.0,0.0,0.0,6.0,8.0,3.0,111.0,2.0,1.0,0.0,2.0,4.0,0.0,9.0,1.0,23.0,26.0,32.0,3.0
446,3.0,22.0,4.0,2.0,1.0,10.0,5.0,1.0,3.0,2.0,1.0,4.0,1.0,2.0,0.0,6.0,7.0,2.0,1.0,4.0,0.0
45,5.0,9.0,2.0,2.0,4.0,3.0,2.0,11.0,13.0,4.0,2.0,6.0,7.0,3.0,2.0,20.0,8.0,7.0,9.0,7.0,4.0
450,3.0,5.0,285.0,0.0,6.0,324.0,93.0,297.0,376.0,68.0,19.0,2.0,104.0,13.0,8.0,435.0,110.0,549.0,415.0,395.0,275.0
452,6.0,8.0,0.0,1.0,8.0,2.0,1.0,4.0,3.0,1.0,4.0,0.0,4.0,7.0,5.0,12.0,1.0,3.0,8.0,7.0,0.0
458,0.0,3.0,0.0,1.0,1.0,9.0,18.0,23.0,24.0,9.0,2.0,0.0,2.0,6.0,0.0,18.0,14.0,21.0,15.0,26.0,7.0
459,429.0,1728.0,148.0,147.0,813.0,437.0,286.0,319.0,626.0,92.0,940.0,2414.0,245.0,1767.0,510.0,900.0,767.0,541.0,750.0,460.0,755.0
460,48.0,2408.0,33.0,2.0,164.0,52.0,27.0,36.0,30.0,16.0,136.0,1530.0,52.0,144.0,17.0,69.0,16.0,66.0,35.0,178.0,42.0
466,42.0,3.0,9.0,5.0,2.0,7.0,5.0,8.0,7.0,0.0,18.0,1.0,13.0,2.0,1.0,15.0,3.0,0.0,7.0,3.0,0.0
468,6921.0,18.0,3407.0,1882.0,9193.0,1655.0,153.0,1942.0,3125.0,382.0,20094.0,12.0,2830.0,23254.0,11837.0,2061.0,299.0,3928.0,3316.0,1962.0,1272.0
470,195.0,151.0,41.0,28.0,69.0,28.0,40.0,23.0,36.0,15.0,123.0,6.0,40.0,47.0,36.0,59.0,15.0,15.0,41.0,19.0,14.0
473,1.0,6.0,3.0,1.0,3.0,6.0,29.0,16.0,39.0,9.0,4.0,1.0,10.0,20.0,4.0,9.0,4.0,28.0,38.0,25.0,10.0
475,17.0,50.0,815.0,3.0,25.0,1106.0,1168.0,1497.0,2669.0,385.0,24.0,83.0,519.0,17.0,9.0,2007.0,1133.0,2537.0,2428.0,2332.0,2095.0
476,13.0,17.0,37.0,3.0,5.0,138.0,354.0,236.0,128.0,165.0,15.0,3.0,72.0,5.0,61.0,276.0,94.0,228.0,314.0,353.0,234.0
48,6.0,7.0,2.0,2.0,10.0,2.0,3.0,7.0,3.0,7.0,9.0,12.0,4.0,24.0,7.0,6.0,5.0,4.0,12.0,18.0,5.0
485,2.0,19.0,2.0,1.0,6.0,2.0,9.0,2.0,9.0,2.0,1.0,5.0,2.0,1.0,0.0,7.0,0.0,5.0,8.0,2.0,4.0
486,29.0,7.0,16.0,4.0,15.0,24.0,314.0,19.0,99.0,10.0,26.0,0.0,21.0,59.0,13.0,40.0,12.0,26.0,96.0,68.0,26.0
491,45.0,3.0,35.0,19.0,73.0,3.0,6.0,20.0,28.0,15.0,24.0,5.0,78.0,144.0,92.0,19.0,6.0,18.0,23.0,39.0,18.0
493,8.0,6.0,4.0,6.0,5.0,7.0,6.0,6.0,11.0,4.0,8.0,1.0,4.0,7.0,3.0,12.0,1.0,6.0,12.0,11.0,2.0
495,7.0,2.0,14.0,2.0,5.0,43.0,42.0,53.0,43.0,29.0,12.0,3.0,37.0,32.0,8.0,76.0,13.0,34.0,63.0,48.0,18.0
50,34.0,3.0,23.0,9.0,7.0,8.0,1.0,8.0,3.0,2.0,54.0,0.0,24.0,12.0,6.0,22.0,2.0,6.0,21.0,6.0,6.0
503,1.0,2.0,3.0,1.0,2.0,2.0,10.0,6.0,9.0,11.0,2.0,0.0,5.0,1.0,2.0,14.0,5.0,6.0,16.0,13.0,1.0
507,5.0,2.0,0.0,1.0,1.0,7.0,12.0,5.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,5.0,4.0,4.0,6.0,15.0,11.0
508,8.0,583.0,280.0,6.0,3.0,365.0,178.0,177.0,1130.0,67.0,6.0,15.0,60.0,142.0,4.0,420.0,113.0,491.0,882.0,553.0,436.0
52,3.0,2.0,2.0,0.0,5.0,4.0,9.0,7.0,6.0,4.0,2.0,0.0,5.0,11.0,4.0,15.0,5.0,7.0,12.0,18.0,3.0
520,6.0,2.0,2.0,0.0,2.0,3.0,4.0,9.0,5.0,7.0,3.0,0.0,9.0,1.0,2.0,8.0,2.0,6.0,10.0,8.0,2.0
521,4.0,4.0,6.0,1.0,4.0,26.0,9.0,91.0,81.0,19.0,6.0,0.0,13.0,1.0,1.0,94.0,13.0,54.0,52.0,80.0,23.0
522,2.0,8.0,151.0,1.0,12.0,926.0,348.0,1351.0,1470.0,191.0,20.0,202.0,169.0,46.0,10.0,1281.0,189.0,2033.0,1463.0,864.0,832.0
523,303.0,44.0,279.0,87.0,564.0,84.0,114.0,169.0,92.0,94.0,381.0,89.0,511.0,457.0,261.0,140.0,41.0,96.0,169.0,267.0,28.0
524,15.0,22.0,8.0,3.0,12.0,5.0,10.0,16.0,38.0,9.0,30.0,3.0,14.0,45.0,21.0,12.0,9.0,29.0,30.0,44.0,10.0
525,166.0,7.0,31.0,62.0,250.0,13.0,6.0,27.0,13.0,8.0,192.0,0.0,80.0,325.0,232.0,29.0,5.0,22.0,22.0,37.0,7.0
531,7.0,10.0,2.0,2.0,4.0,2.0,8.0,2.0,8.0,3.0,7.0,3.0,4.0,3.0,3.0,5.0,6.0,4.0,5.0,3.0,0.0
532,8.0,7.0,2.0,0.0,5.0,3.0,8.0,1.0,8.0,0.0,5.0,1.0,4.0,3.0,5.0,9.0,7.0,1.0,7.0,2.0,1.0
535,241.0,135.0,36.0,41.0,328.0,34.0,52.0,28.0,34.0,33.0,238.0,41.0,46.0,201.0,155.0,94.0,38.0,30.0,47.0,70.0,13.0
538,89.0,15.0,55.0,39.0,89.0,32.0,42.0,40.0,18.0,30.0,120.0,12.0,72.0,225.0,84.0,42.0,13.0,34.0,26.0,48.0,11.0
539,81.0,37.0,78.0,25.0,158.0,28.0,33.0,64.0,33.0,46.0,80.0,11.0,93.0,204.0,23.0,64.0,22.0,50.0,61.0,97.0,19.0
540,2792.0,5377.0,2221.0,1640.0,2488.0,2571.0,821.0,797.0,2161.0,204.0,9077.0,1990.0,470.0,32188.0,9568.0,1198.0,946.0,8383.0,8642.0,2703.0,2876.0
