strain_id,A_MTX_5-FC.ALO1_ADE17,A_MTX_Fluconazole.ALO1_ADE17,A_MTX_Metformin.ALO1_ADE17,A_MTX_Trifluoperazine.ALO1_ADE17,A_MTX_noDrug.ALO1_ADE17,A_noMTX_5-FC.ALO1_ADE17,A_noMTX_Fluconazole.ALO1_ADE17,A_noMTX_Metformin.ALO1_ADE17,A_noMTX_Trifluoperazine.ALO1_ADE17,A_noMTX_noDrug.ALO1_ADE17,B_MTX_5-FC.ALO1_ADE17,B_MTX_Fluconazole.ALO1_ADE17,B_MTX_Metformin.ALO1_ADE17,B_MTX_Trifluoperazine.ALO1_ADE17,B_MTX_noDrug.ALO1_ADE17,B_noMTX_5-FC.ALO1_ADE17,B_noMTX_Fluconazole.ALO1_ADE17,B_noMTX_Metformin.ALO1_ADE17,B_noMTX_Trifluoperazine.ALO1_ADE17,B_noMTX_noDrug.ALO1_ADE17,T0_noMTX_noDrug.ALO1_ADE17
1069,197.0,557.0,247.0,156.0,213.0,219.0,96.0,158.0,191.0,62.0,711.0,236.0,400.0,266.0,116.0,132.0,108.0,128.0,207.0,65.0,41.0
107,1.0,4.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,0.0
113,14.0,4.0,4.0,5.0,8.0,0.0,4.0,0.0,5.0,6.0,21.0,3.0,0.0,3.0,12.0,6.0,8.0,2.0,1.0,3.0,11.0
119,0.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,1.0,2.0,6.0,3.0,7.0,2.0,1.0,2.0,2.0
124,15.0,0.0,103.0,49.0,180.0,113.0,56.0,58.0,57.0,86.0,56.0,3.0,107.0,5.0,72.0,121.0,112.0,106.0,54.0,110.0,45.0
128,1.0,0.0,1.0,0.0,0.0,578.0,203.0,137.0,98.0,134.0,1.0,1.0,0.0,0.0,0.0,293.0,775.0,210.0,109.0,106.0,134.0
132,0.0,0.0,15.0,0.0,0.0,148.0,81.0,304.0,216.0,116.0,1.0,67.0,19.0,0.0,2.0,172.0,73.0,170.0,189.0,84.0,46.0
133,2.0,0.0,1.0,3.0,1.0,85.0,133.0,53.0,84.0,39.0,3.0,0.0,2.0,0.0,1.0,90.0,5.0,14.0,20.0,67.0,39.0
136,0.0,0.0,0.0,1.0,0.0,536.0,392.0,142.0,438.0,499.0,0.0,0.0,0.0,1.0,1.0,450.0,436.0,190.0,403.0,405.0,128.0
14,19.0,7.0,35.0,118.0,58.0,69.0,318.0,24.0,76.0,38.0,12.0,7.0,31.0,61.0,90.0,48.0,334.0,104.0,46.0,63.0,41.0
146,161.0,29.0,1195.0,286.0,331.0,1359.0,284.0,1826.0,1485.0,885.0,851.0,7.0,1528.0,259.0,344.0,1383.0,173.0,1064.0,1236.0,937.0,567.0
15,327.0,0.0,88.0,134.0,3377.0,94.0,124.0,27.0,47.0,66.0,3122.0,1.0,45.0,143.0,1779.0,127.0,34.0,24.0,43.0,38.0,37.0
151,1.0,0.0,0.0,2.0,2.0,9.0,10.0,3.0,20.0,11.0,2.0,1.0,1.0,0.0,4.0,13.0,12.0,7.0,5.0,9.0,15.0
153,2.0,1.0,1.0,0.0,0.0,294.0,717.0,153.0,53.0,170.0,1.0,0.0,1.0,0.0,2.0,277.0,890.0,267.0,60.0,181.0,120.0
17,1.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,7.0
171,3.0,0.0,8.0,30.0,21.0,23.0,11.0,18.0,19.0,6.0,3.0,1.0,2.0,12.0,47.0,24.0,28.0,9.0,18.0,18.0,18.0
175,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0
180,2.0,1.0,3.0,1.0,0.0,183.0,211.0,62.0,18.0,57.0,1.0,1.0,6.0,1.0,2.0,134.0,59.0,49.0,59.0,49.0,52.0
180_2,75.0,4.0,2.0,8.0,8.0,973.0,841.0,497.0,336.0,345.0,9.0,9.0,9.0,3.0,3.0,755.0,220.0,157.0,200.0,828.0,339.0
185,9.0,1.0,19.0,37.0,27.0,5.0,0.0,5.0,5.0,2.0,7.0,5.0,14.0,24.0,32.0,4.0,2.0,3.0,2.0,2.0,1.0
187,0.0,0.0,4.0,0.0,0.0,380.0,22.0,799.0,186.0,154.0,0.0,0.0,0.0,0.0,1.0,291.0,197.0,516.0,581.0,79.0,51.0
188,3.0,12.0,4.0,1.0,8.0,206.0,18.0,96.0,104.0,32.0,1.0,7.0,1.0,0.0,2.0,80.0,5.0,62.0,49.0,54.0,24.0
192,4.0,19.0,5.0,20.0,39.0,2.0,13.0,21.0,6.0,8.0,2.0,11.0,1.0,8.0,11.0,11.0,6.0,5.0,4.0,10.0,7.0
20,1.0,0.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,2.0,2.0,2.0,2.0
209,1.0,1.0,4.0,7.0,8.0,120.0,1206.0,38.0,89.0,74.0,0.0,1.0,1.0,1.0,11.0,88.0,556.0,143.0,44.0,99.0,100.0
210,3.0,0.0,6.0,3.0,3.0,11.0,8.0,6.0,10.0,4.0,3.0,0.0,1.0,1.0,6.0,12.0,8.0,4.0,5.0,7.0,11.0
226,54.0,2.0,31.0,5.0,12.0,103.0,6.0,27.0,48.0,45.0,6.0,1.0,10.0,10.0,53.0,48.0,10.0,24.0,56.0,28.0,108.0
235,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,2.0,0.0,16.0
240,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0
248,1.0,0.0,3.0,0.0,2.0,9.0,2.0,6.0,6.0,6.0,4.0,0.0,1.0,7.0,4.0,7.0,3.0,5.0,4.0,3.0,6.0
250,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0
252,0.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,170.0,6.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0
253,0.0,1.0,10.0,0.0,0.0,35.0,14.0,14.0,39.0,10.0,1.0,3.0,4.0,0.0,0.0,40.0,46.0,18.0,10.0,19.0,15.0
254,3.0,0.0,9.0,1.0,4.0,368.0,1237.0,537.0,660.0,323.0,3.0,0.0,4.0,1.0,2.0,312.0,745.0,437.0,575.0,364.0,258.0
257,2.0,0.0,5.0,3.0,7.0,4.0,6.0,3.0,10.0,8.0,1.0,15.0,3.0,4.0,1.0,12.0,1.0,6.0,3.0,6.0,8.0
258,721.0,18.0,181.0,74.0,608.0,706.0,101.0,258.0,150.0,224.0,6199.0,19879.0,158.0,140.0,683.0,536.0,249.0,169.0,219.0,298.0,123.0
27,0.0,1.0,3.0,21.0,3.0,49.0,5.0,82.0,17.0,54.0,1.0,0.0,6.0,2.0,1.0,18.0,0.0,44.0,10.0,70.0,22.0
270,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,1.0,0.0
271,0.0,1.0,3.0,1.0,2.0,1465.0,2456.0,506.0,464.0,610.0,3.0,0.0,0.0,0.0,1.0,1122.0,1554.0,579.0,374.0,836.0,462.0
272,0.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,4.0
277,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0
286,1.0,1.0,3.0,2.0,2.0,17.0,4.0,12.0,6.0,11.0,3.0,0.0,5.0,0.0,2.0,4.0,15.0,17.0,1.0,9.0,7.0
289,2.0,1.0,0.0,1.0,4.0,124.0,317.0,171.0,131.0,52.0,2.0,1.0,0.0,0.0,1.0,114.0,265.0,141.0,158.0,72.0,185.0
29,0.0,15.0,2.0,1.0,10.0,15.0,1.0,5.0,8.0,10.0,3.0,1.0,0.0,1.0,4.0,10.0,2.0,5.0,11.0,1.0,27.0
291,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0
294,1.0,1.0,1.0,1.0,1.0,214.0,586.0,187.0,158.0,63.0,3.0,0.0,1.0,0.0,0.0,155.0,577.0,178.0,104.0,53.0,62.0
296,1.0,0.0,7.0,0.0,1.0,774.0,1620.0,594.0,215.0,564.0,0.0,0.0,7.0,0.0,0.0,649.0,1113.0,802.0,224.0,440.0,224.0
299,1.0,1.0,3.0,0.0,2.0,679.0,61.0,454.0,815.0,358.0,6.0,0.0,0.0,0.0,0.0,769.0,47.0,323.0,221.0,399.0,162.0
307,1.0,14.0,1.0,1.0,2.0,220.0,822.0,133.0,196.0,180.0,11.0,5.0,3.0,0.0,2.0,181.0,461.0,169.0,167.0,300.0,239.0
308,0.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
31,3.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0
311,1.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,2.0
312,12.0,20.0,44.0,37.0,20.0,89.0,30.0,98.0,43.0,56.0,22.0,16.0,59.0,12.0,46.0,95.0,46.0,59.0,44.0,41.0,33.0
32,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
320,1115.0,3.0,1179.0,353.0,10078.0,845.0,284.0,339.0,410.0,328.0,11060.0,4.0,666.0,232.0,1096.0,508.0,112.0,191.0,290.0,428.0,147.0
323,342.0,0.0,181.0,61.0,903.0,436.0,90.0,97.0,100.0,126.0,2119.0,1.0,2.0,6.0,229.0,280.0,0.0,11.0,50.0,68.0,61.0
325,0.0,0.0,3.0,3.0,0.0,15.0,8.0,4.0,8.0,7.0,0.0,0.0,2.0,0.0,1.0,12.0,20.0,7.0,4.0,3.0,13.0
33,0.0,0.0,7.0,3.0,0.0,439.0,124.0,159.0,197.0,200.0,1.0,0.0,2.0,1.0,0.0,384.0,320.0,132.0,292.0,199.0,121.0
335,9.0,0.0,14.0,5.0,6.0,877.0,42.0,191.0,208.0,464.0,3.0,0.0,6.0,5.0,0.0,590.0,212.0,139.0,336.0,324.0,97.0
336,5.0,2.0,1.0,4.0,2.0,16.0,6.0,17.0,35.0,13.0,4.0,0.0,3.0,3.0,4.0,11.0,0.0,7.0,7.0,2.0,26.0
337,0.0,4.0,3.0,1.0,0.0,764.0,1691.0,435.0,391.0,338.0,2.0,1.0,2.0,1.0,2.0,594.0,1589.0,621.0,376.0,404.0,377.0
339,7.0,19.0,1.0,7.0,6.0,7.0,15.0,2.0,6.0,4.0,4.0,0.0,4.0,1.0,18.0,3.0,0.0,1.0,1.0,4.0,2.0
347,1.0,1.0,0.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,4.0,1.0,1.0,3.0
348,3.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,8.0
350,22.0,14.0,28.0,65.0,46.0,24.0,263.0,7.0,21.0,8.0,24.0,30.0,24.0,26.0,29.0,20.0,153.0,45.0,15.0,9.0,15.0
354,1.0,1.0,2.0,5.0,4.0,1.0,3.0,1.0,6.0,1.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,0.0,5.0,4.0,11.0
358,1.0,0.0,1.0,39.0,14.0,4.0,4.0,9.0,13.0,7.0,1.0,2.0,1.0,8.0,1.0,15.0,0.0,0.0,9.0,3.0,10.0
359,4.0,2.0,2.0,6.0,5.0,4.0,8.0,4.0,10.0,5.0,1.0,0.0,5.0,11.0,5.0,13.0,4.0,5.0,6.0,0.0,12.0
36,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0
364,1.0,8.0,0.0,0.0,10.0,6.0,2.0,3.0,3.0,1.0,0.0,5.0,1.0,1.0,3.0,5.0,1.0,3.0,1.0,0.0,1.0
375,3.0,2.0,4.0,5.0,6.0,14.0,6.0,7.0,10.0,3.0,2.0,5.0,7.0,6.0,8.0,11.0,15.0,11.0,4.0,3.0,18.0
383,0.0,2.0,1.0,2.0,0.0,492.0,992.0,111.0,156.0,212.0,2.0,1.0,0.0,0.0,0.0,536.0,191.0,146.0,421.0,227.0,97.0
385,1.0,13.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
392,1.0,2.0,2.0,4.0,9.0,5.0,8.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,4.0,12.0,3.0,2.0,6.0,6.0,4.0
397,1.0,0.0,48.0,1.0,2.0,127.0,229.0,68.0,201.0,77.0,0.0,0.0,36.0,2.0,0.0,66.0,139.0,67.0,141.0,93.0,189.0
399,1.0,61.0,17.0,1.0,1.0,14.0,13.0,3.0,9.0,5.0,1.0,83.0,13.0,0.0,4.0,11.0,19.0,10.0,5.0,6.0,3.0
40,1.0,0.0,2.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,19.0,5.0,0.0,0.0,2.0
400,37.0,0.0,35.0,31.0,37.0,53.0,9.0,23.0,123.0,26.0,44.0,0.0,64.0,42.0,26.0,64.0,5.0,97.0,55.0,37.0,30.0
406,0.0,0.0,3.0,0.0,1.0,117.0,888.0,101.0,137.0,108.0,0.0,1.0,1.0,0.0,1.0,119.0,421.0,154.0,141.0,98.0,74.0
408,0.0,0.0,1.0,0.0,0.0,3.0,6.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,2.0,1.0,9.0
409,227.0,91.0,17.0,80.0,74.0,70.0,24.0,8.0,45.0,17.0,656.0,128.0,13.0,33.0,294.0,84.0,15.0,11.0,34.0,32.0,12.0
40_2,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0
412,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,9.0,2.0,0.0,1.0,2.0
418,5.0,0.0,3.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0
419,1.0,1.0,3.0,1.0,5.0,86.0,35.0,114.0,60.0,48.0,1.0,1.0,3.0,3.0,1.0,113.0,129.0,64.0,84.0,116.0,30.0
420,0.0,1.0,1.0,0.0,0.0,41.0,68.0,5.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,27.0,78.0,19.0,25.0,13.0,37.0
421,124.0,4.0,41.0,59.0,78.0,3.0,10.0,0.0,1.0,4.0,103.0,9.0,67.0,119.0,62.0,8.0,22.0,5.0,4.0,3.0,5.0
426,4.0,2.0,9.0,13.0,9.0,5.0,3.0,2.0,9.0,1.0,7.0,1.0,3.0,6.0,7.0,2.0,15.0,2.0,3.0,1.0,5.0
43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
431,0.0,0.0,1.0,1.0,1.0,995.0,138.0,602.0,312.0,483.0,1.0,0.0,10.0,0.0,0.0,725.0,632.0,497.0,474.0,375.0,240.0
433,7.0,0.0,12.0,26.0,9.0,5.0,8.0,7.0,9.0,3.0,9.0,1.0,11.0,10.0,46.0,11.0,3.0,5.0,4.0,2.0,18.0
434,2749.0,6.0,1176.0,489.0,2257.0,802.0,328.0,274.0,163.0,336.0,29156.0,0.0,1160.0,723.0,4499.0,596.0,269.0,207.0,170.0,156.0,123.0
437,1.0,3.0,13.0,10.0,11.0,6.0,3.0,3.0,7.0,6.0,6.0,3.0,7.0,5.0,13.0,4.0,4.0,5.0,1.0,2.0,9.0
438,2.0,1.0,2.0,0.0,1.0,41.0,50.0,4.0,7.0,10.0,2.0,0.0,3.0,0.0,0.0,13.0,23.0,10.0,6.0,3.0,25.0
439,7.0,20.0,1.0,2.0,7.0,5.0,90.0,3.0,10.0,7.0,8.0,8.0,3.0,0.0,0.0,9.0,9.0,7.0,4.0,2.0,8.0
43_ref1,3.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,2.0,3.0,37.0,0.0,0.0,0.0,1.0,0.0,52.0,6.0,0.0,0.0,785.0
43_ref2,4.0,4.0,0.0,7.0,3.0,281.0,3.0,0.0,18.0,77.0,29.0,0.0,1.0,1.0,7.0,210.0,1.0,11.0,8.0,13.0,1757.0
442,6.0,1.0,24.0,45.0,67.0,6.0,4.0,3.0,5.0,3.0,11.0,3.0,10.0,8.0,37.0,7.0,2.0,2.0,4.0,5.0,4.0
444,0.0,0.0,0.0,2.0,7.0,0.0,4.0,2.0,3.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
446,0.0,1.0,0.0,1.0,1.0,47.0,590.0,4.0,23.0,11.0,1.0,1.0,2.0,2.0,1.0,19.0,1076.0,259.0,16.0,18.0,21.0
45,0.0,0.0,0.0,0.0,4.0,6.0,5.0,0.0,12.0,5.0,0.0,0.0,1.0,1.0,0.0,7.0,14.0,4.0,3.0,4.0,3.0
450,1.0,6.0,2.0,7.0,6.0,3.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,4.0,0.0,1.0
452,2.0,1.0,6.0,2.0,1.0,4.0,5.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,2.0,4.0,4.0,1.0,8.0
458,1.0,2.0,2.0,6.0,5.0,262.0,43.0,122.0,206.0,217.0,1.0,0.0,0.0,0.0,6.0,230.0,33.0,73.0,193.0,234.0,344.0
459,4.0,0.0,2.0,4.0,6.0,17.0,19.0,8.0,22.0,9.0,14.0,0.0,11.0,3.0,5.0,11.0,7.0,8.0,6.0,7.0,31.0
460,28.0,260.0,77.0,52.0,28.0,88.0,164.0,75.0,63.0,52.0,19.0,115.0,108.0,38.0,61.0,82.0,114.0,113.0,48.0,71.0,42.0
466,3.0,1.0,4.0,2.0,2.0,7.0,2.0,0.0,3.0,3.0,5.0,0.0,3.0,0.0,0.0,5.0,10.0,2.0,6.0,4.0,4.0
468,40.0,9.0,103.0,83.0,69.0,257.0,442.0,120.0,56.0,109.0,43.0,2.0,60.0,55.0,86.0,161.0,192.0,88.0,112.0,175.0,80.0
470,1159.0,10.0,1757.0,513.0,13151.0,1142.0,66.0,199.0,381.0,797.0,7418.0,1670.0,103.0,607.0,2868.0,1008.0,310.0,143.0,269.0,738.0,151.0
473,2.0,1.0,3.0,3.0,0.0,104.0,463.0,76.0,104.0,46.0,6.0,0.0,2.0,1.0,4.0,118.0,423.0,115.0,65.0,110.0,125.0
475,11.0,128.0,216.0,26.0,10.0,6651.0,3941.0,20989.0,6806.0,4615.0,3.0,269.0,328.0,21.0,6.0,4739.0,2813.0,12492.0,6767.0,7073.0,1858.0
476,0.0,2.0,17.0,3.0,0.0,2158.0,3161.0,1087.0,857.0,1092.0,141.0,4.0,8.0,3.0,1.0,1431.0,2361.0,1325.0,1381.0,1213.0,490.0
48,7.0,7.0,3.0,4.0,9.0,5.0,12.0,3.0,11.0,4.0,14.0,11.0,11.0,3.0,12.0,5.0,5.0,3.0,3.0,5.0,5.0
485,672.0,18.0,76.0,40.0,1.0,221.0,0.0,60.0,1.0,4.0,5850.0,2.0,0.0,1.0,266.0,162.0,4.0,0.0,18.0,11.0,39.0
486,36.0,30.0,1432.0,140.0,560.0,450.0,152.0,567.0,301.0,346.0,0.0,82.0,572.0,76.0,171.0,368.0,87.0,389.0,457.0,370.0,137.0
491,23.0,14.0,24.0,51.0,27.0,20.0,13.0,36.0,48.0,14.0,16.0,4.0,23.0,38.0,26.0,28.0,16.0,20.0,15.0,15.0,51.0
493,1.0,0.0,21.0,9.0,0.0,42.0,36.0,19.0,83.0,52.0,3.0,1.0,6.0,0.0,0.0,26.0,4.0,26.0,58.0,30.0,106.0
495,1.0,2.0,23.0,4.0,0.0,1396.0,1692.0,1088.0,1720.0,469.0,0.0,0.0,13.0,0.0,3.0,1216.0,969.0,882.0,1498.0,649.0,350.0
50,20.0,7.0,9.0,10.0,28.0,3.0,5.0,2.0,9.0,2.0,65.0,4.0,13.0,5.0,14.0,5.0,3.0,7.0,2.0,4.0,8.0
503,1.0,0.0,2.0,1.0,4.0,122.0,368.0,39.0,72.0,45.0,9.0,1.0,0.0,0.0,1.0,80.0,196.0,64.0,139.0,38.0,59.0
507,1.0,0.0,1.0,1.0,0.0,18.0,10.0,2.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,18.0,5.0,5.0,10.0
508,0.0,31.0,3.0,1.0,0.0,215.0,1115.0,64.0,265.0,76.0,3.0,18.0,3.0,0.0,2.0,199.0,595.0,176.0,333.0,209.0,102.0
52,3.0,3.0,2.0,1.0,1.0,33.0,161.0,7.0,13.0,9.0,5.0,7.0,2.0,2.0,3.0,26.0,228.0,59.0,17.0,12.0,15.0
520,3.0,4.0,1.0,3.0,10.0,8.0,4.0,3.0,14.0,1.0,20.0,0.0,2.0,3.0,9.0,6.0,4.0,3.0,7.0,5.0,12.0
521,1.0,0.0,8.0,2.0,1.0,21.0,24.0,31.0,731.0,18.0,7.0,0.0,3.0,0.0,2.0,124.0,9.0,36.0,13.0,12.0,28.0
522,5.0,2.0,23.0,9.0,3.0,15.0,14.0,24.0,25.0,11.0,22.0,3.0,21.0,0.0,9.0,16.0,14.0,19.0,8.0,19.0,12.0
523,641.0,81.0,556.0,361.0,727.0,895.0,538.0,939.0,637.0,546.0,5727.0,859.0,576.0,271.0,1064.0,715.0,264.0,475.0,373.0,809.0,306.0
524,14.0,7.0,7.0,4.0,8.0,122.0,23.0,16.0,21.0,20.0,15.0,2.0,5.0,13.0,7.0,68.0,29.0,27.0,34.0,24.0,13.0
525,2700.0,1.0,1388.0,533.0,2480.0,1118.0,261.0,824.0,927.0,381.0,28520.0,0.0,1271.0,719.0,4986.0,875.0,137.0,519.0,516.0,445.0,195.0
531,3.0,33.0,1.0,0.0,2.0,15.0,9.0,5.0,10.0,4.0,13.0,55.0,10.0,0.0,7.0,2.0,1.0,7.0,2.0,5.0,1.0
532,3.0,11.0,5.0,6.0,8.0,6.0,15.0,0.0,6.0,2.0,6.0,7.0,5.0,4.0,7.0,4.0,127.0,37.0,0.0,4.0,1.0
535,12695.0,11444.0,2952.0,2807.0,24232.0,1712.0,588.0,304.0,480.0,816.0,76429.0,695.0,2404.0,3263.0,13481.0,1036.0,751.0,394.0,196.0,933.0,452.0
538,167.0,9.0,121.0,91.0,118.0,236.0,1095.0,97.0,195.0,115.0,138.0,65.0,251.0,151.0,112.0,172.0,729.0,242.0,234.0,130.0,106.0
539,66.0,34.0,205.0,74.0,136.0,1071.0,1333.0,469.0,437.0,754.0,169.0,85.0,129.0,44.0,79.0,700.0,851.0,546.0,508.0,999.0,203.0
540,308.0,25.0,99.0,718.0,2183.0,314.0,196.0,98.0,95.0,58.0,872.0,152.0,153.0,1373.0,498.0,281.0,371.0,201.0,206.0,61.0,55.0
