strain_id,A_MTX_5-FC.ERV25_ORM2,A_MTX_Fluconazole.ERV25_ORM2,A_MTX_Metformin.ERV25_ORM2,A_MTX_Trifluoperazine.ERV25_ORM2,A_MTX_noDrug.ERV25_ORM2,A_noMTX_5-FC.ERV25_ORM2,A_noMTX_Fluconazole.ERV25_ORM2,A_noMTX_Metformin.ERV25_ORM2,A_noMTX_Trifluoperazine.ERV25_ORM2,A_noMTX_noDrug.ERV25_ORM2,B_MTX_5-FC.ERV25_ORM2,B_MTX_Fluconazole.ERV25_ORM2,B_MTX_Metformin.ERV25_ORM2,B_MTX_Trifluoperazine.ERV25_ORM2,B_MTX_noDrug.ERV25_ORM2,B_noMTX_5-FC.ERV25_ORM2,B_noMTX_Fluconazole.ERV25_ORM2,B_noMTX_Metformin.ERV25_ORM2,B_noMTX_Trifluoperazine.ERV25_ORM2,B_noMTX_noDrug.ERV25_ORM2,T0_noMTX_noDrug.ERV25_ORM2
1040,87.0,13.0,124.0,195.0,56.0,440.0,196.0,555.0,415.0,511.0,166.0,30.0,803.0,66.0,141.0,433.0,76.0,437.0,1310.0,403.0,495.0
1046,17.0,106.0,67.0,39.0,4.0,186.0,555.0,193.0,62.0,82.0,47.0,4.0,196.0,8.0,2.0,83.0,511.0,246.0,262.0,147.0,135.0
1050,10.0,2.0,13.0,17.0,18.0,3.0,6.0,44.0,11.0,13.0,21.0,1.0,71.0,5.0,26.0,17.0,2.0,23.0,29.0,14.0,4.0
1065,1.0,38.0,5.0,4.0,6.0,2.0,0.0,3.0,1.0,2.0,2.0,36.0,24.0,3.0,8.0,0.0,0.0,6.0,2.0,2.0,4.0
1069,247.0,755.0,122.0,143.0,519.0,107.0,225.0,135.0,41.0,127.0,474.0,385.0,568.0,186.0,379.0,93.0,1202.0,168.0,129.0,81.0,185.0
107,4.0,26.0,8.0,2.0,2.0,1.0,1.0,9.0,3.0,2.0,24.0,4.0,14.0,1.0,1.0,8.0,5.0,6.0,9.0,20.0,7.0
113,169.0,3.0,49.0,212.0,446.0,8.0,5.0,36.0,22.0,30.0,88.0,7.0,437.0,107.0,2553.0,27.0,3.0,15.0,53.0,11.0,21.0
119,7.0,5.0,7.0,11.0,3.0,4.0,2.0,12.0,3.0,3.0,7.0,5.0,20.0,6.0,10.0,7.0,3.0,9.0,10.0,2.0,2.0
124,98.0,1.0,132.0,153.0,91.0,73.0,7.0,168.0,50.0,58.0,413.0,0.0,515.0,79.0,470.0,62.0,2.0,191.0,85.0,40.0,25.0
128,20.0,14.0,17.0,3.0,5.0,78.0,24.0,209.0,37.0,102.0,35.0,17.0,40.0,6.0,33.0,162.0,6.0,195.0,143.0,207.0,111.0
132,225.0,82.0,1545.0,185.0,14.0,469.0,1372.0,1190.0,499.0,466.0,593.0,120.0,3833.0,48.0,87.0,596.0,237.0,1153.0,1312.0,908.0,207.0
133,2.0,0.0,21.0,2.0,0.0,189.0,11.0,1086.0,172.0,518.0,0.0,0.0,46.0,0.0,2.0,305.0,0.0,363.0,686.0,234.0,21.0
136,6.0,3.0,1.0,4.0,2.0,16.0,136.0,58.0,19.0,27.0,7.0,0.0,37.0,2.0,4.0,20.0,0.0,34.0,85.0,46.0,31.0
14,814.0,23.0,724.0,1175.0,1803.0,634.0,321.0,1895.0,313.0,1007.0,3030.0,12.0,1991.0,723.0,4002.0,613.0,51.0,1590.0,1750.0,1290.0,500.0
146,1193.0,10.0,864.0,1500.0,2329.0,461.0,291.0,983.0,396.0,751.0,4182.0,22.0,2468.0,885.0,7255.0,533.0,145.0,704.0,1305.0,739.0,584.0
15,275.0,2.0,909.0,160.0,536.0,503.0,340.0,706.0,226.0,418.0,814.0,4.0,795.0,138.0,373.0,297.0,94.0,921.0,717.0,535.0,130.0
151,0.0,1.0,8.0,2.0,1.0,7.0,11.0,13.0,9.0,10.0,1.0,1.0,25.0,1.0,10.0,23.0,6.0,14.0,38.0,8.0,9.0
153,17.0,1.0,103.0,0.0,2.0,712.0,396.0,537.0,234.0,632.0,36.0,0.0,455.0,2.0,4.0,1269.0,461.0,574.0,723.0,756.0,211.0
17,2.0,4.0,1.0,4.0,5.0,3.0,39.0,5.0,7.0,6.0,3.0,2.0,10.0,3.0,10.0,5.0,1.0,4.0,12.0,1.0,0.0
171,67.0,9.0,90.0,121.0,210.0,16.0,70.0,23.0,16.0,25.0,126.0,3.0,171.0,59.0,258.0,8.0,8.0,22.0,43.0,21.0,36.0
175,0.0,0.0,2.0,2.0,1.0,3.0,3.0,12.0,3.0,5.0,1.0,0.0,6.0,1.0,2.0,9.0,3.0,14.0,14.0,33.0,2.0
180,203.0,272.0,703.0,91.0,40.0,531.0,204.0,627.0,260.0,350.0,385.0,259.0,2142.0,44.0,132.0,673.0,584.0,1599.0,1016.0,748.0,353.0
180_2,176.0,200.0,599.0,77.0,23.0,1599.0,211.0,4442.0,515.0,1829.0,282.0,179.0,1485.0,44.0,372.0,2283.0,12.0,1903.0,1521.0,1192.0,297.0
185,23.0,1.0,24.0,26.0,24.0,7.0,8.0,11.0,7.0,12.0,36.0,4.0,127.0,11.0,58.0,12.0,6.0,13.0,26.0,10.0,5.0
187,34.0,0.0,82.0,50.0,28.0,15.0,158.0,21.0,13.0,19.0,155.0,0.0,379.0,9.0,63.0,19.0,150.0,58.0,40.0,65.0,53.0
188,32.0,15.0,76.0,25.0,7.0,13.0,8.0,15.0,7.0,14.0,19.0,29.0,72.0,6.0,7.0,20.0,2.0,8.0,33.0,11.0,13.0
192,39.0,1950.0,116.0,34.0,17.0,443.0,185.0,869.0,153.0,206.0,60.0,2405.0,226.0,21.0,41.0,749.0,850.0,228.0,396.0,180.0,144.0
20,2.0,1.0,47.0,0.0,0.0,26.0,1.0,30.0,12.0,9.0,17.0,0.0,246.0,0.0,1.0,18.0,3.0,5.0,39.0,28.0,24.0
209,8.0,2.0,17.0,9.0,12.0,20.0,38.0,38.0,11.0,28.0,34.0,0.0,27.0,4.0,25.0,17.0,88.0,30.0,43.0,21.0,30.0
210,8.0,0.0,11.0,10.0,5.0,6.0,19.0,22.0,8.0,8.0,9.0,1.0,20.0,2.0,8.0,12.0,2.0,16.0,24.0,4.0,5.0
226,33.0,16.0,37.0,50.0,59.0,111.0,463.0,93.0,108.0,74.0,80.0,2.0,175.0,31.0,209.0,53.0,57.0,333.0,131.0,178.0,183.0
235,2.0,2.0,0.0,1.0,0.0,6.0,19.0,9.0,3.0,13.0,0.0,2.0,4.0,1.0,4.0,9.0,7.0,9.0,18.0,3.0,7.0
240,1.0,0.0,29.0,2.0,0.0,167.0,162.0,566.0,63.0,244.0,18.0,1.0,58.0,1.0,1.0,76.0,133.0,933.0,268.0,184.0,18.0
248,6.0,0.0,4.0,0.0,1.0,2.0,1.0,14.0,12.0,11.0,73.0,0.0,24.0,20.0,63.0,7.0,3.0,13.0,23.0,9.0,5.0
250,1.0,2.0,5.0,0.0,0.0,11.0,0.0,184.0,18.0,69.0,4.0,1.0,41.0,2.0,10.0,79.0,2.0,27.0,63.0,72.0,40.0
252,44.0,39.0,0.0,60.0,136.0,3.0,19.0,10.0,1.0,3.0,51.0,1.0,31.0,128.0,209.0,2.0,9.0,3.0,10.0,4.0,0.0
253,60.0,13.0,167.0,50.0,41.0,382.0,0.0,552.0,158.0,307.0,143.0,15.0,533.0,47.0,115.0,426.0,5.0,942.0,474.0,329.0,66.0
254,11.0,18.0,111.0,10.0,4.0,106.0,26.0,411.0,155.0,146.0,23.0,1.0,95.0,12.0,40.0,152.0,68.0,281.0,188.0,117.0,148.0
257,25.0,105.0,27.0,16.0,10.0,15.0,78.0,36.0,23.0,17.0,35.0,52.0,94.0,7.0,25.0,32.0,39.0,34.0,60.0,42.0,37.0
258,91.0,7.0,174.0,72.0,36.0,60.0,11.0,107.0,26.0,51.0,326.0,44.0,461.0,25.0,155.0,39.0,5.0,160.0,105.0,72.0,89.0
27,2.0,0.0,2.0,2.0,1.0,4.0,3.0,5.0,2.0,3.0,0.0,64.0,25.0,0.0,6.0,5.0,0.0,7.0,10.0,11.0,0.0
270,0.0,0.0,0.0,0.0,1.0,0.0,17.0,1.0,4.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,14.0,4.0,8.0,2.0,8.0
271,53.0,7.0,272.0,17.0,5.0,583.0,377.0,1375.0,273.0,519.0,133.0,27.0,640.0,4.0,17.0,480.0,232.0,666.0,593.0,403.0,145.0
272,4.0,0.0,27.0,6.0,2.0,6.0,1.0,18.0,4.0,9.0,56.0,0.0,12.0,2.0,13.0,9.0,1.0,7.0,29.0,7.0,7.0
277,3.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,9.0,1.0,2.0,2.0,0.0,1.0,6.0,5.0,1.0
286,69.0,774.0,101.0,24.0,110.0,108.0,5.0,123.0,45.0,21.0,226.0,272.0,187.0,20.0,123.0,185.0,3.0,245.0,242.0,212.0,25.0
289,9.0,0.0,16.0,6.0,0.0,89.0,58.0,197.0,25.0,25.0,4.0,3.0,25.0,0.0,5.0,37.0,107.0,93.0,171.0,58.0,60.0
29,3.0,4.0,1.0,6.0,0.0,3.0,17.0,12.0,5.0,9.0,4.0,2.0,17.0,3.0,11.0,15.0,2.0,9.0,17.0,8.0,6.0
291,1.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,4.0,2.0,0.0,1.0,10.0,0.0,0.0,5.0,9.0,5.0,7.0,1.0,3.0
294,52.0,250.0,168.0,44.0,39.0,454.0,42.0,631.0,119.0,459.0,208.0,256.0,381.0,25.0,125.0,407.0,444.0,413.0,426.0,125.0,83.0
296,3.0,5.0,24.0,1.0,0.0,261.0,224.0,192.0,76.0,82.0,0.0,8.0,57.0,0.0,8.0,329.0,191.0,89.0,140.0,92.0,51.0
299,17.0,0.0,59.0,11.0,12.0,66.0,31.0,400.0,76.0,125.0,27.0,0.0,93.0,15.0,21.0,258.0,9.0,178.0,334.0,210.0,47.0
307,3.0,0.0,1.0,3.0,8.0,10.0,8.0,21.0,2.0,3.0,1.0,0.0,11.0,2.0,12.0,7.0,1.0,5.0,21.0,32.0,10.0
308,12.0,0.0,3.0,10.0,4.0,1.0,4.0,11.0,3.0,7.0,8.0,0.0,16.0,6.0,12.0,8.0,2.0,5.0,18.0,5.0,1.0
31,331.0,4.0,22.0,181.0,111.0,10.0,3.0,10.0,8.0,5.0,483.0,0.0,227.0,72.0,725.0,13.0,1.0,15.0,18.0,12.0,7.0
311,3.0,0.0,1.0,3.0,0.0,2.0,1.0,14.0,3.0,8.0,1.0,0.0,22.0,0.0,7.0,11.0,8.0,16.0,22.0,3.0,0.0
312,137.0,55.0,110.0,18.0,191.0,221.0,2.0,465.0,28.0,64.0,57.0,16.0,138.0,33.0,163.0,331.0,0.0,137.0,218.0,42.0,26.0
32,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,6.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,1.0
320,430.0,10.0,330.0,192.0,292.0,501.0,79.0,445.0,184.0,362.0,562.0,2.0,829.0,98.0,552.0,435.0,176.0,722.0,489.0,456.0,159.0
323,15.0,9.0,144.0,4.0,2.0,21.0,18.0,83.0,21.0,51.0,14.0,8.0,199.0,10.0,13.0,18.0,23.0,57.0,78.0,33.0,32.0
325,5.0,3.0,104.0,2.0,4.0,398.0,241.0,470.0,102.0,530.0,20.0,5.0,161.0,1.0,5.0,608.0,583.0,464.0,330.0,687.0,202.0
33,13.0,31.0,115.0,17.0,6.0,45.0,152.0,124.0,47.0,97.0,23.0,7.0,259.0,6.0,15.0,44.0,222.0,229.0,167.0,37.0,95.0
335,18.0,2.0,34.0,31.0,49.0,35.0,14.0,48.0,44.0,70.0,29.0,2.0,60.0,19.0,44.0,60.0,4.0,46.0,39.0,96.0,22.0
336,3.0,0.0,16.0,5.0,4.0,26.0,5.0,44.0,29.0,44.0,27.0,1.0,39.0,4.0,18.0,66.0,8.0,48.0,18.0,92.0,14.0
337,89.0,241.0,768.0,47.0,17.0,773.0,1559.0,2046.0,602.0,817.0,221.0,101.0,1859.0,27.0,77.0,808.0,395.0,2532.0,1519.0,495.0,451.0
339,12.0,1.0,16.0,15.0,8.0,9.0,51.0,15.0,15.0,61.0,11.0,0.0,51.0,5.0,104.0,10.0,5.0,33.0,34.0,12.0,13.0
347,3.0,3.0,4.0,2.0,2.0,76.0,6.0,116.0,19.0,27.0,1.0,1.0,21.0,1.0,8.0,32.0,1.0,15.0,71.0,8.0,10.0
348,9.0,9.0,6.0,3.0,1.0,9.0,243.0,13.0,7.0,11.0,13.0,0.0,84.0,1.0,2.0,8.0,247.0,10.0,34.0,7.0,16.0
350,296.0,98.0,311.0,364.0,161.0,218.0,17.0,429.0,95.0,302.0,1065.0,34.0,851.0,85.0,595.0,379.0,2.0,628.0,383.0,227.0,83.0
354,1.0,0.0,5.0,1.0,2.0,11.0,5.0,29.0,11.0,14.0,6.0,2.0,14.0,1.0,6.0,10.0,2.0,22.0,46.0,14.0,5.0
358,53.0,2.0,165.0,20.0,17.0,157.0,8.0,306.0,50.0,89.0,91.0,24.0,184.0,18.0,110.0,104.0,8.0,713.0,285.0,171.0,21.0
359,79.0,2.0,33.0,42.0,107.0,2.0,62.0,12.0,4.0,3.0,187.0,1.0,82.0,30.0,141.0,7.0,1.0,15.0,19.0,8.0,7.0
36,4.0,12.0,3.0,15.0,18.0,1.0,13.0,8.0,2.0,4.0,8.0,0.0,38.0,15.0,20.0,2.0,3.0,3.0,17.0,3.0,1.0
364,13.0,29.0,10.0,2.0,4.0,18.0,506.0,13.0,3.0,13.0,21.0,23.0,52.0,4.0,25.0,9.0,93.0,24.0,22.0,15.0,15.0
375,32.0,1.0,42.0,82.0,65.0,47.0,109.0,83.0,54.0,97.0,197.0,0.0,126.0,30.0,58.0,43.0,2.0,30.0,95.0,28.0,48.0
383,21.0,6.0,135.0,19.0,16.0,299.0,25.0,124.0,50.0,35.0,39.0,1.0,231.0,12.0,40.0,323.0,4.0,232.0,261.0,14.0,48.0
385,5.0,11.0,0.0,3.0,11.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,5.0,6.0,4.0,2.0,4.0,2.0,9.0,0.0,2.0
392,25.0,3.0,190.0,14.0,5.0,297.0,96.0,1035.0,123.0,269.0,71.0,6.0,392.0,14.0,35.0,322.0,13.0,641.0,354.0,389.0,59.0
397,5.0,2.0,4.0,12.0,1.0,1.0,6.0,3.0,6.0,5.0,2.0,1.0,35.0,1.0,4.0,10.0,2.0,14.0,17.0,7.0,6.0
399,99.0,3474.0,120.0,46.0,26.0,39.0,59.0,89.0,23.0,29.0,113.0,4066.0,248.0,36.0,78.0,59.0,93.0,41.0,64.0,31.0,59.0
40,5.0,9.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0
400,208.0,6.0,135.0,187.0,305.0,199.0,7.0,71.0,73.0,79.0,676.0,1.0,426.0,130.0,665.0,87.0,112.0,38.0,157.0,130.0,60.0
406,17.0,17.0,123.0,29.0,20.0,698.0,582.0,1828.0,442.0,868.0,73.0,3.0,309.0,23.0,66.0,1137.0,979.0,820.0,1311.0,1412.0,167.0
408,0.0,14.0,23.0,0.0,0.0,20.0,14.0,21.0,20.0,39.0,2.0,0.0,76.0,0.0,0.0,6.0,2.0,29.0,23.0,15.0,29.0
409,1191.0,34.0,1057.0,618.0,783.0,1545.0,693.0,3090.0,365.0,561.0,2825.0,13.0,1598.0,564.0,1531.0,1414.0,4.0,566.0,3143.0,1631.0,72.0
40_2,1.0,0.0,5.0,7.0,9.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,8.0,2.0,14.0,7.0,0.0,2.0,7.0,0.0,1.0
412,29.0,0.0,1.0,11.0,18.0,4.0,32.0,5.0,3.0,3.0,25.0,2.0,31.0,23.0,25.0,6.0,28.0,8.0,6.0,4.0,3.0
418,1.0,0.0,1.0,3.0,4.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,5.0,4.0,2.0,2.0,5.0,0.0,0.0
419,12.0,1.0,107.0,24.0,12.0,435.0,8.0,1143.0,125.0,182.0,69.0,1.0,218.0,23.0,50.0,726.0,25.0,702.0,1264.0,292.0,41.0
420,2.0,0.0,9.0,1.0,0.0,23.0,13.0,66.0,8.0,21.0,2.0,0.0,21.0,2.0,0.0,22.0,2.0,36.0,57.0,40.0,10.0
421,102.0,66.0,80.0,146.0,291.0,23.0,206.0,65.0,16.0,26.0,436.0,828.0,241.0,101.0,506.0,29.0,19.0,50.0,77.0,27.0,26.0
426,16.0,5.0,9.0,32.0,10.0,6.0,45.0,15.0,7.0,14.0,17.0,9.0,91.0,27.0,30.0,15.0,49.0,15.0,23.0,9.0,6.0
43,1.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,17.0,7.0,5.0,8.0
431,26.0,2.0,72.0,4.0,16.0,108.0,22.0,178.0,95.0,148.0,49.0,21.0,183.0,4.0,2.0,43.0,55.0,215.0,222.0,242.0,61.0
433,11.0,0.0,14.0,18.0,2.0,6.0,7.0,16.0,17.0,24.0,13.0,0.0,123.0,2.0,21.0,19.0,8.0,26.0,38.0,30.0,10.0
434,481.0,29.0,933.0,219.0,392.0,561.0,1224.0,1087.0,339.0,625.0,856.0,1139.0,1591.0,90.0,1046.0,388.0,68.0,1295.0,962.0,1218.0,163.0
437,36.0,6.0,20.0,51.0,50.0,4.0,11.0,14.0,5.0,8.0,52.0,1.0,139.0,37.0,105.0,16.0,3.0,27.0,51.0,14.0,5.0
438,6.0,97.0,10.0,3.0,3.0,19.0,42.0,16.0,2.0,6.0,25.0,8.0,34.0,5.0,4.0,13.0,8.0,13.0,24.0,12.0,49.0
439,33.0,2576.0,315.0,43.0,9.0,325.0,4791.0,1252.0,394.0,944.0,90.0,4597.0,1051.0,15.0,28.0,481.0,1865.0,487.0,846.0,1050.0,74.0
43_ref1,3.0,0.0,0.0,4.0,2.0,4.0,371.0,2.0,3.0,5.0,3.0,0.0,10.0,1.0,7.0,3.0,31.0,3.0,17.0,3.0,339.0
43_ref2,10.0,0.0,2.0,10.0,5.0,37.0,20.0,30.0,19.0,29.0,12.0,4.0,18.0,2.0,32.0,52.0,0.0,26.0,78.0,22.0,620.0
442,31.0,1.0,25.0,96.0,33.0,7.0,9.0,20.0,13.0,19.0,38.0,1.0,147.0,10.0,144.0,5.0,3.0,20.0,30.0,16.0,2.0
444,1.0,0.0,1.0,2.0,1.0,1.0,5.0,2.0,4.0,0.0,1.0,1.0,8.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0
446,26.0,133.0,64.0,23.0,18.0,7.0,24.0,25.0,25.0,23.0,35.0,108.0,258.0,1.0,7.0,21.0,761.0,10.0,41.0,30.0,26.0
45,4.0,1.0,1.0,2.0,0.0,8.0,8.0,32.0,13.0,10.0,2.0,0.0,44.0,0.0,8.0,12.0,8.0,13.0,17.0,5.0,0.0
450,12.0,11.0,62.0,18.0,26.0,22.0,288.0,57.0,22.0,53.0,78.0,12.0,117.0,7.0,22.0,28.0,223.0,97.0,75.0,48.0,43.0
452,20.0,8.0,64.0,8.0,6.0,5.0,46.0,16.0,9.0,48.0,86.0,2.0,210.0,10.0,13.0,21.0,16.0,22.0,25.0,8.0,13.0
458,0.0,5.0,12.0,1.0,0.0,28.0,13.0,110.0,67.0,59.0,7.0,3.0,27.0,1.0,12.0,30.0,2.0,81.0,126.0,32.0,193.0
459,57.0,4.0,81.0,17.0,13.0,160.0,11.0,130.0,143.0,310.0,65.0,31.0,255.0,17.0,41.0,187.0,2.0,296.0,113.0,336.0,41.0
460,64.0,173.0,81.0,20.0,84.0,425.0,101.0,917.0,97.0,293.0,228.0,105.0,301.0,20.0,141.0,604.0,110.0,599.0,424.0,433.0,134.0
466,17.0,4.0,2.0,6.0,9.0,5.0,6.0,16.0,6.0,9.0,25.0,1.0,17.0,6.0,32.0,21.0,1.0,15.0,15.0,8.0,2.0
468,2150.0,4.0,1089.0,2104.0,3349.0,88.0,11.0,218.0,60.0,123.0,5964.0,5.0,1621.0,1509.0,10892.0,162.0,50.0,100.0,259.0,147.0,163.0
470,124.0,111.0,70.0,40.0,69.0,20.0,28.0,41.0,10.0,32.0,151.0,11.0,121.0,21.0,104.0,47.0,21.0,19.0,59.0,31.0,28.0
473,6.0,2.0,29.0,8.0,10.0,218.0,80.0,940.0,97.0,316.0,27.0,0.0,143.0,3.0,26.0,388.0,19.0,186.0,230.0,402.0,112.0
475,228.0,121.0,3813.0,399.0,75.0,2230.0,320.0,9403.0,956.0,1741.0,739.0,108.0,17339.0,206.0,176.0,2707.0,742.0,5473.0,4484.0,3488.0,1221.0
476,198.0,13.0,3018.0,176.0,39.0,3562.0,1488.0,15230.0,2712.0,4289.0,451.0,1.0,11462.0,71.0,166.0,3698.0,126.0,18075.0,10939.0,10602.0,2451.0
48,14.0,24.0,57.0,35.0,14.0,92.0,26.0,65.0,20.0,129.0,68.0,23.0,152.0,34.0,37.0,51.0,72.0,48.0,119.0,38.0,65.0
485,7.0,5.0,7.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,7.0,28.0,2.0,6.0,6.0,0.0,7.0,6.0,5.0,6.0
486,33.0,4.0,20.0,26.0,47.0,4.0,3.0,32.0,8.0,26.0,47.0,3.0,241.0,11.0,54.0,20.0,3.0,30.0,30.0,39.0,57.0
491,355.0,5.0,351.0,211.0,240.0,276.0,4.0,443.0,252.0,457.0,558.0,1.0,1432.0,115.0,685.0,610.0,440.0,310.0,606.0,508.0,91.0
493,37.0,6.0,115.0,82.0,123.0,57.0,12.0,99.0,31.0,66.0,135.0,12.0,155.0,61.0,121.0,92.0,6.0,107.0,66.0,111.0,107.0
495,266.0,0.0,614.0,118.0,46.0,589.0,19.0,1989.0,250.0,460.0,679.0,2.0,1417.0,77.0,235.0,579.0,50.0,1693.0,1136.0,553.0,819.0
50,27.0,0.0,127.0,44.0,9.0,16.0,20.0,65.0,16.0,18.0,70.0,1.0,407.0,20.0,45.0,65.0,5.0,17.0,65.0,10.0,10.0
503,18.0,26.0,79.0,16.0,4.0,150.0,60.0,304.0,90.0,91.0,52.0,1.0,137.0,8.0,21.0,175.0,6.0,222.0,507.0,54.0,53.0
507,31.0,0.0,121.0,9.0,5.0,565.0,629.0,302.0,176.0,278.0,30.0,0.0,422.0,3.0,21.0,455.0,54.0,756.0,441.0,444.0,196.0
508,55.0,37.0,72.0,30.0,5.0,53.0,42.0,47.0,58.0,49.0,114.0,28.0,200.0,26.0,53.0,67.0,587.0,144.0,181.0,52.0,155.0
52,10.0,4.0,8.0,5.0,2.0,12.0,4.0,12.0,6.0,7.0,4.0,0.0,30.0,2.0,13.0,44.0,1.0,25.0,15.0,35.0,21.0
520,9.0,0.0,1.0,10.0,1.0,7.0,2.0,9.0,10.0,14.0,7.0,0.0,31.0,0.0,19.0,11.0,2.0,15.0,16.0,8.0,13.0
521,13.0,1.0,41.0,12.0,7.0,446.0,18.0,410.0,79.0,100.0,14.0,0.0,461.0,3.0,22.0,266.0,16.0,154.0,563.0,215.0,55.0
522,28.0,11.0,62.0,60.0,27.0,384.0,61.0,546.0,241.0,440.0,36.0,3.0,220.0,8.0,70.0,120.0,13.0,420.0,583.0,355.0,61.0
523,5397.0,253.0,3601.0,5089.0,9899.0,3215.0,4915.0,7393.0,1300.0,3166.0,10921.0,222.0,8525.0,3434.0,17928.0,3694.0,1190.0,2914.0,4435.0,3286.0,619.0
524,911.0,430.0,595.0,213.0,297.0,367.0,50.0,511.0,337.0,303.0,1547.0,14.0,1354.0,174.0,2013.0,414.0,26.0,968.0,1292.0,1099.0,146.0
525,585.0,7.0,379.0,472.0,1375.0,239.0,195.0,323.0,82.0,222.0,2234.0,12.0,896.0,296.0,3013.0,214.0,52.0,264.0,404.0,85.0,239.0
531,13.0,7.0,22.0,9.0,8.0,4.0,5.0,242.0,12.0,35.0,20.0,5.0,43.0,9.0,10.0,19.0,2.0,121.0,84.0,16.0,9.0
532,4.0,3.0,5.0,7.0,5.0,0.0,12.0,5.0,6.0,11.0,9.0,4.0,23.0,0.0,14.0,10.0,5.0,12.0,21.0,2.0,2.0
535,8185.0,4396.0,3741.0,4568.0,10258.0,4348.0,4672.0,5786.0,1254.0,2509.0,17949.0,981.0,6613.0,2689.0,27693.0,5825.0,430.0,4873.0,3950.0,4273.0,595.0
538,2155.0,35.0,1581.0,1471.0,2590.0,1077.0,4052.0,2433.0,472.0,1124.0,4645.0,112.0,3448.0,763.0,6469.0,880.0,61.0,1984.0,1209.0,1511.0,228.0
539,172.0,168.0,321.0,206.0,339.0,455.0,212.0,1576.0,150.0,416.0,327.0,138.0,1016.0,149.0,447.0,474.0,25.0,982.0,542.0,275.0,291.0
