strain_id,A_MTX_5-FC.MID2_MAM33,A_MTX_Fluconazole.MID2_MAM33,A_MTX_Metformin.MID2_MAM33,A_MTX_Trifluoperazine.MID2_MAM33,A_MTX_noDrug.MID2_MAM33,A_noMTX_5-FC.MID2_MAM33,A_noMTX_Fluconazole.MID2_MAM33,A_noMTX_Metformin.MID2_MAM33,A_noMTX_Trifluoperazine.MID2_MAM33,A_noMTX_noDrug.MID2_MAM33,B_MTX_5-FC.MID2_MAM33,B_MTX_Fluconazole.MID2_MAM33,B_MTX_Metformin.MID2_MAM33,B_MTX_Trifluoperazine.MID2_MAM33,B_MTX_noDrug.MID2_MAM33,B_noMTX_5-FC.MID2_MAM33,B_noMTX_Fluconazole.MID2_MAM33,B_noMTX_Metformin.MID2_MAM33,B_noMTX_Trifluoperazine.MID2_MAM33,B_noMTX_noDrug.MID2_MAM33,T0_noMTX_noDrug.MID2_MAM33
136,0.0,0.0,2.0,2.0,3.0,14.0,37.0,18.0,37.0,25.0,0.0,0.0,0.0,2.0,0.0,9.0,61.0,61.0,13.0,32.0,12.0
14,174.0,26.0,275.0,970.0,957.0,145.0,20.0,154.0,305.0,180.0,152.0,294.0,168.0,865.0,1338.0,105.0,50.0,310.0,145.0,233.0,130.0
146,322.0,459.0,2288.0,194.0,147.0,2419.0,607.0,2231.0,1200.0,1202.0,446.0,111.0,1558.0,153.0,130.0,1946.0,392.0,2412.0,2139.0,3211.0,600.0
15,58.0,2.0,100.0,37.0,102.0,54.0,77.0,31.0,19.0,27.0,73.0,113.0,29.0,58.0,19.0,43.0,7.0,62.0,45.0,36.0,23.0
151,1.0,0.0,1.0,2.0,1.0,2.0,1.0,7.0,5.0,13.0,3.0,1.0,0.0,1.0,1.0,38.0,5.0,0.0,21.0,20.0,14.0
153,6.0,2.0,3.0,1.0,3.0,73.0,22.0,20.0,9.0,31.0,2.0,3.0,0.0,0.0,0.0,75.0,300.0,44.0,22.0,97.0,45.0
17,0.0,4.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0
171,9.0,2.0,6.0,9.0,13.0,37.0,4.0,4.0,9.0,7.0,11.0,2.0,9.0,8.0,7.0,30.0,5.0,7.0,68.0,17.0,9.0
175,2.0,0.0,3.0,0.0,0.0,33.0,36.0,5.0,7.0,23.0,3.0,0.0,0.0,0.0,1.0,38.0,7.0,7.0,23.0,26.0,7.0
180,2.0,2.0,12.0,0.0,2.0,348.0,171.0,144.0,29.0,133.0,14.0,0.0,1.0,0.0,0.0,204.0,174.0,85.0,134.0,224.0,65.0
180_2,6.0,3.0,7.0,1.0,5.0,449.0,462.0,147.0,160.0,270.0,6.0,119.0,1.0,5.0,2.0,262.0,994.0,313.0,173.0,277.0,81.0
185,4.0,5.0,14.0,18.0,12.0,5.0,0.0,6.0,2.0,2.0,8.0,6.0,3.0,5.0,16.0,4.0,12.0,4.0,3.0,8.0,1.0
187,0.0,0.0,0.0,0.0,1.0,18.0,9.0,8.0,7.0,3.0,1.0,0.0,1.0,0.0,0.0,29.0,43.0,17.0,48.0,48.0,14.0
188,5.0,12.0,10.0,1.0,3.0,433.0,17.0,208.0,124.0,171.0,2.0,11.0,4.0,1.0,0.0,271.0,63.0,351.0,208.0,261.0,48.0
192,7.0,30.0,4.0,7.0,37.0,44.0,44.0,13.0,46.0,28.0,3.0,30.0,2.0,2.0,8.0,27.0,64.0,41.0,12.0,42.0,15.0
20,1.0,1.0,1.0,4.0,1.0,16.0,1.0,0.0,3.0,7.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,5.0,38.0,8.0,3.0
209,2.0,5.0,4.0,1.0,1.0,70.0,117.0,34.0,35.0,37.0,1.0,4.0,0.0,2.0,1.0,49.0,194.0,132.0,32.0,60.0,39.0
210,4.0,0.0,7.0,0.0,6.0,10.0,76.0,4.0,5.0,6.0,0.0,0.0,3.0,1.0,1.0,5.0,463.0,11.0,11.0,14.0,6.0
226,130.0,0.0,195.0,109.0,77.0,124.0,5.0,40.0,32.0,60.0,197.0,59.0,73.0,63.0,44.0,92.0,42.0,59.0,195.0,153.0,98.0
235,1.0,1.0,1.0,0.0,1.0,153.0,1.0,95.0,59.0,84.0,0.0,0.0,0.0,0.0,0.0,96.0,10.0,195.0,65.0,167.0,32.0
240,1.0,1.0,2.0,0.0,0.0,6.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,3.0,14.0,0.0
248,14.0,0.0,8.0,0.0,9.0,35.0,33.0,10.0,14.0,20.0,6.0,0.0,5.0,1.0,1.0,25.0,10.0,18.0,21.0,57.0,25.0
250,1.0,7.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,6.0,3.0,0.0,2.0,4.0,4.0
252,0.0,7.0,0.0,1.0,34.0,5.0,9.0,5.0,2.0,0.0,4.0,15.0,0.0,3.0,0.0,4.0,4.0,2.0,3.0,5.0,2.0
253,6.0,51.0,16.0,1.0,0.0,61.0,10.0,6.0,20.0,48.0,44.0,1.0,0.0,11.0,0.0,42.0,721.0,14.0,56.0,74.0,7.0
254,0.0,2.0,0.0,0.0,1.0,134.0,1680.0,149.0,236.0,111.0,5.0,1.0,0.0,3.0,0.0,200.0,236.0,262.0,200.0,279.0,107.0
257,3.0,1.0,1.0,2.0,4.0,66.0,121.0,19.0,35.0,58.0,0.0,24.0,2.0,3.0,1.0,69.0,74.0,40.0,78.0,70.0,69.0
258,70.0,3743.0,118.0,62.0,90.0,229.0,28.0,116.0,60.0,90.0,92.0,94.0,47.0,57.0,16.0,240.0,64.0,213.0,107.0,198.0,37.0
27,0.0,0.0,3.0,0.0,0.0,7.0,1.0,4.0,3.0,3.0,4.0,0.0,4.0,3.0,1.0,4.0,2.0,4.0,12.0,6.0,3.0
270,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,2.0,8.0,0.0
271,26.0,1.0,12.0,0.0,0.0,359.0,426.0,105.0,203.0,222.0,31.0,0.0,2.0,6.0,0.0,325.0,231.0,204.0,236.0,342.0,78.0
272,2.0,0.0,1.0,0.0,1.0,32.0,1.0,5.0,24.0,2.0,7.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0,3.0,12.0,4.0
277,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
286,7.0,2.0,5.0,2.0,28.0,13.0,25.0,29.0,7.0,5.0,8.0,16.0,48.0,4.0,4.0,8.0,7.0,7.0,18.0,19.0,10.0
289,0.0,5.0,2.0,1.0,0.0,341.0,356.0,146.0,106.0,165.0,0.0,3.0,2.0,0.0,0.0,221.0,565.0,253.0,247.0,324.0,88.0
29,0.0,6.0,0.0,0.0,7.0,227.0,3.0,31.0,71.0,60.0,0.0,8.0,2.0,0.0,2.0,59.0,2.0,630.0,137.0,102.0,30.0
291,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,6.0,9.0,9.0,5.0
294,2.0,1.0,0.0,0.0,3.0,281.0,394.0,36.0,62.0,83.0,1.0,1.0,3.0,2.0,3.0,106.0,35.0,89.0,93.0,65.0,25.0
296,0.0,2.0,1.0,0.0,0.0,331.0,117.0,153.0,141.0,133.0,0.0,41.0,2.0,1.0,0.0,244.0,598.0,490.0,180.0,304.0,46.0
299,1.0,0.0,3.0,0.0,2.0,40.0,13.0,22.0,58.0,44.0,1.0,1.0,0.0,0.0,1.0,72.0,11.0,23.0,43.0,50.0,12.0
307,9.0,3.0,1.0,2.0,2.0,264.0,64.0,76.0,391.0,89.0,24.0,16.0,1.0,0.0,2.0,158.0,58.0,177.0,317.0,170.0,87.0
308,6.0,4.0,3.0,0.0,5.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,5.0,4.0,0.0
31,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,33.0,1.0,1.0,2.0,0.0
311,1.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,6.0,6.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,11.0,8.0,15.0,0.0
312,11.0,12.0,51.0,1.0,41.0,14.0,7.0,7.0,10.0,8.0,8.0,27.0,32.0,1.0,3.0,20.0,4.0,14.0,23.0,32.0,2.0
32,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,5.0,3.0,2.0,0.0
320,307.0,4.0,962.0,212.0,482.0,402.0,113.0,359.0,261.0,248.0,894.0,122.0,583.0,223.0,302.0,397.0,28.0,498.0,241.0,466.0,46.0
323,12.0,0.0,2.0,2.0,5.0,2.0,60.0,6.0,3.0,3.0,35.0,3.0,3.0,0.0,2.0,10.0,6.0,1.0,7.0,15.0,6.0
325,5.0,3.0,1.0,0.0,4.0,372.0,53.0,116.0,94.0,200.0,3.0,0.0,3.0,12.0,1.0,252.0,267.0,155.0,233.0,329.0,92.0
33,0.0,0.0,0.0,0.0,0.0,26.0,3.0,3.0,26.0,13.0,0.0,0.0,1.0,0.0,0.0,11.0,22.0,4.0,25.0,6.0,12.0
335,43.0,0.0,207.0,31.0,89.0,425.0,44.0,148.0,92.0,207.0,95.0,0.0,44.0,30.0,12.0,354.0,45.0,260.0,296.0,264.0,109.0
336,7.0,0.0,17.0,17.0,9.0,80.0,64.0,10.0,7.0,7.0,7.0,0.0,5.0,6.0,6.0,6.0,5.0,44.0,12.0,13.0,14.0
337,2.0,0.0,8.0,0.0,1.0,240.0,173.0,103.0,63.0,78.0,0.0,124.0,5.0,1.0,1.0,188.0,225.0,167.0,112.0,227.0,48.0
339,122.0,113.0,218.0,121.0,53.0,273.0,1510.0,155.0,156.0,191.0,53.0,0.0,93.0,74.0,68.0,225.0,735.0,214.0,348.0,327.0,59.0
347,0.0,6.0,1.0,0.0,1.0,82.0,1.0,60.0,18.0,30.0,2.0,1.0,7.0,1.0,1.0,15.0,7.0,75.0,21.0,62.0,17.0
348,1.0,1.0,0.0,1.0,2.0,45.0,27.0,13.0,13.0,18.0,4.0,1.0,1.0,0.0,1.0,23.0,4.0,13.0,15.0,43.0,22.0
350,51.0,8.0,94.0,220.0,487.0,127.0,56.0,31.0,28.0,36.0,67.0,89.0,61.0,75.0,127.0,75.0,5.0,67.0,57.0,83.0,19.0
354,2.0,4.0,4.0,0.0,1.0,117.0,12.0,91.0,81.0,70.0,2.0,0.0,2.0,1.0,1.0,63.0,55.0,123.0,193.0,133.0,26.0
358,2.0,3.0,25.0,11.0,3.0,15.0,2.0,10.0,14.0,28.0,5.0,0.0,10.0,4.0,1.0,15.0,7.0,4.0,9.0,37.0,19.0
359,1.0,1.0,2.0,7.0,18.0,3.0,3.0,8.0,5.0,11.0,11.0,2.0,4.0,1.0,3.0,7.0,1.0,17.0,3.0,20.0,4.0
36,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0
364,2.0,2.0,0.0,2.0,1.0,144.0,2.0,25.0,14.0,44.0,3.0,1.0,2.0,0.0,0.0,79.0,9.0,52.0,46.0,91.0,27.0
375,34.0,0.0,178.0,33.0,9.0,45.0,7.0,62.0,123.0,43.0,49.0,28.0,113.0,6.0,3.0,72.0,12.0,54.0,45.0,61.0,32.0
383,1.0,5.0,2.0,1.0,3.0,254.0,188.0,60.0,87.0,71.0,2.0,2.0,2.0,0.0,0.0,151.0,62.0,129.0,92.0,156.0,47.0
385,8.0,17.0,2.0,3.0,14.0,3.0,0.0,0.0,1.0,4.0,7.0,11.0,0.0,7.0,1.0,4.0,3.0,2.0,1.0,12.0,0.0
392,0.0,10.0,2.0,16.0,10.0,225.0,149.0,138.0,145.0,160.0,2.0,19.0,1.0,1.0,5.0,172.0,8.0,168.0,204.0,314.0,55.0
397,0.0,5.0,2.0,0.0,0.0,155.0,2.0,35.0,95.0,70.0,1.0,1.0,6.0,0.0,27.0,80.0,213.0,81.0,88.0,60.0,71.0
399,10.0,19.0,5.0,0.0,1.0,769.0,898.0,700.0,368.0,365.0,4.0,3.0,12.0,0.0,0.0,499.0,1678.0,1219.0,439.0,512.0,153.0
40,2.0,2.0,3.0,3.0,78.0,21.0,1.0,2.0,4.0,5.0,0.0,7.0,4.0,0.0,4.0,21.0,14.0,1.0,1.0,17.0,2.0
400,200.0,2.0,243.0,80.0,210.0,493.0,85.0,85.0,162.0,186.0,188.0,1.0,98.0,90.0,51.0,277.0,40.0,194.0,268.0,262.0,77.0
406,0.0,0.0,8.0,1.0,0.0,156.0,334.0,373.0,220.0,227.0,0.0,0.0,8.0,1.0,0.0,162.0,401.0,674.0,227.0,427.0,76.0
408,0.0,0.0,2.0,0.0,0.0,127.0,19.0,50.0,36.0,48.0,0.0,1.0,0.0,0.0,0.0,69.0,30.0,154.0,86.0,110.0,64.0
409,8799.0,62.0,1062.0,2228.0,5284.0,3660.0,527.0,443.0,1785.0,658.0,21751.0,124.0,228.0,3777.0,2946.0,1947.0,184.0,728.0,1615.0,720.0,645.0
40_2,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
412,0.0,0.0,1.0,2.0,0.0,2.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,1.0,5.0,2.0,0.0
418,14.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,7.0,0.0,3.0,0.0,1.0,1.0,26.0,1.0,4.0,7.0,1.0
419,1.0,4.0,1.0,0.0,2.0,181.0,10.0,70.0,50.0,84.0,1.0,3.0,2.0,1.0,2.0,215.0,46.0,58.0,39.0,114.0,15.0
420,1.0,2.0,5.0,1.0,0.0,168.0,5.0,25.0,29.0,23.0,0.0,0.0,1.0,1.0,1.0,86.0,6.0,43.0,82.0,69.0,16.0
421,280.0,401.0,575.0,92.0,383.0,371.0,11.0,159.0,135.0,94.0,478.0,30.0,425.0,489.0,142.0,273.0,28.0,170.0,169.0,339.0,69.0
426,9.0,0.0,9.0,6.0,9.0,4.0,5.0,7.0,1.0,3.0,3.0,0.0,11.0,3.0,2.0,6.0,18.0,10.0,6.0,10.0,5.0
43,0.0,0.0,1.0,0.0,0.0,21.0,8.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,7.0,31.0,11.0,23.0
431,1.0,0.0,6.0,0.0,0.0,194.0,19.0,184.0,33.0,118.0,13.0,0.0,4.0,0.0,0.0,93.0,12.0,139.0,122.0,269.0,56.0
433,4.0,0.0,10.0,4.0,7.0,226.0,6.0,38.0,29.0,36.0,6.0,0.0,12.0,3.0,6.0,73.0,13.0,55.0,57.0,62.0,95.0
434,35.0,5.0,263.0,65.0,101.0,150.0,28.0,141.0,35.0,163.0,160.0,7.0,409.0,30.0,53.0,158.0,7.0,195.0,121.0,249.0,27.0
437,17.0,13.0,14.0,13.0,32.0,34.0,4.0,10.0,21.0,8.0,22.0,1.0,11.0,19.0,5.0,27.0,27.0,8.0,19.0,23.0,9.0
438,2.0,1.0,3.0,0.0,0.0,566.0,1886.0,114.0,49.0,102.0,1.0,2.0,0.0,2.0,0.0,388.0,1215.0,108.0,166.0,205.0,464.0
439,11.0,2.0,1.0,2.0,3.0,469.0,2086.0,121.0,239.0,226.0,11.0,10.0,2.0,6.0,0.0,331.0,1033.0,148.0,397.0,541.0,121.0
43_ref1,2.0,17.0,1.0,2.0,3.0,1.0,210.0,0.0,4.0,5.0,4.0,1.0,2.0,3.0,2.0,1.0,334.0,0.0,2.0,1.0,336.0
43_ref2,4.0,4.0,2.0,5.0,1.0,9.0,5.0,9.0,30.0,17.0,10.0,1.0,2.0,4.0,6.0,10.0,7.0,9.0,17.0,31.0,490.0
442,13.0,2.0,14.0,8.0,15.0,6.0,5.0,5.0,7.0,6.0,8.0,5.0,15.0,7.0,9.0,2.0,9.0,11.0,3.0,23.0,2.0
444,1.0,0.0,3.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,4.0,0.0
446,0.0,0.0,14.0,0.0,0.0,361.0,49.0,155.0,127.0,326.0,1.0,0.0,6.0,2.0,0.0,187.0,170.0,174.0,554.0,617.0,126.0
45,1.0,0.0,0.0,0.0,3.0,6.0,1.0,8.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,7.0,10.0,7.0,33.0,0.0
450,0.0,1.0,2.0,3.0,2.0,67.0,16.0,38.0,28.0,35.0,2.0,1.0,8.0,0.0,0.0,63.0,172.0,66.0,45.0,70.0,21.0
452,4.0,0.0,2.0,0.0,2.0,4.0,5.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,9.0,8.0,8.0,18.0,4.0
458,2.0,1.0,6.0,1.0,1.0,480.0,210.0,248.0,350.0,398.0,0.0,2.0,4.0,0.0,1.0,384.0,26.0,600.0,361.0,719.0,206.0
459,12.0,1.0,27.0,0.0,2.0,16.0,258.0,11.0,34.0,25.0,3.0,0.0,11.0,91.0,1.0,18.0,19.0,19.0,35.0,25.0,14.0
460,372.0,688.0,419.0,194.0,202.0,1576.0,599.0,580.0,355.0,529.0,654.0,692.0,166.0,151.0,152.0,962.0,903.0,673.0,615.0,1110.0,274.0
466,11.0,2.0,7.0,1.0,4.0,8.0,4.0,8.0,5.0,2.0,13.0,2.0,2.0,0.0,1.0,9.0,9.0,8.0,10.0,15.0,7.0
468,333.0,39.0,462.0,867.0,398.0,784.0,133.0,433.0,414.0,515.0,273.0,50.0,210.0,739.0,352.0,617.0,202.0,893.0,468.0,706.0,224.0
470,679.0,642.0,418.0,234.0,670.0,467.0,319.0,43.0,148.0,185.0,694.0,154.0,155.0,294.0,467.0,251.0,560.0,108.0,255.0,269.0,48.0
473,1.0,14.0,1.0,2.0,1.0,48.0,24.0,37.0,48.0,55.0,3.0,0.0,3.0,1.0,1.0,110.0,34.0,77.0,70.0,166.0,42.0
475,11.0,271.0,99.0,28.0,26.0,828.0,782.0,1272.0,258.0,571.0,9.0,1194.0,57.0,21.0,6.0,461.0,3639.0,1171.0,569.0,1187.0,377.0
476,7.0,32.0,17.0,1.0,4.0,14066.0,8211.0,7538.0,5605.0,7773.0,15.0,248.0,24.0,5.0,0.0,8875.0,12504.0,12286.0,13913.0,11060.0,10032.0
48,6.0,8.0,3.0,6.0,5.0,69.0,17.0,53.0,100.0,74.0,9.0,32.0,5.0,1.0,4.0,57.0,27.0,60.0,34.0,127.0,50.0
485,4.0,21.0,0.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,15.0,6.0,7.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0,1.0
486,48.0,39.0,105.0,78.0,28.0,65.0,76.0,16.0,10.0,31.0,283.0,197.0,81.0,62.0,26.0,35.0,65.0,42.0,54.0,63.0,20.0
491,79.0,4.0,724.0,138.0,238.0,68.0,27.0,46.0,54.0,45.0,52.0,39.0,517.0,219.0,77.0,57.0,51.0,94.0,50.0,135.0,83.0
493,43.0,81.0,55.0,14.0,4.0,75.0,29.0,68.0,40.0,42.0,5.0,12.0,39.0,2.0,12.0,80.0,10.0,90.0,52.0,63.0,46.0
495,7.0,2.0,6.0,0.0,3.0,498.0,33.0,169.0,141.0,183.0,0.0,1.0,5.0,1.0,1.0,329.0,178.0,318.0,304.0,316.0,59.0
50,7.0,4.0,6.0,9.0,21.0,9.0,6.0,4.0,2.0,2.0,1.0,6.0,15.0,9.0,5.0,6.0,4.0,5.0,3.0,11.0,3.0
503,2.0,0.0,0.0,0.0,2.0,258.0,406.0,77.0,94.0,129.0,3.0,3.0,5.0,0.0,2.0,149.0,120.0,142.0,167.0,187.0,51.0
507,4.0,0.0,0.0,2.0,3.0,255.0,54.0,53.0,60.0,75.0,0.0,1.0,0.0,1.0,0.0,273.0,62.0,91.0,206.0,252.0,78.0
508,1.0,20.0,1.0,2.0,3.0,300.0,29.0,158.0,95.0,138.0,2.0,20.0,2.0,2.0,1.0,303.0,8.0,239.0,191.0,306.0,83.0
52,1.0,4.0,2.0,1.0,1.0,32.0,35.0,45.0,6.0,17.0,5.0,24.0,4.0,0.0,0.0,30.0,75.0,85.0,12.0,67.0,19.0
520,6.0,5.0,2.0,0.0,4.0,9.0,4.0,4.0,10.0,3.0,4.0,3.0,6.0,0.0,2.0,13.0,1.0,12.0,5.0,27.0,4.0
521,1.0,0.0,1.0,2.0,3.0,11.0,11.0,20.0,9.0,21.0,2.0,1.0,3.0,0.0,4.0,10.0,23.0,22.0,19.0,66.0,12.0
522,21.0,25.0,9.0,4.0,7.0,129.0,128.0,131.0,108.0,133.0,23.0,97.0,24.0,2.0,1.0,129.0,136.0,491.0,107.0,262.0,99.0
523,526.0,83.0,1118.0,411.0,2140.0,566.0,374.0,485.0,413.0,400.0,636.0,342.0,836.0,428.0,893.0,624.0,336.0,881.0,494.0,728.0,119.0
524,469.0,387.0,189.0,166.0,309.0,482.0,529.0,335.0,106.0,185.0,802.0,110.0,62.0,775.0,236.0,414.0,857.0,396.0,856.0,698.0,201.0
525,89.0,12.0,83.0,21.0,54.0,68.0,14.0,30.0,34.0,31.0,188.0,42.0,81.0,28.0,38.0,83.0,29.0,74.0,51.0,63.0,14.0
531,4.0,25.0,2.0,2.0,8.0,1.0,2.0,1.0,3.0,4.0,16.0,120.0,7.0,2.0,3.0,1.0,6.0,1.0,3.0,5.0,0.0
532,11.0,12.0,6.0,6.0,16.0,2.0,2.0,2.0,2.0,0.0,12.0,13.0,5.0,2.0,7.0,3.0,8.0,5.0,1.0,4.0,1.0
535,3880.0,10425.0,1466.0,3358.0,6245.0,3056.0,5745.0,430.0,906.0,802.0,14454.0,11439.0,505.0,3062.0,3991.0,2024.0,1684.0,844.0,993.0,1713.0,584.0
538,288.0,28.0,328.0,175.0,157.0,861.0,414.0,298.0,291.0,349.0,669.0,286.0,259.0,358.0,276.0,466.0,621.0,408.0,355.0,557.0,77.0
539,874.0,7962.0,2688.0,988.0,3145.0,1728.0,381.0,728.0,429.0,1060.0,1550.0,207.0,1828.0,1052.0,1187.0,890.0,310.0,1063.0,586.0,1290.0,204.0
540,2607.0,3155.0,1916.0,3786.0,5173.0,1405.0,1410.0,1616.0,326.0,746.0,4062.0,1590.0,1337.0,4294.0,3132.0,1278.0,1998.0,1674.0,1500.0,2029.0,994.0
541,13.0,3.0,2.0,3.0,10.0,63.0,14.0,64.0,49.0,63.0,12.0,19.0,8.0,10.0,6.0,60.0,33.0,125.0,83.0,157.0,36.0
