strain_id,A_MTX_5-FC.HNM1_MAM33,A_MTX_Fluconazole.HNM1_MAM33,A_MTX_Metformin.HNM1_MAM33,A_MTX_Trifluoperazine.HNM1_MAM33,A_MTX_noDrug.HNM1_MAM33,A_noMTX_5-FC.HNM1_MAM33,A_noMTX_Fluconazole.HNM1_MAM33,A_noMTX_Metformin.HNM1_MAM33,A_noMTX_Trifluoperazine.HNM1_MAM33,A_noMTX_noDrug.HNM1_MAM33,B_MTX_5-FC.HNM1_MAM33,B_MTX_Fluconazole.HNM1_MAM33,B_MTX_Metformin.HNM1_MAM33,B_MTX_Trifluoperazine.HNM1_MAM33,B_MTX_noDrug.HNM1_MAM33,B_noMTX_5-FC.HNM1_MAM33,B_noMTX_Fluconazole.HNM1_MAM33,B_noMTX_Metformin.HNM1_MAM33,B_noMTX_Trifluoperazine.HNM1_MAM33,B_noMTX_noDrug.HNM1_MAM33,T0_noMTX_noDrug.HNM1_MAM33
132,0.0,1.0,19.0,2.0,1.0,419.0,71.0,214.0,338.0,586.0,0.0,19.0,8.0,11.0,1.0,323.0,47.0,476.0,489.0,72.0,183.0
133,1.0,0.0,1.0,0.0,0.0,117.0,1333.0,32.0,104.0,56.0,1.0,0.0,3.0,0.0,0.0,45.0,6.0,26.0,82.0,25.0,9.0
136,0.0,0.0,1.0,2.0,1.0,19.0,6.0,13.0,55.0,20.0,1.0,3.0,1.0,2.0,0.0,26.0,71.0,8.0,35.0,7.0,23.0
14,362.0,15.0,250.0,1768.0,256.0,269.0,19.0,377.0,462.0,235.0,1687.0,1.0,188.0,935.0,697.0,126.0,19.0,149.0,661.0,119.0,208.0
146,453.0,49.0,3270.0,537.0,177.0,3009.0,2858.0,1927.0,2400.0,2731.0,791.0,92.0,2544.0,465.0,337.0,2111.0,2133.0,2142.0,3506.0,396.0,1335.0
15,54.0,10.0,43.0,21.0,78.0,49.0,0.0,18.0,11.0,13.0,187.0,4.0,13.0,31.0,11.0,23.0,80.0,17.0,23.0,6.0,12.0
151,0.0,2.0,5.0,3.0,3.0,8.0,5.0,4.0,4.0,7.0,4.0,3.0,6.0,2.0,0.0,13.0,14.0,7.0,14.0,4.0,12.0
153,1.0,2.0,8.0,1.0,3.0,31.0,39.0,71.0,10.0,71.0,1.0,1.0,3.0,2.0,1.0,35.0,20.0,24.0,35.0,13.0,23.0
17,2.0,2.0,3.0,13.0,0.0,5.0,6.0,5.0,4.0,2.0,4.0,1.0,0.0,5.0,4.0,2.0,5.0,2.0,4.0,2.0,1.0
171,4.0,1.0,15.0,50.0,6.0,10.0,0.0,6.0,9.0,3.0,24.0,0.0,6.0,33.0,6.0,8.0,3.0,8.0,8.0,7.0,9.0
175,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,5.0,1.0,2.0,6.0,3.0,0.0
180,1.0,2.0,3.0,2.0,0.0,36.0,12.0,21.0,3.0,48.0,4.0,0.0,1.0,1.0,1.0,56.0,20.0,11.0,5.0,13.0,18.0
180_2,4.0,8.0,22.0,3.0,1.0,101.0,42.0,107.0,41.0,57.0,7.0,18.0,7.0,3.0,0.0,102.0,26.0,30.0,85.0,36.0,43.0
185,17.0,2.0,11.0,27.0,14.0,15.0,2.0,5.0,11.0,8.0,24.0,1.0,11.0,17.0,7.0,8.0,2.0,5.0,12.0,6.0,5.0
187,0.0,0.0,5.0,1.0,1.0,12.0,10.0,18.0,4.0,21.0,2.0,1.0,1.0,1.0,2.0,32.0,28.0,22.0,22.0,5.0,21.0
188,1.0,26.0,10.0,6.0,3.0,8.0,8.0,14.0,33.0,12.0,4.0,45.0,8.0,14.0,0.0,58.0,2.0,26.0,12.0,6.0,7.0
192,13.0,56.0,3.0,107.0,14.0,15.0,14.0,13.0,7.0,7.0,9.0,41.0,3.0,12.0,7.0,22.0,14.0,11.0,16.0,3.0,4.0
20,0.0,0.0,6.0,0.0,0.0,27.0,5.0,14.0,3.0,9.0,0.0,2.0,2.0,2.0,0.0,9.0,0.0,5.0,8.0,3.0,17.0
209,3.0,1.0,7.0,18.0,0.0,90.0,3.0,128.0,69.0,111.0,2.0,1.0,3.0,3.0,3.0,55.0,183.0,55.0,123.0,16.0,82.0
210,1.0,1.0,3.0,2.0,0.0,6.0,1.0,4.0,6.0,4.0,2.0,0.0,3.0,3.0,0.0,5.0,1.0,4.0,10.0,5.0,0.0
226,71.0,0.0,43.0,51.0,3.0,25.0,13.0,5.0,10.0,38.0,55.0,0.0,9.0,35.0,108.0,22.0,1.0,10.0,16.0,5.0,68.0
235,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,5.0,2.0,1.0,5.0,1.0,1.0
240,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,10.0,2.0,5.0,1.0
248,17.0,0.0,104.0,45.0,16.0,61.0,0.0,21.0,42.0,25.0,30.0,0.0,31.0,22.0,23.0,21.0,0.0,68.0,79.0,21.0,13.0
250,1.0,1.0,0.0,0.0,0.0,50.0,10.0,26.0,40.0,75.0,1.0,1.0,3.0,0.0,1.0,54.0,0.0,4.0,16.0,5.0,18.0
252,2.0,1.0,4.0,0.0,0.0,19.0,24.0,40.0,10.0,43.0,1.0,1.0,3.0,0.0,0.0,6.0,155.0,3.0,16.0,2.0,19.0
253,2.0,3.0,16.0,12.0,1.0,2.0,5.0,6.0,7.0,11.0,2.0,0.0,7.0,4.0,5.0,10.0,7.0,14.0,9.0,6.0,1.0
254,1.0,2.0,4.0,4.0,1.0,261.0,62.0,139.0,355.0,632.0,1.0,3.0,3.0,1.0,2.0,184.0,123.0,248.0,504.0,107.0,136.0
257,0.0,1.0,8.0,3.0,0.0,12.0,38.0,19.0,12.0,23.0,0.0,1.0,7.0,1.0,0.0,7.0,9.0,6.0,12.0,2.0,76.0
258,27.0,15.0,231.0,17.0,16.0,474.0,355.0,212.0,121.0,214.0,64.0,0.0,109.0,30.0,17.0,316.0,168.0,188.0,232.0,39.0,175.0
27,3.0,1.0,4.0,12.0,9.0,4.0,3.0,1.0,1.0,2.0,5.0,0.0,6.0,1.0,6.0,7.0,1.0,2.0,6.0,2.0,1.0
270,1.0,0.0,0.0,0.0,0.0,8.0,139.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,871.0,1.0,5.0,0.0,4.0
271,0.0,0.0,9.0,0.0,0.0,36.0,39.0,45.0,25.0,12.0,2.0,0.0,4.0,0.0,0.0,34.0,61.0,31.0,58.0,8.0,10.0
272,1.0,1.0,5.0,2.0,1.0,65.0,2.0,20.0,26.0,20.0,5.0,0.0,0.0,2.0,2.0,30.0,4.0,23.0,24.0,8.0,17.0
277,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0
286,2.0,1.0,3.0,5.0,0.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0,7.0,2.0,0.0,1.0,1.0,0.0,7.0,2.0,0.0
289,0.0,5.0,1.0,1.0,0.0,79.0,274.0,42.0,76.0,44.0,2.0,0.0,1.0,2.0,0.0,74.0,170.0,38.0,110.0,23.0,45.0
29,2.0,8.0,3.0,3.0,0.0,9.0,4.0,6.0,4.0,5.0,6.0,4.0,3.0,3.0,0.0,20.0,0.0,3.0,24.0,9.0,1.0
291,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,4.0,1.0,0.0
294,0.0,0.0,4.0,5.0,3.0,22.0,15.0,8.0,9.0,24.0,3.0,0.0,3.0,2.0,3.0,10.0,7.0,9.0,15.0,13.0,8.0
296,0.0,7.0,4.0,1.0,0.0,16.0,24.0,16.0,22.0,6.0,3.0,0.0,1.0,1.0,1.0,13.0,6.0,30.0,13.0,10.0,5.0
299,3.0,1.0,1.0,1.0,0.0,9.0,7.0,6.0,7.0,1.0,4.0,0.0,4.0,1.0,3.0,12.0,1.0,13.0,19.0,4.0,4.0
307,2.0,13.0,12.0,4.0,1.0,6.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0
308,2.0,1.0,7.0,6.0,4.0,3.0,6.0,2.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,5.0,2.0,4.0,5.0,1.0,0.0
31,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0,1.0,0.0
311,0.0,0.0,7.0,2.0,0.0,5.0,4.0,5.0,6.0,5.0,1.0,0.0,2.0,0.0,0.0,7.0,5.0,5.0,8.0,2.0,0.0
312,10.0,12.0,32.0,21.0,33.0,7.0,4.0,9.0,6.0,8.0,21.0,20.0,10.0,39.0,36.0,18.0,4.0,9.0,11.0,13.0,2.0
32,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
320,587.0,136.0,2014.0,567.0,614.0,950.0,2085.0,495.0,646.0,1036.0,913.0,16.0,1787.0,346.0,279.0,779.0,1053.0,1058.0,1016.0,190.0,128.0
323,0.0,0.0,0.0,0.0,1.0,6.0,2.0,11.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0
325,5.0,10.0,7.0,2.0,1.0,75.0,14.0,23.0,15.0,114.0,7.0,0.0,6.0,4.0,1.0,88.0,5.0,80.0,35.0,12.0,30.0
33,0.0,0.0,1.0,2.0,1.0,50.0,1.0,25.0,69.0,33.0,0.0,0.0,0.0,3.0,2.0,61.0,5.0,17.0,39.0,9.0,52.0
335,2.0,2.0,7.0,4.0,5.0,8.0,0.0,4.0,6.0,1.0,4.0,1.0,2.0,5.0,1.0,3.0,5.0,3.0,9.0,2.0,1.0
336,4.0,3.0,11.0,5.0,0.0,5.0,11.0,5.0,3.0,2.0,2.0,0.0,4.0,8.0,8.0,4.0,5.0,6.0,5.0,1.0,0.0
337,4.0,0.0,26.0,4.0,4.0,390.0,9.0,93.0,175.0,264.0,6.0,4.0,6.0,11.0,0.0,330.0,386.0,311.0,177.0,47.0,66.0
339,4.0,2.0,10.0,9.0,8.0,7.0,0.0,6.0,2.0,4.0,8.0,3.0,13.0,1.0,14.0,3.0,1.0,2.0,8.0,1.0,0.0
347,0.0,1.0,15.0,0.0,1.0,6.0,3.0,3.0,10.0,5.0,0.0,3.0,2.0,0.0,0.0,4.0,2.0,20.0,15.0,4.0,1.0
348,11.0,2.0,14.0,4.0,7.0,12.0,135.0,23.0,12.0,7.0,255.0,4.0,8.0,5.0,100.0,3.0,7.0,7.0,23.0,2.0,51.0
350,293.0,58.0,110.0,422.0,130.0,66.0,12.0,22.0,41.0,71.0,235.0,126.0,70.0,372.0,297.0,48.0,3.0,36.0,42.0,12.0,21.0
354,1.0,2.0,8.0,2.0,0.0,4.0,1.0,4.0,3.0,1.0,2.0,0.0,6.0,1.0,2.0,5.0,0.0,1.0,13.0,4.0,2.0
358,3.0,2.0,6.0,7.0,8.0,5.0,3.0,1.0,2.0,4.0,10.0,1.0,1.0,7.0,4.0,8.0,1.0,4.0,5.0,2.0,2.0
359,3.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0
36,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,28.0,90.0,1.0,2.0,54.0,6.0,253.0,3.0,5.0,3.0,26.0,12.0,0.0,2.0,92.0,13.0,171.0,4.0,0.0,4.0,9.0
375,93.0,1.0,165.0,57.0,14.0,204.0,3.0,125.0,67.0,77.0,180.0,7.0,182.0,35.0,8.0,237.0,17.0,110.0,157.0,37.0,92.0
383,0.0,8.0,16.0,2.0,1.0,12.0,0.0,3.0,14.0,4.0,3.0,6.0,5.0,1.0,0.0,62.0,13.0,6.0,7.0,2.0,2.0
385,2.0,24.0,4.0,10.0,7.0,0.0,6.0,1.0,2.0,2.0,4.0,31.0,2.0,6.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0
392,1.0,24.0,4.0,12.0,9.0,27.0,7.0,42.0,22.0,43.0,5.0,5.0,6.0,7.0,1.0,30.0,55.0,19.0,37.0,10.0,15.0
397,2.0,1.0,12.0,1.0,3.0,113.0,3.0,173.0,66.0,67.0,20.0,1.0,3.0,2.0,3.0,98.0,10.0,24.0,51.0,7.0,26.0
399,7.0,119.0,35.0,7.0,4.0,1494.0,86.0,319.0,507.0,1020.0,17.0,16.0,26.0,17.0,1.0,821.0,10521.0,633.0,814.0,111.0,132.0
40,3.0,0.0,2.0,2.0,19.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,2.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
400,308.0,16.0,494.0,152.0,153.0,436.0,110.0,181.0,188.0,354.0,1375.0,1.0,323.0,176.0,445.0,268.0,23.0,88.0,261.0,51.0,127.0
406,0.0,18.0,8.0,1.0,0.0,379.0,247.0,365.0,424.0,877.0,2.0,1.0,4.0,1.0,0.0,286.0,120.0,592.0,699.0,146.0,90.0
408,0.0,1.0,2.0,1.0,0.0,4.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0
409,3207.0,4.0,243.0,112.0,1097.0,652.0,373.0,367.0,495.0,439.0,5124.0,5.0,234.0,105.0,669.0,468.0,206.0,94.0,744.0,60.0,136.0
40_2,2.0,0.0,4.0,7.0,2.0,3.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,4.0,3.0,1.0,4.0,0.0,2.0,1.0,0.0
412,32.0,1.0,16.0,11.0,4.0,12.0,74.0,1.0,5.0,1.0,142.0,0.0,14.0,1.0,0.0,16.0,160.0,3.0,3.0,2.0,4.0
418,1.0,4.0,2.0,1.0,1.0,2.0,6.0,1.0,3.0,0.0,11.0,0.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0
419,5.0,0.0,19.0,4.0,4.0,11.0,3.0,33.0,13.0,14.0,6.0,1.0,6.0,2.0,1.0,10.0,3.0,9.0,18.0,6.0,3.0
420,0.0,1.0,0.0,4.0,1.0,5.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,12.0,4.0,4.0,7.0,0.0,1.0
421,139.0,0.0,296.0,179.0,1374.0,209.0,272.0,95.0,198.0,98.0,601.0,3.0,288.0,144.0,529.0,117.0,174.0,71.0,142.0,47.0,21.0
426,6.0,0.0,15.0,18.0,7.0,10.0,4.0,3.0,7.0,7.0,8.0,0.0,4.0,18.0,6.0,10.0,8.0,3.0,7.0,4.0,1.0
43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0
431,2.0,1.0,12.0,0.0,0.0,104.0,6.0,22.0,37.0,33.0,2.0,0.0,2.0,3.0,0.0,37.0,29.0,32.0,26.0,12.0,13.0
433,2.0,4.0,19.0,14.0,4.0,69.0,13.0,77.0,57.0,51.0,9.0,0.0,20.0,13.0,4.0,30.0,41.0,18.0,57.0,12.0,161.0
434,7.0,5.0,31.0,16.0,4.0,18.0,2.0,15.0,3.0,12.0,8.0,10.0,29.0,23.0,10.0,16.0,5.0,9.0,11.0,13.0,2.0
437,21.0,8.0,37.0,60.0,10.0,68.0,10.0,47.0,14.0,65.0,28.0,10.0,16.0,27.0,10.0,61.0,5.0,19.0,28.0,6.0,46.0
438,1.0,1.0,1.0,0.0,2.0,71.0,75.0,51.0,26.0,41.0,1.0,0.0,3.0,0.0,0.0,45.0,54.0,11.0,20.0,4.0,115.0
439,0.0,44.0,5.0,0.0,0.0,4.0,4.0,3.0,4.0,3.0,0.0,12.0,4.0,2.0,2.0,2.0,3.0,3.0,15.0,5.0,3.0
43_ref1,1.0,0.0,5.0,4.0,1.0,16.0,1573.0,4.0,11.0,2.0,3.0,0.0,2.0,3.0,2.0,12.0,1378.0,16.0,9.0,0.0,896.0
43_ref2,2.0,1.0,4.0,5.0,2.0,187.0,9158.0,22.0,135.0,24.0,13.0,6.0,4.0,3.0,4.0,134.0,59.0,47.0,194.0,15.0,1002.0
442,13.0,5.0,50.0,62.0,13.0,11.0,3.0,7.0,5.0,8.0,24.0,2.0,15.0,24.0,16.0,19.0,4.0,8.0,15.0,9.0,0.0
444,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0
446,2.0,5.0,0.0,1.0,0.0,3.0,5.0,4.0,5.0,10.0,2.0,0.0,3.0,7.0,1.0,7.0,11.0,4.0,5.0,6.0,2.0
45,2.0,2.0,5.0,1.0,3.0,7.0,5.0,14.0,9.0,8.0,1.0,0.0,5.0,1.0,0.0,15.0,1.0,12.0,11.0,8.0,3.0
450,3.0,5.0,2.0,4.0,0.0,41.0,761.0,32.0,33.0,17.0,2.0,1.0,1.0,3.0,2.0,21.0,91.0,53.0,35.0,13.0,17.0
452,1.0,0.0,0.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,3.0,3.0,2.0,6.0,10.0,9.0,3.0,4.0,1.0
458,0.0,5.0,1.0,2.0,3.0,37.0,90.0,38.0,38.0,26.0,1.0,1.0,1.0,0.0,4.0,54.0,7.0,19.0,37.0,6.0,20.0
459,84.0,24.0,342.0,10.0,3.0,123.0,13.0,503.0,289.0,226.0,148.0,1.0,378.0,18.0,78.0,95.0,143.0,81.0,220.0,40.0,68.0
460,733.0,1001.0,1595.0,866.0,902.0,2598.0,3190.0,1215.0,1695.0,2629.0,1246.0,936.0,1442.0,654.0,479.0,1669.0,1684.0,1490.0,1598.0,421.0,575.0
466,3.0,4.0,11.0,1.0,2.0,5.0,5.0,4.0,6.0,5.0,2.0,4.0,6.0,1.0,2.0,9.0,1.0,1.0,8.0,2.0,1.0
468,372.0,73.0,282.0,817.0,404.0,414.0,211.0,218.0,217.0,472.0,815.0,1.0,255.0,272.0,925.0,386.0,41.0,253.0,314.0,54.0,125.0
470,20.0,219.0,43.0,16.0,14.0,22.0,7.0,21.0,10.0,25.0,61.0,34.0,15.0,13.0,24.0,33.0,15.0,13.0,36.0,8.0,2.0
473,0.0,1.0,5.0,5.0,3.0,280.0,420.0,236.0,215.0,215.0,3.0,0.0,6.0,0.0,1.0,290.0,62.0,167.0,343.0,75.0,103.0
475,14.0,15.0,295.0,20.0,7.0,4404.0,14941.0,5546.0,3735.0,7887.0,29.0,13.0,180.0,43.0,7.0,2969.0,2176.0,5953.0,4358.0,1016.0,1847.0
476,3.0,2.0,50.0,4.0,4.0,1730.0,1198.0,3926.0,1474.0,2508.0,8.0,0.0,31.0,6.0,1.0,1072.0,1384.0,1058.0,2415.0,337.0,1868.0
48,3.0,8.0,11.0,9.0,3.0,71.0,10.0,26.0,105.0,54.0,4.0,7.0,10.0,2.0,5.0,46.0,70.0,90.0,125.0,11.0,91.0
485,9.0,10.0,5.0,15.0,2.0,8.0,6.0,6.0,6.0,2.0,12.0,1.0,3.0,8.0,0.0,3.0,5.0,5.0,6.0,1.0,4.0
486,7.0,5.0,7.0,17.0,7.0,8.0,42.0,14.0,6.0,7.0,9.0,3.0,14.0,18.0,3.0,9.0,10.0,3.0,18.0,12.0,4.0
491,109.0,1.0,237.0,119.0,130.0,92.0,21.0,117.0,51.0,84.0,367.0,2.0,230.0,143.0,21.0,79.0,0.0,39.0,73.0,17.0,86.0
493,8.0,0.0,28.0,8.0,2.0,17.0,34.0,11.0,21.0,20.0,8.0,2.0,40.0,15.0,4.0,10.0,14.0,24.0,22.0,3.0,34.0
495,3.0,6.0,25.0,8.0,1.0,1141.0,172.0,532.0,628.0,758.0,10.0,0.0,84.0,2.0,0.0,799.0,216.0,478.0,676.0,107.0,228.0
50,61.0,2.0,67.0,30.0,13.0,13.0,8.0,12.0,11.0,7.0,39.0,10.0,10.0,8.0,12.0,41.0,6.0,9.0,21.0,4.0,6.0
503,0.0,0.0,10.0,1.0,0.0,69.0,21.0,25.0,57.0,57.0,4.0,0.0,6.0,2.0,1.0,68.0,4.0,29.0,66.0,11.0,59.0
507,1.0,2.0,0.0,17.0,0.0,312.0,224.0,157.0,95.0,121.0,0.0,0.0,1.0,2.0,0.0,235.0,56.0,105.0,205.0,18.0,337.0
508,2.0,9.0,10.0,11.0,1.0,201.0,64.0,43.0,95.0,79.0,6.0,2.0,4.0,4.0,1.0,137.0,7.0,76.0,122.0,11.0,134.0
52,1.0,1.0,2.0,3.0,1.0,28.0,6.0,6.0,5.0,3.0,1.0,1.0,4.0,0.0,0.0,16.0,2.0,22.0,5.0,2.0,8.0
520,1.0,0.0,5.0,4.0,0.0,2.0,3.0,6.0,6.0,1.0,14.0,0.0,5.0,3.0,1.0,7.0,0.0,2.0,10.0,3.0,3.0
521,3.0,1.0,14.0,7.0,6.0,1243.0,18.0,598.0,85.0,673.0,5.0,1.0,4.0,5.0,1.0,1515.0,15.0,109.0,602.0,164.0,431.0
522,7.0,1.0,17.0,8.0,8.0,92.0,39.0,78.0,151.0,289.0,6.0,4.0,8.0,4.0,7.0,68.0,67.0,201.0,160.0,70.0,38.0
523,1210.0,54.0,1876.0,962.0,1006.0,1029.0,824.0,573.0,991.0,1487.0,2206.0,70.0,1210.0,960.0,610.0,1009.0,486.0,988.0,1318.0,369.0,219.0
524,64.0,44.0,33.0,49.0,6.0,62.0,86.0,29.0,30.0,36.0,712.0,16.0,16.0,21.0,14.0,153.0,57.0,39.0,48.0,4.0,33.0
525,1334.0,10.0,1958.0,829.0,414.0,1202.0,441.0,521.0,512.0,1067.0,1950.0,4.0,1348.0,808.0,641.0,939.0,99.0,678.0,695.0,162.0,319.0
531,0.0,7.0,6.0,25.0,4.0,3.0,2.0,1.0,2.0,2.0,7.0,10.0,2.0,1.0,1.0,5.0,3.0,2.0,3.0,0.0,0.0
532,6.0,6.0,6.0,25.0,4.0,2.0,9.0,3.0,2.0,1.0,2.0,6.0,2.0,7.0,6.0,3.0,6.0,2.0,4.0,1.0,5.0
535,442.0,84.0,55.0,56.0,199.0,82.0,23.0,125.0,42.0,94.0,271.0,20.0,91.0,46.0,99.0,78.0,11.0,38.0,60.0,26.0,30.0
538,1191.0,30.0,1393.0,1058.0,1185.0,1503.0,790.0,1049.0,1057.0,1118.0,1867.0,43.0,1509.0,630.0,458.0,1094.0,218.0,885.0,1369.0,180.0,304.0
539,140.0,23.0,450.0,45.0,64.0,270.0,46.0,230.0,78.0,336.0,259.0,31.0,188.0,134.0,119.0,177.0,20.0,102.0,214.0,80.0,38.0
540,2162.0,260.0,625.0,2387.0,2417.0,815.0,1289.0,341.0,214.0,635.0,3789.0,352.0,312.0,2311.0,2354.0,839.0,1157.0,361.0,391.0,77.0,687.0
