strain_id,A_MTX_5-FC.MID2_TPO4,A_MTX_Fluconazole.MID2_TPO4,A_MTX_Metformin.MID2_TPO4,A_MTX_Trifluoperazine.MID2_TPO4,A_MTX_noDrug.MID2_TPO4,A_noMTX_5-FC.MID2_TPO4,A_noMTX_Fluconazole.MID2_TPO4,A_noMTX_Metformin.MID2_TPO4,A_noMTX_Trifluoperazine.MID2_TPO4,A_noMTX_noDrug.MID2_TPO4,B_MTX_5-FC.MID2_TPO4,B_MTX_Fluconazole.MID2_TPO4,B_MTX_Metformin.MID2_TPO4,B_MTX_Trifluoperazine.MID2_TPO4,B_MTX_noDrug.MID2_TPO4,B_noMTX_5-FC.MID2_TPO4,B_noMTX_Fluconazole.MID2_TPO4,B_noMTX_Metformin.MID2_TPO4,B_noMTX_Trifluoperazine.MID2_TPO4,B_noMTX_noDrug.MID2_TPO4,T0_noMTX_noDrug.MID2_TPO4
1040,7.0,17.0,51.0,8.0,2.0,607.0,80.0,116.0,238.0,261.0,13.0,3.0,64.0,12.0,6.0,408.0,143.0,760.0,245.0,572.0,101.0
1046,4.0,4.0,12.0,4.0,0.0,127.0,21.0,17.0,82.0,42.0,1.0,2.0,13.0,3.0,0.0,133.0,45.0,156.0,80.0,211.0,126.0
1050,13.0,2.0,28.0,26.0,5.0,25.0,4.0,20.0,21.0,14.0,14.0,0.0,25.0,11.0,9.0,42.0,145.0,64.0,19.0,58.0,9.0
1065,1.0,24.0,3.0,4.0,3.0,18.0,2.0,3.0,10.0,6.0,0.0,5.0,11.0,7.0,0.0,4.0,1.0,21.0,11.0,15.0,4.0
1069,6074.0,9680.0,1858.0,2151.0,45.0,1558.0,2197.0,198.0,772.0,436.0,8093.0,7719.0,5794.0,6852.0,1589.0,855.0,1551.0,3226.0,702.0,1298.0,575.0
107,0.0,2.0,0.0,0.0,0.0,40.0,37.0,0.0,6.0,5.0,1.0,5.0,5.0,1.0,0.0,23.0,17.0,29.0,15.0,44.0,17.0
113,4.0,14.0,10.0,2.0,4.0,13.0,9.0,11.0,6.0,3.0,2.0,6.0,2.0,7.0,3.0,4.0,21.0,13.0,6.0,4.0,4.0
119,3.0,10.0,5.0,5.0,1.0,11.0,4.0,3.0,0.0,0.0,6.0,6.0,4.0,2.0,0.0,4.0,3.0,7.0,1.0,4.0,0.0
124,54.0,2.0,30.0,14.0,5.0,22.0,1.0,10.0,8.0,10.0,261.0,2.0,283.0,117.0,21.0,13.0,2.0,62.0,12.0,26.0,14.0
128,1.0,0.0,5.0,1.0,0.0,419.0,29.0,34.0,116.0,108.0,1.0,2.0,82.0,0.0,0.0,230.0,453.0,467.0,168.0,160.0,115.0
132,0.0,1.0,32.0,0.0,0.0,152.0,18.0,39.0,114.0,75.0,0.0,2.0,90.0,0.0,0.0,130.0,14.0,903.0,137.0,260.0,55.0
133,0.0,0.0,1.0,0.0,0.0,22.0,3.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,15.0,4.0,3.0
136,1.0,12.0,0.0,0.0,0.0,12.0,0.0,14.0,36.0,8.0,1.0,0.0,18.0,0.0,0.0,12.0,1.0,121.0,15.0,18.0,23.0
14,981.0,166.0,449.0,1176.0,35.0,677.0,152.0,326.0,366.0,174.0,1408.0,26.0,2243.0,2948.0,791.0,156.0,208.0,1525.0,549.0,614.0,363.0
146,1990.0,699.0,1531.0,1179.0,81.0,2628.0,853.0,408.0,1314.0,662.0,3408.0,162.0,5899.0,3300.0,1097.0,1038.0,529.0,4070.0,1518.0,1661.0,743.0
15,5.0,5.0,15.0,3.0,3.0,59.0,13.0,15.0,23.0,22.0,16.0,0.0,16.0,25.0,10.0,56.0,1.0,92.0,37.0,40.0,28.0
151,1.0,1.0,2.0,7.0,2.0,42.0,6.0,4.0,23.0,9.0,4.0,4.0,4.0,1.0,2.0,50.0,0.0,48.0,10.0,25.0,14.0
153,0.0,0.0,30.0,0.0,0.0,82.0,110.0,20.0,35.0,47.0,1.0,0.0,37.0,0.0,0.0,120.0,24.0,170.0,26.0,88.0,83.0
17,2.0,6.0,1.0,7.0,0.0,2.0,4.0,2.0,2.0,0.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,5.0,5.0,4.0,2.0
171,19.0,3.0,9.0,15.0,3.0,27.0,17.0,9.0,22.0,7.0,10.0,0.0,15.0,17.0,8.0,19.0,37.0,26.0,17.0,21.0,24.0
175,1.0,0.0,0.0,0.0,1.0,82.0,9.0,5.0,31.0,33.0,0.0,1.0,15.0,2.0,0.0,166.0,17.0,46.0,43.0,146.0,47.0
180,0.0,2.0,0.0,1.0,0.0,53.0,8.0,6.0,33.0,45.0,0.0,0.0,2.0,0.0,0.0,104.0,12.0,86.0,21.0,128.0,47.0
180_2,3.0,3.0,10.0,2.0,2.0,60.0,13.0,32.0,35.0,46.0,6.0,3.0,16.0,0.0,0.0,94.0,14.0,109.0,40.0,119.0,55.0
185,4.0,1.0,7.0,18.0,2.0,8.0,6.0,0.0,8.0,2.0,7.0,6.0,15.0,13.0,5.0,4.0,5.0,15.0,5.0,4.0,2.0
187,3.0,0.0,4.0,1.0,0.0,42.0,3.0,10.0,14.0,16.0,4.0,0.0,9.0,3.0,1.0,31.0,7.0,255.0,32.0,79.0,27.0
188,2.0,34.0,59.0,3.0,1.0,259.0,223.0,44.0,138.0,128.0,5.0,20.0,251.0,3.0,0.0,289.0,58.0,777.0,164.0,339.0,84.0
192,13.0,40.0,5.0,11.0,16.0,49.0,12.0,13.0,26.0,26.0,7.0,27.0,11.0,8.0,1.0,68.0,164.0,56.0,42.0,126.0,29.0
20,0.0,0.0,0.0,1.0,0.0,17.0,0.0,3.0,23.0,17.0,0.0,1.0,6.0,0.0,0.0,24.0,1.0,51.0,4.0,22.0,17.0
209,1.0,6.0,10.0,1.0,0.0,77.0,2.0,10.0,32.0,13.0,1.0,1.0,23.0,1.0,1.0,58.0,106.0,103.0,42.0,44.0,57.0
210,3.0,0.0,6.0,8.0,0.0,31.0,6.0,13.0,14.0,12.0,2.0,0.0,6.0,4.0,0.0,36.0,3.0,50.0,29.0,28.0,18.0
226,123.0,127.0,24.0,56.0,5.0,70.0,108.0,10.0,72.0,48.0,133.0,2862.0,62.0,283.0,41.0,99.0,74.0,158.0,68.0,142.0,131.0
235,1.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,4.0,5.0,1.0,0.0,1.0,1.0,0.0,7.0,1.0,7.0,2.0,22.0,9.0
240,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,4.0,4.0,5.0
248,2.0,0.0,1.0,0.0,1.0,12.0,1.0,4.0,17.0,2.0,3.0,1.0,9.0,0.0,0.0,12.0,19.0,29.0,14.0,31.0,24.0
250,5.0,0.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,6.0,5.0,1.0,3.0,4.0
252,1.0,2.0,2.0,1.0,1.0,3.0,14.0,4.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,7.0,4.0,6.0,2.0,1.0
253,1.0,0.0,2.0,19.0,1.0,40.0,11.0,5.0,4.0,12.0,27.0,0.0,35.0,2.0,3.0,12.0,11.0,40.0,8.0,24.0,8.0
254,0.0,2.0,8.0,2.0,0.0,116.0,12.0,37.0,75.0,53.0,1.0,0.0,62.0,2.0,0.0,93.0,191.0,248.0,165.0,98.0,85.0
257,1.0,1.0,0.0,1.0,0.0,41.0,457.0,11.0,20.0,3.0,1.0,1.0,6.0,0.0,3.0,41.0,493.0,41.0,23.0,87.0,46.0
258,126.0,0.0,17.0,26.0,1.0,192.0,114.0,19.0,115.0,52.0,160.0,8.0,311.0,48.0,24.0,169.0,83.0,194.0,109.0,215.0,74.0
27,3.0,0.0,6.0,5.0,1.0,10.0,1.0,12.0,2.0,2.0,4.0,1.0,85.0,9.0,0.0,5.0,1.0,11.0,6.0,8.0,3.0
270,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0
271,5.0,1.0,35.0,0.0,0.0,196.0,67.0,42.0,106.0,91.0,11.0,3.0,161.0,0.0,0.0,271.0,53.0,354.0,126.0,326.0,104.0
272,1.0,0.0,12.0,1.0,0.0,55.0,47.0,24.0,55.0,16.0,4.0,0.0,100.0,0.0,1.0,67.0,4.0,189.0,37.0,53.0,28.0
277,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0
286,21.0,2.0,32.0,15.0,1.0,27.0,0.0,14.0,26.0,3.0,24.0,2.0,134.0,16.0,30.0,8.0,1.0,43.0,19.0,9.0,6.0
289,0.0,1.0,1.0,1.0,1.0,367.0,351.0,55.0,245.0,71.0,0.0,0.0,58.0,1.0,0.0,124.0,140.0,255.0,248.0,242.0,126.0
29,3.0,5.0,0.0,2.0,3.0,61.0,14.0,16.0,70.0,27.0,2.0,1.0,2.0,1.0,0.0,103.0,6.0,75.0,88.0,154.0,103.0
291,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,3.0,0.0
294,1.0,0.0,53.0,3.0,1.0,218.0,77.0,26.0,114.0,64.0,3.0,0.0,50.0,1.0,0.0,162.0,600.0,367.0,144.0,224.0,61.0
296,0.0,1.0,6.0,0.0,0.0,239.0,183.0,32.0,25.0,59.0,1.0,2.0,32.0,0.0,0.0,88.0,53.0,376.0,59.0,78.0,32.0
299,0.0,0.0,3.0,1.0,0.0,16.0,0.0,6.0,7.0,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,13.0,12.0,10.0,4.0
307,3.0,0.0,2.0,1.0,1.0,36.0,10.0,13.0,25.0,18.0,15.0,2.0,1.0,1.0,2.0,37.0,16.0,37.0,48.0,60.0,33.0
308,12.0,0.0,1.0,0.0,2.0,5.0,4.0,2.0,2.0,1.0,8.0,1.0,4.0,1.0,0.0,4.0,10.0,5.0,6.0,5.0,1.0
31,220.0,0.0,53.0,34.0,3.0,68.0,0.0,3.0,9.0,5.0,306.0,0.0,131.0,276.0,16.0,41.0,1.0,52.0,20.0,13.0,15.0
311,1.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,2.0,2.0,1.0,0.0,5.0,2.0,1.0,3.0,7.0,15.0,6.0,9.0,2.0
312,9.0,25.0,22.0,9.0,2.0,15.0,3.0,9.0,5.0,4.0,17.0,12.0,6.0,1.0,4.0,6.0,12.0,15.0,6.0,5.0,3.0
32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0
320,104.0,13.0,234.0,88.0,9.0,229.0,3.0,85.0,98.0,80.0,323.0,1.0,1000.0,120.0,40.0,245.0,13.0,506.0,126.0,247.0,44.0
323,2.0,2.0,0.0,1.0,0.0,3.0,21.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,9.0,9.0,1.0,2.0
325,1.0,1.0,8.0,2.0,0.0,106.0,33.0,22.0,53.0,44.0,1.0,1.0,26.0,1.0,0.0,79.0,43.0,227.0,57.0,178.0,51.0
33,0.0,0.0,0.0,1.0,0.0,19.0,5.0,3.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,10.0,10.0,18.0
335,69.0,2.0,84.0,19.0,1.0,131.0,4.0,8.0,93.0,42.0,112.0,5.0,124.0,26.0,11.0,166.0,2.0,197.0,81.0,151.0,97.0
336,9.0,1.0,47.0,23.0,0.0,71.0,17.0,7.0,25.0,10.0,50.0,1.0,83.0,88.0,33.0,38.0,4.0,51.0,28.0,18.0,27.0
337,1.0,4.0,27.0,2.0,0.0,269.0,155.0,83.0,114.0,82.0,2.0,0.0,39.0,0.0,0.0,133.0,242.0,293.0,103.0,241.0,94.0
339,76.0,3.0,310.0,39.0,1.0,123.0,13.0,20.0,74.0,93.0,356.0,0.0,1832.0,140.0,71.0,141.0,205.0,436.0,123.0,240.0,65.0
347,2.0,1.0,7.0,0.0,1.0,55.0,3.0,16.0,20.0,6.0,6.0,0.0,7.0,0.0,0.0,38.0,8.0,91.0,12.0,14.0,32.0
348,5.0,0.0,0.0,0.0,0.0,15.0,12.0,6.0,20.0,9.0,10.0,0.0,1.0,1.0,0.0,24.0,25.0,78.0,18.0,27.0,21.0
350,438.0,25.0,133.0,264.0,6.0,46.0,48.0,10.0,53.0,13.0,82.0,7.0,376.0,693.0,91.0,45.0,19.0,145.0,30.0,57.0,33.0
354,5.0,0.0,1.0,4.0,2.0,78.0,334.0,23.0,59.0,47.0,1.0,1.0,10.0,3.0,0.0,27.0,314.0,171.0,33.0,101.0,32.0
358,9.0,1.0,34.0,11.0,0.0,15.0,11.0,3.0,10.0,18.0,17.0,0.0,118.0,28.0,4.0,41.0,18.0,234.0,22.0,42.0,39.0
359,3.0,4.0,2.0,2.0,2.0,4.0,19.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,2.0,10.0,5.0,4.0,7.0,3.0
36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,3.0,1.0,0.0
364,16.0,31.0,0.0,8.0,1.0,46.0,8.0,8.0,31.0,21.0,14.0,27.0,5.0,8.0,0.0,43.0,4.0,67.0,26.0,115.0,34.0
375,1058.0,1.0,87.0,358.0,4.0,279.0,5.0,32.0,46.0,25.0,957.0,0.0,1060.0,1570.0,363.0,107.0,105.0,97.0,102.0,58.0,61.0
383,2.0,3.0,43.0,3.0,0.0,294.0,44.0,49.0,37.0,69.0,6.0,0.0,82.0,3.0,0.0,125.0,72.0,220.0,77.0,87.0,41.0
385,2.0,13.0,0.0,2.0,1.0,1.0,7.0,2.0,1.0,0.0,10.0,2.0,1.0,3.0,2.0,2.0,15.0,3.0,0.0,4.0,0.0
392,2.0,16.0,28.0,4.0,3.0,124.0,19.0,32.0,87.0,25.0,3.0,4.0,39.0,1.0,0.0,58.0,16.0,122.0,143.0,61.0,24.0
397,1.0,2.0,5.0,3.0,0.0,43.0,8.0,17.0,45.0,21.0,5.0,0.0,22.0,0.0,0.0,91.0,15.0,93.0,71.0,106.0,120.0
399,0.0,65.0,40.0,1.0,0.0,305.0,425.0,73.0,205.0,148.0,0.0,6.0,337.0,0.0,3.0,363.0,386.0,680.0,266.0,305.0,112.0
40,25.0,1.0,32.0,11.0,5.0,16.0,0.0,0.0,10.0,13.0,114.0,7.0,839.0,4.0,13.0,18.0,0.0,16.0,7.0,9.0,8.0
400,911.0,44.0,242.0,1024.0,21.0,404.0,182.0,43.0,275.0,129.0,1619.0,30.0,1386.0,2304.0,460.0,176.0,11.0,438.0,230.0,318.0,115.0
406,1.0,1.0,12.0,0.0,0.0,130.0,28.0,61.0,120.0,50.0,1.0,1.0,93.0,1.0,0.0,60.0,23.0,434.0,123.0,90.0,49.0
408,0.0,23.0,7.0,0.0,0.0,99.0,41.0,19.0,22.0,41.0,0.0,0.0,32.0,0.0,0.0,73.0,15.0,145.0,62.0,88.0,45.0
409,797.0,177.0,94.0,333.0,40.0,448.0,596.0,78.0,338.0,111.0,1426.0,183.0,341.0,935.0,110.0,548.0,2129.0,400.0,533.0,368.0,321.0
40_2,0.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,10.0,2.0,2.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0
412,7.0,0.0,3.0,1.0,0.0,9.0,17.0,3.0,5.0,1.0,22.0,0.0,5.0,3.0,1.0,15.0,24.0,15.0,6.0,3.0,0.0
418,2.0,1.0,1.0,2.0,0.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,10.0,4.0,1.0,1.0,0.0
419,1.0,3.0,78.0,7.0,0.0,139.0,1.0,19.0,38.0,47.0,5.0,1.0,293.0,1.0,0.0,99.0,25.0,197.0,64.0,219.0,35.0
420,0.0,1.0,0.0,1.0,0.0,13.0,2.0,5.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,12.0,17.0,17.0,12.0,8.0,2.0
421,153.0,6.0,276.0,151.0,6.0,159.0,12.0,32.0,61.0,94.0,197.0,1.0,555.0,350.0,58.0,132.0,329.0,375.0,84.0,156.0,69.0
426,4.0,1.0,8.0,21.0,1.0,10.0,4.0,7.0,7.0,3.0,6.0,2.0,10.0,12.0,1.0,2.0,13.0,18.0,10.0,7.0,1.0
43,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,3.0,0.0,4.0
431,0.0,0.0,59.0,0.0,0.0,130.0,6.0,18.0,34.0,47.0,2.0,0.0,176.0,1.0,1.0,35.0,12.0,216.0,50.0,233.0,61.0
433,4.0,0.0,12.0,5.0,0.0,15.0,7.0,6.0,6.0,3.0,17.0,0.0,15.0,11.0,0.0,14.0,3.0,39.0,15.0,21.0,32.0
434,54.0,7.0,162.0,15.0,6.0,59.0,9.0,18.0,18.0,53.0,59.0,2.0,477.0,48.0,22.0,50.0,12.0,109.0,40.0,97.0,24.0
437,50.0,9.0,13.0,20.0,5.0,19.0,72.0,11.0,12.0,2.0,125.0,2.0,19.0,33.0,4.0,12.0,25.0,33.0,13.0,14.0,6.0
438,2.0,5.0,4.0,2.0,2.0,90.0,1177.0,11.0,39.0,23.0,12.0,17.0,7.0,1.0,1.0,148.0,1538.0,100.0,40.0,82.0,273.0
439,4.0,2.0,9.0,1.0,0.0,84.0,66.0,26.0,73.0,26.0,2.0,2.0,7.0,3.0,0.0,83.0,767.0,163.0,110.0,194.0,96.0
43_ref1,2.0,0.0,1.0,3.0,0.0,1.0,119.0,2.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0,167.0,3.0,4.0,3.0,386.0
43_ref2,6.0,2.0,15.0,13.0,5.0,53.0,5.0,13.0,25.0,26.0,4.0,1.0,18.0,8.0,4.0,24.0,6.0,41.0,32.0,72.0,559.0
442,18.0,9.0,15.0,54.0,14.0,30.0,375.0,5.0,13.0,8.0,36.0,1.0,26.0,35.0,10.0,42.0,611.0,40.0,14.0,47.0,18.0
444,2.0,1.0,2.0,6.0,2.0,3.0,1.0,1.0,4.0,0.0,4.0,1.0,4.0,1.0,0.0,2.0,5.0,3.0,2.0,2.0,0.0
446,1.0,2.0,2.0,2.0,0.0,10.0,14.0,8.0,8.0,25.0,2.0,0.0,6.0,0.0,0.0,37.0,5.0,49.0,23.0,56.0,27.0
45,0.0,2.0,2.0,2.0,0.0,11.0,8.0,5.0,15.0,4.0,1.0,1.0,8.0,0.0,1.0,8.0,3.0,44.0,6.0,13.0,2.0
450,1.0,4.0,0.0,3.0,1.0,45.0,3.0,10.0,14.0,36.0,0.0,0.0,5.0,1.0,0.0,18.0,307.0,67.0,23.0,45.0,27.0
452,1.0,1.0,4.0,6.0,1.0,6.0,5.0,3.0,4.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,6.0,13.0,5.0,7.0,0.0
458,1.0,3.0,24.0,0.0,0.0,452.0,110.0,111.0,248.0,228.0,3.0,1.0,70.0,2.0,1.0,252.0,110.0,830.0,309.0,512.0,323.0
459,44.0,472.0,22.0,25.0,2.0,29.0,486.0,20.0,48.0,18.0,117.0,0.0,83.0,46.0,11.0,40.0,2232.0,82.0,46.0,98.0,54.0
460,200.0,1890.0,87.0,83.0,6.0,399.0,270.0,49.0,153.0,96.0,256.0,678.0,526.0,166.0,61.0,357.0,257.0,681.0,158.0,439.0,207.0
466,27.0,0.0,5.0,8.0,4.0,10.0,6.0,3.0,11.0,4.0,37.0,0.0,4.0,6.0,4.0,11.0,23.0,17.0,15.0,9.0,5.0
468,4479.0,11.0,587.0,3857.0,33.0,909.0,221.0,158.0,377.0,363.0,8407.0,1.0,3378.0,11234.0,2172.0,666.0,218.0,1338.0,500.0,966.0,338.0
470,112.0,194.0,57.0,46.0,44.0,169.0,913.0,39.0,64.0,64.0,131.0,62.0,209.0,90.0,18.0,254.0,28.0,166.0,91.0,242.0,79.0
473,4.0,3.0,21.0,11.0,2.0,161.0,48.0,55.0,55.0,65.0,7.0,2.0,88.0,3.0,3.0,118.0,251.0,243.0,64.0,174.0,103.0
475,5.0,4.0,81.0,5.0,2.0,744.0,456.0,432.0,600.0,356.0,11.0,12.0,759.0,8.0,0.0,588.0,1377.0,3701.0,750.0,1277.0,746.0
476,3.0,34.0,209.0,7.0,2.0,4682.0,2787.0,1374.0,4853.0,2839.0,3.0,4.0,440.0,4.0,4.0,5158.0,3783.0,16417.0,6099.0,16830.0,12604.0
48,4.0,6.0,27.0,6.0,7.0,47.0,55.0,13.0,3.0,9.0,3.0,4.0,7.0,3.0,2.0,9.0,49.0,73.0,35.0,17.0,14.0
485,5.0,34.0,7.0,4.0,2.0,10.0,2.0,2.0,9.0,10.0,9.0,5.0,222.0,13.0,9.0,11.0,2.0,8.0,12.0,3.0,8.0
486,205.0,4.0,213.0,93.0,1.0,155.0,208.0,35.0,101.0,123.0,285.0,10.0,1467.0,106.0,103.0,137.0,30.0,350.0,109.0,281.0,62.0
491,67.0,6.0,51.0,77.0,11.0,64.0,4.0,35.0,44.0,18.0,225.0,0.0,339.0,148.0,42.0,36.0,9.0,129.0,41.0,66.0,49.0
493,18.0,7.0,37.0,48.0,0.0,60.0,3.0,10.0,25.0,14.0,29.0,2.0,84.0,100.0,9.0,25.0,451.0,111.0,42.0,24.0,22.0
495,5.0,0.0,80.0,0.0,1.0,974.0,30.0,131.0,418.0,195.0,3.0,0.0,451.0,0.0,0.0,442.0,31.0,906.0,531.0,425.0,204.0
50,6.0,10.0,23.0,3.0,10.0,7.0,3.0,99.0,60.0,81.0,4.0,10.0,8.0,19.0,9.0,2.0,7.0,19.0,141.0,434.0,111.0
503,1.0,1.0,2.0,2.0,0.0,60.0,72.0,11.0,22.0,11.0,1.0,0.0,3.0,0.0,0.0,30.0,45.0,44.0,43.0,61.0,24.0
507,0.0,4.0,0.0,0.0,1.0,94.0,531.0,12.0,34.0,45.0,0.0,0.0,2.0,0.0,0.0,156.0,745.0,101.0,58.0,243.0,95.0
508,5.0,15.0,56.0,3.0,1.0,331.0,136.0,56.0,210.0,104.0,0.0,6.0,565.0,0.0,0.0,193.0,1926.0,480.0,225.0,230.0,185.0
52,0.0,3.0,2.0,2.0,0.0,42.0,0.0,13.0,20.0,8.0,2.0,2.0,61.0,1.0,0.0,35.0,14.0,109.0,31.0,89.0,30.0
520,0.0,0.0,11.0,2.0,0.0,13.0,1.0,6.0,11.0,3.0,1.0,1.0,10.0,2.0,2.0,6.0,4.0,22.0,10.0,8.0,2.0
521,4.0,0.0,17.0,1.0,1.0,39.0,6.0,44.0,63.0,8.0,3.0,3.0,20.0,1.0,2.0,29.0,10.0,179.0,48.0,48.0,33.0
522,11.0,1.0,23.0,7.0,6.0,234.0,856.0,60.0,80.0,55.0,18.0,0.0,47.0,3.0,8.0,61.0,354.0,493.0,160.0,160.0,129.0
523,1367.0,240.0,891.0,484.0,72.0,854.0,39.0,279.0,305.0,226.0,1988.0,104.0,4181.0,1155.0,427.0,381.0,124.0,1071.0,390.0,612.0,213.0
524,444.0,770.0,228.0,51.0,4.0,159.0,324.0,28.0,263.0,162.0,679.0,282.0,344.0,96.0,36.0,326.0,64.0,604.0,103.0,503.0,150.0
525,373.0,2.0,168.0,206.0,20.0,92.0,36.0,49.0,46.0,15.0,664.0,3.0,332.0,652.0,223.0,52.0,43.0,138.0,44.0,51.0,38.0
531,3.0,15.0,4.0,2.0,1.0,5.0,3.0,2.0,2.0,5.0,11.0,1.0,2.0,1.0,1.0,1.0,8.0,18.0,6.0,4.0,2.0
532,2.0,10.0,4.0,4.0,1.0,4.0,1.0,5.0,8.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,3.0,5.0,3.0,7.0,0.0
535,725.0,1906.0,215.0,257.0,71.0,467.0,237.0,83.0,174.0,177.0,1403.0,525.0,528.0,703.0,194.0,997.0,1710.0,473.0,268.0,944.0,463.0
538,197.0,347.0,123.0,147.0,15.0,223.0,144.0,93.0,134.0,91.0,278.0,23.0,462.0,406.0,66.0,207.0,316.0,448.0,277.0,420.0,120.0
539,1221.0,1972.0,881.0,506.0,52.0,534.0,232.0,129.0,312.0,260.0,1681.0,4769.0,4511.0,945.0,305.0,434.0,361.0,1086.0,285.0,742.0,244.0
540,3664.0,1108.0,1512.0,1286.0,159.0,2009.0,1593.0,210.0,1217.0,738.0,7421.0,485.0,4402.0,4553.0,1389.0,1376.0,11088.0,4466.0,1077.0,1703.0,1069.0
541,4.0,4.0,3.0,5.0,0.0,34.0,24.0,17.0,18.0,7.0,15.0,0.0,3.0,8.0,10.0,27.0,10.0,112.0,16.0,10.0,17.0
