strain_id,A_MTX_5-FC.ERV25_RBD2,A_MTX_Fluconazole.ERV25_RBD2,A_MTX_Metformin.ERV25_RBD2,A_MTX_Trifluoperazine.ERV25_RBD2,A_MTX_noDrug.ERV25_RBD2,A_noMTX_5-FC.ERV25_RBD2,A_noMTX_Fluconazole.ERV25_RBD2,A_noMTX_Metformin.ERV25_RBD2,A_noMTX_Trifluoperazine.ERV25_RBD2,A_noMTX_noDrug.ERV25_RBD2,B_MTX_5-FC.ERV25_RBD2,B_MTX_Fluconazole.ERV25_RBD2,B_MTX_Metformin.ERV25_RBD2,B_MTX_Trifluoperazine.ERV25_RBD2,B_MTX_noDrug.ERV25_RBD2,B_noMTX_5-FC.ERV25_RBD2,B_noMTX_Fluconazole.ERV25_RBD2,B_noMTX_Metformin.ERV25_RBD2,B_noMTX_Trifluoperazine.ERV25_RBD2,B_noMTX_noDrug.ERV25_RBD2,T0_noMTX_noDrug.ERV25_RBD2
133,1.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,3.0,4.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,7.0,10.0,2.0
136,3.0,0.0,0.0,1.0,1.0,4.0,9.0,2.0,8.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,24.0,3.0,7.0,2.0,2.0
14,36.0,34.0,23.0,54.0,23.0,28.0,7.0,17.0,24.0,8.0,35.0,2.0,48.0,94.0,18.0,9.0,6.0,26.0,20.0,10.0,13.0
146,406.0,44.0,1298.0,1119.0,646.0,223.0,600.0,202.0,129.0,131.0,1951.0,16.0,1055.0,190.0,353.0,121.0,131.0,88.0,201.0,133.0,71.0
15,193.0,4.0,24.0,3.0,6.0,24.0,62.0,14.0,6.0,6.0,64.0,2.0,28.0,42.0,4.0,7.0,36.0,5.0,7.0,12.0,24.0
151,0.0,0.0,1.0,1.0,1.0,7.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,4.0,2.0,2.0
153,0.0,1.0,3.0,0.0,0.0,59.0,56.0,101.0,36.0,53.0,29.0,3.0,0.0,0.0,0.0,43.0,22.0,52.0,60.0,69.0,25.0
17,4.0,6.0,3.0,0.0,3.0,1.0,2.0,1.0,6.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,6.0,3.0,1.0,2.0,2.0
171,11.0,3.0,2.0,6.0,3.0,240.0,462.0,187.0,155.0,224.0,21.0,1.0,10.0,16.0,3.0,276.0,485.0,177.0,292.0,110.0,62.0
175,0.0,0.0,2.0,0.0,0.0,9.0,2.0,8.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,8.0,4.0,2.0,3.0,3.0,4.0
180,0.0,0.0,26.0,0.0,0.0,414.0,22.0,282.0,100.0,323.0,11.0,4.0,0.0,0.0,0.0,400.0,94.0,161.0,304.0,204.0,58.0
180_2,3.0,5.0,55.0,2.0,0.0,2201.0,288.0,2918.0,560.0,2128.0,278.0,1.0,28.0,1.0,0.0,1911.0,594.0,1760.0,888.0,2445.0,193.0
185,6.0,6.0,4.0,3.0,4.0,13.0,1.0,16.0,16.0,11.0,6.0,3.0,4.0,6.0,2.0,14.0,7.0,10.0,7.0,8.0,0.0
187,0.0,1.0,0.0,0.0,2.0,28.0,1.0,7.0,10.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,1898.0,5.0,8.0,5.0,10.0
188,1.0,10.0,1.0,1.0,0.0,40.0,6.0,15.0,9.0,10.0,4.0,6.0,5.0,2.0,1.0,9.0,3.0,10.0,11.0,7.0,4.0
192,4.0,11.0,1.0,3.0,1.0,10.0,74.0,12.0,39.0,15.0,7.0,18.0,8.0,7.0,4.0,12.0,62.0,20.0,28.0,11.0,5.0
20,3.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,24.0,1.0,1.0,0.0,0.0
209,2.0,9.0,0.0,1.0,1.0,988.0,1758.0,1488.0,325.0,1001.0,3.0,0.0,3.0,5.0,1.0,834.0,3636.0,1357.0,700.0,828.0,81.0
210,2.0,0.0,0.0,3.0,0.0,7.0,16.0,4.0,4.0,3.0,2.0,0.0,5.0,8.0,1.0,4.0,9.0,5.0,1.0,2.0,2.0
226,18.0,2.0,6.0,7.0,3.0,21.0,2.0,6.0,7.0,3.0,26.0,0.0,13.0,6.0,11.0,5.0,9.0,8.0,13.0,8.0,11.0
235,3.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,5.0,4.0,3.0,1.0,5.0,2.0,0.0,2.0,3.0,5.0,4.0,1.0,4.0
240,2.0,0.0,0.0,0.0,1.0,6.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,4.0,4.0,6.0
248,11.0,0.0,3.0,0.0,5.0,10.0,2.0,8.0,3.0,2.0,6.0,0.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0
250,2.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,7.0,8.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0
252,53.0,19.0,2.0,27.0,168.0,3.0,17.0,2.0,4.0,0.0,11.0,0.0,12.0,67.0,71.0,2.0,16.0,4.0,2.0,5.0,0.0
253,5.0,3.0,9.0,10.0,2.0,52.0,8.0,11.0,12.0,10.0,4.0,4.0,16.0,5.0,1.0,6.0,13.0,13.0,6.0,17.0,10.0
254,2.0,4.0,2.0,0.0,1.0,61.0,542.0,21.0,47.0,15.0,2.0,3.0,10.0,1.0,0.0,17.0,59.0,19.0,51.0,26.0,6.0
257,13.0,3.0,5.0,1.0,2.0,172.0,528.0,162.0,75.0,185.0,3.0,0.0,18.0,3.0,1.0,141.0,1186.0,115.0,171.0,128.0,58.0
258,5.0,24.0,6.0,4.0,1.0,655.0,387.0,632.0,283.0,646.0,16.0,1.0,20.0,12.0,2.0,600.0,865.0,589.0,743.0,458.0,135.0
27,2.0,0.0,1.0,0.0,0.0,7.0,1.0,4.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0
270,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,15.0,1.0,1.0,2.0,1.0
271,1.0,0.0,3.0,0.0,0.0,26.0,5.0,6.0,10.0,5.0,0.0,0.0,3.0,1.0,0.0,16.0,27.0,9.0,9.0,10.0,13.0
272,1.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0
277,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
286,4.0,2.0,4.0,11.0,1.0,17.0,3.0,3.0,3.0,5.0,13.0,10.0,14.0,3.0,6.0,4.0,7.0,2.0,5.0,3.0,1.0
289,0.0,0.0,0.0,0.0,0.0,208.0,844.0,298.0,236.0,302.0,0.0,6.0,4.0,1.0,0.0,172.0,4928.0,368.0,547.0,343.0,82.0
29,4.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,0.0,0.0
291,12.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,7.0,2.0,8.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,5.0,1.0,1.0
294,3.0,1.0,3.0,0.0,1.0,24.0,26.0,14.0,21.0,10.0,4.0,1.0,7.0,0.0,2.0,10.0,16.0,4.0,5.0,7.0,6.0
296,13.0,0.0,5.0,4.0,1.0,721.0,833.0,1113.0,375.0,630.0,10.0,1.0,8.0,1.0,9.0,675.0,3334.0,926.0,861.0,756.0,83.0
299,57.0,0.0,22.0,0.0,1.0,2781.0,583.0,3046.0,2679.0,3402.0,0.0,0.0,13.0,0.0,0.0,2336.0,374.0,2287.0,4910.0,2472.0,144.0
307,10.0,5.0,1.0,0.0,1.0,6.0,0.0,3.0,7.0,0.0,10.0,1.0,8.0,0.0,2.0,6.0,2.0,3.0,4.0,5.0,5.0
308,5.0,6.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,1.0,6.0,1.0,5.0,1.0,0.0,1.0,4.0,3.0,5.0,0.0,0.0
31,3.0,0.0,4.0,1.0,0.0,7.0,1.0,7.0,0.0,4.0,0.0,1.0,8.0,3.0,1.0,3.0,5.0,0.0,1.0,2.0,0.0
311,5.0,0.0,0.0,3.0,0.0,10.0,6.0,5.0,5.0,1.0,5.0,0.0,2.0,1.0,6.0,6.0,9.0,6.0,10.0,4.0,1.0
312,3.0,11.0,0.0,1.0,0.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,9.0,3.0,1.0,3.0,7.0,2.0,2.0,3.0,1.0
32,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,12.0,1.0,2.0,0.0,0.0
320,40.0,3.0,32.0,17.0,14.0,255.0,193.0,514.0,291.0,374.0,44.0,3.0,106.0,24.0,24.0,209.0,107.0,349.0,700.0,475.0,72.0
323,11.0,2.0,2.0,2.0,5.0,5.0,19.0,1.0,1.0,2.0,4.0,1.0,5.0,4.0,2.0,2.0,8.0,3.0,0.0,1.0,4.0
325,1.0,0.0,0.0,0.0,0.0,59.0,20.0,18.0,22.0,9.0,1.0,1.0,2.0,0.0,0.0,16.0,21.0,13.0,10.0,18.0,9.0
33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0
335,4258.0,49.0,2349.0,13.0,4.0,1620.0,48.0,914.0,766.0,1316.0,919.0,3.0,3800.0,29.0,0.0,1299.0,79.0,817.0,1261.0,396.0,179.0
336,8.0,0.0,3.0,15.0,1.0,128.0,22.0,196.0,114.0,188.0,6.0,1.0,6.0,1.0,3.0,236.0,76.0,154.0,268.0,198.0,53.0
337,2.0,0.0,5.0,0.0,0.0,171.0,331.0,157.0,70.0,189.0,5.0,0.0,14.0,0.0,0.0,173.0,822.0,143.0,106.0,121.0,48.0
339,5.0,2.0,3.0,3.0,3.0,13.0,9.0,8.0,43.0,8.0,7.0,1.0,12.0,12.0,2.0,4.0,72.0,6.0,9.0,7.0,5.0
347,0.0,1.0,4.0,0.0,0.0,2.0,3.0,6.0,5.0,3.0,5.0,1.0,4.0,0.0,0.0,9.0,20.0,0.0,6.0,4.0,1.0
348,2.0,52.0,0.0,4.0,1.0,5.0,2.0,1.0,6.0,0.0,8.0,10.0,4.0,1.0,0.0,2.0,23.0,3.0,2.0,2.0,0.0
350,12.0,2.0,2.0,8.0,12.0,13.0,3.0,1.0,4.0,4.0,30.0,3.0,9.0,15.0,5.0,7.0,3.0,1.0,4.0,3.0,3.0
354,4.0,0.0,2.0,1.0,0.0,6.0,4.0,1.0,8.0,3.0,2.0,2.0,3.0,0.0,0.0,4.0,14.0,5.0,2.0,0.0,2.0
358,367.0,13.0,2113.0,92.0,125.0,60.0,104.0,173.0,54.0,379.0,310.0,6.0,731.0,137.0,31.0,83.0,810.0,148.0,135.0,113.0,27.0
359,28.0,0.0,3.0,4.0,12.0,2.0,14.0,4.0,6.0,4.0,11.0,0.0,18.0,23.0,14.0,5.0,4.0,10.0,9.0,0.0,0.0
36,2.0,5.0,0.0,2.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,3.0,8.0,2.0,1.0,7.0,1.0,0.0,1.0,1.0
364,465.0,4.0,161.0,7.0,0.0,132.0,6.0,153.0,27.0,103.0,322.0,1.0,401.0,0.0,0.0,95.0,0.0,97.0,118.0,90.0,14.0
375,2994.0,42.0,1866.0,13.0,6.0,1414.0,35.0,925.0,673.0,1179.0,1194.0,11.0,4388.0,15.0,12.0,1305.0,46.0,711.0,1155.0,953.0,101.0
383,2.0,7.0,1.0,2.0,0.0,17.0,8.0,8.0,8.0,7.0,4.0,5.0,11.0,1.0,2.0,12.0,9.0,2.0,13.0,5.0,5.0
385,5.0,43.0,1.0,1.0,2.0,0.0,3.0,2.0,1.0,2.0,8.0,14.0,2.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,0.0
392,5.0,10.0,0.0,1.0,2.0,34.0,21.0,12.0,21.0,15.0,2.0,10.0,0.0,0.0,1.0,8.0,13.0,9.0,17.0,9.0,9.0
397,0.0,4.0,1.0,0.0,0.0,12.0,3.0,2.0,5.0,5.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0
399,1.0,5.0,2.0,1.0,0.0,48.0,46.0,12.0,12.0,11.0,1.0,0.0,21.0,1.0,0.0,21.0,92.0,13.0,16.0,9.0,9.0
40,338.0,5.0,11.0,9.0,7.0,484.0,4.0,211.0,149.0,456.0,1.0,2.0,11.0,9.0,4.0,479.0,48.0,161.0,345.0,175.0,57.0
400,78.0,0.0,10.0,36.0,17.0,39.0,87.0,12.0,17.0,12.0,104.0,0.0,48.0,58.0,40.0,12.0,6.0,6.0,17.0,14.0,10.0
406,2.0,12.0,4.0,1.0,0.0,50.0,2527.0,41.0,37.0,47.0,1.0,1.0,14.0,0.0,0.0,21.0,6631.0,29.0,50.0,47.0,27.0
408,1.0,0.0,1.0,0.0,0.0,18.0,5.0,6.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,2.0,6.0,7.0
409,90.0,4.0,6.0,23.0,29.0,31.0,13.0,7.0,20.0,5.0,159.0,3.0,21.0,33.0,14.0,36.0,24.0,3.0,21.0,14.0,7.0
40_2,1.0,1.0,0.0,2.0,12.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,1.0,2.0,1.0,1.0,0.0
412,32.0,1.0,1.0,6.0,18.0,1.0,8.0,3.0,3.0,0.0,1.0,0.0,8.0,18.0,13.0,2.0,20.0,1.0,4.0,1.0,1.0
418,3.0,1.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,7.0,2.0,4.0,1.0,0.0
419,5.0,0.0,1.0,0.0,0.0,22.0,9.0,15.0,9.0,10.0,0.0,0.0,9.0,2.0,1.0,16.0,11.0,11.0,5.0,14.0,2.0
420,2.0,1.0,0.0,0.0,1.0,3.0,4.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0
421,27.0,16.0,4.0,12.0,5.0,9.0,10.0,5.0,6.0,7.0,12.0,0.0,19.0,23.0,8.0,7.0,22.0,9.0,8.0,2.0,2.0
426,10.0,2.0,1.0,4.0,3.0,23.0,26.0,14.0,26.0,12.0,13.0,0.0,12.0,9.0,4.0,6.0,54.0,12.0,6.0,4.0,4.0
43,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0
431,1.0,0.0,4.0,2.0,0.0,1067.0,62.0,1518.0,1079.0,1398.0,0.0,0.0,7.0,2.0,0.0,1025.0,53.0,1129.0,3260.0,643.0,231.0
433,15.0,0.0,6.0,1.0,3.0,29.0,11.0,25.0,42.0,20.0,7.0,0.0,13.0,6.0,2.0,11.0,14.0,12.0,10.0,9.0,1.0
434,13.0,9.0,9.0,2.0,2.0,16.0,5.0,4.0,15.0,7.0,10.0,5.0,27.0,8.0,4.0,9.0,7.0,1.0,3.0,7.0,9.0
437,8.0,26.0,6.0,2.0,4.0,12.0,2.0,6.0,10.0,6.0,23.0,4.0,17.0,13.0,4.0,5.0,4.0,3.0,4.0,6.0,3.0
438,1.0,1.0,0.0,0.0,1.0,8.0,12.0,4.0,2.0,3.0,0.0,2.0,3.0,2.0,0.0,6.0,11.0,1.0,4.0,4.0,8.0
439,4.0,2.0,0.0,0.0,0.0,7.0,59.0,2.0,12.0,4.0,7.0,6.0,3.0,2.0,1.0,9.0,17.0,6.0,2.0,7.0,9.0
43_ref1,6.0,8.0,4.0,1.0,2.0,29.0,1747.0,5.0,34.0,15.0,5.0,4.0,3.0,2.0,3.0,16.0,6324.0,4.0,13.0,22.0,439.0
43_ref2,9.0,1.0,10.0,2.0,3.0,66.0,46.0,163.0,241.0,481.0,5.0,3.0,16.0,12.0,2.0,89.0,345.0,180.0,477.0,256.0,576.0
442,13.0,10.0,7.0,8.0,4.0,14.0,6.0,7.0,12.0,13.0,9.0,3.0,21.0,20.0,4.0,8.0,11.0,5.0,7.0,11.0,3.0
444,1.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0
446,3.0,2.0,0.0,0.0,0.0,9.0,9.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,6.0,1.0,7.0,2.0,2.0
45,26.0,0.0,2.0,23.0,13.0,11.0,2.0,5.0,9.0,5.0,17.0,0.0,5.0,5.0,23.0,6.0,4.0,6.0,15.0,5.0,3.0
450,2.0,0.0,0.0,0.0,1.0,21.0,10.0,18.0,38.0,16.0,4.0,0.0,7.0,4.0,1.0,9.0,14.0,9.0,10.0,9.0,4.0
452,3.0,0.0,0.0,0.0,0.0,8.0,16.0,2.0,5.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,15.0,7.0,3.0,9.0,3.0
458,101.0,1.0,87.0,3.0,1.0,51.0,22.0,158.0,138.0,164.0,19.0,1.0,40.0,13.0,12.0,69.0,67.0,113.0,173.0,93.0,45.0
459,3.0,3.0,4.0,5.0,1.0,8.0,9.0,11.0,17.0,9.0,10.0,0.0,13.0,1.0,0.0,9.0,19.0,2.0,9.0,10.0,6.0
460,44.0,383.0,20.0,10.0,16.0,62.0,34.0,16.0,20.0,15.0,54.0,164.0,40.0,25.0,19.0,18.0,42.0,19.0,8.0,16.0,16.0
466,5.0,0.0,3.0,0.0,1.0,6.0,2.0,3.0,5.0,2.0,4.0,1.0,3.0,2.0,1.0,9.0,6.0,2.0,6.0,2.0,1.0
468,1439.0,6.0,307.0,55.0,24.0,200.0,17.0,257.0,100.0,168.0,657.0,4.0,688.0,137.0,44.0,131.0,36.0,157.0,174.0,146.0,16.0
470,24.0,164.0,2.0,6.0,6.0,11.0,12.0,12.0,12.0,3.0,20.0,96.0,20.0,13.0,8.0,6.0,18.0,6.0,9.0,10.0,4.0
473,11.0,45.0,8.0,3.0,4.0,18.0,15.0,8.0,9.0,12.0,9.0,10.0,8.0,4.0,2.0,12.0,84.0,5.0,6.0,9.0,19.0
475,803.0,37.0,169.0,93.0,18.0,251.0,17262.0,225.0,141.0,178.0,95.0,17.0,131.0,16.0,26.0,115.0,67231.0,233.0,143.0,195.0,200.0
476,4.0,3.0,6.0,2.0,2.0,305.0,167.0,226.0,196.0,165.0,18.0,2.0,29.0,1.0,0.0,238.0,203.0,211.0,251.0,338.0,448.0
48,9.0,6.0,1.0,7.0,3.0,11.0,5.0,3.0,10.0,5.0,3.0,2.0,4.0,3.0,1.0,3.0,20.0,3.0,3.0,2.0,4.0
485,5.0,27.0,3.0,4.0,5.0,12.0,3.0,3.0,1.0,3.0,6.0,17.0,15.0,6.0,1.0,5.0,2.0,0.0,1.0,1.0,2.0
486,25.0,13.0,8.0,12.0,11.0,43.0,13.0,48.0,35.0,57.0,21.0,8.0,45.0,23.0,12.0,41.0,24.0,29.0,93.0,53.0,7.0
491,55.0,5.0,31.0,6.0,32.0,48.0,32.0,28.0,22.0,19.0,46.0,0.0,98.0,30.0,19.0,26.0,62.0,21.0,17.0,29.0,4.0
493,3.0,6.0,2.0,3.0,3.0,12.0,16.0,4.0,5.0,2.0,7.0,9.0,11.0,8.0,2.0,2.0,16.0,2.0,13.0,4.0,11.0
495,2.0,0.0,8.0,0.0,2.0,314.0,40.0,332.0,191.0,436.0,4.0,2.0,12.0,1.0,1.0,216.0,95.0,349.0,236.0,233.0,99.0
50,11.0,4.0,26.0,9.0,5.0,5.0,8.0,19.0,8.0,1.0,7.0,31.0,146.0,8.0,4.0,1.0,13.0,8.0,40.0,6.0,7.0
503,2.0,0.0,11.0,2.0,1.0,839.0,783.0,953.0,310.0,1048.0,5.0,0.0,42.0,1.0,1.0,870.0,684.0,897.0,583.0,836.0,81.0
507,1.0,0.0,2.0,1.0,0.0,28.0,5.0,6.0,4.0,13.0,0.0,0.0,3.0,2.0,0.0,12.0,8.0,5.0,24.0,1.0,24.0
508,3.0,7.0,0.0,0.0,1.0,11.0,9.0,5.0,9.0,6.0,1.0,3.0,4.0,2.0,0.0,10.0,13.0,5.0,7.0,8.0,3.0
52,1.0,4.0,4.0,0.0,2.0,13.0,18.0,6.0,4.0,8.0,4.0,0.0,6.0,0.0,0.0,3.0,25.0,15.0,3.0,9.0,2.0
520,2.0,2.0,5.0,2.0,1.0,9.0,3.0,2.0,10.0,3.0,5.0,0.0,5.0,1.0,0.0,9.0,7.0,6.0,7.0,4.0,1.0
521,65.0,2.0,1.0,50.0,25.0,37.0,12.0,76.0,49.0,16.0,60.0,3.0,5.0,18.0,39.0,29.0,57.0,39.0,479.0,38.0,85.0
522,14.0,11.0,5.0,5.0,2.0,57.0,19.0,23.0,27.0,14.0,17.0,6.0,8.0,7.0,3.0,11.0,59.0,11.0,13.0,24.0,7.0
523,124.0,44.0,43.0,65.0,58.0,92.0,62.0,37.0,62.0,37.0,160.0,58.0,201.0,102.0,54.0,39.0,145.0,48.0,38.0,44.0,25.0
524,98.0,37.0,4.0,31.0,35.0,98.0,21.0,27.0,38.0,47.0,110.0,29.0,15.0,30.0,47.0,45.0,38.0,26.0,103.0,18.0,17.0
525,116.0,11.0,22.0,27.0,26.0,91.0,7.0,26.0,21.0,13.0,245.0,8.0,118.0,45.0,30.0,24.0,51.0,12.0,23.0,15.0,10.0
531,4.0,8.0,2.0,1.0,1.0,3.0,4.0,0.0,3.0,2.0,11.0,9.0,5.0,6.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0
532,11.0,9.0,1.0,6.0,1.0,7.0,4.0,7.0,14.0,3.0,8.0,5.0,10.0,10.0,3.0,9.0,5.0,1.0,7.0,3.0,1.0
535,114.0,163.0,18.0,62.0,60.0,52.0,51.0,12.0,17.0,20.0,250.0,64.0,42.0,41.0,36.0,55.0,16.0,15.0,15.0,23.0,20.0
538,48.0,29.0,8.0,24.0,12.0,41.0,18.0,18.0,8.0,14.0,56.0,35.0,48.0,25.0,34.0,14.0,64.0,18.0,15.0,20.0,13.0
539,1089.0,84.0,222.0,34.0,46.0,55.0,38.0,91.0,43.0,47.0,655.0,14.0,498.0,80.0,50.0,38.0,169.0,58.0,46.0,54.0,21.0
540,20029.0,120783.0,1890.0,5155.0,11352.0,414.0,986.0,129.0,123.0,243.0,29509.0,94129.0,1437.0,2557.0,6017.0,175.0,10294.0,124.0,198.0,121.0,104.0
541,4.0,2.0,3.0,0.0,3.0,1121.0,54.0,881.0,389.0,922.0,10.0,1.0,4.0,3.0,7.0,1063.0,501.0,458.0,878.0,497.0,46.0
