strain_id,A_MTX_5-FC.ERV25_ERG5,A_MTX_Fluconazole.ERV25_ERG5,A_MTX_Metformin.ERV25_ERG5,A_MTX_Trifluoperazine.ERV25_ERG5,A_MTX_noDrug.ERV25_ERG5,A_noMTX_5-FC.ERV25_ERG5,A_noMTX_Fluconazole.ERV25_ERG5,A_noMTX_Metformin.ERV25_ERG5,A_noMTX_Trifluoperazine.ERV25_ERG5,A_noMTX_noDrug.ERV25_ERG5,B_MTX_5-FC.ERV25_ERG5,B_MTX_Fluconazole.ERV25_ERG5,B_MTX_Metformin.ERV25_ERG5,B_MTX_Trifluoperazine.ERV25_ERG5,B_MTX_noDrug.ERV25_ERG5,B_noMTX_5-FC.ERV25_ERG5,B_noMTX_Fluconazole.ERV25_ERG5,B_noMTX_Metformin.ERV25_ERG5,B_noMTX_Trifluoperazine.ERV25_ERG5,B_noMTX_noDrug.ERV25_ERG5,T0_noMTX_noDrug.ERV25_ERG5
1040,22.0,13.0,118.0,98.0,35.0,307.0,348.0,670.0,207.0,344.0,51.0,7.0,240.0,33.0,115.0,211.0,219.0,173.0,543.0,356.0,245.0
1046,9.0,20.0,109.0,5.0,1.0,226.0,323.0,364.0,211.0,193.0,12.0,111.0,265.0,6.0,2.0,120.0,232.0,61.0,446.0,213.0,287.0
1050,61.0,1.0,10.0,58.0,27.0,18.0,1.0,222.0,43.0,29.0,237.0,1.0,103.0,170.0,132.0,22.0,2.0,41.0,46.0,11.0,23.0
1065,49.0,6.0,33.0,6.0,137.0,12.0,2.0,26.0,12.0,21.0,128.0,18.0,62.0,28.0,46.0,17.0,15.0,1.0,3.0,15.0,8.0
1069,2698.0,786.0,2316.0,2136.0,3050.0,551.0,851.0,1647.0,584.0,1247.0,4264.0,974.0,4397.0,2969.0,4425.0,516.0,1959.0,360.0,1150.0,807.0,346.0
107,2.0,2.0,6.0,8.0,0.0,31.0,5.0,18.0,26.0,50.0,11.0,2.0,54.0,3.0,13.0,11.0,5.0,9.0,16.0,26.0,24.0
113,20.0,11.0,22.0,7.0,36.0,11.0,13.0,26.0,5.0,5.0,18.0,13.0,25.0,42.0,99.0,13.0,6.0,7.0,27.0,76.0,25.0
119,2.0,1.0,0.0,11.0,3.0,1.0,15.0,4.0,6.0,1.0,3.0,6.0,6.0,3.0,10.0,3.0,1.0,5.0,6.0,1.0,4.0
124,45.0,1.0,23.0,40.0,161.0,23.0,27.0,9.0,3.0,14.0,57.0,1.0,18.0,56.0,92.0,6.0,42.0,3.0,41.0,12.0,16.0
128,0.0,457.0,83.0,3.0,1.0,487.0,195.0,460.0,249.0,291.0,1.0,172.0,82.0,3.0,2.0,501.0,228.0,150.0,511.0,399.0,389.0
132,24.0,339.0,201.0,3.0,0.0,370.0,344.0,682.0,390.0,582.0,15.0,25.0,668.0,2.0,5.0,267.0,506.0,195.0,1263.0,356.0,272.0
133,8.0,0.0,33.0,2.0,1.0,310.0,24.0,308.0,194.0,150.0,4.0,1.0,15.0,2.0,1.0,83.0,0.0,49.0,448.0,196.0,81.0
136,0.0,21.0,14.0,1.0,1.0,39.0,15.0,125.0,27.0,72.0,4.0,0.0,8.0,2.0,0.0,18.0,3.0,8.0,42.0,64.0,38.0
14,538.0,339.0,711.0,715.0,747.0,507.0,292.0,1899.0,209.0,532.0,1132.0,19.0,1622.0,879.0,1435.0,245.0,438.0,304.0,717.0,934.0,396.0
146,3190.0,248.0,2410.0,4038.0,3767.0,3276.0,1000.0,5329.0,1816.0,2732.0,5987.0,53.0,5794.0,5096.0,7062.0,2292.0,1342.0,1039.0,5894.0,3402.0,1383.0
15,50.0,0.0,25.0,12.0,92.0,241.0,102.0,224.0,63.0,163.0,113.0,3.0,208.0,28.0,55.0,83.0,0.0,41.0,258.0,131.0,242.0
151,0.0,0.0,17.0,6.0,0.0,9.0,6.0,15.0,8.0,6.0,1.0,0.0,23.0,6.0,5.0,4.0,1.0,9.0,14.0,3.0,21.0
153,1.0,3.0,7.0,0.0,0.0,141.0,301.0,96.0,17.0,103.0,6.0,0.0,19.0,0.0,0.0,115.0,534.0,33.0,93.0,126.0,122.0
17,0.0,1.0,0.0,4.0,2.0,1.0,18.0,2.0,3.0,2.0,1.0,7.0,4.0,1.0,6.0,2.0,1.0,1.0,13.0,1.0,3.0
171,28.0,2.0,20.0,58.0,35.0,71.0,19.0,51.0,27.0,40.0,40.0,1.0,32.0,24.0,81.0,27.0,9.0,6.0,49.0,26.0,142.0
175,0.0,2.0,4.0,3.0,4.0,19.0,7.0,17.0,8.0,3.0,0.0,0.0,3.0,1.0,3.0,6.0,1.0,8.0,44.0,35.0,14.0
180,1.0,2.0,5.0,0.0,1.0,52.0,27.0,28.0,12.0,60.0,3.0,13.0,6.0,3.0,3.0,29.0,15.0,11.0,30.0,35.0,66.0
180_2,3.0,1.0,8.0,4.0,4.0,139.0,15.0,225.0,21.0,91.0,5.0,1.0,35.0,3.0,23.0,70.0,5.0,52.0,177.0,40.0,80.0
185,28.0,4.0,25.0,78.0,29.0,3.0,5.0,27.0,15.0,19.0,50.0,1.0,84.0,44.0,156.0,10.0,4.0,7.0,27.0,6.0,8.0
187,26.0,3.0,470.0,10.0,3.0,172.0,160.0,158.0,192.0,368.0,54.0,8.0,1008.0,13.0,15.0,333.0,634.0,77.0,394.0,170.0,180.0
188,5.0,7.0,33.0,17.0,6.0,68.0,19.0,118.0,29.0,14.0,17.0,14.0,36.0,5.0,16.0,12.0,1.0,25.0,85.0,80.0,31.0
192,9.0,15.0,4.0,17.0,11.0,15.0,423.0,32.0,13.0,8.0,9.0,43.0,27.0,17.0,24.0,8.0,186.0,21.0,60.0,7.0,9.0
20,0.0,0.0,72.0,1.0,8.0,100.0,16.0,129.0,115.0,257.0,0.0,0.0,228.0,2.0,6.0,330.0,20.0,48.0,203.0,102.0,184.0
209,2.0,76.0,35.0,3.0,0.0,123.0,199.0,222.0,36.0,82.0,1.0,11.0,79.0,10.0,2.0,50.0,140.0,43.0,126.0,78.0,90.0
210,1.0,0.0,4.0,8.0,4.0,6.0,12.0,24.0,5.0,1.0,7.0,0.0,10.0,3.0,7.0,7.0,5.0,10.0,21.0,4.0,3.0
226,140.0,36.0,65.0,156.0,129.0,71.0,5.0,64.0,89.0,109.0,205.0,36.0,112.0,242.0,301.0,69.0,144.0,21.0,384.0,82.0,223.0
235,0.0,2.0,1.0,2.0,0.0,61.0,12.0,90.0,12.0,36.0,0.0,9.0,13.0,1.0,2.0,16.0,4.0,9.0,63.0,5.0,12.0
240,2.0,2.0,1.0,0.0,1.0,6.0,5.0,7.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,8.0,14.0,28.0,3.0,11.0
248,82.0,0.0,160.0,57.0,239.0,76.0,0.0,100.0,60.0,49.0,274.0,0.0,732.0,120.0,237.0,15.0,0.0,33.0,72.0,77.0,8.0
250,1.0,1.0,0.0,1.0,2.0,16.0,3.0,24.0,0.0,23.0,3.0,1.0,1.0,0.0,3.0,7.0,0.0,13.0,23.0,5.0,22.0
252,32.0,2.0,2.0,39.0,342.0,2.0,12.0,6.0,5.0,2.0,38.0,0.0,9.0,137.0,108.0,1.0,12.0,5.0,8.0,2.0,5.0
253,54.0,342.0,10.0,85.0,16.0,390.0,88.0,305.0,110.0,74.0,53.0,449.0,145.0,60.0,43.0,77.0,21.0,65.0,636.0,138.0,79.0
254,11.0,19.0,230.0,3.0,0.0,272.0,819.0,1302.0,318.0,568.0,28.0,130.0,479.0,0.0,1.0,273.0,618.0,310.0,768.0,781.0,359.0
257,1.0,3.0,1.0,3.0,1.0,27.0,4.0,14.0,13.0,11.0,3.0,0.0,24.0,1.0,4.0,8.0,33.0,2.0,16.0,6.0,30.0
258,181.0,3.0,80.0,159.0,75.0,307.0,13.0,281.0,65.0,65.0,317.0,1.0,253.0,106.0,189.0,165.0,152.0,48.0,225.0,120.0,109.0
27,3.0,1.0,2.0,5.0,2.0,2.0,9.0,4.0,3.0,1.0,2.0,1.0,7.0,7.0,5.0,1.0,0.0,1.0,14.0,3.0,0.0
270,0.0,0.0,4.0,0.0,3.0,0.0,951.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,113.0,2.0,5.0,2.0,9.0
271,4.0,34.0,47.0,0.0,0.0,104.0,31.0,137.0,15.0,65.0,10.0,37.0,12.0,1.0,11.0,87.0,4.0,27.0,111.0,116.0,84.0
272,0.0,0.0,1.0,0.0,3.0,10.0,0.0,26.0,4.0,2.0,0.0,0.0,4.0,2.0,2.0,4.0,1.0,15.0,17.0,0.0,7.0
277,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0
286,4.0,1.0,26.0,5.0,12.0,10.0,1.0,16.0,6.0,7.0,11.0,3.0,26.0,5.0,41.0,22.0,0.0,2.0,13.0,13.0,7.0
289,4.0,2.0,19.0,3.0,0.0,214.0,410.0,331.0,125.0,135.0,1.0,28.0,27.0,0.0,4.0,151.0,85.0,81.0,358.0,213.0,143.0
29,0.0,2.0,1.0,2.0,1.0,3.0,10.0,5.0,2.0,7.0,0.0,5.0,3.0,1.0,7.0,1.0,4.0,3.0,18.0,2.0,3.0
291,1.0,3.0,1.0,1.0,0.0,4.0,61.0,5.0,1.0,6.0,1.0,4.0,4.0,0.0,1.0,4.0,210.0,4.0,5.0,1.0,4.0
294,7.0,32.0,110.0,6.0,1.0,210.0,170.0,195.0,101.0,198.0,13.0,48.0,43.0,7.0,13.0,87.0,8.0,49.0,372.0,111.0,66.0
296,9.0,87.0,16.0,1.0,2.0,377.0,15.0,830.0,77.0,244.0,4.0,13.0,88.0,0.0,0.0,157.0,12.0,71.0,333.0,252.0,125.0
299,0.0,3.0,115.0,0.0,0.0,121.0,259.0,331.0,163.0,300.0,3.0,0.0,299.0,1.0,4.0,114.0,370.0,85.0,209.0,257.0,86.0
307,5.0,0.0,2.0,2.0,6.0,1.0,2.0,5.0,3.0,2.0,7.0,1.0,5.0,2.0,11.0,4.0,2.0,1.0,9.0,3.0,1.0
308,0.0,0.0,3.0,4.0,9.0,2.0,7.0,6.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,4.0,3.0,1.0,13.0,0.0,12.0
31,54.0,0.0,10.0,34.0,7.0,60.0,1.0,12.0,1.0,27.0,27.0,0.0,308.0,43.0,146.0,18.0,1.0,9.0,13.0,7.0,12.0
311,1.0,0.0,1.0,1.0,2.0,1.0,6.0,9.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,7.0,6.0,8.0,1.0,3.0
312,11.0,7.0,7.0,13.0,6.0,5.0,4.0,17.0,1.0,6.0,8.0,10.0,15.0,6.0,21.0,2.0,1.0,1.0,11.0,5.0,2.0
32,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,1.0
320,459.0,58.0,691.0,167.0,531.0,497.0,476.0,1037.0,150.0,173.0,559.0,2.0,1161.0,238.0,1122.0,216.0,308.0,202.0,419.0,598.0,110.0
323,3.0,7.0,1.0,4.0,5.0,158.0,26.0,118.0,34.0,83.0,0.0,8.0,4.0,4.0,5.0,88.0,11.0,38.0,143.0,74.0,41.0
325,35.0,5.0,126.0,9.0,38.0,335.0,11.0,369.0,49.0,228.0,1.0,0.0,239.0,70.0,0.0,135.0,153.0,54.0,306.0,293.0,217.0
33,1.0,0.0,39.0,4.0,0.0,83.0,10.0,106.0,15.0,53.0,0.0,0.0,61.0,1.0,1.0,49.0,1.0,11.0,140.0,63.0,63.0
335,5.0,1.0,45.0,3.0,15.0,32.0,15.0,73.0,16.0,14.0,62.0,2.0,240.0,26.0,124.0,113.0,2.0,37.0,47.0,8.0,18.0
336,64.0,0.0,28.0,72.0,28.0,33.0,354.0,71.0,10.0,10.0,135.0,2.0,56.0,80.0,184.0,42.0,271.0,33.0,70.0,15.0,43.0
337,22.0,336.0,286.0,17.0,7.0,1419.0,1041.0,1838.0,330.0,1208.0,29.0,290.0,675.0,13.0,12.0,869.0,1552.0,324.0,1195.0,995.0,457.0
339,75.0,0.0,40.0,144.0,438.0,116.0,34.0,89.0,36.0,43.0,125.0,1.0,836.0,164.0,183.0,52.0,11.0,18.0,166.0,75.0,53.0
347,0.0,14.0,5.0,2.0,0.0,21.0,2.0,13.0,2.0,36.0,1.0,0.0,5.0,2.0,2.0,9.0,2.0,11.0,35.0,4.0,13.0
348,1.0,6.0,0.0,2.0,4.0,7.0,7.0,13.0,7.0,10.0,5.0,0.0,1.0,2.0,5.0,12.0,4.0,4.0,31.0,14.0,36.0
350,355.0,4.0,163.0,233.0,166.0,67.0,5.0,186.0,32.0,50.0,554.0,5.0,527.0,290.0,611.0,93.0,10.0,48.0,81.0,30.0,25.0
354,1.0,0.0,2.0,3.0,0.0,4.0,1.0,11.0,5.0,1.0,0.0,0.0,7.0,1.0,5.0,3.0,3.0,5.0,14.0,5.0,2.0
358,74.0,5.0,39.0,12.0,85.0,13.0,5.0,26.0,17.0,26.0,26.0,1.0,79.0,53.0,71.0,8.0,113.0,10.0,45.0,39.0,14.0
359,61.0,5.0,7.0,53.0,63.0,9.0,7.0,21.0,3.0,10.0,70.0,7.0,57.0,64.0,160.0,6.0,2.0,8.0,5.0,15.0,10.0
36,1.0,1.0,0.0,2.0,5.0,0.0,19.0,2.0,0.0,0.0,4.0,0.0,2.0,15.0,4.0,0.0,2.0,0.0,3.0,0.0,1.0
364,1.0,20.0,0.0,4.0,1.0,46.0,371.0,15.0,0.0,1.0,0.0,10.0,4.0,1.0,4.0,6.0,22.0,15.0,10.0,3.0,28.0
375,274.0,0.0,138.0,338.0,267.0,529.0,10.0,421.0,110.0,165.0,879.0,0.0,345.0,344.0,573.0,343.0,13.0,72.0,612.0,163.0,190.0
383,5.0,0.0,26.0,1.0,3.0,93.0,125.0,56.0,23.0,25.0,5.0,4.0,52.0,6.0,3.0,116.0,6.0,28.0,122.0,65.0,51.0
385,0.0,2.0,0.0,5.0,2.0,2.0,6.0,4.0,4.0,2.0,7.0,1.0,3.0,3.0,7.0,0.0,2.0,0.0,8.0,2.0,1.0
392,1.0,2.0,40.0,11.0,1.0,685.0,18.0,695.0,185.0,330.0,4.0,2.0,86.0,1.0,15.0,303.0,132.0,127.0,518.0,411.0,152.0
397,0.0,0.0,3.0,2.0,0.0,2.0,0.0,9.0,4.0,3.0,0.0,0.0,9.0,1.0,2.0,4.0,0.0,5.0,4.0,6.0,0.0
399,64.0,27889.0,524.0,17.0,1.0,600.0,155.0,2134.0,492.0,732.0,67.0,22124.0,1703.0,21.0,8.0,1123.0,78.0,383.0,1111.0,1013.0,209.0
40,85.0,1.0,11.0,12.0,11.0,7.0,0.0,0.0,0.0,14.0,81.0,0.0,8.0,66.0,183.0,8.0,0.0,1.0,22.0,4.0,10.0
400,1300.0,6.0,615.0,1516.0,1487.0,334.0,30.0,486.0,199.0,330.0,1459.0,3.0,1693.0,1865.0,3461.0,194.0,75.0,104.0,636.0,481.0,124.0
406,6.0,129.0,261.0,6.0,0.0,489.0,755.0,2290.0,430.0,1102.0,9.0,0.0,413.0,1.0,3.0,473.0,585.0,535.0,1053.0,1059.0,212.0
408,1.0,0.0,0.0,0.0,0.0,23.0,3.0,14.0,4.0,8.0,1.0,0.0,2.0,0.0,0.0,26.0,0.0,1.0,8.0,45.0,6.0
409,86.0,4.0,53.0,76.0,116.0,565.0,16.0,453.0,364.0,163.0,120.0,37.0,205.0,176.0,128.0,127.0,64.0,34.0,1335.0,196.0,129.0
40_2,2.0,2.0,0.0,4.0,14.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,11.0,7.0,16.0,0.0,1.0,0.0,2.0,1.0,1.0
412,94.0,87.0,2.0,13.0,79.0,6.0,543.0,3.0,3.0,11.0,112.0,240.0,24.0,102.0,149.0,7.0,2115.0,6.0,47.0,13.0,5.0
418,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0
419,6.0,0.0,311.0,4.0,4.0,146.0,28.0,212.0,81.0,83.0,5.0,1.0,375.0,1.0,8.0,87.0,2.0,38.0,39.0,163.0,51.0
420,0.0,0.0,1.0,1.0,1.0,1.0,4.0,13.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,9.0,5.0,10.0,1.0,3.0
421,90.0,148.0,111.0,65.0,388.0,70.0,228.0,169.0,56.0,216.0,190.0,18.0,556.0,77.0,266.0,55.0,262.0,40.0,102.0,51.0,48.0
426,12.0,37.0,10.0,79.0,15.0,7.0,153.0,16.0,7.0,15.0,20.0,3.0,66.0,21.0,102.0,8.0,653.0,22.0,24.0,5.0,4.0
43,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,7.0,5.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,2.0
431,17.0,3.0,330.0,3.0,3.0,121.0,14.0,146.0,82.0,182.0,16.0,0.0,274.0,4.0,6.0,101.0,4.0,46.0,241.0,163.0,123.0
433,7.0,1.0,7.0,27.0,4.0,24.0,6.0,19.0,16.0,19.0,11.0,0.0,57.0,3.0,26.0,12.0,6.0,9.0,40.0,6.0,23.0
434,20.0,50.0,61.0,9.0,9.0,60.0,13.0,120.0,41.0,229.0,55.0,18.0,106.0,8.0,45.0,68.0,1.0,21.0,193.0,57.0,39.0
437,26.0,4.0,14.0,35.0,60.0,3.0,4.0,15.0,4.0,11.0,41.0,1.0,46.0,41.0,75.0,8.0,9.0,9.0,26.0,6.0,3.0
438,1.0,0.0,1.0,1.0,2.0,196.0,5.0,34.0,16.0,33.0,3.0,9.0,5.0,7.0,3.0,53.0,23.0,4.0,57.0,21.0,159.0
439,1.0,237.0,7.0,5.0,0.0,389.0,69.0,295.0,98.0,113.0,2.0,539.0,41.0,1.0,5.0,57.0,27.0,40.0,609.0,126.0,77.0
43_ref1,3.0,1.0,1.0,2.0,2.0,8.0,88.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,17.0,2.0,11.0,1.0,911.0
43_ref2,3.0,0.0,2.0,7.0,1.0,32.0,8.0,17.0,5.0,3.0,13.0,1.0,6.0,2.0,11.0,30.0,0.0,2.0,16.0,4.0,1345.0
442,12.0,1.0,16.0,50.0,22.0,8.0,6.0,14.0,6.0,13.0,38.0,0.0,46.0,14.0,103.0,7.0,5.0,6.0,33.0,6.0,2.0
444,0.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0
446,0.0,12.0,0.0,2.0,2.0,0.0,12.0,2.0,1.0,8.0,2.0,22.0,4.0,1.0,3.0,0.0,9.0,4.0,16.0,7.0,4.0
45,0.0,0.0,1.0,2.0,1.0,3.0,8.0,12.0,8.0,2.0,2.0,0.0,16.0,1.0,8.0,1.0,5.0,4.0,34.0,0.0,4.0
450,8.0,33.0,120.0,8.0,7.0,158.0,22.0,187.0,52.0,95.0,7.0,5.0,27.0,5.0,13.0,117.0,2.0,21.0,316.0,90.0,36.0
452,1.0,5.0,5.0,5.0,8.0,3.0,27.0,12.0,5.0,6.0,6.0,1.0,6.0,4.0,10.0,7.0,27.0,11.0,15.0,3.0,5.0
458,0.0,2.0,5.0,2.0,0.0,68.0,12.0,162.0,33.0,68.0,1.0,0.0,23.0,0.0,3.0,32.0,8.0,17.0,108.0,144.0,104.0
459,5.0,1.0,20.0,11.0,4.0,151.0,6.0,317.0,45.0,61.0,19.0,1.0,66.0,23.0,9.0,20.0,3.0,39.0,323.0,111.0,53.0
460,122.0,84.0,318.0,83.0,349.0,568.0,72.0,969.0,223.0,275.0,358.0,123.0,632.0,145.0,565.0,353.0,113.0,133.0,508.0,328.0,178.0
466,3.0,1.0,3.0,7.0,52.0,6.0,3.0,19.0,8.0,3.0,20.0,1.0,23.0,6.0,11.0,4.0,4.0,3.0,20.0,3.0,4.0
468,1555.0,10.0,637.0,1127.0,1780.0,633.0,479.0,939.0,179.0,581.0,2901.0,2.0,1566.0,1607.0,4184.0,686.0,415.0,200.0,610.0,741.0,322.0
470,19.0,269.0,16.0,17.0,9.0,13.0,445.0,28.0,16.0,11.0,61.0,1426.0,18.0,31.0,37.0,14.0,2292.0,15.0,31.0,6.0,11.0
473,5.0,7.0,52.0,10.0,2.0,178.0,21.0,233.0,33.0,58.0,1.0,1.0,111.0,2.0,10.0,77.0,267.0,23.0,205.0,149.0,137.0
475,65.0,859.0,3578.0,50.0,7.0,2827.0,4581.0,17537.0,3433.0,6148.0,96.0,718.0,9672.0,47.0,36.0,3777.0,3105.0,2770.0,6946.0,9436.0,1846.0
476,2.0,0.0,91.0,10.0,1.0,4201.0,343.0,4023.0,697.0,1582.0,12.0,32.0,362.0,4.0,8.0,923.0,57.0,720.0,4637.0,1062.0,1156.0
48,7.0,9.0,26.0,21.0,5.0,80.0,79.0,170.0,45.0,63.0,7.0,15.0,28.0,12.0,32.0,43.0,71.0,23.0,77.0,139.0,86.0
485,3.0,8.0,5.0,11.0,1.0,4.0,2.0,5.0,1.0,2.0,6.0,3.0,10.0,2.0,5.0,3.0,2.0,3.0,11.0,8.0,7.0
486,95.0,3.0,314.0,77.0,259.0,132.0,191.0,138.0,127.0,162.0,386.0,7.0,558.0,109.0,626.0,119.0,73.0,36.0,419.0,111.0,88.0
491,485.0,6.0,419.0,618.0,624.0,42.0,33.0,117.0,41.0,76.0,1051.0,60.0,575.0,406.0,1313.0,61.0,22.0,22.0,84.0,68.0,216.0
493,34.0,1.0,27.0,42.0,81.0,48.0,3.0,77.0,29.0,41.0,137.0,4.0,55.0,60.0,74.0,19.0,2.0,13.0,89.0,37.0,127.0
495,63.0,25.0,693.0,18.0,8.0,853.0,298.0,2656.0,546.0,922.0,129.0,0.0,1684.0,22.0,20.0,1017.0,522.0,506.0,1529.0,733.0,464.0
50,1.0,1.0,41.0,21.0,6.0,9.0,34.0,35.0,15.0,7.0,9.0,1.0,135.0,9.0,15.0,12.0,5.0,7.0,68.0,4.0,9.0
503,3.0,16.0,52.0,6.0,0.0,126.0,75.0,169.0,93.0,75.0,7.0,0.0,210.0,0.0,3.0,121.0,14.0,22.0,260.0,138.0,67.0
507,4.0,1.0,36.0,6.0,0.0,827.0,78.0,485.0,140.0,201.0,1.0,0.0,22.0,4.0,4.0,328.0,4.0,55.0,505.0,162.0,472.0
508,8.0,41.0,78.0,4.0,1.0,197.0,4.0,232.0,140.0,199.0,3.0,136.0,141.0,1.0,7.0,207.0,21.0,38.0,271.0,142.0,191.0
52,10.0,7.0,2.0,7.0,0.0,32.0,25.0,69.0,17.0,48.0,8.0,0.0,11.0,2.0,3.0,72.0,5.0,14.0,26.0,59.0,36.0
520,3.0,1.0,7.0,7.0,0.0,4.0,4.0,11.0,3.0,2.0,1.0,2.0,4.0,1.0,7.0,7.0,1.0,4.0,11.0,2.0,9.0
521,5.0,3.0,99.0,1.0,4.0,1015.0,10.0,1696.0,74.0,221.0,13.0,0.0,295.0,3.0,16.0,2305.0,21.0,345.0,748.0,99.0,124.0
522,8.0,43.0,26.0,20.0,5.0,154.0,55.0,710.0,61.0,127.0,20.0,50.0,119.0,7.0,38.0,88.0,21.0,117.0,161.0,142.0,105.0
523,3404.0,446.0,4237.0,1002.0,3511.0,2281.0,1155.0,6946.0,951.0,2185.0,4854.0,916.0,7153.0,1808.0,5251.0,1674.0,2529.0,930.0,3062.0,2800.0,662.0
524,575.0,23.0,429.0,78.0,549.0,278.0,95.0,238.0,145.0,340.0,770.0,118.0,944.0,270.0,997.0,285.0,15.0,75.0,329.0,168.0,148.0
525,2740.0,15.0,1434.0,2038.0,3155.0,574.0,316.0,1403.0,217.0,807.0,4438.0,8.0,4198.0,2697.0,4832.0,639.0,91.0,354.0,729.0,1012.0,197.0
531,2.0,0.0,6.0,15.0,3.0,4.0,5.0,6.0,2.0,8.0,10.0,2.0,8.0,6.0,30.0,3.0,5.0,5.0,12.0,3.0,2.0
532,2.0,0.0,4.0,9.0,5.0,4.0,7.0,8.0,10.0,9.0,7.0,4.0,16.0,4.0,16.0,5.0,2.0,5.0,12.0,2.0,4.0
535,360.0,117.0,150.0,563.0,368.0,1394.0,119.0,809.0,155.0,179.0,598.0,58.0,313.0,484.0,1066.0,348.0,21.0,107.0,1435.0,402.0,380.0
538,1221.0,8.0,967.0,1138.0,1903.0,357.0,303.0,991.0,300.0,311.0,2328.0,81.0,2751.0,2142.0,2849.0,170.0,372.0,225.0,726.0,407.0,137.0
539,179.0,169.0,387.0,90.0,956.0,178.0,22.0,795.0,100.0,256.0,647.0,169.0,1145.0,173.0,1254.0,72.0,20.0,134.0,349.0,282.0,102.0
540,3069.0,318.0,2213.0,2253.0,3999.0,936.0,2809.0,1932.0,756.0,1899.0,6280.0,268.0,5696.0,4807.0,7457.0,1491.0,2533.0,554.0,1457.0,1440.0,735.0
