strain_id,A_MTX_5-FC.MID2_WSC2,A_MTX_Fluconazole.MID2_WSC2,A_MTX_Metformin.MID2_WSC2,A_MTX_Trifluoperazine.MID2_WSC2,A_MTX_noDrug.MID2_WSC2,A_noMTX_5-FC.MID2_WSC2,A_noMTX_Fluconazole.MID2_WSC2,A_noMTX_Metformin.MID2_WSC2,A_noMTX_Trifluoperazine.MID2_WSC2,A_noMTX_noDrug.MID2_WSC2,B_MTX_5-FC.MID2_WSC2,B_MTX_Fluconazole.MID2_WSC2,B_MTX_Metformin.MID2_WSC2,B_MTX_Trifluoperazine.MID2_WSC2,B_MTX_noDrug.MID2_WSC2,B_noMTX_5-FC.MID2_WSC2,B_noMTX_Fluconazole.MID2_WSC2,B_noMTX_Metformin.MID2_WSC2,B_noMTX_Trifluoperazine.MID2_WSC2,B_noMTX_noDrug.MID2_WSC2,T0_noMTX_noDrug.MID2_WSC2
146,248.0,30.0,2689.0,384.0,313.0,1024.0,856.0,1637.0,817.0,758.0,420.0,22.0,1708.0,155.0,117.0,1106.0,1152.0,2733.0,3370.0,239.0,628.0
15,1.0,0.0,1.0,4.0,6.0,2.0,0.0,4.0,1.0,1.0,16.0,0.0,3.0,6.0,4.0,7.0,0.0,11.0,3.0,3.0,3.0
151,1.0,1.0,2.0,14.0,20.0,3.0,3.0,4.0,4.0,2.0,3.0,0.0,1.0,2.0,5.0,3.0,5.0,10.0,4.0,2.0,1.0
153,3.0,2.0,1.0,0.0,1.0,5.0,8.0,8.0,1.0,4.0,1.0,0.0,6.0,0.0,0.0,4.0,5.0,8.0,5.0,6.0,5.0
17,0.0,4.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,4.0
171,9.0,0.0,1.0,16.0,6.0,16.0,3.0,16.0,6.0,7.0,2.0,0.0,5.0,3.0,3.0,18.0,2.0,29.0,30.0,3.0,16.0
175,0.0,0.0,1.0,0.0,0.0,3.0,3.0,8.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,1.0,2.0,6.0
180,2.0,0.0,6.0,0.0,0.0,293.0,51.0,191.0,93.0,97.0,29.0,0.0,0.0,1.0,1.0,402.0,148.0,598.0,266.0,15.0,142.0
180_2,10.0,12.0,3.0,4.0,22.0,11.0,14.0,16.0,3.0,10.0,5.0,3.0,1.0,3.0,4.0,25.0,16.0,10.0,4.0,6.0,11.0
185,2.0,1.0,6.0,22.0,19.0,7.0,0.0,4.0,4.0,2.0,4.0,0.0,4.0,4.0,6.0,3.0,2.0,14.0,1.0,1.0,0.0
187,0.0,0.0,3.0,2.0,2.0,3.0,20.0,10.0,5.0,4.0,0.0,0.0,2.0,0.0,2.0,4.0,47.0,111.0,12.0,0.0,12.0
188,1.0,38.0,3.0,9.0,12.0,13.0,3.0,16.0,13.0,6.0,1.0,26.0,1.0,6.0,1.0,32.0,7.0,29.0,14.0,8.0,4.0
192,11.0,58.0,12.0,39.0,3451.0,154.0,128.0,97.0,18.0,34.0,36.0,25.0,5.0,4.0,58.0,96.0,21.0,50.0,125.0,15.0,23.0
20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,8.0,3.0,3.0,0.0
209,0.0,5.0,1.0,0.0,0.0,180.0,283.0,232.0,59.0,63.0,0.0,1.0,0.0,1.0,1.0,113.0,163.0,272.0,222.0,24.0,101.0
210,3.0,0.0,2.0,1.0,4.0,425.0,12.0,334.0,250.0,285.0,3.0,0.0,0.0,2.0,1.0,296.0,13.0,823.0,352.0,71.0,73.0
226,2.0,10.0,3.0,1.0,2.0,14.0,6.0,12.0,42.0,11.0,8.0,14.0,1.0,0.0,3.0,16.0,0.0,42.0,88.0,2.0,194.0
235,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0
240,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,7.0,0.0,1.0
248,1.0,0.0,1.0,3.0,0.0,4.0,2.0,10.0,2.0,1.0,1.0,0.0,2.0,4.0,0.0,4.0,3.0,30.0,9.0,1.0,7.0
250,2.0,3.0,0.0,2.0,1.0,24.0,4.0,101.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,27.0,2.0,89.0,44.0,1.0,103.0
252,2.0,5.0,1.0,6.0,2.0,3.0,7.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,0.0,5.0,15.0,14.0,6.0,2.0,3.0
253,3.0,0.0,0.0,13.0,1.0,8.0,8.0,6.0,10.0,1.0,3.0,0.0,2.0,2.0,6.0,19.0,15.0,29.0,16.0,1.0,6.0
254,1.0,1.0,2.0,1.0,0.0,8.0,12.0,13.0,3.0,10.0,1.0,0.0,0.0,0.0,1.0,11.0,18.0,17.0,13.0,5.0,9.0
257,3.0,1.0,6.0,4.0,5.0,5.0,8.0,7.0,9.0,4.0,2.0,2.0,7.0,6.0,1.0,7.0,10.0,30.0,3.0,3.0,9.0
258,12.0,24.0,7.0,7.0,0.0,20.0,11.0,21.0,10.0,8.0,18.0,19.0,13.0,10.0,9.0,50.0,8.0,52.0,98.0,7.0,14.0
27,1.0,0.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,0.0,1.0,3.0,2.0,4.0,9.0,16.0,2.0,0.0,3.0
270,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,1.0,0.0,0.0
271,0.0,0.0,1.0,0.0,0.0,9.0,10.0,3.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,13.0,8.0,15.0,6.0,3.0,8.0
272,5.0,0.0,2.0,5.0,1.0,169.0,3.0,340.0,145.0,210.0,2.0,0.0,3.0,0.0,0.0,78.0,4.0,729.0,376.0,65.0,167.0
277,0.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,8.0,5.0,1.0,1.0,1.0
286,1.0,2.0,7.0,11.0,0.0,0.0,3.0,9.0,4.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0
289,0.0,3.0,1.0,3.0,1.0,19.0,99.0,20.0,23.0,12.0,0.0,2.0,1.0,1.0,0.0,30.0,68.0,28.0,76.0,7.0,29.0
29,56.0,22.0,46.0,9.0,89.0,361.0,14.0,370.0,157.0,110.0,122.0,3.0,32.0,18.0,250.0,317.0,3.0,378.0,583.0,26.0,129.0
291,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,2.0,0.0,1.0
294,2.0,2.0,2.0,0.0,2.0,5.0,9.0,9.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,7.0,18.0,16.0,8.0,4.0,5.0
296,0.0,0.0,0.0,0.0,0.0,6.0,26.0,12.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,11.0,25.0,19.0,7.0,4.0,5.0
299,0.0,0.0,7.0,0.0,0.0,10.0,2.0,17.0,12.0,13.0,1.0,1.0,2.0,1.0,1.0,38.0,1.0,8.0,11.0,5.0,5.0
307,8.0,5.0,1.0,4.0,1.0,6.0,13.0,3.0,5.0,4.0,27.0,2.0,1.0,2.0,0.0,20.0,11.0,8.0,3.0,0.0,3.0
308,18.0,0.0,1.0,3.0,8.0,3.0,13.0,1.0,1.0,2.0,15.0,0.0,2.0,1.0,1.0,9.0,6.0,9.0,8.0,0.0,2.0
31,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
311,1.0,0.0,1.0,2.0,3.0,3.0,2.0,14.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,4.0,23.0,7.0,1.0,3.0
312,8.0,32.0,6.0,7.0,3.0,5.0,2.0,7.0,3.0,1.0,10.0,9.0,6.0,3.0,2.0,9.0,5.0,15.0,3.0,1.0,0.0
32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0
320,193.0,4.0,2280.0,164.0,698.0,105.0,19.0,836.0,126.0,387.0,378.0,1.0,1789.0,92.0,50.0,162.0,8.0,1347.0,700.0,113.0,54.0
323,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
325,1.0,3.0,9.0,0.0,0.0,174.0,94.0,294.0,136.0,121.0,4.0,0.0,0.0,0.0,0.0,313.0,121.0,997.0,417.0,38.0,174.0
33,0.0,0.0,0.0,1.0,0.0,5.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,0.0,4.0
335,66.0,1.0,1814.0,600.0,205.0,127.0,17.0,345.0,185.0,191.0,231.0,0.0,699.0,231.0,64.0,97.0,20.0,1395.0,526.0,55.0,155.0
336,2.0,1.0,0.0,5.0,4.0,1.0,0.0,0.0,2.0,1.0,5.0,0.0,1.0,1.0,8.0,5.0,2.0,5.0,0.0,0.0,4.0
337,5.0,1.0,4.0,0.0,0.0,76.0,1124.0,114.0,41.0,46.0,1.0,0.0,3.0,1.0,1.0,204.0,855.0,211.0,187.0,20.0,60.0
339,27.0,3.0,60.0,47.0,100.0,81.0,7.0,73.0,21.0,22.0,521.0,0.0,56.0,7.0,28.0,68.0,15.0,90.0,62.0,13.0,15.0
347,6.0,0.0,3.0,2.0,1.0,3.0,3.0,4.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,2.0,10.0,5.0,0.0,0.0
348,3.0,0.0,0.0,8.0,8.0,1.0,8.0,4.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,5.0,4.0,2.0,2.0,0.0
350,19.0,7.0,15.0,17.0,10.0,1.0,12.0,5.0,1.0,1.0,15.0,1.0,9.0,11.0,4.0,4.0,7.0,10.0,0.0,0.0,3.0
354,1.0,2.0,4.0,3.0,2.0,238.0,1.0,200.0,72.0,32.0,1.0,0.0,2.0,5.0,0.0,330.0,7.0,387.0,470.0,16.0,61.0
358,0.0,1.0,0.0,9.0,17.0,2.0,2.0,2.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,3.0,8.0,3.0,1.0,1.0
359,3.0,2.0,2.0,3.0,6.0,3.0,15.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,9.0,3.0,1.0,0.0,2.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
364,0.0,0.0,3.0,4.0,2.0,236.0,25.0,211.0,102.0,117.0,0.0,3.0,0.0,2.0,2.0,154.0,520.0,395.0,524.0,25.0,105.0
375,12.0,2.0,5.0,15.0,0.0,5.0,3.0,4.0,3.0,6.0,6.0,1.0,8.0,16.0,8.0,5.0,3.0,15.0,5.0,4.0,4.0
383,3.0,1.0,2.0,2.0,4.0,6.0,6.0,5.0,11.0,7.0,4.0,1.0,1.0,2.0,1.0,33.0,4.0,14.0,12.0,0.0,5.0
385,6.0,3.0,1.0,11.0,28.0,1.0,7.0,1.0,4.0,0.0,11.0,5.0,0.0,3.0,1.0,4.0,7.0,9.0,7.0,0.0,0.0
392,4.0,10.0,2.0,11.0,37.0,65.0,10.0,304.0,87.0,110.0,5.0,3.0,0.0,3.0,1.0,40.0,1.0,492.0,438.0,63.0,110.0
397,1.0,2.0,2.0,0.0,0.0,179.0,108.0,119.0,45.0,67.0,1.0,0.0,0.0,1.0,0.0,173.0,5.0,122.0,156.0,20.0,39.0
399,1.0,43.0,3.0,1.0,0.0,20.0,51.0,11.0,12.0,6.0,11.0,8.0,3.0,0.0,0.0,33.0,49.0,50.0,25.0,12.0,14.0
40,3.0,7.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0
400,10.0,0.0,11.0,27.0,11.0,8.0,34.0,9.0,4.0,13.0,32.0,0.0,9.0,32.0,11.0,13.0,5.0,20.0,9.0,2.0,6.0
406,1.0,0.0,1.0,0.0,0.0,97.0,1710.0,505.0,246.0,485.0,1.0,1.0,2.0,1.0,0.0,77.0,3071.0,1226.0,608.0,174.0,111.0
408,0.0,0.0,0.0,0.0,0.0,23.0,6.0,14.0,28.0,15.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,62.0,183.0,6.0,83.0
409,13294.0,89.0,1029.0,1519.0,8034.0,2655.0,2153.0,1130.0,1225.0,756.0,23718.0,6.0,820.0,955.0,1519.0,3528.0,682.0,1619.0,4619.0,364.0,615.0
40_2,0.0,0.0,2.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
412,10.0,0.0,11.0,0.0,0.0,2.0,25.0,4.0,7.0,1.0,8.0,0.0,9.0,1.0,5.0,21.0,27.0,15.0,9.0,1.0,3.0
418,9.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,10.0,1.0,0.0,1.0,1.0,9.0,10.0,2.0,3.0,0.0,0.0
419,1.0,4.0,2.0,4.0,8.0,4.0,3.0,7.0,3.0,4.0,2.0,3.0,0.0,0.0,1.0,8.0,23.0,12.0,4.0,3.0,2.0
420,0.0,1.0,0.0,1.0,0.0,5.0,6.0,11.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,5.0,9.0,5.0,2.0
421,74.0,4.0,26.0,77.0,51.0,512.0,108.0,198.0,182.0,112.0,117.0,4.0,143.0,126.0,53.0,543.0,518.0,796.0,665.0,27.0,105.0
426,1.0,2.0,10.0,14.0,5.0,1.0,2.0,4.0,5.0,1.0,2.0,0.0,3.0,1.0,3.0,7.0,5.0,16.0,5.0,1.0,0.0
43,0.0,0.0,0.0,0.0,0.0,19.0,7.0,15.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,134.0,22.0,1.0,20.0
431,0.0,0.0,2.0,2.0,0.0,6.0,2.0,15.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,19.0,3.0,2.0,4.0
433,3.0,0.0,6.0,5.0,2.0,4.0,1.0,3.0,5.0,1.0,6.0,0.0,5.0,4.0,1.0,9.0,3.0,8.0,2.0,3.0,18.0
434,10.0,0.0,8.0,4.0,2.0,28.0,6.0,10.0,5.0,12.0,58.0,1.0,9.0,1.0,5.0,25.0,6.0,92.0,39.0,8.0,22.0
437,27.0,1.0,12.0,47.0,36.0,8.0,13.0,7.0,10.0,3.0,28.0,0.0,4.0,15.0,2.0,22.0,8.0,21.0,6.0,4.0,6.0
438,3.0,1.0,5.0,5.0,2.0,328.0,5486.0,187.0,92.0,59.0,7.0,0.0,2.0,0.0,0.0,370.0,8006.0,392.0,299.0,9.0,633.0
439,3.0,1.0,0.0,2.0,6.0,538.0,1145.0,605.0,293.0,286.0,2.0,3.0,3.0,3.0,0.0,508.0,2262.0,939.0,1830.0,68.0,234.0
43_ref1,0.0,1.0,4.0,1.0,0.0,0.0,356.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,1.0,1.0,656.0,6.0,1.0,0.0,592.0
43_ref2,3.0,8.0,2.0,6.0,4.0,14.0,4.0,7.0,38.0,41.0,4.0,0.0,2.0,2.0,2.0,3.0,99.0,44.0,64.0,29.0,737.0
442,4.0,3.0,12.0,50.0,45.0,28.0,4.0,71.0,55.0,20.0,9.0,0.0,4.0,12.0,10.0,78.0,19.0,228.0,54.0,10.0,43.0
444,0.0,0.0,2.0,3.0,2.0,0.0,3.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,9.0,2.0,0.0,0.0
446,0.0,0.0,1.0,0.0,0.0,4.0,11.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,5.0,1.0,2.0
45,1.0,2.0,1.0,3.0,8.0,4.0,4.0,7.0,13.0,6.0,0.0,0.0,0.0,3.0,0.0,6.0,9.0,24.0,9.0,1.0,5.0
450,0.0,3.0,4.0,5.0,0.0,4.0,11.0,17.0,4.0,6.0,0.0,0.0,0.0,3.0,0.0,6.0,9.0,6.0,5.0,3.0,3.0
452,0.0,1.0,4.0,2.0,1.0,8.0,5.0,13.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,25.0,6.0,1.0,0.0
458,0.0,0.0,2.0,3.0,2.0,259.0,72.0,523.0,148.0,155.0,13.0,0.0,3.0,2.0,1.0,369.0,173.0,798.0,596.0,50.0,360.0
459,12.0,7.0,10.0,1.0,1.0,14.0,9.0,7.0,13.0,8.0,15.0,0.0,4.0,10.0,6.0,17.0,31.0,34.0,11.0,1.0,9.0
460,25.0,270.0,47.0,48.0,13.0,33.0,46.0,30.0,19.0,16.0,20.0,45.0,26.0,24.0,22.0,57.0,45.0,78.0,21.0,16.0,31.0
466,25.0,0.0,3.0,4.0,23.0,11.0,13.0,10.0,19.0,2.0,24.0,0.0,3.0,0.0,1.0,39.0,38.0,23.0,19.0,2.0,5.0
468,234.0,11.0,949.0,1956.0,3900.0,221.0,46.0,443.0,145.0,171.0,492.0,19.0,800.0,675.0,133.0,187.0,255.0,642.0,410.0,97.0,184.0
470,2457.0,2074.0,1617.0,414.0,11924.0,1295.0,1114.0,943.0,352.0,634.0,7826.0,138.0,1290.0,488.0,632.0,1062.0,2285.0,1144.0,1197.0,175.0,291.0
473,2.0,2.0,5.0,4.0,2.0,428.0,198.0,482.0,137.0,190.0,3.0,1.0,1.0,0.0,0.0,371.0,117.0,533.0,523.0,72.0,181.0
475,8.0,159.0,53.0,19.0,8.0,285.0,1125.0,2473.0,476.0,891.0,6.0,179.0,74.0,10.0,6.0,215.0,331.0,4330.0,1811.0,413.0,473.0
476,3.0,8.0,5.0,12.0,3.0,9037.0,5025.0,17566.0,7262.0,4614.0,2.0,0.0,9.0,5.0,6.0,8237.0,6574.0,43736.0,22419.0,1339.0,8606.0
48,0.0,24.0,3.0,13.0,8.0,161.0,417.0,413.0,83.0,131.0,9.0,47.0,15.0,2.0,0.0,72.0,432.0,281.0,372.0,37.0,177.0
485,3.0,9.0,3.0,1.0,0.0,4.0,4.0,3.0,2.0,2.0,24.0,2.0,1.0,2.0,1.0,3.0,0.0,3.0,4.0,0.0,2.0
486,30.0,14.0,1663.0,304.0,87.0,106.0,18.0,787.0,128.0,228.0,17.0,19.0,1050.0,14.0,54.0,58.0,41.0,1066.0,204.0,53.0,142.0
491,13.0,11.0,36.0,24.0,22.0,7.0,5.0,45.0,23.0,15.0,13.0,14.0,80.0,28.0,11.0,20.0,5.0,82.0,31.0,10.0,12.0
493,4.0,0.0,2.0,7.0,2.0,6.0,3.0,5.0,9.0,1.0,8.0,0.0,5.0,2.0,1.0,5.0,2.0,14.0,7.0,2.0,9.0
495,1.0,0.0,4.0,0.0,2.0,33.0,16.0,38.0,38.0,12.0,1.0,0.0,10.0,2.0,1.0,49.0,21.0,113.0,65.0,21.0,18.0
50,8.0,15.0,8.0,38.0,51.0,3.0,7.0,6.0,7.0,1.0,7.0,7.0,8.0,5.0,4.0,10.0,3.0,12.0,13.0,3.0,5.0
503,0.0,7.0,1.0,0.0,0.0,393.0,135.0,266.0,175.0,108.0,2.0,2.0,0.0,1.0,0.0,521.0,64.0,678.0,804.0,46.0,150.0
507,4.0,0.0,1.0,1.0,0.0,437.0,1213.0,176.0,197.0,86.0,0.0,0.0,3.0,0.0,0.0,518.0,1380.0,708.0,656.0,23.0,122.0
508,2.0,16.0,13.0,4.0,0.0,85.0,108.0,410.0,244.0,322.0,4.0,9.0,7.0,3.0,1.0,45.0,68.0,761.0,748.0,99.0,263.0
52,0.0,4.0,1.0,3.0,1.0,3.0,6.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,5.0,0.0,7.0,1.0,2.0,4.0
520,1.0,10.0,2.0,2.0,4.0,8.0,1.0,11.0,11.0,5.0,4.0,4.0,1.0,1.0,0.0,10.0,0.0,19.0,20.0,4.0,3.0
521,1.0,0.0,1.0,1.0,2.0,12.0,12.0,52.0,36.0,8.0,0.0,0.0,0.0,1.0,0.0,12.0,8.0,159.0,31.0,5.0,14.0
522,9.0,5.0,5.0,5.0,4.0,19.0,13.0,29.0,23.0,7.0,27.0,6.0,26.0,2.0,4.0,25.0,8.0,128.0,24.0,10.0,12.0
523,321.0,33.0,120.0,76.0,42.0,36.0,47.0,85.0,57.0,28.0,197.0,16.0,242.0,76.0,55.0,76.0,32.0,249.0,51.0,37.0,34.0
524,485.0,84.0,280.0,155.0,763.0,215.0,77.0,333.0,429.0,105.0,771.0,5.0,161.0,975.0,69.0,575.0,356.0,1898.0,650.0,28.0,260.0
525,24.0,6.0,21.0,30.0,23.0,10.0,14.0,19.0,11.0,10.0,139.0,2.0,22.0,22.0,23.0,24.0,10.0,60.0,17.0,20.0,4.0
531,4.0,17.0,6.0,2.0,0.0,1.0,4.0,2.0,2.0,1.0,12.0,9.0,4.0,2.0,0.0,6.0,1.0,10.0,2.0,0.0,1.0
532,4.0,9.0,1.0,4.0,1.0,1.0,4.0,6.0,6.0,2.0,6.0,4.0,3.0,3.0,1.0,4.0,0.0,14.0,5.0,1.0,4.0
535,3485.0,19832.0,1078.0,2015.0,4483.0,1956.0,102.0,1679.0,439.0,720.0,8031.0,1216.0,956.0,831.0,2170.0,2115.0,2572.0,2292.0,2861.0,236.0,623.0
538,128.0,14.0,31.0,83.0,65.0,10.0,35.0,45.0,28.0,24.0,126.0,46.0,336.0,130.0,124.0,36.0,16.0,159.0,38.0,28.0,15.0
539,68.0,85.0,74.0,48.0,33.0,528.0,418.0,375.0,173.0,256.0,41.0,27.0,109.0,36.0,36.0,660.0,313.0,1228.0,466.0,86.0,100.0
540,829.0,698.0,2067.0,7397.0,16975.0,226.0,427.0,739.0,419.0,301.0,1791.0,45.0,1360.0,3168.0,3264.0,475.0,501.0,1750.0,1006.0,135.0,588.0
541,2.0,2.0,2.0,3.0,2.0,6.0,4.0,4.0,5.0,5.0,11.0,0.0,3.0,6.0,4.0,26.0,7.0,29.0,6.0,5.0,4.0
