strain_id,A_MTX_5-FC.HNM1_ERG11,A_MTX_Fluconazole.HNM1_ERG11,A_MTX_Metformin.HNM1_ERG11,A_MTX_Trifluoperazine.HNM1_ERG11,A_MTX_noDrug.HNM1_ERG11,A_noMTX_5-FC.HNM1_ERG11,A_noMTX_Fluconazole.HNM1_ERG11,A_noMTX_Metformin.HNM1_ERG11,A_noMTX_Trifluoperazine.HNM1_ERG11,A_noMTX_noDrug.HNM1_ERG11,B_MTX_5-FC.HNM1_ERG11,B_MTX_Fluconazole.HNM1_ERG11,B_MTX_Metformin.HNM1_ERG11,B_MTX_Trifluoperazine.HNM1_ERG11,B_MTX_noDrug.HNM1_ERG11,B_noMTX_5-FC.HNM1_ERG11,B_noMTX_Fluconazole.HNM1_ERG11,B_noMTX_Metformin.HNM1_ERG11,B_noMTX_Trifluoperazine.HNM1_ERG11,B_noMTX_noDrug.HNM1_ERG11,T0_noMTX_noDrug.HNM1_ERG11
146,1377.0,65.0,1626.0,780.0,1616.0,1634.0,4504.0,1681.0,336.0,482.0,4961.0,13.0,1911.0,2082.0,2650.0,1133.0,168.0,722.0,2498.0,153.0,1187.0
15,28.0,9.0,44.0,18.0,34.0,50.0,93.0,39.0,20.0,18.0,65.0,0.0,7.0,26.0,39.0,37.0,5.0,20.0,64.0,6.0,14.0
151,0.0,1.0,0.0,4.0,2.0,33.0,8.0,17.0,7.0,3.0,4.0,0.0,2.0,4.0,4.0,18.0,4.0,4.0,29.0,2.0,44.0
153,0.0,0.0,6.0,0.0,1.0,76.0,48.0,69.0,10.0,34.0,0.0,0.0,10.0,0.0,0.0,62.0,13.0,37.0,79.0,13.0,30.0
17,3.0,3.0,1.0,4.0,2.0,2.0,6.0,1.0,0.0,1.0,2.0,6.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
171,50.0,13.0,8.0,37.0,50.0,52.0,40.0,42.0,9.0,23.0,131.0,9.0,18.0,120.0,83.0,33.0,26.0,7.0,99.0,5.0,55.0
175,0.0,0.0,1.0,1.0,0.0,2.0,3.0,11.0,2.0,5.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,8.0,21.0,6.0,10.0
180,4.0,56.0,12.0,0.0,8.0,79.0,38.0,21.0,9.0,32.0,4.0,0.0,6.0,0.0,2.0,67.0,5.0,14.0,122.0,11.0,37.0
180_2,1.0,11.0,14.0,2.0,1.0,102.0,42.0,166.0,40.0,149.0,5.0,4.0,22.0,11.0,2.0,102.0,12.0,25.0,145.0,15.0,48.0
185,11.0,17.0,13.0,23.0,24.0,9.0,5.0,3.0,3.0,0.0,65.0,1.0,12.0,44.0,36.0,5.0,3.0,10.0,28.0,4.0,1.0
187,1.0,0.0,12.0,0.0,1.0,48.0,16.0,25.0,3.0,4.0,5.0,3.0,12.0,3.0,2.0,35.0,15.0,12.0,142.0,8.0,60.0
188,1.0,14.0,33.0,3.0,2.0,98.0,9.0,221.0,31.0,38.0,6.0,25.0,23.0,1.0,1.0,61.0,1.0,62.0,109.0,16.0,26.0
192,6.0,22.0,4.0,8.0,14.0,50.0,47.0,40.0,24.0,49.0,15.0,15.0,5.0,11.0,4.0,21.0,3.0,12.0,79.0,6.0,20.0
20,0.0,0.0,2.0,1.0,0.0,17.0,8.0,12.0,1.0,3.0,2.0,0.0,0.0,4.0,1.0,23.0,1.0,3.0,26.0,2.0,12.0
209,1.0,0.0,3.0,3.0,4.0,45.0,51.0,46.0,24.0,35.0,3.0,1.0,5.0,2.0,5.0,35.0,7.0,13.0,59.0,4.0,45.0
210,0.0,1.0,4.0,5.0,12.0,33.0,4.0,14.0,25.0,19.0,4.0,0.0,2.0,4.0,6.0,9.0,1.0,10.0,4.0,4.0,5.0
226,113.0,11.0,270.0,129.0,112.0,98.0,70.0,58.0,25.0,19.0,432.0,18.0,111.0,289.0,289.0,85.0,12.0,24.0,426.0,17.0,395.0
235,0.0,4.0,0.0,0.0,1.0,5.0,4.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,4.0
240,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
248,2.0,0.0,4.0,12.0,3.0,8.0,2.0,4.0,5.0,2.0,16.0,0.0,17.0,1.0,1.0,4.0,6.0,9.0,16.0,3.0,7.0
250,4.0,1.0,0.0,2.0,0.0,0.0,3.0,6.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,4.0
252,1.0,2.0,0.0,0.0,3.0,1.0,24.0,0.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,6.0,2.0,4.0
253,2.0,3.0,10.0,11.0,3.0,25.0,549.0,51.0,52.0,17.0,22.0,1.0,20.0,7.0,0.0,37.0,18.0,72.0,51.0,43.0,12.0
254,1.0,2.0,40.0,1.0,0.0,136.0,605.0,209.0,66.0,56.0,2.0,4.0,26.0,2.0,3.0,41.0,7.0,59.0,165.0,28.0,121.0
257,4.0,0.0,5.0,2.0,10.0,36.0,315.0,30.0,22.0,16.0,2.0,1.0,2.0,3.0,0.0,36.0,67.0,35.0,111.0,15.0,77.0
258,99.0,5.0,124.0,27.0,118.0,204.0,122.0,173.0,45.0,36.0,269.0,0.0,107.0,155.0,122.0,164.0,12.0,55.0,146.0,32.0,89.0
27,14.0,1.0,5.0,25.0,20.0,15.0,4.0,44.0,0.0,5.0,43.0,0.0,18.0,29.0,9.0,10.0,0.0,23.0,34.0,1.0,10.0
270,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,9.0,1.0,1.0,1.0
271,3.0,1.0,4.0,0.0,1.0,145.0,977.0,188.0,23.0,83.0,2.0,0.0,5.0,0.0,0.0,87.0,19.0,75.0,166.0,13.0,63.0
272,2.0,0.0,1.0,2.0,0.0,38.0,0.0,57.0,7.0,6.0,3.0,0.0,0.0,1.0,1.0,20.0,0.0,33.0,14.0,6.0,25.0
277,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
286,4.0,0.0,2.0,5.0,5.0,13.0,5.0,7.0,5.0,7.0,2.0,0.0,3.0,6.0,35.0,7.0,0.0,8.0,19.0,4.0,9.0
289,2.0,0.0,8.0,2.0,1.0,258.0,613.0,247.0,69.0,107.0,3.0,81.0,7.0,0.0,0.0,174.0,288.0,142.0,374.0,29.0,265.0
29,1.0,2.0,2.0,3.0,3.0,25.0,3.0,13.0,5.0,38.0,0.0,0.0,1.0,2.0,2.0,20.0,38.0,10.0,142.0,5.0,12.0
291,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0
294,1.0,5.0,19.0,1.0,1.0,201.0,7166.0,191.0,69.0,73.0,2.0,3.0,30.0,2.0,0.0,150.0,139.0,82.0,302.0,14.0,66.0
296,2.0,4.0,12.0,0.0,0.0,152.0,193.0,148.0,49.0,51.0,0.0,5.0,19.0,0.0,0.0,75.0,53.0,130.0,201.0,24.0,44.0
299,0.0,0.0,2.0,0.0,1.0,82.0,16.0,143.0,21.0,16.0,2.0,0.0,3.0,0.0,0.0,22.0,1.0,60.0,43.0,13.0,12.0
307,13.0,0.0,0.0,3.0,1.0,3.0,6.0,6.0,4.0,3.0,8.0,0.0,1.0,1.0,1.0,10.0,4.0,4.0,18.0,3.0,4.0
308,11.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,7.0,1.0,4.0
31,51.0,2.0,4.0,10.0,8.0,9.0,6.0,8.0,3.0,2.0,27.0,0.0,9.0,36.0,9.0,5.0,3.0,2.0,19.0,4.0,6.0
311,3.0,0.0,1.0,0.0,0.0,5.0,5.0,6.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,3.0,4.0,4.0,8.0,2.0,0.0
312,8.0,8.0,79.0,5.0,23.0,57.0,384.0,69.0,23.0,57.0,85.0,3.0,19.0,24.0,63.0,20.0,3.0,26.0,80.0,17.0,19.0
32,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
320,543.0,80.0,1353.0,129.0,345.0,869.0,467.0,1007.0,326.0,316.0,1206.0,14.0,1031.0,490.0,707.0,751.0,63.0,279.0,1269.0,89.0,191.0
323,24.0,6.0,5.0,6.0,6.0,20.0,21.0,5.0,3.0,8.0,79.0,3.0,11.0,32.0,0.0,13.0,2.0,5.0,46.0,2.0,12.0
325,0.0,1.0,11.0,0.0,2.0,142.0,32.0,93.0,12.0,46.0,3.0,7.0,6.0,0.0,0.0,74.0,166.0,75.0,120.0,17.0,52.0
33,0.0,0.0,0.0,0.0,0.0,44.0,680.0,87.0,23.0,22.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,36.0,81.0,4.0,112.0
335,1.0,0.0,9.0,22.0,13.0,23.0,3.0,8.0,7.0,9.0,53.0,1.0,4.0,33.0,14.0,26.0,2.0,5.0,50.0,3.0,15.0
336,57.0,0.0,62.0,19.0,57.0,37.0,6.0,44.0,11.0,11.0,79.0,3.0,66.0,83.0,60.0,34.0,1.0,21.0,50.0,4.0,73.0
337,1.0,8.0,12.0,0.0,0.0,485.0,1334.0,619.0,95.0,116.0,26.0,0.0,23.0,0.0,0.0,306.0,32.0,313.0,451.0,51.0,114.0
339,47.0,6.0,191.0,25.0,37.0,54.0,36.0,84.0,34.0,43.0,127.0,3.0,53.0,39.0,79.0,37.0,2.0,32.0,78.0,13.0,17.0
347,5.0,1.0,4.0,1.0,1.0,6.0,2.0,32.0,3.0,5.0,5.0,0.0,1.0,1.0,0.0,13.0,2.0,14.0,10.0,7.0,11.0
348,32.0,7.0,16.0,10.0,27.0,29.0,125.0,40.0,13.0,18.0,207.0,3.0,14.0,63.0,53.0,20.0,53.0,27.0,77.0,5.0,55.0
350,94.0,13.0,36.0,99.0,105.0,63.0,5.0,34.0,17.0,11.0,351.0,3.0,55.0,217.0,101.0,47.0,1.0,11.0,64.0,11.0,26.0
354,3.0,0.0,1.0,0.0,2.0,4.0,3.0,17.0,8.0,2.0,2.0,0.0,5.0,2.0,0.0,3.0,5.0,15.0,19.0,4.0,5.0
358,5.0,0.0,4.0,2.0,3.0,17.0,8.0,10.0,4.0,5.0,15.0,0.0,3.0,3.0,7.0,3.0,1.0,3.0,11.0,5.0,9.0
359,18.0,2.0,77.0,22.0,162.0,11.0,24.0,9.0,4.0,2.0,92.0,3.0,14.0,128.0,85.0,3.0,0.0,7.0,6.0,1.0,8.0
36,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
364,8.0,27.0,0.0,12.0,15.0,19.0,17.0,1.0,2.0,9.0,28.0,44.0,5.0,2.0,17.0,9.0,6.0,1.0,4.0,2.0,5.0
375,76.0,2.0,98.0,24.0,77.0,58.0,30.0,93.0,12.0,20.0,672.0,0.0,117.0,137.0,174.0,53.0,2.0,76.0,82.0,16.0,53.0
383,10.0,5.0,23.0,1.0,0.0,133.0,14.0,239.0,34.0,62.0,5.0,1.0,16.0,4.0,0.0,100.0,3.0,44.0,82.0,4.0,43.0
385,6.0,7.0,1.0,3.0,2.0,3.0,5.0,1.0,0.0,0.0,3.0,3.0,0.0,7.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0
392,6.0,4.0,8.0,5.0,5.0,175.0,83.0,419.0,58.0,99.0,11.0,5.0,13.0,3.0,3.0,142.0,10.0,167.0,421.0,44.0,107.0
397,1.0,1.0,4.0,0.0,1.0,3.0,8.0,3.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,5.0,26.0,1.0,5.0
399,3.0,149.0,109.0,1.0,0.0,371.0,710.0,364.0,82.0,74.0,1.0,105.0,118.0,2.0,0.0,364.0,183.0,196.0,317.0,64.0,130.0
40,11.0,8.0,6.0,6.0,14.0,6.0,0.0,1.0,0.0,1.0,26.0,0.0,6.0,11.0,16.0,4.0,0.0,3.0,0.0,1.0,5.0
400,649.0,1.0,257.0,336.0,312.0,192.0,3.0,106.0,32.0,21.0,1475.0,0.0,179.0,753.0,524.0,107.0,0.0,38.0,198.0,17.0,68.0
406,0.0,0.0,11.0,0.0,0.0,215.0,111.0,848.0,125.0,136.0,0.0,5.0,16.0,0.0,0.0,153.0,50.0,335.0,426.0,76.0,108.0
408,0.0,0.0,0.0,0.0,0.0,15.0,7.0,41.0,10.0,6.0,0.0,0.0,1.0,0.0,0.0,17.0,3.0,7.0,19.0,6.0,6.0
409,1068.0,24.0,93.0,309.0,406.0,551.0,106.0,97.0,152.0,159.0,1740.0,4.0,128.0,850.0,819.0,357.0,20.0,36.0,631.0,33.0,96.0
40_2,0.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
412,63.0,0.0,7.0,5.0,16.0,51.0,27.0,21.0,14.0,21.0,129.0,0.0,24.0,29.0,17.0,33.0,3.0,9.0,59.0,6.0,11.0
418,3.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0
419,3.0,0.0,15.0,1.0,6.0,157.0,9.0,101.0,27.0,32.0,5.0,0.0,10.0,0.0,2.0,45.0,2.0,60.0,126.0,20.0,14.0
420,1.0,0.0,1.0,1.0,0.0,27.0,10.0,10.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,12.0,69.0,5.0,10.0
421,47.0,128.0,124.0,28.0,67.0,57.0,24.0,43.0,22.0,18.0,113.0,4.0,53.0,108.0,87.0,84.0,6.0,16.0,173.0,6.0,24.0
426,7.0,24.0,5.0,9.0,17.0,16.0,26.0,5.0,4.0,2.0,13.0,1.0,9.0,10.0,12.0,4.0,32.0,19.0,36.0,3.0,6.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0
431,1.0,0.0,7.0,1.0,0.0,87.0,18.0,46.0,3.0,6.0,0.0,0.0,9.0,0.0,0.0,45.0,159.0,37.0,46.0,12.0,23.0
433,2.0,3.0,10.0,6.0,6.0,34.0,31.0,36.0,13.0,17.0,8.0,0.0,14.0,2.0,3.0,53.0,13.0,16.0,138.0,4.0,99.0
434,29.0,3.0,85.0,6.0,46.0,89.0,359.0,28.0,29.0,28.0,65.0,2.0,33.0,51.0,25.0,26.0,39.0,30.0,142.0,23.0,37.0
437,64.0,18.0,7.0,21.0,15.0,8.0,10.0,8.0,5.0,2.0,35.0,1.0,9.0,32.0,20.0,8.0,8.0,6.0,24.0,1.0,5.0
438,4.0,45.0,3.0,1.0,1.0,102.0,452.0,34.0,5.0,19.0,3.0,157.0,1.0,3.0,0.0,98.0,12.0,11.0,136.0,3.0,154.0
439,5.0,373.0,0.0,1.0,3.0,29.0,174.0,35.0,23.0,12.0,5.0,5.0,4.0,1.0,0.0,19.0,12.0,14.0,117.0,4.0,10.0
43_ref1,0.0,1.0,1.0,3.0,1.0,8.0,18682.0,3.0,9.0,5.0,7.0,2.0,0.0,4.0,1.0,8.0,1802.0,382.0,66.0,1.0,379.0
43_ref2,4.0,1.0,0.0,3.0,5.0,28.0,623.0,90.0,60.0,23.0,12.0,6.0,3.0,2.0,2.0,19.0,35.0,38.0,116.0,16.0,593.0
442,27.0,11.0,6.0,16.0,33.0,12.0,18.0,6.0,11.0,1.0,50.0,1.0,14.0,21.0,32.0,6.0,14.0,6.0,9.0,3.0,4.0
444,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0
446,0.0,5.0,7.0,0.0,5.0,31.0,44.0,29.0,4.0,48.0,0.0,4.0,15.0,2.0,0.0,49.0,6.0,7.0,126.0,4.0,25.0
45,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,11.0,3.0,5.0
450,1.0,10.0,3.0,1.0,2.0,32.0,798.0,33.0,5.0,23.0,1.0,1.0,5.0,8.0,0.0,35.0,4.0,9.0,59.0,12.0,17.0
452,4.0,4.0,2.0,3.0,8.0,43.0,23.0,10.0,4.0,16.0,4.0,10.0,0.0,1.0,6.0,10.0,1.0,5.0,81.0,6.0,12.0
458,2.0,1.0,1.0,0.0,1.0,101.0,38.0,162.0,33.0,36.0,3.0,0.0,6.0,0.0,0.0,54.0,5.0,40.0,160.0,17.0,88.0
459,181.0,11.0,40.0,41.0,77.0,82.0,10.0,49.0,26.0,36.0,284.0,12.0,65.0,112.0,163.0,29.0,4.0,34.0,70.0,17.0,40.0
460,93.0,736.0,263.0,91.0,161.0,297.0,697.0,235.0,102.0,77.0,319.0,2069.0,195.0,123.0,75.0,264.0,34.0,108.0,322.0,41.0,112.0
466,22.0,2.0,1.0,6.0,4.0,7.0,3.0,7.0,6.0,0.0,10.0,0.0,0.0,3.0,0.0,4.0,0.0,6.0,10.0,4.0,0.0
468,1436.0,6.0,554.0,649.0,1044.0,413.0,338.0,372.0,84.0,124.0,3137.0,2.0,608.0,1295.0,2271.0,258.0,92.0,205.0,311.0,40.0,187.0
470,254.0,38.0,77.0,85.0,167.0,88.0,1815.0,49.0,30.0,61.0,655.0,8.0,81.0,130.0,104.0,89.0,17.0,43.0,67.0,14.0,39.0
473,1.0,2.0,0.0,7.0,3.0,62.0,44.0,56.0,21.0,59.0,3.0,1.0,10.0,6.0,5.0,36.0,13.0,48.0,181.0,15.0,38.0
475,22.0,18.0,739.0,3.0,15.0,5065.0,32440.0,10020.0,1040.0,2138.0,91.0,401.0,492.0,39.0,7.0,3148.0,686.0,3277.0,8478.0,691.0,3073.0
476,0.0,8.0,115.0,4.0,2.0,2198.0,241.0,1786.0,497.0,1047.0,8.0,0.0,109.0,2.0,4.0,1036.0,165.0,616.0,4158.0,252.0,1889.0
48,2.0,1.0,8.0,7.0,6.0,85.0,10.0,123.0,31.0,106.0,10.0,7.0,8.0,1.0,5.0,59.0,206.0,54.0,140.0,10.0,97.0
485,1.0,10.0,12.0,2.0,5.0,3.0,6.0,15.0,0.0,6.0,8.0,8.0,2.0,0.0,32.0,1.0,7.0,7.0,5.0,0.0,12.0
486,12.0,18.0,138.0,5.0,28.0,36.0,2966.0,68.0,18.0,10.0,72.0,4.0,195.0,13.0,19.0,55.0,15.0,29.0,106.0,11.0,18.0
491,109.0,3.0,278.0,101.0,138.0,47.0,44.0,80.0,39.0,9.0,433.0,3.0,170.0,397.0,186.0,20.0,6.0,36.0,59.0,21.0,82.0
493,9.0,4.0,40.0,14.0,24.0,38.0,15.0,36.0,0.0,6.0,83.0,0.0,47.0,32.0,61.0,13.0,3.0,20.0,48.0,2.0,28.0
495,1.0,0.0,106.0,2.0,4.0,1647.0,2107.0,1260.0,288.0,445.0,4.0,1.0,91.0,5.0,2.0,882.0,70.0,334.0,2177.0,86.0,391.0
50,2.0,1.0,1.0,4.0,9.0,1.0,17.0,6.0,2.0,1.0,8.0,0.0,10.0,10.0,5.0,5.0,4.0,7.0,4.0,2.0,2.0
503,1.0,1.0,8.0,3.0,4.0,145.0,234.0,101.0,30.0,55.0,5.0,0.0,14.0,1.0,2.0,111.0,55.0,53.0,119.0,11.0,83.0
507,0.0,1.0,9.0,1.0,1.0,153.0,95.0,80.0,25.0,56.0,2.0,1.0,6.0,3.0,1.0,155.0,4.0,26.0,250.0,9.0,228.0
508,0.0,118.0,50.0,0.0,1.0,69.0,27.0,63.0,17.0,18.0,4.0,3.0,35.0,7.0,2.0,55.0,8.0,35.0,147.0,10.0,95.0
52,1.0,0.0,3.0,0.0,0.0,64.0,38.0,97.0,10.0,30.0,9.0,0.0,6.0,0.0,1.0,81.0,7.0,20.0,29.0,4.0,24.0
520,1.0,2.0,1.0,2.0,2.0,6.0,4.0,5.0,7.0,1.0,5.0,0.0,2.0,2.0,3.0,3.0,1.0,11.0,11.0,4.0,6.0
521,5.0,0.0,11.0,1.0,1.0,393.0,30.0,1515.0,109.0,76.0,5.0,0.0,7.0,4.0,2.0,701.0,6.0,135.0,157.0,15.0,246.0
522,5.0,6.0,17.0,6.0,5.0,246.0,260.0,588.0,75.0,95.0,16.0,5.0,23.0,5.0,0.0,165.0,25.0,212.0,529.0,41.0,103.0
523,2048.0,240.0,6499.0,1105.0,2472.0,2377.0,8063.0,4095.0,665.0,1029.0,7512.0,971.0,5706.0,2524.0,4701.0,1498.0,218.0,1472.0,2539.0,251.0,431.0
524,119.0,177.0,64.0,82.0,175.0,90.0,265.0,48.0,13.0,16.0,706.0,15.0,57.0,199.0,377.0,73.0,301.0,90.0,112.0,7.0,26.0
525,984.0,7.0,550.0,438.0,997.0,228.0,35.0,432.0,19.0,62.0,3512.0,5.0,642.0,1160.0,1260.0,235.0,12.0,150.0,227.0,36.0,124.0
531,2.0,8.0,8.0,0.0,6.0,17.0,5.0,15.0,8.0,7.0,5.0,2.0,5.0,6.0,2.0,11.0,4.0,4.0,27.0,1.0,9.0
532,2.0,10.0,3.0,3.0,5.0,70.0,21.0,18.0,8.0,18.0,5.0,1.0,1.0,3.0,4.0,54.0,5.0,8.0,98.0,7.0,7.0
535,874.0,309.0,135.0,708.0,653.0,181.0,208.0,196.0,125.0,165.0,4269.0,404.0,236.0,1337.0,944.0,154.0,83.0,55.0,478.0,38.0,96.0
538,604.0,13.0,836.0,259.0,415.0,353.0,544.0,793.0,97.0,184.0,2213.0,74.0,558.0,638.0,676.0,237.0,28.0,181.0,641.0,54.0,167.0
539,271.0,37.0,293.0,116.0,192.0,326.0,60.0,361.0,61.0,139.0,827.0,211.0,402.0,345.0,382.0,168.0,44.0,158.0,464.0,39.0,80.0
540,986.0,132.0,735.0,854.0,1827.0,589.0,1580.0,396.0,48.0,86.0,5408.0,261.0,413.0,2124.0,2408.0,711.0,81.0,240.0,784.0,61.0,554.0
541,2.0,0.0,3.0,2.0,5.0,91.0,23.0,139.0,17.0,18.0,7.0,1.0,18.0,4.0,4.0,48.0,159.0,49.0,75.0,9.0,26.0
