strain_id,T0_noMTX_noDrug.MID2_TPO4,T0_noMTX_noDrug.PLM2_SNA3,T0_noMTX_noDrug.MID2_WSC2,T0_noMTX_noDrug.SNA4_GTR2,T0_noMTX_noDrug.ALO1_ADE17,T0_noMTX_noDrug.ERG11_PIS1,T0_noMTX_noDrug.ERG11_ACF2,T0_noMTX_noDrug.SRO9_GIS2,T0_noMTX_noDrug.HNM1_TPO1,T0_noMTX_noDrug.SRO9_SGN1,T0_noMTX_noDrug.HUG1_ADE17,T0_noMTX_noDrug.PLM2_HNM1,T0_noMTX_noDrug.ERG11_ORM2,T0_noMTX_noDrug.HNM1_RBD2,T0_noMTX_noDrug.ERV25_ERG5,T0_noMTX_noDrug.PMC1_GTR2,T0_noMTX_noDrug.HUG1_ALO1,T0_noMTX_noDrug.SSH1_ERG11,T0_noMTX_noDrug.ADE17_HYR1,T0_noMTX_noDrug.ERG27_ACF2,T0_noMTX_noDrug.ALO1_HYR1,T0_noMTX_noDrug.HUG1_PGM2,T0_noMTX_noDrug.SRO9_DHH1,T0_noMTX_noDrug.MID2_RSN1,T0_noMTX_noDrug.ERG11_ERV25,T0_noMTX_noDrug.DHH1_LSM3,T0_noMTX_noDrug.ALO1_UIP4,T0_noMTX_noDrug.SSH1_ERV25,T0_noMTX_noDrug.SSH1_PIS1,T0_noMTX_noDrug.ERG11_TPO4,T0_noMTX_noDrug.TPO1_TPO2,T0_noMTX_noDrug.ERG11_ERG5,T0_noMTX_noDrug.RET2_EMP70,T0_noMTX_noDrug.ERV25_RBD2,T0_noMTX_noDrug.ERV25_PIS1,T0_noMTX_noDrug.FMP45_HNM1,T0_noMTX_noDrug.HNM1_MAM33,T0_noMTX_noDrug.noPPI_reference,T0_noMTX_noDrug.SSH1_ORM2,T0_noMTX_noDrug.PMC1_CTR2,T0_noMTX_noDrug.RET2_EMP47,T0_noMTX_noDrug.TPO1_MID2,T0_noMTX_noDrug.FMP45_MEP1,T0_noMTX_noDrug.HNM1_MID2,T0_noMTX_noDrug.HNM1_TPO2,T0_noMTX_noDrug.HNM1_ERG11,T0_noMTX_noDrug.SNA4_VAC8,T0_noMTX_noDrug.ERV25_EMP47,T0_noMTX_noDrug.ERG11_MID2,T0_noMTX_noDrug.ERV25_ORM2,T0_noMTX_noDrug.ERV25_UIP4,T0_noMTX_noDrug.ADE17_GIS2,T0_noMTX_noDrug.TPO1_TCB2,T0_noMTX_noDrug.HNM1_TPO4,T0_noMTX_noDrug.ERG11_HYR1,T0_noMTX_noDrug.FMP45_MID2,T0_noMTX_noDrug.MID2_MAM33,T0_noMTX_noDrug.MID2_PIN2,T0_noMTX_noDrug.MID2_TPO2,T0_noMTX_noDrug.GTR1_SLM4,T0_noMTX_noDrug.ADE17_PGM2,T0_noMTX_noDrug.RET2_SNA3
1040,101.0,33.0,32.0,47.0,343.0,50.0,224.0,31.0,49.0,27.0,100.0,159.0,12.0,236.0,245.0,69.0,112.0,70.0,7.0,111.0,105.0,147.0,39.0,43.0,10.0,85.0,217.0,210.0,39.0,45.0,139.0,77.0,8.0,122.0,57.0,170.0,66.0,26.0,240.0,59.0,4.0,62.0,22.0,123.0,148.0,183.0,117.0,207.0,49.0,495.0,282.0,54.0,81.0,91.0,46.0,164.0,70.0,27.0,37.0,13.0,44.0,11.0
1046,126.0,16.0,146.0,30.0,76.0,107.0,135.0,17.0,17.0,16.0,10.0,102.0,23.0,11.0,287.0,4.0,48.0,22.0,302.0,98.0,2.0,14.0,54.0,46.0,14.0,152.0,13.0,18.0,2.0,28.0,52.0,56.0,3.0,13.0,14.0,32.0,79.0,24.0,26.0,17.0,2.0,11.0,109.0,87.0,110.0,132.0,4.0,51.0,89.0,135.0,79.0,160.0,64.0,102.0,56.0,90.0,93.0,37.0,39.0,4.0,112.0,4.0
1050,9.0,9.0,2.0,4.0,19.0,25.0,28.0,10.0,5.0,5.0,4.0,58.0,4.0,0.0,23.0,1.0,30.0,7.0,3.0,41.0,2.0,38.0,20.0,20.0,1.0,4.0,8.0,2.0,3.0,4.0,3.0,2.0,0.0,2.0,1.0,30.0,3.0,27.0,11.0,3.0,0.0,2.0,6.0,10.0,2.0,16.0,2.0,5.0,12.0,4.0,7.0,22.0,1.0,37.0,8.0,56.0,35.0,8.0,0.0,0.0,7.0,4.0
1065,4.0,2.0,1.0,11.0,6.0,19.0,66.0,6.0,2.0,23.0,6.0,1.0,2.0,0.0,8.0,8.0,12.0,2.0,1.0,10.0,0.0,1.0,22.0,10.0,5.0,10.0,33.0,0.0,0.0,30.0,38.0,4.0,1.0,1.0,0.0,3.0,1.0,26.0,0.0,8.0,2.0,31.0,13.0,4.0,1.0,5.0,0.0,11.0,4.0,4.0,26.0,28.0,34.0,2.0,5.0,90.0,22.0,5.0,2.0,0.0,1.0,2.0
1069,575.0,46.0,597.0,738.0,41.0,92.0,163.0,17.0,616.0,61.0,204.0,426.0,39.0,253.0,346.0,67.0,264.0,251.0,1629.0,2055.0,44.0,174.0,94.0,388.0,35.0,298.0,37.0,366.0,43.0,34.0,138.0,90.0,16.0,42.0,6.0,87.0,1351.0,41.0,187.0,45.0,10.0,146.0,279.0,189.0,1961.0,324.0,457.0,46.0,488.0,185.0,94.0,328.0,78.0,2030.0,60.0,131.0,618.0,126.0,235.0,21.0,795.0,20.0
107,17.0,4.0,2.0,49.0,0.0,33.0,19.0,2.0,1.0,17.0,45.0,19.0,7.0,0.0,24.0,6.0,46.0,5.0,65.0,30.0,1.0,48.0,26.0,6.0,6.0,3.0,4.0,1.0,10.0,28.0,8.0,16.0,1.0,5.0,0.0,13.0,25.0,7.0,1.0,9.0,0.0,3.0,65.0,9.0,31.0,12.0,92.0,19.0,19.0,7.0,1.0,86.0,1.0,13.0,8.0,25.0,8.0,1.0,12.0,2.0,46.0,1.0
113,4.0,8.0,3.0,4.0,11.0,40.0,212.0,48.0,4.0,7.0,0.0,2.0,6.0,2.0,25.0,22.0,1.0,37.0,5.0,158.0,7.0,1.0,1.0,30.0,11.0,3.0,142.0,15.0,3.0,22.0,26.0,13.0,3.0,4.0,2.0,10.0,197.0,143.0,55.0,5.0,2.0,3.0,2.0,8.0,4.0,22.0,3.0,3.0,102.0,21.0,3.0,3.0,1.0,2.0,48.0,17.0,8.0,22.0,8.0,3.0,1.0,2.0
124,14.0,5.0,1.0,0.0,45.0,34.0,53.0,12.0,15.0,12.0,23.0,23.0,6.0,2.0,16.0,8.0,41.0,30.0,9.0,4.0,6.0,28.0,23.0,20.0,3.0,5.0,54.0,20.0,3.0,31.0,54.0,11.0,2.0,8.0,1.0,25.0,15.0,17.0,29.0,15.0,1.0,47.0,22.0,24.0,27.0,32.0,2.0,4.0,19.0,25.0,38.0,1.0,88.0,90.0,35.0,3.0,27.0,15.0,23.0,1.0,3.0,3.0
128,115.0,20.0,115.0,26.0,134.0,43.0,85.0,15.0,147.0,23.0,156.0,93.0,20.0,90.0,389.0,133.0,286.0,51.0,692.0,310.0,241.0,126.0,41.0,41.0,8.0,15.0,62.0,84.0,55.0,27.0,116.0,32.0,8.0,125.0,7.0,32.0,373.0,26.0,45.0,56.0,5.0,59.0,91.0,229.0,465.0,504.0,10.0,137.0,54.0,111.0,84.0,46.0,113.0,274.0,24.0,84.0,127.0,47.0,46.0,8.0,83.0,11.0
132,55.0,8.0,39.0,217.0,46.0,100.0,191.0,17.0,139.0,34.0,108.0,57.0,11.0,79.0,272.0,76.0,78.0,84.0,186.0,130.0,29.0,60.0,93.0,53.0,7.0,87.0,125.0,98.0,5.0,48.0,125.0,77.0,6.0,15.0,29.0,98.0,183.0,15.0,68.0,54.0,2.0,155.0,160.0,135.0,211.0,231.0,112.0,95.0,89.0,207.0,143.0,140.0,82.0,329.0,63.0,19.0,74.0,24.0,53.0,5.0,118.0,9.0
133,3.0,3.0,2.0,21.0,39.0,20.0,26.0,3.0,0.0,6.0,1.0,2.0,5.0,0.0,81.0,5.0,0.0,14.0,52.0,2.0,4.0,3.0,6.0,5.0,9.0,127.0,22.0,21.0,4.0,13.0,34.0,6.0,4.0,2.0,1.0,15.0,9.0,23.0,116.0,7.0,0.0,8.0,24.0,12.0,1.0,6.0,1.0,4.0,16.0,21.0,46.0,130.0,11.0,9.0,3.0,3.0,22.0,5.0,4.0,2.0,4.0,0.0
136,23.0,10.0,2.0,55.0,128.0,32.0,51.0,5.0,1.0,53.0,27.0,59.0,7.0,1.0,38.0,17.0,18.0,15.0,1.0,96.0,6.0,17.0,18.0,14.0,2.0,4.0,21.0,17.0,0.0,36.0,16.0,19.0,0.0,2.0,0.0,36.0,23.0,23.0,37.0,10.0,0.0,4.0,57.0,15.0,34.0,24.0,1.0,19.0,28.0,31.0,20.0,2.0,30.0,3.0,9.0,133.0,12.0,15.0,10.0,507.0,4.0,3.0
14,363.0,66.0,14.0,141.0,41.0,582.0,693.0,96.0,50.0,78.0,43.0,359.0,122.0,62.0,396.0,69.0,57.0,182.0,144.0,212.0,84.0,49.0,121.0,60.0,59.0,213.0,45.0,149.0,73.0,453.0,16.0,301.0,8.0,13.0,60.0,272.0,208.0,48.0,146.0,10.0,3.0,8.0,79.0,170.0,142.0,237.0,72.0,67.0,362.0,500.0,16.0,55.0,10.0,201.0,455.0,173.0,130.0,44.0,116.0,18.0,120.0,8.0
146,743.0,346.0,628.0,767.0,567.0,365.0,501.0,234.0,822.0,463.0,79.0,1207.0,88.0,588.0,1383.0,229.0,182.0,387.0,2360.0,544.0,380.0,144.0,389.0,505.0,63.0,891.0,219.0,408.0,185.0,221.0,297.0,286.0,35.0,71.0,73.0,531.0,1335.0,74.0,441.0,164.0,7.0,465.0,752.0,749.0,1699.0,1187.0,346.0,380.0,521.0,584.0,385.0,579.0,263.0,2103.0,258.0,623.0,600.0,303.0,319.0,84.0,761.0,20.0
15,28.0,6.0,3.0,27.0,37.0,27.0,49.0,8.0,10.0,15.0,83.0,48.0,2.0,1.0,242.0,14.0,101.0,43.0,135.0,80.0,40.0,68.0,14.0,13.0,8.0,4.0,70.0,22.0,3.0,8.0,104.0,25.0,4.0,24.0,8.0,22.0,12.0,13.0,82.0,9.0,2.0,66.0,22.0,24.0,5.0,14.0,2.0,30.0,19.0,130.0,122.0,136.0,101.0,37.0,20.0,17.0,23.0,13.0,15.0,5.0,1.0,4.0
151,14.0,9.0,1.0,23.0,15.0,43.0,76.0,23.0,42.0,84.0,4.0,27.0,10.0,5.0,21.0,11.0,27.0,28.0,14.0,60.0,1.0,5.0,43.0,17.0,3.0,17.0,20.0,22.0,2.0,40.0,46.0,42.0,4.0,2.0,0.0,91.0,12.0,32.0,4.0,6.0,2.0,35.0,47.0,12.0,7.0,44.0,0.0,51.0,21.0,9.0,7.0,3.0,46.0,7.0,35.0,50.0,14.0,11.0,5.0,323.0,49.0,3.0
153,83.0,4.0,5.0,9.0,120.0,87.0,139.0,36.0,13.0,98.0,52.0,45.0,12.0,3.0,122.0,74.0,84.0,62.0,136.0,85.0,74.0,124.0,78.0,38.0,7.0,14.0,109.0,84.0,9.0,37.0,2.0,81.0,4.0,25.0,14.0,60.0,23.0,15.0,96.0,88.0,4.0,1.0,31.0,26.0,11.0,30.0,4.0,64.0,63.0,211.0,114.0,2.0,1.0,3.0,94.0,67.0,45.0,19.0,45.0,2.0,3.0,2.0
17,2.0,1.0,4.0,1.0,7.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,1.0,3.0,2.0,2.0,0.0,1.0,7.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0,2.0,2.0,2.0,6.0,5.0,1.0,2.0,4.0,0.0,3.0,0.0,2.0
171,24.0,16.0,16.0,17.0,18.0,14.0,74.0,2.0,10.0,6.0,42.0,66.0,3.0,28.0,142.0,4.0,48.0,9.0,21.0,28.0,6.0,76.0,10.0,12.0,2.0,10.0,19.0,3.0,3.0,3.0,22.0,12.0,1.0,62.0,0.0,60.0,9.0,18.0,21.0,1.0,1.0,15.0,20.0,43.0,44.0,55.0,24.0,23.0,23.0,36.0,141.0,14.0,19.0,25.0,12.0,36.0,9.0,23.0,18.0,946.0,1.0,6.0
175,47.0,2.0,6.0,8.0,3.0,15.0,4.0,11.0,44.0,18.0,33.0,1.0,1.0,0.0,14.0,7.0,47.0,0.0,1.0,14.0,46.0,79.0,37.0,12.0,4.0,4.0,69.0,1.0,0.0,23.0,4.0,6.0,1.0,4.0,1.0,3.0,0.0,18.0,7.0,17.0,1.0,11.0,8.0,4.0,0.0,10.0,0.0,16.0,8.0,2.0,14.0,0.0,7.0,0.0,6.0,31.0,7.0,16.0,23.0,1.0,0.0,3.0
180,47.0,103.0,142.0,17.0,52.0,115.0,276.0,80.0,42.0,45.0,11.0,36.0,32.0,10.0,66.0,21.0,33.0,51.0,0.0,2.0,9.0,18.0,43.0,41.0,13.0,1.0,67.0,105.0,34.0,106.0,1.0,111.0,2.0,58.0,36.0,77.0,18.0,7.0,85.0,52.0,2.0,1.0,38.0,26.0,2.0,37.0,1.0,46.0,52.0,353.0,55.0,182.0,2.0,1.0,91.0,275.0,65.0,33.0,19.0,2.0,2.0,4.0
180_2,55.0,14.0,11.0,28.0,339.0,250.0,459.0,24.0,39.0,107.0,27.0,80.0,34.0,11.0,80.0,49.0,126.0,114.0,11.0,6.0,67.0,52.0,166.0,39.0,29.0,8.0,93.0,230.0,63.0,72.0,1.0,138.0,10.0,193.0,17.0,380.0,43.0,32.0,630.0,61.0,4.0,1.0,28.0,33.0,63.0,48.0,6.0,25.0,79.0,297.0,62.0,151.0,5.0,28.0,235.0,631.0,81.0,52.0,21.0,12.0,6.0,5.0
185,2.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,10.0,1.0,3.0,8.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,1.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,2.0,2.0,8.0,1.0,0.0,1.0,4.0,1.0,0.0
187,27.0,2.0,12.0,56.0,51.0,45.0,17.0,8.0,8.0,35.0,31.0,2.0,3.0,3.0,180.0,26.0,44.0,25.0,445.0,28.0,64.0,47.0,20.0,19.0,4.0,6.0,54.0,8.0,2.0,10.0,5.0,33.0,1.0,10.0,0.0,19.0,21.0,10.0,4.0,13.0,0.0,2.0,120.0,41.0,46.0,60.0,2.0,182.0,26.0,53.0,132.0,83.0,3.0,36.0,10.0,84.0,14.0,15.0,15.0,2.0,93.0,0.0
188,84.0,16.0,4.0,78.0,24.0,26.0,60.0,10.0,29.0,17.0,54.0,99.0,4.0,126.0,31.0,20.0,49.0,13.0,4.0,10.0,4.0,69.0,19.0,50.0,5.0,13.0,18.0,10.0,2.0,28.0,142.0,26.0,3.0,4.0,11.0,105.0,7.0,21.0,7.0,22.0,2.0,87.0,42.0,18.0,3.0,26.0,146.0,4.0,38.0,13.0,4.0,2.0,102.0,0.0,7.0,90.0,48.0,37.0,26.0,4.0,3.0,2.0
192,29.0,7.0,23.0,4.0,7.0,17.0,18.0,0.0,5.0,2.0,1.0,8.0,6.0,4.0,9.0,0.0,3.0,15.0,5.0,23.0,2.0,0.0,4.0,24.0,2.0,16.0,1.0,7.0,35.0,3.0,3.0,4.0,2.0,5.0,2.0,6.0,4.0,11.0,29.0,1.0,3.0,0.0,3.0,4.0,5.0,20.0,2.0,11.0,9.0,144.0,24.0,32.0,5.0,6.0,8.0,5.0,15.0,13.0,28.0,5.0,5.0,5.0
20,17.0,4.0,0.0,11.0,2.0,22.0,15.0,14.0,6.0,31.0,0.0,35.0,7.0,0.0,184.0,0.0,2.0,8.0,1.0,1.0,0.0,3.0,25.0,7.0,2.0,2.0,8.0,21.0,1.0,28.0,1.0,11.0,0.0,0.0,0.0,16.0,17.0,6.0,3.0,0.0,0.0,1.0,64.0,12.0,0.0,12.0,0.0,10.0,11.0,24.0,2.0,0.0,1.0,0.0,5.0,20.0,3.0,5.0,2.0,0.0,1.0,0.0
209,57.0,8.0,101.0,83.0,100.0,27.0,106.0,3.0,91.0,22.0,27.0,71.0,9.0,8.0,90.0,2.0,56.0,39.0,376.0,54.0,5.0,44.0,34.0,30.0,8.0,5.0,52.0,26.0,0.0,6.0,4.0,22.0,2.0,81.0,1.0,49.0,82.0,26.0,90.0,4.0,2.0,2.0,91.0,31.0,165.0,45.0,8.0,38.0,43.0,30.0,18.0,61.0,2.0,62.0,20.0,25.0,39.0,9.0,37.0,392.0,69.0,1.0
210,18.0,4.0,73.0,8.0,11.0,19.0,13.0,4.0,2.0,11.0,2.0,1.0,3.0,0.0,3.0,5.0,2.0,14.0,1.0,2.0,4.0,3.0,3.0,7.0,2.0,0.0,13.0,9.0,2.0,4.0,2.0,1.0,0.0,2.0,1.0,6.0,0.0,27.0,57.0,1.0,0.0,1.0,4.0,5.0,0.0,5.0,1.0,1.0,4.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,6.0,5.0,5.0,2.0,4.0,4.0
22,1.0,2.0,1.0,12.0,1.0,2.0,5.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0
226,131.0,35.0,194.0,84.0,108.0,171.0,87.0,7.0,26.0,72.0,78.0,87.0,19.0,9.0,223.0,55.0,120.0,27.0,5.0,4.0,10.0,95.0,27.0,38.0,12.0,16.0,92.0,33.0,2.0,99.0,22.0,108.0,8.0,11.0,3.0,157.0,68.0,23.0,20.0,64.0,1.0,22.0,123.0,256.0,300.0,395.0,5.0,93.0,119.0,183.0,44.0,33.0,36.0,274.0,88.0,149.0,98.0,51.0,43.0,305.0,10.0,3.0
235,9.0,5.0,2.0,15.0,16.0,1.0,8.0,0.0,0.0,7.0,9.0,3.0,1.0,2.0,12.0,23.0,5.0,10.0,1.0,40.0,0.0,5.0,0.0,7.0,2.0,2.0,28.0,14.0,0.0,30.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,15.0,44.0,19.0,1.0,2.0,1.0,3.0,0.0,4.0,0.0,24.0,8.0,7.0,17.0,2.0,2.0,1.0,5.0,85.0,32.0,1.0,7.0,2.0,1.0,1.0
240,5.0,2.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,11.0,2.0,19.0,0.0,2.0,0.0,0.0,42.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,6.0,10.0,0.0,1.0,12.0,0.0,1.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,16.0,1.0,18.0,7.0,0.0,6.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0
248,24.0,11.0,7.0,33.0,6.0,7.0,14.0,0.0,0.0,2.0,2.0,9.0,6.0,3.0,8.0,2.0,18.0,9.0,4.0,0.0,1.0,24.0,2.0,10.0,3.0,2.0,15.0,18.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,13.0,8.0,3.0,1.0,3.0,2.0,4.0,12.0,19.0,7.0,0.0,1.0,24.0,5.0,9.0,2.0,3.0,1.0,8.0,29.0,25.0,8.0,5.0,3.0,30.0,1.0
