strain_id,B_MTX_noDrug.SRO9_SGN1,B_MTX_noDrug.SRO9_DHH1,B_MTX_noDrug.MID2_TPO2,B_MTX_noDrug.ALO1_HYR1,B_MTX_noDrug.TPO1_MID2,B_MTX_noDrug.ALO1_UIP4,B_MTX_noDrug.ERG11_PIS1,B_MTX_noDrug.FMP45_HNM1,B_MTX_noDrug.ERG11_TPO4,B_MTX_noDrug.TPO1_TPO2,B_MTX_noDrug.MID2_MAM33,B_MTX_noDrug.ERG27_ACF2,B_MTX_noDrug.PLM2_SNA3,B_MTX_noDrug.MID2_RSN1,B_MTX_noDrug.ALO1_ADE17,B_MTX_noDrug.MID2_WSC2,B_MTX_noDrug.RET2_EMP70,B_MTX_noDrug.ERG11_ERG5,B_MTX_noDrug.ERG11_ORM2,B_MTX_noDrug.HNM1_MAM33,B_MTX_noDrug.ERV25_UIP4,B_MTX_noDrug.FMP45_MID2,B_MTX_noDrug.ERV25_RBD2,B_MTX_noDrug.ADE17_GIS2,B_MTX_noDrug.HUG1_ALO1,B_MTX_noDrug.DHH1_LSM3,B_MTX_noDrug.noPPI_reference,B_MTX_noDrug.ERV25_PIS1,B_MTX_noDrug.HNM1_MID2,B_MTX_noDrug.SRO9_GIS2,B_MTX_noDrug.HUG1_ADE17,B_MTX_noDrug.ERG11_HYR1,B_MTX_noDrug.SSH1_ERV25,B_MTX_noDrug.SSH1_ORM2,B_MTX_noDrug.ERG11_ERV25,B_MTX_noDrug.ADE17_PGM2,B_MTX_noDrug.HNM1_TPO1,B_MTX_noDrug.SSH1_ERG11,B_MTX_noDrug.RET2_EMP47,B_MTX_noDrug.ERV25_EMP47,B_MTX_noDrug.HNM1_ERG11,B_MTX_noDrug.SNA4_GTR2,B_MTX_noDrug.ERG11_MID2,B_MTX_noDrug.ERV25_ORM2,B_MTX_noDrug.HNM1_TPO4,B_MTX_noDrug.FMP45_MEP1,B_MTX_noDrug.ERV25_ERG5,B_MTX_noDrug.PMC1_CTR2,B_MTX_noDrug.HNM1_TPO2,B_MTX_noDrug.PMC1_GTR2,B_MTX_noDrug.MID2_TPO4,B_MTX_noDrug.ADE17_HYR1,B_MTX_noDrug.TPO1_TCB2,B_MTX_noDrug.SSH1_PIS1,B_MTX_noDrug.ERG11_ACF2,B_MTX_noDrug.HUG1_PGM2,B_MTX_noDrug.GTR1_SLM4,B_MTX_noDrug.PLM2_HNM1,B_MTX_noDrug.SNA4_VAC8,B_MTX_noDrug.RET2_SNA3,B_MTX_noDrug.MID2_PIN2,B_MTX_noDrug.HNM1_RBD2
1040,111.0,4.0,1.0,37.0,1.0,11.0,2.0,5.0,628.0,3.0,8.0,6.0,5.0,9.0,32.0,3.0,0.0,5.0,84.0,8.0,12.0,2.0,2.0,9.0,6.0,46.0,6.0,24.0,9.0,3.0,14.0,56.0,10.0,13.0,30.0,1.0,6.0,50.0,6.0,66.0,17.0,21.0,9.0,141.0,7.0,13.0,115.0,11.0,16.0,5.0,6.0,1.0,5.0,26.0,11.0,11.0,31.0,6.0,11.0,4.0,16.0,0.0
1046,26.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,19.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,41.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,9.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1050,184.0,4.0,7.0,14.0,1.0,3.0,46.0,2.0,744.0,4.0,1.0,6.0,4.0,68.0,29.0,2.0,0.0,5.0,64.0,2.0,8.0,9.0,3.0,7.0,62.0,38.0,29.0,7.0,30.0,82.0,16.0,719.0,9.0,0.0,2.0,2.0,59.0,65.0,6.0,46.0,23.0,7.0,94.0,26.0,2.0,4.0,132.0,13.0,3.0,2.0,9.0,0.0,1.0,6.0,0.0,49.0,11.0,3.0,3.0,5.0,11.0,0.0
1052,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
1065,746.0,75.0,3.0,9.0,1.0,9.0,6.0,0.0,441.0,21.0,13.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,4.0,0.0,1.0,1.0,3.0,380.0,28.0,4.0,1.0,6.0,14.0,47.0,0.0,1.0,1.0,0.0,4.0,51.0,1.0,13.0,16.0,5.0,1.0,8.0,0.0,0.0,46.0,12.0,6.0,8.0,0.0,0.0,7.0,2.0,13.0,1.0,17.0,0.0,1.0,0.0,2.0,0.0
1069,1764.0,448.0,856.0,2017.0,176.0,46.0,105.0,290.0,931.0,8217.0,4642.0,6095.0,307.0,1207.0,116.0,1785.0,112.0,157.0,986.0,20269.0,1848.0,895.0,290.0,82.0,2986.0,4327.0,231.0,248.0,805.0,53.0,8235.0,1461.0,1242.0,550.0,324.0,191.0,16376.0,7265.0,107.0,460.0,2656.0,4510.0,972.0,379.0,5132.0,3193.0,4425.0,322.0,20995.0,1294.0,1589.0,197.0,351.0,7569.0,88.0,3042.0,370.0,573.0,2107.0,79.0,1590.0,170.0
107,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,10.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
113,80.0,29.0,17.0,71.0,14.0,244.0,69.0,3.0,227.0,42.0,1.0,8801.0,3.0,92.0,12.0,1.0,55.0,15.0,2.0,5.0,0.0,0.0,16.0,5.0,0.0,72.0,3848.0,5.0,0.0,4.0,33.0,264.0,3.0,883.0,7.0,3.0,12.0,35.0,55.0,35.0,23.0,30.0,29.0,2553.0,24.0,8.0,99.0,3.0,4.0,49.0,3.0,10.0,36.0,27.0,45.0,4.0,10.0,9.0,31.0,37.0,390.0,1.0
119,74.0,3.0,3.0,5.0,3.0,1.0,1.0,1.0,96.0,3.0,2.0,4.0,1.0,4.0,6.0,1.0,8.0,4.0,8.0,3.0,3.0,0.0,2.0,3.0,0.0,21.0,2.0,2.0,1.0,0.0,2.0,11.0,2.0,3.0,2.0,1.0,6.0,9.0,1.0,12.0,5.0,10.0,4.0,10.0,1.0,2.0,10.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,10.0,2.0,4.0,2.0,1.0,0.0
124,56.0,85.0,40.0,14.0,14.0,378.0,60.0,5.0,1071.0,656.0,627.0,26.0,2.0,19.0,72.0,3.0,11.0,12.0,96.0,2.0,84.0,1.0,19.0,9.0,531.0,195.0,274.0,8.0,28.0,3.0,212.0,1548.0,26.0,80.0,37.0,1.0,261.0,798.0,11.0,33.0,135.0,10.0,84.0,470.0,92.0,25.0,92.0,637.0,40.0,102.0,21.0,5.0,106.0,6.0,218.0,1317.0,5.0,22.0,8.0,8.0,15.0,0.0
128,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,1.0,2.0,2.0,33.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,1.0
132,54.0,4.0,0.0,5.0,0.0,3.0,0.0,1.0,18.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,14.0,119.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,574.0,547.0,0.0,32.0,23.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,2.0,87.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0
133,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
136,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,11.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0
14,2712.0,1014.0,430.0,66.0,39.0,62.0,1551.0,77.0,20407.0,20.0,1338.0,612.0,3200.0,530.0,90.0,33.0,29.0,389.0,8299.0,697.0,44.0,79.0,18.0,53.0,443.0,2510.0,232.0,1853.0,484.0,92.0,266.0,7281.0,544.0,466.0,447.0,22.0,390.0,2142.0,88.0,1333.0,3591.0,336.0,601.0,4002.0,158.0,428.0,1435.0,130.0,340.0,381.0,791.0,28.0,39.0,123.0,1032.0,269.0,157.0,284.0,44.0,25.0,1089.0,39.0
146,13375.0,1350.0,586.0,557.0,135.0,151.0,412.0,50.0,7021.0,2879.0,130.0,163.0,383.0,406.0,344.0,117.0,81.0,290.0,3522.0,337.0,118.0,63.0,353.0,92.0,208.0,12631.0,56.0,181.0,1989.0,201.0,259.0,3296.0,1041.0,888.0,412.0,44.0,1667.0,3979.0,87.0,573.0,2650.0,806.0,1068.0,7255.0,909.0,138.0,7062.0,185.0,2093.0,430.0,1097.0,57.0,59.0,240.0,56.0,72.0,286.0,71.0,285.0,52.0,1511.0,34.0
15,131.0,220.0,29.0,157.0,18.0,59.0,10.0,1.0,72.0,629.0,19.0,138.0,3.0,10.0,1779.0,4.0,6.0,12.0,3843.0,11.0,87.0,10.0,4.0,2.0,318.0,10.0,6.0,1.0,11.0,11.0,577.0,35.0,44.0,269.0,45.0,5.0,5.0,99.0,4.0,49.0,39.0,35.0,18.0,373.0,14.0,12.0,55.0,50.0,8.0,34.0,10.0,3.0,43.0,20.0,8.0,331.0,4.0,19.0,9.0,2.0,56.0,4.0
151,33.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,56.0,0.0,1.0,3.0,0.0,2.0,4.0,5.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,7.0,0.0,2.0,0.0,2.0,0.0,36.0,2.0,0.0,1.0,2.0,0.0,5.0,1.0,5.0,4.0,3.0,8.0,10.0,0.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
153,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,68.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
17,38.0,1.0,0.0,4.0,1.0,0.0,2.0,1.0,82.0,1.0,0.0,3.0,2.0,4.0,1.0,2.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,1.0,3.0,8.0,1.0,2.0,0.0,1.0,2.0,10.0,1.0,1.0,1.0,0.0,0.0,12.0,1.0,10.0,1.0,4.0,1.0,10.0,1.0,3.0,6.0,6.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
171,104.0,13.0,2.0,15.0,8.0,10.0,6.0,7.0,806.0,6.0,7.0,16.0,3.0,9.0,47.0,3.0,7.0,3.0,86.0,6.0,106.0,5.0,3.0,6.0,15.0,50.0,1.0,21.0,8.0,13.0,14.0,189.0,9.0,27.0,12.0,1.0,2.0,67.0,16.0,67.0,83.0,13.0,13.0,258.0,6.0,13.0,81.0,11.0,108.0,9.0,8.0,2.0,7.0,14.0,6.0,28.0,709.0,4.0,16.0,3.0,10.0,8.0
175,19.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
17_2,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,160.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,6.0,132.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
180_2,207.0,3.0,0.0,1.0,5.0,0.0,13.0,0.0,40.0,1.0,2.0,1.0,2.0,0.0,3.0,4.0,2.0,14.0,61.0,0.0,1.0,1.0,0.0,3.0,4.0,14.0,1.0,0.0,2.0,0.0,81.0,357.0,12.0,4.0,33.0,1.0,0.0,7.0,4.0,18.0,2.0,3.0,12.0,372.0,1.0,2.0,23.0,1.0,3.0,3.0,0.0,2.0,3.0,5.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0
185,63.0,8.0,2.0,28.0,3.0,5.0,4.0,8.0,310.0,4.0,16.0,7.0,7.0,26.0,32.0,6.0,1.0,2.0,25.0,7.0,6.0,3.0,2.0,1.0,15.0,33.0,9.0,34.0,10.0,2.0,2.0,57.0,15.0,14.0,6.0,3.0,0.0,19.0,5.0,25.0,36.0,7.0,20.0,58.0,7.0,14.0,156.0,8.0,10.0,6.0,5.0,1.0,2.0,10.0,7.0,8.0,20.0,8.0,0.0,0.0,29.0,3.0
187,39.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,26.0,0.0,0.0,1.0,0.0,1.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,63.0,0.0,1.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
188,47.0,4.0,1.0,4.0,2.0,1.0,2.0,0.0,29.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,12.0,5.0,0.0,2.0,1.0,1.0,0.0,2.0,12.0,3.0,2.0,2.0,0.0,0.0,10.0,0.0,1.0,1.0,2.0,3.0,12.0,3.0,6.0,1.0,5.0,15.0,7.0,1.0,2.0,16.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,0.0,1.0,0.0,5.0,1.0
192,47.0,9.0,7.0,4.0,5.0,4.0,3.0,3.0,48.0,5.0,8.0,14.0,2.0,3.0,11.0,58.0,9.0,5.0,5.0,7.0,6.0,2.0,4.0,2.0,2.0,19.0,3.0,2.0,2.0,1.0,7.0,27.0,3.0,4.0,5.0,6.0,11.0,22.0,3.0,19.0,4.0,23.0,2.0,41.0,4.0,9.0,24.0,1.0,14.0,2.0,1.0,6.0,3.0,4.0,3.0,2.0,11.0,4.0,6.0,2.0,28.0,5.0
20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
209,10.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,51.0,2.0,1.0,2.0,0.0,1.0,11.0,1.0,0.0,2.0,34.0,3.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,0.0,1.0,1.0,8.0,42.0,1.0,1.0,0.0,0.0,3.0,13.0,0.0,11.0,5.0,0.0,3.0,25.0,5.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,4.0,0.0
210,52.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,199.0,1.0,1.0,6.0,1.0,0.0,6.0,1.0,0.0,1.0,14.0,0.0,2.0,1.0,1.0,0.0,2.0,20.0,0.0,3.0,1.0,2.0,4.0,70.0,9.0,2.0,0.0,0.0,0.0,18.0,2.0,32.0,6.0,4.0,3.0,8.0,0.0,1.0,7.0,7.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,7.0,0.0,2.0,1.0,1.0,1.0
217,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
22,2.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1527.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,15.0,11.0,186.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
226,968.0,43.0,5.0,10.0,4.0,63.0,22.0,33.0,276.0,42.0,44.0,9.0,3.0,28.0,53.0,3.0,2.0,11.0,90.0,108.0,73.0,15.0,11.0,1.0,448.0,98.0,94.0,5.0,173.0,4.0,172.0,617.0,10.0,44.0,10.0,3.0,2.0,16.0,6.0,78.0,289.0,100.0,41.0,209.0,14.0,109.0,301.0,125.0,9.0,157.0,41.0,1.0,22.0,5.0,13.0,166.0,269.0,11.0,2.0,1.0,45.0,1.0
