strain_id,B_MTX_Fluconazole.MID2_WSC2,B_MTX_Fluconazole.HNM1_TPO2,B_MTX_Fluconazole.ADE17_GIS2,B_MTX_Fluconazole.ERV25_PIS1,B_MTX_Fluconazole.ALO1_UIP4,B_MTX_Fluconazole.RET2_SNA3,B_MTX_Fluconazole.MID2_RSN1,B_MTX_Fluconazole.FMP45_MEP1,B_MTX_Fluconazole.noPPI_reference,B_MTX_Fluconazole.SNA4_VAC8,B_MTX_Fluconazole.PLM2_SNA3,B_MTX_Fluconazole.SSH1_PIS1,B_MTX_Fluconazole.SSH1_ERV25,B_MTX_Fluconazole.TPO1_MID2,B_MTX_Fluconazole.ERG11_ERV25,B_MTX_Fluconazole.SSH1_ERG11,B_MTX_Fluconazole.PMC1_CTR2,B_MTX_Fluconazole.ALO1_HYR1,B_MTX_Fluconazole.MID2_TPO2,B_MTX_Fluconazole.RET2_EMP70,B_MTX_Fluconazole.ERV25_EMP47,B_MTX_Fluconazole.ERG11_ERG5,B_MTX_Fluconazole.PLM2_HNM1,B_MTX_Fluconazole.ERG11_ORM2,B_MTX_Fluconazole.SRO9_SGN1,B_MTX_Fluconazole.FMP45_HNM1,B_MTX_Fluconazole.ERG27_ACF2,B_MTX_Fluconazole.HNM1_ERG11,B_MTX_Fluconazole.ERG11_HYR1,B_MTX_Fluconazole.DHH1_LSM3,B_MTX_Fluconazole.GTR1_SLM4,B_MTX_Fluconazole.ERG11_MID2,B_MTX_Fluconazole.MID2_MAM33,B_MTX_Fluconazole.SRO9_DHH1,B_MTX_Fluconazole.ALO1_ADE17,B_MTX_Fluconazole.ERV25_RBD2,B_MTX_Fluconazole.ERV25_UIP4,B_MTX_Fluconazole.ADE17_HYR1,B_MTX_Fluconazole.ERV25_ERG5,B_MTX_Fluconazole.RET2_EMP47,B_MTX_Fluconazole.ADE17_PGM2,B_MTX_Fluconazole.SSH1_ORM2,B_MTX_Fluconazole.TPO1_TPO2,B_MTX_Fluconazole.PMC1_GTR2,B_MTX_Fluconazole.FMP45_MID2,B_MTX_Fluconazole.ERG11_PIS1,B_MTX_Fluconazole.ERG11_ACF2,B_MTX_Fluconazole.SRO9_GIS2,B_MTX_Fluconazole.ERV25_ORM2,B_MTX_Fluconazole.ERG11_TPO4,B_MTX_Fluconazole.HNM1_MID2,B_MTX_Fluconazole.TPO1_TCB2,B_MTX_Fluconazole.HUG1_ALO1,B_MTX_Fluconazole.HNM1_MAM33,B_MTX_Fluconazole.MID2_PIN2,B_MTX_Fluconazole.SNA4_GTR2,B_MTX_Fluconazole.MID2_TPO4,B_MTX_Fluconazole.HUG1_ADE17,B_MTX_Fluconazole.HNM1_TPO4,B_MTX_Fluconazole.HNM1_RBD2,B_MTX_Fluconazole.HNM1_TPO1,B_MTX_Fluconazole.HUG1_PGM2
107,1.0,2.0,1.0,0.0,2.0,1.0,3.0,3.0,0.0,5.0,1.0,1.0,0.0,0.0,61.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,8.0,1.0,0.0,0.0,3.0,179.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,2.0,2.0,322.0,0.0,16.0,4.0,0.0,2.0,0.0,7.0,0.0,6.0,0.0,5.0,0.0,1.0,1.0,2.0,2.0
113,5.0,8.0,10.0,15.0,0.0,2.0,2.0,0.0,1.0,13.0,0.0,6.0,2.0,3.0,1.0,6.0,7.0,24.0,4.0,0.0,1.0,10.0,1.0,1.0,20.0,2.0,5.0,10.0,1.0,6.0,8.0,11.0,2.0,19.0,3.0,2.0,13.0,1.0,13.0,3.0,1.0,2.0,0.0,10.0,9.0,2.0,3.0,27.0,7.0,7.0,1.0,1.0,6.0,8.0,9.0,1.0,6.0,21.0,0.0,4.0,2.0,0.0
119,11.0,6.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,8.0,3.0,0.0,0.0,2.0,3.0,2.0,3.0,30.0,2.0,0.0,7.0,1.0,10.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,0.0,6.0,0.0,2.0,3.0,0.0,4.0,2.0,4.0,1.0,2.0,5.0,1.0,7.0,1.0,1.0,4.0,12.0,11.0,6.0,2.0,0.0,5.0,0.0,0.0
124,1.0,0.0,1.0,0.0,16.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,42.0,0.0,10.0,9.0,1.0,49.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,17.0,1.0,4.0,16.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,994.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,87.0,315.0,6.0,1.0,1.0,2.0,20.0,32.0,0.0,0.0,8.0
128,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,0.0,3.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,172.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,17.0,0.0,4.0,0.0,2.0,1.0,2.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0
132,1.0,1.0,5.0,1.0,20.0,2.0,2.0,7.0,1.0,8.0,1.0,2.0,45.0,20.0,145.0,29.0,4.0,1.0,0.0,0.0,27.0,29.0,0.0,5985.0,171.0,1.0,0.0,72.0,2.0,90.0,0.0,17.0,0.0,0.0,67.0,0.0,7.0,6.0,25.0,1.0,10.0,7.0,0.0,25.0,17.0,1586.0,1.0,31.0,120.0,64.0,61.0,0.0,7.0,19.0,0.0,2.0,2.0,0.0,21.0,16.0,1.0,5.0
133,1.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,7.0,2.0,0.0,2.0,120.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,34.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
136,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,10.0,103.0,0.0,0.0,0.0,0.0,1.0,43.0,64.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,296.0,4.0,0.0,0.0,0.0,6.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
14,9.0,19.0,24.0,27.0,6.0,2.0,12.0,43.0,284.0,17.0,4.0,33.0,33.0,2.0,6.0,18.0,10.0,1.0,99.0,5.0,7.0,179.0,3.0,38.0,5.0,266.0,0.0,2.0,23.0,285.0,4.0,16.0,294.0,31.0,7.0,2.0,6.0,9.0,19.0,5.0,4026.0,2.0,3.0,4.0,18.0,1177.0,1.0,1032.0,12.0,468.0,5.0,6.0,14.0,1.0,42.0,34.0,26.0,202.0,6.0,11.0,0.0,5.0
146,22.0,38.0,59.0,67.0,5.0,5.0,19.0,28.0,7.0,52.0,72.0,50.0,80.0,23.0,19.0,22.0,60.0,37.0,7.0,5.0,12.0,4086.0,260.0,26.0,67.0,13.0,4.0,13.0,98.0,180.0,34.0,59.0,111.0,127.0,7.0,16.0,36.0,27.0,53.0,8.0,42.0,20.0,1.0,1550.0,29.0,1040.0,13.0,77.0,22.0,49.0,26.0,1.0,22.0,92.0,34.0,79.0,162.0,12.0,7.0,58.0,18.0,18.0
180_2,3.0,11.0,1.0,2.0,9.0,0.0,4.0,10.0,3.0,1.0,2.0,1.0,8.0,8.0,367.0,7.0,4.0,5.0,2.0,1.0,5.0,7.0,1.0,1621.0,73.0,7.0,1.0,4.0,30.0,5.0,4.0,1.0,119.0,5.0,9.0,1.0,2.0,2.0,1.0,2.0,6.0,8.0,2.0,19.0,10.0,6.0,1.0,9.0,179.0,6.0,0.0,1.0,2.0,18.0,7.0,1.0,3.0,0.0,16.0,14.0,10.0,9.0
188,26.0,35.0,6.0,5.0,6.0,1.0,14.0,21.0,7.0,20.0,11.0,6.0,12.0,9.0,433.0,8.0,3.0,23.0,16.0,2.0,13.0,156.0,9.0,13.0,66.0,14.0,1.0,25.0,2.0,33.0,26.0,12.0,11.0,23.0,7.0,6.0,26.0,6.0,14.0,1.0,10.0,24.0,5.0,49.0,30.0,23.0,10.0,41.0,29.0,3.0,12.0,3.0,8.0,45.0,55.0,29.0,20.0,16.0,8.0,38.0,16.0,11.0
192,25.0,27.0,11.0,17.0,5.0,2.0,30.0,25.0,18.0,22.0,18.0,25.0,14.0,3.0,42.0,16.0,8.0,21.0,28.0,67.0,28.0,21.0,9.0,8.0,52.0,17.0,2.0,15.0,10.0,50.0,41.0,15.0,30.0,26.0,11.0,18.0,16.0,12.0,43.0,4.0,12.0,43.0,6.0,48.0,23.0,14.0,16.0,24.0,2405.0,4.0,16.0,2.0,10.0,41.0,99.0,44.0,27.0,13.0,11.0,108.0,31.0,28.0
20,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
209,1.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,5.0,1.0,16.0,2.0,1.0,0.0,9.0,3.0,1.0,2.0,0.0,3.0,3.0,2.0,1.0,11.0,5.0,47.0,18.0,4.0,1.0,1.0,0.0,3.0,1.0,11.0,5.0,2.0,0.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0
226,14.0,8.0,0.0,0.0,5.0,7.0,199.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0,3.0,1.0,4.0,1.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,18.0,2.0,2.0,296.0,24.0,59.0,34.0,1.0,0.0,3.0,0.0,36.0,1.0,1.0,1.0,5.0,8.0,59.0,70.0,13.0,9.0,2.0,14.0,18.0,0.0,15.0,0.0,16.0,14.0,2862.0,0.0,3.0,19.0,0.0,1.0
252,5.0,26.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,358.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,15.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0
257,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,183.0,2.0,24.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,52.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0
258,19.0,59.0,9.0,7.0,52.0,2.0,0.0,2.0,0.0,357.0,18.0,3.0,55.0,1.0,0.0,55.0,4.0,1.0,0.0,2.0,73.0,3.0,2.0,98.0,1.0,0.0,101.0,0.0,25.0,2.0,1.0,267.0,94.0,4.0,19879.0,1.0,0.0,3.0,1.0,1.0,96.0,2.0,0.0,3.0,2.0,2.0,0.0,1.0,44.0,774.0,1.0,14.0,2.0,0.0,0.0,65.0,8.0,115.0,39.0,1.0,8.0,1.0
271,1.0,0.0,9.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,49.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,626.0,27.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0
289,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,81.0,375.0,18.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,28.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
29,3.0,7.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,12.0,0.0,2.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,75.0,4.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,8.0,15.0,1.0,0.0,1.0,0.0,5.0,0.0,7.0,0.0,1.0,9.0,2.0,11.0,1.0,5.0,2.0,3.0,1.0,0.0,1.0,4.0,3.0,4.0,1.0,1.0,0.0,3.0,1.0,2.0
296,1.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,4.0,3.0,6.0,0.0,16.0,6.0,0.0,5.0,5.0,33.0,1358.0,20.0,41.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,8.0,383.0,0.0,104.0,8.0,9.0,15.0,0.0,3.0,0.0,9.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0
299,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
307,2.0,12.0,1.0,3.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,3.0,7.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,16.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,0.0,3.0
312,9.0,11.0,4.0,9.0,3.0,3.0,75.0,63.0,0.0,6.0,0.0,1.0,143.0,0.0,9.0,71.0,9.0,14.0,6.0,0.0,239.0,2.0,0.0,4.0,2478.0,1.0,80.0,3.0,9.0,19.0,7.0,4.0,27.0,1582.0,16.0,1.0,13.0,2.0,10.0,0.0,7.0,1.0,1.0,698.0,51.0,17.0,1.0,11.0,16.0,1.0,6.0,0.0,260.0,20.0,41.0,632.0,12.0,615.0,2.0,11.0,6.0,5.0
32,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
320,1.0,555.0,14.0,0.0,0.0,1.0,1.0,5.0,0.0,1547.0,8.0,0.0,87.0,307.0,54.0,10.0,7.0,74.0,6.0,2.0,0.0,12.0,0.0,2.0,4.0,0.0,3.0,14.0,4.0,6.0,0.0,1.0,122.0,100.0,4.0,3.0,22.0,4.0,2.0,3.0,11.0,1.0,3.0,366.0,0.0,411.0,0.0,0.0,2.0,1.0,0.0,2.0,142.0,16.0,0.0,130.0,1.0,590.0,8.0,0.0,84.0,3.0
350,1.0,131.0,14.0,24.0,12.0,7.0,10.0,476.0,2.0,8.0,2.0,206.0,2386.0,0.0,2.0,28.0,5.0,6.0,1.0,2.0,383.0,10.0,6.0,16.0,17.0,0.0,1.0,3.0,5.0,19.0,1.0,143.0,89.0,3.0,30.0,3.0,5.0,2.0,5.0,3.0,16.0,42.0,1.0,42.0,13.0,11.0,9.0,3.0,34.0,110.0,17.0,1.0,21.0,126.0,3.0,1311.0,7.0,17.0,38.0,1.0,1.0,5.0
364,3.0,0.0,3.0,1.0,9.0,3.0,0.0,3.0,8.0,1.0,3.0,12.0,715.0,1.0,3.0,8.0,4.0,2.0,1.0,1.0,18.0,4.0,2.0,14.0,11.0,2.0,0.0,44.0,3.0,4.0,15.0,7.0,1.0,1.0,5.0,1.0,2.0,0.0,10.0,1.0,1.0,15.0,0.0,8.0,27.0,10.0,17.0,221.0,23.0,811.0,7.0,2.0,89.0,12.0,22.0,6.0,27.0,0.0,10.0,1.0,0.0,1.0
375,1.0,734.0,0.0,2.0,6.0,0.0,4.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,11.0,76.0,12.0,0.0,0.0,1.0,1.0,45.0,0.0,0.0,18.0,4.0,1.0,0.0,0.0,11.0,2.0,1.0,28.0,8.0,5.0,11.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,18.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,0.0,0.0,0.0,8.0,24.0,1.0,0.0,3056.0
383,1.0,5.0,5.0,4.0,2.0,1.0,0.0,0.0,1.0,5.0,1.0,5.0,4.0,0.0,3.0,5.0,6.0,20.0,0.0,0.0,1.0,3.0,2.0,1.0,55.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,5.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,11.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,15.0,6.0,1.0,1.0,0.0,6.0,4.0,2.0,0.0,3.0
385,5.0,14.0,3.0,6.0,6.0,0.0,4.0,4.0,1.0,9.0,10.0,3.0,4.0,8.0,9.0,6.0,13.0,11.0,5.0,1.0,13.0,15.0,8.0,32.0,19.0,6.0,4.0,3.0,7.0,44.0,8.0,3.0,11.0,3.0,5.0,14.0,13.0,3.0,1.0,0.0,2.0,3.0,0.0,92.0,22.0,7.0,4.0,0.0,3.0,11.0,5.0,0.0,19.0,31.0,5.0,16.0,2.0,8.0,19.0,6.0,9.0,21.0
387,3.0,2.0,0.0,0.0,1.0,0.0,94.0,0.0,1.0,0.0,0.0,9.0,4.0,0.0,0.0,9.0,2.0,5.0,260.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,197.0,2.0,3.0,7.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,6.0,0.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,13.0,0.0,20.0,0.0,1.0,7.0,7.0,4.0,3.0,1.0
