strain_id,B_noMTX_5-FC.ERG11_PIS1,B_noMTX_5-FC.HNM1_RBD2,B_noMTX_5-FC.SSH1_ERG11,B_noMTX_5-FC.ERV25_RBD2,B_noMTX_5-FC.TPO1_TPO2,B_noMTX_5-FC.HNM1_MAM33,B_noMTX_5-FC.HUG1_ADE17,B_noMTX_5-FC.ERG27_ACF2,B_noMTX_5-FC.ERG11_TPO4,B_noMTX_5-FC.PLM2_HNM1,B_noMTX_5-FC.ERV25_EMP47,B_noMTX_5-FC.ERG11_ERG5,B_noMTX_5-FC.SSH1_ORM2,B_noMTX_5-FC.SNA4_GTR2,B_noMTX_5-FC.SSH1_PIS1,B_noMTX_5-FC.SRO9_DHH1,B_noMTX_5-FC.RET2_EMP70,B_noMTX_5-FC.TPO1_TCB2,B_noMTX_5-FC.ERG11_ERV25,B_noMTX_5-FC.HNM1_TPO1,B_noMTX_5-FC.MID2_PIN2,B_noMTX_5-FC.ERV25_UIP4,B_noMTX_5-FC.TPO1_MID2,B_noMTX_5-FC.PLM2_SNA3,B_noMTX_5-FC.ALO1_UIP4,B_noMTX_5-FC.FMP45_MID2,B_noMTX_5-FC.RET2_EMP47,B_noMTX_5-FC.ADE17_HYR1,B_noMTX_5-FC.PMC1_CTR2,B_noMTX_5-FC.ERG11_MID2,B_noMTX_5-FC.HNM1_MID2,B_noMTX_5-FC.MID2_TPO4,B_noMTX_5-FC.ERV25_ERG5,B_noMTX_5-FC.ERV25_ORM2,B_noMTX_5-FC.ADE17_GIS2,B_noMTX_5-FC.SNA4_VAC8,B_noMTX_5-FC.FMP45_MEP1,B_noMTX_5-FC.SRO9_SGN1,B_noMTX_5-FC.HUG1_ALO1,B_noMTX_5-FC.RET2_SNA3,B_noMTX_5-FC.HNM1_ERG11,B_noMTX_5-FC.ERG11_HYR1,B_noMTX_5-FC.ALO1_HYR1,B_noMTX_5-FC.ERV25_PIS1,B_noMTX_5-FC.MID2_TPO2,B_noMTX_5-FC.HNM1_TPO4,B_noMTX_5-FC.DHH1_LSM3,B_noMTX_5-FC.HUG1_PGM2,B_noMTX_5-FC.PMC1_GTR2,B_noMTX_5-FC.FMP45_HNM1,B_noMTX_5-FC.noPPI_reference,B_noMTX_5-FC.ALO1_ADE17,B_noMTX_5-FC.MID2_WSC2,B_noMTX_5-FC.MID2_MAM33,B_noMTX_5-FC.SSH1_ERV25,B_noMTX_5-FC.HNM1_TPO2,B_noMTX_5-FC.ERG11_ACF2,B_noMTX_5-FC.ERG11_ORM2,B_noMTX_5-FC.GTR1_SLM4,B_noMTX_5-FC.SRO9_GIS2,B_noMTX_5-FC.ADE17_PGM2,B_noMTX_5-FC.MID2_RSN1
1040,325.0,23734.0,1017.0,183.0,252.0,420.0,176.0,209.0,255.0,568.0,1555,716.0,3421.0,290.0,834.0,324.0,22.0,365.0,108.0,204.0,1079,459.0,283.0,274.0,469.0,318.0,30.0,29.0,277.0,418.0,551.0,408.0,211.0,433.0,189.0,1298.0,225.0,1208,113.0,8.0,761.0,189.0,115.0,2142.0,873.0,248.0,270.0,259.0,273.0,462.0,187.0,351.0,193.0,603.0,523.0,536.0,351.0,200.0,64.0,496.0,170.0,363.0
1046,175.0,10.0,174.0,4.0,37.0,43.0,29.0,55.0,58.0,123.0,1128,134.0,47.0,106.0,5.0,158.0,7.0,64.0,288.0,19.0,549,71.0,35.0,13.0,58.0,66.0,11.0,170.0,91.0,368.0,131.0,133.0,120.0,83.0,276.0,5.0,218.0,135,39.0,3.0,88.0,107.0,7.0,122.0,238.0,74.0,81.0,25.0,21.0,25.0,165.0,98.0,160.0,166.0,18.0,80.0,51.0,39.0,10.0,35.0,152.0,80.0
1050,57.0,16.0,63.0,8.0,5.0,7.0,13.0,50.0,26.0,236.0,196,21.0,38.0,22.0,9.0,78.0,3.0,10.0,64.0,31.0,310,18.0,6.0,3.0,21.0,136.0,19.0,7.0,20.0,49.0,15.0,42.0,22.0,17.0,17.0,7.0,17.0,399,135.0,3.0,27.0,15.0,21.0,14.0,16.0,71.0,16.0,32.0,11.0,73.0,410.0,20.0,22.0,26.0,16.0,11.0,29.0,43.0,22.0,89.0,21.0,33.0
1065,25.0,1.0,90.0,1.0,16.0,1.0,4.0,0.0,125.0,2.0,339,1.0,0.0,13.0,2.0,53.0,0.0,60.0,0.0,2.0,69,38.0,50.0,119.0,24.0,22.0,1.0,0.0,77.0,15.0,6.0,4.0,17.0,0.0,17.0,1.0,17.0,235,10.0,1.0,18.0,6.0,3.0,2.0,11.0,3.0,6.0,5.0,43.0,1.0,77.0,10.0,3.0,21.0,3.0,1.0,26.0,83.0,2.0,35.0,0.0,5.0
1069,226.0,1397.0,4473.0,85.0,262.0,1893.0,774.0,4104.0,162.0,465.0,1020,261.0,1499.0,1478.0,1796.0,341.0,28.0,128.0,462.0,2172.0,2685,411.0,1100.0,30.0,127.0,149.0,42.0,718.0,181.0,874.0,262.0,855.0,516.0,93.0,306.0,1589.0,875.0,725,604.0,11.0,312.0,357.0,141.0,22.0,1508.0,3344.0,595.0,380.0,82.0,149.0,336.0,132.0,1112.0,1679.0,340.0,2154.0,170.0,297.0,44.0,86.0,1529.0,686.0
107,186.0,5.0,130.0,9.0,17.0,79.0,201.0,78.0,85.0,37.0,438,13.0,16.0,66.0,43.0,43.0,0.0,3.0,425.0,7.0,30,1.0,60.0,12.0,10.0,19.0,12.0,62.0,197.0,117.0,5.0,23.0,11.0,8.0,1330.0,283.0,220.0,192,299.0,1.0,13.0,19.0,4.0,10.0,12.0,6.0,20.0,186.0,20.0,21.0,163.0,7.0,3.0,18.0,7.0,71.0,25.0,91.0,9.0,22.0,94.0,12.0
113,96.0,14.0,297.0,41.0,5.0,54.0,2.0,65.0,84.0,10.0,61,7.0,3384.0,6.0,53.0,5.0,12.0,2.0,16.0,8.0,148,4.0,8.0,7.0,107.0,26.0,2.0,2.0,2.0,89.0,4.0,4.0,13.0,27.0,5.0,3.0,2.0,65,2.0,2.0,15.0,12.0,8.0,2.0,92.0,9.0,39.0,23.0,7.0,21.0,834.0,6.0,12.0,7.0,7.0,5.0,147.0,4.0,6.0,89.0,1.0,22.0
119,2.0,8.0,7.0,2.0,3.0,6.0,0.0,1.0,3.0,2.0,45,0.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,52,2.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,7.0,2.0,1.0,7.0,59,0.0,2.0,1.0,4.0,8.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0
124,85.0,9.0,165.0,4.0,76.0,26.0,67.0,3.0,171.0,75.0,29,49.0,50.0,10.0,3.0,123.0,2.0,239.0,23.0,32.0,222,61.0,92.0,4.0,63.0,39.0,4.0,3.0,124.0,72.0,37.0,13.0,6.0,62.0,2.0,4.0,63.0,93,30.0,3.0,69.0,83.0,6.0,2.0,88.0,123.0,13.0,51.0,10.0,17.0,94.0,121.0,7.0,34.0,29.0,56.0,16.0,47.0,5.0,29.0,6.0,32.0
128,93.0,1250.0,448.0,299.0,390.0,460.0,849.0,850.0,83.0,83.0,3799,76.0,976.0,58.0,154.0,189.0,16.0,278.0,83.0,314.0,1099,419.0,864.0,96.0,259.0,79.0,22.0,272.0,814.0,133.0,418.0,230.0,501.0,162.0,51.0,15.0,294.0,847,1102.0,9.0,641.0,68.0,184.0,121.0,456.0,480.0,75.0,659.0,256.0,39.0,613.0,293.0,340.0,415.0,96.0,419.0,121.0,38.0,21.0,223.0,121.0,116.0
132,298.0,1110.0,750.0,16.0,247.0,323.0,1210.0,212.0,276.0,130.0,2361,471.0,861.0,497.0,125.0,497.0,19.0,199.0,85.0,325.0,323,791.0,1114.0,6.0,358.0,27.0,34.0,348.0,569.0,161.0,171.0,130.0,267.0,596.0,347.0,365.0,495.0,755,499.0,10.0,208.0,114.0,60.0,611.0,185.0,578.0,195.0,508.0,179.0,192.0,355.0,172.0,27.0,166.0,76.0,451.0,208.0,129.0,11.0,102.0,356.0,99.0
133,69.0,8.0,255.0,1.0,60.0,45.0,2.0,4.0,65.0,9.0,97,65.0,1627.0,153.0,745.0,35.0,5.0,22.0,57.0,6.0,76,115.0,109.0,254.0,78.0,20.0,35.0,97.0,149.0,141.0,6.0,2.0,83.0,305.0,1872.0,9.0,221.0,31,3.0,2.0,15.0,7.0,0.0,9.0,31.0,27.0,173.0,10.0,6.0,23.0,280.0,90.0,1.0,173.0,73.0,7.0,72.0,118.0,8.0,12.0,13.0,83.0
136,42.0,4.0,51.0,2.0,2.0,26.0,12.0,86.0,26.0,53.0,170,85.0,59.0,46.0,76.0,17.0,0.0,54.0,4.0,9.0,128,73.0,56.0,2.0,23.0,58.0,1.0,0.0,49.0,38.0,26.0,12.0,18.0,20.0,2.0,2.0,50.0,1220,13.0,1.0,16.0,9.0,8.0,7.0,35.0,3.0,6.0,19.0,19.0,9.0,162.0,450.0,3.0,9.0,22.0,29.0,23.0,131.0,888.0,14.0,0.0,23.0
14,555.0,325.0,1489.0,9.0,5.0,126.0,592.0,158.0,990.0,312.0,931,697.0,483.0,109.0,198.0,209.0,3.0,2.0,563.0,170.0,489,24.0,8.0,120.0,41.0,56.0,13.0,20.0,25.0,175.0,175.0,156.0,245.0,613.0,24.0,164.0,80.0,830,100.0,8.0,98.0,666.0,105.0,1079.0,338.0,190.0,180.0,73.0,64.0,161.0,340.0,48.0,4.0,105.0,221.0,67.0,1489.0,603.0,21.0,159.0,155.0,38.0
146,1504.0,5790.0,4508.0,121.0,783.0,2111.0,684.0,1163.0,960.0,1756.0,8774,1344.0,4874.0,1817.0,4683.0,1072.0,93.0,915.0,1614.0,3641.0,5253,1810.0,5482.0,8911.0,967.0,776.0,120.0,894.0,1609.0,1504.0,1267.0,1038.0,2292.0,533.0,593.0,1299.0,2534.0,15069,361.0,45.0,1133.0,1331.0,1197.0,1918.0,2648.0,4745.0,2253.0,684.0,602.0,787.0,537.0,1383.0,1106.0,1946.0,714.0,2442.0,1045.0,735.0,214.0,1066.0,896.0,1105.0
15,116.0,9.0,489.0,7.0,47.0,23.0,309.0,140.0,20.0,74.0,572,57.0,737.0,37.0,99.0,39.0,6.0,303.0,681.0,21.0,154,75.0,199.0,11.0,104.0,25.0,15.0,156.0,105.0,49.0,59.0,56.0,83.0,297.0,279.0,7.0,74.0,137,224.0,4.0,37.0,43.0,44.0,109.0,101.0,77.0,8.0,96.0,9.0,49.0,102.0,127.0,7.0,43.0,49.0,4.0,9.0,63.0,7.0,36.0,1.0,29.0
151,49.0,21.0,80.0,2.0,66.0,13.0,9.0,22.0,74.0,20.0,1528,65.0,12.0,30.0,13.0,170.0,4.0,51.0,89.0,63.0,115,19.0,74.0,2.0,58.0,28.0,7.0,1.0,24.0,83.0,20.0,50.0,4.0,23.0,1.0,4.0,70.0,1031,6.0,4.0,18.0,81.0,11.0,7.0,15.0,15.0,39.0,1.0,5.0,112.0,97.0,13.0,3.0,38.0,11.0,5.0,16.0,28.0,206.0,89.0,2.0,33.0
153,223.0,8.0,643.0,43.0,2.0,35.0,136.0,75.0,107.0,127.0,2283,437.0,1444.0,34.0,244.0,279.0,7.0,3.0,287.0,35.0,414,134.0,2.0,3.0,146.0,120.0,8.0,251.0,215.0,209.0,63.0,120.0,115.0,1269.0,5.0,6.0,129.0,2088,34.0,2.0,62.0,148.0,47.0,386.0,130.0,35.0,46.0,159.0,76.0,153.0,164.0,277.0,4.0,75.0,131.0,18.0,55.0,243.0,17.0,156.0,7.0,63.0
17,1.0,10.0,3.0,0.0,2.0,2.0,1.0,1.0,4.0,0.0,37,1.0,1.0,5.0,4.0,2.0,1.0,2.0,6.0,2.0,17,1.0,4.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,5.0,1.0,1.0,2.0,38,1.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0
171,11.0,78.0,68.0,276.0,8.0,8.0,48.0,4.0,6.0,96.0,121,20.0,289.0,24.0,11.0,6.0,7.0,6.0,8.0,7.0,196,45.0,5.0,4.0,5.0,67.0,498.0,7.0,7.0,28.0,32.0,19.0,27.0,8.0,6.0,8.0,34.0,79,8.0,109.0,33.0,13.0,4.0,9.0,59.0,59.0,10.0,14.0,1.0,22.0,8.0,24.0,18.0,30.0,5.0,18.0,24.0,27.0,316.0,14.0,4.0,40.0
175,29.0,4.0,8.0,8.0,5.0,5.0,90.0,17.0,43.0,4.0,528,7.0,14.0,59.0,31.0,117.0,4.0,20.0,83.0,114.0,417,22.0,45.0,2.0,196.0,18.0,15.0,10.0,385.0,7.0,19.0,166.0,6.0,9.0,1.0,1.0,66.0,613,50.0,2.0,3.0,6.0,16.0,9.0,221.0,5.0,7.0,59.0,30.0,14.0,274.0,3.0,3.0,38.0,2.0,3.0,3.0,64.0,2.0,59.0,4.0,31.0
180,125.0,204.0,323.0,400.0,4.0,56.0,15.0,2.0,214.0,51.0,1025,147.0,1412.0,74.0,415.0,258.0,7.0,2.0,100.0,86.0,650,38.0,3.0,1184.0,72.0,603.0,15.0,3.0,58.0,180.0,36.0,104.0,29.0,673.0,530.0,1.0,100.0,1627,14.0,1.0,67.0,115.0,15.0,1570.0,157.0,12.0,18.0,19.0,24.0,147.0,127.0,134.0,402.0,204.0,42.0,27.0,69.0,94.0,22.0,499.0,10.0,58.0
180_2,459.0,24.0,829.0,1911.0,11.0,102.0,45.0,1.0,140.0,176.0,504,393.0,3764.0,103.0,1196.0,737.0,23.0,5.0,1225.0,122.0,1222,57.0,8.0,41.0,97.0,2068.0,12.0,16.0,52.0,297.0,37.0,94.0,70.0,2283.0,297.0,8.0,114.0,2822,39.0,2.0,102.0,160.0,60.0,1411.0,178.0,83.0,42.0,46.0,37.0,491.0,296.0,755.0,25.0,262.0,817.0,72.0,130.0,486.0,42.0,200.0,6.0,117.0
185,2.0,11.0,14.0,14.0,3.0,8.0,1.0,7.0,6.0,5.0,51,4.0,4.0,5.0,7.0,1.0,2.0,1.0,12.0,6.0,30,7.0,5.0,4.0,8.0,6.0,0.0,2.0,14.0,4.0,6.0,4.0,10.0,12.0,5.0,2.0,5.0,97,9.0,0.0,5.0,2.0,9.0,29.0,7.0,4.0,4.0,7.0,10.0,6.0,1.0,4.0,3.0,4.0,5.0,5.0,2.0,5.0,9.0,7.0,2.0,3.0
187,33.0,2.0,138.0,4.0,4.0,32.0,72.0,45.0,52.0,1.0,2761,32.0,34.0,106.0,3.0,42.0,0.0,9.0,16.0,15.0,186,513.0,9.0,9.0,151.0,111.0,2.0,194.0,164.0,88.0,63.0,31.0,333.0,19.0,79.0,5.0,258.0,710,197.0,1.0,35.0,18.0,17.0,9.0,22.0,30.0,10.0,208.0,41.0,26.0,228.0,291.0,4.0,29.0,6.0,46.0,5.0,34.0,4.0,25.0,101.0,21.0
188,143.0,9815.0,40.0,9.0,420.0,58.0,344.0,21.0,179.0,274.0,67,170.0,12.0,243.0,11.0,101.0,16.0,528.0,31.0,66.0,711,58.0,806.0,18.0,73.0,198.0,21.0,18.0,673.0,133.0,43.0,289.0,12.0,20.0,8.0,787.0,231.0,669,109.0,4.0,61.0,20.0,12.0,256.0,270.0,11.0,26.0,461.0,128.0,242.0,478.0,80.0,32.0,271.0,40.0,8.0,80.0,44.0,11.0,92.0,7.0,200.0
192,23.0,14.0,109.0,12.0,11.0,22.0,2.0,29.0,16.0,5.0,894,5.0,15.0,19.0,117.0,7.0,151.0,3.0,211.0,31.0,337,41.0,4.0,7.0,8.0,5.0,435.0,11.0,5.0,101.0,4.0,68.0,8.0,749.0,119.0,6.0,7.0,268,2.0,48.0,21.0,23.0,18.0,711.0,363.0,18.0,31.0,5.0,5.0,6.0,83.0,11.0,96.0,27.0,42.0,17.0,7.0,13.0,23.0,18.0,7.0,67.0
20,24.0,3.0,48.0,0.0,2.0,9.0,2.0,0.0,137.0,33.0,170,115.0,18.0,67.0,4.0,100.0,0.0,0.0,281.0,16.0,67,2.0,0.0,0.0,36.0,20.0,2.0,5.0,1.0,49.0,23.0,24.0,330.0,18.0,4.0,1.0,335.0,860,3.0,0.0,23.0,2.0,3.0,3.0,8.0,4.0,3.0,2.0,3.0,86.0,390.0,2.0,5.0,3.0,12.0,6.0,3.0,45.0,5.0,118.0,2.0,16.0
209,51.0,6.0,272.0,834.0,12.0,55.0,189.0,47.0,5.0,62.0,999,110.0,95.0,73.0,12.0,64.0,2.0,0.0,6.0,160.0,325,75.0,5.0,3.0,64.0,39.0,3.0,321.0,10.0,130.0,19.0,58.0,50.0,17.0,18.0,10.0,135.0,543,19.0,1.0,35.0,113.0,11.0,4.0,306.0,54.0,25.0,69.0,9.0,21.0,137.0,88.0,113.0,49.0,69.0,62.0,46.0,91.0,785.0,15.0,30.0,70.0
210,27.0,8.0,141.0,4.0,4.0,5.0,0.0,0.0,13.0,2.0,58,9.0,65.0,16.0,14.0,3.0,0.0,1.0,3.0,7.0,66,6.0,0.0,3.0,10.0,3.0,5.0,2.0,15.0,11.0,17.0,36.0,7.0,12.0,3.0,10.0,9.0,267,3.0,1.0,9.0,2.0,10.0,9.0,88.0,2.0,10.0,1.0,5.0,7.0,123.0,12.0,296.0,5.0,55.0,10.0,7.0,5.0,6.0,13.0,3.0,1.0
226,73.0,6.0,74.0,5.0,14.0,22.0,99.0,0.0,58.0,25.0,993,43.0,8.0,105.0,3.0,19.0,2.0,29.0,38.0,18.0,507,53.0,9.0,20.0,67.0,36.0,3.0,3.0,271.0,125.0,116.0,99.0,69.0,53.0,25.0,4.0,93.0,439,126.0,1.0,85.0,37.0,10.0,103.0,108.0,28.0,15.0,72.0,39.0,58.0,112.0,48.0,16.0,92.0,14.0,65.0,26.0,57.0,90.0,32.0,1.0,27.0
235,13.0,4.0,63.0,2.0,1.0,5.0,82.0,2.0,67.0,4.0,263,0.0,384.0,18.0,7.0,3.0,4.0,0.0,3.0,7.0,33,16.0,0.0,2.0,39.0,181.0,2.0,1.0,104.0,65.0,0.0,7.0,16.0,9.0,0.0,2.0,2.0,85,3.0,1.0,1.0,0.0,1.0,0.0,123.0,3.0,1.0,7.0,12.0,4.0,99.0,5.0,1.0,96.0,14.0,0.0,2.0,8.0,6.0,10.0,1.0,7.0
240,2.0,5.0,3.0,3.0,2.0,13.0,2.0,1.0,6.0,2.0,708,0.0,3.0,3.0,7.0,2.0,2.0,1.0,11.0,14.0,97,24.0,0.0,0.0,6.0,1.0,6.0,0.0,5.0,2.0,1.0,3.0,0.0,76.0,3.0,0.0,1.0,36,0.0,2.0,0.0,5.0,3.0,903.0,8.0,2.0,1.0,10.0,1.0,1.0,71.0,11.0,2.0,1.0,6.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0
248,7.0,6.0,50.0,3.0,2.0,21.0,2.0,0.0,1.0,7.0,33,1.0,8.0,55.0,5.0,2.0,1.0,0.0,5.0,8.0,182,7.0,1.0,4.0,9.0,57.0,0.0,2.0,1.0,54.0,22.0,12.0,15.0,7.0,4.0,1.0,0.0,112,7.0,2.0,4.0,4.0,3.0,1.0,19.0,10.0,3.0,15.0,7.0,3.0,119.0,7.0,4.0,25.0,33.0,18.0,6.0,13.0,6.0,3.0,255.0,12.0
250,3.0,16.0,109.0,2.0,1.0,54.0,2.0,24.0,7.0,2.0,486,9.0,51.0,6.0,206.0,7.0,0.0,1.0,2.0,13.0,25,28.0,0.0,4.0,15.0,9.0,2.0,0.0,2.0,5.0,6.0,0.0,7.0,79.0,0.0,2.0,60.0,43,1.0,0.0,0.0,17.0,2.0,0.0,5.0,5.0,65.0,10.0,3.0,4.0,92.0,1.0,27.0,6.0,21.0,24.0,1.0,3.0,4.0,8.0,1.0,21.0
