strain_id,A_noMTX_noDrug.ERV25_RBD2,A_noMTX_noDrug.SRO9_SGN1,A_noMTX_noDrug.MID2_PIN2,A_noMTX_noDrug.MID2_TPO2,A_noMTX_noDrug.PLM2_HNM1,A_noMTX_noDrug.ERV25_UIP4,A_noMTX_noDrug.ERG27_ACF2,A_noMTX_noDrug.HNM1_RBD2,A_noMTX_noDrug.HNM1_TPO1,A_noMTX_noDrug.PMC1_GTR2,A_noMTX_noDrug.HNM1_TPO4,A_noMTX_noDrug.ADE17_HYR1,A_noMTX_noDrug.DHH1_LSM3,A_noMTX_noDrug.MID2_RSN1,A_noMTX_noDrug.TPO1_TCB2,A_noMTX_noDrug.HNM1_MAM33,A_noMTX_noDrug.RET2_SNA3,A_noMTX_noDrug.MID2_MAM33,A_noMTX_noDrug.ERG11_HYR1,A_noMTX_noDrug.HUG1_ALO1,A_noMTX_noDrug.ERG11_ERG5,A_noMTX_noDrug.HUG1_ADE17,A_noMTX_noDrug.ERG11_ACF2,A_noMTX_noDrug.RET2_EMP70,A_noMTX_noDrug.ERG11_MID2,A_noMTX_noDrug.TPO1_MID2,A_noMTX_noDrug.ERG11_PIS1,A_noMTX_noDrug.FMP45_HNM1,A_noMTX_noDrug.SNA4_VAC8,A_noMTX_noDrug.ERV25_PIS1,A_noMTX_noDrug.SNA4_GTR2,A_noMTX_noDrug.ADE17_GIS2,A_noMTX_noDrug.GTR1_SLM4,A_noMTX_noDrug.noPPI_reference,A_noMTX_noDrug.MID2_TPO4,A_noMTX_noDrug.MID2_WSC2,A_noMTX_noDrug.SSH1_ERG11,A_noMTX_noDrug.SSH1_ERV25,A_noMTX_noDrug.RET2_EMP47,A_noMTX_noDrug.TPO1_TPO2,A_noMTX_noDrug.SRO9_DHH1,A_noMTX_noDrug.ERV25_ERG5,A_noMTX_noDrug.ERG11_TPO4,A_noMTX_noDrug.PMC1_CTR2,A_noMTX_noDrug.HNM1_MID2,A_noMTX_noDrug.ALO1_HYR1,A_noMTX_noDrug.ALO1_UIP4,A_noMTX_noDrug.PLM2_SNA3,A_noMTX_noDrug.FMP45_MEP1,A_noMTX_noDrug.ERG11_ORM2,A_noMTX_noDrug.ERV25_EMP47,A_noMTX_noDrug.SSH1_PIS1,A_noMTX_noDrug.ALO1_ADE17,A_noMTX_noDrug.HNM1_ERG11,A_noMTX_noDrug.ADE17_PGM2,A_noMTX_noDrug.HNM1_TPO2,A_noMTX_noDrug.ERV25_ORM2,A_noMTX_noDrug.FMP45_MID2,A_noMTX_noDrug.HUG1_PGM2,A_noMTX_noDrug.SRO9_GIS2,A_noMTX_noDrug.SSH1_ORM2,A_noMTX_noDrug.ERG11_ERV25
1040,116.0,435.0,619.0,172.0,655.0,165.0,366.0,1132.0,455.0,354.0,247.0,22.0,1355.0,202.0,179.0,203.0,11.0,450.0,132.0,341.0,729.0,148.0,506.0,16.0,320.0,129.0,84.0,179.0,479.0,799.0,572.0,137.0,35.0,39.0,261.0,27.0,64.0,1578.0,15.0,311.0,128.0,344.0,311.0,107.0,134.0,91.0,415.0,369.0,96.0,179.0,1091.0,933.0,235.0,353.0,191.0,561.0,511.0,690.0,356.0,360.0,1625.0,84.0
1046,4.0,26.0,171.0,39.0,68.0,18.0,89.0,7.0,15.0,23.0,58.0,94.0,651.0,39.0,55.0,91.0,1.0,100.0,180.0,109.0,114.0,9.0,60.0,4.0,109.0,15.0,29.0,12.0,6.0,59.0,298.0,107.0,3.0,8.0,42.0,53.0,4.0,14.0,0.0,48.0,118.0,193.0,73.0,11.0,9.0,4.0,11.0,0.0,192.0,100.0,476.0,1.0,120.0,33.0,48.0,73.0,82.0,137.0,28.0,19.0,75.0,280.0
1050,8.0,105.0,106.0,4.0,102.0,3.0,242.0,4.0,23.0,13.0,141.0,6.0,36.0,24.0,3.0,3.0,7.0,65.0,68.0,284.0,155.0,14.0,28.0,3.0,22.0,10.0,27.0,36.0,3.0,4.0,53.0,37.0,9.0,39.0,14.0,6.0,4.0,5.0,6.0,2.0,43.0,29.0,38.0,11.0,9.0,1.0,9.0,5.0,24.0,39.0,50.0,4.0,9.0,22.0,53.0,12.0,13.0,210.0,125.0,124.0,30.0,27.0
1065,2.0,107.0,80.0,9.0,3.0,16.0,18.0,1.0,0.0,38.0,4.0,2.0,55.0,21.0,35.0,3.0,0.0,41.0,111.0,16.0,16.0,2.0,209.0,1.0,1.0,72.0,8.0,1.0,0.0,1.0,85.0,33.0,2.0,4.0,6.0,2.0,1.0,1.0,1.0,77.0,35.0,21.0,148.0,33.0,1.0,0.0,38.0,13.0,63.0,57.0,216.0,3.0,9.0,6.0,1.0,2.0,2.0,88.0,6.0,67.0,1.0,4.0
1069,79.0,269.0,1461.0,229.0,448.0,100.0,4347.0,139.0,2659.0,152.0,2542.0,1117.0,3631.0,457.0,55.0,3194.0,9.0,1082.0,429.0,585.0,339.0,250.0,302.0,14.0,419.0,210.0,57.0,31.0,285.0,34.0,2462.0,232.0,26.0,31.0,436.0,486.0,89.0,640.0,15.0,226.0,128.0,1247.0,106.0,105.0,17.0,80.0,16.0,15.0,452.0,280.0,475.0,1212.0,62.0,92.0,1107.0,3823.0,127.0,156.0,331.0,28.0,1214.0,367.0
107,2.0,36.0,4.0,8.0,23.0,0.0,49.0,2.0,1.0,18.0,21.0,25.0,17.0,7.0,1.0,4.0,0.0,3.0,48.0,151.0,33.0,25.0,38.0,3.0,72.0,15.0,26.0,4.0,31.0,4.0,56.0,1570.0,4.0,3.0,5.0,1.0,1.0,1.0,5.0,9.0,20.0,50.0,57.0,28.0,3.0,2.0,4.0,1.0,118.0,50.0,129.0,0.0,1.0,2.0,86.0,5.0,2.0,85.0,172.0,10.0,0.0,97.0
113,43.0,13.0,126.0,19.0,5.0,2.0,214.0,6.0,2.0,15.0,3.0,3.0,21.0,26.0,3.0,181.0,2.0,22.0,27.0,3.0,8.0,3.0,213.0,7.0,115.0,2.0,38.0,0.0,3.0,5.0,4.0,9.0,1.0,118.0,3.0,2.0,19.0,3.0,0.0,21.0,3.0,5.0,5.0,3.0,2.0,4.0,490.0,0.0,10.0,7.0,31.0,20.0,6.0,15.0,2.0,1.0,30.0,10.0,15.0,31.0,1323.0,9.0
119,1.0,19.0,14.0,0.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,7.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,12.0,7.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,26.0,1.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,4.0,0.0
124,4.0,24.0,80.0,22.0,43.0,29.0,6.0,5.0,97.0,30.0,135.0,5.0,12.0,16.0,82.0,49.0,5.0,62.0,169.0,66.0,90.0,28.0,27.0,3.0,57.0,87.0,16.0,12.0,3.0,1.0,11.0,4.0,0.0,6.0,10.0,0.0,2.0,20.0,4.0,97.0,73.0,14.0,65.0,25.0,1.0,3.0,36.0,0.0,145.0,15.0,12.0,2.0,86.0,17.0,2.0,54.0,58.0,10.0,73.0,25.0,111.0,9.0
128,341.0,372.0,250.0,78.0,68.0,71.0,758.0,50.0,153.0,198.0,109.0,261.0,57.0,71.0,111.0,406.0,2.0,163.0,79.0,674.0,95.0,352.0,86.0,5.0,54.0,144.0,15.0,2.0,9.0,50.0,54.0,21.0,14.0,18.0,108.0,46.0,17.0,144.0,6.0,159.0,53.0,291.0,47.0,105.0,24.0,80.0,100.0,24.0,116.0,25.0,1157.0,48.0,134.0,134.0,106.0,323.0,102.0,115.0,385.0,121.0,133.0,8.0
132,19.0,668.0,312.0,89.0,127.0,205.0,400.0,82.0,335.0,305.0,673.0,419.0,1084.0,73.0,88.0,586.0,9.0,127.0,589.0,259.0,904.0,362.0,536.0,14.0,193.0,414.0,124.0,37.0,128.0,218.0,1183.0,344.0,15.0,25.0,75.0,38.0,41.0,247.0,22.0,221.0,278.0,582.0,378.0,184.0,14.0,69.0,249.0,2.0,294.0,316.0,1224.0,45.0,116.0,90.0,472.0,546.0,466.0,85.0,303.0,197.0,626.0,113.0
133,4.0,66.0,110.0,61.0,6.0,92.0,1.0,2.0,4.0,31.0,10.0,73.0,482.0,28.0,18.0,56.0,2.0,128.0,7.0,1.0,153.0,2.0,49.0,6.0,78.0,38.0,56.0,10.0,6.0,16.0,206.0,2282.0,5.0,29.0,3.0,3.0,72.0,64.0,14.0,81.0,27.0,150.0,54.0,30.0,5.0,1.0,26.0,8.0,73.0,147.0,20.0,686.0,39.0,9.0,19.0,3.0,518.0,9.0,13.0,9.0,381.0,2.0
136,1.0,1307.0,49.0,7.0,61.0,16.0,154.0,2.0,4.0,68.0,2.0,3.0,3.0,38.0,29.0,20.0,3.0,25.0,44.0,52.0,147.0,19.0,127.0,1.0,51.0,13.0,13.0,34.0,2.0,5.0,120.0,5.0,337.0,30.0,8.0,4.0,2.0,58.0,6.0,11.0,22.0,72.0,39.0,13.0,6.0,1.0,68.0,6.0,56.0,112.0,149.0,22.0,499.0,12.0,5.0,36.0,27.0,391.0,91.0,16.0,27.0,4.0
14,8.0,460.0,370.0,130.0,306.0,29.0,392.0,76.0,160.0,105.0,111.0,47.0,906.0,52.0,8.0,235.0,13.0,180.0,2633.0,136.0,1046.0,411.0,2524.0,13.0,181.0,15.0,446.0,207.0,86.0,192.0,388.0,27.0,24.0,50.0,174.0,9.0,131.0,196.0,18.0,18.0,164.0,532.0,1695.0,23.0,59.0,32.0,57.0,111.0,102.0,674.0,484.0,539.0,38.0,148.0,160.0,88.0,1007.0,224.0,126.0,406.0,549.0,773.0
146,131.0,4381.0,3151.0,513.0,1240.0,504.0,1509.0,605.0,2727.0,794.0,1898.0,1152.0,8502.0,721.0,448.0,2731.0,11.0,1202.0,1363.0,385.0,1750.0,224.0,1391.0,37.0,661.0,970.0,219.0,197.0,492.0,597.0,2504.0,428.0,75.0,72.0,662.0,758.0,190.0,797.0,40.0,510.0,576.0,2732.0,872.0,414.0,143.0,638.0,641.0,1475.0,1235.0,813.0,5173.0,2441.0,885.0,482.0,678.0,2121.0,751.0,1186.0,400.0,1067.0,1241.0,682.0
15,6.0,63.0,75.0,16.0,107.0,58.0,171.0,5.0,5.0,14.0,66.0,36.0,3.0,18.0,86.0,13.0,3.0,27.0,79.0,296.0,74.0,83.0,17.0,10.0,58.0,135.0,43.0,16.0,3.0,64.0,118.0,63.0,4.0,11.0,22.0,1.0,14.0,43.0,4.0,103.0,38.0,163.0,11.0,24.0,5.0,15.0,120.0,2.0,59.0,75.0,155.0,85.0,66.0,18.0,3.0,10.0,418.0,33.0,137.0,30.0,258.0,173.0
151,5.0,191.0,59.0,1.0,19.0,2.0,79.0,2.0,156.0,21.0,9.0,3.0,165.0,17.0,28.0,7.0,2.0,13.0,99.0,17.0,148.0,2.0,91.0,1.0,51.0,45.0,3.0,11.0,0.0,5.0,30.0,1.0,30.0,6.0,9.0,2.0,5.0,22.0,5.0,29.0,41.0,6.0,88.0,10.0,0.0,3.0,33.0,1.0,46.0,31.0,521.0,4.0,11.0,3.0,9.0,2.0,10.0,37.0,8.0,89.0,35.0,130.0
153,53.0,832.0,148.0,32.0,148.0,83.0,162.0,4.0,149.0,153.0,17.0,101.0,124.0,47.0,2.0,71.0,2.0,31.0,324.0,108.0,540.0,74.0,148.0,5.0,112.0,7.0,57.0,23.0,3.0,91.0,27.0,7.0,1.0,9.0,47.0,4.0,36.0,296.0,1.0,2.0,133.0,103.0,101.0,64.0,9.0,30.0,187.0,2.0,300.0,333.0,706.0,74.0,170.0,34.0,1.0,73.0,632.0,126.0,210.0,168.0,527.0,248.0
17,4.0,14.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,7.0,1.0,2.0,2.0,0.0,3.0,12.0,1.0,10.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,17.0,2.0,0.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,3.0,4.0
171,224.0,27.0,62.0,8.0,53.0,23.0,12.0,12.0,5.0,10.0,79.0,8.0,26.0,6.0,5.0,3.0,48.0,7.0,38.0,5.0,88.0,14.0,56.0,4.0,18.0,9.0,6.0,7.0,3.0,5.0,38.0,5.0,39.0,5.0,7.0,7.0,2.0,5.0,265.0,2.0,0.0,40.0,6.0,4.0,2.0,5.0,5.0,1.0,51.0,13.0,48.0,7.0,6.0,23.0,6.0,16.0,25.0,42.0,19.0,8.0,22.0,1.0
175,2.0,113.0,183.0,35.0,0.0,11.0,37.0,0.0,101.0,20.0,3.0,8.0,7.0,36.0,12.0,1.0,0.0,23.0,6.0,125.0,29.0,46.0,1.0,2.0,14.0,29.0,6.0,1.0,2.0,3.0,44.0,2.0,3.0,9.0,33.0,1.0,2.0,2.0,2.0,24.0,62.0,3.0,27.0,29.0,2.0,10.0,130.0,0.0,68.0,152.0,152.0,19.0,2.0,5.0,2.0,2.0,5.0,76.0,143.0,52.0,29.0,35.0
17_2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,69.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,7.0,0.0
180,323.0,835.0,238.0,15.0,67.0,14.0,0.0,8.0,106.0,33.0,4.0,8.0,4.0,65.0,0.0,48.0,0.0,133.0,142.0,16.0,303.0,6.0,124.0,4.0,186.0,2.0,64.0,23.0,1.0,698.0,137.0,151.0,5.0,18.0,45.0,97.0,7.0,237.0,6.0,2.0,73.0,60.0,121.0,31.0,3.0,3.0,72.0,315.0,358.0,251.0,296.0,371.0,57.0,32.0,4.0,13.0,350.0,241.0,25.0,167.0,490.0,56.0
180_2,2128.0,2426.0,492.0,31.0,90.0,58.0,10.0,8.0,54.0,117.0,42.0,20.0,34.0,39.0,1.0,57.0,3.0,270.0,294.0,110.0,596.0,50.0,197.0,19.0,267.0,9.0,256.0,217.0,6.0,298.0,112.0,95.0,27.0,43.0,46.0,10.0,122.0,662.0,8.0,9.0,542.0,91.0,73.0,47.0,11.0,35.0,261.0,65.0,355.0,432.0,142.0,697.0,345.0,149.0,10.0,208.0,1829.0,1627.0,97.0,99.0,1464.0,1168.0
185,11.0,12.0,13.0,3.0,5.0,4.0,11.0,0.0,4.0,5.0,6.0,2.0,7.0,4.0,0.0,8.0,0.0,2.0,7.0,5.0,23.0,0.0,10.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,15.0,2.0,3.0,0.0,2.0,2.0,0.0,9.0,1.0,3.0,3.0,19.0,9.0,6.0,2.0,2.0,6.0,2.0,6.0,9.0,21.0,2.0,2.0,0.0,4.0,11.0,12.0,25.0,5.0,4.0,9.0,7.0
187,3.0,186.0,96.0,8.0,5.0,84.0,54.0,0.0,50.0,46.0,10.0,300.0,56.0,18.0,3.0,21.0,4.0,3.0,56.0,92.0,44.0,29.0,33.0,0.0,21.0,2.0,7.0,4.0,1.0,1.0,211.0,88.0,1.0,3.0,16.0,4.0,12.0,32.0,1.0,4.0,9.0,368.0,88.0,45.0,1.0,11.0,80.0,1.0,167.0,48.0,2342.0,2.0,154.0,4.0,148.0,78.0,19.0,85.0,146.0,24.0,60.0,29.0
188,10.0,160.0,290.0,109.0,389.0,13.0,12.0,599.0,128.0,113.0,7.0,5.0,101.0,158.0,249.0,12.0,4.0,171.0,7.0,179.0,344.0,179.0,74.0,10.0,161.0,247.0,30.0,56.0,330.0,43.0,265.0,10.0,4.0,19.0,128.0,6.0,8.0,59.0,9.0,311.0,29.0,14.0,85.0,165.0,15.0,1.0,64.0,20.0,168.0,71.0,14.0,5.0,32.0,38.0,4.0,9.0,14.0,390.0,252.0,29.0,10.0,31.0
192,15.0,85.0,135.0,49.0,4.0,45.0,88.0,4.0,11.0,4.0,6.0,6.0,104.0,37.0,6.0,7.0,8.0,28.0,16.0,1.0,35.0,2.0,5.0,144.0,19.0,4.0,11.0,2.0,1.0,91.0,18.0,33.0,6.0,20.0,26.0,34.0,19.0,14.0,291.0,12.0,4.0,8.0,5.0,4.0,0.0,11.0,11.0,6.0,6.0,20.0,281.0,122.0,8.0,49.0,5.0,16.0,206.0,18.0,7.0,2.0,43.0,326.0
20,1.0,152.0,28.0,1.0,66.0,0.0,2.0,2.0,15.0,2.0,3.0,3.0,1.0,29.0,1.0,9.0,1.0,7.0,111.0,0.0,70.0,1.0,1.0,3.0,26.0,3.0,5.0,2.0,0.0,1.0,83.0,0.0,0.0,6.0,17.0,1.0,7.0,82.0,1.0,1.0,9.0,257.0,129.0,1.0,0.0,1.0,10.0,0.0,88.0,25.0,73.0,2.0,3.0,3.0,0.0,0.0,9.0,17.0,0.0,34.0,51.0,8.0
209,1001.0,419.0,82.0,29.0,27.0,20.0,66.0,4.0,72.0,9.0,44.0,159.0,14.0,20.0,5.0,111.0,1.0,37.0,54.0,47.0,99.0,175.0,59.0,2.0,74.0,4.0,22.0,6.0,1.0,1.0,99.0,11.0,85.0,18.0,13.0,63.0,10.0,29.0,0.0,7.0,42.0,82.0,16.0,7.0,4.0,5.0,136.0,2.0,86.0,122.0,155.0,11.0,74.0,35.0,18.0,86.0,28.0,28.0,79.0,11.0,50.0,4.0
210,3.0,156.0,13.0,6.0,3.0,3.0,0.0,3.0,0.0,6.0,2.0,4.0,13.0,5.0,0.0,4.0,2.0,6.0,14.0,1.0,33.0,1.0,16.0,2.0,16.0,3.0,13.0,1.0,5.0,1.0,26.0,4.0,2.0,15.0,12.0,285.0,19.0,113.0,1.0,1.0,3.0,1.0,19.0,1.0,7.0,2.0,7.0,5.0,19.0,4.0,16.0,10.0,4.0,19.0,6.0,4.0,8.0,17.0,3.0,3.0,18.0,4.0
226,3.0,88.0,185.0,15.0,27.0,5.0,5.0,2.0,13.0,67.0,47.0,3.0,46.0,26.0,21.0,38.0,2.0,60.0,128.0,153.0,69.0,104.0,73.0,0.0,54.0,23.0,18.0,9.0,3.0,134.0,343.0,8.0,21.0,6.0,48.0,11.0,8.0,26.0,2.0,30.0,6.0,109.0,59.0,73.0,4.0,2.0,26.0,8.0,105.0,45.0,362.0,9.0,45.0,19.0,4.0,42.0,74.0,82.0,137.0,15.0,7.0,9.0
235,4.0,10.0,23.0,7.0,1.0,19.0,6.0,1.0,0.0,37.0,0.0,0.0,6.0,8.0,0.0,2.0,0.0,84.0,14.0,2.0,4.0,35.0,3.0,0.0,82.0,0.0,2.0,1.0,2.0,1.0,112.0,1.0,2.0,15.0,5.0,1.0,3.0,27.0,1.0,0.0,0.0,36.0,55.0,28.0,2.0,0.0,19.0,2.0,2.0,0.0,197.0,7.0,1.0,5.0,2.0,2.0,13.0,161.0,8.0,1.0,195.0,2.0
240,1.0,17.0,50.0,1.0,2.0,14.0,33.0,0.0,7.0,0.0,4.0,2.0,18.0,1.0,1.0,3.0,1.0,0.0,6.0,8.0,1.0,0.0,0.0,3.0,1.0,5.0,1.0,0.0,0.0,495.0,9.0,4.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,7.0,4.0,0.0,2.0,0.0,0.0,3.0,7.0,275.0,0.0,2.0,0.0,1.0,6.0,244.0,2.0,35.0,3.0,3.0,5.0
