strain_id,A_noMTX_5-FC.SNA4_VAC8,A_noMTX_5-FC.MID2_RSN1,A_noMTX_5-FC.HNM1_MAM33,A_noMTX_5-FC.ERG11_HYR1,A_noMTX_5-FC.TPO1_MID2,A_noMTX_5-FC.RET2_SNA3,A_noMTX_5-FC.ERV25_RBD2,A_noMTX_5-FC.PLM2_HNM1,A_noMTX_5-FC.SRO9_GIS2,A_noMTX_5-FC.HNM1_TPO2,A_noMTX_5-FC.ERG11_PIS1,A_noMTX_5-FC.RET2_EMP70,A_noMTX_5-FC.SSH1_PIS1,A_noMTX_5-FC.RET2_EMP47,A_noMTX_5-FC.HNM1_MID2,A_noMTX_5-FC.ERV25_ORM2,A_noMTX_5-FC.FMP45_MID2,A_noMTX_5-FC.ERV25_ERG5,A_noMTX_5-FC.HUG1_ADE17,A_noMTX_5-FC.GTR1_SLM4,A_noMTX_5-FC.ERG11_ERG5,A_noMTX_5-FC.HUG1_ALO1,A_noMTX_5-FC.MID2_MAM33,A_noMTX_5-FC.HNM1_RBD2,A_noMTX_5-FC.TPO1_TPO2,A_noMTX_5-FC.ALO1_ADE17,A_noMTX_5-FC.MID2_TPO2,A_noMTX_5-FC.MID2_PIN2,A_noMTX_5-FC.PMC1_GTR2,A_noMTX_5-FC.FMP45_HNM1,A_noMTX_5-FC.ALO1_HYR1,A_noMTX_5-FC.ADE17_GIS2,A_noMTX_5-FC.SSH1_ERG11,A_noMTX_5-FC.noPPI_reference,A_noMTX_5-FC.ERG11_ORM2,A_noMTX_5-FC.ERV25_PIS1,A_noMTX_5-FC.ERG27_ACF2,A_noMTX_5-FC.ERG11_ACF2,A_noMTX_5-FC.FMP45_MEP1,A_noMTX_5-FC.ADE17_PGM2,A_noMTX_5-FC.MID2_TPO4,A_noMTX_5-FC.ALO1_UIP4,A_noMTX_5-FC.HUG1_PGM2,A_noMTX_5-FC.HNM1_TPO1,A_noMTX_5-FC.ADE17_HYR1,A_noMTX_5-FC.MID2_WSC2,A_noMTX_5-FC.ERG11_ERV25,A_noMTX_5-FC.DHH1_LSM3,A_noMTX_5-FC.ERV25_UIP4,A_noMTX_5-FC.ERV25_EMP47,A_noMTX_5-FC.HNM1_ERG11,A_noMTX_5-FC.SNA4_GTR2,A_noMTX_5-FC.ERG11_TPO4,A_noMTX_5-FC.HNM1_TPO4,A_noMTX_5-FC.SSH1_ORM2,A_noMTX_5-FC.SSH1_ERV25,A_noMTX_5-FC.ERG11_MID2,A_noMTX_5-FC.TPO1_TCB2,A_noMTX_5-FC.SRO9_DHH1,A_noMTX_5-FC.PLM2_SNA3,A_noMTX_5-FC.PMC1_CTR2,A_noMTX_5-FC.SRO9_SGN1
1040,1020.0,249.0,290.0,260.0,119.0,11.0,181.0,576.0,537.0,516.0,743.0,17.0,987.0,17.0,1475.0,440.0,476.0,307.0,524.0,37.0,516.0,1231.0,863.0,4403.0,193.0,374.0,1811.0,1049.0,434.0,974.0,276.0,226.0,317.0,113.0,172.0,906.0,217.0,437.0,105.0,298.0,607.0,677.0,240.0,258.0,46.0,59.0,51.0,538.0,324.0,165.0,1139.0,188.0,417.0,291.0,987.0,1807.0,504.0,282.0,360.0,169.0,75.0,293.0
1046,2.0,84.0,102.0,181.0,3.0,7.0,21.0,169.0,117.0,85.0,226.0,3.0,11.0,8.0,215.0,186.0,128.0,226.0,62.0,6.0,95.0,199.0,254.0,3.0,22.0,116.0,434.0,548.0,32.0,138.0,4.0,291.0,75.0,115.0,62.0,32.0,92.0,139.0,71.0,114.0,127.0,18.0,45.0,31.0,1464.0,184.0,679.0,94.0,70.0,68.0,176.0,90.0,117.0,40.0,30.0,21.0,442.0,65.0,128.0,17.0,51.0,48.0
1050,14.0,50.0,13.0,3.0,7.0,18.0,42.0,214.0,70.0,12.0,116.0,4.0,10.0,8.0,46.0,3.0,114.0,18.0,25.0,7.0,39.0,883.0,55.0,3.0,9.0,12.0,48.0,169.0,23.0,89.0,8.0,40.0,10.0,383.0,40.0,11.0,36.0,45.0,15.0,38.0,25.0,93.0,52.0,40.0,17.0,6.0,69.0,31.0,15.0,8.0,42.0,13.0,22.0,42.0,5.0,10.0,45.0,12.0,57.0,12.0,8.0,26.0
1052,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0
1065,3.0,2.0,3.0,6.0,64.0,1.0,2.0,4.0,43.0,1.0,54.0,1.0,2.0,2.0,13.0,2.0,18.0,12.0,10.0,4.0,5.0,40.0,54.0,0.0,39.0,17.0,126.0,39.0,31.0,2.0,3.0,19.0,6.0,49.0,62.0,1.0,2.0,101.0,38.0,0.0,18.0,74.0,8.0,0.0,7.0,1.0,44.0,43.0,20.0,3.0,47.0,28.0,166.0,3.0,2.0,2.0,8.0,111.0,53.0,34.0,16.0,59.0
1069,1193.0,1034.0,3117.0,224.0,348.0,30.0,150.0,835.0,73.0,3197.0,287.0,23.0,1876.0,30.0,490.0,107.0,185.0,551.0,1846.0,17.0,266.0,3824.0,2126.0,631.0,264.0,219.0,3374.0,1990.0,204.0,245.0,295.0,246.0,882.0,194.0,306.0,53.0,3447.0,301.0,358.0,1290.0,1558.0,87.0,484.0,4029.0,7020.0,708.0,750.0,1344.0,212.0,67.0,394.0,1098.0,81.0,2561.0,395.0,1009.0,1391.0,89.0,203.0,83.0,110.0,207.0
107,248.0,10.0,105.0,45.0,27.0,8.0,44.0,33.0,9.0,86.0,295.0,13.0,58.0,1.0,18.0,1.0,31.0,31.0,732.0,3.0,25.0,2080.0,50.0,2.0,7.0,1.0,174.0,16.0,24.0,12.0,5.0,1230.0,23.0,83.0,99.0,8.0,18.0,14.0,184.0,126.0,40.0,7.0,291.0,8.0,349.0,1.0,1006.0,62.0,9.0,9.0,7.0,72.0,134.0,40.0,4.0,3.0,91.0,1.0,28.0,2.0,38.0,41.0
113,5.0,16.0,129.0,15.0,4.0,3.0,3.0,8.0,205.0,4.0,224.0,8.0,21.0,9.0,4.0,8.0,32.0,11.0,3.0,4.0,20.0,5.0,15.0,5.0,4.0,0.0,122.0,1133.0,35.0,24.0,5.0,9.0,235.0,638.0,6.0,8.0,167.0,245.0,5.0,2.0,13.0,76.0,11.0,7.0,11.0,2.0,15.0,34.0,4.0,15.0,48.0,21.0,24.0,9.0,1135.0,32.0,441.0,2.0,6.0,11.0,4.0,4.0
119,1.0,1.0,5.0,0.0,3.0,1.0,5.0,4.0,0.0,2.0,3.0,1.0,6.0,1.0,0.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,11.0,8.0,3.0,1.0,6.0,5.0,2.0,3.0,2.0,3.0,3.0,7.0,4.0,0.0,11.0,0.0,2.0,4.0,6.0,2.0,3.0,2.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,5.0,3.0,3.0,1.0,1.0,2.0,4.0
124,1.0,34.0,44.0,40.0,85.0,5.0,4.0,116.0,41.0,39.0,69.0,0.0,4.0,6.0,43.0,73.0,9.0,23.0,85.0,3.0,42.0,69.0,46.0,3.0,44.0,113.0,76.0,124.0,23.0,70.0,1.0,1.0,56.0,38.0,14.0,4.0,3.0,33.0,33.0,0.0,22.0,100.0,54.0,63.0,10.0,4.0,10.0,26.0,55.0,0.0,74.0,20.0,185.0,112.0,17.0,34.0,137.0,120.0,57.0,2.0,24.0,16.0
128,25.0,151.0,632.0,49.0,349.0,38.0,401.0,137.0,201.0,564.0,150.0,21.0,86.0,8.0,942.0,78.0,55.0,487.0,1102.0,8.0,102.0,6718.0,681.0,239.0,420.0,578.0,1186.0,970.0,378.0,72.0,842.0,31.0,144.0,455.0,49.0,104.0,776.0,136.0,246.0,110.0,419.0,283.0,960.0,468.0,2840.0,308.0,24.0,217.0,349.0,160.0,749.0,73.0,30.0,303.0,143.0,338.0,209.0,234.0,88.0,34.0,171.0,207.0
132,391.0,84.0,419.0,198.0,468.0,13.0,55.0,82.0,123.0,337.0,575.0,31.0,124.0,15.0,472.0,469.0,37.0,370.0,1960.0,13.0,407.0,1846.0,176.0,405.0,255.0,148.0,882.0,419.0,281.0,351.0,243.0,229.0,162.0,241.0,126.0,187.0,207.0,322.0,249.0,305.0,152.0,583.0,621.0,550.0,2344.0,25.0,345.0,549.0,349.0,100.0,349.0,325.0,236.0,713.0,118.0,322.0,317.0,112.0,284.0,31.0,216.0,111.0
133,20.0,29.0,117.0,3.0,35.0,4.0,8.0,5.0,10.0,3.0,143.0,3.0,586.0,11.0,97.0,189.0,11.0,310.0,9.0,2.0,69.0,1.0,378.0,4.0,107.0,85.0,80.0,145.0,23.0,62.0,3.0,1639.0,196.0,167.0,57.0,6.0,2.0,31.0,107.0,14.0,22.0,41.0,6.0,4.0,690.0,2.0,58.0,71.0,150.0,6.0,22.0,87.0,227.0,51.0,355.0,129.0,131.0,16.0,29.0,5.0,16.0,14.0
136,2.0,51.0,19.0,5.0,11.0,1.0,4.0,75.0,14.0,14.0,21.0,4.0,152.0,4.0,17.0,16.0,48.0,39.0,8.0,573.0,62.0,105.0,14.0,1.0,7.0,536.0,124.0,127.0,49.0,41.0,4.0,2.0,12.0,108.0,113.0,3.0,84.0,45.0,33.0,2.0,12.0,60.0,21.0,3.0,21.0,2.0,9.0,10.0,32.0,28.0,12.0,36.0,131.0,3.0,92.0,42.0,52.0,29.0,23.0,4.0,34.0,332.0
14,153.0,171.0,269.0,777.0,9.0,16.0,28.0,489.0,614.0,111.0,975.0,11.0,366.0,12.0,366.0,634.0,130.0,507.0,509.0,13.0,554.0,747.0,145.0,138.0,11.0,69.0,965.0,972.0,73.0,621.0,253.0,39.0,666.0,221.0,860.0,286.0,135.0,2053.0,52.0,183.0,677.0,53.0,196.0,293.0,135.0,7.0,695.0,219.0,39.0,128.0,164.0,134.0,1058.0,159.0,137.0,274.0,561.0,15.0,285.0,71.0,63.0,244.0
146,1015.0,1837.0,3009.0,1252.0,1650.0,69.0,223.0,1922.0,2057.0,2884.0,1786.0,68.0,5702.0,59.0,2284.0,461.0,684.0,3276.0,819.0,130.0,1221.0,2302.0,2419.0,2417.0,865.0,1359.0,6567.0,9623.0,898.0,1517.0,3986.0,584.0,1505.0,463.0,749.0,967.0,1127.0,1475.0,925.0,753.0,2628.0,1325.0,728.0,5924.0,7681.0,1024.0,1701.0,3343.0,1632.0,1001.0,1634.0,1061.0,1164.0,3418.0,1091.0,1303.0,2164.0,586.0,1487.0,2259.0,751.0,3474.0
15,9.0,28.0,49.0,22.0,94.0,10.0,24.0,103.0,43.0,25.0,172.0,7.0,154.0,6.0,135.0,503.0,29.0,241.0,295.0,3.0,28.0,1076.0,54.0,1.0,70.0,94.0,138.0,120.0,40.0,109.0,178.0,230.0,141.0,50.0,89.0,40.0,61.0,18.0,33.0,4.0,59.0,96.0,128.0,10.0,876.0,2.0,820.0,18.0,189.0,32.0,50.0,30.0,17.0,122.0,167.0,84.0,35.0,221.0,34.0,4.0,58.0,17.0
151,2.0,28.0,8.0,42.0,41.0,0.0,7.0,44.0,179.0,3.0,99.0,4.0,9.0,7.0,14.0,7.0,35.0,9.0,38.0,274.0,86.0,35.0,2.0,5.0,38.0,9.0,79.0,67.0,44.0,194.0,6.0,3.0,28.0,63.0,49.0,7.0,33.0,69.0,27.0,6.0,42.0,24.0,4.0,164.0,28.0,3.0,128.0,27.0,13.0,57.0,33.0,16.0,39.0,12.0,5.0,33.0,171.0,71.0,67.0,10.0,9.0,165.0
153,16.0,40.0,31.0,128.0,4.0,5.0,59.0,244.0,348.0,14.0,320.0,5.0,244.0,4.0,153.0,712.0,115.0,141.0,229.0,6.0,400.0,226.0,73.0,2.0,2.0,294.0,249.0,290.0,235.0,284.0,149.0,6.0,156.0,84.0,190.0,225.0,51.0,67.0,53.0,5.0,82.0,181.0,146.0,73.0,2115.0,5.0,552.0,62.0,160.0,100.0,76.0,56.0,71.0,26.0,414.0,563.0,332.0,0.0,128.0,6.0,77.0,342.0
17,1.0,3.0,5.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,4.0,7.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,4.0,1.0,1.0,4.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0
171,2.0,26.0,10.0,7.0,4.0,28.0,240.0,149.0,27.0,12.0,40.0,9.0,8.0,513.0,79.0,16.0,39.0,71.0,76.0,186.0,48.0,19.0,37.0,23.0,3.0,23.0,103.0,80.0,6.0,54.0,3.0,10.0,4.0,8.0,14.0,4.0,9.0,39.0,17.0,3.0,27.0,3.0,21.0,5.0,88.0,16.0,13.0,15.0,55.0,10.0,52.0,24.0,5.0,45.0,32.0,11.0,40.0,19.0,6.0,3.0,5.0,2.0
175,2.0,29.0,3.0,3.0,40.0,2.0,9.0,0.0,140.0,2.0,58.0,1.0,50.0,2.0,16.0,3.0,53.0,19.0,165.0,2.0,5.0,328.0,33.0,3.0,13.0,1.0,365.0,301.0,24.0,12.0,165.0,3.0,0.0,111.0,49.0,7.0,26.0,2.0,62.0,1.0,82.0,184.0,166.0,183.0,41.0,3.0,64.0,9.0,23.0,30.0,2.0,34.0,103.0,8.0,11.0,5.0,90.0,19.0,113.0,1.0,53.0,63.0
180,7.0,30.0,36.0,63.0,3.0,3.0,414.0,188.0,740.0,10.0,169.0,1.0,440.0,16.0,177.0,531.0,712.0,52.0,33.0,14.0,223.0,60.0,348.0,20.0,4.0,183.0,394.0,265.0,93.0,190.0,8.0,814.0,60.0,74.0,128.0,740.0,6.0,89.0,66.0,7.0,53.0,58.0,13.0,122.0,21.0,293.0,335.0,11.0,29.0,19.0,79.0,26.0,314.0,3.0,316.0,420.0,254.0,9.0,60.0,689.0,32.0,306.0
180_2,17.0,92.0,101.0,242.0,9.0,5.0,2201.0,134.0,293.0,113.0,544.0,17.0,1080.0,20.0,148.0,1599.0,1697.0,139.0,146.0,25.0,326.0,136.0,449.0,11.0,15.0,973.0,151.0,995.0,223.0,768.0,123.0,418.0,486.0,146.0,275.0,465.0,4.0,247.0,66.0,8.0,60.0,130.0,60.0,120.0,26.0,11.0,2391.0,43.0,96.0,64.0,102.0,49.0,383.0,108.0,1043.0,927.0,623.0,2.0,362.0,34.0,47.0,874.0
185,2.0,1.0,15.0,5.0,5.0,1.0,13.0,12.0,3.0,9.0,4.0,1.0,8.0,2.0,19.0,7.0,12.0,3.0,3.0,5.0,7.0,22.0,5.0,2.0,6.0,5.0,29.0,24.0,9.0,13.0,6.0,0.0,2.0,1.0,14.0,14.0,1.0,11.0,8.0,3.0,8.0,9.0,5.0,5.0,5.0,7.0,14.0,15.0,3.0,3.0,9.0,4.0,7.0,3.0,2.0,8.0,11.0,2.0,2.0,3.0,7.0,10.0
187,5.0,21.0,12.0,48.0,8.0,7.0,28.0,16.0,22.0,38.0,164.0,1.0,3.0,3.0,90.0,15.0,163.0,172.0,283.0,0.0,63.0,1197.0,18.0,1.0,7.0,380.0,327.0,98.0,80.0,13.0,143.0,64.0,14.0,107.0,61.0,2.0,38.0,6.0,98.0,113.0,42.0,168.0,290.0,13.0,1251.0,3.0,25.0,55.0,299.0,53.0,48.0,97.0,16.0,40.0,6.0,58.0,71.0,21.0,26.0,10.0,91.0,159.0
188,1379.0,254.0,8.0,3.0,359.0,12.0,40.0,240.0,70.0,8.0,100.0,12.0,9.0,9.0,130.0,13.0,223.0,68.0,959.0,2.0,111.0,615.0,433.0,1701.0,250.0,206.0,1445.0,967.0,120.0,295.0,24.0,12.0,18.0,350.0,60.0,104.0,40.0,117.0,180.0,10.0,259.0,47.0,968.0,155.0,35.0,13.0,63.0,96.0,31.0,7.0,98.0,157.0,171.0,11.0,5.0,88.0,322.0,576.0,211.0,14.0,80.0,94.0
192,9.0,29.0,15.0,5.0,5.0,7.0,10.0,10.0,10.0,13.0,30.0,206.0,118.0,363.0,25.0,443.0,1.0,15.0,5.0,4.0,5.0,4.0,44.0,6.0,9.0,2.0,264.0,152.0,3.0,12.0,10.0,158.0,64.0,59.0,5.0,187.0,17.0,10.0,5.0,6.0,49.0,9.0,4.0,11.0,27.0,154.0,329.0,20.0,33.0,71.0,50.0,21.0,3.0,11.0,23.0,42.0,143.0,0.0,8.0,7.0,4.0,22.0
20,5.0,31.0,27.0,20.0,0.0,2.0,4.0,91.0,102.0,2.0,33.0,5.0,1.0,1.0,65.0,26.0,82.0,100.0,2.0,10.0,105.0,2.0,16.0,2.0,0.0,2.0,48.0,142.0,3.0,84.0,3.0,9.0,5.0,252.0,43.0,4.0,2.0,15.0,207.0,2.0,17.0,54.0,1.0,22.0,10.0,1.0,303.0,8.0,5.0,5.0,17.0,30.0,24.0,7.0,5.0,83.0,128.0,0.0,103.0,2.0,1.0,324.0
209,16.0,69.0,90.0,73.0,1.0,3.0,988.0,72.0,9.0,104.0,66.0,3.0,7.0,1.0,77.0,20.0,30.0,123.0,522.0,341.0,74.0,236.0,70.0,3.0,7.0,120.0,287.0,197.0,19.0,60.0,8.0,18.0,212.0,72.0,107.0,1.0,34.0,63.0,92.0,12.0,77.0,58.0,53.0,120.0,2576.0,180.0,6.0,16.0,53.0,92.0,45.0,104.0,28.0,65.0,45.0,48.0,121.0,8.0,102.0,7.0,15.0,125.0
210,6.0,5.0,6.0,2.0,1.0,3.0,7.0,3.0,26.0,8.0,51.0,0.0,12.0,1.0,22.0,6.0,3.0,6.0,3.0,3.0,4.0,4.0,10.0,2.0,3.0,11.0,80.0,20.0,1.0,4.0,5.0,2.0,94.0,85.0,3.0,5.0,5.0,11.0,9.0,7.0,31.0,8.0,4.0,3.0,43.0,425.0,7.0,12.0,4.0,6.0,33.0,38.0,20.0,9.0,12.0,141.0,9.0,5.0,7.0,10.0,2.0,59.0
217,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
226,9.0,22.0,25.0,30.0,11.0,3.0,21.0,27.0,44.0,68.0,107.0,2.0,7.0,1.0,305.0,111.0,106.0,71.0,199.0,168.0,40.0,716.0,124.0,1.0,9.0,103.0,356.0,231.0,57.0,88.0,6.0,20.0,29.0,67.0,57.0,51.0,0.0,31.0,43.0,4.0,70.0,57.0,109.0,33.0,6.0,14.0,90.0,49.0,82.0,37.0,98.0,56.0,118.0,46.0,7.0,35.0,117.0,11.0,14.0,17.0,112.0,78.0
235,2.0,8.0,1.0,4.0,0.0,0.0,2.0,1.0,17.0,0.0,7.0,1.0,8.0,0.0,2.0,6.0,114.0,61.0,75.0,2.0,0.0,14.0,153.0,1.0,0.0,1.0,43.0,13.0,47.0,4.0,1.0,1.0,74.0,76.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,41.0,2.0,0.0,2.0,0.0,0.0,3.0,23.0,29.0,5.0,24.0,169.0,1.0,93.0,63.0,132.0,0.0,4.0,0.0,12.0,14.0
