strain_id,A_MTX_noDrug.FMP45_HNM1,A_MTX_noDrug.HNM1_ERG11,A_MTX_noDrug.ERV25_EMP47,A_MTX_noDrug.HNM1_RBD2,A_MTX_noDrug.ERG11_TPO4,A_MTX_noDrug.ERG27_ACF2,A_MTX_noDrug.ERV25_RBD2,A_MTX_noDrug.ADE17_GIS2,A_MTX_noDrug.ERV25_ERG5,A_MTX_noDrug.MID2_TPO4,A_MTX_noDrug.ERG11_PIS1,A_MTX_noDrug.ERG11_ACF2,A_MTX_noDrug.ERG11_ORM2,A_MTX_noDrug.ERV25_UIP4,A_MTX_noDrug.MID2_RSN1,A_MTX_noDrug.RET2_EMP70,A_MTX_noDrug.FMP45_MID2,A_MTX_noDrug.ALO1_ADE17,A_MTX_noDrug.HNM1_MAM33,A_MTX_noDrug.SNA4_VAC8,A_MTX_noDrug.SRO9_DHH1,A_MTX_noDrug.MID2_PIN2,A_MTX_noDrug.HNM1_TPO4,A_MTX_noDrug.HNM1_TPO1,A_MTX_noDrug.ALO1_HYR1,A_MTX_noDrug.FMP45_MEP1,A_MTX_noDrug.SRO9_GIS2,A_MTX_noDrug.HUG1_ADE17,A_MTX_noDrug.GTR1_SLM4,A_MTX_noDrug.SSH1_ORM2,A_MTX_noDrug.HNM1_TPO2,A_MTX_noDrug.noPPI_reference,A_MTX_noDrug.RET2_EMP47,A_MTX_noDrug.SSH1_ERG11,A_MTX_noDrug.HUG1_PGM2,A_MTX_noDrug.MID2_WSC2,A_MTX_noDrug.ERG11_MID2,A_MTX_noDrug.MID2_TPO2,A_MTX_noDrug.ERG11_HYR1,A_MTX_noDrug.HNM1_MID2,A_MTX_noDrug.ERG11_ERG5,A_MTX_noDrug.HUG1_ALO1,A_MTX_noDrug.PMC1_GTR2,A_MTX_noDrug.PMC1_CTR2,A_MTX_noDrug.ERV25_PIS1,A_MTX_noDrug.SSH1_PIS1,A_MTX_noDrug.MID2_MAM33,A_MTX_noDrug.RET2_SNA3,A_MTX_noDrug.PLM2_HNM1,A_MTX_noDrug.ADE17_PGM2,A_MTX_noDrug.SSH1_ERV25,A_MTX_noDrug.SRO9_SGN1,A_MTX_noDrug.PLM2_SNA3,A_MTX_noDrug.ERG11_ERV25,A_MTX_noDrug.DHH1_LSM3,A_MTX_noDrug.TPO1_TPO2,A_MTX_noDrug.ALO1_UIP4,A_MTX_noDrug.SNA4_GTR2,A_MTX_noDrug.ERV25_ORM2,A_MTX_noDrug.TPO1_TCB2,A_MTX_noDrug.ADE17_HYR1,A_MTX_noDrug.TPO1_MID2
188,2.0,2.0,6.0,1.0,2.0,4.0,0.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,8.0,3.0,6.0,7.0,21.0,3.0,1.0,6.0,2.0,3.0,15.0,2.0,1.0,1.0,1.0,0.0,4.0,5.0,12.0,105.0,0.0,0.0,6.0,44.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,2.0,3.0,4.0,5.0,6.0,4.0,6.0,1.0,1.0,5.0,7.0,1.0,4.0,2.0
192,10.0,14.0,18.0,15.0,19.0,17.0,1.0,15.0,11.0,16.0,2.0,4.0,11.0,2.0,15.0,6.0,14.0,39.0,14.0,14.0,18.0,64.0,17.0,7.0,5.0,6.0,38.0,8.0,8.0,5.0,23.0,3.0,2.0,22.0,10.0,3451.0,46.0,17.0,8.0,6.0,7.0,1.0,5.0,7.0,6.0,12.0,37.0,1.0,5.0,20.0,5.0,7.0,26.0,4.0,11.0,4.0,10.0,16.0,17.0,16.0,11.0,4.0
209,1.0,4.0,3.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,1.0,8.0,0.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,6.0,0.0,11.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,13.0,5.0,2.0,3.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0
210,4.0,12.0,9.0,0.0,9.0,2.0,0.0,3.0,4.0,0.0,6.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,20.0,1.0,0.0,2.0,1.0,3.0,6.0,3.0,4.0,1.0,0.0,1.0,5.0,2.0,4.0,53.0,0.0,7.0,2.0,4.0,2.0,2.0,4.0,4.0,1.0,6.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0
226,76.0,112.0,71.0,2.0,117.0,2.0,3.0,5.0,129.0,5.0,138.0,14.0,33.0,311.0,2.0,5.0,142.0,12.0,3.0,2.0,2.0,85.0,40.0,4.0,4.0,101.0,1.0,69.0,122.0,3.0,27.0,369.0,3.0,18.0,778.0,2.0,186.0,0.0,106.0,193.0,41.0,1135.0,233.0,207.0,6.0,7.0,77.0,3.0,15.0,1.0,24.0,104.0,9.0,79.0,96.0,41.0,57.0,210.0,59.0,27.0,4.0,12.0
248,3.0,3.0,5.0,0.0,0.0,0.0,5.0,2.0,239.0,1.0,25.0,2.0,56.0,23.0,1.0,1.0,7.0,2.0,16.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,8.0,4.0,282.0,12.0,0.0,20.0,629.0,0.0,127.0,0.0,0.0,0.0,1.0,58.0,4.0,4.0,2.0,2.0,9.0,0.0,1.0,20.0,1.0,13.0,11.0,0.0,6.0,2.0,3.0,95.0,1.0,1.0,5.0,0.0
250,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,5.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,7.0,0.0,11.0,0.0,1.0,1.0,1.0,10.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
252,19.0,3.0,33.0,0.0,1.0,6.0,168.0,2.0,342.0,1.0,8.0,161.0,0.0,1.0,3.0,23.0,1.0,4.0,0.0,7.0,0.0,2.0,101.0,110.0,2.0,21.0,0.0,31.0,2.0,273.0,2.0,36130.0,2.0,1.0,2518.0,2.0,2.0,43.0,2.0,0.0,0.0,12.0,1.0,13.0,1.0,201.0,34.0,1.0,114.0,3.0,0.0,2.0,3.0,8.0,19.0,283.0,58.0,1.0,136.0,3.0,152.0,5.0
254,1.0,0.0,4.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,13.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,17.0,1.0,32.0,1.0,6.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,8.0,7.0,2.0,3.0,4.0,4.0,0.0,7.0,0.0
257,2.0,10.0,3.0,0.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,7.0,0.0,24.0,1.0,6.0,7.0,2.0,3.0,1.0,1.0,4.0,3.0,0.0,4.0,4.0,1.0,3.0,97.0,5.0,4.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,4.0,0.0,5.0,1.0,0.0,6.0,4.0,2.0,3.0,6.0,2.0,1.0,10.0,2.0,5.0,0.0
258,4.0,118.0,19.0,1.0,9.0,1269.0,1.0,26.0,75.0,1.0,84.0,19.0,35.0,11.0,1.0,12.0,4.0,608.0,16.0,4760.0,6.0,76.0,139.0,116.0,37.0,37.0,2.0,29.0,14.0,67.0,399.0,5.0,8.0,133.0,4.0,0.0,268.0,1.0,8.0,176.0,57.0,13.0,0.0,3.0,11.0,2.0,90.0,8.0,2.0,84.0,216.0,104.0,211.0,47.0,86.0,7.0,4.0,169.0,36.0,27.0,14.0,109.0
27,7.0,20.0,19.0,6.0,9.0,12.0,0.0,5.0,2.0,1.0,43.0,1.0,819.0,3.0,0.0,1.0,4.0,3.0,9.0,1.0,3.0,52.0,2.0,0.0,1.0,13.0,1.0,2.0,5.0,13.0,3.0,17.0,4.0,4.0,1.0,2.0,80.0,0.0,4.0,3.0,49.0,0.0,22.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,38.0,33.0,3.0,3.0,27.0,165.0,43.0,1.0,14.0,1.0,4.0
286,4.0,5.0,6.0,3.0,49.0,117.0,1.0,6.0,12.0,1.0,0.0,54.0,217.0,23.0,2.0,8.0,6.0,2.0,0.0,63.0,0.0,66.0,7.0,44.0,3.0,25.0,3.0,38.0,4.0,29.0,1.0,146.0,5.0,6.0,155.0,0.0,85.0,4.0,7.0,1.0,35.0,90.0,65.0,93.0,4.0,4.0,28.0,4.0,18.0,2.0,254.0,9.0,0.0,28.0,60.0,427.0,64.0,34.0,110.0,114.0,3.0,98.0
289,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
292,3.0,2.0,1.0,0.0,4.0,0.0,2.0,2.0,4.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,6.0,4.0,0.0,5.0,0.0,3.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,2.0,94.0,1.0,1.0,0.0,1.0,11.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,11.0,3.0,3.0,3.0,2.0,2.0,11.0,3.0,1.0,0.0,2.0,1.0
