strain_id,A_MTX_5-FC.ERV25_EMP47,A_MTX_5-FC.ERG11_ACF2,A_MTX_5-FC.SSH1_PIS1,A_MTX_5-FC.HNM1_TPO4,A_MTX_5-FC.ADE17_HYR1,A_MTX_5-FC.FMP45_MID2,A_MTX_5-FC.GTR1_SLM4,A_MTX_5-FC.ERV25_ORM2,A_MTX_5-FC.HNM1_MAM33,A_MTX_5-FC.TPO1_TCB2,A_MTX_5-FC.HNM1_MID2,A_MTX_5-FC.TPO1_TPO2,A_MTX_5-FC.ERV25_PIS1,A_MTX_5-FC.MID2_PIN2,A_MTX_5-FC.ERG11_MID2,A_MTX_5-FC.FMP45_MEP1,A_MTX_5-FC.DHH1_LSM3,A_MTX_5-FC.MID2_WSC2,A_MTX_5-FC.ADE17_PGM2,A_MTX_5-FC.PMC1_CTR2,A_MTX_5-FC.RET2_EMP47,A_MTX_5-FC.PLM2_SNA3,A_MTX_5-FC.MID2_MAM33,A_MTX_5-FC.FMP45_HNM1,A_MTX_5-FC.ERG11_ORM2,A_MTX_5-FC.ERG11_PIS1,A_MTX_5-FC.ALO1_ADE17,A_MTX_5-FC.RET2_EMP70,A_MTX_5-FC.PMC1_GTR2,A_MTX_5-FC.ERG11_HYR1,A_MTX_5-FC.TPO1_MID2,A_MTX_5-FC.MID2_TPO4,A_MTX_5-FC.ALO1_UIP4,A_MTX_5-FC.ERG11_ERV25,A_MTX_5-FC.SRO9_GIS2,A_MTX_5-FC.SNA4_VAC8,A_MTX_5-FC.ERV25_ERG5,A_MTX_5-FC.noPPI_reference,A_MTX_5-FC.MID2_TPO2,A_MTX_5-FC.SRO9_SGN1,A_MTX_5-FC.ERV25_RBD2,A_MTX_5-FC.HNM1_TPO2,A_MTX_5-FC.HUG1_PGM2,A_MTX_5-FC.HNM1_TPO1,A_MTX_5-FC.ERG11_ERG5,A_MTX_5-FC.HUG1_ALO1,A_MTX_5-FC.HNM1_RBD2,A_MTX_5-FC.ERV25_UIP4,A_MTX_5-FC.MID2_RSN1,A_MTX_5-FC.ERG27_ACF2,A_MTX_5-FC.HNM1_ERG11,A_MTX_5-FC.SSH1_ERG11,A_MTX_5-FC.ERG11_TPO4,A_MTX_5-FC.PLM2_HNM1,A_MTX_5-FC.SSH1_ERV25,A_MTX_5-FC.ALO1_HYR1,A_MTX_5-FC.SNA4_GTR2,A_MTX_5-FC.SSH1_ORM2,A_MTX_5-FC.HUG1_ADE17,A_MTX_5-FC.ADE17_GIS2,A_MTX_5-FC.RET2_SNA3,A_MTX_5-FC.SRO9_DHH1
1046,4.0,0.0,0.0,1.0,2.0,4.0,3.0,17.0,1.0,1.0,1.0,3.0,0.0,10.0,9.0,0.0,27.0,1.0,0.0,2.0,4.0,0.0,3.0,3.0,4.0,0.0,2.0,1.0,1.0,399,2.0,4.0,4.0,155.0,0.0,0.0,9.0,0.0,1.0,8.0,0.0,2.0,4.0,3.0,15.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0
1050,35.0,45.0,8.0,3.0,4.0,491.0,14.0,10.0,4.0,5.0,23.0,6.0,4.0,12.0,17.0,6.0,186.0,6.0,9.0,11.0,3.0,41.0,21.0,36.0,33.0,82.0,4.0,4.0,12.0,81,2.0,13.0,69.0,52.0,245.0,6.0,61.0,183.0,7.0,43.0,8.0,7.0,302.0,20.0,43.0,41.0,8.0,11.0,73.0,193.0,8.0,28.0,55.0,107.0,34.0,4.0,10.0,8.0,5.0,8.0,8.0,7.0
1065,22.0,0.0,2.0,5.0,1.0,52.0,1.0,1.0,3.0,32.0,10.0,27.0,1.0,15.0,7.0,11.0,489.0,0.0,2.0,9.0,1.0,2.0,10.0,3.0,2.0,61.0,1.0,6.0,22.0,74,34.0,1.0,23.0,9.0,25.0,1.0,49.0,73.0,14.0,142.0,7.0,5.0,13.0,4.0,1.0,3.0,2.0,13.0,4.0,1.0,6.0,6.0,187.0,3.0,4.0,0.0,7.0,1.0,7.0,0.0,2.0,88.0
1069,570.0,706.0,4263.0,14234.0,207.0,12604.0,338.0,247.0,15008.0,617.0,1065.0,1847.0,201.0,2603.0,2368.0,7631.0,10906.0,955.0,218.0,688.0,204.0,661.0,3266.0,905.0,472.0,581.0,197.0,444.0,2354.0,2814,1919.0,6074.0,180.0,548.0,101.0,4301.0,2698.0,1135.0,3127.0,878.0,357.0,25901.0,13705.0,10370.0,541.0,5810.0,3763.0,2364.0,2550.0,29860.0,1554.0,1023.0,500.0,1801.0,5718.0,1142.0,6805.0,322.0,3885.0,129.0,199.0,439.0
113,27.0,551.0,40.0,27.0,49.0,38.0,5.0,169.0,5.0,19.0,5.0,56.0,2.0,9.0,74.0,9.0,105.0,13.0,18.0,5.0,4.0,70.0,85.0,6.0,12.0,5.0,14.0,18.0,2.0,34,5.0,4.0,2284.0,8.0,8.0,2.0,20.0,6848.0,39.0,4.0,276.0,5.0,18.0,6.0,25.0,4.0,9.0,6.0,102.0,327.0,1.0,5.0,59.0,294.0,14.0,0.0,4.0,96.0,1.0,2.0,6.0,2.0
119,8.0,1.0,0.0,5.0,3.0,7.0,11.0,7.0,8.0,3.0,0.0,2.0,2.0,6.0,2.0,8.0,96.0,2.0,1.0,3.0,1.0,4.0,3.0,3.0,4.0,2.0,0.0,4.0,3.0,10,6.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,19.0,1.0,6.0,3.0,4.0,6.0,2.0,2.0,5.0,0.0,2.0,2.0,3.0,1.0,2.0,21.0,2.0,13.0,2.0,3.0,0.0,3.0,1.0
124,12.0,35.0,4.0,446.0,5.0,105.0,5.0,98.0,38.0,388.0,45.0,411.0,7.0,23.0,187.0,221.0,241.0,3.0,6.0,205.0,10.0,35.0,40.0,169.0,28.0,192.0,15.0,25.0,103.0,683,165.0,54.0,558.0,94.0,21.0,1.0,45.0,630.0,44.0,60.0,23.0,510.0,1442.0,219.0,7.0,267.0,5.0,191.0,57.0,8.0,39.0,68.0,130.0,42.0,291.0,4.0,26.0,25.0,174.0,5.0,7.0,71.0
128,3.0,0.0,1.0,1.0,2.0,8.0,5.0,20.0,1.0,5.0,2.0,4.0,0.0,3.0,4.0,0.0,15.0,2.0,3.0,1.0,0.0,589.0,2.0,8.0,2.0,1.0,1.0,1.0,0.0,89,1.0,1.0,1.0,24.0,3.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,3.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0
132,12.0,2.0,1.0,0.0,1.0,0.0,5.0,225.0,0.0,14.0,15.0,12.0,1.0,3.0,84.0,1.0,132.0,1.0,0.0,2.0,11.0,2.0,10.0,1.0,108.0,32.0,0.0,19.0,6.0,2784,9.0,0.0,2.0,293.0,25.0,2.0,24.0,1.0,0.0,21.0,1.0,0.0,6.0,2.0,156.0,1.0,3.0,1.0,1.0,9.0,12.0,4.0,34.0,0.0,14.0,1.0,9.0,13.0,531.0,12.0,21.0,4.0
136,3.0,0.0,2.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,19.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,9,2.0,1.0,0.0,5.0,6.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0
14,434.0,2681.0,185.0,294.0,29.0,1248.0,74.0,814.0,362.0,54.0,309.0,72.0,655.0,303.0,671.0,595.0,2285.0,26.0,34.0,42.0,77.0,1009.0,174.0,395.0,1146.0,2909.0,19.0,74.0,222.0,10605,61.0,981.0,52.0,689.0,851.0,33.0,538.0,2284.0,500.0,425.0,36.0,313.0,1103.0,211.0,875.0,67.0,155.0,71.0,236.0,384.0,703.0,427.0,3537.0,991.0,1273.0,19.0,191.0,241.0,309.0,37.0,92.0,254.0
146,535.0,219.0,466.0,3142.0,78.0,1059.0,285.0,1193.0,453.0,226.0,2044.0,1668.0,416.0,1829.0,2111.0,959.0,23714.0,248.0,99.0,466.0,115.0,7066.0,322.0,279.0,779.0,1770.0,161.0,161.0,1013.0,9467,641.0,1990.0,428.0,2959.0,1591.0,424.0,3190.0,69.0,1784.0,3840.0,406.0,5289.0,777.0,1651.0,1434.0,340.0,386.0,440.0,928.0,475.0,1377.0,818.0,1560.0,368.0,3403.0,905.0,874.0,517.0,166.0,83.0,127.0,949.0
15,9.0,60.0,133.0,83.0,5.0,149.0,5.0,275.0,54.0,106.0,20.0,232.0,7.0,42.0,25.0,106.0,44.0,1.0,4.0,53.0,9.0,3.0,58.0,17.0,273.0,21.0,327.0,21.0,39.0,1044,129.0,5.0,74.0,272.0,36.0,8.0,50.0,186.0,65.0,113.0,193.0,127.0,1471.0,13.0,9.0,627.0,2.0,174.0,17.0,381.0,28.0,13.0,15.0,21.0,97.0,594.0,51.0,286.0,503.0,1.0,13.0,252.0
151,5.0,0.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,5.0,3.0,19.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,38,0.0,1.0,2.0,54.0,4.0,1.0,0.0,0.0,1.0,9.0,0.0,3.0,4.0,1.0,11.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0
153,3.0,0.0,0.0,0.0,2.0,1.0,1.0,17.0,1.0,2.0,0.0,0.0,1.0,2.0,8.0,1.0,5.0,3.0,3.0,2.0,1.0,5.0,6.0,0.0,5.0,21.0,2.0,4.0,0.0,232,3.0,0.0,3.0,156.0,44.0,0.0,1.0,0.0,2.0,16.0,0.0,0.0,4.0,0.0,45.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
17,3.0,2.0,2.0,2.0,6.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,16,1.0,2.0,0.0,4.0,2.0,1.0,0.0,4.0,0.0,6.0,4.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,3.0,7.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
171,26.0,35.0,7.0,10.0,5.0,23.0,372.0,67.0,4.0,6.0,55.0,18.0,8.0,21.0,27.0,232.0,163.0,9.0,7.0,19.0,16.0,3.0,9.0,21.0,14.0,25.0,3.0,17.0,21.0,148,16.0,19.0,30.0,15.0,4.0,32.0,28.0,9.0,12.0,30.0,11.0,60.0,309.0,3.0,16.0,34.0,567.0,203.0,21.0,10.0,50.0,7.0,16.0,17.0,39.0,2.0,19.0,10.0,101.0,3.0,11.0,9.0
175,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,8,0.0,1.0,0.0,12.0,5.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
17_2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,103,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
180,4.0,3.0,2.0,2.0,2.0,1.0,1.0,203.0,1.0,3.0,1.0,2.0,1.0,4.0,90.0,3.0,6.0,2.0,0.0,8.0,5.0,2.0,2.0,1.0,74.0,40.0,2.0,0.0,1.0,343,0.0,0.0,2.0,298.0,12.0,0.0,1.0,1.0,0.0,27.0,0.0,0.0,4.0,0.0,20.0,1.0,5.0,0.0,0.0,2.0,4.0,1.0,7.0,1.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,31.0
180_2,12.0,0.0,2.0,2.0,6.0,5.0,6.0,176.0,4.0,8.0,3.0,10.0,3.0,17.0,19.0,4.0,61.0,10.0,12.0,2.0,10.0,18.0,6.0,9.0,25.0,41.0,75.0,26.0,4.0,1829,8.0,3.0,3.0,373.0,35.0,0.0,3.0,13.0,1.0,149.0,3.0,12.0,4.0,3.0,27.0,3.0,0.0,7.0,1.0,5.0,1.0,3.0,26.0,0.0,7.0,4.0,9.0,9.0,0.0,2.0,9.0,4.0
185,17.0,8.0,2.0,21.0,4.0,38.0,22.0,23.0,17.0,10.0,21.0,7.0,13.0,13.0,21.0,23.0,60.0,2.0,1.0,8.0,6.0,8.0,4.0,15.0,22.0,25.0,9.0,9.0,15.0,107,6.0,4.0,37.0,23.0,7.0,3.0,28.0,22.0,8.0,27.0,6.0,16.0,11.0,4.0,6.0,14.0,7.0,15.0,16.0,12.0,11.0,7.0,34.0,11.0,51.0,11.0,4.0,12.0,0.0,5.0,5.0,8.0
187,1.0,1.0,1.0,1.0,0.0,12.0,1.0,34.0,0.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,8.0,0.0,1.0,1.0,255,2.0,3.0,1.0,86.0,3.0,0.0,26.0,1.0,0.0,26.0,0.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
188,5.0,2.0,1.0,5.0,0.0,2.0,5.0,32.0,1.0,1.0,11.0,2.0,3.0,6.0,81.0,2.0,79.0,1.0,3.0,4.0,3.0,6.0,5.0,5.0,12.0,6.0,3.0,1.0,5.0,7,2.0,2.0,1.0,2.0,25.0,2.0,5.0,1.0,4.0,15.0,1.0,10.0,4.0,4.0,52.0,163.0,3.0,4.0,0.0,1.0,1.0,2.0,86.0,3.0,12.0,6.0,0.0,3.0,15.0,0.0,2.0,0.0
192,11.0,4.0,2.0,17.0,11.0,2.0,12.0,39.0,13.0,3.0,3.0,4.0,0.0,31.0,3.0,12.0,103.0,11.0,9.0,2.0,0.0,11.0,7.0,7.0,5.0,3.0,4.0,3.0,7.0,54,3.0,13.0,8.0,40.0,2.0,4.0,9.0,1.0,9.0,23.0,4.0,19.0,7.0,8.0,3.0,10.0,12.0,11.0,4.0,8.0,6.0,3.0,3.0,6.0,20.0,5.0,13.0,3.0,4.0,4.0,4.0,4.0
20,1.0,0.0,0.0,6.0,3.0,0.0,2.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,7.0,5.0,1.0,3.0,1.0,98,1.0,0.0,2.0,11.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
209,3.0,0.0,3.0,3.0,0.0,3.0,1.0,8.0,3.0,1.0,0.0,6.0,0.0,0.0,2.0,3.0,34.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,9.0,0.0,1.0,2.0,2.0,243,3.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,6.0,2.0,2.0,3.0,2.0,8.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,2.0
210,7.0,6.0,3.0,1.0,0.0,4.0,5.0,8.0,1.0,4.0,1.0,2.0,3.0,6.0,4.0,6.0,65.0,3.0,0.0,5.0,3.0,0.0,4.0,4.0,0.0,4.0,3.0,2.0,8.0,67,3.0,3.0,1.0,3.0,6.0,1.0,1.0,3.0,0.0,11.0,2.0,0.0,5.0,1.0,1.0,10.0,2.0,5.0,3.0,7.0,0.0,2.0,8.0,2.0,19.0,4.0,5.0,2.0,5.0,4.0,8.0,1.0
226,191.0,34.0,2.0,52.0,5.0,482.0,128.0,33.0,71.0,86.0,143.0,41.0,4.0,141.0,108.0,256.0,506.0,2.0,4.0,149.0,2.0,16.0,130.0,238.0,22.0,160.0,54.0,10.0,167.0,669,17.0,123.0,585.0,144.0,22.0,8.0,140.0,325.0,21.0,195.0,18.0,55.0,886.0,1.0,48.0,323.0,4.0,222.0,44.0,8.0,113.0,12.0,113.0,11.0,130.0,3.0,106.0,22.0,585.0,3.0,11.0,43.0
235,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
248,1.0,11.0,2.0,1.0,4.0,64.0,7.0,6.0,17.0,2.0,6.0,1.0,2.0,0.0,127.0,7.0,5.0,1.0,4.0,4.0,1.0,0.0,14.0,9.0,93.0,40.0,1.0,6.0,13.0,8,1.0,2.0,3.0,1.0,1.0,0.0,82.0,188.0,10.0,13.0,11.0,225.0,1385.0,1.0,3.0,98.0,1.0,2.0,3.0,0.0,2.0,9.0,0.0,1.0,23.0,0.0,114.0,4.0,2.0,3.0,0.0,1.0
250,2.0,2.0,1.0,0.0,1.0,14.0,3.0,1.0,1.0,1.0,5.0,1.0,0.0,4.0,2.0,3.0,8.0,2.0,1.0,2.0,0.0,6.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,268,1.0,5.0,1.0,0.0,4.0,0.0,1.0,4.0,4.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,14.0,0.0,3.0,2.0,4.0,2.0,0.0,12.0,3.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0
252,19.0,24.0,53.0,9.0,51.0,8.0,2.0,44.0,2.0,3.0,3.0,50.0,0.0,4.0,3.0,1.0,8.0,2.0,3.0,3.0,0.0,10.0,0.0,14.0,1.0,0.0,0.0,150.0,2.0,4,1.0,1.0,140.0,1.0,1.0,3.0,32.0,11569.0,56.0,0.0,53.0,1.0,2.0,11.0,0.0,0.0,12.0,0.0,4.0,2.0,1.0,4.0,0.0,62.0,5.0,0.0,3.0,114.0,1.0,0.0,0.0,1.0
253,101.0,0.0,1.0,1.0,732.0,24.0,7.0,60.0,2.0,2.0,8.0,9.0,2.0,39.0,0.0,15.0,4.0,3.0,3.0,10.0,2.0,1.0,6.0,7.0,2.0,5.0,0.0,6.0,22.0,367,5.0,1.0,46.0,7.0,18.0,56.0,54.0,47.0,1.0,514.0,5.0,4.0,6.0,6.0,7.0,1.0,2.0,4.0,6.0,2.0,2.0,10.0,4.0,6.0,0.0,54.0,11.0,18.0,2.0,3.0,2.0,38.0
254,3.0,1.0,1.0,1.0,1.0,1.0,5.0,11.0,1.0,0.0,9.0,1.0,1.0,0.0,14.0,3.0,119.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,8.0,3.0,1.0,1.0,84,1.0,0.0,0.0,46.0,1.0,0.0,11.0,8.0,2.0,4.0,2.0,1.0,5.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0,8.0,3.0,1.0,0.0,2.0,10.0,1.0,4.0,3.0
