seq_id,source,type,start,end,score,strand,phase,attributes,locus_id
II,Xu_2009_SUTs,transcript,251615,252103,.,+,.,ID=ST0106;Name=SUT010;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=NA;expr_in_YPGal/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT010
II,Xu_2009_SUTs,transcript,254640,254874,.,+,.,ID=ST0107;Name=SUT011;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST3744;expr_in_YPE/YPD=-1.7831573385893;expr_in_YPGal/YPD=-0.799197190144158;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=-0.952116599312906;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=0.182220828358721;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT011
II,Xu_2009_SUTs,transcript,255774,256278,.,-,.,ID=ST3746;Name=SUT444;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=ST0109;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=-0.814574920046337;expr_in_YPGal/YPD=0.173597999164277;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=0.204034316425826;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=-0.944637122638458,SUT444
II,Xu_2009_SUTs,transcript,269792,270208,.,+,.,ID=ST0110;Name=SUT012;end_confidence=mapped5;source=Manual;shares_5NFR_in_divergent_configuration_with=ST3749;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=-1.35668509292758;expr_in_YPGal/YPD=-0.77618436194747;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=-0.785483440841475;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=-0.614329208547573,SUT012
II,Xu_2009_SUTs,transcript,276760,278816,.,+,.,ID=ST0112;Name=SUT013;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST3751;expr_in_YPE/YPD=-0.69172285226484;expr_in_YPGal/YPD=-2.11086240073737;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=0;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=6.07972243328246;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT013
II,Xu_2009_SUTs,transcript,301628,304756,.,-,.,ID=ST3759;Name=SUT445;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=ST3760;sense_antisense_pair_with=ST0120;expr_in_YPE/YPD=-1.59044939934243;expr_in_YPGal/YPD=-1.24454744142534;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=3.32695162250303;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=3.24972704194847;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT445
II,Xu_2009_SUTs,transcript,362866,364594,.,+,.,ID=ST0138;Name=SUT014;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=ST3782;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=-1.69288939234047;expr_in_YPGal/YPD=-0.541864613727197;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=-1.01003265960806;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=-0.1234664995019,SUT014
II,Xu_2009_SUTs,transcript,370545,370873,.,+,.,ID=ST0141;Name=SUT015;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST3787;expr_in_YPE/YPD=-0.769336403073176;expr_in_YPGal/YPD=-0.727448646397238;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=0.144237304866509;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=0.102550191313501;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT015
II,Xu_2009_SUTs,transcript,371273,373730,.,+,.,"ID=ST0142;Name=SUT016;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST3788,ST3789;expr_in_YPE/YPD=-1.26949373999033;expr_in_YPGal/YPD=-0.244145535575362;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=0.268760769769516,-0.314194151;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=-0.717941591714384,-0.430038393;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA",SUT016
II,Xu_2009_SUTs,transcript,430993,431841,.,-,.,ID=ST3808;Name=SUT446;end_confidence=mapped5;source=Manual;shares_5NFR_in_divergent_configuration_with=ST0157;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=0.30763725248676;expr_in_YPGal/YPD=-0.55199847190222;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=-0.511980190220632;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=-0.12337841037268,SUT446
II,Xu_2009_SUTs,transcript,453557,454701,.,+,.,ID=ST0164;Name=SUT017;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST3813;expr_in_YPE/YPD=-1.25472575818284;expr_in_YPGal/YPD=-0.308224328620241;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=-0.803534056485053;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=-0.250349427174917;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT017
II,Xu_2009_SUTs,transcript,474286,476894,.,+,.,ID=ST0169;Name=SUT018;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=ST3817;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=-1.12153085355774;expr_in_YPGal/YPD=-0.506906533539425;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=2.50021550014232;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=0;expr_of_SUT_sharing_5NFR_in_YPE/YPD=-0.918237632489884;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=-0.447271366674944,SUT018
II,Xu_2009_SUTs,transcript,532518,533198,.,+,.,ID=ST0182;Name=SUT019;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=ST3834;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=-0.609506215462764;expr_in_YPGal/YPD=-0.380284558018672;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=-0.778059408830039;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=-0.267041384661993,SUT019
II,Xu_2009_SUTs,transcript,539674,541026,.,-,.,ID=ST3837;Name=SUT447;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST0187;initiates_from_3NFR_of_and_same_strand_to=ST3838;sense_antisense_pair_with=NA;expr_in_YPE/YPD=-1.64545335941003;expr_in_YPGal/YPD=-1.33585062607828;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=0.82602050262808;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=0.0804885352716393;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT447
II,Xu_2009_SUTs,transcript,553478,556206,.,+,.,ID=ST0191;Name=SUT020;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST3842;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=-0.430665822865329;expr_in_YPGal/YPD=-0.336839377880194;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=0.105413895816286;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=0.099141338293686;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT020
II,Xu_2009_SUTs,transcript,590217,591393,.,-,.,ID=ST3853;Name=SUT448;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=ST3854;sense_antisense_pair_with=NA;expr_in_YPE/YPD=NA;expr_in_YPGal/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT448
