label,PPI,Drug,MTX
ERG11_HYR1_noMTX_noDrug_avg_logratio_Fitness,ERG11_HYR1,noDrug,noMTX
ERG11_HYR1_MTX_noDrug_avg_logratio_Fitness,ERG11_HYR1,noDrug,MTX
ERG11_HYR1_noMTX_5-FC_avg_logratio_Fitness,ERG11_HYR1,5-FC,noMTX
ERG11_HYR1_MTX_5-FC_avg_logratio_Fitness,ERG11_HYR1,5-FC,MTX
ERG11_HYR1_noMTX_Fluconazole_avg_logratio_Fitness,ERG11_HYR1,Fluconazole,noMTX
ERG11_HYR1_MTX_Fluconazole_avg_logratio_Fitness,ERG11_HYR1,Fluconazole,MTX
ERG11_HYR1_noMTX_Metformin_avg_logratio_Fitness,ERG11_HYR1,Metformin,noMTX
ERG11_HYR1_MTX_Metformin_avg_logratio_Fitness,ERG11_HYR1,Metformin,MTX
ERG11_HYR1_noMTX_Trifluoperazine_avg_logratio_Fitness,ERG11_HYR1,Trifluoperazine,noMTX
ERG11_HYR1_MTX_Trifluoperazine_avg_logratio_Fitness,ERG11_HYR1,Trifluoperazine,MTX
DHH1_LSM3_noMTX_noDrug_avg_logratio_Fitness,DHH1_LSM3,noDrug,noMTX
DHH1_LSM3_MTX_noDrug_avg_logratio_Fitness,DHH1_LSM3,noDrug,MTX
DHH1_LSM3_noMTX_5-FC_avg_logratio_Fitness,DHH1_LSM3,5-FC,noMTX
DHH1_LSM3_MTX_5-FC_avg_logratio_Fitness,DHH1_LSM3,5-FC,MTX
DHH1_LSM3_noMTX_Fluconazole_avg_logratio_Fitness,DHH1_LSM3,Fluconazole,noMTX
DHH1_LSM3_MTX_Fluconazole_avg_logratio_Fitness,DHH1_LSM3,Fluconazole,MTX
DHH1_LSM3_noMTX_Metformin_avg_logratio_Fitness,DHH1_LSM3,Metformin,noMTX
DHH1_LSM3_MTX_Metformin_avg_logratio_Fitness,DHH1_LSM3,Metformin,MTX
DHH1_LSM3_noMTX_Trifluoperazine_avg_logratio_Fitness,DHH1_LSM3,Trifluoperazine,noMTX
DHH1_LSM3_MTX_Trifluoperazine_avg_logratio_Fitness,DHH1_LSM3,Trifluoperazine,MTX
MID2_PIN2_noMTX_noDrug_avg_logratio_Fitness,MID2_PIN2,noDrug,noMTX
MID2_PIN2_MTX_noDrug_avg_logratio_Fitness,MID2_PIN2,noDrug,MTX
MID2_PIN2_noMTX_5-FC_avg_logratio_Fitness,MID2_PIN2,5-FC,noMTX
MID2_PIN2_MTX_5-FC_avg_logratio_Fitness,MID2_PIN2,5-FC,MTX
MID2_PIN2_noMTX_Fluconazole_avg_logratio_Fitness,MID2_PIN2,Fluconazole,noMTX
MID2_PIN2_MTX_Fluconazole_avg_logratio_Fitness,MID2_PIN2,Fluconazole,MTX
MID2_PIN2_noMTX_Metformin_avg_logratio_Fitness,MID2_PIN2,Metformin,noMTX
MID2_PIN2_MTX_Metformin_avg_logratio_Fitness,MID2_PIN2,Metformin,MTX
MID2_PIN2_noMTX_Trifluoperazine_avg_logratio_Fitness,MID2_PIN2,Trifluoperazine,noMTX
MID2_PIN2_MTX_Trifluoperazine_avg_logratio_Fitness,MID2_PIN2,Trifluoperazine,MTX
SRO9_SGN1_noMTX_noDrug_avg_logratio_Fitness,SRO9_SGN1,noDrug,noMTX
SRO9_SGN1_MTX_noDrug_avg_logratio_Fitness,SRO9_SGN1,noDrug,MTX
SRO9_SGN1_noMTX_5-FC_avg_logratio_Fitness,SRO9_SGN1,5-FC,noMTX
SRO9_SGN1_MTX_5-FC_avg_logratio_Fitness,SRO9_SGN1,5-FC,MTX
SRO9_SGN1_noMTX_Fluconazole_avg_logratio_Fitness,SRO9_SGN1,Fluconazole,noMTX
SRO9_SGN1_MTX_Fluconazole_avg_logratio_Fitness,SRO9_SGN1,Fluconazole,MTX
SRO9_SGN1_noMTX_Metformin_avg_logratio_Fitness,SRO9_SGN1,Metformin,noMTX
SRO9_SGN1_MTX_Metformin_avg_logratio_Fitness,SRO9_SGN1,Metformin,MTX
SRO9_SGN1_noMTX_Trifluoperazine_avg_logratio_Fitness,SRO9_SGN1,Trifluoperazine,noMTX
SRO9_SGN1_MTX_Trifluoperazine_avg_logratio_Fitness,SRO9_SGN1,Trifluoperazine,MTX
ERV25_EMP47_noMTX_noDrug_avg_logratio_Fitness,ERV25_EMP47,noDrug,noMTX
ERV25_EMP47_MTX_noDrug_avg_logratio_Fitness,ERV25_EMP47,noDrug,MTX
ERV25_EMP47_noMTX_5-FC_avg_logratio_Fitness,ERV25_EMP47,5-FC,noMTX
ERV25_EMP47_MTX_5-FC_avg_logratio_Fitness,ERV25_EMP47,5-FC,MTX
ERV25_EMP47_noMTX_Fluconazole_avg_logratio_Fitness,ERV25_EMP47,Fluconazole,noMTX
ERV25_EMP47_MTX_Fluconazole_avg_logratio_Fitness,ERV25_EMP47,Fluconazole,MTX
ERV25_EMP47_noMTX_Metformin_avg_logratio_Fitness,ERV25_EMP47,Metformin,noMTX
ERV25_EMP47_MTX_Metformin_avg_logratio_Fitness,ERV25_EMP47,Metformin,MTX
ERV25_EMP47_noMTX_Trifluoperazine_avg_logratio_Fitness,ERV25_EMP47,Trifluoperazine,noMTX
ERV25_EMP47_MTX_Trifluoperazine_avg_logratio_Fitness,ERV25_EMP47,Trifluoperazine,MTX
ERV25_ORM2_noMTX_noDrug_avg_logratio_Fitness,ERV25_ORM2,noDrug,noMTX
ERV25_ORM2_MTX_noDrug_avg_logratio_Fitness,ERV25_ORM2,noDrug,MTX
ERV25_ORM2_noMTX_5-FC_avg_logratio_Fitness,ERV25_ORM2,5-FC,noMTX
ERV25_ORM2_MTX_5-FC_avg_logratio_Fitness,ERV25_ORM2,5-FC,MTX
ERV25_ORM2_noMTX_Fluconazole_avg_logratio_Fitness,ERV25_ORM2,Fluconazole,noMTX
ERV25_ORM2_MTX_Fluconazole_avg_logratio_Fitness,ERV25_ORM2,Fluconazole,MTX
ERV25_ORM2_noMTX_Metformin_avg_logratio_Fitness,ERV25_ORM2,Metformin,noMTX
ERV25_ORM2_MTX_Metformin_avg_logratio_Fitness,ERV25_ORM2,Metformin,MTX
ERV25_ORM2_noMTX_Trifluoperazine_avg_logratio_Fitness,ERV25_ORM2,Trifluoperazine,noMTX
ERV25_ORM2_MTX_Trifluoperazine_avg_logratio_Fitness,ERV25_ORM2,Trifluoperazine,MTX
HNM1_ERG11_noMTX_noDrug_avg_logratio_Fitness,HNM1_ERG11,noDrug,noMTX
HNM1_ERG11_MTX_noDrug_avg_logratio_Fitness,HNM1_ERG11,noDrug,MTX
HNM1_ERG11_noMTX_5-FC_avg_logratio_Fitness,HNM1_ERG11,5-FC,noMTX
HNM1_ERG11_MTX_5-FC_avg_logratio_Fitness,HNM1_ERG11,5-FC,MTX
HNM1_ERG11_noMTX_Fluconazole_avg_logratio_Fitness,HNM1_ERG11,Fluconazole,noMTX
HNM1_ERG11_MTX_Fluconazole_avg_logratio_Fitness,HNM1_ERG11,Fluconazole,MTX
HNM1_ERG11_noMTX_Metformin_avg_logratio_Fitness,HNM1_ERG11,Metformin,noMTX
HNM1_ERG11_MTX_Metformin_avg_logratio_Fitness,HNM1_ERG11,Metformin,MTX
HNM1_ERG11_noMTX_Trifluoperazine_avg_logratio_Fitness,HNM1_ERG11,Trifluoperazine,noMTX
HNM1_ERG11_MTX_Trifluoperazine_avg_logratio_Fitness,HNM1_ERG11,Trifluoperazine,MTX
SNA4_VAC8_noMTX_noDrug_avg_logratio_Fitness,SNA4_VAC8,noDrug,noMTX
SNA4_VAC8_MTX_noDrug_avg_logratio_Fitness,SNA4_VAC8,noDrug,MTX
SNA4_VAC8_noMTX_5-FC_avg_logratio_Fitness,SNA4_VAC8,5-FC,noMTX
SNA4_VAC8_MTX_5-FC_avg_logratio_Fitness,SNA4_VAC8,5-FC,MTX
SNA4_VAC8_noMTX_Fluconazole_avg_logratio_Fitness,SNA4_VAC8,Fluconazole,noMTX
SNA4_VAC8_MTX_Fluconazole_avg_logratio_Fitness,SNA4_VAC8,Fluconazole,MTX
SNA4_VAC8_noMTX_Metformin_avg_logratio_Fitness,SNA4_VAC8,Metformin,noMTX
SNA4_VAC8_MTX_Metformin_avg_logratio_Fitness,SNA4_VAC8,Metformin,MTX
SNA4_VAC8_noMTX_Trifluoperazine_avg_logratio_Fitness,SNA4_VAC8,Trifluoperazine,noMTX
SNA4_VAC8_MTX_Trifluoperazine_avg_logratio_Fitness,SNA4_VAC8,Trifluoperazine,MTX
ERG27_ACF2_noMTX_noDrug_avg_logratio_Fitness,ERG27_ACF2,noDrug,noMTX
ERG27_ACF2_MTX_noDrug_avg_logratio_Fitness,ERG27_ACF2,noDrug,MTX
ERG27_ACF2_noMTX_5-FC_avg_logratio_Fitness,ERG27_ACF2,5-FC,noMTX
ERG27_ACF2_MTX_5-FC_avg_logratio_Fitness,ERG27_ACF2,5-FC,MTX
ERG27_ACF2_noMTX_Fluconazole_avg_logratio_Fitness,ERG27_ACF2,Fluconazole,noMTX
ERG27_ACF2_MTX_Fluconazole_avg_logratio_Fitness,ERG27_ACF2,Fluconazole,MTX
ERG27_ACF2_noMTX_Metformin_avg_logratio_Fitness,ERG27_ACF2,Metformin,noMTX
ERG27_ACF2_MTX_Metformin_avg_logratio_Fitness,ERG27_ACF2,Metformin,MTX
ERG27_ACF2_noMTX_Trifluoperazine_avg_logratio_Fitness,ERG27_ACF2,Trifluoperazine,noMTX
ERG27_ACF2_MTX_Trifluoperazine_avg_logratio_Fitness,ERG27_ACF2,Trifluoperazine,MTX
HUG1_ADE17_noMTX_noDrug_avg_logratio_Fitness,HUG1_ADE17,noDrug,noMTX
HUG1_ADE17_MTX_noDrug_avg_logratio_Fitness,HUG1_ADE17,noDrug,MTX
HUG1_ADE17_noMTX_5-FC_avg_logratio_Fitness,HUG1_ADE17,5-FC,noMTX
HUG1_ADE17_MTX_5-FC_avg_logratio_Fitness,HUG1_ADE17,5-FC,MTX
HUG1_ADE17_noMTX_Fluconazole_avg_logratio_Fitness,HUG1_ADE17,Fluconazole,noMTX
HUG1_ADE17_MTX_Fluconazole_avg_logratio_Fitness,HUG1_ADE17,Fluconazole,MTX
HUG1_ADE17_noMTX_Metformin_avg_logratio_Fitness,HUG1_ADE17,Metformin,noMTX
HUG1_ADE17_MTX_Metformin_avg_logratio_Fitness,HUG1_ADE17,Metformin,MTX
HUG1_ADE17_noMTX_Trifluoperazine_avg_logratio_Fitness,HUG1_ADE17,Trifluoperazine,noMTX
HUG1_ADE17_MTX_Trifluoperazine_avg_logratio_Fitness,HUG1_ADE17,Trifluoperazine,MTX
SRO9_DHH1_noMTX_noDrug_avg_logratio_Fitness,SRO9_DHH1,noDrug,noMTX
SRO9_DHH1_MTX_noDrug_avg_logratio_Fitness,SRO9_DHH1,noDrug,MTX
SRO9_DHH1_noMTX_5-FC_avg_logratio_Fitness,SRO9_DHH1,5-FC,noMTX
SRO9_DHH1_MTX_5-FC_avg_logratio_Fitness,SRO9_DHH1,5-FC,MTX
SRO9_DHH1_noMTX_Fluconazole_avg_logratio_Fitness,SRO9_DHH1,Fluconazole,noMTX
SRO9_DHH1_MTX_Fluconazole_avg_logratio_Fitness,SRO9_DHH1,Fluconazole,MTX
SRO9_DHH1_noMTX_Metformin_avg_logratio_Fitness,SRO9_DHH1,Metformin,noMTX
SRO9_DHH1_MTX_Metformin_avg_logratio_Fitness,SRO9_DHH1,Metformin,MTX
SRO9_DHH1_noMTX_Trifluoperazine_avg_logratio_Fitness,SRO9_DHH1,Trifluoperazine,noMTX
SRO9_DHH1_MTX_Trifluoperazine_avg_logratio_Fitness,SRO9_DHH1,Trifluoperazine,MTX
ALO1_HYR1_noMTX_noDrug_avg_logratio_Fitness,ALO1_HYR1,noDrug,noMTX
ALO1_HYR1_MTX_noDrug_avg_logratio_Fitness,ALO1_HYR1,noDrug,MTX
ALO1_HYR1_noMTX_5-FC_avg_logratio_Fitness,ALO1_HYR1,5-FC,noMTX
ALO1_HYR1_MTX_5-FC_avg_logratio_Fitness,ALO1_HYR1,5-FC,MTX
ALO1_HYR1_noMTX_Fluconazole_avg_logratio_Fitness,ALO1_HYR1,Fluconazole,noMTX
ALO1_HYR1_MTX_Fluconazole_avg_logratio_Fitness,ALO1_HYR1,Fluconazole,MTX
ALO1_HYR1_noMTX_Metformin_avg_logratio_Fitness,ALO1_HYR1,Metformin,noMTX
ALO1_HYR1_MTX_Metformin_avg_logratio_Fitness,ALO1_HYR1,Metformin,MTX
ALO1_HYR1_noMTX_Trifluoperazine_avg_logratio_Fitness,ALO1_HYR1,Trifluoperazine,noMTX
ALO1_HYR1_MTX_Trifluoperazine_avg_logratio_Fitness,ALO1_HYR1,Trifluoperazine,MTX
SSH1_ERG11_noMTX_noDrug_avg_logratio_Fitness,SSH1_ERG11,noDrug,noMTX
SSH1_ERG11_MTX_noDrug_avg_logratio_Fitness,SSH1_ERG11,noDrug,MTX
SSH1_ERG11_noMTX_5-FC_avg_logratio_Fitness,SSH1_ERG11,5-FC,noMTX
SSH1_ERG11_MTX_5-FC_avg_logratio_Fitness,SSH1_ERG11,5-FC,MTX
SSH1_ERG11_noMTX_Fluconazole_avg_logratio_Fitness,SSH1_ERG11,Fluconazole,noMTX
SSH1_ERG11_MTX_Fluconazole_avg_logratio_Fitness,SSH1_ERG11,Fluconazole,MTX
SSH1_ERG11_noMTX_Metformin_avg_logratio_Fitness,SSH1_ERG11,Metformin,noMTX
SSH1_ERG11_MTX_Metformin_avg_logratio_Fitness,SSH1_ERG11,Metformin,MTX
SSH1_ERG11_noMTX_Trifluoperazine_avg_logratio_Fitness,SSH1_ERG11,Trifluoperazine,noMTX
SSH1_ERG11_MTX_Trifluoperazine_avg_logratio_Fitness,SSH1_ERG11,Trifluoperazine,MTX
ERV25_ERG5_noMTX_noDrug_avg_logratio_Fitness,ERV25_ERG5,noDrug,noMTX
ERV25_ERG5_MTX_noDrug_avg_logratio_Fitness,ERV25_ERG5,noDrug,MTX
ERV25_ERG5_noMTX_5-FC_avg_logratio_Fitness,ERV25_ERG5,5-FC,noMTX
ERV25_ERG5_MTX_5-FC_avg_logratio_Fitness,ERV25_ERG5,5-FC,MTX
ERV25_ERG5_noMTX_Fluconazole_avg_logratio_Fitness,ERV25_ERG5,Fluconazole,noMTX
ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness,ERV25_ERG5,Fluconazole,MTX
ERV25_ERG5_noMTX_Metformin_avg_logratio_Fitness,ERV25_ERG5,Metformin,noMTX
ERV25_ERG5_MTX_Metformin_avg_logratio_Fitness,ERV25_ERG5,Metformin,MTX
ERV25_ERG5_noMTX_Trifluoperazine_avg_logratio_Fitness,ERV25_ERG5,Trifluoperazine,noMTX
ERV25_ERG5_MTX_Trifluoperazine_avg_logratio_Fitness,ERV25_ERG5,Trifluoperazine,MTX
HNM1_MID2_noMTX_noDrug_avg_logratio_Fitness,HNM1_MID2,noDrug,noMTX
HNM1_MID2_MTX_noDrug_avg_logratio_Fitness,HNM1_MID2,noDrug,MTX
HNM1_MID2_noMTX_5-FC_avg_logratio_Fitness,HNM1_MID2,5-FC,noMTX
HNM1_MID2_MTX_5-FC_avg_logratio_Fitness,HNM1_MID2,5-FC,MTX
HNM1_MID2_noMTX_Fluconazole_avg_logratio_Fitness,HNM1_MID2,Fluconazole,noMTX
HNM1_MID2_MTX_Fluconazole_avg_logratio_Fitness,HNM1_MID2,Fluconazole,MTX
HNM1_MID2_noMTX_Metformin_avg_logratio_Fitness,HNM1_MID2,Metformin,noMTX
HNM1_MID2_MTX_Metformin_avg_logratio_Fitness,HNM1_MID2,Metformin,MTX
HNM1_MID2_noMTX_Trifluoperazine_avg_logratio_Fitness,HNM1_MID2,Trifluoperazine,noMTX
HNM1_MID2_MTX_Trifluoperazine_avg_logratio_Fitness,HNM1_MID2,Trifluoperazine,MTX
ERG11_PIS1_noMTX_noDrug_avg_logratio_Fitness,ERG11_PIS1,noDrug,noMTX
ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness,ERG11_PIS1,noDrug,MTX
ERG11_PIS1_noMTX_5-FC_avg_logratio_Fitness,ERG11_PIS1,5-FC,noMTX
ERG11_PIS1_MTX_5-FC_avg_logratio_Fitness,ERG11_PIS1,5-FC,MTX
ERG11_PIS1_noMTX_Fluconazole_avg_logratio_Fitness,ERG11_PIS1,Fluconazole,noMTX
ERG11_PIS1_MTX_Fluconazole_avg_logratio_Fitness,ERG11_PIS1,Fluconazole,MTX
ERG11_PIS1_noMTX_Metformin_avg_logratio_Fitness,ERG11_PIS1,Metformin,noMTX
ERG11_PIS1_MTX_Metformin_avg_logratio_Fitness,ERG11_PIS1,Metformin,MTX
ERG11_PIS1_noMTX_Trifluoperazine_avg_logratio_Fitness,ERG11_PIS1,Trifluoperazine,noMTX
ERG11_PIS1_MTX_Trifluoperazine_avg_logratio_Fitness,ERG11_PIS1,Trifluoperazine,MTX
RET2_SNA3_noMTX_noDrug_avg_logratio_Fitness,RET2_SNA3,noDrug,noMTX
RET2_SNA3_MTX_noDrug_avg_logratio_Fitness,RET2_SNA3,noDrug,MTX
RET2_SNA3_noMTX_5-FC_avg_logratio_Fitness,RET2_SNA3,5-FC,noMTX
RET2_SNA3_MTX_5-FC_avg_logratio_Fitness,RET2_SNA3,5-FC,MTX
RET2_SNA3_noMTX_Fluconazole_avg_logratio_Fitness,RET2_SNA3,Fluconazole,noMTX
RET2_SNA3_MTX_Fluconazole_avg_logratio_Fitness,RET2_SNA3,Fluconazole,MTX
RET2_SNA3_noMTX_Metformin_avg_logratio_Fitness,RET2_SNA3,Metformin,noMTX
RET2_SNA3_MTX_Metformin_avg_logratio_Fitness,RET2_SNA3,Metformin,MTX
RET2_SNA3_noMTX_Trifluoperazine_avg_logratio_Fitness,RET2_SNA3,Trifluoperazine,noMTX
RET2_SNA3_MTX_Trifluoperazine_avg_logratio_Fitness,RET2_SNA3,Trifluoperazine,MTX
HUG1_ALO1_noMTX_noDrug_avg_logratio_Fitness,HUG1_ALO1,noDrug,noMTX
HUG1_ALO1_MTX_noDrug_avg_logratio_Fitness,HUG1_ALO1,noDrug,MTX
HUG1_ALO1_noMTX_5-FC_avg_logratio_Fitness,HUG1_ALO1,5-FC,noMTX
HUG1_ALO1_MTX_5-FC_avg_logratio_Fitness,HUG1_ALO1,5-FC,MTX
HUG1_ALO1_noMTX_Fluconazole_avg_logratio_Fitness,HUG1_ALO1,Fluconazole,noMTX
HUG1_ALO1_MTX_Fluconazole_avg_logratio_Fitness,HUG1_ALO1,Fluconazole,MTX
HUG1_ALO1_noMTX_Metformin_avg_logratio_Fitness,HUG1_ALO1,Metformin,noMTX
HUG1_ALO1_MTX_Metformin_avg_logratio_Fitness,HUG1_ALO1,Metformin,MTX
HUG1_ALO1_noMTX_Trifluoperazine_avg_logratio_Fitness,HUG1_ALO1,Trifluoperazine,noMTX
HUG1_ALO1_MTX_Trifluoperazine_avg_logratio_Fitness,HUG1_ALO1,Trifluoperazine,MTX
MID2_TPO4_noMTX_noDrug_avg_logratio_Fitness,MID2_TPO4,noDrug,noMTX
MID2_TPO4_MTX_noDrug_avg_logratio_Fitness,MID2_TPO4,noDrug,MTX
MID2_TPO4_noMTX_5-FC_avg_logratio_Fitness,MID2_TPO4,5-FC,noMTX
MID2_TPO4_MTX_5-FC_avg_logratio_Fitness,MID2_TPO4,5-FC,MTX
MID2_TPO4_noMTX_Fluconazole_avg_logratio_Fitness,MID2_TPO4,Fluconazole,noMTX
MID2_TPO4_MTX_Fluconazole_avg_logratio_Fitness,MID2_TPO4,Fluconazole,MTX
MID2_TPO4_noMTX_Metformin_avg_logratio_Fitness,MID2_TPO4,Metformin,noMTX
MID2_TPO4_MTX_Metformin_avg_logratio_Fitness,MID2_TPO4,Metformin,MTX
MID2_TPO4_noMTX_Trifluoperazine_avg_logratio_Fitness,MID2_TPO4,Trifluoperazine,noMTX
MID2_TPO4_MTX_Trifluoperazine_avg_logratio_Fitness,MID2_TPO4,Trifluoperazine,MTX
ERV25_UIP4_noMTX_noDrug_avg_logratio_Fitness,ERV25_UIP4,noDrug,noMTX
ERV25_UIP4_MTX_noDrug_avg_logratio_Fitness,ERV25_UIP4,noDrug,MTX
ERV25_UIP4_noMTX_5-FC_avg_logratio_Fitness,ERV25_UIP4,5-FC,noMTX
ERV25_UIP4_MTX_5-FC_avg_logratio_Fitness,ERV25_UIP4,5-FC,MTX
ERV25_UIP4_noMTX_Fluconazole_avg_logratio_Fitness,ERV25_UIP4,Fluconazole,noMTX
ERV25_UIP4_MTX_Fluconazole_avg_logratio_Fitness,ERV25_UIP4,Fluconazole,MTX
ERV25_UIP4_noMTX_Metformin_avg_logratio_Fitness,ERV25_UIP4,Metformin,noMTX
ERV25_UIP4_MTX_Metformin_avg_logratio_Fitness,ERV25_UIP4,Metformin,MTX
ERV25_UIP4_noMTX_Trifluoperazine_avg_logratio_Fitness,ERV25_UIP4,Trifluoperazine,noMTX
ERV25_UIP4_MTX_Trifluoperazine_avg_logratio_Fitness,ERV25_UIP4,Trifluoperazine,MTX
SSH1_ERV25_noMTX_noDrug_avg_logratio_Fitness,SSH1_ERV25,noDrug,noMTX
SSH1_ERV25_MTX_noDrug_avg_logratio_Fitness,SSH1_ERV25,noDrug,MTX
SSH1_ERV25_noMTX_5-FC_avg_logratio_Fitness,SSH1_ERV25,5-FC,noMTX
SSH1_ERV25_MTX_5-FC_avg_logratio_Fitness,SSH1_ERV25,5-FC,MTX
SSH1_ERV25_noMTX_Fluconazole_avg_logratio_Fitness,SSH1_ERV25,Fluconazole,noMTX
SSH1_ERV25_MTX_Fluconazole_avg_logratio_Fitness,SSH1_ERV25,Fluconazole,MTX
SSH1_ERV25_noMTX_Metformin_avg_logratio_Fitness,SSH1_ERV25,Metformin,noMTX
SSH1_ERV25_MTX_Metformin_avg_logratio_Fitness,SSH1_ERV25,Metformin,MTX
SSH1_ERV25_noMTX_Trifluoperazine_avg_logratio_Fitness,SSH1_ERV25,Trifluoperazine,noMTX
SSH1_ERV25_MTX_Trifluoperazine_avg_logratio_Fitness,SSH1_ERV25,Trifluoperazine,MTX
ERG11_ACF2_noMTX_noDrug_avg_logratio_Fitness,ERG11_ACF2,noDrug,noMTX
ERG11_ACF2_MTX_noDrug_avg_logratio_Fitness,ERG11_ACF2,noDrug,MTX
ERG11_ACF2_noMTX_5-FC_avg_logratio_Fitness,ERG11_ACF2,5-FC,noMTX
ERG11_ACF2_MTX_5-FC_avg_logratio_Fitness,ERG11_ACF2,5-FC,MTX
ERG11_ACF2_noMTX_Fluconazole_avg_logratio_Fitness,ERG11_ACF2,Fluconazole,noMTX
ERG11_ACF2_MTX_Fluconazole_avg_logratio_Fitness,ERG11_ACF2,Fluconazole,MTX
ERG11_ACF2_noMTX_Metformin_avg_logratio_Fitness,ERG11_ACF2,Metformin,noMTX
ERG11_ACF2_MTX_Metformin_avg_logratio_Fitness,ERG11_ACF2,Metformin,MTX
ERG11_ACF2_noMTX_Trifluoperazine_avg_logratio_Fitness,ERG11_ACF2,Trifluoperazine,noMTX
ERG11_ACF2_MTX_Trifluoperazine_avg_logratio_Fitness,ERG11_ACF2,Trifluoperazine,MTX
FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness,FMP45_HNM1,noDrug,noMTX
FMP45_HNM1_MTX_noDrug_avg_logratio_Fitness,FMP45_HNM1,noDrug,MTX
FMP45_HNM1_noMTX_5-FC_avg_logratio_Fitness,FMP45_HNM1,5-FC,noMTX
FMP45_HNM1_MTX_5-FC_avg_logratio_Fitness,FMP45_HNM1,5-FC,MTX
FMP45_HNM1_noMTX_Fluconazole_avg_logratio_Fitness,FMP45_HNM1,Fluconazole,noMTX
FMP45_HNM1_MTX_Fluconazole_avg_logratio_Fitness,FMP45_HNM1,Fluconazole,MTX
FMP45_HNM1_noMTX_Metformin_avg_logratio_Fitness,FMP45_HNM1,Metformin,noMTX
FMP45_HNM1_MTX_Metformin_avg_logratio_Fitness,FMP45_HNM1,Metformin,MTX
FMP45_HNM1_noMTX_Trifluoperazine_avg_logratio_Fitness,FMP45_HNM1,Trifluoperazine,noMTX
FMP45_HNM1_MTX_Trifluoperazine_avg_logratio_Fitness,FMP45_HNM1,Trifluoperazine,MTX
FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness,FMP45_MEP1,noDrug,noMTX
FMP45_MEP1_MTX_noDrug_avg_logratio_Fitness,FMP45_MEP1,noDrug,MTX
FMP45_MEP1_noMTX_5-FC_avg_logratio_Fitness,FMP45_MEP1,5-FC,noMTX
FMP45_MEP1_MTX_5-FC_avg_logratio_Fitness,FMP45_MEP1,5-FC,MTX
FMP45_MEP1_noMTX_Fluconazole_avg_logratio_Fitness,FMP45_MEP1,Fluconazole,noMTX
FMP45_MEP1_MTX_Fluconazole_avg_logratio_Fitness,FMP45_MEP1,Fluconazole,MTX
FMP45_MEP1_noMTX_Metformin_avg_logratio_Fitness,FMP45_MEP1,Metformin,noMTX
FMP45_MEP1_MTX_Metformin_avg_logratio_Fitness,FMP45_MEP1,Metformin,MTX
FMP45_MEP1_noMTX_Trifluoperazine_avg_logratio_Fitness,FMP45_MEP1,Trifluoperazine,noMTX
FMP45_MEP1_MTX_Trifluoperazine_avg_logratio_Fitness,FMP45_MEP1,Trifluoperazine,MTX
RET2_EMP70_noMTX_noDrug_avg_logratio_Fitness,RET2_EMP70,noDrug,noMTX
RET2_EMP70_MTX_noDrug_avg_logratio_Fitness,RET2_EMP70,noDrug,MTX
RET2_EMP70_noMTX_5-FC_avg_logratio_Fitness,RET2_EMP70,5-FC,noMTX
